,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2012-01,21.29B,21.29B,15.15B,6.139B,3.876B,,292.00M,,-292.00M,,4.439B,1.70B,,292.00M,-292.00M,,-292.00M,1.408B,427.00M,981.00M,,,981.00M,981.00M,2.263B,563.00M,1.70B,,1.46,,,1.46,1.46,,1.44,,,1.44,1.44,,669.80M,674.90M,0.30,,AOR,Restated
2011-10,16.40B,16.40B,11.27B,5.128B,3.525B,,200.00M,,-200.00M,,4.071B,1.057B,,200.00M,-200.00M,,-200.00M,857.00M,302.00M,555.00M,,,555.00M,555.00M,1.603B,546.00M,1.057B,,0.82,,,0.82,0.82,,0.82,,,0.82,0.82,,673.20M,678.30M,0.30,,AOR,Restated
2011-07,16.24B,16.24B,10.96B,5.282B,3.473B,,191.00M,,-191.00M,,3.982B,1.30B,,191.00M,-191.00M,,-191.00M,1.109B,405.00M,704.00M,,,704.00M,704.00M,1.81B,510.00M,1.30B,,1.03,0.00,,1.03,1.03,,1.03,0.00,,1.03,1.03,,680.80M,685.10M,0.25,,AOR,Restated
2011-04,15.94B,15.94B,10.93B,5.009B,3.233B,,183.00M,,-183.00M,,3.745B,1.264B,,183.00M,-183.00M,,-183.00M,1.081B,392.00M,689.00M,,,689.00M,689.00M,1.776B,512.00M,1.264B,,0.99,0.00,,0.99,0.99,,0.99,0.00,,0.99,0.99,,693.00M,697.00M,0.25,,AOR,Restated
2011-01,20.66B,20.66B,14.62B,6.036B,3.72B,,188.00M,,-190.00M,,4.259B,1.777B,,188.00M,-190.00M,,-190.00M,1.587B,552.00M,1.035B,,,1.035B,1.035B,2.314B,539.00M,1.775B,,1.44,,,1.44,1.44,,1.43,,,1.43,1.43,,708.00M,714.40M,0.25,,AOR,Restated
2010-10,15.60B,15.60B,10.76B,4.845B,3.345B,,195.00M,1.00M,-194.00M,,3.878B,967.00M,1.00M,195.00M,-194.00M,,-194.00M,773.00M,238.00M,535.00M,,,535.00M,535.00M,1.501B,533.00M,968.00M,,0.75,0.00,,0.75,0.75,,0.74,0.00,,0.74,0.74,,715.40M,721.00M,0.25,,AOR,
2010-07,15.53B,15.53B,10.51B,5.025B,3.263B,,186.00M,1.00M,-185.00M,,3.759B,1.266B,1.00M,186.00M,-185.00M,,-185.00M,1.081B,402.00M,679.00M,,,679.00M,679.00M,1.763B,496.00M,1.267B,,0.93,0.00,,0.93,0.93,,0.92,0.00,,0.92,0.92,,731.10M,736.60M,0.17,,AOR,Restated
2010-04,15.59B,15.59B,10.69B,4.901B,3.143B,,188.00M,1.00M,-187.00M,,3.659B,1.242B,1.00M,188.00M,-187.00M,,-187.00M,1.055B,384.00M,671.00M,,,671.00M,671.00M,1.759B,516.00M,1.243B,,0.91,0.00,,0.91,0.91,,0.90,0.00,,0.90,0.90,,739.90M,745.70M,0.17,,AOR,Restated
2010-01,20.18B,20.18B,14.35B,5.831B,3.673B,,216.00M,0.00,-216.00M,,4.209B,1.622B,0.00,216.00M,-216.00M,,-216.00M,1.409B,473.00M,936.00M,,,936.00M,936.00M,2.161B,536.00M,1.625B,,1.25,0.00,,1.25,1.25,,1.24,0.00,,1.24,1.24,,752.00M,756.30M,0.17,,AOR,
2009-10,15.28B,15.28B,10.61B,4.666B,3.255B,,191.00M,0.00,-191.00M,,3.792B,874.00M,0.00,191.00M,-191.00M,,-191.00M,683.00M,247.00M,436.00M,,,436.00M,436.00M,1.411B,537.00M,874.00M,,0.58,0.00,,0.58,0.58,,0.58,0.00,,0.58,0.58,,751.80M,755.70M,0.17,,AOR,Restated
2009-07,15.07B,15.07B,10.30B,4.765B,3.136B,,195.00M,1.00M,-194.00M,,3.614B,1.151B,1.00M,195.00M,-194.00M,,-194.00M,957.00M,363.00M,594.00M,,,594.00M,594.00M,1.63B,478.00M,1.152B,,0.79,0.00,,0.79,0.79,,0.79,0.00,,0.79,0.79,,752.00M,754.40M,0.16,,AOR,Restated
2009-04,14.83B,14.83B,10.32B,4.513B,3.015B,,203.00M,1.00M,-202.00M,,3.487B,1.026B,1.00M,203.00M,-202.00M,,-202.00M,824.00M,302.00M,522.00M,,,522.00M,522.00M,1.499B,472.00M,1.027B,,0.69,0.00,,0.69,0.69,,0.69,0.00,,0.69,0.69,,752.20M,753.00M,0.16,,AOR,Restated
2009-01,19.56B,19.56B,15.43B,4.126B,2.495B,,,,,,2.969B,1.157B,,,,,,943.00M,334.00M,609.00M,,,609.00M,609.00M,1.659B,474.00M,1.185B,,0.80,0.00,,0.80,0.80,,0.80,0.00,,0.80,0.80,,752.40M,754.10M,0.16,,,Restated
2008-10,15.11B,15.11B,10.13B,4.984B,3.648B,,,,,,4.117B,867.00M,,,,,,633.00M,264.00M,369.00M,,,369.00M,369.00M,1.336B,468.00M,867.00M,,0.49,0.00,,0.49,0.49,,0.49,0.00,,0.49,0.49,,753.50M,756.60M,0.16,,,
2008-07,15.47B,15.47B,10.30B,5.168B,3.50B,,,,,,3.948B,1.22B,,,,,,1.003B,369.00M,634.00M,,,634.00M,634.00M,1.669B,449.00M,1.22B,,0.82,0.00,,0.82,0.82,,0.82,0.00,,0.82,0.82,,770.30M,773.90M,0.14,,,
2008-04,14.80B,14.80B,9.898B,4.904B,3.311B,-18.00M,,,,,3.746B,1.158B,,,,-18.00M,,957.00M,355.00M,602.00M,,,602.00M,613.32M,1.593B,435.00M,1.158B,,0.75,0.00,,0.7641,0.75,,0.74,0.00,,0.7540,0.74,,805.50M,809.60M,0.14,,,
2008-01,19.87B,19.87B,13.76B,6.109B,3.829B,,,,,,4.263B,1.846B,,,,,,1.666B,638.00M,1.028B,,,1.028B,1.028B,2.28B,434.00M,1.846B,,1.23,0.00,,1.23,1.23,,1.22,0.00,,1.22,1.22,,829.20M,834.30M,0.14,,,
2007-10,14.84B,14.84B,9.993B,4.842B,3.455B,,,,,,3.884B,958.00M,,,,,,781.00M,298.00M,483.00M,,,483.00M,483.00M,1.387B,429.00M,958.00M,,0.57,0.00,,0.57,0.57,,0.56,0.00,,0.56,0.56,,845.60M,851.00M,0.14,,,
2007-07,14.62B,14.62B,9.696B,4.924B,3.253B,,,,,,3.657B,1.267B,,,,,,1.113B,427.00M,686.00M,,,686.00M,686.00M,1.671B,404.00M,1.267B,,0.81,0.00,,0.81,0.81,,0.80,0.00,,0.80,0.80,,850.80M,857.40M,0.12,,,
2007-04,14.04B,14.04B,9.356B,4.685B,3.093B,,,,,,3.485B,1.20B,,,,,,1.064B,413.00M,651.00M,,,651.00M,651.00M,1.592B,392.00M,1.20B,,0.76,0.00,,0.76,0.76,,0.75,0.00,,0.75,0.75,,855.90M,862.80M,0.12,,,
2007-01,19.71B,19.71B,13.54B,6.166B,3.803B,,,,,,4.205B,1.961B,,,,,,1.81B,691.00M,1.119B,,,1.119B,1.119B,2.363B,402.00M,1.961B,,1.30,0.00,,1.30,1.30,,1.29,0.00,,1.29,1.29,,858.30M,865.30M,0.12,,,
2006-10,13.57B,13.57B,9.073B,4.497B,3.151B,,,,,,3.54B,957.00M,,,,,,808.00M,302.00M,506.00M,,,506.00M,506.00M,1.347B,390.00M,957.00M,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,857.80M,864.40M,0.12,,,
2006-07,13.35B,13.35B,8.856B,4.491B,2.987B,,,,,,3.357B,1.134B,,,,,,994.00M,385.00M,609.00M,,,609.00M,609.00M,1.504B,370.00M,1.134B,,0.71,0.00,,0.71,0.71,,0.70,0.00,,0.70,0.70,,860.80M,867.20M,0.10,,,
2006-04,12.86B,12.86B,8.633B,4.23B,2.879B,,,,,,3.213B,1.017B,,,,,,886.00M,332.00M,554.00M,,,554.00M,554.00M,1.351B,334.00M,1.017B,,0.64,0.00,,0.64,0.64,,0.63,0.00,,0.63,0.63,,870.70M,877.60M,0.10,,,
2006-01,16.95B,16.95B,11.72B,5.229B,3.254B,,,,,,3.623B,1.606B,,,,,,1.482B,543.00M,939.00M,,,939.00M,939.00M,1.975B,369.00M,1.606B,,1.07,0.00,,1.07,1.07,,1.06,0.00,,1.06,1.06,,876.60M,885.00M,0.10,,,
2005-10,12.21B,12.21B,8.235B,3.971B,2.786B,,,,,,3.14B,831.00M,,,,,,713.00M,278.00M,435.00M,,,435.00M,435.00M,1.185B,354.00M,831.00M,,0.49,0.00,,0.49,0.49,,0.49,0.00,,0.49,0.49,,881.20M,887.00M,0.10,,,
2005-07,11.99B,11.99B,8.015B,3.975B,2.65B,,,,,,2.996B,979.00M,,,,,,869.00M,329.00M,540.00M,,,540.00M,540.00M,1.325B,346.00M,979.00M,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,883.30M,891.20M,0.08,,,
2005-04,11.48B,11.48B,7.556B,3.921B,2.674B,,,,,,3.014B,907.00M,,,,,,796.00M,302.00M,494.00M,,,494.00M,494.00M,1.247B,340.00M,907.00M,,0.56,0.00,,0.56,0.56,,0.55,0.00,,0.55,0.55,,887.00M,893.50M,0.08,,,
2005-01,15.19B,15.19B,10.35B,4.846B,3.093B,,,,,,3.437B,1.409B,,,,,,1.272B,493.00M,809.00M,16.00M,,825.00M,809.00M,1.753B,344.00M,1.409B,,0.90,0.02,,0.90,0.92,,0.90,0.02,,0.90,0.92,,895.10M,902.80M,0.08,,,
2004-10,10.91B,10.91B,7.319B,3.59B,2.633B,,,,,,2.957B,633.00M,,,,,,520.00M,196.00M,324.00M,207.00M,,531.00M,324.00M,957.00M,324.00M,633.00M,,0.36,0.23,,0.36,0.59,,0.36,0.23,,0.36,0.59,,896.00M,905.00M,0.08,,,
