,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2004-09,,13.25B,,13.25B,,,,17.12B,,,,,,,,3.722B,,,18.20B,318.53B,3.782B,,314.74B,35.12B,404.43B,421.55B,,,,24.28B,24.28B,24.28B,24.28B,71.32B,,71.32B,268.79B,,,340.11B,384.87B,3.219B,25.56B,9.767B,2.436B,325.00M,,,566.00M,36.68B
2004-06,,13.45B,,13.45B,,,,16.13B,,,,,,,,3.627B,,,10.43B,317.31B,3.94B,,313.37B,36.77B,404.18B,420.30B,,,,29.83B,29.83B,29.83B,29.83B,65.60B,,65.60B,268.12B,,,333.73B,384.83B,3.281B,24.67B,9.744B,2.537B,387.00M,,,321.00M,35.48B
2004-03,,13.97B,,13.97B,,,,16.41B,,,,,,,,3.545B,,,10.40B,298.61B,3.891B,,294.72B,32.86B,380.94B,397.35B,,,,20.40B,20.40B,20.40B,20.40B,73.39B,,73.39B,248.37B,,,321.76B,361.91B,3.346B,23.80B,9.711B,1.984B,452.00M,,,573.00M,35.44B
2003-12,,16.54B,,16.54B,1.287B,2.456B,3.743B,24.79B,,,,,,,,3.534B,,,18.01B,289.60B,3.891B,,285.71B,41.87B,362.87B,387.80B,,,,24.66B,24.66B,24.66B,24.66B,63.64B,,63.64B,247.53B,,,311.17B,353.33B,3.108B,22.84B,9.643B,1.833B,214.00M,,,709.00M,34.47B
2003-09,,15.42B,,15.42B,,,,18.12B,,,,,,,,3.517B,,,15.61B,294.48B,3.893B,,290.59B,30.26B,372.70B,390.81B,,,,25.59B,25.59B,25.59B,25.59B,62.58B,,62.58B,251.44B,,,314.01B,358.44B,2.95B,22.10B,9.532B,2.785B,56.00M,,,572.00M,32.37B
2003-06,,16.04B,,16.04B,,,,18.81B,,,,,,,,3.604B,,,13.62B,215.39B,3.894B,,211.50B,24.62B,350.83B,369.64B,,,,23.88B,23.88B,23.88B,23.88B,61.90B,,61.90B,230.88B,,,292.78B,337.37B,2.946B,21.32B,9.536B,2.712B,52.00M,,,1.185B,32.28B
2003-03,,16.01B,,16.01B,,,,20.99B,,,,,,,,3.68B,,,13.98B,213.03B,3.887B,,209.14B,88.78B,348.68B,369.67B,,,,33.20B,33.20B,33.20B,33.20B,49.87B,,49.87B,235.87B,,,285.74B,338.90B,2.942B,20.35B,9.514B,2.947B,48.00M,,,913.00M,30.77B
2002-12,,18.17B,,18.17B,1.139B,5.219B,6.358B,29.30B,,,,,,,,3.688B,,,15.11B,250.30B,3.819B,,246.48B,38.11B,319.79B,349.20B,,,,33.45B,33.45B,33.45B,33.45B,50.20B,,50.20B,216.92B,,,267.12B,318.88B,3.145B,19.36B,9.498B,2.465B,251.00M,,,786.00M,30.32B
2002-09,,15.81B,,15.81B,,,32.38B,52.24B,,,,,,,,3.664B,,,10.65B,191.83B,3.861B,,187.97B,75.31B,282.01B,334.25B,,,,30.37B,30.37B,30.37B,30.37B,48.71B,,48.71B,205.76B,,,254.46B,304.18B,2.952B,18.44B,9.499B,1.888B,58.00M,,,1.07B,30.07B
2002-06,,14.70B,,14.70B,,,28.00B,46.44B,,,,,,,,3.638B,,,10.67B,190.17B,3.883B,,186.28B,37.13B,268.36B,314.80B,,,,30.11B,30.11B,30.11B,30.11B,44.80B,,44.80B,193.21B,,,238.01B,285.28B,2.948B,17.53B,9.488B,1.358B,54.00M,,,919.00M,29.53B
2002-03,,14.56B,,14.56B,,,26.38B,43.73B,,,,,,,,3.66B,,,10.71B,210.03B,3.842B,,206.19B,40.08B,267.78B,311.51B,,,,33.41B,33.41B,33.41B,33.41B,43.72B,,43.72B,189.57B,,,233.29B,283.18B,2.945B,16.61B,9.472B,1.375B,51.00M,,,676.00M,28.33B
2001-12,,16.97B,,16.97B,,,,19.50B,,,,,,,,3.549B,,,10.54B,207.65B,3.761B,,203.89B,40.31B,288.07B,307.57B,,,,37.78B,37.78B,37.78B,37.78B,38.53B,,38.53B,187.27B,,,225.80B,280.36B,2.958B,16.00B,9.436B,1.937B,64.00M,,,752.00M,27.21B
2001-09,,15.79B,,15.79B,,,25.48B,44.52B,,,,,,,,3.534B,,,10.66B,197.00B,3.761B,,193.24B,40.75B,253.58B,298.10B,,,,40.20B,40.20B,40.20B,40.20B,36.37B,,36.37B,176.76B,,,213.13B,270.78B,3.156B,15.28B,9.438B,1.522B,262.00M,,,969.00M,27.32B
2001-06,,15.97B,,15.97B,,,21.13B,40.11B,,,,,,,,3.531B,,,10.70B,191.82B,3.76B,,188.06B,41.29B,249.65B,289.76B,,,,31.68B,31.68B,31.68B,31.68B,36.27B,,36.27B,178.26B,,,214.53B,262.70B,3.153B,14.62B,9.427B,1.189B,259.00M,,,1.054B,27.06B
2001-03,,15.52B,,15.52B,,,22.28B,40.67B,,,,,,,,3.429B,,,10.42B,185.43B,3.759B,,181.67B,38.14B,239.00B,279.67B,,,,29.35B,29.35B,29.35B,29.35B,35.54B,,35.54B,171.32B,,,206.86B,252.80B,3.15B,15.18B,9.354B,937.00M,256.00M,,,122.00M,26.86B
2000-12,,16.98B,,16.98B,,,21.93B,40.50B,,,,,,,,3.415B,,,10.49B,177.48B,3.719B,,173.76B,38.66B,231.92B,272.43B,,,,28.99B,28.99B,28.99B,28.99B,32.98B,,32.98B,169.56B,,,202.54B,245.94B,3.161B,14.54B,9.337B,1.075B,267.00M,,,524.00M,26.49B
2000-09,,14.05B,,14.05B,17.71B,,17.71B,33.91B,,,,,,,,3.024B,,,10.10B,156.28B,3.417B,,152.86B,35.70B,207.20B,241.12B,,,,22.48B,22.48B,22.48B,22.48B,30.04B,,30.04B,150.97B,,,181.01B,215.93B,3.042B,12.83B,8.856B,1.242B,265.00M,,,1.708B,25.19B
2000-06,,14.17B,,14.17B,,,20.18B,37.76B,,,,,,,,2.959B,,,9.74B,147.60B,3.349B,,144.25B,34.60B,196.40B,234.16B,,,,26.30B,26.30B,26.30B,26.30B,27.42B,,27.42B,146.45B,,,173.87B,211.03B,3.042B,12.30B,8.863B,2.035B,265.00M,,,960.00M,23.13B
2000-03,,12.10B,,12.10B,,,19.78B,34.94B,,,,,,,,2.906B,,,9.605B,136.67B,3.237B,,133.43B,36.77B,187.34B,222.28B,,,,21.33B,21.33B,21.33B,21.33B,25.55B,,25.55B,141.47B,,,167.02B,198.65B,3.04B,11.71B,8.789B,1.628B,263.00M,,,1.722B,23.63B
1999-12,,14.12B,,14.12B,,,16.55B,32.39B,,,,,,,,3.372B,,,9.345B,150.72B,3.344B,,147.38B,43.91B,208.66B,241.05B,,,,31.73B,31.73B,31.73B,31.73B,27.80B,,27.80B,145.92B,,,173.72B,217.18B,3.165B,12.56B,9.213B,1.831B,271.00M,,,759.00M,23.87B
1999-09,,12.01B,,12.01B,,,14.12B,27.68B,,,,,,,,3.124B,,,8.954B,129.22B,3.167B,,126.05B,36.91B,179.38B,207.06B,,,,19.25B,19.25B,19.25B,19.25B,25.70B,,25.70B,131.56B,,,157.25B,184.88B,460.00M,10.62B,,,460.00M,,,,22.18B
1999-06,,12.63B,,12.63B,,,14.73B,29.06B,,,,,,,,3.141B,,,8.979B,127.62B,3.165B,,124.45B,35.71B,176.36B,205.42B,,,,20.16B,20.16B,20.16B,20.16B,22.05B,,22.05B,132.54B,,,154.60B,184.05B,460.00M,10.03B,,,460.00M,,,,21.38B
1999-03,,11.36B,,11.36B,,,15.16B,27.39B,,,,,,,,3.13B,,,9.184B,113.74B,3.161B,,110.58B,35.80B,174.04B,201.43B,,,,17.27B,17.27B,17.27B,17.27B,21.15B,,21.15B,132.34B,,,153.49B,180.15B,307.00M,9.525B,,,307.00M,,,,21.28B
1998-12,,12.73B,,12.73B,,,10.89B,25.14B,,,,,,,,3.13B,,,9.174B,133.09B,3.134B,,129.95B,32.00B,177.33B,202.48B,,,,15.90B,15.90B,15.90B,15.90B,20.49B,,20.49B,136.79B,,,157.28B,181.72B,3.232B,9.045B,8.673B,651.00M,463.00M,,,460.00M,20.76B
1998-09,,5.375B,,5.375B,5.807B,,5.807B,11.18B,,,,,,,,1.470B,,,,63.84B,1.337B,,62.51B,25.84B,92.55B,103.73B,,,,15.70B,15.70B,15.70B,15.70B,14.67B,,14.67B,60.18B,,,74.85B,96.24B,187.10M,5.613B,,,187.10M,,,405.60M,7.488B
1998-06,,5.883B,,5.883B,5.768B,,5.768B,11.65B,,,,,,,,1.377B,,,,59.05B,1.262B,,57.79B,19.43B,81.50B,93.15B,,,,12.19B,12.19B,12.19B,12.19B,12.32B,,12.32B,56.80B,,,69.11B,85.81B,186.50M,5.365B,,,186.50M,,,374.70M,7.346B
