,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-09,121.98M,,,,,,4.099M,20.16M,4.899M,25.05M,25.05M,42.88M,,,8.845M,-232.22M,73.39M,-5.034M,-117.48M,,,0.608M,-280.73M,0.468M,-77.41M,,-23.96M,3.84M,-20.12M,-47.51M,-36.96M,-7.582M,-112.17M,,,,11.07M,22.33M,-212.24M,-189.91M,,-5.025M,,-0.331M,-184.20M,,1.635B,-373.78M,1.261B,,22.33M,,,-212.24M,,,
2006-06,119.47M,,,,,,-50.15M,20.71M,4.243M,24.96M,24.96M,15.44M,,,43.87M,-154.29M,-117.77M,1.611M,298.50M,,,0.396M,28.45M,,182.04M,,-29.02M,43.60M,14.58M,-10.29M,834.24M,7.582M,846.11M,,,,-1.099M,17.91M,-373.74M,-355.83M,,-5.106M,,-1.618M,-363.65M,,970.55M,664.49M,1.635B,,17.91M,,,-373.74M,,,
2006-03,129.00M,,,,,,25.47M,19.04M,4.188M,23.23M,23.23M,21.05M,,,-14.85M,-312.31M,624.87M,-6.898M,-15.25M,,,-1.026M,289.39M,-1.153M,472.13M,,-32.24M,0.331M,-31.90M,-157.31M,-147.91M,0.00,-337.13M,,,,25.18M,64.20M,-44.34M,19.86M,,-5.254M,,-0.697M,39.08M,,796.47M,174.09M,970.55M,,64.20M,,,-44.34M,,,
2005-12,97.27M,,,,,,-0.189M,20.22M,3.472M,23.69M,23.69M,12.71M,,,14.85M,18.86M,-930.04M,1.736M,990.33M,,,0.13M,81.02M,1.153M,230.51M,,-27.91M,1.868M,-26.04M,-81.12M,-360.49M,28.14M,-439.51M,,,,99.74M,33.61M,-88.92M,-55.32M,,-5.21M,,-0.295M,38.92M,,966.55M,-170.09M,796.47M,,33.61M,,,-88.92M,,,
2005-09,19.50M,,,,,,132.13M,19.87M,3.436M,23.31M,23.31M,-10.66M,,,,-201.39M,525.88M,-16.72M,-195.92M,,0.428M,-0.474M,111.81M,,276.09M,,-39.78M,,-35.56M,-0.944M,-39.97M,14.48M,-50.99M,,,,-6.839M,82.29M,-0.931M,81.36M,,-2.606M,,-15.02M,56.89M,,684.57M,281.98M,966.55M,,82.29M,,,-0.931M,,,
2005-06,94.78M,,,,,,13.67M,18.51M,2.272M,20.78M,20.78M,11.02M,,,,-7.383M,84.73M,-3.797M,-157.44M,,-0.428M,1.607M,-82.70M,,57.54M,,-40.35M,,-40.35M,-2.872M,-9.415M,1.479M,-51.15M,,,,-100.00M,38.27M,-110.84M,-72.57M,,-2.611M,,-0.321M,-175.51M,,853.69M,-169.12M,684.57M,,38.27M,,,-110.84M,,,
2005-03,85.92M,,,,,,19.02M,19.28M,4.038M,23.32M,23.32M,-1.986M,,,,-237.09M,527.78M,3.273M,650.28M,,,-0.235M,944.00M,,1.070B,,-44.06M,,-44.06M,-0.588M,-299.74M,0.763M,-343.63M,,,,0.00,23.42M,-422.79M,-399.37M,,-2.753M,,-0.366M,-402.49M,,529.54M,324.15M,853.69M,,23.42M,,,-422.79M,,,
2004-12,64.45M,,,,,,9.566M,18.88M,4.59M,23.47M,23.47M,18.65M,,,,53.10M,-65.81M,6.189M,14.50M,,,-1.372M,6.598M,,122.73M,,-79.18M,,-79.18M,,,19.97M,-55.65M,,,,-180.00M,30.08M,-253.19M,-223.11M,,-2.628M,,-3.149M,-408.88M,,871.34M,-341.80M,529.54M,,30.08M,,,-253.19M,,,
2004-09,91.99M,,,,,,1.171M,18.34M,4.855M,23.20M,23.20M,-11.73M,,,,-187.42M,778.20M,-13.11M,-517.50M,,-0.20M,-0.895M,59.08M,,163.71M,,-45.35M,,-45.01M,-0.922M,,15.60M,-30.33M,,,,-15.00M,0.573M,-137.28M,-136.70M,,-11.20M,,-2.307M,-165.21M,,903.17M,-31.83M,871.34M,,0.573M,,,-137.28M,,,
2004-06,125.78M,,,,,,24.06M,18.11M,4.804M,22.92M,22.92M,19.05M,,,,456.11M,9.199M,6.741M,-15.88M,,0.20M,-8.81M,447.56M,,639.35M,,-58.60M,,-58.60M,-22.25M,,,-80.85M,,,,-323.42M,6.036M,-8.097M,-2.061M,,5.607M,,0.778M,-319.10M,,663.76M,239.41M,903.17M,,6.036M,,,-8.097M,,,
2004-03,142.15M,,,,,,-5.184M,16.68M,4.681M,21.36M,21.36M,26.81M,,,,-218.44M,53.93M,2.585M,450.81M,,,2.39M,291.28M,,476.42M,,-33.82M,,-33.82M,-45.71M,,0.123M,-79.41M,,,,-15.00M,1.965M,-0.319M,1.646M,,-2.805M,,-0.312M,-16.47M,,283.22M,380.54M,663.76M,,1.965M,,,-0.319M,,,
2003-12,108.47M,,,,,,-4.557M,14.93M,4.677M,19.61M,19.61M,14.76M,,,,-317.64M,74.98M,-6.988M,-349.45M,,,6.42M,-592.68M,,-454.40M,,-51.52M,,-51.52M,,,-0.123M,-51.64M,,,,-15.00M,6.577M,,6.577M,,-2.802M,,0.451M,-10.77M,,800.04M,-516.81M,283.22M,,6.577M,,,,,,
2003-09,119.53M,,,,,,18.87M,19.23M,5.18M,24.41M,24.41M,61.19M,,,,191.40M,995.64M,-32.73M,-233.31M,,-1.041M,3.261M,923.22M,,1.147B,,-39.66M,0.495M,-39.17M,-18.39M,,,-57.56M,,,,-517.28M,7.653M,0.576M,8.229M,,-2.798M,,-2.594M,-514.45M,,224.82M,575.21M,800.04M,,7.653M,,,0.576M,,,
2003-06,112.55M,,,,,,17.31M,14.70M,3.537M,18.24M,18.24M,47.90M,,,,-332.03M,178.35M,-0.258M,-218.15M,,1.041M,-2.076M,-373.13M,,-177.13M,,-15.73M,0.115M,-15.61M,-60.84M,,,-76.46M,,,,234.36M,22.24M,0.00,22.24M,,-2.765M,,-1.384M,252.46M,,225.96M,-1.133M,224.82M,,22.24M,,,0.00,,,
2003-03,116.41M,,,,,,18.36M,15.26M,3.479M,18.74M,18.74M,-0.349M,,,,196.38M,-508.78M,3.297M,206.37M,,,0.642M,-102.09M,,51.08M,,-18.68M,0.041M,-18.63M,-31.32M,,,-49.95M,,,,-141.07M,2.843M,-0.576M,2.267M,,-2.758M,,-0.387M,-141.94M,,366.78M,-140.82M,225.96M,,2.843M,,,-0.576M,,,
2002-12,92.74M,,,,,,9.056M,15.80M,3.242M,19.04M,19.04M,18.42M,,,,-113.72M,-943.60M,6.40M,243.87M,,,1.434M,-805.61M,,-666.35M,,-16.49M,0.075M,-16.41M,-1.427M,,,-17.84M,,,,385.00M,9.823M,,9.823M,,-2.674M,,-4.525M,387.62M,,663.34M,-296.56M,366.78M,,9.823M,,,,,,
2002-09,94.96M,,,,,,26.46M,15.84M,2.419M,18.26M,18.26M,41.80M,,,,-107.32M,-244.56M,-8.971M,594.34M,,-1.423M,-5.717M,226.36M,,407.85M,,-23.52M,1.698M,-21.82M,,,11.84M,-146.21M,,,,0.00,26.42M,,26.42M,,-2.658M,,14.53M,38.30M,,363.41M,299.93M,663.34M,,26.42M,,,,,,
2002-06,90.22M,,,,,,16.31M,14.31M,1.857M,16.17M,16.17M,-1.989M,,,,-84.52M,121.90M,-0.816M,-259.73M,,-0.769M,,-223.94M,,-103.23M,,-19.64M,-1.518M,-21.16M,,,-2.087M,-23.24M,,,,0.00,34.55M,,34.55M,,-2.64M,,-5.849M,26.06M,,463.82M,-100.41M,363.41M,,34.55M,,,,,,
2002-03,91.87M,,,,,,16.95M,13.85M,2.053M,15.90M,15.90M,-11.76M,,,,37.54M,483.11M,-0.141M,10.22M,,2.192M,-1.897M,531.03M,,644.00M,,-10.93M,1.465M,-9.465M,,,-5.639M,-15.10M,,,,-450.04M,31.02M,,31.02M,,-2.607M,,-0.147M,-421.77M,,256.69M,207.13M,463.82M,,31.02M,,,,,,
2001-12,67.88M,,,,,,17.88M,14.25M,1.999M,16.25M,16.25M,17.80M,,,,20.66M,-722.65M,-1.721M,169.31M,,,1.897M,-532.50M,,-412.70M,,-10.07M,0.053M,-10.02M,,,-8.24M,-18.26M,,,,389.92M,9.509M,,9.509M,,-2.595M,,-6.821M,390.02M,,297.63M,-40.94M,256.69M,,9.509M,,,,,,
2001-09,34.58M,,,,,,26.51M,7.882M,2.222M,10.10M,10.10M,12.16M,,,,-80.15M,-334.57M,3.413M,541.92M,,-0.182M,,130.43M,,213.79M,,-5.224M,0.333M,-4.891M,,,3.152M,132.08M,,,,-123.08M,9.242M,,9.242M,,,,-28.70M,-142.54M,,94.30M,203.33M,297.63M,,9.242M,,,,,,
2001-06,31.51M,,,,,,6.225M,3.744M,1.042M,4.786M,4.786M,4.808M,,,1.078M,-3.794M,-135.18M,0.509M,-103.49M,,0.182M,,-241.78M,,-193.37M,,-5.894M,0.041M,-5.853M,,,-6.512M,-12.36M,,,,169.77M,4.084M,,4.084M,,,,-0.083M,173.77M,,126.27M,-31.97M,94.30M,,4.084M,,,,,,
2001-03,31.52M,,,,,,4.989M,6.978M,2.846M,5.298M,5.298M,4.235M,,,-1.078M,35.96M,90.72M,-0.25M,2.629M,-0.186M,-0.128M,,128.75M,,173.71M,,-6.802M,13.04M,6.236M,,,-3.282M,2.954M,,,,-220.01M,7.669M,,7.669M,,,,-0.415M,-212.75M,,162.36M,-36.09M,126.27M,,7.669M,,,,,,
2000-12,26.19M,,,,,,4.332M,,,4.526M,4.526M,3.13M,,,,-103.62M,-347.10M,,178.10M,0.186M,0.128M,,-272.31M,,-234.13M,,-5.443M,0.265M,-5.178M,,,,-5.178M,,,,279.94M,9.84M,,9.84M,,,,-8.935M,280.85M,,120.82M,41.54M,162.36M,,9.84M,,,,,,
2000-09,28.00M,,,,,,2.363M,,,4.511M,4.511M,9.968M,,,,-31.04M,58.57M,,130.40M,1.283M,0.42M,,159.64M,,204.48M,,-4.259M,0.378M,-3.881M,,,-0.254M,-7.167M,,,,-119.71M,7.125M,,7.125M,,,,-0.068M,-112.65M,,36.16M,84.66M,120.82M,,7.125M,,,,,,
2000-06,25.12M,,,,,,5.291M,,,4.126M,4.126M,4.918M,,,,38.65M,-356.28M,,206.59M,-2.069M,0.874M,,-112.24M,,-72.78M,,-4.675M,0.002M,-4.673M,,,-3.406M,-8.079M,,,,63.54M,4.295M,,4.295M,,,,-0.059M,67.78M,,49.24M,-13.08M,36.16M,,4.295M,,,,,,
2000-03,24.30M,,,,,,1.886M,,,4.583M,4.583M,5.738M,,,0.10M,57.18M,170.06M,,-19.33M,0.263M,-0.788M,1.70M,209.08M,,245.69M,,-3.785M,1.256M,-2.529M,,,0.086M,-2.443M,,,,-251.09M,0.104M,,0.104M,,,,0.085M,-250.90M,,56.90M,-7.657M,49.24M,,0.104M,,,,,,
1999-12,21.60M,,,,,,0.80M,,,4.20M,4.20M,5.20M,,,-0.10M,-88.60M,-199.70M,,98.30M,-0.80M,,-1.70M,-192.50M,,-160.80M,,-3.90M,,-3.90M,,,0.10M,-3.80M,,,,161.80M,0.40M,,0.40M,,,,-0.20M,162.00M,,59.50M,-2.60M,56.90M,,0.40M,,,,,,
1999-09,11.00M,,,,,,10.10M,,,4.90M,4.90M,-3.80M,,,0.10M,-75.20M,36.70M,,64.30M,59.00M,-0.20M,,84.60M,,106.90M,,-3.50M,1.60M,-1.90M,,,0.10M,-1.80M,,,,-91.90M,0.70M,-0.30M,0.40M,,,,-0.20M,-91.70M,,46.10M,13.40M,59.50M,,0.70M,,,-0.30M,,,
1999-06,21.79M,,,,,,-0.696M,,,4.892M,4.892M,5.399M,,,-0.10M,-4.438M,-256.11M,,134.33M,-18.86M,0.324M,,-144.75M,,-113.47M,,-4.856M,0.697M,-4.159M,,,-0.003M,-4.162M,,,,44.46M,0.617M,-0.028M,0.589M,,,,-0.50M,44.55M,,119.20M,-73.08M,46.10M,,0.617M,,,-0.028M,,,
1999-03,20.21M,,,,,,3.096M,,,4.908M,4.908M,5.401M,,,0.10M,33.54M,136.71M,,-10.43M,-3.843M,0.576M,0.30M,156.85M,,190.57M,,-0.844M,0.103M,-0.741M,,,-3.597M,-4.338M,,,,-116.16M,4.483M,0.028M,4.511M,,,,0.10M,-111.55M,,44.60M,74.68M,119.20M,,4.483M,,,0.028M,,,
1998-12,17.90M,,,,,,1.40M,,,5.20M,5.20M,4.30M,,,-0.10M,-65.60M,-206.40M,,58.10M,4.50M,,-0.30M,-209.70M,,-181.00M,,-6.60M,,-6.60M,,,0.10M,-6.50M,,,,180.50M,3.20M,-0.10M,3.10M,,,,-0.10M,183.50M,,48.50M,-4.00M,44.60M,,3.20M,,,-0.10M,,,
1998-09,-1.20M,,,,,,11.40M,,,7.20M,7.20M,14.50M,,,-0.10M,-7.00M,-8.10M,,21.00M,35.90M,6.10M,,47.90M,,79.70M,,-4.20M,1.10M,-3.10M,,,-29.10M,-32.20M,,,,-50.60M,1.80M,,1.60M,,,,-1.60M,-50.60M,,0.00,-3.10M,48.50M,,1.80M,,,,,,
1998-06,16.50M,,,,,,0.20M,,,4.30M,4.30M,3.00M,,,0.00,14.40M,83.20M,,0.10M,-27.50M,-6.50M,,63.70M,,87.70M,,-2.70M,0.00,-2.70M,,,0.10M,-2.60M,,,,-88.90M,2.90M,,2.90M,,,,4.20M,-81.80M,,0.00,3.30M,0.00,,2.90M,,,,,,
1998-03,16.20M,,,,,,5.20M,,,4.10M,4.10M,1.00M,,,0.20M,92.20M,74.80M,,-17.10M,-29.70M,-0.10M,,120.10M,,146.80M,,-2.60M,0.10M,-2.50M,,,,-2.50M,,,,-150.50M,1.50M,,1.50M,,,,-4.20M,-153.20M,,0.00,-8.90M,0.00,,1.50M,,,,,,
1997-12,14.50M,,,,,,3.00M,,,3.90M,3.90M,1.00M,,,-0.10M,-27.60M,-16.30M,,-172.00M,0.20M,0.10M,,-215.60M,,-193.30M,,-2.60M,1.30M,-1.30M,,,,-1.30M,,,,191.20M,0.50M,,0.50M,,,,,191.70M,,60.00M,-2.90M,0.00,,0.50M,,,,,,
1997-09,18.80M,,,,,,2.20M,,,4.10M,4.10M,-11.10M,,,2.20M,-53.10M,-224.20M,,182.70M,-1.20M,,,-96.40M,,-80.20M,,-3.60M,-0.10M,-3.70M,,,8.00M,4.30M,,,,51.80M,2.30M,,2.10M,,,,-1.90M,52.00M,,0.00,-23.90M,60.10M,,2.30M,,,,,,
1997-06,6.40M,,,,,,3.90M,,,3.90M,3.90M,1.20M,,,-0.40M,8.70M,30.30M,,97.50M,-2.30M,,,134.20M,,149.20M,,-4.60M,0.10M,-4.50M,,,-0.10M,-4.60M,,,,-123.90M,0.70M,,0.70M,,,,1.30M,-121.90M,,0.00,22.70M,0.00,,0.70M,,,,,,
1997-03,13.10M,,,,,,3.60M,,,3.50M,3.50M,2.50M,,,-1.70M,50.30M,33.00M,,20.20M,-0.40M,,,103.10M,,124.10M,,-5.20M,0.40M,-4.80M,,,-138.70M,-143.50M,,,,44.20M,0.80M,,0.80M,,,,-3.10M,41.90M,,0.00,22.50M,0.00,,0.80M,,,,,,
1996-12,11.80M,,,,,,2.00M,,,3.10M,3.10M,2.30M,,,0.10M,-84.20M,-112.80M,,-25.60M,-0.40M,,,-223.00M,,-203.70M,,-2.90M,1.50M,-1.40M,,,0.10M,-1.30M,,,,178.30M,,,,,,,-0.10M,178.20M,,65.60M,-26.80M,0.00,,,,,,,,
1996-09,13.30M,,,,,,8.20M,,,3.20M,3.20M,-3.00M,,,1.60M,-56.10M,-33.90M,,114.20M,1.50M,,,25.00M,,48.30M,,-3.70M,0.00,-3.70M,,,-0.70M,-4.40M,,,,-37.80M,0.00,,0.00,,,,0.00,-37.80M,,0.00,6.10M,0.00,,0.00,,,,,,
1996-06,10.40M,,,,,,4.80M,,,3.10M,3.10M,3.10M,,,1.50M,7.30M,-25.40M,,-16.80M,-0.50M,,,-35.40M,,-12.50M,,-2.30M,0.00,-2.30M,,,-0.30M,-2.60M,,,,-38.60M,49.30M,,49.30M,,,,0.10M,10.80M,,0.00,-4.30M,0.00,,49.30M,,,,,,
1996-03,10.10M,,,,,,0.30M,,,2.60M,2.60M,3.00M,,,-6.20M,21.10M,-10.50M,,27.80M,8.40M,,,46.80M,,56.60M,,-6.40M,0.50M,-5.90M,,,-28.40M,-34.30M,,,,-8.30M,,,,,,,0.10M,-8.20M,,0.00,14.10M,0.00,,,,,,,,
1995-12,8.90M,,,,,,-0.10M,,,2.70M,2.70M,2.70M,,,6.80M,-21.30M,-143.30M,,91.20M,,,,-73.40M,,-52.40M,,-3.30M,,-3.30M,,,,-3.30M,,,,73.40M,,,,,,,-0.10M,73.30M,,32.20M,17.60M,0.00,,,,,,,,
1995-09,10.80M,,,,,,6.00M,,,2.90M,2.90M,-0.40M,,,1.70M,-43.40M,37.60M,,-35.10M,21.80M,-4.60M,,-23.70M,,-2.70M,,-4.60M,0.40M,-4.20M,,,-4.30M,-8.50M,,,,19.90M,0.00,-0.40M,-0.40M,,,,0.00,19.50M,,0.00,8.30M,0.00,,0.00,,,-0.40M,,,
1995-06,9.80M,,,,,,-7.90M,,,2.50M,2.50M,0.00,,,10.10M,9.80M,-14.50M,,85.00M,1.40M,-2.60M,,79.10M,,93.60M,,-3.10M,0.10M,-3.00M,,,-0.50M,-3.50M,,,,-233.40M,148.60M,-4.00M,144.60M,,,,-2.40M,-91.20M,,0.00,-1.10M,0.00,,148.60M,,,-4.00M,,,
1995-03,6.70M,,,,,,19.80M,,,2.20M,2.20M,-1.00M,,,-12.30M,15.50M,90.40M,,-52.50M,-38.50M,3.20M,,18.10M,,33.50M,,-2.60M,0.10M,-2.50M,,,-0.10M,-2.60M,,,,-33.80M,0.00,-1.30M,-1.30M,,1.30M,,-1.40M,-35.20M,,0.00,-4.30M,0.00,,0.00,,,-1.30M,,,
1994-12,0.90M,,,,,,-0.70M,,,2.50M,2.50M,,,,0.30M,-33.20M,-162.80M,,29.10M,-0.10M,4.00M,,-163.00M,,-160.00M,,-3.40M,1.60M,-1.80M,,,0.10M,-1.70M,,,,173.10M,0.10M,,0.10M,,-1.30M,,-6.20M,165.70M,,25.30M,4.00M,0.00,,0.10M,,,,,,
