,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,778.38M,830.46M,1.609B,3.634B,3.634B,4.602B,30.06M,,9.875B,0.00,35.66M,255.38M,575.27M,866.31M,-340.74M,525.57M,2.703B,483.64M,3.186B,,,3.712B,13.59B,,7.302B,7.302B,388.46M,7.690B,,,0.833M,0.833M,499.66M,499.66M,,8.191B,1.199B,1.199B,,,,,,102.01M,1.301B,9.492B,,2.375M,2.284B,3.554B,1.729B,,,-16.56M,4.095B,,,
2006-12,798.39M,445.65M,1.244B,3.423B,3.423B,4.628B,36.53M,,9.332B,0.00,35.74M,252.91M,557.96M,846.61M,-327.93M,518.68M,2.697B,494.89M,3.192B,,,3.711B,13.04B,,6.766B,6.766B,528.31M,7.294B,,,1.155M,1.155M,491.80M,491.80M,,7.787B,1.211B,1.211B,,,,,,105.39M,1.316B,9.104B,,2.357M,2.164B,3.484B,1.694B,,,-16.37M,3.939B,,,
2006-09,1.261B,67.84M,1.329B,3.427B,3.427B,4.422B,32.10M,,9.210B,0.00,35.99M,251.32M,536.62M,823.94M,-314.19M,509.75M,2.589B,475.06M,3.064B,,,3.574B,12.78B,,6.499B,6.499B,478.52M,6.978B,,,1.56M,1.56M,479.85M,479.85M,,7.459B,1.094B,1.094B,,,,,,89.64M,1.184B,8.643B,,2.354M,2.051B,3.467B,1.364B,,,-15.30M,4.141B,,,
2006-06,1.658B,,1.658B,3.147B,3.147B,4.471B,28.45M,,9.305B,0.00,35.99M,250.79M,541.92M,828.70M,-316.08M,512.62M,2.574B,475.82M,3.050B,,,3.562B,12.87B,,6.530B,6.530B,470.77M,7.001B,,,2.545M,2.545M,436.77M,436.77M,,7.440B,1.082B,1.082B,,,,,,114.56M,1.197B,8.637B,,2.348M,1.934B,3.440B,1.121B,,,-25.12M,4.230B,,,
2006-03,1.052B,783.94M,1.836B,2.990B,2.990B,4.354B,25.29M,,9.205B,0.00,43.08M,277.34M,510.46M,830.88M,-306.54M,524.34M,2.565B,486.66M,3.052B,,,3.576B,12.78B,,6.319B,6.319B,410.45M,6.730B,,,3.043M,3.043M,399.84M,399.84M,,7.132B,1.078B,1.078B,,,,,,104.99M,1.183B,8.315B,,2.344M,1.820B,3.417B,747.52M,,,-25.57M,4.467B,,,
2005-12,1.506B,,1.506B,2.664B,2.664B,4.972B,24.30M,,9.166B,0.00,43.48M,266.11M,485.43M,795.01M,-297.04M,497.98M,,2.911B,2.911B,,,3.409B,12.58B,,6.307B,6.307B,415.80M,6.723B,,,1.243M,1.243M,382.00M,382.00M,,7.106B,1.051B,1.051B,,,,,,98.62M,1.150B,8.256B,,2.323M,1.696B,3.350B,704.22M,,,-24.88M,4.320B,,,
2005-09,966.55M,349.13M,1.316B,2.641B,2.641B,4.004B,27.67M,,7.988B,0.00,43.68M,267.85M,484.67M,796.19M,-281.44M,514.76M,2.432B,447.16M,2.879B,,,3.393B,11.38B,,5.292B,5.292B,387.74M,5.680B,,,1.232M,1.232M,370.87M,370.87M,,6.052B,951.48M,951.48M,,,,,,97.24M,1.049B,7.101B,,2.312M,1.604B,3.314B,615.29M,,,-24.81M,4.280B,,,
2005-06,993.73M,,993.73M,2.455B,2.455B,4.534B,19.32M,,8.002B,0.00,42.76M,265.43M,472.77M,780.96M,-268.20M,512.77M,,2.892B,2.892B,,,3.405B,11.41B,,5.467B,5.467B,410.64M,5.878B,,,1.464M,1.464M,390.81M,390.81M,,6.270B,856.07M,856.07M,,,,,,96.19M,952.26M,7.223B,,1.142M,1.587B,3.225B,615.29M,,,-13.60M,4.184B,,,
2005-03,1.153B,,1.153B,2.450B,2.450B,4.624B,18.76M,,8.246B,0.00,42.96M,255.07M,466.03M,764.06M,-270.04M,494.02M,,2.893B,2.893B,,,3.387B,11.63B,,5.656B,5.656B,426.68M,6.082B,,,101.43M,101.43M,369.06M,369.06M,,6.553B,856.37M,856.37M,,,,,,61.72M,918.09M,7.471B,,1.135M,1.495B,3.200B,521.08M,,,-13.58M,4.162B,,,
2004-12,529.54M,,529.54M,2.210B,2.210B,5.185B,22.17M,,7.947B,0.00,42.96M,247.60M,438.23M,728.78M,-258.62M,470.16M,,2.893B,2.893B,,,3.363B,11.31B,,5.018B,5.018B,421.67M,5.439B,,,101.40M,101.40M,375.10M,375.10M,,5.916B,1.124B,1.124B,,,,,,58.16M,1.182B,7.098B,,1.13M,1.412B,3.180B,366.54M,,,-13.58M,4.212B,,,
2004-09,871.34M,,871.34M,2.261B,2.261B,5.136B,27.24M,,8.295B,0.00,42.96M,233.40M,433.56M,709.91M,-244.65M,465.26M,,2.893B,2.893B,,,3.359B,11.65B,,4.947B,4.947B,513.73M,5.461B,,,281.36M,281.36M,361.78M,361.78M,,6.104B,1.157B,1.157B,,,,,,53.94M,1.211B,7.315B,,1.125M,1.350B,3.146B,144.76M,,,-13.58M,4.339B,,,
2004-06,903.17M,,903.17M,2.392B,2.392B,5.597B,17.17M,,8.909B,0.00,37.10M,206.00M,416.61M,659.72M,-216.77M,442.94M,,2.891B,2.891B,,,3.333B,12.24B,,5.459B,5.459B,488.84M,5.948B,,,76.35M,76.35M,383.46M,383.46M,,6.408B,1.380B,1.380B,,,,,,61.82M,1.442B,7.849B,,1.124M,1.261B,3.146B,,,,-14.05M,4.393B,,,
2004-03,663.76M,,663.76M,2.849B,2.849B,5.606B,29.40M,,9.148B,0.00,37.38M,188.52M,396.45M,622.34M,-208.50M,413.84M,,2.865B,2.865B,,,3.279B,12.43B,,5.500B,5.500B,495.03M,5.995B,,,356.13M,356.13M,350.30M,350.30M,,6.701B,1.399B,1.399B,,,,,,64.42M,1.463B,8.164B,,1.123M,1.138B,3.138B,,,,-14.05M,4.263B,,,
2003-12,283.22M,,283.22M,2.623B,2.623B,5.659B,30.89M,,8.596B,0.00,37.01M,174.67M,378.81M,590.48M,-201.66M,388.82M,,2.825B,2.825B,,,3.214B,11.81B,,5.025B,5.025B,505.42M,5.530B,,,66.39M,66.39M,326.84M,326.84M,,5.923B,1.703B,1.703B,,,,,,62.26M,1.766B,7.689B,,1.122M,998.52M,3.135B,,,,-14.22M,4.121B,,,
2003-09,800.04M,,800.04M,2.295B,2.295B,5.734B,29.21M,,8.859B,0.00,35.46M,152.29M,350.90M,538.66M,-185.49M,353.17M,,2.828B,2.828B,,,3.182B,12.04B,,5.394B,5.394B,436.09M,5.830B,,,61.43M,61.43M,317.02M,317.02M,47.80M,6.256B,1.723B,1.723B,,,,,,55.98M,1.779B,8.035B,,1.12M,892.85M,3.126B,,,,-14.22M,4.005B,,,
2003-06,224.82M,,224.82M,2.501B,2.501B,6.729B,15.16M,,9.470B,0.00,24.95M,122.32M,336.28M,483.55M,-173.65M,309.91M,,2.808B,2.808B,21.16M,,3.140B,12.61B,,5.588B,5.588B,495.64M,6.084B,,,60.91M,60.91M,293.86M,293.86M,,6.439B,2.239B,2.239B,,,,,,45.26M,2.284B,8.723B,,1.118M,776.12M,3.116B,,,,-5.943M,3.887B,,,
2003-03,225.96M,,225.96M,2.164B,2.164B,6.899B,16.21M,,9.305B,0.00,24.95M,121.20M,306.31M,452.47M,-166.10M,286.36M,,2.705B,2.705B,27.37M,,3.019B,12.32B,,5.783B,5.783B,522.14M,6.305B,,,60.95M,60.95M,222.37M,222.37M,,6.588B,2.001B,2.001B,,,,,,42.57M,2.043B,8.632B,,1.103M,666.34M,3.030B,,,,-5.944M,3.692B,,,
2002-12,366.78M,,366.78M,2.328B,2.328B,6.381B,19.12M,,9.096B,0.00,24.95M,134.62M,273.07M,432.64M,-150.84M,281.81M,,2.572B,2.572B,,9.351M,2.863B,11.96B,,5.542B,5.542B,531.78M,6.074B,,,211.00M,211.00M,220.44M,220.44M,,6.505B,1.992B,1.992B,,,,,,42.03M,2.034B,8.539B,,1.07M,552.68M,2.872B,,,,-5.944M,3.420B,,,
2002-09,663.34M,,663.34M,2.222B,2.222B,5.438B,26.26M,,8.350B,0.00,24.95M,134.39M,263.15M,422.50M,-139.92M,282.58M,,2.568B,2.568B,12.40M,,2.863B,11.21B,,5.368B,5.368B,465.79M,5.834B,,,60.82M,60.82M,205.07M,205.07M,,6.100B,1.756B,1.756B,,,,,,40.66M,1.797B,7.897B,,1.066M,462.62M,2.859B,,,,-5.943M,3.316B,,,
2002-06,363.41M,,363.41M,2.131B,2.131B,5.174B,18.79M,,7.687B,0.00,24.95M,130.77M,251.73M,407.45M,-127.67M,279.78M,,2.455B,2.455B,10.59M,,2.745B,10.43B,,4.764B,4.764B,416.71M,5.181B,,,45.00M,45.00M,158.80M,158.80M,58.49M,5.443B,1.494B,1.494B,,,,,275.12M,30.68M,1.799B,7.243B,,1.059M,370.32M,2.819B,,,,-0.562M,3.190B,,,
2002-03,463.82M,,463.82M,2.061B,2.061B,5.296B,17.83M,,7.839B,0.00,24.95M,128.09M,240.61M,393.66M,-116.18M,277.48M,,2.464B,2.464B,19.41M,,2.761B,10.60B,,5.077B,5.077B,402.94M,5.480B,,,30.00M,30.00M,163.24M,163.24M,50.44M,5.723B,1.509B,1.509B,,,,,274.95M,43.26M,1.827B,7.550B,,1.049M,282.73M,2.766B,,,,-0.37M,3.050B,,,
2001-12,256.69M,,256.69M,2.106B,2.106B,5.779B,17.09M,,8.159B,0.00,25.18M,166.42M,187.60M,379.19M,-99.24M,279.96M,,2.477B,2.477B,17.76M,,2.775B,10.93B,,5.122B,5.122B,408.14M,5.530B,,,15.00M,15.00M,176.97M,176.97M,,5.722B,1.974B,1.974B,,,,,274.78M,43.93M,2.293B,8.015B,,1.039M,193.47M,2.723B,,,,0.258M,2.918B,,,
2001-09,297.63M,,297.63M,2.143B,2.143B,5.056B,15.96M,,7.513B,0.00,25.18M,166.13M,186.89M,378.20M,-88.63M,289.57M,,2.467B,2.467B,22.33M,,2.779B,10.29B,,4.992B,4.992B,361.60M,5.353B,,,,,162.32M,162.32M,16.66M,5.532B,1.597B,1.597B,,,,,274.62M,48.32M,1.920B,7.453B,,1.035M,128.18M,2.710B,,,,-0.336M,2.839B,,,
2001-06,94.30M,,94.30M,677.18M,677.18M,1.955B,4.266M,,2.731B,0.00,3.832M,39.94M,109.78M,153.55M,-82.54M,71.01M,,,,,85.81M,156.82M,2.888B,,1.640B,1.640B,76.87M,1.717B,,,,,117.09M,117.09M,,1.834B,640.93M,640.93M,,,,,,10.25M,651.18M,2.485B,,0.596M,93.60M,314.95M,6.22M,,,,402.92M,,,
2001-03,126.27M,,126.27M,676.65M,676.65M,1.820B,4.341M,,2.627B,0.00,3.832M,39.12M,106.85M,149.80M,-80.65M,69.15M,,,,,87.79M,156.94M,2.784B,,1.756B,1.756B,62.99M,1.819B,,,,,118.47M,118.47M,,1.938B,302.43M,302.43M,,,,,,178.72M,481.15M,2.419B,,0.594M,62.09M,308.97M,6.22M,,,,365.44M,,,
2000-12,162.36M,,162.36M,,722.93M,1.918B,,4.854M,2.808B,,,,,144.41M,-77.61M,66.80M,,,,,81.21M,148.01M,2.956B,,1.755B,1.755B,,1.755B,,,,,,,172.74M,1.928B,693.15M,693.15M,,,,,,11.63M,704.78M,2.633B,,0.592M,30.57M,297.83M,6.22M,,,,322.77M,,,
2000-09,120.82M,,120.82M,,623.96M,1.571B,,5.336M,2.321B,,,,,140.77M,-75.80M,64.96M,,,,,72.99M,137.95M,2.459B,,1.584B,1.584B,,1.584B,,,,,,,167.34M,1.751B,413.22M,413.22M,,,,,,11.59M,424.80M,2.176B,,0.588M,4.382M,283.54M,6.22M,,,,282.29M,,,
2000-06,36.16M,,36.16M,595.40M,595.40M,1.629B,,5.564M,2.266B,,,,,139.07M,-74.19M,64.88M,,,,,71.70M,136.59M,2.403B,,1.450B,1.450B,,1.450B,,,,,,,166.60M,1.616B,532.88M,532.88M,,,,,,8.628M,541.51M,2.158B,,0.584M,-23.61M,274.39M,6.22M,,,,245.14M,,,
2000-03,49.24M,,49.24M,,642.48M,1.273B,,4.55M,1.969B,,,,,134.22M,-70.82M,63.40M,,,,,69.23M,132.63M,2.102B,,1.255B,1.255B,,1.255B,,,,,,,154.70M,1.410B,469.40M,469.40M,,,,,,8.98M,478.38M,1.888B,,0.58M,-48.73M,268.17M,6.22M,,,,213.79M,,,
1999-12,56.90M,,56.90M,,700.90M,1.443B,,5.20M,2.206B,,,,,133.20M,-68.60M,64.60M,,,,,74.00M,138.60M,2.344B,,1.267B,1.267B,,1.267B,,,,,,,159.50M,1.427B,720.40M,720.40M,,,,,,8.30M,728.70M,2.155B,,0.60M,-73.00M,268.00M,6.20M,,,-0.10M,189.20M,,,
1999-09,59.50M,,59.50M,612.50M,612.50M,1.243B,,4.80M,1.92B,,,,,134.80M,-70.40M,64.40M,,,,,76.20M,140.60M,2.061B,,1.176B,1.176B,,1.176B,,,,,,,151.70M,1.327B,558.70M,558.70M,,,,,,8.30M,567.00M,1.894B,,0.60M,-94.60M,266.70M,6.20M,,,-0.20M,166.30M,,,
1999-06,46.10M,,46.10M,,485.90M,1.206B,,58.30M,1.796B,,,,,123.80M,-64.10M,59.70M,,,,,59.30M,119.00M,1.915B,,1.050B,1.050B,,1.050B,,,,,,,135.90M,1.186B,575.20M,575.20M,,,,,,8.70M,583.90M,1.770B,,,-105.20M,,,,,,145.20M,,,
1999-03,119.10M,,119.10M,,480.30M,942.20M,,40.20M,1.582B,,,,,121.40M,-61.60M,59.80M,,,,,77.90M,137.70M,1.720B,,917.30M,917.30M,,917.30M,,,,,,,151.10M,1.068B,518.60M,518.60M,,,,,,8.60M,527.20M,1.596B,,,-125.20M,,,,,,123.90M,,,
1998-12,44.40M,,44.40M,,522.00M,1.067B,,34.70M,1.668B,,,,,118.70M,-58.80M,59.90M,,,,,79.30M,139.20M,1.807B,,908.50M,908.50M,,908.50M,,,,,,,151.20M,1.060B,640.30M,640.30M,,,,,,8.70M,649.00M,1.709B,,,-145.60M,,,,,,98.20M,,,
1998-09,48.50M,,48.50M,,509.10M,954.00M,,46.90M,1.558B,,,,,127.80M,-59.80M,68.00M,,,,,99.80M,167.80M,1.726B,,947.00M,947.00M,,947.00M,,,,,,,146.00M,1.093B,539.50M,539.50M,,,,,,18.40M,557.90M,1.651B,,,-162.10M,,,,,,75.40M,,,
1998-06,51.60M,,51.60M,,449.00M,876.10M,,70.40M,1.447B,,,,,120.40M,-56.10M,64.30M,,,,,64.60M,128.90M,1.576B,,841.70M,841.70M,,841.70M,,,,,,,113.00M,954.70M,541.60M,541.60M,,,,,,10.90M,552.50M,1.507B,,,-166.80M,,,,,,68.80M,,,
1998-03,48.20M,,48.20M,,462.40M,959.30M,,43.00M,1.513B,,,,,118.40M,-53.00M,65.40M,,,,,52.90M,118.30M,1.631B,,849.30M,849.30M,,849.30M,,,,,,,92.70M,942.00M,630.50M,630.50M,,,,,,10.70M,641.20M,1.583B,,,-183.20M,,,,,,48.00M,,,
1997-12,57.10M,,57.10M,,560.20M,1.034B,,13.30M,1.665B,,,,,116.20M,-50.00M,66.20M,,,,,49.20M,115.40M,1.780B,,865.20M,865.20M,,865.20M,,,,,,,93.80M,959.00M,781.00M,781.00M,,,,,,10.50M,791.50M,1.750B,,,-199.40M,,,,,,29.60M,,,
1997-09,60.00M,,60.00M,,533.30M,1.018B,,13.60M,1.625B,,,,,115.00M,-47.50M,67.50M,,,,,52.80M,120.30M,1.745B,,1.036B,1.036B,,1.036B,,,,,,,93.60M,1.130B,589.80M,589.80M,,,,,,10.80M,600.60M,1.731B,,,-213.90M,,,,,,14.30M,,,
1997-06,83.90M,,83.90M,,490.60M,795.10M,,13.70M,1.383B,,,,,111.10M,-45.60M,65.50M,,,,,53.50M,119.00M,1.502B,,874.30M,874.30M,,874.30M,,,,,,,90.60M,964.90M,532.30M,532.30M,,,,,,11.10M,543.40M,1.508B,,,-230.10M,,,,,,-6.00M,,,
1997-03,61.20M,,61.20M,,499.90M,825.40M,,11.30M,1.398B,,,,,112.60M,-43.10M,69.50M,,,,,52.20M,121.70M,1.520B,,786.40M,786.40M,,786.40M,,,,,,,79.30M,865.70M,656.20M,656.20M,,,,,,10.70M,666.90M,1.533B,,,-236.40M,,,,,,-13.10M,,,
1996-12,38.70M,,38.70M,,478.40M,763.10M,,3.60M,1.284B,,,,,92.00M,-40.70M,51.30M,,,,,20.30M,71.60M,1.355B,,688.70M,688.70M,,688.70M,,,,,,,73.50M,762.20M,611.90M,611.90M,,,,,,6.30M,618.20M,1.380B,,,-247.60M,,,,,,-25.00M,,,
1996-09,65.60M,,65.60M,,390.30M,650.30M,,8.90M,1.115B,,,,,91.50M,-39.80M,51.70M,,,,,21.20M,72.90M,1.188B,,715.00M,715.00M,,715.00M,,,,,,,70.80M,785.80M,433.70M,433.70M,,,,,,5.30M,439.00M,1.225B,,,-259.40M,,,,,,-36.80M,,,
1996-06,59.60M,,59.60M,,332.00M,616.10M,,10.40M,1.018B,,,,,88.00M,-37.50M,50.50M,,,,,23.40M,73.90M,1.092B,,593.40M,593.40M,,593.40M,,,,,,,74.30M,667.70M,471.60M,471.60M,,,,,,7.10M,478.70M,1.146B,,,-272.70M,,,,,,-54.40M,,,
1996-03,63.80M,,63.80M,,340.30M,590.70M,,9.80M,1.005B,,,,,86.00M,-35.40M,50.60M,,,,,27.90M,78.50M,1.083B,,609.60M,609.60M,,609.60M,,,,,,,75.50M,685.10M,500.90M,500.90M,,,,,,7.50M,508.40M,1.194B,,,-275.90M,,,,,,-110.40M,,,
1995-12,49.80M,,49.80M,,340.00M,547.80M,,10.90M,948.50M,,,,,80.00M,-33.50M,46.50M,,,,,19.60M,66.10M,1.015B,,548.00M,548.00M,,548.00M,,,,,,,73.20M,621.20M,509.10M,509.10M,,,,,,8.20M,517.30M,1.138B,,,-286.00M,,,,,,-123.90M,,,
1995-09,32.20M,,32.20M,,318.70M,404.50M,,17.80M,773.20M,,,,,76.80M,-31.60M,45.20M,,,,,20.30M,65.50M,838.70M,,462.80M,462.80M,,462.80M,,,,,,,67.20M,530.00M,435.80M,435.80M,,,,,,8.60M,444.40M,974.40M,,,-294.80M,,,,,,-135.70M,,,
1995-06,24.00M,,24.00M,,276.10M,438.70M,,39.60M,778.40M,,,,,73.10M,-30.30M,42.80M,,,,,23.00M,65.80M,844.20M,,507.50M,507.50M,,507.50M,,,0.10M,0.10M,,,62.20M,569.80M,415.70M,415.70M,,,,,,6.40M,422.10M,991.90M,,,-305.60M,,,,,,-147.70M,,,
1995-03,25.00M,,25.00M,,286.50M,424.10M,,41.00M,776.60M,,,,,71.10M,-29.00M,42.10M,,,,,21.60M,63.70M,840.30M,,424.20M,424.20M,,424.20M,,,0.10M,0.10M,,,70.60M,494.90M,433.10M,433.10M,,,,,,218.50M,651.60M,1.146B,,,-309.30M,,,,,,-306.20M,,,
1994-12,29.30M,,29.30M,,302.80M,514.50M,,9.30M,855.90M,,,,,68.80M,-27.60M,41.20M,,,,,18.60M,59.80M,915.70M,,473.80M,473.80M,,473.80M,,,0.10M,0.10M,,,83.50M,557.40M,462.70M,462.70M,,,,,,208.30M,671.00M,1.228B,,,-315.80M,,,,,,-312.70M,,,
