,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-06,94.96M,94.96M,522.45M,522.45M,,81.38M,,14.17M,,712.96M,,,,,,,,3.198B,-1.062B,2.135B,2.374B,423.62M,2.797B,,67.86M,5.001B,5.714B,142.71M,,,142.71M,287.86M,430.57M,,31.80M,,31.80M,169.79M,169.79M,,632.17M,2.972B,,2.972B,288.46M,,288.46M,5.883M,,163.22M,3.423B,4.056B,2.00M,430.54M,1.166B,,,,,53.53M,1.652B
2007-03,61.48M,61.48M,485.69M,485.69M,,85.47M,,34.96M,,667.59M,,,,,,,,3.052B,-1.004B,2.048B,2.195B,294.11M,2.489B,,65.16M,4.602B,5.270B,132.93M,,,132.93M,267.83M,400.76M,,99.88M,,99.88M,165.05M,165.05M,,665.70M,2.593B,,2.593B,263.23M,,263.23M,5.503M,,155.08M,3.011B,3.677B,1.995M,391.49M,1.153B,,,,,41.42M,1.588B
2006-12,45.37M,45.37M,473.37M,473.37M,,100.45M,,60.54M,,679.72M,0.0,931.78M,240.34M,672.50M,944.30M,177.08M,,2.966B,-950.76M,2.015B,2.165B,282.76M,2.448B,,66.68M,4.530B,5.210B,148.46M,,,148.46M,266.93M,415.39M,,63.10M,,63.10M,160.15M,160.15M,,638.65M,2.606B,,2.606B,280.22M,,280.22M,5.29M,,126.38M,3.012B,3.651B,1.991M,373.39M,1.144B,,,,,33.79M,1.553B
2006-09,45.39M,45.39M,458.00M,458.00M,,89.00M,,27.53M,,619.92M,,,,,,,,2.844B,-916.00M,1.928B,2.186B,264.21M,2.450B,,61.38M,4.439B,5.059B,137.33M,,,137.33M,262.60M,399.93M,,59.75M,,59.75M,156.50M,156.50M,,616.19M,2.575B,,2.575B,272.13M,,272.13M,5.041M,,86.92M,2.934B,3.550B,1.324M,336.25M,1.132B,,,,,34.26M,1.504B
2006-06,40.95M,40.95M,440.28M,440.28M,,82.61M,,25.74M,,589.60M,,,,,,,,2.747B,-870.99M,1.876B,2.186B,243.90M,2.430B,,61.53M,4.367B,4.957B,139.56M,,,139.56M,244.20M,383.77M,,65.76M,,65.76M,159.68M,159.68M,,609.21M,2.542B,,2.542B,254.50M,,254.50M,5.083M,,82.52M,2.879B,3.488B,1.322M,309.64M,1.124B,,,,,29.02M,1.464B
2006-03,42.55M,42.55M,421.94M,421.94M,,71.44M,,27.16M,,563.09M,,,,,,,,2.627B,-820.47M,1.807B,2.131B,232.05M,2.363B,,64.05M,4.234B,4.797B,113.61M,,,113.61M,246.36M,359.97M,,33.22M,,33.22M,157.35M,157.35M,,550.54M,2.531B,,2.531B,236.40M,,236.40M,4.672M,,72.44M,2.840B,3.391B,1.318M,271.80M,1.112B,,,,,17.12M,1.402B
2005-12,53.41M,53.41M,408.56M,408.56M,,64.57M,,27.62M,,554.17M,0.0,846.17M,208.69M,1.396B,,106.32M,,2.557B,-775.61M,1.781B,2.139B,229.01M,2.368B,,63.06M,4.212B,4.766B,148.23M,,,148.23M,266.72M,414.95M,,25.90M,,25.90M,151.14M,151.14M,,592.00M,2.504B,,2.504B,225.31M,,225.31M,5.867M,,69.31M,2.798B,3.390B,1.317M,244.52M,1.106B,,,,,18.68M,1.370B
2005-09,43.99M,43.99M,394.60M,394.60M,,74.47M,,32.79M,,545.85M,,,,,,,,2.436B,-733.60M,1.702B,,2.247B,2.247B,,56.86M,4.007B,4.552B,111.68M,,,111.68M,246.74M,358.42M,,26.30M,,26.30M,142.23M,142.23M,0.885M,527.84M,2.382B,,2.382B,249.19M,,249.19M,5.969M,,59.93M,2.691B,3.219B,1.311M,218.16M,1.090B,,,,,17.69M,1.327B
2005-06,29.52M,29.52M,375.84M,375.84M,,71.40M,,34.54M,,511.30M,,,,,,,,2.404B,-695.94M,1.708B,,2.061B,2.061B,,259.51M,4.029B,4.540B,115.09M,,,115.09M,265.94M,381.03M,,23.57M,,23.57M,140.57M,140.57M,0.812M,545.98M,2.406B,,2.406B,231.03M,,231.03M,5.288M,,61.10M,2.698B,3.244B,1.307M,181.78M,1.082B,,,,,25.87M,1.291B
2005-03,28.78M,28.78M,376.87M,376.87M,,70.88M,,35.80M,,512.32M,,,,,,,,2.330B,-655.73M,1.674B,,2.260B,2.260B,,61.90M,3.996B,4.508B,101.07M,,,101.07M,240.81M,341.88M,,50.89M,,50.89M,139.58M,139.58M,0.741M,533.08M,2.449B,,2.449B,215.68M,,215.68M,4.873M,,50.30M,2.715B,3.248B,1.303M,156.37M,1.074B,,,,,23.77M,1.255B
2004-12,31.94M,31.94M,354.43M,354.43M,,78.74M,,36.03M,,501.15M,0.0,819.22M,181.45M,1.195B,,71.63M,,2.267B,-617.04M,1.650B,,2.040B,2.040B,,251.22M,3.941B,4.442B,103.42M,,,103.42M,236.14M,339.56M,,39.44M,,39.44M,136.47M,136.47M,,515.46M,2.439B,,2.439B,206.54M,,206.54M,13.04M,,50.18M,2.695B,3.211B,1.298M,133.42M,1.064B,,,,,20.28M,1.219B
2004-09,44.43M,44.43M,343.94M,343.94M,,59.05M,,32.21M,,479.63M,,,,,,,,2.143B,-567.97M,1.575B,,1.944B,1.944B,,207.53M,3.727B,4.206B,96.62M,,,96.62M,236.22M,332.84M,,17.92M,,17.92M,119.16M,119.16M,0.451M,470.38M,2.330B,,2.330B,183.60M,,183.60M,11.74M,,45.25M,2.559B,3.029B,1.293M,103.54M,1.053B,,,,,7.194M,1.165B
2004-06,40.01M,40.01M,322.44M,322.44M,,63.63M,,35.31M,,461.39M,,,,,,,,2.071B,-528.37M,1.543B,,1.865B,1.865B,,197.66M,3.606B,4.067B,85.15M,,,85.15M,231.12M,316.28M,,18.38M,,18.38M,115.44M,115.44M,0.422M,450.52M,2.260B,,2.260B,168.34M,,168.34M,11.94M,,44.35M,2.473B,2.924B,1.292M,85.09M,1.050B,,,,,-4.827M,1.131B
2004-03,30.98M,30.98M,305.00M,305.00M,,62.28M,,31.46M,,429.71M,,,,,,,,2.020B,-494.81M,1.525B,,1.830B,1.830B,,223.98M,3.579B,4.009B,82.68M,,,82.68M,208.26M,290.94M,,34.35M,,34.35M,109.69M,109.69M,0.567M,435.55M,2.263B,,2.263B,150.23M,,150.23M,11.49M,,48.31M,2.461B,2.897B,0.858M,62.23M,1.041B,,,,,-4.00M,1.101B
2003-12,74.68M,74.68M,279.80M,279.80M,,84.06M,,33.04M,,471.58M,0.0,745.84M,144.24M,988.41M,,72.40M,,1.951B,-458.63M,1.492B,,1.776B,1.776B,,151.97M,3.421B,3.892B,87.01M,,,87.01M,234.43M,321.43M,,115.78M,,115.78M,107.86M,107.86M,39.68M,584.74M,1.974B,,1.974B,146.23M,,146.23M,75.78M,,45.08M,2.165B,2.750B,0.856M,39.23M,1.034B,,,,,-8.046M,1.066B
2003-09,23.54M,23.54M,276.39M,276.39M,,60.98M,,35.20M,,396.12M,,,,1.898B,,,,1.898B,-424.31M,1.473B,,1.726B,1.726B,,143.54M,3.343B,3.740B,77.96M,,,77.96M,195.09M,273.04M,,60.81M,,60.81M,101.99M,101.99M,37.28M,473.13M,2.002B,,2.002B,118.94M,,118.94M,72.19M,,50.78M,2.172B,2.645B,0.853M,10.81M,1.031B,,,,,-20.39M,1.022B
2003-06,177.86M,177.86M,239.99M,239.99M,,35.15M,,33.73M,,486.73M,,,,,,,,1.701B,-394.04M,1.307B,,1.587B,1.587B,,95.09M,2.989B,3.476B,73.46M,,,73.46M,176.53M,249.99M,,52.90M,,52.90M,97.06M,97.06M,23.08M,423.03M,1.822B,,1.822B,104.61M,,104.61M,68.46M,,56.19M,1.983B,2.406B,0.853M,-3.986M,1.028B,,,,,-23.70M,1.002B
2003-03,13.58M,13.58M,248.97M,248.97M,,42.61M,,34.09M,,339.25M,,,,,,,,1.644B,-367.72M,1.276B,1.573B,,1.573B,,81.16M,2.930B,3.269B,72.78M,,,72.78M,161.46M,234.24M,,43.86M,,43.86M,97.72M,97.72M,21.12M,396.94M,1.680B,,1.680B,93.52M,,93.52M,67.64M,,54.50M,1.828B,2.225B,0.852M,-24.12M,1.024B,,,,,-24.46M,976.41M
2002-12,56.29M,56.29M,225.42M,225.42M,,51.14M,,34.19M,,367.04M,,,,1.578B,,,,1.578B,-338.40M,1.239B,,1.545B,1.545B,,79.45M,2.864B,3.231B,76.12M,,,76.12M,168.02M,244.14M,,69.73M,,69.73M,95.19M,95.19M,18.90M,427.96M,1.662B,,1.662B,78.46M,,78.46M,62.13M,,54.87M,1.796B,2.224B,0.85M,-45.40M,1.020B,,,,,-31.04M,944.86M
2002-09,27.60M,27.60M,228.60M,228.60M,,31.65M,,33.31M,,321.16M,,,,,,,,1.423B,-313.60M,1.109B,,1.524B,1.524B,,77.98M,2.711B,3.032B,61.64M,,,61.64M,154.77M,216.42M,,40.97M,,40.97M,93.75M,93.75M,18.17M,369.31M,1.571B,,1.571B,80.41M,,80.41M,59.75M,,19.01M,1.671B,2.040B,0.848M,-61.89M,1.016B,,,,,-22.49M,932.45M
2002-06,26.06M,26.06M,232.38M,232.38M,,37.77M,,30.99M,,327.19M,,,,,,,,1.295B,-285.62M,1.009B,,1.520B,1.520B,,74.96M,2.604B,2.931B,57.86M,,,57.86M,154.55M,212.42M,,38.75M,,38.75M,91.84M,91.84M,15.40M,358.42M,1.487B,,1.487B,69.11M,,69.11M,55.21M,,46.21M,1.603B,1.961B,0.846M,-77.58M,1.013B,,,,,-21.34M,915.19M
2002-03,11.42M,11.42M,228.40M,228.40M,,40.50M,,31.67M,,311.99M,,,,1.245B,,,,1.245B,-261.75M,983.51M,,1.522B,1.522B,,74.48M,2.580B,2.892B,69.48M,,,69.48M,159.70M,229.17M,,37.42M,,37.42M,85.47M,85.47M,17.60M,369.66M,1.466B,,1.466B,58.70M,,58.70M,62.06M,,38.68M,1.563B,1.933B,0.844M,-91.18M,1.008B,,,,,-21.50M,896.63M
2001-12,21.36M,21.36M,219.05M,219.05M,,37.77M,,31.14M,,309.32M,0.0,393.43M,70.43M,29.05M,636.39M,61.24M,,1.191B,-238.31M,952.23M,1.530B,,1.530B,,68.81M,2.551B,2.860B,64.60M,,,64.60M,153.10M,217.70M,,35.26M,,35.26M,85.89M,85.89M,20.16M,359.01M,1.461B,,1.461B,47.21M,,47.21M,65.29M,,41.59M,1.550B,1.909B,0.843M,-103.70M,1.007B,,,,,-18.02M,885.96M
2001-09,60.14M,60.14M,223.76M,223.76M,,40.56M,,30.67M,,355.13M,,,,1.123B,,,,1.123B,-214.01M,908.63M,,1.526B,1.526B,,64.46M,2.499B,2.854B,51.00M,,,51.00M,166.46M,217.45M,,30.24M,,30.24M,82.37M,82.37M,19.65M,349.71M,1.470B,,1.470B,39.70M,,39.70M,66.47M,,38.62M,1.548B,1.898B,0.56M,-88.99M,1.002B,,,,,-24.43M,889.53M
2001-06,36.84M,36.84M,215.53M,215.53M,,37.83M,,30.64M,,320.84M,,,,,,,,1.080B,-194.29M,886.06M,1.545B,,1.545B,,71.66M,2.503B,2.823B,48.82M,,,48.82M,158.76M,207.59M,,31.40M,,31.40M,,,102.08M,341.06M,1.421B,,1.421B,44.14M,,44.14M,67.98M,,26.83M,1.492B,1.833B,0.558M,-66.18M,998.63M,,,,,-10.52M,922.48M
2001-03,9.903M,9.903M,208.06M,208.06M,,27.69M,,31.13M,,276.78M,,,,1.034B,,,,1.034B,-172.59M,861.30M,,1.536B,1.536B,,64.07M,2.461B,2.738B,37.83M,,,37.83M,146.49M,184.32M,,31.63M,,31.63M,76.73M,76.73M,17.13M,309.81M,1.371B,,1.371B,32.77M,,32.77M,69.27M,,28.83M,1.433B,1.743B,0.555M,-56.44M,994.43M,,,,,-12.61M,925.94M
2000-12,6.20M,6.20M,,176.44M,,,,,54.03M,236.67M,,,,,,,,984.94M,-152.54M,832.39M,,1.526B,1.526B,,64.40M,2.422B,2.659B,42.53M,,,42.53M,,42.53M,,40.79M,,40.79M,,,230.73M,314.05M,1.314B,,1.314B,38.95M,,38.95M,43.03M,,24.27M,1.378B,1.692B,0.553M,-59.38M,990.85M,,,,,-7.566M,924.46M
2000-09,74.59M,74.59M,,177.89M,,,,,44.32M,296.80M,,,,,,,,889.46M,-140.92M,748.53M,,1.511B,1.511B,,62.82M,2.322B,2.619B,38.60M,,,38.60M,,38.60M,,41.27M,,41.27M,,,211.50M,291.37M,1.311B,,1.311B,30.56M,,30.56M,42.82M,,18.15M,1.360B,1.651B,0.55M,-63.48M,992.82M,,,,,-4.814M,925.07M
2000-06,8.347M,8.347M,,169.26M,,,,,40.79M,218.40M,,,,,,,,844.73M,-124.17M,720.56M,,1.533B,1.533B,,62.40M,2.316B,2.534B,27.32M,,,27.32M,,27.32M,,32.81M,,32.81M,,,203.53M,263.65M,1.230B,,1.230B,39.29M,,39.29M,40.45M,,17.75M,1.287B,1.551B,0.547M,-65.19M,1.011B,,,,,-3.67M,942.93M
2000-03,10.10M,10.10M,,160.86M,,,,,43.87M,214.83M,,,,,,,,804.85M,-107.08M,697.77M,,1.505B,1.505B,,51.95M,2.255B,2.470B,29.90M,,,29.90M,,29.90M,,34.66M,,34.66M,,,180.16M,244.73M,1.184B,,1.184B,27.62M,,27.62M,42.37M,,17.22M,1.228B,1.473B,0.544M,-36.94M,991.63M,,,,,-1.072M,954.16M
1999-12,3.80M,3.80M,,104.10M,,,,,35.80M,143.70M,,,,,,,,497.30M,-93.60M,403.70M,,729.20M,729.20M,,40.60M,1.174B,1.317B,25.80M,,,25.80M,,25.80M,,9.90M,,9.90M,,,114.60M,150.30M,603.10M,,603.10M,16.20M,,16.20M,42.30M,,16.50M,635.80M,786.10M,0.40M,-31.60M,560.60M,39.50M,,,,-1.20M,488.80M
1999-09,2.00M,2.00M,56.40M,56.40M,1.10M,,,,7.30M,66.80M,,,,,,,,343.20M,-80.60M,262.60M,,419.10M,419.10M,,2.60M,684.30M,751.10M,10.40M,,,10.40M,,10.40M,,19.20M,,19.20M,,,56.50M,86.10M,564.10M,,564.10M,18.60M,,18.60M,,,6.90M,589.60M,675.70M,4.90M,-17.90M,,,4.90M,,,,75.40M
1999-06,2.30M,2.30M,,50.10M,1.10M,,,,6.70M,60.20M,,,,,,,,329.50M,-76.40M,253.10M,,418.80M,418.80M,,1.70M,673.60M,733.80M,7.80M,,,7.80M,,7.80M,,20.10M,,20.10M,,,58.80M,86.70M,550.40M,,550.40M,17.10M,,17.10M,,,6.50M,574.00M,660.70M,4.80M,-13.60M,,,4.80M,,,,73.10M
1999-03,5.20M,5.20M,,49.80M,1.20M,,,,6.40M,62.60M,,,,,,,,315.80M,-72.80M,243.00M,,420.20M,420.20M,,3.20M,666.40M,729.00M,9.70M,,,9.70M,,9.70M,,22.70M,,22.70M,,,56.00M,88.40M,548.30M,,548.30M,16.10M,,16.10M,,,6.20M,570.60M,659.00M,4.70M,-17.00M,,,4.70M,,,,70.00M
1998-12,1.70M,1.70M,75.60M,75.60M,,,,,66.60M,143.90M,,,,,,,,354.10M,-87.40M,266.70M,,527.20M,527.20M,,29.60M,823.50M,967.40M,20.60M,,,20.60M,,20.60M,,1.70M,,1.70M,,,121.20M,143.50M,454.40M,,454.40M,12.00M,,12.00M,,,18.60M,485.00M,628.50M,0.30M,-17.30M,355.90M,,,,,,338.90M
1998-09,4.40M,4.40M,,42.40M,1.30M,,,,4.50M,52.60M,,,,,,,,280.80M,-64.80M,216.00M,,383.00M,383.00M,,3.00M,602.00M,654.60M,10.50M,,,10.50M,,10.50M,,4.20M,,4.20M,,,51.50M,66.20M,506.50M,,506.50M,12.40M,,12.40M,,,5.60M,524.50M,590.70M,,-25.00M,,,,,,,63.90M
1998-06,2.50M,2.50M,,37.70M,1.40M,,,,4.00M,45.60M,,,,,,,,252.50M,-61.30M,191.20M,,342.90M,342.90M,,2.80M,536.90M,582.50M,5.70M,,,5.70M,,5.70M,,3.60M,,3.60M,,,51.30M,60.60M,439.10M,,439.10M,9.40M,,9.40M,,,4.90M,453.40M,514.00M,,-14.90M,,,,,,,68.50M
