,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-12,478.93M,478.93M,214.96M,263.96M,,,132.79M,,11.64M,,,,,0.579M,177.09M,86.88M,,,,11.64M,,53.78M,22.91M,29.89M,,,-0.989M,,29.89M,22.90M,131.77M,44.90M,86.88M,0.1533,0.0,,,0.1174,0.1533,0.1533,0.0,,,0.1179,0.1533,194.30M,197.30M,
2004-09,459.33M,459.33M,209.80M,249.53M,,,122.51M,,3.225M,,,,,-0.246M,164.53M,85.00M,,,,3.225M,,33.67M,14.29M,18.45M,,,-0.925M,,18.45M,16.52M,128.45M,43.45M,85.00M,0.0933,0.0,,,0.0834,0.0933,0.0933,0.0,,,0.0835,0.0933,193.93M,197.05M,
2004-06,445.41M,445.41M,200.83M,244.58M,,,118.49M,,-3.811M,,,,,-1.134M,157.72M,86.87M,,,,-3.811M,,39.26M,15.82M,22.86M,,,-0.58M,,22.86M,25.14M,127.76M,40.90M,86.87M,0.12,0.0,,,0.1318,0.12,0.1133,0.0,,,0.125,0.1133,193.43M,196.55M,
2004-03,433.92M,433.92M,198.31M,235.61M,,,112.46M,,-2.39M,,,,,0.12M,149.86M,85.75M,,,,-2.39M,,40.02M,16.55M,23.00M,,,-0.476M,,23.00M,24.43M,123.78M,38.03M,85.75M,0.12,0.0,,,0.1274,0.12,0.12,0.0,,,0.1273,0.12,192.84M,196.15M,
2003-12,408.49M,408.49M,187.21M,221.28M,,,98.26M,,6.811M,,,,,,134.52M,86.77M,,,,6.811M,,51.98M,22.10M,28.43M,,,-1.454M,,28.43M,24.34M,124.90M,37.72M,86.77M,0.1467,0.0,,,0.1254,0.1467,0.1444,0.0,,,0.1235,0.1444,192.23M,195.30M,
2003-09,381.76M,381.76M,171.36M,210.40M,,,98.09M,,-12.21M,,,,,1.87M,133.15M,77.25M,,,,-12.21M,,28.12M,12.01M,14.79M,,,-1.31M,,14.79M,22.12M,111.22M,33.98M,77.25M,0.0756,0.0,,,0.1137,0.0756,0.0756,0.0,,,0.1131,0.0756,191.93M,195.13M,
2003-06,359.27M,359.27M,162.03M,197.24M,,,96.13M,,3.034M,,,,,1.688M,128.59M,68.65M,,,,3.034M,,35.42M,15.28M,20.13M,,,-1.558M,,20.13M,18.31M,100.45M,31.80M,68.65M,0.1067,0.0,,,0.0972,0.1067,0.1022,0.0,,,0.0929,0.1022,191.78M,195.28M,
2003-03,351.81M,351.81M,160.15M,191.66M,,,91.16M,,4.932M,,,,,-1.672M,119.43M,72.23M,,,,4.932M,,39.92M,17.34M,21.28M,,,-1.30M,,21.28M,18.32M,103.30M,31.08M,72.23M,0.1111,0.0,,,0.0957,0.1111,0.1111,0.0,,,0.0959,0.1111,191.47M,194.74M,
2002-12,340.47M,340.47M,160.59M,179.88M,,,81.56M,,-6.464M,,,,,2.695M,112.79M,67.09M,,,,-6.464M,,28.38M,11.82M,15.37M,,0.0,-1.187M,,16.48M,19.25M,97.53M,30.44M,67.09M,0.0797,0.04,0.0,,0.1,0.0887,0.0797,0.04,0.0001,,0.0997,0.0842,191.66M,194.54M,
2002-09,333.11M,333.11M,153.86M,179.26M,,,83.99M,,-2.977M,,,,,0.139M,113.08M,66.18M,,,,-2.977M,,27.32M,11.24M,15.70M,,,-0.387M,,15.70M,17.48M,96.51M,30.33M,66.18M,0.0845,0.0,,,0.0939,0.0845,0.0801,0.0,,,0.0893,0.0801,190.54M,193.30M,
2002-06,323.49M,323.49M,151.17M,172.31M,,,85.14M,,7.903M,,,,,33.96M,145.57M,26.75M,,,,7.903M,,34.73M,14.74M,19.99M,,,-1.098M,,19.99M,15.25M,54.44M,27.70M,26.75M,0.1067,0.0,,,0.0817,0.1067,0.1022,0.0,,,0.0777,0.1022,190.20M,193.68M,
2002-03,313.18M,313.18M,148.43M,164.75M,,,82.32M,,-0.262M,,,,,,107.40M,57.36M,,,,-0.262M,,23.26M,9.962M,13.30M,,,-0.957M,,12.52M,13.45M,83.65M,26.30M,57.36M,0.0711,-0.0044,,-0.0041,0.0719,0.0667,0.0667,-0.0044,,-0.0041,0.0675,0.0667,189.84M,193.50M,
2001-12,302.19M,302.19M,143.17M,159.02M,,,81.11M,,8.019M,,,,,,122.27M,36.75M,,,,8.019M,,10.53M,15.34M,-2.882M,,,0.986M,,-14.70M,-7.693M,79.25M,42.51M,36.75M,-0.0161,0.0,,,-0.0414,-0.0783,-0.0161,0.0,,,-0.0414,-0.0783,190.18M,190.18M,
2001-09,291.67M,291.67M,139.92M,151.76M,,,76.82M,,-21.93M,,,,,,115.74M,36.01M,,,,-21.93M,,-19.37M,3.44M,-22.81M,,,-0.027M,,-22.81M,-9.649M,76.16M,40.15M,36.01M,-0.1217,0.0,,,-0.0518,-0.1217,-0.1217,0.0,,,-0.0518,-0.1217,188.46M,188.46M,
2001-06,293.33M,293.33M,139.03M,154.30M,,,78.69M,,6.638M,,,,,,116.47M,37.83M,,,,6.638M,,11.12M,16.09M,-4.966M,,,0.70M,,-9.746M,-8.949M,77.48M,39.65M,37.83M,-0.0267,-0.0267,,-0.0254,-0.0479,-0.0533,-0.0267,-0.0267,,-0.0254,-0.0475,-0.0533,187.82M,191.00M,
2001-03,283.92M,283.92M,139.82M,144.10M,,,70.32M,,-9.988M,,,,,,106.04M,38.07M,,,,-9.988M,,-6.178M,-8.837M,3.199M,,,0.27M,,3.199M,9.192M,74.28M,36.21M,38.07M,0.0178,0.0,,,0.0498,0.0178,0.0167,0.0,,,0.0481,0.0167,187.07M,191.00M,
2000-12,265.54M,265.54M,130.75M,134.79M,,,79.70M,,13.09M,,,,,,114.25M,20.54M,,,,13.09M,,1.868M,-2.228M,4.096M,,,1.151M,,4.096M,-3.758M,55.08M,34.55M,20.54M,0.0237,0.0,,0.0002,-0.0186,0.0267,0.0219,,,0.0,-0.0201,0.0219,185.83M,187.11M,
2000-09,256.13M,256.13M,124.48M,131.66M,,,63.78M,,-4.458M,,,,,,99.22M,32.44M,,,,-4.458M,,-2.424M,-7.023M,4.599M,,,0.63M,,1.707M,7.274M,67.88M,35.43M,32.44M,0.0237,0.0,,-0.0156,0.0382,0.0089,0.0237,0.0,,-0.0156,0.0378,0.0089,185.04M,189.44M,
2000-06,252.56M,252.56M,121.15M,131.41M,,,64.72M,,-22.51M,,,,,,97.19M,34.22M,,,,-22.51M,,-18.40M,9.847M,-28.24M,,,0.136M,,-28.24M,-14.74M,66.69M,32.47M,34.22M,-0.1543,0.0,,,-0.0809,-0.1543,-0.1543,0.0,,,-0.0809,-0.1543,184.14M,184.14M,
2000-03,212.14M,212.14M,103.80M,108.34M,,,53.46M,,-1.297M,,,,,,80.42M,27.92M,,,,-1.297M,,3.146M,8.529M,-5.383M,,,0.307M,,-5.383M,-4.605M,54.88M,26.96M,27.92M,-0.0326,0.0,,,-0.0278,-0.0326,-0.0326,0.0,,,-0.0278,-0.0326,161.81M,161.81M,
1999-12,141.50M,141.50M,70.60M,70.90M,,,34.70M,,,,,,,,54.40M,16.50M,,,,,,2.30M,2.80M,-0.50M,0.40M,,0.20M,0.00,-0.10M,-0.50M,36.20M,19.70M,16.50M,-0.0042,0.0033,,,-0.0042,-0.0008,-0.0042,0.0033,,,-0.0042,-0.0008,120.30M,120.30M,
1999-09,136.91M,136.91M,68.60M,68.31M,,,33.40M,,0.10M,,,,,,50.30M,18.01M,,,,0.10M,,4.00M,3.00M,1.00M,-4.00M,,-0.10M,0.30M,-3.00M,0.94M,34.91M,16.90M,18.01M,0.0089,-0.0326,,,0.0079,-0.0237,0.0089,-0.0326,,,0.0079,-0.0237,62.91M,62.91M,
1999-06,131.80M,131.80M,70.50M,61.30M,,,32.90M,,,,,,,,44.80M,16.50M,,,,,,1.80M,3.20M,-1.40M,9.50M,,-0.30M,0.30M,8.10M,-1.40M,33.25M,16.75M,16.50M,-0.0119,-0.0831,,,-0.0119,-0.095,-0.0119,-0.0831,,,-0.0119,-0.095,59.62M,64.59M,
1999-03,109.40M,109.40M,53.98M,55.42M,,,27.88M,,,,,,,,41.92M,13.50M,,,,,,1.375M,1.623M,-0.248M,0.099M,,-0.147M,0.10M,-0.149M,-0.248M,27.54M,14.05M,13.50M,-0.003,0.0,,,-0.003,-0.003,-0.003,0.0,,,-0.003,-0.003,63.33M,63.33M,
1998-12,189.00M,189.00M,80.10M,108.90M,,,60.50M,,,,,,,,84.40M,24.50M,,,,,,10.90M,4.00M,6.90M,,,,,7.10M,6.90M,48.40M,23.90M,24.50M,0.1123,,,,0.1123,0.1123,0.1123,,,,0.1123,0.1123,63.22M,63.22M,
1998-09,74.60M,74.60M,41.60M,33.00M,,,14.10M,,,,,,,,23.90M,9.10M,,,,,,-3.00M,1.60M,-4.60M,,,,,-4.60M,-4.60M,18.90M,9.80M,9.10M,-0.0742,0.0,,,-0.0742,-0.0742,-0.0742,0.0,,,-0.0742,-0.0742,62.01M,62.01M,
1998-06,64.10M,64.10M,35.70M,28.40M,,,8.90M,,-3.70M,,,,,,18.10M,10.30M,,,,-3.70M,,-3.70M,0.80M,-4.50M,,,,,-4.50M,-2.28M,19.50M,9.20M,10.30M,-0.0742,0.0,,,-0.05,-0.0742,-0.0742,0.0,,,-0.05,-0.0742,91.73M,91.73M,
