,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,-134.00M,,,,-112.00M,144.00M,90.00M,234.00M,234.00M,-474.00M,,,475.00M,-291.00M,250.00M,-18.00M,26.00M,,192.00M,63.00M,222.00M,,2006-12,-226.00M,509.00M,283.00M,-226.00M,683.00M,0.00,740.00M,2006-12,,,-1.069B,2.00M,,2.00M,,-550.00M,,,-1.775B,2006-12,2.834B,-824.00M,8.00M,,2006-12,2.00M,,,,,,
2006-09,338.00M,,,,83.00M,137.00M,93.00M,230.00M,230.00M,-84.00M,,,81.00M,403.00M,-71.00M,11.00M,-64.00M,,39.00M,-22.00M,296.00M,,2006-09,-200.00M,3.00M,-197.00M,226.00M,85.00M,-226.00M,-112.00M,2006-09,,,-57.00M,4.00M,,4.00M,,-551.00M,,,-604.00M,2006-09,2.602B,228.00M,4.00M,,2006-09,4.00M,,,,,,
2006-06,667.00M,,,,-27.00M,144.00M,93.00M,237.00M,237.00M,254.00M,,,58.00M,-62.00M,-26.00M,-7.00M,52.00M,,-202.00M,-99.00M,-344.00M,,2006-06,-165.00M,1.00M,-164.00M,-226.00M,49.00M,196.00M,-145.00M,2006-06,,,-44.00M,6.00M,,6.00M,,-549.00M,,,-587.00M,2006-06,2.477B,113.00M,12.00M,,2006-06,6.00M,,,,,,
2006-03,714.00M,,,,-160.00M,139.00M,87.00M,226.00M,226.00M,68.00M,,,49.00M,160.00M,-75.00M,-29.00M,-474.00M,,-120.00M,-276.00M,-814.00M,,2006-03,-202.00M,4.00M,-198.00M,226.00M,-55.00M,-250.00M,-277.00M,2006-03,,,6.00M,158.00M,,158.00M,,-549.00M,,,-385.00M,2006-03,3.05B,-579.00M,6.00M,,2006-03,158.00M,,,,,,
2005-12,499.00M,,,,-199.00M,150.00M,89.00M,239.00M,239.00M,-251.00M,,,100.00M,-110.00M,-26.00M,38.00M,133.00M,,45.00M,-171.00M,-91.00M,,2005-12,-203.00M,-23.00M,-226.00M,0.00,-1.097B,,-1.323B,2005-12,,,2.46B,40.00M,,40.00M,,-547.00M,,,1.953B,2005-12,2.129B,927.00M,-6.00M,,2005-12,40.00M,,,,,,
2005-09,964.00M,,,,-565.00M,133.00M,84.00M,217.00M,217.00M,161.00M,,,95.00M,-33.00M,-99.00M,7.00M,179.00M,,-121.00M,-45.00M,-112.00M,,2005-09,-186.00M,27.00M,-159.00M,646.00M,-405.00M,,82.00M,2005-09,,,28.00M,6.00M,,6.00M,,-549.00M,,,-515.00M,2005-09,1.798B,327.00M,4.00M,,2005-09,6.00M,,,,,,
2005-06,1.004B,,,,-64.00M,143.00M,87.00M,230.00M,230.00M,-297.00M,,,24.00M,-33.00M,-120.00M,9.00M,-260.00M,,-534.00M,37.00M,-901.00M,,2005-06,-198.00M,53.00M,-145.00M,197.00M,1.424B,27.00M,1.503B,2005-06,,,-2.467B,11.00M,,11.00M,,-545.00M,,,-3.001B,2005-06,3.311B,-1.502B,-11.00M,,2005-06,11.00M,,,,,,
2005-03,533.00M,,,,232.00M,151.00M,92.00M,243.00M,243.00M,-425.00M,,,,715.00M,-125.00M,-16.00M,-430.00M,,87.00M,-31.00M,200.00M,,2005-03,-181.00M,16.00M,-165.00M,,1.121B,-27.00M,929.00M,2005-03,,,-1.638B,109.00M,,109.00M,,-545.00M,,,-2.074B,2005-03,3.68B,-362.00M,-7.00M,,2005-03,109.00M,,,,,,
2004-12,139.00M,,,,13.00M,166.00M,89.00M,255.00M,255.00M,732.00M,,,-165.00M,-348.00M,33.00M,29.00M,148.00M,,-136.00M,-17.00M,-291.00M,,2004-12,-203.00M,17.00M,-186.00M,99.00M,74.00M,-100.00M,-113.00M,2004-12,,,132.00M,46.00M,,46.00M,,-544.00M,,,-366.00M,2004-12,3.446B,204.00M,30.00M,,2004-12,46.00M,,,,,,
2004-09,758.00M,,,,-1.00M,155.00M,83.00M,238.00M,238.00M,-209.00M,,,126.00M,-341.00M,-72.00M,11.00M,343.00M,,-185.00M,-87.00M,-331.00M,,2004-09,-303.00M,8.00M,-295.00M,-102.00M,-183.00M,100.00M,-480.00M,2004-09,,,639.00M,15.00M,,15.00M,,-544.00M,,,110.00M,2004-09,3.227B,211.00M,8.00M,,2004-09,15.00M,,,,,,
2004-06,527.00M,,,,43.00M,139.00M,73.00M,212.00M,212.00M,-293.00M,,,435.00M,-494.00M,-74.00M,-27.00M,144.00M,,57.00M,301.00M,-93.00M,,2004-06,-140.00M,7.00M,-133.00M,-158.00M,-135.00M,0.00,-426.00M,2004-06,,,199.00M,17.00M,,17.00M,,-543.00M,,,-327.00M,2004-06,3.172B,78.00M,-23.00M,,2004-06,17.00M,,,,,,
2004-03,964.00M,,,,-294.00M,133.00M,71.00M,204.00M,204.00M,48.00M,,,44.00M,627.00M,-20.00M,-11.00M,-387.00M,,-52.00M,-42.00M,115.00M,,2004-03,-163.00M,3.00M,-160.00M,346.00M,-539.00M,-250.00M,-603.00M,2004-03,,,600.00M,63.00M,,63.00M,,-543.00M,,,120.00M,2004-03,2.549B,598.00M,25.00M,,2004-03,63.00M,,,,,,
2003-12,506.00M,,,,11.00M,166.00M,69.00M,235.00M,235.00M,52.00M,,,52.00M,-2.00M,177.00M,-13.00M,22.00M,,204.00M,7.00M,395.00M,,2003-12,-329.00M,20.00M,-309.00M,,-590.00M,-85.00M,-984.00M,2003-12,,,39.00M,10.00M,,10.00M,,-542.00M,,,-493.00M,2003-12,2.678B,-226.00M,13.00M,,2003-12,10.00M,,,,,,
2003-09,906.00M,,,,-30.00M,114.00M,77.00M,191.00M,191.00M,352.00M,,,73.00M,-393.00M,-8.00M,68.00M,28.00M,4.00M,-230.00M,-10.00M,-541.00M,,2003-09,-247.00M,10.00M,-237.00M,,-341.00M,57.00M,-521.00M,2003-09,,,436.00M,15.00M,,15.00M,,-543.00M,,,-92.00M,2003-09,2.342B,338.00M,-2.00M,,2003-09,15.00M,,,,,,
2003-06,902.00M,,,,25.00M,106.00M,79.00M,185.00M,185.00M,-101.00M,,,-36.00M,43.00M,-111.00M,6.00M,338.00M,-4.00M,-5.00M,-92.00M,175.00M,,2003-06,-201.00M,6.00M,-195.00M,,-26.00M,-73.00M,-294.00M,2003-06,,,-356.00M,7.00M,,7.00M,,-542.00M,,,-891.00M,2003-06,2.357B,-35.00M,20.00M,,2003-06,7.00M,,,,,,
2003-03,792.00M,,,,-9.00M,105.00M,73.00M,178.00M,178.00M,-54.00M,,,36.00M,-197.00M,69.00M,-11.00M,6.00M,,-742.00M,92.00M,-783.00M,,2003-03,-213.00M,23.00M,-190.00M,,-428.00M,-2.00M,-620.00M,2003-03,,,975.00M,12.00M,,12.00M,,-542.00M,,,445.00M,2003-03,2.367B,-15.00M,5.00M,,2003-03,12.00M,,,,,,
2002-12,445.00M,,,,-44.00M,106.00M,80.00M,186.00M,186.00M,,,,-402.00M,794.00M,154.00M,,548.00M,,-1.394B,859.00M,974.00M,,2002-12,-468.00M,,-441.00M,320.00M,-785.00M,-80.00M,-986.00M,2002-12,,,583.00M,9.00M,-10.00M,-1.00M,,-542.00M,,,40.00M,2002-12,3.562B,-258.00M,11.00M,,2002-12,9.00M,,,-10.00M,,,
2002-09,357.00M,,,,14.00M,109.00M,79.00M,188.00M,188.00M,,,,929.00M,-37.00M,124.00M,,66.00M,,-908.00M,204.00M,-551.00M,,2002-09,-237.00M,,-237.00M,-35.00M,42.00M,-96.00M,-326.00M,2002-09,,,-32.00M,9.00M,-37.00M,-28.00M,,-542.00M,,,-602.00M,2002-09,3.547B,9.00M,6.00M,,2002-09,9.00M,,,-37.00M,,,
2002-06,479.00M,,,,6.00M,107.00M,75.00M,182.00M,182.00M,,,,5.00M,181.00M,-50.00M,,-97.00M,,-295.00M,-5.00M,-266.00M,,2002-06,-266.00M,,-266.00M,-78.00M,129.00M,86.00M,-129.00M,2002-06,,,438.00M,37.00M,-50.00M,-13.00M,,-542.00M,,,-117.00M,2002-06,3.382B,160.00M,5.00M,,2002-06,37.00M,,,-50.00M,,,
2002-03,856.00M,,,,-71.00M,105.00M,74.00M,179.00M,179.00M,,,,249.00M,159.00M,-28.00M,,-434.00M,,-1.802B,-194.00M,-2.299B,,2002-03,-211.00M,,-211.00M,-428.00M,-40.00M,90.00M,-589.00M,2002-03,,,88.00M,83.00M,-67.00M,16.00M,,-542.00M,,,-438.00M,2002-03,5.50B,-2.113B,-5.00M,,2002-03,83.00M,,,-67.00M,,,
2001-12,1.284B,,,,-4.359B,149.00M,79.00M,228.00M,228.00M,,,,3.25B,28.00M,57.00M,,274.00M,,993.00M,211.00M,1.563B,,2001-12,-336.00M,,-336.00M,-2.255B,-1.08B,6.742B,3.071B,2001-12,,,-1.584B,49.00M,-269.00M,-220.00M,,-533.00M,,,-2.337B,2001-12,2.801B,2.70B,-1.00M,,2001-12,49.00M,,,-269.00M,,,
2001-09,1.013B,,,,-300.00M,100.00M,37.00M,137.00M,137.00M,,,,237.00M,-511.00M,-61.00M,,-180.00M,,689.00M,29.00M,-34.00M,,2001-09,-276.00M,,-276.00M,-238.00M,-77.00M,-6.86B,-7.514B,2001-09,,,6.826B,70.00M,-48.00M,22.00M,,-532.00M,,,6.316B,2001-09,2.944B,-145.00M,2.00M,,2001-09,70.00M,,,-48.00M,,,
2001-06,1.201B,,,,-43.00M,114.00M,64.00M,178.00M,178.00M,,,,,353.00M,-30.00M,,30.00M,,-165.00M,-10.00M,178.00M,,2001-06,-236.00M,,-236.00M,-38.00M,95.00M,5.00M,-111.00M,2001-06,,,-16.00M,68.00M,-604.00M,-536.00M,,-535.00M,,,-1.087B,2001-06,2.634B,316.00M,-6.00M,,2001-06,68.00M,,,-604.00M,,,
2001-03,1.336B,,,,-28.00M,118.00M,67.00M,185.00M,185.00M,,,,,-251.00M,-86.00M,,-255.00M,,219.00M,-251.00M,-624.00M,,2001-03,-175.00M,,-175.00M,-22.00M,-108.00M,-5.00M,-310.00M,2001-03,,,17.00M,64.00M,-668.00M,-604.00M,,-537.00M,,,-1.124B,2001-03,3.182B,-565.00M,17.00M,,2001-03,64.00M,,,-668.00M,,,
2000-12,1.163B,,,,-541.00M,,,186.00M,186.00M,,,,,142.00M,-62.00M,,439.00M,,231.00M,-280.00M,470.00M,,2000-12,-258.00M,-848.00M,-1.106B,,-1.00M,120.00M,-335.00M,2000-12,,,7.00M,151.00M,-724.00M,-573.00M,,-480.00M,,,-1.046B,2000-12,2.76B,439.00M,-17.00M,,2000-12,151.00M,,,-724.00M,,,
2000-09,1.236B,,,,9.00M,,,187.00M,187.00M,,,,,-239.00M,127.00M,,-59.00M,,-11.00M,-62.00M,-244.00M,,2000-09,-139.00M,600.00M,461.00M,,1.00M,-116.00M,346.00M,2000-09,,,-88.00M,138.00M,-567.00M,-429.00M,,-481.00M,,,-998.00M,2000-09,2.222B,536.00M,2.00M,,2000-09,138.00M,,,-567.00M,,,
2000-06,1.091B,,,,-20.00M,,,186.00M,186.00M,,,,,-283.00M,-37.00M,,178.00M,,-70.00M,-107.00M,-319.00M,,2000-06,-101.00M,68.00M,-33.00M,,9.00M,-76.00M,-100.00M,2000-06,,,-101.00M,5.00M,-484.00M,-479.00M,,-484.00M,,,-1.064B,2000-06,2.468B,-226.00M,-20.00M,,2000-06,5.00M,,,-484.00M,,,
2000-03,1.221B,,,,,,,187.00M,187.00M,,,,,-114.00M,47.00M,,-302.00M,,-204.00M,-129.00M,-702.00M,,2000-03,-91.00M,180.00M,89.00M,,26.00M,-10.00M,105.00M,2000-03,,,-59.00M,58.00M,-563.00M,-505.00M,,-485.00M,,,-1.049B,2000-03,2.72B,-238.00M,-14.00M,,2000-03,58.00M,,,-563.00M,,,
1999-12,1.052B,,,,-20.00M,,,189.00M,189.00M,,,,,32.00M,-72.00M,,318.00M,,89.00M,-38.00M,329.00M,,1999-12,-254.00M,,-120.00M,,-3.00M,44.00M,-345.00M,1999-12,,,-95.00M,83.00M,-504.00M,-421.00M,,-426.00M,,,-942.00M,1999-12,2.455B,263.00M,2.00M,,1999-12,83.00M,,,-504.00M,,,
1999-09,1.096B,,,,6.00M,,,158.00M,158.00M,,,,,-93.00M,-16.00M,,84.00M,,-214.00M,67.00M,-172.00M,,1999-09,-156.00M,,-156.00M,,31.00M,50.00M,-75.00M,1999-09,,,-38.00M,171.00M,-280.00M,-109.00M,,-427.00M,,,-574.00M,1999-09,2.081B,439.00M,-65.00M,,1999-09,171.00M,,,-280.00M,,,
1999-06,953.00M,,,,-31.00M,,,164.00M,164.00M,,,,,-101.00M,-116.00M,,93.00M,,-19.00M,-78.00M,-221.00M,,1999-06,-177.00M,,-177.00M,,15.00M,-31.00M,-193.00M,1999-06,,,-2.00M,,-201.00M,-201.00M,,-427.00M,,,-630.00M,1999-06,2.003B,42.00M,36.00M,,1999-06,,,,-201.00M,,,
1999-03,1.066B,,,,-34.00M,,,167.00M,167.00M,,,,,-14.00M,-113.00M,,-237.00M,,-46.00M,-68.00M,-478.00M,,1999-03,-122.00M,,-122.00M,,4.00M,-28.00M,-146.00M,1999-03,,,55.00M,,-434.00M,-434.00M,,-427.00M,,,-806.00M,1999-03,2.244B,-231.00M,-10.00M,,1999-03,,,,-434.00M,,,
1998-12,413.00M,,,,772.00M,,,168.00M,168.00M,,,,,9.00M,-58.00M,,195.00M,,-307.00M,-87.00M,-248.00M,,1998-12,-251.00M,4.00M,-247.00M,-26.00M,23.00M,55.00M,-195.00M,1998-12,,,-47.00M,349.00M,-113.00M,236.00M,,-388.00M,,,-199.00M,1998-12,1.531B,711.00M,2.00M,,1998-12,349.00M,,,-113.00M,,,
1998-09,966.00M,,,,5.00M,,,156.00M,156.00M,,,,,-47.00M,3.00M,,10.00M,,262.00M,-36.00M,192.00M,,1998-09,-172.00M,7.00M,-165.00M,0.00,0.00,-6.00M,-171.00M,1998-09,,,58.00M,31.00M,-322.00M,-291.00M,,-387.00M,,,-620.00M,1998-09,1.005B,528.00M,-2.00M,,1998-09,31.00M,,,-322.00M,,,
1998-06,835.00M,,,,28.00M,,,146.00M,146.00M,,,,,-115.00M,11.00M,,-10.00M,,-463.00M,46.00M,-531.00M,,1998-06,-211.00M,241.00M,30.00M,-67.00M,13.00M,-2.00M,-26.00M,1998-06,,,-150.00M,28.00M,-501.00M,-473.00M,,-388.00M,,,-1.011B,1998-06,1.565B,-559.00M,-1.00M,,1998-06,28.00M,,,-501.00M,,,
