,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-12,7.683B,831.00M,8.514B,,,3.164B,203.00M,630.00M,580.00M,,1.413B,256.00M,611.00M,,13.96B,0.00,142.00M,4.35B,3.563B,,840.00M,8.895B,-3.84B,5.055B,5.218B,2.865B,8.083B,1.369B,1.636B,907.00M,,2009-12,1.711B,552.00M,175.00M,2.438B,3.407B,5.845B,,,,,231.00M,,231.00M,237.00M,237.00M,,6.313B,6.13B,,6.13B,949.00M,751.00M,1.658B,-58.00M,422.00M,,2009-12,220.00M,30.76B,3.768B,17.36B,,,-2.541B,14.84B,,2009-12,AOR,Restated
2009-09,6.367B,302.00M,6.669B,,,3.699B,408.00M,684.00M,732.00M,,1.824B,493.00M,702.00M,,13.39B,0.00,208.00M,4.657B,4.191B,,848.00M,9.904B,-4.343B,5.561B,5.475B,2.726B,8.201B,1.202B,1.437B,1.163B,,2009-09,1.796B,626.00M,433.00M,2.855B,3.975B,6.83B,,,,,286.00M,,286.00M,276.00M,276.00M,,7.392B,6.307B,,6.307B,521.00M,,1.018B,-147.00M,1.342B,,2009-09,220.00M,23.29B,3.808B,10.50B,,,-2.218B,14.52B,,2009-09,AOR,Restated
2009-06,7.507B,613.00M,8.12B,,,3.619B,390.00M,669.00M,721.00M,,1.78B,385.00M,666.00M,,14.57B,0.00,150.00M,4.619B,4.077B,,828.00M,9.674B,-4.206B,5.468B,4.827B,1.07B,5.897B,983.00M,1.802B,1.089B,,2009-06,1.802B,630.00M,394.00M,2.826B,3.527B,6.353B,,,,,124.00M,,124.00M,267.00M,267.00M,,6.744B,6.235B,,6.235B,1.403B,,1.061B,-160.00M,430.00M,,2009-06,220.00M,22.94B,3.79B,10.51B,,,-2.255B,14.10B,,2009-06,AOR,Restated
2009-03,7.832B,1.088B,8.92B,,,3.60B,408.00M,639.00M,688.00M,,1.735B,361.00M,759.00M,,15.38B,0.00,148.00M,4.562B,3.946B,,812.00M,9.468B,-4.082B,5.386B,4.827B,1.107B,5.934B,,1.944B,1.054B,,2009-03,1.695B,618.00M,446.00M,2.759B,3.397B,6.156B,,,,,156.00M,,156.00M,321.00M,321.00M,,6.633B,6.492B,,6.492B,1.277B,,1.723B,-208.00M,439.00M,,2009-03,220.00M,22.57B,3.759B,10.51B,,,-2.605B,13.34B,,2009-03,AOR,Restated
2008-12,7.976B,289.00M,8.265B,,,3.644B,320.00M,738.00M,707.00M,,1.765B,320.00M,,703.00M,14.70B,0.00,149.00M,4.506B,4.007B,,787.00M,9.449B,-4.044B,5.405B,4.827B,1.151B,5.978B,188.00M,2.137B,1.081B,,2008-12,1.535B,617.00M,347.00M,2.499B,3.78B,6.279B,,,,,154.00M,,154.00M,277.00M,277.00M,,6.71B,6.585B,,6.585B,1.257B,,2.285B,-33.00M,441.00M,,2008-12,220.00M,22.55B,2.757B,10.57B,,,-2.719B,12.24B,,2008-12,AOR,Restated
2008-09,7.173B,258.00M,7.431B,4.224B,,4.224B,421.00M,772.00M,862.00M,,2.055B,378.00M,691.00M,,14.78B,0.00,151.00M,4.508B,4.15B,,769.00M,9.578B,-4.218B,5.36B,4.841B,1.212B,6.053B,,1.119B,1.165B,,2008-09,1.441B,,,1.441B,3.726B,5.167B,,,,,135.00M,,135.00M,832.00M,832.00M,817.00M,6.951B,6.12B,,6.12B,,,,,2.467B,,2008-09,220.00M,21.92B,2.80B,10.57B,-348.00M,-1.082B,-1.43B,12.94B,,2008-09,,
2008-06,4.047B,355.00M,4.402B,4.469B,,4.469B,490.00M,784.00M,882.00M,,2.156B,386.00M,615.00M,808.00M,12.84B,0.00,152.00M,4.601B,4.278B,,715.00M,9.746B,-4.343B,5.403B,4.877B,1.245B,6.122B,,2.545B,1.158B,,2008-06,1.628B,,,1.628B,3.626B,5.254B,,,,,1.799B,,1.799B,742.00M,742.00M,845.00M,8.64B,6.021B,,6.021B,,,,,2.625B,,2008-06,220.00M,19.96B,2.775B,10.57B,-299.00M,-1.305B,-1.604B,10.78B,,2008-06,,Restated
2008-03,2.443B,194.00M,2.637B,4.541B,,4.541B,516.00M,890.00M,930.00M,,2.336B,388.00M,678.00M,,10.58B,0.00,186.00M,4.65B,4.46B,,780.00M,10.08B,-4.509B,5.567B,4.997B,1.286B,6.283B,,2.574B,1.321B,,2008-03,1.575B,,,1.575B,3.737B,5.312B,,,,,1.781B,,1.781B,616.00M,616.00M,734.00M,8.443B,4.66B,,4.66B,,,,,2.661B,,2008-03,220.00M,19.81B,2.75B,10.57B,-288.00M,-1.358B,-1.646B,10.56B,,2008-03,,Restated
2007-12,1.801B,424.00M,2.225B,4.24B,,4.24B,424.00M,834.00M,904.00M,,2.162B,310.00M,851.00M,560.00M,10.35B,0.00,185.00M,4.696B,4.418B,,915.00M,10.21B,-4.564B,5.65B,4.998B,1.33B,6.328B,,2.716B,1.13B,,2007-12,1.442B,,,1.442B,3.919B,5.361B,,,,,1.891B,,1.891B,447.00M,447.00M,945.00M,8.644B,4.381B,,4.381B,,,,,2.585B,,2007-12,220.00M,19.76B,2.722B,10.58B,-325.00M,-1.233B,-1.558B,10.56B,,2007-12,,
2007-09,1.647B,1.935B,3.582B,3.704B,,3.704B,508.00M,861.00M,900.00M,,2.269B,352.00M,687.00M,,10.59B,0.00,252.00M,4.728B,4.689B,,869.00M,10.54B,-4.685B,5.853B,4.831B,1.632B,6.463B,,2.842B,346.00M,,2007-09,1.343B,,,1.343B,3.799B,5.142B,,,,,1.879B,,1.879B,427.00M,427.00M,603.00M,8.051B,4.248B,,4.248B,,,,,2.646B,,2007-09,220.00M,20.46B,2.596B,10.61B,-350.00M,-1.165B,-1.515B,11.15B,,2007-09,,
2007-06,2.379B,2.267B,4.646B,3.632B,,3.632B,445.00M,831.00M,948.00M,,2.224B,372.00M,670.00M,,11.54B,0.00,252.00M,4.735B,4.645B,,815.00M,10.45B,-4.679B,5.768B,4.831B,1.707B,6.538B,,2.946B,379.00M,,2007-06,1.406B,,,1.406B,3.971B,5.377B,,,,,256.00M,,256.00M,443.00M,443.00M,613.00M,6.689B,6.978B,,6.978B,,,,,2.746B,,2007-06,220.00M,20.16B,2.561B,10.63B,-390.00M,-1.164B,-1.554B,10.76B,,2007-06,,
2007-03,2.214B,1.798B,4.012B,3.381B,,3.381B,439.00M,761.00M,896.00M,,2.096B,385.00M,684.00M,,10.56B,0.00,254.00M,4.679B,4.584B,,769.00M,10.29B,-4.577B,5.709B,4.831B,1.775B,6.606B,,2.835B,383.00M,,2007-03,1.315B,,,1.315B,3.654B,4.969B,,,,,241.00M,,241.00M,387.00M,387.00M,710.00M,6.307B,7.132B,,7.132B,,,,,2.391B,,2007-03,220.00M,20.01B,2.52B,10.90B,-405.00M,-1.189B,-1.594B,10.26B,,2007-03,,
2006-12,2.018B,1.995B,4.013B,3.247B,,3.247B,394.00M,682.00M,1.003B,,2.079B,314.00M,649.00M,,10.30B,0.00,254.00M,4.63B,4.54B,,720.00M,10.14B,-4.471B,5.673B,4.829B,1.852B,6.681B,,2.577B,342.00M,,2006-12,1.239B,,,1.239B,3.663B,4.902B,,,,,187.00M,,187.00M,411.00M,411.00M,996.00M,6.496B,7.248B,,7.248B,,,,,1.84B,,2006-12,220.00M,19.84B,2.498B,10.93B,-424.00M,-1.221B,-1.645B,9.991B,,2006-12,,
2006-09,2.834B,2.671B,5.505B,2.945B,,2.945B,496.00M,823.00M,978.00M,,2.297B,300.00M,601.00M,,11.65B,0.00,283.00M,4.727B,4.516B,,622.00M,10.15B,-4.433B,5.715B,4.828B,1.933B,6.761B,,1.675B,1.416B,,2006-09,1.174B,,,1.174B,3.603B,4.777B,,,,,630.00M,,630.00M,,,758.00M,6.165B,7.837B,,7.837B,,,,,1.624B,,2006-09,220.00M,20.53B,2.493B,10.94B,-450.00M,-260.00M,-710.00M,11.59B,,2006-09,,
2006-06,2.602B,2.755B,5.357B,3.326B,,3.326B,532.00M,757.00M,916.00M,,2.205B,309.00M,607.00M,,11.80B,0.00,286.00M,4.69B,4.607B,,612.00M,10.20B,-4.494B,5.701B,4.829B,2.029B,6.858B,,1.604B,1.435B,,2006-06,1.263B,,,1.263B,3.653B,4.916B,,,,,189.00M,,189.00M,,,724.00M,5.829B,8.239B,,8.239B,238.00M,,,,1.384B,,2006-06,220.00M,20.74B,2.473B,10.95B,-484.00M,-290.00M,-774.00M,11.71B,,2006-06,,
2006-03,2.477B,2.804B,5.281B,3.236B,,3.236B,526.00M,754.00M,867.00M,,2.147B,300.00M,620.00M,,11.58B,0.00,281.00M,4.606B,4.56B,,585.00M,10.03B,-4.363B,5.669B,4.822B,2.061B,6.883B,,1.83B,1.495B,,2006-03,1.244B,,,1.244B,3.598B,4.842B,,,,,234.00M,,234.00M,,,924.00M,6.00B,8.278B,,8.278B,,,,,1.627B,,2006-03,220.00M,20.63B,2.438B,10.95B,-533.00M,-242.00M,-775.00M,11.56B,,2006-03,,
2005-12,3.05B,2.749B,5.799B,3.378B,,3.378B,514.00M,679.00M,867.00M,,2.06B,270.00M,776.00M,,12.28B,0.00,280.00M,4.56B,4.574B,,570.00M,9.984B,-4.291B,5.693B,4.823B,1.921B,6.744B,,1.808B,1.61B,,2005-12,1.579B,,,1.579B,3.87B,5.449B,,,,,231.00M,,231.00M,125.00M,125.00M,1.085B,6.89B,8.364B,,8.364B,241.00M,,,,1.435B,,2005-12,220.00M,20.46B,2.457B,11.17B,-553.00M,-212.00M,-765.00M,11.21B,,2005-12,,
2005-09,2.129B,1.652B,3.781B,3.305B,,3.305B,348.00M,789.00M,916.00M,,2.053B,303.00M,703.00M,,10.14B,0.00,282.00M,4.533B,4.519B,,578.00M,9.912B,-4.263B,5.649B,4.824B,1.988B,6.812B,,1.636B,1.367B,,2005-09,1.342B,,,1.342B,3.97B,5.312B,,,,,277.00M,,277.00M,,,1.033B,6.622B,5.895B,,5.895B,,,,,1.824B,,2005-09,220.00M,20.51B,2.527B,11.18B,-494.00M,-316.00M,-810.00M,11.27B,,2005-09,,
2005-06,1.798B,1.242B,3.04B,3.315B,,3.315B,288.00M,716.00M,989.00M,,1.993B,311.00M,693.00M,,9.352B,0.00,286.00M,4.542B,4.58B,,494.00M,9.902B,-4.26B,5.642B,4.825B,2.083B,6.908B,,1.769B,1.562B,,2005-06,1.32B,,,1.32B,3.864B,5.184B,,,,,292.00M,,292.00M,,,1.151B,6.627B,6.008B,,6.008B,,,,,1.797B,,2005-06,220.00M,20.10B,2.525B,11.19B,-519.00M,-328.00M,-847.00M,10.80B,,2005-06,,
2005-03,3.311B,2.671B,5.982B,3.647B,,3.647B,312.00M,562.00M,1.051B,,1.925B,332.00M,770.00M,,12.66B,0.00,289.00M,4.504B,4.574B,,487.00M,9.854B,-4.181B,5.673B,4.905B,2.17B,7.075B,,1.533B,1.47B,,2005-03,1.873B,,,1.873B,4.051B,5.924B,,,,,244.00M,,244.00M,11.00M,11.00M,1.67B,7.849B,8.326B,,8.326B,,,,,1.851B,,2005-03,220.00M,19.64B,2.517B,11.22B,-315.00M,-455.00M,-770.00M,10.38B,,2005-03,,
2004-12,3.68B,3.794B,7.474B,4.373B,,4.373B,275.00M,458.00M,1.097B,,1.83B,319.00M,805.00M,,14.80B,0.00,290.00M,4.497B,4.686B,,536.00M,10.01B,-4.244B,5.765B,4.905B,2.26B,7.165B,,1.129B,1.575B,,2004-12,2.127B,,,2.127B,4.233B,6.36B,,,,,1.883B,,1.883B,32.00M,32.00M,1.568B,9.843B,8.463B,,8.463B,,,,,1.927B,,2004-12,220.00M,19.65B,2.491B,11.31B,-283.00M,-566.00M,-849.00M,10.20B,,2004-12,,
2004-09,3.381B,3.872B,7.253B,3.808B,,3.808B,257.00M,483.00M,1.023B,2.00M,1.765B,345.00M,712.00M,,13.88B,0.00,258.00M,4.49B,4.433B,,565.00M,9.746B,-4.091B,5.655B,4.908B,1.921B,6.829B,,1.792B,2.017B,,2004-09,1.812B,,,1.812B,3.844B,5.656B,,,,,1.65B,,1.65B,37.00M,37.00M,1.742B,9.085B,8.54B,,8.54B,,,,,1.888B,,2004-09,220.00M,20.06B,2.475B,11.33B,-428.00M,-326.00M,-754.00M,10.66B,,2004-09,,
2004-06,3.158B,3.686B,6.844B,3.508B,,3.508B,233.00M,431.00M,1.008B,2.00M,1.674B,377.00M,765.00M,,13.17B,0.00,256.00M,4.402B,4.389B,,565.00M,9.612B,-3.954B,5.658B,4.897B,1.909B,6.806B,,1.484B,1.869B,,2004-06,1.718B,,,1.718B,4.425B,6.143B,,,,,1.009B,,1.009B,48.00M,48.00M,1.243B,8.443B,8.376B,,8.376B,,,,,1.735B,,2004-06,220.00M,19.84B,2.473B,11.34B,-450.00M,-314.00M,-764.00M,10.43B,,2004-06,,
2004-03,3.065B,3.552B,6.617B,3.106B,,3.106B,193.00M,441.00M,1.008B,3.00M,1.645B,530.00M,834.00M,,12.73B,0.00,245.00M,4.358B,4.391B,,599.00M,9.593B,-3.874B,5.719B,4.831B,1.933B,6.764B,,1.068B,2.077B,,2004-03,1.687B,,,1.687B,3.861B,5.548B,,,,,776.00M,,776.00M,49.00M,49.00M,1.177B,7.55B,8.635B,,8.635B,,,,,1.642B,,2004-03,220.00M,19.86B,2.447B,11.35B,-335.00M,-309.00M,-644.00M,10.53B,,2004-03,,
2003-12,2.549B,3.013B,5.562B,3.66B,,3.66B,180.00M,416.00M,1.005B,,1.601B,310.00M,864.00M,,12.00B,0.00,241.00M,3.917B,4.197B,,1.087B,9.442B,-3.73B,5.712B,4.836B,1.732B,6.568B,,1.234B,1.937B,,2003-12,1.893B,,,1.893B,4.01B,5.903B,,,,,232.00M,,232.00M,76.00M,76.00M,1.25B,7.461B,8.522B,,8.522B,,,,,1.679B,,2003-12,220.00M,19.44B,2.477B,11.44B,-491.00M,-417.00M,-908.00M,9.786B,,2003-12,,
2003-09,4.953B,86.00M,5.039B,3.588B,,3.588B,174.00M,549.00M,992.00M,6.00M,1.721B,1.018B,,,11.37B,,,,,,,9.193B,-3.713B,5.48B,4.829B,1.782B,6.611B,,,3.071B,,2003-09,1.663B,,,1.663B,3.541B,5.204B,,,,,1.288B,,1.288B,83.00M,83.00M,1.037B,7.612B,7.421B,,7.421B,,,,,1.43B,,2003-09,220.00M,19.76B,2.478B,11.45B,-750.00M,-185.00M,-935.00M,10.06B,,2003-09,,
2003-06,4.307B,114.00M,4.421B,3.211B,,3.211B,171.00M,566.00M,947.00M,17.00M,1.701B,1.326B,,,10.66B,,,,,,,9.021B,-3.605B,5.416B,1.826B,4.864B,6.69B,,,3.151B,,2003-06,1.83B,,,1.83B,3.354B,5.184B,,,,,1.902B,,1.902B,110.00M,110.00M,1.234B,8.43B,6.422B,,6.422B,,,,,1.45B,,2003-06,220.00M,19.42B,2.476B,11.47B,-735.00M,-295.00M,-1.03B,9.614B,,2003-06,,
2003-03,4.328B,20.00M,4.348B,3.187B,,3.187B,157.00M,510.00M,841.00M,26.00M,1.534B,1.45B,,,10.52B,,,,,,,8.827B,-3.478B,5.349B,4.864B,1.848B,6.712B,,,2.78B,,2003-03,1.509B,,,1.509B,3.174B,4.683B,,,,,2.247B,,2.247B,174.00M,174.00M,1.194B,8.298B,6.367B,,6.367B,,,,,1.398B,,2003-03,220.00M,19.08B,2.475B,11.47B,-780.00M,-224.00M,-1.004B,9.297B,,2003-03,,
2002-12,2.367B,1.622B,3.989B,2.968B,,2.968B,216.00M,415.00M,918.00M,59.00M,1.608B,482.00M,1.013B,,10.06B,0.00,233.00M,3.389B,3.897B,,1.187B,8.706B,-3.372B,5.334B,4.836B,1.904B,6.74B,,1.097B,1.791B,,2002-12,1.551B,,,1.551B,4.02B,5.571B,,,,,1.379B,,1.379B,470.00M,470.00M,1.067B,8.487B,6.261B,,6.261B,,,,,1.518B,,2002-12,220.00M,18.50B,2.491B,11.50B,-724.00M,-232.00M,-956.00M,8.756B,,2002-12,,
2002-09,3.562B,35.00M,3.597B,3.617B,,3.617B,271.00M,443.00M,902.00M,119.00M,1.735B,1.624B,,,10.57B,,,,,,,8.561B,-3.318B,5.243B,4.865B,1.931B,6.796B,,,2.356B,,2002-09,1.427B,,,1.427B,3.654B,5.081B,,,,,799.00M,,799.00M,1.157B,1.157B,1.101B,8.138B,6.204B,,6.204B,,,,,1.43B,,2002-09,220.00M,19.02B,2.492B,11.50B,,,-1.037B,9.196B,,2002-09,,
2002-06,3.547B,72.00M,3.619B,3.47B,,3.47B,270.00M,428.00M,948.00M,,1.646B,1.213B,,,9.948B,,,,,,,8.319B,-3.256B,5.063B,5.091B,2.126B,7.217B,,,2.555B,,2002-06,1.483B,,,1.483B,3.51B,4.993B,,,,,785.00M,,785.00M,,,982.00M,6.76B,6.14B,,6.14B,,,,,1.169B,,2002-06,220.00M,20.63B,2.423B,11.47B,,,-1.082B,10.71B,,2002-06,,
2002-03,3.382B,198.00M,3.58B,3.599B,,3.599B,253.00M,410.00M,895.00M,,1.558B,1.203B,,,9.94B,,,,,,,8.087B,-3.167B,4.92B,5.225B,2.20B,7.425B,,,2.632B,,2002-03,1.438B,,,1.438B,3.85B,5.288B,,,,,308.00M,,308.00M,,,1.211B,6.807B,6.17B,,6.17B,,,,,1.206B,,2002-03,220.00M,20.73B,2.394B,11.44B,,,-1.174B,10.73B,,2002-03,,
2001-12,5.50B,154.00M,5.654B,3.992B,,3.992B,247.00M,411.00M,833.00M,208.00M,1.699B,1.904B,,,13.25B,0.00,216.00M,3.154B,3.748B,,854.00M,7.972B,-3.085B,4.887B,5.119B,2.084B,7.203B,,,2.473B,,2001-12,1.478B,,,1.478B,4.064B,5.542B,,,,,174.00M,,174.00M,2.026B,2.026B,3.367B,11.11B,6.237B,,6.237B,,,,,1.391B,,2001-12,220.00M,18.96B,2.403B,11.39B,,,-1.117B,9.075B,,2001-12,,
2001-09,2.801B,279.00M,3.08B,3.738B,,3.738B,209.00M,383.00M,1.078B,,1.67B,985.00M,,,9.473B,,,,,,,7.953B,-3.268B,4.685B,1.377B,,1.377B,,,9.10B,,2001-09,1.432B,,,1.432B,2.809B,4.241B,1.734B,,,,1.734B,,1.734B,,,1.072B,7.047B,6.259B,,6.259B,,,,,1.394B,,2001-09,220.00M,19.76B,2.272B,11.19B,,,-1.127B,9.935B,,2001-09,,
2001-06,2.944B,204.00M,3.148B,3.551B,,3.551B,371.00M,454.00M,1.084B,,1.909B,911.00M,,,9.519B,,,,,,,8.097B,-3.416B,4.681B,1.401B,,1.401B,,,1.875B,,2001-06,1.629B,,,1.629B,2.77B,4.399B,,,,,162.00M,,162.00M,,,700.00M,5.261B,1.302B,,1.302B,,,,,1.374B,,2001-06,220.00M,19.25B,2.201B,11.08B,,,-1.047B,9.539B,,2001-06,,
2001-03,2.634B,302.00M,2.936B,3.946B,,3.946B,401.00M,461.00M,1.076B,,1.938B,931.00M,,,9.751B,,,,,,,8.06B,-3.46B,4.60B,1.42B,,1.42B,,,1.893B,,2001-03,1.608B,,,1.608B,2.862B,4.47B,,,,,181.00M,,181.00M,,,847.00M,5.498B,1.316B,,1.316B,,,,,1.408B,,2001-03,220.00M,18.58B,2.138B,10.49B,-1.004B,,-1.004B,9.442B,,2001-03,,
2000-12,3.182B,203.00M,3.385B,3.662B,,3.662B,468.00M,473.00M,890.00M,,1.831B,946.00M,,,9.824B,0.00,167.00M,3.142B,4.059B,,558.00M,7.926B,-3.378B,4.548B,1.436B,384.00M,1.82B,,,1.386B,,2000-12,1.702B,,,1.702B,3.067B,4.769B,,,,,162.00M,,162.00M,,,701.00M,5.632B,1.336B,,1.336B,,,,,1.43B,,2000-12,220.00M,17.78B,2.002B,9.72B,,,-1.103B,9.18B,,2000-12,,
2000-09,2.76B,202.00M,2.962B,3.782B,,3.782B,,,,,1.852B,,,1.075B,9.671B,,,,,,,7.798B,-3.367B,4.431B,,1.445B,1.445B,,,1.92B,,2000-09,1.43B,,,1.43B,,1.43B,,,,,173.00M,,173.00M,,,3.956B,5.559B,1.323B,,1.323B,,,,,1.429B,,2000-09,220.00M,17.10B,1.774B,8.954B,-982.00M,,-982.00M,9.156B,,2000-09,,
2000-06,2.222B,202.00M,2.424B,,,3.575B,,,,,2.017B,,,923.00M,8.939B,,,,,,,7.822B,-3.31B,4.512B,,1.463B,1.463B,,,1.917B,,2000-06,1.586B,,,1.586B,,1.586B,,,,,258.00M,,258.00M,,,3.287B,5.131B,1.33B,,1.33B,,,,,1.453B,,2000-06,219.00M,16.34B,1.691B,8.358B,-978.00M,,-978.00M,8.917B,,2000-06,,
2000-03,2.468B,212.00M,2.68B,,,3.349B,,,,,2.046B,,,971.00M,9.046B,,,,,,,7.833B,-3.283B,4.55B,,1.483B,1.483B,,,1.957B,,2000-03,1.514B,,,1.514B,,1.514B,,,,,365.00M,,365.00M,,,3.438B,5.317B,1.333B,,1.333B,,,,,1.577B,,2000-03,219.00M,15.74B,1.612B,7.888B,-870.00M,,-870.00M,8.809B,,2000-03,,
1999-12,2.72B,237.00M,2.957B,3.272B,,3.272B,,,,,2.126B,,,912.00M,9.267B,,,,,,,7.841B,-3.22B,4.621B,,1.502B,1.502B,,,1.724B,,1999-12,1.657B,,,1.657B,,1.657B,,,,,432.00M,,432.00M,,,3.448B,5.537B,1.342B,,1.342B,,,,,1.59B,,1999-12,219.00M,15.00B,1.533B,7.291B,-816.00M,,-816.00M,8.645B,,1999-12,,
1999-09,2.455B,235.00M,2.69B,,,3.306B,,,,,2.052B,,,909.00M,8.957B,,,,,,,7.723B,-3.234B,4.489B,,1.55B,1.55B,,,1.616B,,1999-09,1.506B,,,1.506B,,1.506B,,,,,512.00M,,512.00M,,,3.383B,5.401B,1.331B,,1.331B,,,,,1.439B,,1999-09,219.00M,14.37B,1.394B,6.75B,-796.00M,,-796.00M,8.441B,,1999-09,,
1999-06,2.081B,,2.081B,,,3.218B,,,,,2.044B,,,1.315B,8.658B,,,,,,,7.613B,-3.158B,4.455B,,1.59B,1.59B,,,1.511B,,1999-06,1.373B,,,1.373B,,1.373B,,,,,546.00M,,546.00M,,,3.448B,5.367B,1.327B,,1.327B,,,,,1.46B,,1999-06,,13.70B,,,,,,8.06B,,1999-06,,
1999-03,2.003B,,2.003B,,,3.164B,,,,,1.955B,,,1.375B,8.497B,,,,,,,7.542B,-3.113B,4.429B,,1.568B,1.568B,,,1.492B,,1999-03,1.271B,,,1.271B,,1.271B,,,,,535.00M,,535.00M,,,3.513B,5.319B,1.369B,,1.369B,,,,,1.548B,,1999-03,,13.18B,,,,,,7.75B,,1999-03,,
1998-12,2.244B,,2.244B,3.19B,,3.19B,,,,,1.873B,,,1.475B,8.782B,,,,,,,7.508B,-3.079B,4.429B,,1.587B,1.587B,,,1.474B,,1998-12,1.38B,,,1.38B,,1.38B,,,,,482.00M,,482.00M,,,3.929B,5.791B,1.364B,,1.364B,,,,,1.541B,,1998-12,,12.54B,,,,,,7.576B,,1998-12,,
1998-09,1.531B,,1.531B,3.129B,,3.129B,,,,,1.775B,,,1.285B,7.72B,,,,,,,7.221B,-2.973B,4.248B,,1.58B,1.58B,,,1.377B,,1998-09,1.067B,,,1.067B,,1.067B,,,,,504.00M,,504.00M,,,3.074B,4.645B,1.314B,,1.314B,,,,,1.419B,,1998-09,,12.51B,,,,,,7.547B,,1998-09,,
1998-06,1.005B,,1.005B,,,3.122B,,,,,1.812B,,,1.374B,7.313B,,,,,,,7.134B,-2.929B,4.205B,,1.611B,1.611B,,,1.464B,,1998-06,1.071B,,,1.071B,,1.071B,,,,,453.00M,,453.00M,,,3.077B,4.601B,1.336B,,1.336B,,,,,1.412B,,1998-06,,11.94B,,,,,,7.244B,,1998-06,,
1998-03,1.565B,,1.565B,,,3.035B,,,,,1.842B,,,1.553B,7.995B,,,,,,,7.026B,-2.843B,4.183B,,1.606B,1.606B,,,1.459B,,1998-03,1.116B,,,1.116B,,1.116B,,,,,542.00M,,542.00M,,,3.535B,5.193B,1.387B,,1.387B,,,,,1.478B,,1998-03,,11.49B,,,,,,7.185B,,1998-03,,
