,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2004-03,4.626B,4.626B,1.357B,3.269B,316.00M,1.226B,1.542B,583.00M,,,297.00M,,,,,,2.125B,1.144B,,,,372.00M,,1.464B,396.00M,-107.00M,964.00M,744.34M,1.348B,204.00M,2004-03,0.50,0.00,0.3883,0.50,0.49,0.00,0.3804,2004-03,1.939B,1.976B,0.28,,2004-03,,
2003-12,3.424B,3.424B,-84.00M,3.508B,414.00M,1.222B,1.636B,715.00M,,,-223.00M,,,,,,2.351B,1.157B,,,,-196.00M,,909.00M,287.00M,-125.00M,506.00M,649.59M,1.392B,235.00M,2003-12,0.26,0.00,0.3387,0.26,0.25,0.00,0.3273,2003-12,1.94B,1.974B,0.28,,2003-12,,
2003-09,5.372B,5.372B,1.929B,3.443B,332.00M,1.151B,1.483B,565.00M,,,-55.00M,,,,,,2.048B,1.395B,,,,-1.00M,,1.361B,345.00M,-110.00M,906.00M,947.06M,1.586B,191.00M,2003-09,0.47,0.00,0.4912,0.47,0.47,0.00,0.4911,2003-09,1.937B,1.944B,0.28,,2003-09,,
2003-06,5.129B,5.129B,1.852B,3.277B,354.00M,1.147B,1.501B,524.00M,,,13.00M,,,,,,2.025B,1.252B,,,,61.00M,,1.247B,262.00M,-83.00M,902.00M,891.73M,1.437B,185.00M,2003-06,0.47,0.00,0.4647,0.47,0.46,0.00,0.4547,2003-06,1.937B,1.942B,0.28,,2003-06,,
2003-03,4.728B,4.728B,1.709B,3.019B,315.00M,1.10B,1.415B,475.00M,,,73.00M,,,,,,1.89B,1.129B,,,,95.00M,,1.163B,316.00M,-55.00M,792.00M,738.83M,1.307B,178.00M,2003-03,0.41,0.00,0.3825,0.41,0.41,0.00,0.3826,2003-03,1.936B,1.94B,0.28,,2003-03,,
2002-12,4.781B,4.781B,1.91B,2.871B,237.00M,1.304B,1.541B,642.00M,,,-15.00M,,,,,,2.183B,688.00M,,,,65.00M,,694.00M,101.00M,-186.00M,445.00M,419.82M,874.00M,186.00M,2002-12,0.21,0.0150,0.2159,0.19,0.21,0.0147,0.2157,2002-12,2.181B,2.235B,0.28,,2002-12,,
2002-09,4.537B,4.537B,1.654B,2.883B,302.00M,971.00M,1.273B,535.00M,,,-895.00M,,,,,,1.808B,1.075B,,,,-895.00M,,115.00M,-252.00M,-28.00M,357.00M,876.00M,1.263B,188.00M,2002-09,0.18,0.01,0.4574,0.19,0.17,0.01,0.4467,2002-09,1.936B,1.941B,0.28,,2002-09,,
2002-06,4.127B,4.127B,1.466B,2.661B,345.00M,937.00M,1.282B,527.00M,,,-44.00M,,,,,,1.809B,852.00M,,,,-44.00M,,724.00M,209.00M,-36.00M,479.00M,510.30M,1.034B,182.00M,2002-06,0.25,0.00,0.2662,0.25,0.25,0.00,0.2661,2002-06,1.937B,1.944B,0.28,,2002-06,,
2002-03,4.661B,4.661B,1.502B,3.159B,259.00M,912.00M,1.171B,502.00M,,,-182.00M,,,,,,1.673B,1.486B,,,,-182.00M,,1.228B,333.00M,-53.00M,856.00M,974.65M,1.665B,179.00M,2002-03,0.43,0.01,0.4986,0.44,0.43,0.01,0.4980,2002-03,1.935B,1.952B,0.28,,2002-03,,
2001-12,4.612B,4.612B,1.607B,3.005B,288.00M,1.114B,1.402B,717.00M,,,-3.088B,,,,,,2.119B,886.00M,,,,-3.088B,,-2.281B,-1.005B,-25.00M,1.284B,551.80M,1.114B,228.00M,2001-12,-0.76,1.329,0.1965,-0.87,-0.76,1.320,0.1858,2001-12,1.937B,1.959B,0.28,,2001-12,,
2001-09,4.50B,4.50B,1.317B,3.183B,280.00M,906.00M,1.186B,485.00M,,,88.00M,,,,,,1.671B,1.512B,,,,88.00M,,1.603B,385.00M,-45.00M,1.187B,1.106B,1.649B,137.00M,2001-09,0.60,0.01,0.5655,0.61,0.60,0.01,0.5659,2001-09,1.936B,1.96B,0.275,,2001-09,,
2001-06,4.709B,4.709B,1.347B,3.362B,424.00M,966.00M,1.39B,495.00M,,,57.00M,,,,,,1.885B,1.477B,,,,102.00M,,1.501B,399.00M,-87.00M,1.201B,1.060B,1.655B,178.00M,2001-06,0.57,0.05,0.5484,0.62,0.56,0.05,0.5387,2001-06,1.94B,1.964B,0.275,,2001-06,,
2001-03,4.689B,4.689B,1.283B,3.406B,377.00M,911.00M,1.288B,508.00M,,,116.00M,,,,,,1.796B,1.61B,,,,116.00M,,1.687B,444.00M,-57.00M,1.336B,1.158B,1.795B,185.00M,2001-03,0.64,0.05,0.5961,0.69,0.63,0.05,0.5868,2001-03,1.948B,1.978B,0.275,,2001-03,,
2000-12,4.784B,4.784B,1.848B,2.936B,,,1.326B,564.00M,,,-209.00M,,,,,,1.33B,1.606B,,,,-209.00M,,1.446B,377.00M,,1.163B,1.224B,1.792B,186.00M,2000-12,0.34,0.0430,0.4191,0.07,0.33,0.0430,0.4077,2000-12,1.953B,1.988B,0.275,,2000-12,,
2000-09,4.563B,4.563B,1.013B,3.55B,,,1.357B,479.00M,,,-386.00M,,,,,,2.023B,1.527B,,,,-386.00M,,1.141B,248.00M,,1.236B,1.195B,1.714B,187.00M,2000-09,0.45,0.18,0.6039,0.63,0.45,0.17,0.6017,2000-09,1.963B,1.991B,0.245,,2000-09,,
2000-06,5.275B,5.275B,1.20B,4.075B,,,1.918B,472.00M,,,,,,,,,2.576B,1.499B,,,,,,1.499B,408.00M,,1.091B,1.091B,1.685B,186.00M,2000-06,0.55,0.00,0.55,0.55,0.54,0.00,0.54,2000-06,1.97B,2.002B,0.245,,2000-06,,
2000-03,4.451B,4.451B,954.00M,3.497B,390.00M,944.00M,1.334B,446.00M,,,,,,,,,1.967B,1.53B,,,,,,1.53B,401.00M,,1.221B,1.129B,1.717B,187.00M,2000-03,0.57,0.05,0.57,0.62,0.56,0.05,0.56,2000-03,1.976B,2.009B,0.245,,2000-03,,
1999-12,4.59B,4.59B,1.031B,3.559B,,,1.49B,491.00M,,,,,,,,,2.17B,1.389B,,,,,,1.308B,348.00M,,1.052B,960.00M,1.578B,189.00M,1999-12,0.42,0.0505,0.42,0.28,0.41,0.0465,0.41,1999-12,1.981B,2.027B,0.245,,1999-12,,
1999-09,4.19B,4.19B,997.00M,3.193B,,,1.262B,431.00M,,,,,,,,,1.851B,1.342B,,,,,,1.342B,354.00M,,1.097B,988.00M,1.50B,158.00M,1999-09,0.50,0.05,0.50,0.55,0.49,0.05,0.49,1999-09,1.984B,2.028B,0.215,,1999-09,,
1999-06,4.92B,4.92B,1.197B,3.723B,,,1.788B,453.00M,,,,,,,,,2.405B,1.318B,,,,,,1.318B,366.00M,,952.00M,952.00M,1.482B,164.00M,1999-06,0.48,0.00,0.48,0.48,0.47,0.00,0.47,1999-06,1.983B,2.026B,0.215,,1999-06,,
1999-03,4.854B,4.854B,1.138B,3.716B,,,1.65B,423.00M,,,,,,,,,2.24B,1.476B,,,,,,1.476B,410.00M,,1.066B,1.066B,1.643B,167.00M,1999-03,0.54,0.00,0.54,0.54,0.53,0.00,0.53,1999-03,1.985B,2.029B,0.215,,1999-03,,
1998-12,1.662B,1.662B,179.00M,1.483B,,,320.00M,341.00M,,,,,,,,,829.00M,654.00M,,,,,,-164.00M,-186.00M,,413.00M,22.00M,822.00M,168.00M,1998-12,-0.02,0.1968,-0.02,-0.02,-0.02,0.1925,-0.02,1998-12,1.984B,2.028B,0.215,,1998-12,,
1998-09,4.523B,4.523B,1.035B,3.488B,,,1.588B,398.00M,,,,,,,,,2.142B,1.346B,,,,,,1.346B,380.00M,,966.00M,966.00M,1.502B,156.00M,1998-09,0.49,0.00,0.49,0.49,0.48,0.00,0.48,1998-09,1.99B,2.03B,0.195,,1998-09,,
1998-06,4.43B,4.43B,1.06B,3.37B,,,1.676B,384.00M,,,,,,,,,2.206B,1.164B,,,,,,1.164B,329.00M,,835.00M,835.00M,1.31B,146.00M,1998-06,0.42,0.00,0.42,0.42,0.41,0.00,0.41,1998-06,1.986B,2.032B,0.195,,1998-06,,
