,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2006-09,-31.87M,,,,,,,0.899M,0.899M,,,,,,,4.561M,,,-0.961M,-0.342M,,-0.62M,-4.768M,-31.18M,,2006-09,-17.57M,-17.57M,,,-32.18M,-8.801M,,2006-09,,,26.00M,1.344M,,1.344M,,,,2006-09,52.64M,-12.64M,39.98M,,2006-09,1.344M,,,,2006-09,,
2006-06,-33.16M,,,,-3.166M,,,0.871M,0.871M,,,,,,,6.841M,,,0.389M,-0.813M,,0.326M,5.958M,-22.66M,,2006-06,-2.187M,-2.187M,,,-1.00M,62.72M,,2006-06,,,,0.647M,,0.647M,,,,2006-06,11.95M,40.71M,52.64M,,2006-06,0.647M,,,,2006-06,,
2006-03,-27.23M,,,,3.166M,,,0.881M,0.881M,,,,,,,,,,1.167M,-2.545M,,-0.326M,-4.915M,-28.10M,,2006-03,-0.477M,-0.477M,,,,-8.965M,,2006-03,,,,5.405M,,5.405M,,,,2006-03,43.63M,-31.66M,11.95M,,2006-03,5.405M,,,,2006-03,,
2005-10,-26.58M,,,,1.212M,,,1.087M,1.087M,,,,,,,,,,-3.854M,-3.633M,,-0.369M,-1.269M,-25.55M,,2005-10,-1.15M,-1.15M,,,,22.38M,,2005-10,,,30.00M,0.47M,,0.47M,,-4.758M,,2005-10,35.90M,22.54M,58.45M,,2005-10,0.47M,,,,2005-10,,
2005-07,-10.48M,,,,-2.217M,,,0.443M,0.443M,,,,,,,-3.12M,,,2.899M,6.924M,,1.947M,1.597M,-13.78M,,2005-07,-0.592M,-0.592M,,,,-8.238M,,2005-07,,,0.00,-64.45M,0.325M,-64.12M,,0.00,,2005-07,55.77M,-86.14M,46.95M,,2005-07,-64.45M,,,0.325M,2005-07,,
2005-04,-54.61M,,,,3.789M,,,1.603M,1.603M,,,,,,,3.12M,-4.796M,,2.581M,-0.854M,0.001M,-1.947M,4.206M,-41.89M,,2005-04,-1.385M,-1.385M,,,,51.78M,,2005-04,,,-115.28M,66.54M,-0.325M,66.22M,,-4.758M,,2005-04,177.02M,-43.93M,55.77M,,2005-04,66.54M,,,-0.325M,2005-04,,
2005-01,-24.47M,,,,0.008M,,,0.833M,0.833M,,,,,,,-0.001M,4.796M,,-7.321M,-4.728M,3.20M,,2.331M,-21.30M,,2005-01,-0.588M,-0.588M,,,,4.468M,,2005-01,,,145.28M,1.083M,,1.083M,,,,2005-01,47.48M,129.54M,177.02M,,2005-01,1.083M,,,,2005-01,,
2004-10,-19.19M,,,,-3.797M,,,0.803M,0.803M,,,,,,,0.001M,,,4.816M,2.14M,-3.201M,,2.268M,-19.91M,,2004-10,-0.415M,-0.415M,,,,-46.39M,,2004-10,,,,0.563M,,0.563M,,,,2004-10,113.22M,-65.74M,47.48M,,2004-10,0.563M,,,,2004-10,,
2004-07,-20.12M,,,,0.751M,,,1.046M,1.046M,,,,,,,,-3.984M,,-0.172M,2.672M,1.363M,,1.707M,-16.62M,,2004-07,-1.844M,-1.844M,,,0.00,-25.75M,,2004-07,,,,81.04M,,81.04M,,,,2004-07,74.56M,38.66M,113.22M,,2004-07,81.04M,,,,2004-07,,
2004-04,-15.21M,,,,0.058M,,,0.81M,0.81M,,,,,,,,-0.16M,,0.105M,-3.509M,-0.601M,,-5.369M,-19.71M,,2004-04,-0.345M,-0.345M,,,-0.005M,82.42M,,2004-04,,,,1.322M,,1.322M,,,,2004-04,10.53M,64.03M,74.56M,,2004-04,1.322M,,,,2004-04,,
2004-01,-18.55M,,,,0.023M,,,0.877M,0.877M,,,,,,,,-0.042M,,-0.578M,2.89M,0.001M,,3.256M,-14.39M,,2004-01,-0.15M,-0.15M,,,0.005M,13.42M,,2004-01,,,,0.586M,,0.586M,,,,2004-01,10.92M,-0.388M,10.53M,,2004-01,0.586M,,,,2004-01,,
2003-10,-20.21M,,,,0.034M,,,0.86M,0.86M,,,,,,,,0.419M,,0.58M,-2.465M,0.60M,,-1.951M,-21.27M,,2003-10,-0.796M,-0.796M,,,-0.005M,-36.93M,,2003-10,,,,44.28M,,44.28M,,,,2003-10,24.84M,-13.92M,10.92M,,2003-10,44.28M,,,,2003-10,,
2003-07,-21.58M,,,,0.049M,,,0.949M,0.949M,,,,,,,,-1.689M,,-0.542M,6.464M,1.725M,,6.788M,-13.80M,,2003-07,-1.115M,-1.115M,,,-0.037M,-22.63M,,2003-07,,,,0.067M,,0.067M,,,,2003-07,61.21M,-36.36M,24.84M,,2003-07,0.067M,,,,2003-07,,
2003-04,-19.78M,,,,2.59M,,,0.968M,0.968M,,,,,,,,,,-7.684M,-4.043M,6.272M,,-5.258M,-21.48M,,2003-04,-0.57M,-0.57M,,,,30.35M,,2003-04,,,,0.038M,,0.038M,,,,2003-04,52.30M,8.907M,61.21M,,2003-04,0.038M,,,,2003-04,,
2003-01,-21.46M,,,,0.051M,,,0.93M,0.93M,,,,,,,,-0.566M,,0.354M,-1.973M,-6.734M,,-9.133M,-29.62M,,2003-01,-0.413M,-0.413M,,,0.02M,61.67M,,2003-01,,,,0.041M,,0.041M,,,,2003-01,20.20M,32.10M,52.30M,,2003-01,0.041M,,,,2003-01,,
2002-10,-21.64M,,,,0.016M,,,0.879M,0.879M,,,,,,,,0.566M,,-0.989M,-1.581M,-0.224M,,-3.558M,-24.30M,,2002-10,-0.972M,-0.972M,,,-0.02M,-3.076M,,2002-10,,,,0.009M,,0.009M,,,,2002-10,47.57M,-27.37M,20.20M,,2002-10,0.009M,,,,2002-10,,
2002-07,-20.84M,,,,0.153M,,,0.739M,0.739M,,,,,,,,6.817M,,-3.399M,1.811M,-3.202M,,3.504M,-16.44M,,2002-07,-1.737M,-1.737M,,,-0.036M,-57.50M,,2002-07,,,,0.09M,,0.09M,,,,2002-07,121.43M,-73.85M,47.57M,,2002-07,0.09M,,,,2002-07,,
2002-04,-17.10M,,,,-2.018M,,,0.891M,0.891M,,,,,,,,0.00,,0.294M,4.435M,-2.642M,,1.784M,-16.45M,,2002-04,-0.95M,-0.95M,,,,-30.97M,,2002-04,,,,0.054M,,0.054M,,,,2002-04,168.79M,-47.37M,121.43M,,2002-04,0.054M,,,,2002-04,,
2002-01,-10.81M,,,,0.10M,,,1.007M,1.007M,,,,,,,,-0.70M,,-0.66M,2.384M,3.262M,,4.399M,-5.304M,,2002-01,-0.966M,-0.966M,,,0.024M,53.81M,,2002-01,,,,0.132M,,0.132M,,-0.002M,,2002-01,120.16M,48.64M,168.79M,,2002-01,0.132M,,,,2002-01,,
2001-10,-7.789M,,,,0.054M,,,0.925M,0.925M,,,,,,,,,,0.171M,-0.509M,-0.187M,,-1.217M,-8.027M,,2001-10,-0.443M,-0.443M,,,-0.024M,-7.055M,,2001-10,,,,0.05M,,0.05M,,0.002M,,2001-10,135.19M,-15.03M,120.16M,,2001-10,0.05M,,,,2001-10,,
2001-07,-7.536M,,,,0.163M,0.783M,0.827M,1.61M,1.61M,,,,,,,,-1.238M,,0.017M,0.092M,,,-2.051M,-7.814M,,2001-07,-0.842M,-0.842M,,,-0.059M,-88.62M,,2001-07,,,-0.092M,0.104M,,0.104M,,0.035M,,2001-07,231.58M,-96.39M,135.19M,,2001-07,0.104M,,,,2001-07,,
2001-04,-15.29M,,,,9.048M,0.649M,0.847M,1.496M,1.496M,,,,,,,,1.632M,,0.024M,-1.196M,,,-0.387M,-5.129M,,2001-04,-1.441M,-1.441M,,,-0.323M,-24.37M,,2001-04,,,-0.099M,0.29M,,0.29M,,0.211M,,2001-04,260.67M,-29.09M,231.58M,,2001-04,0.29M,,,,2001-04,,
2001-01,-4.633M,,,,-0.142M,0.626M,0.878M,1.504M,1.504M,,,,,,,,-1.63M,,0.061M,0.254M,,,0.71M,-2.561M,,2001-01,-2.663M,-2.663M,,,-0.918M,6.141M,,2001-01,,,-0.086M,209.05M,,209.05M,,0.436M,,2001-01,47.69M,212.98M,260.67M,,2001-01,209.05M,,,,2001-01,,
2000-10,-29.59M,,,,21.46M,0.562M,0.349M,0.911M,0.911M,,,,,,,,1.236M,,0.168M,0.061M,,,-0.448M,-7.668M,,2000-10,-2.075M,-2.075M,,,0.771M,-37.53M,,2000-10,,,-0.092M,1.462M,,1.462M,,-0.34M,,2000-10,91.86M,-44.16M,47.69M,,2000-10,1.462M,,,,2000-10,,
2000-07,-5.092M,,,,0.282M,,,0.676M,0.676M,,,,,,,,,,,0.428M,0.67M,,2.862M,-1.272M,,2000-07,-0.055M,-0.055M,,,-0.04M,-76.02M,,2000-07,,,-0.243M,0.49M,,0.49M,,0.135M,,2000-07,168.76M,-76.91M,91.86M,,2000-07,0.49M,,,,2000-07,,
2000-04,-6.335M,,,,0.048M,,,0.393M,0.393M,,,,,,,,,,,-1.172M,3.113M,,3.108M,-2.786M,,2000-04,-1.074M,-1.074M,,,-0.10M,1.05M,,2000-04,,,116.04M,1.126M,,1.126M,,-0.008M,,2000-04,53.30M,115.43M,168.76M,,2000-04,1.126M,,,,2000-04,,
2000-01,-3.60M,,,,0.10M,,,0.30M,0.30M,,,,,,,0.20M,1.70M,,,-1.60M,-2.10M,,-1.80M,-4.80M,,2000-01,-0.80M,-0.80M,,,0.10M,-1.60M,,2000-01,,,-0.10M,46.20M,,46.20M,,0.40M,,2000-01,13.30M,40.10M,53.30M,,2000-01,46.20M,,,,2000-01,,
1999-10,-5.20M,,,,,,,0.40M,0.40M,,,,,,,-0.20M,-1.70M,,,0.90M,0.10M,,-1.90M,-6.90M,,1999-10,-0.30M,-0.30M,,,,-4.30M,,1999-10,,,-0.10M,0.30M,,0.30M,,,,1999-10,24.20M,-11.00M,13.30M,,1999-10,0.30M,,,,1999-10,,
1999-07,-4.20M,,,,0.00,,,0.30M,0.30M,,,,,,,0.20M,,,,0.60M,-2.50M,,-0.50M,-4.20M,,1999-07,-1.00M,-1.00M,,,0.10M,0.50M,,1999-07,,,-0.20M,0.00,,0.00,,0.20M,,1999-07,28.00M,-3.70M,24.20M,,1999-07,0.00,,,,1999-07,,
1999-04,6.30M,,,,0.10M,,,0.30M,0.30M,,,,,,,-0.10M,,,0.30M,1.80M,-4.60M,,-2.00M,4.60M,,1999-04,-0.60M,-0.60M,,,-0.10M,1.40M,,1999-04,,,0.00,0.00,,0.00,,0.30M,,1999-04,21.70M,6.30M,28.00M,,1999-04,0.00,,,,1999-04,,
1999-01,-4.80M,,,,,,,0.10M,0.10M,,,,,,,0.10M,,,-0.30M,0.30M,-0.10M,,0.10M,-4.50M,,1999-01,-0.10M,-0.10M,,,,-3.70M,,1999-01,,,-0.10M,0.40M,,0.40M,,,,1999-01,29.60M,-7.90M,21.70M,,1999-01,0.40M,,,,1999-01,,
1998-10,-3.70M,,,,,,,0.20M,0.20M,,,,,,,-0.10M,,,,,0.20M,,0.00,-3.60M,,1998-10,-0.20M,-0.20M,,,,1.80M,,1998-10,,,-0.10M,,,,,,,1998-10,31.50M,-1.90M,29.60M,,1998-10,,,,,1998-10,,
1998-07,-3.70M,,,,,,,0.20M,0.20M,,,,,,,-0.10M,,,0.20M,-0.30M,-0.10M,,0.10M,-3.50M,,1998-07,-0.50M,-0.50M,,,0.10M,1.10M,,1998-07,,,0.60M,0.00,,0.00,,,,1998-07,34.80M,-3.30M,31.50M,,1998-07,0.00,,,,1998-07,,
1998-04,-3.10M,,,,,,,0.10M,0.10M,,,,,,,0.20M,,,-0.20M,0.40M,0.20M,,0.50M,-2.30M,,1998-04,-1.30M,-1.30M,,,0.10M,0.00,,1998-04,,,0.40M,8.80M,,8.80M,,,,1998-04,27.90M,6.90M,34.80M,,1998-04,8.80M,,,,1998-04,,
