,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-03,3.925B,2.551B,6.476B,7.515B,7.515B,13.99B,,,,,8.953B,187.59B,,248.21B,362.67B,,32.76B,,31.00M,32.79B,32.79B,,1.12B,1.12B,1.12B,,,33.91B,7.414B,,7.414B,2.414B,2.414B,,,193.66B,,,203.49B,339.63B,,8.00M,7.595B,15.04B,1.764B,,,,,2.156B,23.04B,,AOR,Restated
2004-12,,,,,,,,,,,41.30B,,,253.37B,356.81B,,,,,,,,1.445B,1.445B,1.445B,,,1.445B,7.412B,,7.412B,,,,,,,,7.412B,333.98B,,8.00M,6.608B,15.04B,1.785B,,,,,2.956B,22.82B,,AOR,Restated
2004-09,3.592B,2.451B,6.043B,7.089B,7.089B,13.13B,,,,,8.801B,180.41B,,237.91B,346.18B,,29.79B,,501.00M,30.29B,30.29B,,1.566B,1.566B,1.566B,,,31.85B,6.695B,,6.695B,2.468B,2.468B,,,186.81B,,,195.97B,323.20B,,8.00M,6.44B,15.03B,1.294B,,,,,2.794B,22.98B,,AOR,Restated
2004-06,4.459B,2.089B,6.548B,7.566B,7.566B,14.11B,,,,,8.766B,174.02B,,230.24B,338.23B,,29.20B,,756.00M,29.95B,29.95B,,3.218B,3.218B,3.218B,,,33.17B,6.226B,,6.226B,1.931B,1.931B,,,182.74B,,,190.89B,316.91B,,8.00M,5.663B,15.01B,1.085B,,,,,1.717B,21.32B,,AOR,Restated
2004-03,3.146B,1.998B,5.144B,7.554B,7.554B,12.70B,,,,,8.758B,177.85B,,232.82B,337.21B,,29.03B,,639.00M,29.67B,29.67B,,3.068B,3.068B,3.068B,,,32.74B,5.707B,,5.707B,2.851B,2.851B,,,181.24B,,,189.80B,314.94B,,8.00M,4.716B,15.00B,896.00M,,,,,3.444B,22.27B,,AOR,Restated
2003-12,,,,,,,,,,,35.00B,,,235.96B,326.84B,,,,,,,,3.642B,3.642B,3.642B,,,3.642B,5.703B,,5.703B,,,,,,,,5.703B,305.69B,,8.00M,4.193B,14.99B,835.00M,,,,,2.792B,21.15B,,AOR,Restated
2003-09,5.372B,2.718B,8.09B,7.133B,7.133B,15.22B,5.364B,,,,8.668B,164.32B,,217.85B,314.98B,,25.82B,,728.00M,26.55B,26.55B,,2.935B,2.935B,2.935B,,,29.49B,5.703B,,5.703B,2.40B,2.40B,,,173.97B,277.00M,,182.07B,293.80B,,8.00M,3.667B,14.96B,739.00M,,,,,3.009B,20.90B,,AOR,Restated
2003-06,5.714B,2.64B,8.354B,7.512B,7.512B,15.87B,,,,,8.627B,163.08B,,215.00B,309.82B,,24.14B,,726.00M,24.87B,24.87B,,3.443B,3.443B,3.443B,,,28.31B,5.562B,,5.562B,2.514B,2.514B,,,170.90B,277.00M,,178.98B,288.64B,,8.00M,3.093B,14.96B,740.00M,,,,,3.306B,20.62B,,AOR,Restated
2003-03,4.938B,3.188B,8.126B,7.968B,7.968B,16.09B,4.569B,,,,8.615B,149.00B,,199.26B,286.86B,,20.60B,,616.00M,21.21B,21.21B,,2.441B,2.441B,2.441B,,,23.66B,5.481B,,5.481B,1.954B,1.954B,,,165.84B,277.00M,,173.27B,268.26B,,8.00M,3.169B,14.95B,2.402B,,,,,2.312B,18.04B,,AOR,Restated
2002-12,,,,,,,,,,,33.67B,,,203.92B,277.43B,,,,,,,,1.161B,1.161B,1.161B,,,1.161B,4.425B,,4.425B,,,,,,1.265B,,4.425B,258.78B,,8.00M,2.807B,14.97B,2.405B,,,,,2.007B,17.38B,,AOR,Restated
2002-09,3.647B,2.658B,6.305B,8.165B,8.165B,14.47B,,,,,8.366B,137.78B,,186.30B,267.93B,,17.41B,,403.00M,17.81B,17.81B,,878.00M,878.00M,878.00M,,,18.69B,3.428B,,3.428B,1.636B,1.636B,,,158.84B,1.263B,,163.90B,249.59B,,8.00M,2.393B,14.97B,2.405B,,,,,2.114B,17.08B,,AOR,
2002-06,3.563B,2.233B,5.796B,8.17B,8.17B,13.97B,,,,,8.316B,127.96B,,176.23B,261.23B,,14.59B,,300.00M,14.89B,14.89B,,52.00M,52.00M,52.00M,,,14.94B,3.436B,,3.436B,1.385B,1.385B,,,155.96B,1.26B,,160.79B,243.83B,,8.00M,2.065B,14.97B,2.365B,,,,,1.469B,16.14B,,AOR,
2002-03,4.024B,2.41B,6.434B,8.111B,8.111B,14.54B,,,,,8.31B,122.38B,,170.42B,258.71B,,14.70B,,150.00M,14.85B,14.85B,,546.00M,546.00M,546.00M,,,15.40B,3.434B,,3.434B,1.167B,1.167B,,,151.52B,1.258B,,156.12B,242.13B,,8.00M,1.678B,14.97B,2.174B,,,,,842.00M,15.32B,,AOR,
2001-12,,,,,,,,,,,31.89B,,,181.03B,256.97B,,,,,,,,355.00M,355.00M,355.00M,,,355.00M,,,,,,,,,1.256B,,,239.65B,,8.00M,1.349B,14.97B,1.934B,,,,,1.673B,16.06B,,AOR,Restated
2001-09,4.445B,1.012B,5.457B,8.063B,8.063B,13.52B,,,,,8.163B,121.19B,,166.94B,251.90B,,14.34B,,256.00M,14.60B,14.60B,,701.00M,701.00M,701.00M,,,15.30B,2.352B,,2.352B,1.688B,1.688B,,,146.55B,1.096B,,150.59B,233.87B,,8.00M,1.79B,14.93B,1.63B,,,,,1.834B,16.93B,,AOR,
2001-06,4.748B,827.00M,5.575B,8.139B,8.139B,13.71B,,,,,8.122B,118.46B,,163.74B,254.78B,,13.82B,,310.00M,14.14B,14.14B,,2.121B,2.121B,2.121B,,,16.26B,2.309B,,2.309B,1.167B,1.167B,,,143.41B,1.094B,,146.88B,236.92B,,8.00M,1.628B,14.93B,1.124B,,,,,1.325B,16.76B,,AOR,
2001-03,4.205B,918.00M,5.123B,8.797B,8.797B,13.92B,,,,,8.149B,119.77B,,164.49B,254.12B,,14.34B,,259.00M,14.60B,14.60B,,1.596B,1.596B,1.596B,,,16.20B,2.453B,,2.453B,1.305B,1.305B,,,143.00B,1.092B,,146.76B,236.00B,,8.00M,1.308B,14.93B,851.00M,,,,,1.631B,17.02B,,AOR,
2000-12,,,,,,,,,,,30.11B,,,171.24B,254.16B,,,,,,,,1.085B,1.085B,1.085B,,,1.085B,2.353B,,2.353B,,,,,,1.09B,,2.353B,236.68B,,8.00M,1.021B,14.93B,613.00M,,,,,1.047B,16.39B,,AOR,Restated
2000-09,1.60B,1.985B,3.585B,6.445B,8.064B,11.65B,,,,,4.259B,89.97B,238.00M,164.03B,257.49B,,313.00M,,354.00M,667.00M,667.00M,,1.768B,1.768B,1.768B,,,2.435B,2.892B,,2.892B,,,,,100.74B,1.085B,,103.63B,241.20B,,8.00M,582.00M,14.93B,407.00M,,,,,98.00M,15.21B,,AOR,
2000-06,3.187B,1.391B,4.578B,8.317B,8.317B,12.90B,,,,,4.179B,87.14B,695.00M,160.72B,254.82B,,283.00M,,552.00M,835.00M,835.00M,,1.775B,1.775B,1.775B,,,2.61B,2.833B,,2.833B,,,,,100.32B,1.084B,,103.15B,239.17B,,8.00M,341.00M,14.93B,214.00M,,,,,-494.00M,14.57B,,AOR,
2000-03,2.237B,1.578B,3.815B,9.032B,9.032B,12.85B,,,,,7.914B,112.28B,481.00M,231.76B,256.05B,,986.00M,,579.00M,1.565B,1.565B,,3.585B,3.585B,3.585B,,,5.15B,2.793B,,2.793B,,,,,137.55B,,,140.34B,241.91B,,,14.34B,,,,,,,-320.00M,14.02B,,AOR,
