,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2004-12,25.90M,,1.90M,,14.60M,14.60M,-1.00M,,,,,-0.30M,0.00,4.70M,7.30M,,-5.50M,3.30M,9.50M,50.90M,-19.70M,8.70M,-11.00M,,-5.00M,,-2.50M,-18.50M,,,-10.40M,7.30M,-25.60M,-18.30M,,9.70M,-19.00M,31.00M,13.40M,4.50M,48.90M,7.30M,,,-25.60M,
2004-09,12.40M,,13.30M,,15.30M,15.30M,1.10M,,,,,5.50M,-0.50M,-11.90M,9.90M,,18.50M,-3.30M,18.20M,60.30M,-7.90M,0.90M,-7.00M,,-10.00M,,-1.80M,-18.80M,,,-41.40M,4.10M,-7.00M,-2.90M,,-7.20M,-51.50M,13.10M,-10.00M,1.00M,31.00M,4.10M,,,-7.00M,
2004-06,25.50M,,2.70M,,13.10M,13.10M,1.50M,,,,,2.80M,-7.80M,6.50M,5.70M,-1.10M,-18.50M,1.80M,-10.60M,32.20M,-8.90M,2.90M,-6.00M,,0.00,,-1.40M,-7.40M,,,-19.10M,10.70M,-11.80M,-1.10M,,-1.50M,-21.70M,37.90M,3.10M,-1.00M,13.10M,10.70M,,,-11.80M,
2004-03,-62.10M,,101.70M,,12.70M,12.70M,-0.80M,,,,,1.60M,1.20M,-6.50M,-9.90M,1.10M,,-1.80M,-14.30M,37.20M,-6.00M,2.60M,-3.40M,,-122.70M,,-6.30M,-132.40M,,,78.00M,8.40M,-14.70M,-6.30M,,,71.70M,61.10M,-23.50M,0.30M,37.90M,8.40M,,,-14.70M,
2003-12,18.90M,,11.10M,,11.60M,11.60M,2.50M,,,,,4.50M,9.20M,7.50M,20.30M,,2.60M,,44.10M,88.20M,-11.80M,0.40M,-11.40M,,-33.20M,,10.70M,-33.90M,,,-41.10M,7.40M,0.00,7.40M,,1.10M,-32.60M,38.30M,21.70M,1.10M,61.10M,7.40M,,,0.00,
2003-09,24.50M,,6.00M,,11.90M,11.90M,-5.50M,,,,,1.30M,1.90M,6.90M,-16.40M,,-10.40M,6.20M,-10.50M,26.40M,9.30M,0.00,9.30M,,,0.90M,-22.60M,-12.40M,,,-17.40M,5.70M,-12.80M,-7.10M,,-0.90M,-25.40M,50.70M,-11.40M,-1.00M,38.30M,5.70M,,,-12.80M,
2003-06,21.10M,,-3.00M,,11.30M,11.30M,7.90M,,,,0.40M,3.80M,-5.10M,-11.30M,-0.60M,,,-0.20M,-13.40M,24.30M,-27.60M,0.00,-27.60M,,20.00M,-0.90M,2.10M,-6.40M,,,24.90M,19.90M,-28.40M,-8.50M,,-6.80M,9.60M,29.80M,27.50M,-6.60M,50.70M,19.90M,,,-28.40M,
2003-03,14.50M,,11.80M,,10.80M,10.80M,0.40M,,,,-0.40M,-14.40M,-1.80M,,-11.70M,,,-6.00M,-33.90M,3.20M,-7.80M,5.60M,-2.20M,,-20.00M,,-2.00M,-24.20M,,,29.60M,3.60M,-8.20M,-4.60M,,2.20M,27.20M,34.20M,6.20M,-10.60M,29.80M,3.60M,,,-8.20M,
2002-12,21.70M,,2.20M,,11.00M,11.00M,21.80M,,,,,-20.60M,10.90M,,-3.40M,,3.60M,,-9.50M,47.20M,-15.80M,1.20M,-14.60M,,,,-6.00M,-39.60M,,,-39.30M,2.90M,-2.30M,0.60M,,30.80M,-7.90M,39.00M,-0.30M,-4.50M,34.20M,2.90M,,,-2.30M,
2002-09,-17.40M,,68.80M,,10.10M,10.10M,-34.50M,,,,,4.30M,4.00M,,-9.60M,,5.00M,,3.70M,30.70M,-8.50M,0.00,-8.50M,,,,-2.00M,-10.50M,,,-17.40M,3.40M,-8.20M,-4.80M,,-0.80M,-23.00M,35.50M,-2.80M,6.30M,39.00M,3.40M,,,-8.20M,
2002-06,30.60M,,4.20M,,9.60M,9.60M,-1.10M,,,,,-3.30M,-1.30M,,10.50M,,-8.60M,3.00M,0.30M,43.60M,-8.80M,0.60M,-8.20M,,,,-2.50M,-10.70M,,,-14.70M,4.10M,-18.50M,-14.40M,,1.00M,-28.10M,28.00M,4.80M,2.70M,35.50M,4.10M,,,-18.50M,
2002-03,20.80M,,-0.60M,,9.70M,9.70M,,,,,,-12.40M,-0.30M,,-15.10M,,,-3.00M,-30.80M,-0.90M,-7.60M,2.30M,-5.30M,,,,-2.20M,-7.50M,,,-10.70M,3.30M,-1.80M,1.50M,,-1.30M,-10.50M,47.70M,-18.90M,-0.80M,28.00M,3.30M,,,-1.80M,
2001-12,17.50M,,-2.10M,,12.60M,12.60M,-20.70M,,,,,-4.60M,10.90M,,24.30M,,,0.60M,31.20M,46.50M,-9.90M,10.00M,0.10M,,,,-12.00M,-11.90M,,,-8.40M,-6.50M,,-6.50M,,5.00M,-9.90M,23.50M,24.70M,-0.10M,48.00M,-6.50M,,,,
2001-09,14.50M,,-0.80M,,11.10M,11.10M,0.20M,,,,,-0.30M,-18.30M,,19.50M,,1.50M,-0.60M,1.80M,26.80M,-9.30M,40.10M,30.80M,,,,-45.60M,-14.80M,,,-62.60M,2.90M,,2.90M,,8.40M,-51.30M,61.60M,-39.30M,1.20M,23.50M,2.90M,,,,
2001-06,-55.70M,,88.30M,,17.00M,17.00M,-9.50M,,,,,6.60M,14.70M,,-31.20M,,-1.50M,6.30M,-5.10M,35.00M,-9.40M,4.90M,-4.50M,,,,40.60M,36.10M,,,-23.30M,2.00M,,2.00M,,-5.40M,-26.70M,17.90M,44.40M,-0.70M,61.60M,2.00M,,,,
2001-03,12.70M,,-3.40M,,16.30M,16.30M,,,,,,-6.70M,-14.30M,,-5.60M,,,-6.30M,-32.90M,-7.30M,-9.40M,,-9.40M,,,,-4.00M,-13.40M,,,3.30M,1.60M,,1.60M,,5.00M,9.90M,28.10M,-10.80M,0.60M,17.90M,1.60M,,,,
2000-12,24.80M,,13.70M,,14.60M,14.60M,-2.60M,,,,-9.20M,-6.80M,4.10M,,10.60M,,0.30M,,8.20M,49.50M,-11.10M,2.00M,-9.10M,,,13.00M,-14.50M,-10.60M,,,-59.60M,,,,,32.00M,-23.60M,13.20M,15.30M,-0.50M,28.00M,,,,,
2000-09,-4.80M,,9.30M,,15.40M,15.40M,-0.40M,,,,9.20M,10.80M,-0.10M,,1.40M,,1.70M,,13.80M,42.50M,-13.90M,10.00M,-3.90M,,,-13.00M,13.50M,-3.40M,,,-29.40M,,,,,0.00,-29.40M,2.00M,9.70M,1.50M,13.20M,,,,,
2000-06,-309.00M,,328.00M,,23.00M,23.00M,3.00M,,,,,-17.00M,6.00M,,-2.00M,,-13.00M,11.00M,-15.00M,30.00M,-11.00M,,-11.00M,,,,-23.00M,-34.00M,,,1.00M,,,,,-3.00M,-2.00M,6.00M,-6.00M,2.00M,2.00M,,,,,
2000-03,17.00M,,-4.00M,,21.00M,21.00M,,,,,,5.00M,5.00M,,-18.00M,,,-11.00M,-19.00M,15.00M,-10.00M,,-10.00M,,,,-17.00M,-27.00M,,,529.00M,,,,,-511.00M,18.00M,0.00,6.00M,,6.00M,,,,,
