,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-06,164.90M,,164.90M,137.40M,,137.40M,28.60M,19.90M,95.00M,143.50M,70.00M,25.40M,,541.20M,,,,,,,462.30M,-242.10M,220.20M,337.70M,107.50M,445.20M,,,4.80M,40.40M,710.60M,1.252B,173.60M,,173.60M,,173.60M,,,150.00M,,150.00M,,,,323.60M,57.60M,,57.60M,,,,63.10M,120.70M,444.30M,67.90M,503.70M,644.00M,399.20M,,,-8.90M,807.50M
2007-03,180.20M,,180.20M,129.30M,,129.30M,25.60M,18.50M,97.40M,141.50M,64.30M,26.80M,,542.10M,,,,,,,458.80M,-242.10M,216.70M,337.70M,108.90M,446.60M,,,6.30M,37.50M,707.10M,1.249B,179.40M,,179.40M,,179.40M,,,,,,,,,179.40M,224.50M,,224.50M,,,,60.30M,284.80M,464.20M,67.60M,468.80M,626.60M,364.20M,,,-13.80M,785.00M
2006-12,182.80M,,182.80M,111.50M,15.60M,127.10M,25.10M,22.40M,94.60M,142.10M,57.80M,21.80M,,531.60M,0.0,19.60M,88.80M,272.80M,50.80M,23.10M,455.10M,-242.10M,213.00M,337.70M,116.10M,453.80M,,,14.50M,33.90M,715.20M,1.247B,57.20M,,57.20M,132.00M,189.20M,,,,,,,,37.00M,226.20M,235.90M,,235.90M,,,,35.30M,271.20M,497.40M,67.00M,433.90M,603.70M,339.40M,-12.10M,-3.70M,-15.80M,749.40M
2006-09,151.30M,,151.30M,130.20M,,130.20M,29.20M,25.70M,94.00M,148.90M,65.30M,29.20M,,524.90M,,,,,,,211.50M,,211.50M,337.70M,123.20M,460.90M,,,15.50M,27.50M,715.40M,1.240B,227.50M,,227.50M,,227.50M,,,,,,,,,227.50M,253.00M,,253.00M,,,,31.90M,284.90M,512.40M,66.70M,413.20M,587.90M,320.70M,,,-19.20M,727.90M
2006-06,167.10M,,167.10M,133.70M,,133.70M,29.70M,25.60M,83.70M,139.00M,71.90M,30.60M,,542.30M,,,,,,,205.70M,,205.70M,337.70M,127.50M,465.20M,,,17.00M,29.00M,716.90M,1.259B,226.50M,,226.50M,,226.50M,,,,,,,,,226.50M,279.60M,,279.60M,,,,30.70M,310.30M,536.80M,66.30M,385.40M,570.50M,279.40M,,,-20.40M,722.40M
2006-03,189.00M,,189.00M,123.00M,,123.00M,27.00M,23.00M,85.00M,135.00M,54.00M,25.00M,,526.00M,,,,,,,434.00M,-235.00M,199.00M,338.00M,133.00M,471.00M,,,14.00M,30.00M,714.00M,1.24B,197.00M,,197.00M,,197.00M,,,,,,,,,197.00M,289.00M,,289.00M,,,,30.00M,319.00M,516.00M,66.00M,349.00M,551.00M,223.00M,,,-20.00M,724.00M
2005-12,178.60M,,178.60M,118.50M,,118.50M,25.60M,17.80M,88.10M,131.50M,58.00M,27.60M,,514.20M,,,,,,,201.90M,,201.90M,337.70M,137.70M,475.40M,,,11.50M,26.10M,714.90M,1.229B,194.20M,,194.20M,,194.20M,,,,,,,,,194.20M,316.10M,,316.10M,,,,28.80M,344.90M,539.10M,65.60M,303.40M,536.70M,193.50M,,,-22.20M,690.00M
2005-09,88.00M,,88.00M,125.90M,,125.90M,23.50M,22.50M,89.50M,135.50M,67.10M,13.90M,,430.40M,,,,,,,428.70M,-236.60M,192.10M,,479.50M,479.50M,,,18.90M,24.10M,714.60M,1.145B,204.60M,,204.60M,,204.60M,,,,,,,,,204.60M,251.50M,,251.50M,,,,29.70M,281.20M,485.80M,65.40M,264.70M,528.00M,176.40M,,,-22.50M,659.20M
2005-06,96.10M,,96.10M,124.90M,,124.90M,22.70M,22.20M,86.40M,131.30M,69.80M,15.00M,,437.10M,,,,,,,429.60M,-236.60M,193.00M,,483.60M,483.60M,,,13.20M,23.90M,713.70M,1.151B,190.40M,,190.40M,,190.40M,,,,,,,,,190.40M,269.60M,,269.60M,,,,29.10M,298.70M,489.10M,65.00M,269.10M,517.50M,156.00M,,,-33.90M,661.70M
2005-03,72.60M,,72.60M,127.70M,,127.70M,22.40M,21.50M,82.20M,126.10M,56.70M,17.50M,,400.60M,,,,,,,432.00M,-236.60M,195.40M,,480.80M,480.80M,,,18.80M,27.50M,722.50M,1.123B,176.40M,,176.40M,,176.40M,,,,,,,,,176.40M,275.80M,,275.80M,,,,22.80M,298.60M,475.00M,64.60M,255.30M,507.00M,152.50M,,,-26.30M,648.10M
2004-12,48.90M,,48.90M,104.10M,15.30M,119.40M,22.20M,18.90M,86.60M,127.70M,42.20M,21.10M,8.20M,367.50M,0.0,17.90M,78.70M,328.20M,,13.50M,438.30M,-236.60M,201.70M,,490.30M,490.30M,,,22.30M,30.90M,745.20M,1.113B,195.40M,,195.40M,,195.40M,,,,,,,,,195.40M,267.10M,,267.10M,,,,22.10M,289.20M,484.60M,64.20M,224.10M,500.60M,140.00M,,,-20.80M,628.10M
2004-09,31.00M,,31.00M,113.20M,,113.20M,21.70M,18.90M,79.90M,120.50M,53.50M,8.00M,,326.20M,,,,,,,403.70M,-214.20M,189.50M,,487.80M,487.80M,,,30.50M,37.90M,745.70M,1.072B,170.30M,,170.30M,,170.30M,,,,,,,,,170.30M,269.20M,,269.20M,,,,33.10M,302.30M,472.60M,63.80M,198.20M,485.50M,114.40M,,,-33.80M,599.30M
2004-06,40.00M,,40.00M,110.10M,,110.10M,22.50M,19.50M,77.50M,119.50M,55.70M,8.00M,,333.30M,,,,,,,407.70M,-214.20M,193.50M,,488.60M,488.60M,,,31.20M,43.00M,756.30M,1.090B,156.00M,,156.00M,,156.00M,,,,,,,,,156.00M,312.80M,,312.80M,,,,34.60M,347.40M,503.40M,63.70M,185.80M,481.30M,107.30M,,,-37.30M,586.20M
2004-03,37.90M,,37.90M,113.50M,,113.50M,19.90M,19.20M,75.40M,114.50M,51.40M,9.40M,,326.70M,,,,,,,417.90M,-214.20M,203.70M,,491.20M,491.20M,,,29.50M,52.70M,777.10M,1.104B,156.40M,,156.40M,,156.40M,,,,,,,,,156.40M,334.50M,,334.50M,,,,42.70M,377.20M,533.60M,63.10M,160.30M,471.00M,95.60M,,,-28.60M,570.20M
2003-12,61.10M,,61.10M,97.50M,21.00M,118.50M,20.40M,16.70M,83.40M,120.50M,41.80M,11.90M,6.40M,360.20M,0.0,30.10M,67.40M,309.40M,,17.20M,424.10M,-214.20M,209.90M,,419.20M,419.20M,,,59.30M,52.80M,741.20M,1.101B,167.20M,,167.20M,,167.20M,,,,,,,,,167.20M,255.80M,,255.80M,,,,43.30M,299.10M,466.30M,62.60M,222.40M,463.20M,80.90M,,,-32.20M,635.10M
2003-09,38.30M,,38.30M,115.60M,,115.60M,20.30M,18.60M,86.40M,125.30M,60.20M,28.90M,,368.30M,,,,,,,401.90M,-196.00M,205.90M,,418.90M,418.90M,,,35.10M,42.60M,702.50M,1.071B,172.00M,,172.00M,,172.00M,,,,,,,,,172.00M,293.10M,,293.10M,,,,27.00M,320.10M,492.10M,62.10M,203.50M,440.20M,80.90M,,,-46.20M,578.70M
2003-06,50.70M,,50.70M,124.40M,,124.40M,21.50M,18.80M,85.30M,125.60M,59.10M,28.40M,,388.20M,,,,,,,401.80M,-196.00M,205.80M,,418.70M,418.70M,,,31.40M,35.60M,691.50M,1.080B,186.10M,,186.10M,,186.10M,,,,,,,,,186.10M,307.30M,,307.30M,,,,27.30M,334.60M,520.70M,61.80M,179.00M,434.80M,68.10M,,,-48.50M,559.00M
2003-03,29.80M,,29.80M,124.90M,,124.90M,20.50M,20.90M,74.90M,116.30M,50.90M,29.20M,,351.10M,,,,,,,401.10M,-196.00M,205.10M,,403.30M,403.30M,,,39.00M,37.40M,684.80M,1.036B,189.60M,,189.60M,,189.60M,,,,,,,,,189.60M,276.90M,,276.90M,,,,26.40M,303.30M,492.90M,60.40M,157.90M,416.00M,39.70M,,,-51.60M,543.00M
2002-12,34.20M,,34.20M,88.30M,20.10M,108.40M,17.40M,14.70M,79.70M,111.80M,34.80M,27.60M,3.40M,320.20M,0.0,32.60M,70.00M,294.30M,,8.50M,405.40M,-196.00M,209.40M,,398.80M,398.80M,,,38.80M,37.20M,684.20M,1.004B,177.30M,,177.30M,,177.30M,,,,,,,,,177.30M,245.50M,,245.50M,,,,42.20M,287.70M,465.00M,60.20M,143.40M,412.00M,31.50M,,,-44.70M,539.40M
2002-09,39.00M,,39.00M,113.20M,,113.20M,20.70M,20.00M,43.70M,84.40M,37.80M,22.90M,,297.30M,,,,,,,324.10M,-144.00M,180.10M,,396.30M,396.30M,,,,44.70M,621.10M,918.40M,175.00M,,175.00M,,175.00M,,,,,,,,,175.00M,279.90M,,279.90M,,,,4.70M,284.60M,459.60M,60.00M,121.70M,298.10M,29.10M,,,8.10M,458.80M
2002-06,35.50M,,35.50M,114.40M,,114.40M,23.40M,21.90M,44.10M,89.40M,47.00M,25.40M,,311.70M,,,,,,,322.00M,-144.00M,178.00M,333.80M,63.20M,397.00M,,,,96.60M,671.60M,983.30M,185.50M,,185.50M,,185.50M,,,0.60M,,0.60M,,,,186.10M,296.90M,,296.90M,,,,20.70M,317.60M,503.70M,59.80M,139.10M,294.90M,21.00M,,,6.80M,479.60M
2002-03,28.00M,,28.00M,109.30M,,109.30M,22.30M,24.90M,38.90M,86.10M,45.60M,18.00M,,287.00M,,,,,,,321.40M,-144.00M,177.40M,333.80M,67.60M,401.40M,,,,99.60M,678.40M,965.40M,166.30M,,166.30M,,166.30M,,,1.50M,,1.50M,,,,167.80M,290.80M,,290.80M,,,,20.50M,311.30M,479.10M,59.50M,108.50M,290.60M,2.50M,,,30.20M,486.30M
2001-12,47.70M,,47.70M,85.30M,15.30M,100.60M,21.80M,23.60M,41.20M,86.60M,18.90M,18.20M,20.00M,292.00M,0.0,34.30M,65.50M,225.70M,,6.40M,331.90M,-144.10M,187.80M,,402.40M,402.40M,,,,100.70M,690.90M,982.90M,183.50M,,183.50M,,183.50M,,,1.10M,,1.10M,,,,184.60M,309.80M,,309.80M,,,,29.80M,339.60M,524.20M,59.30M,87.70M,287.20M,0.70M,,,25.20M,458.70M
2001-09,23.50M,,23.50M,119.00M,,119.00M,23.10M,24.30M,33.30M,80.70M,25.80M,25.90M,,274.90M,,,,,,,320.70M,-144.00M,176.70M,403.00M,,403.00M,,,,105.00M,684.70M,959.60M,157.20M,,157.20M,,157.20M,,,0.20M,,0.20M,,,,157.40M,339.10M,,339.10M,,,,50.50M,389.60M,547.00M,59.20M,70.60M,284.60M,,,,-1.80M,412.60M
2001-06,61.60M,,61.60M,116.40M,,116.40M,24.10M,25.10M,28.00M,77.20M,39.00M,22.00M,,316.20M,,,,,,,317.50M,-144.00M,173.50M,408.00M,,408.00M,,,,109.50M,691.00M,1.007B,149.90M,,149.90M,,149.90M,,,49.20M,,49.20M,,,,199.10M,339.00M,,339.00M,,,,53.40M,392.40M,591.50M,58.90M,56.10M,281.30M,,,,19.40M,415.70M
2001-03,17.90M,,17.90M,136.20M,,136.20M,23.90M,25.20M,39.30M,88.40M,39.10M,24.80M,,306.40M,,,,,,,329.40M,-144.00M,185.40M,503.70M,,503.70M,,,,107.40M,796.50M,1.103B,167.40M,,167.40M,,167.40M,,,61.50M,,61.50M,,,,228.90M,352.90M,,352.90M,,,,57.10M,410.00M,638.90M,58.80M,111.80M,279.00M,,,,14.40M,464.00M
2000-12,28.00M,,28.00M,107.00M,22.00M,129.00M,19.00M,19.00M,49.00M,87.00M,14.00M,23.00M,20.00M,301.00M,0.0,24.00M,61.00M,223.00M,,19.00M,327.00M,-144.00M,183.00M,511.00M,,511.00M,,,,112.00M,806.00M,1.107B,177.00M,,177.00M,,177.00M,,,61.00M,,61.00M,,,,238.00M,367.00M,,367.00M,,,,62.00M,429.00M,667.00M,59.00M,103.00M,277.00M,,,,1.00M,440.00M
2000-09,13.20M,,13.20M,,,154.30M,,,,78.40M,,,31.30M,277.20M,,,,,,,,,177.10M,,520.20M,520.20M,,,,131.30M,828.60M,1.106B,126.80M,,126.80M,,126.80M,,,150.60M,,150.60M,,,,277.40M,348.20M,,348.20M,,,,55.80M,404.00M,681.40M,58.70M,87.10M,277.40M,,,,1.20M,424.40M
2000-06,2.00M,,2.00M,,,162.00M,,,,95.00M,,,36.00M,295.00M,,,,,,,,,178.00M,,528.00M,528.00M,,,,122.00M,828.00M,1.123B,121.00M,,121.00M,,121.00M,,,210.00M,,210.00M,,,,331.00M,321.00M,,321.00M,,,,60.00M,381.00M,712.00M,58.00M,83.00M,274.00M,,,,-4.00M,411.00M
2000-03,6.00M,,6.00M,,,132.00M,,,,156.00M,,,24.00M,318.00M,,,,,,,,,205.00M,,829.00M,829.00M,,,,29.00M,1.063B,1.381B,122.00M,,122.00M,,122.00M,,,210.00M,,210.00M,,,,332.00M,319.00M,,319.00M,,,,47.00M,366.00M,698.00M,58.00M,392.00M,264.00M,,,,-31.00M,683.00M
