,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-06,174.14M,174.14M,1.732B,1.732B,426.54M,193.40M,428.92M,1.049B,323.82M,,3.279B,,,,,,2.234B,-1.347B,887.71M,6.880B,1.760B,8.640B,,339.81M,9.868B,13.15B,,987.80M,,987.80M,1.016B,2.003B,,25.37M,,25.37M,,25.37M,,,,2.029B,,2.133B,,2.133B,,,,,1.651B,3.784B,5.813B,,3.427M,6.036B,1.007B,,,288.12M,7.334B,,,
2007-03,197.56M,197.56M,1.683B,1.683B,413.89M,195.86M,440.36M,1.050B,375.53M,,3.306B,,,,,,2.181B,-1.292B,888.71M,6.856B,1.742B,8.598B,,295.35M,9.782B,13.09B,,949.34M,,949.34M,1.119B,2.068B,,30.51M,,30.51M,,30.51M,,,,2.098B,,2.295B,,2.295B,,,,,1.648B,3.943B,6.041B,,3.421M,5.734B,1.082B,,,227.95M,7.047B,,,
2006-12,317.81M,317.81M,1.655B,1.655B,376.16M,182.81M,429.74M,988.71M,475.50M,,3.437B,,,,,,2.136B,-1.267B,868.62M,6.560B,1.698B,8.259B,,300.23M,9.427B,12.86B,,932.87M,,932.87M,1.516B,2.449B,,10.86M,,10.86M,,10.86M,,,,2.460B,,2.423B,,2.423B,,,,,1.337B,3.760B,6.219B,,3.412M,5.422B,1.027B,,,191.98M,6.645B,,,
2006-09,263.95M,263.95M,1.596B,1.596B,381.91M,195.06M,444.01M,1.021B,347.78M,,3.228B,,,,,,2.097B,-1.250B,846.45M,6.157B,1.584B,7.742B,,206.24M,8.794B,12.02B,,844.47M,,844.47M,1.506B,2.351B,,13.81M,,13.81M,,13.81M,,,,2.365B,,2.262B,,2.262B,,,,,1.245B,3.506B,5.871B,,3.407M,5.104B,989.65M,,,54.09M,6.151B,,,
2006-06,284.73M,284.73M,1.561B,1.561B,382.44M,193.25M,434.15M,1.010B,388.32M,,3.244B,,,,,,2.081B,-1.225B,855.83M,6.361B,1.275B,7.636B,,176.14M,8.668B,11.91B,,820.96M,,820.96M,1.436B,2.257B,,280.34M,,280.34M,,280.34M,,,,2.537B,,2.383B,,2.383B,,,,,1.133B,3.516B,6.053B,,3.403M,4.842B,951.83M,,,61.95M,5.860B,,,
2006-03,260.82M,260.82M,1.389B,1.389B,352.97M,188.29M,345.32M,886.58M,465.16M,,3.001B,,,,,,1.933B,-1.180B,753.14M,,5.443B,5.443B,,156.50M,6.353B,9.354B,,807.25M,,807.25M,1.341B,2.149B,,6.588M,,6.588M,,6.588M,,,,2.155B,,863.95M,,863.95M,,,,,960.69M,1.825B,3.980B,,3.394M,4.534B,904.02M,,,-67.05M,5.374B,,,
2005-12,315.55M,315.55M,1.408B,1.408B,331.86M,178.63M,314.77M,825.26M,396.35M,,2.945B,0.00,66.67M,474.36M,1.338B,,1.879B,-1.131B,748.17M,,5.309B,5.309B,,160.78M,6.218B,9.163B,,782.85M,,782.85M,1.302B,2.085B,,183.95M,,183.95M,,183.95M,,,,2.269B,,857.77M,,857.77M,,,,,956.40M,1.814B,4.083B,,3.385M,4.324B,861.88M,,,-109.28M,5.080B,,,
2005-09,275.62M,275.62M,1.364B,1.364B,363.92M,168.54M,345.86M,878.33M,281.67M,,2.800B,,,,,,1.861B,-1.123B,737.92M,,5.328B,5.328B,,157.62M,6.223B,9.023B,,719.82M,,719.82M,1.361B,2.081B,,118.81M,,118.81M,,118.81M,,,,2.200B,,935.65M,,935.65M,,,,,893.71M,1.829B,4.029B,,3.379M,4.079B,998.42M,,,-86.43M,4.994B,,,
2005-06,808.66M,808.66M,1.177B,1.177B,313.66M,154.60M,284.44M,752.71M,302.21M,,3.040B,,,,,,1.803B,-1.097B,706.34M,,4.795B,4.795B,,124.87M,5.626B,8.666B,,654.38M,,654.38M,1.206B,1.860B,,371.72M,,371.72M,,371.72M,,,,2.232B,,931.48M,,931.48M,,,,,701.12M,1.633B,3.865B,,3.375M,3.856B,1.031B,,,-89.29M,4.801B,,,
2005-03,673.07M,673.07M,1.165B,1.165B,291.00M,152.94M,303.23M,747.17M,332.04M,,2.917B,,,,,,1.825B,-1.094B,730.95M,,4.863B,4.863B,,111.34M,5.706B,8.623B,,647.05M,,647.05M,1.163B,1.811B,,396.40M,,396.40M,,396.40M,,,,2.207B,,927.54M,,927.54M,,,,,749.31M,1.677B,3.884B,,3.373M,3.632B,1.067B,,,36.53M,4.739B,,,
2004-12,609.12M,609.12M,1.231B,1.231B,284.41M,138.26M,281.32M,704.00M,374.51M,,2.919B,0.00,55.71M,451.68M,1.261B,,1.768B,-1.015B,752.97M,,4.731B,4.731B,,91.70M,5.575B,8.494B,,612.07M,,612.07M,1.165B,1.778B,,424.76M,,424.76M,,424.76M,,,,2.202B,,925.54M,,925.54M,,,,,746.39M,1.672B,3.874B,,3.369M,3.448B,1.052B,,,116.04M,4.620B,,,
2004-09,531.61M,531.61M,1.110B,1.110B,293.10M,161.86M,331.76M,786.72M,260.80M,,2.689B,,,,,,1.723B,-1.008B,715.30M,,4.440B,4.440B,,77.30M,5.233B,7.922B,,578.61M,,578.61M,1.110B,1.689B,,389.75M,,389.75M,,389.75M,,,,2.078B,,918.39M,,918.39M,,,,,740.94M,1.659B,3.738B,,3.366M,3.235B,1.038B,,,-91.47M,4.185B,,,
2004-06,303.28M,303.28M,1.094B,1.094B,287.30M,167.93M,328.52M,783.75M,280.57M,,2.462B,,,,,,1.723B,-996.00M,727.16M,,4.413B,4.413B,,81.02M,5.222B,7.683B,,586.99M,,586.99M,1.098B,1.685B,,18.32M,,18.32M,,18.32M,,,,1.704B,,1.282B,,1.282B,,,,,713.82M,1.996B,3.700B,,3.363M,3.039B,1.025B,,,-83.61M,3.983B,,,
2004-03,642.49M,642.49M,951.66M,951.66M,246.92M,137.06M,240.42M,624.41M,297.61M,,2.516B,,,,,,1.600B,-962.00M,638.12M,,4.057B,4.057B,,73.96M,4.769B,7.285B,,559.67M,,559.67M,980.17M,1.540B,,67.27M,,67.27M,,67.27M,,,,1.607B,,1.274B,,1.274B,,,,,621.40M,1.896B,3.503B,,1.68M,2.861B,1.013B,,,-93.51M,3.782B,,,
2003-12,1.230B,1.230B,868.10M,868.10M,222.97M,121.76M,191.49M,536.23M,307.67M,,2.942B,0.00,43.95M,326.11M,1.143B,,1.513B,-939.60M,573.36M,,3.342B,3.342B,,32.56M,3.948B,6.890B,,472.99M,,472.99M,892.62M,1.366B,,14.38M,,14.38M,,14.38M,,,,1.380B,,1.284B,,1.284B,,,,,578.84M,1.863B,3.243B,,1.677M,2.720B,999.79M,,,-74.61M,3.647B,,,
2003-09,1.105B,1.105B,836.59M,836.59M,214.75M,127.69M,197.35M,539.79M,299.31M,,2.780B,,,,,,1.488B,-917.00M,570.72M,,3.208B,3.208B,,31.05M,3.810B,6.590B,,439.49M,,439.49M,827.89M,1.267B,,10.30M,,10.30M,,10.30M,,,,1.278B,,1.246B,,1.246B,,,,,606.37M,1.852B,3.130B,,1.675M,2.554B,988.04M,,,-83.30M,3.460B,,,
2003-06,1.068B,1.068B,784.06M,784.06M,212.09M,117.18M,197.78M,527.05M,289.95M,,2.669B,,,,,,1.476B,-898.39M,577.50M,,3.180B,3.180B,,38.57M,3.796B,6.465B,,415.09M,,415.09M,820.98M,1.236B,,76.42M,,76.42M,,76.42M,,,,1.312B,,1.250B,,1.250B,,,,,627.96M,1.878B,3.190B,,1.672M,2.419B,940.92M,,,-86.84M,3.275B,,,
2003-03,911.63M,911.63M,770.34M,770.34M,205.50M,126.98M,195.34M,527.82M,308.07M,,2.518B,,,,,,1.459B,-865.70M,593.63M,,3.145B,3.145B,,35.84M,3.775B,6.293B,,395.18M,,395.18M,821.17M,1.216B,,152.48M,,152.48M,,152.48M,,,,1.369B,,1.218B,,1.218B,,,,,586.86M,1.804B,3.173B,,1.668M,2.298B,925.08M,,,-104.88M,3.120B,,,
2002-12,810.46M,810.46M,759.03M,759.03M,200.65M,119.87M,165.06M,485.59M,332.19M,,2.387B,0.00,37.80M,350.29M,1.041B,,1.429B,-831.92M,597.38M,,3.008B,3.008B,,36.80M,3.642B,6.029B,,366.59M,,366.59M,786.18M,1.153B,,112.54M,,112.54M,,112.54M,,,,1.265B,,1.197B,,1.197B,,,,,556.81M,1.754B,3.020B,,1.665M,2.198B,915.56M,,,-105.97M,3.010B,,,
2002-09,803.18M,803.18M,757.01M,757.01M,206.73M,115.90M,163.80M,486.44M,199.96M,,2.247B,,,,,,1.377B,-819.00M,558.38M,,3.024B,3.024B,,66.16M,3.648B,5.895B,,358.69M,,358.69M,904.10M,1.263B,,110.19M,,110.19M,,110.19M,,,,1.373B,,1.143B,,1.143B,,,,,494.54M,1.638B,3.011B,,1.664M,2.041B,909.13M,,,-67.82M,2.884B,,,
2002-06,705.08M,705.08M,746.40M,746.40M,206.78M,112.28M,157.85M,476.91M,202.59M,,2.131B,,,,,,1.355B,-782.00M,572.56M,2.870B,,2.870B,,71.29M,3.514B,5.645B,,328.12M,,328.12M,881.36M,1.209B,,108.83M,,108.83M,,108.83M,,,,1.318B,,1.113B,,1.113B,,,,,476.06M,1.589B,2.907B,,1.652M,1.928B,863.02M,,,-54.96M,2.738B,,,
2002-03,571.45M,571.45M,721.21M,721.21M,207.66M,115.50M,163.91M,487.08M,154.13M,,1.934B,,,,,,1.368B,-767.00M,600.71M,2.825B,,2.825B,,73.55M,3.500B,5.434B,,303.25M,,303.25M,857.73M,1.161B,,81.25M,,81.25M,,81.25M,,,,1.242B,,1.104B,,1.104B,,,,,469.84M,1.574B,2.816B,,1.65M,1.827B,856.89M,,,-68.38M,2.618B,,,
2001-12,706.56M,706.56M,585.32M,585.32M,181.80M,95.12M,131.32M,408.24M,174.50M,,1.875B,0.00,31.64M,287.66M,945.70M,,1.265B,-731.42M,533.57M,2.293B,,2.293B,,119.64M,2.946B,4.820B,,235.50M,,235.50M,709.44M,944.94M,,72.36M,,72.36M,,72.36M,,,,1.017B,,1.119B,,1.119B,,,,,455.27M,1.575B,2.592B,,1.573M,1.921B,375.28M,,,-69.74M,2.229B,,,
2001-09,646.47M,646.47M,632.81M,632.81M,196.96M,99.05M,166.77M,462.78M,127.98M,,1.870B,,,,,,1.257B,-720.00M,536.99M,2.175B,,2.175B,,133.04M,2.845B,4.715B,,252.41M,,252.41M,645.44M,897.85M,,,,74.40M,,74.40M,,,,972.25M,,1.122B,,1.122B,,,,,417.66M,1.539B,2.512B,,1.569M,1.891B,382.07M,,,-71.72M,2.203B,,,
2001-06,675.31M,675.31M,635.30M,635.30M,198.66M,97.47M,159.20M,455.33M,123.17M,,1.889B,0.00,1.234B,,,,1.234B,-689.00M,545.45M,2.069B,,2.069B,,116.48M,2.731B,4.620B,,270.74M,,270.74M,629.68M,900.42M,,72.98M,,72.98M,,72.98M,,,,973.40M,,1.101B,,1.101B,,,,,425.78M,1.527B,2.500B,,1.569M,1.807B,387.86M,,,-76.42M,2.120B,,,
2001-03,669.23M,669.23M,647.77M,647.77M,207.98M,97.00M,155.89M,460.87M,93.08M,,1.871B,0.00,1.191B,,,,1.191B,-641.00M,549.57M,1.976B,,1.976B,,112.51M,2.638B,4.509B,,253.87M,,253.87M,670.18M,924.04M,,75.19M,,75.19M,,75.19M,,,,999.23M,,1.107B,,1.107B,,,,,367.14M,1.474B,2.473B,,1.562M,1.715B,377.54M,,,-58.21M,2.036B,,,
2000-12,176.92M,176.92M,,704.21M,,,,460.61M,,132.56M,1.474B,,,,,,1.208B,-632.57M,575.53M,,1.864B,1.864B,,117.94M,2.557B,4.032B,,262.10M,,262.10M,,262.10M,,,,81.63M,,81.63M,,,674.81M,1.019B,,713.56M,,713.56M,,,,,357.25M,1.071B,2.089B,,1.556M,1.635B,364.43M,,,-59.13M,1.942B,,,
2000-09,153.79M,153.79M,,668.59M,,,,479.09M,,73.22M,1.375B,,,,,,1.204B,-627.69M,576.70M,,1.841B,1.841B,,97.72M,2.515B,3.890B,,254.46M,,254.46M,,254.46M,,,,59.84M,,59.84M,,,690.10M,1.004B,,745.24M,,745.24M,,,,,287.55M,1.033B,2.037B,,1.555M,1.551B,350.68M,,,-50.15M,1.853B,,,
2000-06,183.71M,183.71M,,624.71M,,,,440.95M,,68.76M,1.318B,,,,,,1.159B,-596.23M,563.23M,,1.728B,1.728B,,100.70M,2.392B,3.710B,,247.18M,,247.18M,,247.18M,,,,52.67M,,52.67M,,,654.87M,954.72M,,675.50M,,675.50M,,,,,310.36M,985.86M,1.941B,,1.552M,1.470B,349.96M,,,-51.86M,1.769B,,,
2000-03,91.97M,91.97M,,577.30M,,,,382.29M,,81.56M,1.133B,,,,,,1.109B,-576.31M,532.79M,,1.461B,1.461B,,78.20M,2.072B,3.206B,,228.66M,,228.66M,,228.66M,,,,43.76M,,43.76M,,,539.64M,812.06M,,402.50M,,402.50M,,,,,291.40M,693.90M,1.506B,,1.552M,1.391B,349.33M,,,-42.00M,1.700B,,,
1999-12,260.28M,260.28M,,544.74M,,,,324.67M,,72.42M,1.202B,,,,,,1.053B,-552.72M,500.19M,,1.292B,1.292B,,52.48M,1.845B,3.047B,,213.21M,,213.21M,,213.21M,,,,33.60M,,33.60M,,,461.98M,708.79M,,341.04M,,341.04M,,,,,288.49M,629.53M,1.338B,,1.54M,1.321B,420.04M,,,-34.10M,1.709B,,,
1999-09,280.10M,280.10M,,514.50M,,,,349.40M,,64.60M,1.209B,,,,,,1.052B,-543.10M,508.70M,,1.286B,1.286B,,76.90M,1.872B,3.081B,,195.20M,,195.20M,,195.20M,,,,74.80M,,74.80M,,,532.00M,802.00M,,341.50M,,341.50M,,,,,289.40M,630.90M,1.433B,,1.50M,1.249B,417.50M,,-20.30M,-20.30M,1.648B,,,
1999-06,128.00M,128.00M,,433.70M,,,,329.80M,,58.50M,950.00M,,,,,,927.20M,-467.00M,460.20M,,1.246B,1.246B,,95.50M,1.802B,2.752B,,179.90M,,179.90M,,179.90M,,,,58.50M,,58.50M,,,459.80M,698.20M,,341.30M,,341.30M,,,,,263.40M,604.70M,1.303B,,,1.093B,,,,,1.449B,,,
1999-03,68.20M,68.20M,,442.10M,,,,325.10M,,54.60M,890.00M,,,,,,918.30M,-455.50M,462.80M,,1.262B,1.262B,,131.70M,1.856B,2.746B,,173.70M,,173.70M,,173.70M,,,,53.90M,,53.90M,,,496.70M,724.30M,,347.50M,,347.50M,,,,,283.00M,630.50M,1.355B,,,1.032B,,,,,1.391B,,,
1998-12,47.80M,47.80M,,485.50M,,,,337.50M,,60.90M,931.70M,,,,,,1.004B,-493.30M,510.20M,,1.300B,1.300B,,99.40M,1.909B,2.841B,,161.80M,,161.80M,,161.80M,,,,59.70M,,59.70M,,,479.70M,701.20M,,443.90M,,443.90M,,,,,295.00M,738.90M,1.440B,,,1.070B,,,,,1.401B,,,
1998-09,39.30M,39.30M,,459.80M,,,,361.30M,,69.20M,929.60M,,,,,,736.50M,-263.20M,473.30M,,1.296B,1.296B,,72.00M,1.842B,2.771B,,172.50M,,172.50M,,172.50M,,,,215.80M,,215.80M,,,467.60M,855.90M,,330.30M,,330.30M,,,,,298.10M,628.40M,1.484B,,,853.60M,,,,,1.287B,,,
1998-06,32.90M,32.90M,,359.60M,,,,287.30M,,42.90M,722.70M,,,,,,674.90M,-292.00M,382.90M,,1.202B,1.202B,,64.00M,1.649B,2.371B,,158.10M,,158.10M,,158.10M,,,,162.30M,,162.30M,,,454.10M,774.50M,,323.40M,,323.40M,,,,,272.50M,595.90M,1.370B,,,737.00M,,,,,1.001B,,,
1998-03,30.40M,30.40M,,366.70M,,,,269.30M,,55.60M,722.00M,,,,,,655.60M,-276.30M,379.30M,,1.208B,1.208B,,61.20M,1.649B,2.371B,,168.00M,,168.00M,,168.00M,,,,213.90M,,213.90M,,,422.40M,804.30M,,313.70M,,313.70M,,,,,294.70M,608.40M,1.413B,,,692.30M,,,,,958.00M,,,
1997-12,70.80M,70.80M,,403.90M,,,,265.10M,,92.30M,832.10M,,,,,,666.70M,-263.20M,403.50M,,863.40M,863.40M,,84.90M,1.352B,2.184B,,152.10M,,152.10M,,152.10M,,,,35.90M,,35.90M,,,392.30M,580.30M,,163.10M,,163.10M,,,,,301.30M,464.40M,1.045B,,,806.20M,,,,,1.139B,,,
1997-09,22.80M,22.80M,,322.10M,,,,226.10M,,52.00M,623.00M,,,,,,587.70M,-255.90M,331.80M,,858.20M,858.20M,,101.80M,1.292B,1.915B,,130.40M,,130.40M,,130.40M,,,,19.10M,,19.10M,,,425.50M,575.00M,,200.40M,,200.40M,,,,,269.00M,469.40M,1.044B,,,613.90M,,,,,870.40M,,,
1997-06,35.00M,35.00M,,290.50M,,,,215.70M,,44.50M,585.70M,,,,,,572.10M,-244.50M,327.60M,,811.20M,811.20M,,94.70M,1.234B,1.819B,,123.60M,,123.60M,,123.60M,,,,24.80M,,24.80M,,,374.10M,522.50M,,190.90M,,190.90M,,,,,270.50M,461.40M,983.90M,,,573.60M,,,,,835.30M,,,
1997-03,38.60M,38.60M,,281.00M,,,,218.60M,,40.10M,578.30M,,,,,,555.90M,-231.00M,324.90M,,791.20M,791.20M,,100.30M,1.216B,1.795B,,119.50M,,119.50M,,119.50M,,,,18.50M,,18.50M,,,379.10M,517.10M,,190.90M,,190.90M,,,,,269.20M,460.10M,977.20M,,,536.80M,,,,,817.50M,,,
1996-12,26.40M,26.40M,,266.70M,,,,204.20M,,49.40M,546.70M,,,,,,538.40M,-218.80M,319.60M,,792.80M,792.80M,,106.00M,1.218B,1.765B,,110.20M,,110.20M,,110.20M,,,,16.80M,,16.80M,,,347.60M,474.60M,,219.60M,,219.60M,,,,,270.60M,490.20M,964.80M,,,506.80M,,,,,800.30M,,,
1996-09,21.90M,21.90M,,294.30M,,,,229.80M,,45.00M,591.00M,,,,,,522.30M,-211.40M,310.90M,,791.50M,791.50M,,99.30M,1.202B,1.793B,,110.30M,,110.30M,,110.30M,,,,16.60M,,16.60M,,,380.70M,507.60M,,268.70M,,268.70M,,,,,265.70M,534.40M,1.042B,,,473.40M,,,,,750.70M,,,
1996-06,9.20M,9.20M,,262.20M,,,,199.50M,,43.20M,514.10M,,,,,,486.80M,-196.10M,290.70M,,626.10M,626.10M,,90.60M,1.007B,1.522B,,102.20M,,102.20M,,102.20M,,,,15.20M,,15.20M,,,355.90M,473.30M,,125.00M,,125.00M,,,,,204.40M,329.40M,802.70M,,,441.30M,,,,,718.80M,,,
1996-03,15.90M,15.90M,,250.40M,,,,206.80M,,36.90M,510.00M,,,,,,477.30M,-183.90M,293.40M,,616.40M,616.40M,,83.70M,993.50M,1.504B,,96.80M,,96.80M,,96.80M,,,,50.10M,,50.10M,,,347.90M,494.80M,,101.70M,,101.70M,,,,,227.20M,328.90M,823.70M,,,409.90M,,,,,679.80M,,,
1995-12,7.90M,7.90M,,224.70M,,,,201.90M,,32.00M,466.50M,,,,,,460.50M,-168.60M,291.90M,,608.10M,608.10M,,119.50M,1.020B,1.486B,,92.30M,,92.30M,,92.30M,,,,15.00M,,15.00M,,,296.80M,404.10M,,268.60M,,268.60M,,,,,227.00M,495.60M,899.70M,,,304.40M,,,,,586.30M,,,
1995-09,10.50M,10.50M,,276.50M,,,,221.20M,,44.90M,553.10M,,,,,,500.20M,-174.90M,325.30M,,576.20M,576.20M,,53.50M,955.00M,1.508B,,112.00M,,112.00M,,112.00M,,,,140.80M,,140.80M,,,284.10M,536.90M,,176.40M,,176.40M,,,,,240.50M,416.90M,953.80M,,,275.10M,,,,,554.30M,,,
1995-06,20.60M,20.60M,,231.50M,,,,178.70M,,46.30M,477.10M,,,,,,449.10M,-170.20M,278.90M,,434.30M,434.30M,,31.00M,744.20M,1.221B,,104.70M,,104.70M,,104.70M,,,,87.90M,,87.90M,,,240.60M,433.20M,,116.50M,,116.50M,,,,,142.90M,259.40M,692.60M,,,200.70M,,,,,528.70M,,,
1995-03,15.70M,15.70M,,208.30M,,,,166.60M,,46.70M,437.30M,,,,,,443.20M,-164.00M,279.20M,,437.70M,437.70M,,30.90M,747.80M,1.185B,,107.20M,,107.20M,,107.20M,,,,65.20M,,65.20M,,,235.60M,408.00M,,116.60M,,116.60M,,,,,157.40M,274.00M,682.00M,,,221.40M,,,,,503.10M,,,
1994-12,2.00M,2.00M,,193.40M,,,,142.40M,,50.90M,388.70M,,,,,,421.70M,-148.60M,273.10M,,442.70M,442.70M,,30.40M,746.20M,1.135B,,94.60M,,94.60M,,94.60M,,,,68.80M,,68.80M,,,232.80M,396.20M,,116.50M,,116.50M,,,,,146.10M,262.60M,658.80M,,,200.70M,,,,,476.10M,,,
1994-09,21.60M,21.60M,,186.40M,,,,134.80M,,42.10M,384.90M,,,,,,391.30M,-146.50M,244.80M,,334.70M,334.70M,,21.20M,600.70M,985.60M,,86.60M,,86.60M,,86.60M,,,,0.30M,,0.30M,,,200.70M,287.60M,,131.20M,,131.20M,,,,,141.90M,273.10M,560.70M,,,177.40M,,,,,424.90M,,,
1994-06,16.90M,16.90M,,162.00M,,,,134.50M,,29.80M,343.20M,,,,,,382.20M,-139.10M,243.10M,,337.70M,337.70M,,20.80M,601.60M,944.80M,,87.40M,,87.40M,,87.40M,,,,0.30M,,0.30M,,,183.10M,270.80M,,131.40M,,131.40M,,,,,140.90M,272.30M,543.10M,,,155.20M,,,,,401.70M,,,
1994-03,11.40M,11.40M,,150.50M,,,,126.00M,,27.90M,315.80M,,,,,,369.70M,-131.30M,238.40M,,338.70M,338.70M,,23.50M,600.60M,916.40M,,78.10M,,78.10M,,78.10M,,,,11.90M,,11.90M,,,171.50M,261.50M,,131.40M,,131.40M,,,,,141.60M,273.00M,534.50M,,,136.80M,,,,,381.90M,,,
1993-12,6.80M,6.80M,,135.40M,,,,107.60M,,28.00M,277.80M,,,,,,358.30M,-122.60M,235.70M,,337.60M,337.60M,,21.40M,594.70M,872.50M,,72.40M,,72.40M,,72.40M,,,,2.20M,,2.20M,,,160.80M,235.40M,,131.40M,,131.40M,,,,,142.00M,273.40M,508.80M,,,123.10M,,,,,363.70M,,,
1993-09,12.40M,12.40M,,161.40M,,,,117.80M,,28.00M,319.60M,,,,,,345.30M,-115.70M,229.60M,,324.00M,324.00M,,23.20M,576.80M,896.40M,,74.30M,,74.30M,,74.30M,,,,0.70M,,0.70M,,,163.60M,238.60M,,169.30M,,169.30M,,,,,139.50M,308.80M,547.40M,,,107.60M,,,,,349.00M,,,
1993-06,15.40M,15.40M,,134.90M,,,,125.30M,,28.60M,304.20M,,,,,,338.90M,-107.70M,231.20M,,324.80M,324.80M,,23.40M,579.40M,883.60M,,70.40M,,70.40M,,70.40M,,,,0.90M,,0.90M,,,141.50M,212.80M,,195.90M,,195.90M,,,,,140.10M,336.00M,548.80M,,,93.90M,,,,,334.80M,,,
1993-03,13.30M,13.30M,,120.80M,,,,110.40M,,27.70M,272.20M,,,,,,315.90M,-102.20M,213.70M,,318.00M,318.00M,,21.60M,553.30M,825.50M,,67.00M,,67.00M,,67.00M,,,,0.90M,,0.90M,,,126.90M,194.80M,,169.00M,,169.00M,,,,,139.20M,308.20M,503.00M,,,82.80M,,,,,322.50M,,,
1992-12,1.70M,1.70M,,116.80M,,,,101.30M,,10.20M,230.00M,,,,,,306.90M,-94.10M,212.80M,,320.40M,320.40M,,6.60M,539.80M,769.80M,,62.40M,,62.40M,,62.40M,,,,31.50M,,31.50M,,,118.50M,212.40M,,137.30M,,137.30M,,,,,71.70M,209.00M,421.40M,,,108.80M,,,,,348.40M,,,
1992-09,9.50M,9.50M,,129.10M,,,,112.90M,,10.50M,262.00M,,,,,,307.00M,-95.10M,211.90M,,311.30M,311.30M,,7.30M,530.50M,792.50M,,63.20M,,63.20M,,63.20M,,,,14.60M,,14.60M,,,128.60M,206.40M,,184.20M,,184.20M,,,,,56.80M,241.00M,447.40M,,,100.10M,,,,,345.10M,,,
1992-06,10.60M,10.60M,,124.90M,,,,118.90M,,10.60M,265.00M,,,,,,298.80M,-87.30M,211.50M,,312.90M,312.90M,,7.50M,531.90M,796.90M,,67.10M,,67.10M,,67.10M,,,,0.90M,,0.90M,,,120.00M,188.00M,,218.10M,,218.10M,,,,,57.40M,275.50M,463.50M,,,90.40M,,,,,333.40M,,,
1992-03,9.80M,9.80M,,112.70M,,,,111.80M,,12.10M,246.40M,,,,,,284.90M,-79.80M,205.10M,,314.70M,314.70M,,7.70M,527.50M,773.90M,,66.80M,,66.80M,,66.80M,,,,2.10M,,2.10M,,,103.00M,171.90M,,221.50M,,221.50M,,,,,57.20M,278.70M,450.60M,,,82.30M,,,,,323.30M,,,
1991-12,,,,92.60M,,,,109.60M,,13.90M,216.10M,,,,,,280.50M,-73.60M,206.90M,,306.80M,306.80M,,5.20M,518.90M,735.00M,,66.10M,,66.10M,,66.10M,,,,2.30M,,2.30M,,,105.50M,173.90M,,182.20M,,182.20M,,,,,59.60M,241.80M,415.70M,,,77.20M,,,,,319.30M,,,
1991-09,16.10M,16.10M,,105.10M,,,,114.80M,,15.10M,251.10M,,,,,,267.60M,-67.90M,199.70M,,309.00M,309.00M,,5.70M,514.40M,765.50M,,60.00M,,60.00M,,60.00M,,,,0.80M,,0.80M,,,116.70M,177.50M,,212.60M,,212.60M,,,,,59.20M,271.80M,449.30M,,,76.30M,,,,,316.20M,,,
1991-06,10.00M,10.00M,,100.00M,,,,122.30M,,15.00M,247.30M,,,,,,259.70M,-62.40M,197.30M,,311.20M,311.20M,,5.90M,514.40M,761.70M,,54.60M,,54.60M,,54.60M,,,,0.80M,,0.80M,,,108.40M,163.80M,,219.20M,,219.20M,,,,,67.80M,287.00M,450.80M,,,72.00M,,,,,310.90M,,,
1991-03,9.00M,9.00M,,102.90M,,,,128.70M,,13.80M,254.40M,,,,,,256.50M,-57.00M,199.50M,,303.40M,303.40M,,5.80M,508.70M,763.10M,,59.70M,,59.70M,,59.70M,,,,0.90M,,0.90M,,,94.10M,154.70M,,220.40M,,220.40M,,,,,79.60M,300.00M,454.70M,,,67.70M,,,,,308.40M,,,
1990-12,0.60M,0.60M,,97.50M,,,,125.10M,,14.20M,237.40M,,,,,,246.90M,-51.10M,195.80M,,305.50M,305.50M,,5.80M,507.10M,744.50M,,72.40M,,72.40M,,72.40M,,,,0.90M,,0.90M,,,108.00M,181.30M,,186.10M,,186.10M,,,,,72.10M,258.20M,439.50M,,,63.80M,,,,,305.00M,,,
