,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-09,192.50M,,192.50M,,,,347.40M,,,,495.20M,,,,43.50M,1.079B,,,,,,1.636B,-904.50M,731.20M,,,,,,173.40M,904.60M,1.983B,,126.90M,,126.90M,,126.90M,,98.80M,98.80M,250.30M,476.00M,377.30M,377.30M,16.30M,16.30M,,,174.30M,567.90M,1.044B,,,810.40M,,,,,,939.30M,,,
1993-06,160.00M,,160.00M,,,,354.30M,,,,499.70M,,,,42.40M,1.056B,,,,,,1.619B,-883.30M,736.10M,,62.90M,62.90M,,,108.20M,907.20M,1.964B,,125.10M,,125.10M,,125.10M,,86.60M,86.60M,256.60M,468.30M,378.50M,378.50M,17.30M,17.30M,,,166.60M,562.40M,1.031B,,,806.00M,,,,,,932.90M,,,
1993-03,159.20M,,159.20M,,,,343.70M,,,,512.90M,,,,38.90M,1.055B,,,,,,1.539B,-818.30M,720.40M,,,,,,117.90M,838.30M,1.893B,,118.80M,,118.80M,,118.80M,,47.20M,47.20M,202.40M,368.40M,422.70M,422.70M,16.00M,16.00M,,,165.80M,604.50M,972.90M,,,797.90M,,,,,,920.10M,,,
1992-12,134.20M,,134.20M,,,,324.10M,,,,536.90M,,,,43.70M,1.039B,,,,,,1.531B,-805.10M,726.00M,,,,,,112.90M,838.90M,1.878B,,122.40M,,122.40M,,122.40M,,44.70M,44.70M,176.00M,343.10M,427.60M,427.60M,17.50M,17.50M,,,164.50M,609.60M,952.70M,,,794.60M,,,,,,925.10M,,,
1992-09,108.40M,,108.40M,,,,364.50M,,,,558.00M,,,,47.10M,1.078B,,,,,,1.527B,-766.60M,760.10M,,,,,,115.40M,875.50M,1.954B,,110.20M,,110.20M,,110.20M,,38.90M,38.90M,197.60M,346.70M,449.30M,449.30M,20.60M,20.60M,,,171.10M,641.00M,987.70M,,,791.50M,,,,,,965.80M,,,
1992-06,100.10M,,100.10M,,,,357.10M,,,,553.00M,,,,45.60M,1.056B,,,,,,1.519B,-766.60M,752.50M,,63.90M,63.90M,,,48.70M,865.10M,1.921B,,132.40M,,132.40M,,132.40M,,33.40M,33.40M,192.90M,358.70M,447.00M,447.00M,20.80M,20.80M,,,160.40M,628.20M,986.90M,,,787.10M,,,,,,934.00M,,,
1992-03,60.90M,,60.90M,,,,347.90M,,,,565.40M,,,,36.50M,1.011B,,,,,,1.489B,-744.50M,744.40M,,,,,,111.20M,855.60M,1.866B,,108.80M,,108.80M,,108.80M,,27.10M,27.10M,194.00M,329.90M,459.60M,459.60M,47.00M,47.00M,,,59.10M,565.70M,895.60M,,,833.80M,,,,,,970.70M,,,
1991-12,50.50M,,50.50M,,,,326.90M,,,,584.90M,,,,39.30M,1.002B,,,,,,1.479B,-727.40M,751.90M,,,,,,112.70M,864.60M,1.866B,,103.90M,,103.90M,,103.90M,,46.80M,46.80M,179.10M,329.80M,467.10M,467.10M,47.30M,47.30M,,,60.00M,574.40M,904.20M,,,827.80M,,,,,,962.00M,,,
1991-09,50.60M,,50.60M,,,,325.90M,,,,584.30M,,,,35.90M,996.70M,,,,,,1.445B,-696.50M,748.40M,,,,,,114.50M,862.90M,1.860B,,99.70M,,99.70M,,99.70M,,41.80M,41.80M,185.40M,326.90M,474.30M,474.30M,48.60M,48.60M,,,65.00M,587.90M,914.80M,,,825.60M,,,,,,944.80M,,,
1991-06,38.80M,,38.80M,,,,340.50M,,,,608.20M,,,,31.50M,1.019B,,,,,,1.432B,-674.00M,757.90M,,65.40M,65.40M,,,48.10M,871.40M,1.890B,,130.80M,,130.80M,,130.80M,,41.10M,41.10M,186.20M,358.10M,476.60M,476.60M,49.40M,49.40M,,,62.80M,588.80M,946.90M,,,820.30M,,,,,,943.50M,,,
1991-03,29.40M,,29.40M,,,,360.30M,,,,663.40M,,,,31.10M,1.084B,,,,,,1.456B,-683.20M,772.80M,,,,,,116.00M,888.80M,1.973B,,118.30M,,118.30M,,118.30M,,51.20M,51.20M,209.30M,378.80M,516.20M,516.20M,50.20M,50.20M,,,56.20M,622.60M,1.001B,,,827.90M,,,,,,971.60M,,,
1990-12,29.20M,,29.20M,,,,347.40M,,,,681.10M,,,,42.40M,1.100B,,,,,,1.438B,-667.30M,770.90M,,,,,,114.90M,885.80M,1.986B,,114.10M,,114.10M,,114.10M,,67.40M,67.40M,206.00M,387.50M,518.00M,518.00M,53.10M,53.10M,,,56.60M,627.70M,1.015B,,,825.10M,,,,,,970.70M,,,
1990-09,25.60M,,25.60M,,,,381.40M,,,,684.40M,,,,43.20M,1.135B,,,,,,1.403B,-639.50M,763.70M,,,,,,113.10M,876.80M,2.011B,,130.30M,,130.30M,,130.30M,,73.00M,73.00M,217.80M,421.10M,515.70M,515.70M,54.20M,54.20M,,,56.90M,626.80M,1.048B,,,817.20M,,,,,,963.50M,,,
1990-06,21.80M,,21.80M,,,,381.90M,,,,686.50M,,,,39.00M,1.129B,,,,,,1.359B,-606.10M,752.70M,,65.90M,65.90M,,,48.40M,867.00M,1.996B,,147.20M,,147.20M,,147.20M,,94.00M,94.00M,197.20M,438.40M,511.70M,511.70M,53.40M,53.40M,,,54.30M,619.40M,1.058B,,,804.50M,,,,,,938.40M,,,
1990-03,23.50M,,23.50M,,,,374.00M,,,,672.90M,,,,53.40M,1.124B,,,,,,1.335B,-596.60M,738.20M,,,,,,108.30M,846.50M,1.970B,,122.60M,,122.60M,,122.60M,,131.50M,131.50M,217.30M,471.40M,475.70M,475.70M,50.10M,50.10M,,,62.70M,588.50M,1.060B,,,781.40M,,,,,,910.40M,,,
1989-12,25.30M,,25.30M,,,,353.30M,,,,662.60M,,,,50.70M,1.092B,,,,,,1.298B,-573.20M,724.80M,,,,,,104.90M,829.70M,1.922B,,112.30M,,112.30M,,112.30M,,126.70M,126.70M,203.00M,442.00M,486.40M,486.40M,48.70M,48.70M,,,62.30M,597.40M,1.039B,,,762.90M,,,,,,882.20M,,,
1989-09,23.10M,,23.10M,,,,372.10M,,,,664.90M,,,,50.20M,1.110B,,,,,,1.321B,-576.70M,744.20M,,,,,,95.70M,839.90M,1.950B,,135.40M,,135.40M,,135.40M,,123.80M,123.80M,210.00M,469.20M,518.50M,518.50M,49.30M,49.30M,,,59.20M,627.00M,1.096B,,,748.10M,,,,,,854.00M,,,
1989-06,29.10M,,29.10M,,,,374.10M,,,,640.90M,,,,44.10M,1.088B,,,,,,1.300B,-558.70M,741.10M,,58.40M,58.40M,,,34.80M,834.30M,1.922B,,149.80M,,149.80M,,149.80M,,120.70M,120.70M,214.50M,485.00M,494.50M,494.50M,47.80M,47.80M,,,54.70M,597.00M,1.082B,,,735.00M,,,,,,840.50M,,,
1988-06,20.00M,,20.00M,,,,358.20M,,,,502.60M,,,,69.80M,950.60M,,,,,,1.195B,-503.00M,692.30M,,63.00M,63.00M,,,35.90M,791.20M,1.742B,,,,,,,,84.60M,84.60M,326.30M,410.90M,405.80M,405.80M,52.00M,52.00M,,,42.90M,500.70M,911.60M,,,651.50M,,,,,,830.20M,,,
1987-06,17.20M,,17.20M,,,,276.30M,,,,410.50M,,,,48.80M,752.80M,,,,,,1.012B,-427.70M,583.80M,,49.60M,49.60M,,,39.50M,672.90M,1.426B,,,,,,,,69.10M,69.10M,282.80M,351.90M,270.90M,270.90M,51.30M,51.30M,,,,322.20M,674.10M,,,610.80M,,,,,,751.60M,,,
1986-06,18.40M,,18.40M,,,,267.60M,,,,411.20M,,,,15.20M,712.40M,,,,,,887.60M,-372.20M,515.40M,,8.60M,8.60M,,,33.30M,557.30M,1.270B,,,,,,,,79.80M,79.80M,265.70M,345.50M,207.80M,207.80M,44.20M,44.20M,,,,252.00M,597.50M,,,561.90M,,,,,,672.20M,,,
1985-06,14.30M,,14.30M,,,,211.40M,,,,323.00M,,,,9.90M,558.60M,,,,,,704.50M,-312.80M,391.70M,,3.20M,3.20M,,,12.90M,407.80M,966.40M,,,,,,,,21.20M,21.20M,204.80M,226.00M,129.10M,129.10M,34.10M,34.10M,,,,163.20M,389.20M,,,493.00M,,,,,,577.20M,,,
1984-06,45.80M,,45.80M,,,,199.10M,,,,299.70M,,,,7.50M,552.10M,,,,,,616.80M,-280.90M,335.90M,,3.30M,3.30M,,,14.00M,353.20M,905.30M,,,,,,,,13.40M,13.40M,203.80M,217.20M,145.70M,145.70M,24.20M,24.20M,,,-0.10M,169.80M,387.00M,,,434.30M,,,,,,518.30M,,,
