,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,264.92M,264.92M,191.16M,73.76M,19.56M,30.62M,50.19M,2.857M,,,,,49.53M,24.23M,,,,-6.407M,,10.65M,4.534M,6.113M,,-0.106M,6.113M,4.399M,32.42M,8.194M,24.23M,0.0274,0.0,,0.0201,0.0274,0.0258,0.0,,0.0187,0.0258,235.00M,243.63M,0.0125
2001-09,238.37M,238.37M,166.52M,71.85M,20.00M,26.02M,46.01M,0.25M,,,,,46.01M,25.84M,,,,1.136M,,23.66M,8.418M,15.25M,,-0.029M,15.25M,15.08M,33.13M,7.299M,25.84M,0.065,0.0,,0.0643,0.065,0.0617,0.0,,0.061,0.0617,233.95M,246.10M,0.0125
2001-06,229.64M,229.64M,160.10M,69.54M,18.86M,28.18M,47.04M,0.106M,,,,,47.04M,22.50M,,,,1.257M,,20.81M,7.334M,13.48M,,-1.77M,13.48M,13.41M,28.61M,6.109M,22.50M,0.0584,0.0,,0.0581,0.0584,0.055,0.0,,0.0547,0.055,233.05M,244.98M,0.0117
2001-03,256.53M,256.53M,162.43M,94.10M,46.13M,27.01M,73.15M,-0.598M,,,,,73.15M,20.95M,,,,0.434M,,18.73M,6.585M,12.15M,,-1.984M,12.15M,12.53M,27.19M,6.241M,20.95M,0.0534,0.0,,0.055,0.0534,0.05,0.0,,0.0516,0.05,231.11M,241.88M,0.0117
2000-12,92.39M,92.39M,115.98M,-23.59M,,,-39.44M,0.422M,,,,,-61.35M,37.76M,,,,1.40M,,16.51M,5.826M,10.69M,,0.037M,10.69M,10.41M,44.75M,6.99M,37.76M,0.0474,0.0,,0.0463,0.0474,0.045,0.0,,0.0438,0.045,229.67M,240.43M,0.0117
2000-09,202.45M,202.45M,112.31M,90.14M,47.86M,22.07M,69.93M,-21.79M,,,,21.91M,91.84M,-1.694M,,,,-20.93M,,-2.105M,-0.869M,-1.236M,,-0.162M,-1.236M,11.84M,3.281M,4.975M,-1.694M,-0.005,0.0,,0.052,-0.005,-0.005,0.0,,0.05,-0.005,229.30M,237.70M,0.0117
2000-06,199.86M,199.86M,104.13M,95.73M,,,70.50M,1.053M,,,,,76.39M,19.34M,,,,1.053M,,18.81M,6.435M,12.38M,,-0.107M,12.38M,11.68M,25.23M,5.892M,19.34M,0.0533,0.0,,0.0503,0.0533,0.0517,0.0,,0.0488,0.0517,228.91M,237.90M,0.0117
2000-03,191.63M,191.63M,101.56M,90.07M,,,65.81M,1.423M,,,,,71.41M,18.66M,,,,1.423M,,18.66M,6.923M,11.73M,,-0.055M,11.73M,10.84M,24.26M,5.597M,18.66M,0.05,0.0,,0.0461,0.05,0.0483,0.0,,0.0446,0.0483,232.07M,242.69M,0.0117
1999-12,193.20M,193.20M,108.30M,84.90M,,,67.70M,6.30M,,,,,72.70M,12.20M,,,,6.30M,,17.70M,6.50M,11.20M,,-0.10M,11.20M,7.214M,17.20M,5.00M,12.20M,0.0483,0.0,,0.0311,0.0483,0.0449,0.0,,0.0289,0.0449,231.81M,249.13M,0.0117
1999-09,185.90M,185.90M,96.20M,89.70M,,,67.40M,1.80M,,,,,72.20M,17.50M,,,,1.80M,,18.30M,6.90M,11.40M,,-0.20M,11.40M,10.28M,22.30M,4.80M,17.50M,0.0484,0.0,,0.0436,0.0484,0.0467,0.0,,0.0421,0.0467,235.74M,244.16M,0.0117
1999-06,186.40M,186.40M,97.50M,88.90M,,,68.90M,2.30M,,,,,73.90M,15.00M,,,,2.30M,,16.50M,6.00M,10.50M,,-0.20M,10.50M,9.036M,20.00M,5.00M,15.00M,0.045,0.0,,0.0387,0.045,0.0434,0.0,,0.0373,0.0434,233.22M,242.19M,0.01
1999-03,174.71M,174.71M,93.10M,81.61M,,,65.60M,9.00M,,,,,70.10M,11.51M,,,,9.00M,,19.90M,7.50M,12.40M,,,12.40M,6.792M,16.01M,4.50M,11.51M,0.0534,0.0,,0.0292,0.0534,0.0517,0.0,,0.0283,0.0517,232.38M,239.88M,0.01
1998-12,190.30M,190.30M,94.90M,95.40M,,,77.90M,-1.40M,,,,,81.90M,13.50M,,,,-1.40M,,11.60M,2.90M,8.70M,,,8.70M,9.75M,17.50M,4.00M,13.50M,0.0366,0.0,,0.0411,0.0366,0.0366,0.0,,0.0411,0.0366,235.68M,235.68M,0.01
1998-09,176.80M,176.80M,97.00M,79.80M,,,63.60M,1.40M,,,,,67.80M,12.00M,,,,1.40M,,12.60M,4.80M,7.80M,,,7.80M,6.933M,16.20M,4.20M,12.00M,0.0334,0.0,,0.0296,0.0334,0.0334,0.0,,0.0296,0.0334,233.88M,233.88M,0.01
1998-06,173.50M,173.50M,94.70M,78.80M,,,66.80M,5.40M,,,,,71.00M,7.80M,,,,5.40M,,12.60M,4.70M,7.90M,,,7.90M,4.514M,12.00M,4.20M,7.80M,0.035,0.0,,0.02,0.035,0.0334,0.0,,0.0191,0.0334,225.60M,236.88M,0.01
