,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-09,175.69M,,175.69M,263.68M,1.324M,,265.00M,57.10M,9.731M,155.03M,221.87M,19.55M,,13.28M,,695.39M,0.00,26.10M,144.61M,455.14M,32.73M,34.02M,692.61M,-342.97M,349.63M,870.99M,826.82M,1.698B,,99.85M,2.147B,2.843B,325.31M,,,325.31M,,325.31M,,,,79.74M,79.74M,,,8.622M,413.68M,801.95M,801.95M,172.41M,172.41M,,0.199M,119.36M,1.094B,1.507B,73.21M,1.026B,247.12M,37.87M,26.60M,,26.60M,1.335B
2008-06,255.93M,,255.93M,272.07M,1.324M,,273.40M,56.98M,9.949M,152.32M,219.24M,14.78M,,13.27M,,776.62M,0.00,11.11M,146.59M,468.15M,35.09M,23.69M,684.63M,-344.66M,339.97M,688.40M,654.26M,1.343B,,92.22M,1.775B,2.551B,316.51M,,,316.51M,,316.51M,,,,61.08M,61.08M,,,6.13M,383.72M,678.65M,678.65M,169.59M,169.59M,,0.203M,119.14M,967.38M,1.351B,69.99M,983.20M,142.60M,39.77M,,,44.15M,1.200B
2008-03,208.06M,,208.06M,243.51M,1.324M,,244.84M,51.01M,9.308M,154.65M,214.97M,11.55M,,13.37M,,692.79M,0.00,11.07M,145.17M,462.54M,34.02M,18.84M,671.64M,-331.83M,339.81M,688.13M,657.46M,1.346B,,87.09M,1.772B,2.465B,269.96M,,,269.96M,,269.96M,,,,54.88M,54.88M,,,24.56M,349.39M,692.98M,692.98M,161.15M,161.15M,,0.196M,128.23M,982.36M,1.332B,69.99M,942.75M,127.81M,41.15M,,,33.92M,1.133B
2007-12,249.81M,,249.81M,247.90M,1.263M,,249.16M,53.52M,9.169M,150.97M,213.65M,9.224M,,13.51M,,735.35M,0.00,11.34M,147.11M,476.48M,34.83M,15.92M,685.68M,-334.83M,350.85M,688.84M,665.17M,1.354B,,92.27M,1.797B,2.532B,167.50M,,,167.50M,135.58M,303.07M,,,,148.71M,148.71M,,,6.011M,457.79M,707.31M,707.31M,162.75M,162.75M,,0.194M,124.19M,994.24M,1.452B,69.99M,891.87M,121.90M,42.62M,39.15M,-0.026M,39.13M,1.080B
2007-09,178.49M,,178.49M,271.80M,1.263M,,273.06M,56.92M,10.54M,152.69M,220.15M,10.73M,,5.353M,,687.78M,0.00,11.31M,146.16M,468.06M,33.56M,15.93M,675.01M,-328.16M,346.85M,688.54M,673.53M,1.362B,,83.85M,1.793B,2.481B,298.72M,,,298.72M,,298.72M,,,,150.67M,150.67M,,,12.82M,462.21M,715.83M,715.83M,149.96M,149.96M,,0.166M,123.17M,988.95M,1.451B,69.99M,865.47M,112.53M,44.79M,,,26.02M,1.029B
2007-06,106.89M,,106.89M,245.35M,1.263M,,246.61M,55.32M,11.91M,144.28M,211.50M,13.63M,,6.542M,3.413M,588.58M,0.00,11.19M,143.73M,458.26M,33.24M,14.49M,660.90M,-316.89M,344.01M,688.28M,673.55M,1.362B,,80.81M,1.787B,2.375B,261.14M,,,261.14M,,261.14M,,,,150.39M,150.39M,,,3.359M,414.89M,724.25M,724.25M,142.05M,142.05M,,0.20M,120.76M,987.06M,1.402B,69.99M,819.03M,107.92M,45.14M,,,21.28M,973.09M
2007-03,107.74M,,107.74M,229.71M,1.263M,,230.97M,57.02M,11.39M,146.04M,214.45M,12.14M,,8.665M,3.413M,577.38M,0.00,10.84M,142.33M,440.66M,30.22M,19.78M,643.84M,-306.81M,337.02M,688.51M,674.94M,1.363B,,82.82M,1.783B,2.361B,260.62M,,,260.62M,,260.62M,,,,151.06M,151.06M,,,13.08M,424.76M,755.83M,755.83M,137.83M,137.83M,,0.23M,120.22M,1.014B,1.439B,69.99M,783.10M,101.47M,45.89M,,,13.13M,921.81M
2006-12,110.48M,,110.48M,231.40M,,,231.40M,48.19M,10.71M,136.00M,194.90M,9.881M,,9.41M,,556.07M,0.00,14.70M,143.50M,437.98M,28.48M,14.10M,638.77M,-298.29M,340.48M,686.30M,682.59M,1.369B,,68.70M,1.778B,2.334B,156.55M,,,156.55M,133.99M,290.55M,,,,140.41M,140.41M,,,13.45M,444.40M,792.92M,792.92M,134.27M,134.27M,,0.317M,98.40M,1.026B,1.47B,69.99M,740.13M,90.40M,48.84M,18.12M,-5.967M,12.15M,863.84M
2006-09,95.81M,,95.81M,248.61M,1.205M,,249.81M,53.50M,9.946M,143.27M,206.72M,9.683M,,4.121M,,566.15M,0.00,13.57M,141.18M,420.77M,27.45M,24.11M,627.08M,-291.16M,335.92M,684.80M,694.08M,1.379B,,78.29M,1.793B,2.359B,288.83M,,,288.83M,,288.83M,,,,142.73M,142.73M,,,15.20M,446.76M,840.08M,840.08M,145.20M,145.20M,,0.219M,92.10M,1.077B,1.524B,69.99M,720.79M,83.03M,50.29M,,,11.36M,834.87M
2006-06,110.19M,,110.19M,214.76M,1.205M,,215.96M,51.06M,10.74M,130.34M,192.13M,11.95M,,7.72M,,537.95M,0.00,13.56M,140.83M,404.88M,24.81M,28.92M,613.00M,-283.16M,329.84M,530.18M,539.45M,1.070B,,75.84M,1.475B,2.013B,231.83M,,,231.83M,,231.83M,,,,127.65M,127.65M,,,21.04M,380.52M,609.79M,609.79M,134.96M,134.96M,,0.361M,97.35M,842.10M,1.223B,69.99M,686.67M,76.54M,52.43M,,,9.533M,790.30M
2006-03,123.04M,,123.04M,189.31M,1.205M,,190.51M,50.54M,10.56M,119.60M,180.70M,10.09M,,8.983M,1.314M,514.64M,0.00,14.54M,140.36M,401.75M,23.62M,22.35M,602.62M,-274.23M,328.39M,525.04M,537.33M,1.062B,,75.92M,1.467B,1.981B,227.28M,,,227.28M,,227.28M,,,,133.98M,133.98M,,,31.28M,392.54M,616.82M,616.82M,132.55M,132.55M,,0.266M,98.12M,847.49M,1.240B,69.99M,654.15M,69.82M,54.27M,,,1.331M,741.02M
2005-12,126.68M,,126.68M,187.86M,1.15M,,189.01M,46.85M,9.895M,99.40M,156.15M,11.38M,,11.22M,,494.44M,0.00,13.30M,139.57M,399.68M,25.64M,13.01M,591.20M,-264.29M,326.90M,,1.070B,1.070B,,71.04M,1.468B,1.962B,255.44M,,,255.44M,,255.44M,,,,121.28M,121.28M,,,32.99M,409.71M,635.26M,635.26M,124.88M,124.88M,,0.258M,95.13M,855.27M,1.265B,69.99M,618.07M,65.11M,55.84M,,,-0.454M,696.88M
2005-09,159.80M,,159.80M,201.14M,1.213M,,202.36M,51.37M,10.25M,98.06M,159.69M,8.524M,,8.085M,3.723M,542.17M,0.00,13.36M,138.92M,394.64M,20.76M,25.71M,593.40M,-260.53M,332.86M,,991.31M,991.31M,,71.10M,1.395B,1.937B,244.43M,,,244.43M,,244.43M,,,,114.66M,114.66M,,,30.46M,389.55M,646.28M,646.28M,117.85M,117.85M,,0.269M,97.33M,861.46M,1.251B,69.99M,605.70M,64.44M,56.41M,,,2.44M,686.16M
2005-06,109.46M,,109.46M,205.00M,1.213M,,206.21M,45.17M,11.41M,101.74M,158.32M,11.49M,,4.658M,11.00M,501.14M,0.00,13.12M,136.89M,393.84M,19.53M,20.99M,584.38M,-250.76M,333.61M,,987.53M,987.53M,,70.26M,1.391B,1.893B,233.75M,,,233.75M,,233.75M,,,,117.29M,117.29M,,,23.06M,374.10M,653.62M,653.62M,121.58M,121.58M,,0.299M,99.11M,874.31M,1.248B,69.99M,574.95M,58.54M,58.47M,,,-1.17M,643.84M
2005-03,101.90M,,101.90M,187.94M,1.213M,,189.16M,43.98M,8.155M,105.71M,157.84M,10.74M,,5.308M,13.30M,478.24M,0.00,13.55M,135.43M,388.81M,18.14M,16.07M,572.00M,-240.79M,331.21M,,985.38M,985.38M,,66.10M,1.383B,1.861B,231.20M,,,231.20M,,231.20M,,,,111.10M,111.10M,,,23.60M,365.90M,679.36M,679.36M,114.34M,114.34M,,0.281M,100.06M,893.75M,1.260B,69.99M,544.38M,50.60M,62.58M,,,-1.385M,601.01M
2004-12,145.54M,,145.54M,166.20M,1.015M,,167.22M,41.00M,7.31M,100.59M,148.90M,11.24M,,7.60M,13.30M,493.80M,0.00,13.59M,135.33M,387.85M,17.73M,10.42M,564.92M,-232.72M,332.20M,,985.93M,985.93M,,66.07M,1.384B,1.878B,242.02M,,,242.02M,,242.02M,,,,104.04M,104.04M,,,11.48M,357.54M,754.71M,754.71M,108.22M,108.22M,,0.287M,97.22M,960.14M,1.318B,69.99M,510.48M,47.44M,64.78M,,,-3.11M,560.03M
2004-09,145.44M,,145.44M,198.14M,1.015M,,199.16M,45.00M,7.405M,100.26M,152.67M,8.231M,,10.28M,11.00M,526.78M,0.00,13.65M,132.68M,372.88M,18.41M,18.49M,556.11M,-225.29M,330.83M,,938.02M,938.02M,,69.76M,1.339B,1.865B,249.09M,,,249.09M,,249.09M,,,,112.16M,112.16M,,,17.19M,378.44M,789.68M,789.68M,80.46M,80.46M,,0.284M,84.81M,954.95M,1.333B,69.99M,502.30M,39.60M,72.24M,,,-7.941M,531.71M
2004-06,119.56M,,119.56M,206.09M,1.015M,,207.11M,42.74M,10.51M,104.73M,157.98M,10.08M,,12.78M,11.00M,518.51M,0.00,13.12M,130.54M,364.09M,13.02M,22.93M,543.69M,-216.40M,327.29M,,935.65M,935.65M,,73.32M,1.336B,1.855B,241.94M,,,241.94M,,241.94M,,,,74.61M,74.61M,,,18.63M,335.18M,858.23M,858.23M,79.19M,79.19M,,0.258M,86.74M,1.024B,1.359B,46.66M,478.60M,57.29M,78.04M,,,-9.328M,495.18M
2004-03,66.67M,,66.67M,101.37M,,,101.37M,29.84M,0.307M,68.18M,98.32M,6.574M,,13.17M,1.015M,287.12M,0.00,5.952M,108.96M,336.71M,,15.42M,467.04M,-210.01M,257.03M,,377.39M,377.39M,,205.80M,840.22M,1.127B,145.02M,,,145.02M,,145.02M,,,,68.55M,68.55M,,,19.78M,233.34M,295.85M,295.85M,67.03M,67.03M,,0.299M,59.02M,421.91M,655.25M,46.66M,462.32M,54.12M,79.16M,,,-12.15M,471.78M
2003-12,75.63M,,75.63M,107.55M,,,107.55M,26.20M,0.204M,57.77M,84.18M,6.808M,,14.11M,0.942M,289.22M,0.00,6.165M,109.86M,336.04M,,9.574M,461.64M,-203.63M,258.01M,,378.82M,378.82M,,193.57M,830.40M,1.120B,148.96M,,,148.96M,,148.96M,,,,65.90M,65.90M,,,17.20M,232.05M,331.15M,331.15M,61.00M,61.00M,,0.297M,56.62M,448.77M,680.83M,46.66M,435.68M,51.21M,81.09M,,,-13.96M,438.49M
2003-09,76.70M,,76.70M,101.58M,0.942M,,102.52M,28.58M,0.374M,49.45M,78.41M,5.702M,,16.84M,,280.17M,0.00,6.148M,106.70M,295.54M,6.584M,29.91M,444.88M,-197.56M,247.32M,,293.64M,293.64M,,195.23M,736.19M,1.016B,152.25M,,,152.25M,,152.25M,,,,64.12M,64.12M,,,21.01M,237.38M,254.57M,254.57M,65.68M,65.68M,,0.274M,42.48M,362.74M,600.12M,46.66M,423.05M,45.09M,84.62M,,,-14.20M,415.98M
2003-06,54.01M,,54.01M,102.38M,0.942M,,103.32M,32.42M,0.247M,53.87M,86.54M,4.799M,,17.88M,,266.55M,0.00,6.15M,106.55M,293.75M,6.574M,23.91M,436.93M,-192.10M,244.84M,,294.37M,294.37M,,186.90M,726.11M,992.67M,152.73M,,,152.73M,,152.73M,,,,66.48M,66.48M,,,17.70M,236.91M,253.24M,253.24M,62.69M,62.69M,,0.271M,42.20M,358.14M,595.05M,46.66M,406.75M,43.53M,85.74M,,,-13.85M,397.35M
2003-03,67.24M,,67.24M,96.83M,0.942M,,97.77M,31.05M,0.186M,54.68M,85.91M,6.304M,,17.96M,,275.19M,0.00,6.102M,105.82M,299.05M,6.449M,15.86M,433.28M,-192.53M,240.76M,,295.09M,295.09M,,174.47M,710.32M,985.51M,157.77M,,,157.77M,,157.77M,,,,66.42M,66.42M,,,18.27M,242.46M,273.60M,273.60M,60.08M,60.08M,,0.239M,41.14M,374.82M,617.28M,46.66M,385.16M,41.20M,87.44M,,,-17.59M,367.99M
2002-12,76.30M,,76.30M,100.25M,,,100.25M,30.99M,0.142M,51.54M,82.67M,,,,26.21M,285.44M,0.00,6.079M,105.47M,298.12M,6.412M,9.92M,426.00M,-186.00M,240.01M,,330.84M,330.84M,,131.96M,702.80M,988.24M,162.91M,,,162.91M,,162.91M,,,,15.94M,15.94M,,,12.32M,191.17M,352.49M,352.49M,57.10M,57.10M,,0.214M,39.62M,449.21M,640.38M,46.66M,367.21M,39.55M,88.86M,,,-16.92M,347.65M
2002-09,76.15M,,76.15M,102.60M,0.87M,,103.47M,29.65M,0.254M,59.23M,89.13M,6.432M,,25.26M,,300.44M,0.00,6.285M,101.15M,280.22M,0.153M,34.07M,421.88M,-180.91M,240.98M,184.35M,85.27M,269.62M,,175.17M,685.76M,986.21M,158.82M,,,158.82M,,158.82M,,,,20.77M,20.77M,,,6.038M,185.64M,379.97M,379.97M,47.56M,47.56M,,0.173M,40.20M,467.74M,653.37M,46.66M,354.66M,36.49M,89.52M,,,-15.62M,332.66M
2002-06,75.28M,,75.28M,107.26M,,,107.26M,,,,97.14M,4.573M,,24.91M,5.87M,315.03M,0.00,6.397M,100.20M,286.34M,0.211M,24.97M,418.11M,-178.56M,239.55M,,405.04M,405.04M,,36.09M,680.67M,995.70M,169.30M,,,169.30M,,169.30M,,,,20.43M,20.43M,4.998M,4.998M,,194.72M,399.20M,399.20M,40.33M,40.33M,,1.854M,38.17M,477.70M,672.43M,46.66M,340.07M,36.06M,89.88M,,,-11.49M,321.42M
2002-03,53.85M,,53.85M,101.55M,,,101.55M,31.64M,0.244M,70.09M,101.97M,7.069M,,24.58M,5.87M,294.89M,0.00,6.498M,92.36M,289.17M,0.255M,26.29M,414.58M,-175.20M,239.38M,,272.69M,272.69M,,161.52M,673.58M,968.48M,169.81M,,,169.81M,,169.81M,,,,12.24M,12.24M,,,4.834M,186.88M,407.00M,407.00M,37.11M,37.11M,,2.199M,35.58M,479.69M,666.57M,46.66M,324.39M,30.88M,93.31M,,,-8.913M,299.71M
2001-12,52.45M,,52.45M,106.29M,,,106.29M,28.87M,0.651M,71.69M,101.21M,7.604M,,19.85M,5.803M,293.21M,0.00,6.503M,92.58M,284.44M,0.257M,17.59M,401.37M,-169.92M,231.45M,,264.25M,264.25M,,160.18M,655.88M,949.08M,176.18M,,,176.18M,,176.18M,,,,11.58M,11.58M,,,8.26M,196.02M,406.56M,406.56M,27.03M,27.03M,,2.126M,35.04M,468.64M,664.66M,46.66M,312.41M,28.41M,95.45M,,,-9.728M,282.30M
2001-09,36.75M,0.997M,37.75M,106.93M,8.89M,,115.82M,33.19M,0.884M,72.67M,106.74M,10.48M,,12.84M,,283.64M,0.00,6.417M,80.76M,272.64M,5.534M,40.44M,405.80M,-166.42M,239.38M,,243.76M,243.76M,,164.62M,647.76M,931.40M,174.63M,,,174.63M,,174.63M,,,,2.535M,2.535M,,,11.87M,189.04M,415.13M,415.13M,14.52M,14.52M,,1.742M,33.68M,463.32M,652.36M,46.66M,309.23M,28.22M,96.06M,,,-10.75M,277.30M
2001-06,17.26M,0.996M,18.25M,88.73M,,8.088M,96.81M,25.45M,0.585M,40.81M,66.84M,10.59M,,11.48M,,203.98M,0.00,6.396M,79.18M,260.35M,0.257M,33.93M,380.11M,-162.97M,217.15M,,176.47M,176.47M,,38.58M,432.19M,636.17M,165.81M,,,165.81M,,165.81M,,,,145.71M,145.71M,,,4.298M,315.82M,5.437M,5.437M,14.11M,14.11M,,3.116M,31.93M,51.47M,367.29M,46.66M,296.91M,27.43M,96.96M,,,-8.278M,265.76M
2001-03,18.77M,1.994M,20.77M,85.20M,,,85.20M,16.38M,0.018M,41.90M,58.30M,6.938M,,11.56M,,182.77M,0.00,5.46M,78.01M,227.70M,5.618M,13.81M,330.60M,-161.20M,169.40M,,82.64M,82.64M,,50.53M,302.57M,485.33M,136.36M,,,136.36M,,136.36M,,,,13.18M,13.18M,8.795M,8.795M,,158.34M,19.75M,19.75M,21.04M,21.04M,,5.111M,29.12M,69.91M,228.24M,46.66M,286.15M,25.02M,99.49M,,,-6.355M,251.98M
2000-12,21.57M,2.99M,24.56M,64.96M,,,64.96M,,,,55.16M,,,,17.84M,162.53M,,,,,,,327.04M,-158.47M,168.57M,,83.97M,83.97M,,40.56M,293.10M,455.63M,129.27M,,,129.27M,,129.27M,,,,13.86M,13.86M,,,6.007M,149.14M,20.14M,20.14M,17.85M,17.85M,,3.455M,30.40M,68.39M,217.53M,46.66M,276.70M,22.51M,101.84M,,,-9.389M,234.65M
2000-09,18.40M,3.986M,22.39M,,,,66.41M,,,,62.80M,,,,17.07M,168.67M,,,,,,,324.14M,-155.03M,169.12M,,84.94M,84.94M,,40.44M,294.50M,463.17M,131.36M,,,131.36M,,131.36M,,,,33.79M,33.79M,,,3.761M,168.91M,23.20M,23.20M,16.22M,16.22M,,3.68M,27.49M,66.92M,235.83M,46.66M,268.68M,20.24M,103.53M,,,-8.392M,223.66M
2000-06,28.58M,3.996M,32.57M,,,,67.25M,,,,69.07M,,,,15.56M,184.44M,,,,,,,347.56M,-164.98M,182.58M,,84.94M,84.94M,,38.98M,306.50M,490.94M,123.27M,,,123.27M,,123.27M,,,,33.02M,33.02M,,,2.303M,158.59M,50.55M,50.55M,20.70M,20.70M,,3.601M,26.98M,98.22M,256.81M,46.66M,272.60M,19.94M,100.57M,,,-8.11M,230.52M
2000-03,14.72M,5.00M,19.72M,,,,65.78M,,,,77.86M,,,,15.28M,178.63M,,,,,,,346.22M,-162.46M,183.76M,,82.77M,82.77M,,39.85M,306.38M,485.00M,115.72M,,,115.72M,,115.72M,,,,33.26M,33.26M,,,13.28M,162.26M,47.93M,47.93M,20.89M,20.89M,,3.639M,26.35M,95.17M,257.43M,46.66M,262.90M,19.45M,100.22M,,,-4.858M,223.93M
1999-12,19.80M,,19.80M,,,,64.50M,,,,72.70M,,,,18.80M,175.80M,,,,,,,339.50M,-157.30M,182.20M,,83.70M,83.70M,,34.60M,300.50M,476.30M,106.10M,,,106.10M,,106.10M,,,,26.30M,26.30M,,,8.20M,140.60M,58.10M,58.10M,20.40M,20.40M,,3.40M,27.10M,105.60M,246.20M,46.70M,253.90M,18.40M,87.00M,,,-5.10M,226.70M
1999-09,19.10M,5.00M,24.10M,,,,76.00M,,,,68.40M,,,,17.20M,185.70M,,,,,,,315.10M,-138.00M,177.10M,,32.80M,32.80M,,29.90M,239.80M,425.50M,105.90M,,,105.90M,,105.90M,,,,13.90M,13.90M,,,10.30M,130.10M,30.00M,30.00M,19.40M,19.40M,,,29.30M,78.70M,208.80M,23.30M,245.40M,40.40M,86.90M,,,-5.60M,216.70M
1999-06,17.90M,,17.90M,,,,67.40M,,,,71.80M,,,,29.50M,186.60M,,,,,,,305.70M,-133.70M,172.00M,,33.20M,33.20M,,28.80M,234.00M,420.60M,100.30M,,,100.30M,,100.30M,,,,20.00M,20.00M,,,9.20M,129.50M,31.70M,31.70M,20.10M,20.10M,,3.10M,25.20M,77.00M,206.50M,,236.80M,,,,,,211.00M
1999-03,20.20M,,20.20M,,,,61.80M,,,,65.40M,,,,32.20M,179.60M,,,,,,,281.70M,-128.30M,153.40M,,29.70M,29.70M,,45.70M,228.80M,408.40M,101.60M,,,101.60M,,101.60M,,,,13.90M,13.90M,,,13.20M,128.70M,28.00M,28.00M,21.00M,21.00M,,,23.90M,72.90M,201.60M,,228.70M,,,,,,206.80M
1998-12,16.20M,,16.20M,,,,72.50M,,,,60.30M,,,,17.80M,166.80M,,,,,,,291.70M,-130.00M,161.70M,,27.90M,27.90M,,35.00M,224.60M,391.40M,40.20M,,,40.20M,,40.20M,,,,19.20M,19.20M,,,64.80M,124.20M,29.60M,29.60M,21.20M,21.20M,,,21.60M,72.40M,196.60M,,218.60M,,,,,,194.80M
1998-09,12.40M,,12.40M,,,,65.90M,,,,64.30M,,,,24.60M,167.20M,,,,,,,288.20M,-127.90M,160.30M,,28.30M,28.30M,,35.90M,224.50M,391.70M,95.20M,,,95.20M,,95.20M,,,,34.80M,34.80M,,,6.90M,136.90M,24.70M,24.70M,21.40M,21.40M,,,20.50M,66.60M,203.50M,,212.20M,,,,,,188.20M
1998-06,15.20M,,15.20M,,,,79.90M,,,,65.00M,,,,19.20M,179.30M,,,,,,,273.80M,-124.10M,149.70M,,28.00M,28.00M,,34.30M,212.00M,391.30M,101.00M,,,101.00M,,101.00M,,,,34.50M,34.50M,,,3.30M,138.80M,25.00M,25.00M,21.30M,21.30M,,,20.00M,66.30M,205.10M,,206.70M,,,,,,186.20M
