,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2013-03,660.00M,,5.00M,-24.00M,293.00M,,334.00M,668.00M,668.00M,83.00M,,-7.00M,-237.00M,-846.00M,-869.00M,-178.00M,,,839.00M,-1.054B,,,2013-03,-346.00M,37.00M,37.00M,-22.00M,95.00M,,-235.00M,2013-03,-1.042B,45.00M,-997.00M,80.00M,0.00,80.00M,,,,,-85.00M,-1.002B,,2013-03,4.318B,-14.00M,3.514B,,2013-03,80.00M,123.00M,-1.165B,,2013-03,AOR,Restated
2012-12,-751.00M,0.00,-2.00M,-8.00M,195.00M,,284.00M,680.00M,680.00M,-295.00M,,-17.00M,927.00M,325.00M,168.00M,396.00M,,,-386.00M,503.00M,,,2012-12,-1.009B,3.00M,3.00M,-71.00M,20.00M,,-943.00M,2012-12,613.00M,-18.00M,595.00M,88.00M,0.00,88.00M,,,,,-839.00M,-173.00M,,2012-12,3.885B,-2.00M,4.318B,,2012-12,88.00M,2.815B,-2.202B,,2012-12,AOR,Restated
2012-09,591.00M,0.00,-1.00M,-5.00M,-99.00M,,-105.00M,665.00M,665.00M,-37.00M,,-1.00M,-329.00M,-38.00M,-249.00M,113.00M,,,493.00M,319.00M,,,2012-09,-622.00M,12.00M,12.00M,-58.00M,36.00M,,-629.00M,2012-09,-269.00M,-35.00M,-304.00M,17.00M,0.00,17.00M,,,,,-460.00M,-748.00M,,2012-09,4.128B,31.00M,3.885B,,2012-09,17.00M,86.00M,-355.00M,,2012-09,AOR,Restated
2012-06,740.00M,0.00,-17.00M,1.00M,-125.00M,,-141.00M,674.00M,674.00M,25.00M,,-1.00M,-112.00M,583.00M,510.00M,-433.00M,,,-373.00M,287.00M,,,2012-06,-581.00M,1.00M,1.00M,-94.00M,8.00M,,-653.00M,2012-06,104.00M,-5.00M,99.00M,68.00M,0.00,68.00M,,,,,-377.00M,-221.00M,,2012-06,3.608B,-78.00M,4.128B,,2012-06,68.00M,222.00M,-118.00M,,2012-06,AOR,Restated
2012-03,520.00M,,-54.00M,-7.00M,316.00M,,279.00M,679.00M,679.00M,-158.00M,,-57.00M,2.00M,-754.00M,-1.30B,185.00M,,,553.00M,-1.316B,,,2012-03,-402.00M,61.00M,61.00M,-101.00M,-20.00M,,-462.00M,2012-03,-1.089B,-58.00M,-1.147B,122.00M,,122.00M,,,,,-374.00M,-1.388B,,2012-03,5.444B,65.00M,3.608B,,2012-03,122.00M,224.00M,-1.313B,,2012-03,AOR,Restated
2011-12,83.00M,0.00,-2.00M,0.00,14.00M,712.00M,743.00M,741.00M,741.00M,126.00M,,-9.00M,-782.00M,74.00M,827.00M,359.00M,,,-127.00M,1.133B,,,2011-12,-1.037B,521.00M,551.00M,-662.00M,1.074B,-722.00M,-531.00M,2011-12,2.361B,-359.00M,2.002B,52.00M,0.00,52.00M,,,,,-373.00M,1.819B,,2011-12,2.206B,-71.00M,5.444B,,2011-12,52.00M,2.378B,-17.00M,,2011-12,AOR,Restated
2011-09,903.00M,0.00,-17.00M,-39.00M,-271.00M,-430.00M,-741.00M,2.142B,714.00M,-26.00M,,0.00,0.00,976.00M,122.00M,-636.00M,,,-74.00M,388.00M,,,2011-09,-681.00M,149.00M,34.00M,355.00M,-525.00M,228.00M,-559.00M,2011-09,-282.00M,72.00M,-210.00M,13.00M,0.00,13.00M,,,,,-373.00M,-582.00M,,2011-09,2.223B,-114.00M,2.206B,,2011-09,13.00M,300.00M,-582.00M,,2011-09,AOR,Restated
2011-06,1.077B,-61.00M,-2.00M,,-159.00M,-62.00M,-293.00M,,697.00M,13.00M,,-5.00M,-5.00M,-547.00M,-606.00M,302.00M,,,157.00M,-694.00M,,,2011-06,-564.00M,,-42.00M,15.00M,-493.00M,532.00M,-552.00M,2011-06,-889.00M,-612.00M,-1.501B,117.00M,0.00,117.00M,,,,,-256.00M,-1.639B,,2011-06,3.562B,54.00M,2.223B,,2011-06,117.00M,926.00M,-1.815B,,2011-06,AOR,Restated
2011-03,721.00M,,-4.00M,,209.00M,-220.00M,441.00M,,731.00M,-112.00M,,-9.00M,-9.00M,-950.00M,-1.045B,351.00M,,,-303.00M,-1.947B,,,2011-03,-405.00M,,127.00M,-33.00M,21.00M,-62.00M,-352.00M,2011-03,-2.903B,55.00M,-2.848B,152.00M,-19.00M,133.00M,,,,,-256.00M,-2.96B,,2011-03,7.039B,10.00M,3.562B,,2011-03,152.00M,20.00M,-2.923B,,2011-03,AOR,Restated
2010-12,513.00M,0.00,-147.00M,,-428.00M,177.00M,-382.00M,2.962B,755.00M,296.00M,,-17.00M,-507.00M,550.00M,196.00M,634.00M,,,-203.00M,1.177B,,,2010-12,-897.00M,161.00M,206.00M,-5.00M,111.00M,-45.00M,-646.00M,2010-12,2.579B,40.00M,2.619B,128.00M,0.00,128.00M,,,,,-254.00M,2.597B,,2010-12,3.223B,30.00M,7.039B,,2010-12,128.00M,2.592B,27.00M,,2010-12,AOR,Restated
