,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-03,3.305B,,,186.00M,521.00M,521.00M,-153.00M,,,,-568.00M,-219.00M,-633.00M,-207.00M,1.242B,,-385.00M,3.474B,,-446.00M,1.00M,-445.00M,-811.00M,-258.00M,-63.00M,-1.577B,,,,83.00M,136.00M,-401.00M,-265.00M,,-982.00M,,,-1.164B,,16.06B,733.00M,34.00M,16.82B,,136.00M,,,-401.00M,,,
2005-12,2.095B,,,33.00M,507.00M,507.00M,317.00M,,,104.00M,78.00M,37.00M,821.00M,,,-829.00M,107.00M,3.163B,,-1.188B,2.00M,-1.186B,-240.00M,298.00M,,-1.128B,,,,550.00M,182.00M,-553.00M,-371.00M,,-983.00M,,,-804.00M,,14.82B,1.231B,-1.00M,16.06B,,182.00M,,,-553.00M,,,
2005-09,2.538B,,,-24.00M,523.00M,523.00M,-340.00M,,,151.00M,230.00M,-53.00M,-81.00M,-578.00M,-93.00M,1.714B,1.139B,3.987B,,-911.00M,75.00M,-836.00M,-54.00M,617.00M,282.00M,9.00M,,,,-278.00M,137.00M,-176.00M,-39.00M,,-981.00M,,,-1.298B,,12.16B,2.698B,-29.00M,14.82B,,137.00M,,,-176.00M,,,
2005-06,2.588B,,,196.00M,548.00M,548.00M,-265.00M,,,254.00M,-237.00M,-240.00M,-142.00M,343.00M,-1.031B,,-1.307B,2.014B,,-477.00M,0.00,-477.00M,-693.00M,4.096B,-72.00M,2.854B,,,,5.00M,170.00M,-334.00M,-164.00M,,-982.00M,,,-1.141B,,8.539B,3.727B,-110.00M,12.16B,,170.00M,,,-334.00M,,,
2005-03,2.839B,,,157.00M,515.00M,515.00M,53.00M,,,,-639.00M,-140.00M,-1.509B,235.00M,1.124B,,-929.00M,2.635B,,-397.00M,77.00M,-320.00M,,-1.484B,-210.00M,-2.014B,,,,16.00M,285.00M,-654.00M,-369.00M,,-847.00M,,,-1.20B,,9.203B,-579.00M,-85.00M,8.539B,,285.00M,,,-654.00M,,,
2004-12,888.00M,,,-68.00M,618.00M,618.00M,-252.00M,,,,341.00M,102.00M,1.394B,-545.00M,-995.00M,,723.00M,2.419B,,-1.306B,2.00M,-1.304B,-250.00M,2.057B,91.00M,594.00M,,,,-369.00M,250.00M,-399.00M,-149.00M,,-847.00M,,,-1.365B,,7.348B,1.648B,207.00M,9.203B,,250.00M,,,-399.00M,,,
2004-09,2.341B,,,84.00M,479.00M,479.00M,5.00M,,,,172.00M,-114.00M,359.00M,297.00M,266.00M,,980.00M,3.889B,,-428.00M,2.00M,-426.00M,-30.00M,-643.00M,22.00M,-1.077B,,,,-222.00M,123.00M,-225.00M,-102.00M,,-845.00M,,,-1.169B,,5.681B,1.643B,24.00M,7.348B,,123.00M,,,-225.00M,,,
2004-06,2.458B,,,-18.00M,525.00M,525.00M,-238.00M,,,,-353.00M,-15.00M,204.00M,-120.00M,-317.00M,,-601.00M,2.126B,,-422.00M,184.00M,-238.00M,-300.00M,-379.00M,-97.00M,-1.014B,,,,-56.00M,186.00M,-353.00M,-167.00M,,-846.00M,,,-1.069B,,5.637B,43.00M,1.00M,5.681B,,186.00M,,,-353.00M,,,
2004-03,2.493B,,,20.00M,502.00M,502.00M,-191.00M,,,,-271.00M,38.00M,-1.35B,368.00M,1.046B,,-169.00M,2.655B,,-292.00M,49.00M,-243.00M,,-591.00M,-16.00M,-850.00M,,,,-508.00M,125.00M,-407.00M,-282.00M,,-713.00M,,,-1.503B,,5.377B,302.00M,-42.00M,5.637B,,125.00M,,,-407.00M,,,
2003-12,1.845B,,,37.00M,522.00M,522.00M,-212.00M,,,,-12.00M,270.00M,1.564B,-241.00M,-221.00M,,1.36B,3.552B,,-790.00M,1.00M,-789.00M,-31.00M,863.00M,-155.00M,-112.00M,,,,-1.162B,71.00M,-242.00M,-171.00M,,-713.00M,,,-2.046B,,3.85B,1.394B,133.00M,5.377B,,71.00M,,,-242.00M,,,
2003-09,2.071B,,,-22.00M,479.00M,479.00M,-370.00M,,,,77.00M,-45.00M,527.00M,65.00M,568.00M,,1.192B,3.35B,,-558.00M,1.00M,-557.00M,0.00,-103.00M,-8.00M,-668.00M,,,,-1.054B,45.00M,-99.00M,-54.00M,,-712.00M,,,-1.82B,,2.968B,862.00M,20.00M,3.85B,,45.00M,,,-99.00M,,,
2003-06,1.211B,,,896.00M,422.00M,422.00M,-91.00M,,,,-390.00M,-5.00M,695.00M,-398.00M,-683.00M,,-781.00M,1.657B,,-506.00M,330.00M,-176.00M,-2.523B,-71.00M,-79.00M,-2.849B,,,,2.122B,105.00M,-503.00M,-398.00M,,-712.00M,,,1.012B,,3.061B,-180.00M,87.00M,2.968B,,105.00M,,,-503.00M,,,
2003-03,2.07B,,,13.00M,446.00M,446.00M,-47.00M,,,,-366.00M,-181.00M,-594.00M,-172.00M,867.00M,,-446.00M,2.036B,,-408.00M,3.00M,-405.00M,-258.00M,-217.00M,-17.00M,-897.00M,,,,-151.00M,90.00M,-339.00M,-249.00M,,-609.00M,,,-1.009B,,2.894B,130.00M,37.00M,3.061B,,90.00M,,,-339.00M,,,
2002-12,1.384B,,,-2.00M,388.00M,388.00M,,,,,122.00M,40.00M,,,,-158.00M,431.00M,2.127B,,-800.00M,17.00M,-783.00M,-12.00M,-485.00M,-77.00M,-1.357B,,,,-203.00M,107.00M,-357.00M,-250.00M,,-609.00M,,,-1.062B,,3.161B,-292.00M,25.00M,2.894B,,107.00M,,,-357.00M,,,
2002-09,1.725B,,,32.00M,442.00M,442.00M,,,,,-83.00M,58.00M,,,,382.00M,357.00M,2.556B,,-497.00M,11.00M,-486.00M,0.00,99.00M,84.00M,-303.00M,,,,-195.00M,56.00M,-926.00M,-870.00M,,-609.00M,,,-1.674B,,2.606B,579.00M,-24.00M,3.161B,,56.00M,,,-926.00M,,,
2002-06,1.654B,,,166.00M,420.00M,420.00M,,,,,-410.00M,-79.00M,,,,-193.00M,-682.00M,1.558B,,-452.00M,110.00M,-342.00M,-438.00M,482.00M,-155.00M,-453.00M,,,,1.853B,63.00M,-3.356B,-3.293B,,-614.00M,,,-2.054B,,3.437B,-949.00M,118.00M,2.606B,,63.00M,,,-3.356B,,,
2002-03,1.834B,,,-13.00M,412.00M,412.00M,,,,,-139.00M,-128.00M,,,,-31.00M,-298.00M,1.935B,,-350.00M,18.00M,-332.00M,-28.00M,334.00M,-58.00M,-84.00M,,,,121.00M,164.00M,-1.899B,-1.735B,,-549.00M,,,-2.163B,,3.758B,-312.00M,-9.00M,3.437B,,164.00M,,,-1.899B,,,
2001-12,1.105B,,,158.00M,364.00M,364.00M,,,,,208.00M,-25.00M,,,,-826.00M,1.275B,2.796B,,-753.00M,9.00M,-744.00M,-181.00M,-1.056B,-25.00M,-2.006B,,,,-88.00M,115.00M,-1.539B,-1.424B,,-549.00M,,,-2.061B,,5.066B,-1.271B,-37.00M,3.758B,,115.00M,,,-1.539B,,,
2001-09,1.529B,,,-13.00M,437.00M,437.00M,,,,,-35.00M,-17.00M,,,,241.00M,189.00M,2.142B,,-407.00M,101.00M,-306.00M,-27.00M,-384.00M,15.00M,-702.00M,,,,-299.00M,105.00M,-402.00M,-297.00M,,-548.00M,,,-1.144B,,4.722B,296.00M,48.00M,5.066B,,105.00M,,,-402.00M,,,
2001-06,1.482B,,,53.00M,392.00M,392.00M,,,,,-185.00M,-66.00M,,,,590.00M,339.00M,2.266B,,-300.00M,24.00M,-276.00M,0.00,-703.00M,8.00M,-971.00M,,,,-217.00M,198.00M,-372.00M,-174.00M,,-503.00M,,,-894.00M,,4.34B,401.00M,-19.00M,4.722B,,198.00M,,,-372.00M,,,
2001-03,1.552B,,,6.00M,412.00M,412.00M,,,,,-246.00M,-59.00M,,,,-5.00M,-310.00M,1.66B,,-271.00M,29.00M,-242.00M,-17.00M,-78.00M,-77.00M,-414.00M,,,,-544.00M,96.00M,-257.00M,-161.00M,,-447.00M,,,-1.152B,,4.278B,94.00M,-32.00M,4.34B,,96.00M,,,-257.00M,,,
2000-12,936.00M,,,79.00M,353.00M,353.00M,,,,,-216.00M,225.00M,,,,-515.00M,213.00M,1.453B,,-619.00M,136.00M,-483.00M,-144.00M,-449.00M,-38.00M,-1.114B,,,,195.00M,120.00M,-352.00M,-232.00M,,-445.00M,,,-482.00M,,4.395B,-143.00M,26.00M,4.278B,,120.00M,,,-352.00M,,,
2000-09,1.323B,,,51.00M,407.00M,407.00M,,,,,34.00M,-57.00M,,,,393.00M,370.00M,2.151B,,-380.00M,-1.00M,-381.00M,0.00,-402.00M,-12.00M,-795.00M,,,,630.00M,41.00M,-252.00M,-211.00M,,-453.00M,,,-34.00M,,3.121B,1.322B,-48.00M,4.395B,,41.00M,,,-252.00M,,,
2000-06,1.38B,,,-13.00M,401.00M,401.00M,,,,,-96.00M,-34.00M,,,,-104.00M,-234.00M,1.534B,,-380.00M,13.00M,-367.00M,0.00,54.00M,-108.00M,-421.00M,,,,-348.00M,155.00M,-161.00M,-6.00M,,-445.00M,,,-799.00M,,2.663B,314.00M,-5.00M,3.121B,,155.00M,,,-161.00M,,,
2000-03,1.314B,,,-10.00M,431.00M,431.00M,,,,,-190.00M,-6.00M,,,,226.00M,30.00M,1.765B,,-310.00M,18.00M,-292.00M,-7.00M,-52.00M,16.00M,-335.00M,,,,-592.00M,71.00M,-208.00M,-137.00M,,-381.00M,,,-1.11B,,2.363B,320.00M,-20.00M,2.663B,,71.00M,,,-208.00M,,,
1999-12,860.00M,,,69.00M,374.00M,374.00M,,,,,-23.00M,4.00M,,,,-944.00M,154.00M,1.431B,,-721.00M,37.00M,-684.00M,-43.00M,-342.00M,-355.00M,-1.424B,,,,335.00M,97.00M,-293.00M,-196.00M,,-389.00M,,,-250.00M,,2.673B,-243.00M,-28.00M,2.512B,,97.00M,,,-293.00M,,,
1999-09,1.111B,,,-30.00M,389.00M,389.00M,,,,,113.00M,-86.00M,,,,573.00M,600.00M,2.07B,,-419.00M,13.00M,-406.00M,-40.00M,-349.00M,158.00M,-637.00M,,,,-370.00M,-18.00M,-145.00M,-163.00M,,-377.00M,,,-910.00M,,2.12B,523.00M,30.00M,2.673B,,-18.00M,,,-145.00M,,,
1999-06,1.164B,,,-24.00M,328.00M,328.00M,,,,,-303.00M,-54.00M,,,,163.00M,-194.00M,1.274B,,-348.00M,3.00M,-345.00M,0.00,56.00M,-17.00M,-306.00M,,,,-61.00M,43.00M,-271.00M,-228.00M,,-377.00M,,,-666.00M,,1.841B,302.00M,-23.00M,2.12B,,43.00M,,,-271.00M,,,
1999-03,1.138B,,,8.00M,419.00M,419.00M,,,,,-417.00M,-211.00M,,,,208.00M,-420.00M,1.145B,,-334.00M,2.00M,-332.00M,-188.00M,-140.00M,-66.00M,-726.00M,,,,-153.00M,99.00M,-131.00M,-32.00M,,-336.00M,,,-521.00M,,1.994B,-102.00M,-51.00M,1.841B,,99.00M,,,-131.00M,,,
1998-12,27.00M,,,,379.00M,379.00M,,,,-350.00M,182.00M,258.00M,,,,,1.381B,1.462B,,-697.00M,88.00M,-609.00M,,,-31.00M,-5.063B,,,,2.423B,-45.00M,-277.00M,-322.00M,,-336.00M,,,1.765B,,0.00,-1.836B,2.00M,1.994B,,-45.00M,,,-277.00M,,,
1998-09,961.00M,,,,293.00M,293.00M,,,,300.00M,-109.00M,-118.00M,,,,,-227.00M,1.327B,,-243.00M,9.00M,-234.00M,,,-49.00M,-283.00M,,,,-18.00M,52.00M,-147.00M,-95.00M,,-337.00M,,,-450.00M,,0.00,594.00M,34.00M,0.00,,52.00M,,,-147.00M,,,
1998-06,1.005B,,,,319.00M,319.00M,,,,-261.00M,-41.00M,-19.00M,,,,,-60.00M,1.003B,,-312.00M,3.00M,-309.00M,,,-40.00M,-349.00M,,,,5.00M,60.00M,-159.00M,-99.00M,,-336.00M,,,-430.00M,,2.893B,224.00M,-3.00M,0.00,,60.00M,,,-159.00M,,,
1998-03,1.01B,,,,294.00M,294.00M,,,,311.00M,-195.00M,-221.00M,,,,,-416.00M,1.199B,,-293.00M,8.00M,-285.00M,,,-85.00M,-370.00M,,,,-148.00M,111.00M,-347.00M,-236.00M,,-296.00M,,,-680.00M,,2.753B,149.00M,-9.00M,2.893B,,111.00M,,,-347.00M,,,
1997-12,630.00M,,,,199.00M,199.00M,,,,-536.00M,237.00M,97.00M,,,,,921.00M,1.093B,,-630.00M,23.00M,-607.00M,,-141.00M,96.00M,-652.00M,,,,-250.00M,69.00M,-199.00M,-130.00M,,-296.00M,,,-676.00M,,0.00,-235.00M,-6.00M,0.00,,69.00M,,,-199.00M,,,
1997-09,855.00M,,,,320.00M,320.00M,,,,195.00M,-31.00M,-45.00M,,,,,-76.00M,1.294B,,-301.00M,-22.00M,-323.00M,,66.00M,27.00M,-230.00M,,,,56.00M,13.00M,-73.00M,-60.00M,,-294.00M,,,-298.00M,,0.00,766.00M,-9.00M,0.00,,13.00M,,,-73.00M,,,
1997-06,909.00M,,,,268.00M,268.00M,,,,-66.00M,-157.00M,-90.00M,,,,,-247.00M,864.00M,,-260.00M,62.00M,-198.00M,,16.00M,-145.00M,-327.00M,,,,-153.00M,51.00M,-83.00M,-32.00M,,-293.00M,,,-478.00M,,0.00,59.00M,-12.00M,0.00,,51.00M,,,-83.00M,,,
1997-03,909.00M,,,,280.00M,280.00M,,,,407.00M,-367.00M,-137.00M,,,,,-504.00M,1.092B,,-200.00M,6.00M,-194.00M,,-53.00M,-158.00M,-405.00M,,,,-32.00M,92.00M,-273.00M,-181.00M,,-254.00M,,,-467.00M,,2.011B,220.00M,-41.00M,0.00,,92.00M,,,-273.00M,,,
1996-12,556.00M,,,,251.00M,251.00M,,,,-610.00M,83.00M,120.00M,,,,,749.00M,943.00M,,-572.00M,23.00M,-549.00M,,-147.00M,-51.00M,-747.00M,,,,86.00M,35.00M,-138.00M,-103.00M,,-254.00M,,,-271.00M,,0.00,-75.00M,-2.00M,0.00,,35.00M,,,-138.00M,,,
1996-09,750.00M,,,,266.00M,266.00M,,,,382.00M,28.00M,-121.00M,,,,,-93.00M,1.305B,,-306.00M,2.00M,-304.00M,,-130.00M,-182.00M,-616.00M,,,,-139.00M,32.00M,-100.00M,-68.00M,,-253.00M,,,-460.00M,,0.00,229.00M,-1.00M,0.00,,32.00M,,,-100.00M,,,
1996-06,791.00M,,,,248.00M,248.00M,,,,-10.00M,-183.00M,-116.00M,,,,,-299.00M,730.00M,,-276.00M,4.00M,-272.00M,,-12.00M,,-284.00M,,,,-16.00M,43.00M,-72.00M,-29.00M,,-253.00M,,,-298.00M,,0.00,148.00M,-12.00M,0.00,,43.00M,,,-72.00M,,,
1996-03,790.00M,,,,244.00M,244.00M,,,,238.00M,-234.00M,-125.00M,,,,,-359.00M,913.00M,,-219.00M,8.00M,-211.00M,,166.00M,,-45.00M,,,,-62.00M,39.00M,-102.00M,-63.00M,,-214.00M,,,-339.00M,,1.201B,529.00M,-6.00M,0.00,,39.00M,,,-102.00M,,,
1995-12,465.00M,,,,253.00M,253.00M,,,,-417.00M,160.00M,91.00M,,,,,710.00M,948.00M,,-376.00M,16.00M,-360.00M,,-92.00M,-154.00M,-606.00M,,,,-108.00M,33.00M,-140.00M,-107.00M,,-213.00M,,,-428.00M,,0.00,-86.00M,-6.00M,0.00,,33.00M,,,-140.00M,,,
1995-09,623.00M,,,,200.00M,200.00M,,,,376.00M,-18.00M,-22.00M,,,,,-40.00M,1.159B,,-408.00M,6.00M,-402.00M,,-57.00M,70.00M,-389.00M,,,,-262.00M,20.00M,-53.00M,-33.00M,,-214.00M,,,-509.00M,,0.00,261.00M,-9.00M,0.00,,20.00M,,,-53.00M,,,
1995-06,661.00M,,,,200.00M,200.00M,,,,41.00M,-244.00M,-24.00M,,,,-71.00M,-339.00M,563.00M,,-254.00M,48.00M,-206.00M,,474.00M,-70.00M,198.00M,,,,47.00M,30.00M,-52.00M,-22.00M,,-213.00M,,,-188.00M,,460.00M,573.00M,8.00M,0.00,,30.00M,,,-52.00M,,,
1995-03,654.00M,,,,204.00M,204.00M,,,,,-163.00M,-54.00M,,,,71.00M,-146.00M,712.00M,,-218.00M,395.00M,177.00M,,-476.00M,,-299.00M,,,,-374.00M,29.00M,-77.00M,-48.00M,,-187.00M,,,-609.00M,,636.00M,-196.00M,20.00M,460.00M,,29.00M,,,-77.00M,,,
1994-12,378.00M,,,,192.00M,192.00M,,,,,50.00M,-2.00M,,,,-621.00M,139.00M,643.00M,,-405.00M,46.00M,-359.00M,-1.008B,68.00M,,-1.299B,,,,694.00M,20.00M,-86.00M,-66.00M,,-186.00M,,,442.00M,,866.00M,-214.00M,-16.00M,636.00M,,20.00M,,,-86.00M,,,
1994-09,525.00M,,,,178.00M,178.00M,,,,,-26.00M,-60.00M,,,,489.00M,403.00M,1.106B,,-205.00M,184.00M,-21.00M,-924.00M,45.00M,,-900.00M,,,,298.00M,15.00M,-60.00M,-45.00M,,-187.00M,,,66.00M,,571.00M,272.00M,23.00M,866.00M,,15.00M,,,-60.00M,,,
1994-06,559.00M,,,,179.00M,179.00M,,,,,-122.00M,-32.00M,,,,87.00M,-67.00M,671.00M,,-186.00M,84.00M,-102.00M,,-56.00M,,-158.00M,,,,-111.00M,12.00M,-5.00M,7.00M,,-187.00M,,,-291.00M,,334.00M,222.00M,15.00M,571.00M,,12.00M,,,-5.00M,,,
1994-03,544.00M,,,,175.00M,175.00M,,,,,-141.00M,-68.00M,,,,45.00M,-164.00M,555.00M,,-141.00M,18.00M,-123.00M,,-76.00M,,-199.00M,,,,-219.00M,15.00M,-34.00M,-19.00M,,-167.00M,,,-405.00M,,372.00M,-49.00M,11.00M,334.00M,,15.00M,,,-34.00M,,,
1993-12,335.00M,,,,149.00M,149.00M,,,,,3.00M,113.00M,,23.00M,,,159.00M,624.00M,,-344.00M,39.00M,-305.00M,,31.00M,-242.00M,-516.00M,,,,53.00M,11.00M,-271.00M,-260.00M,,-168.00M,,,-375.00M,,0.00,-267.00M,-5.00M,0.00,,11.00M,,,-271.00M,,,
1993-09,454.00M,,,,152.00M,152.00M,,,,,4.00M,11.00M,,129.00M,,,144.00M,750.00M,,-232.00M,13.00M,-219.00M,,-117.00M,-6.00M,-342.00M,,,,93.00M,15.00M,-297.00M,-282.00M,,-170.00M,,-8.00M,-367.00M,,0.00,41.00M,8.00M,0.00,,15.00M,,,-297.00M,,,
1993-06,495.00M,,,,158.00M,158.00M,,,,,-84.00M,-95.00M,,37.00M,,,-142.00M,511.00M,,-212.00M,3.00M,-209.00M,,-16.00M,1.00M,-224.00M,,,,61.00M,1.00M,-43.00M,-42.00M,,-170.00M,,8.00M,-143.00M,,0.00,144.00M,-37.00M,0.00,,1.00M,,,-43.00M,,,
1993-03,503.00M,,,,158.00M,158.00M,,,,,-233.00M,-58.00M,,-87.00M,,,-378.00M,283.00M,,-187.00M,11.00M,-176.00M,,16.00M,-19.00M,-179.00M,,,,-203.00M,16.00M,-21.00M,-5.00M,,-151.00M,,,-359.00M,,745.00M,-255.00M,-2.00M,0.00,,16.00M,,,-21.00M,,,
1992-12,272.00M,,,,133.00M,133.00M,,,,,167.00M,88.00M,,-398.00M,,,373.00M,770.00M,,-369.00M,60.00M,-309.00M,,245.00M,-161.00M,-225.00M,,,,-182.00M,39.00M,-137.00M,-98.00M,,-151.00M,,,-431.00M,,0.00,114.00M,-50.00M,0.00,,39.00M,,,-137.00M,,,
1992-09,425.00M,,,,147.00M,147.00M,,,,,22.00M,-31.00M,,167.00M,,,158.00M,730.00M,,-317.00M,31.00M,-286.00M,,-245.00M,80.00M,-451.00M,,,,96.00M,12.00M,-27.00M,-15.00M,,-151.00M,,,-70.00M,,0.00,209.00M,20.00M,0.00,,12.00M,,,-27.00M,,,
1992-06,464.00M,,,,136.00M,136.00M,,,,,-167.00M,-50.00M,,-45.00M,,,-262.00M,338.00M,,-223.00M,,-223.00M,,,-76.00M,-299.00M,,,,656.00M,7.00M,-513.00M,-506.00M,,-152.00M,,,-2.00M,,0.00,37.00M,21.00M,0.00,,7.00M,,,-513.00M,,,
1992-03,464.00M,,,,144.00M,144.00M,,,,,-233.00M,-149.00M,,77.00M,,,-305.00M,303.00M,,-194.00M,,-194.00M,,,-4.00M,-198.00M,,,,-102.00M,24.00M,-63.00M,-39.00M,,-133.00M,,,-274.00M,,589.00M,-169.00M,-26.00M,0.00,,24.00M,,,-63.00M,,,
1991-12,274.00M,,,,115.00M,115.00M,,,,,155.00M,-72.00M,,-339.00M,,,224.00M,591.00M,,-368.00M,8.00M,-360.00M,,-36.00M,-71.00M,-467.00M,,,,62.00M,25.00M,-96.00M,-71.00M,,-133.00M,,,-142.00M,,0.00,-18.00M,28.00M,0.00,,25.00M,,,-96.00M,,,
1991-09,363.00M,,,,121.00M,121.00M,,,,,-52.00M,76.00M,,15.00M,,,39.00M,523.00M,,-238.00M,39.00M,-199.00M,,-71.00M,-39.00M,-309.00M,,,,-38.00M,9.00M,-30.00M,-21.00M,,-133.00M,,,-192.00M,,0.00,22.00M,9.00M,0.00,,9.00M,,,-30.00M,,,
1991-06,406.00M,,,,129.00M,129.00M,,,,,-50.00M,-154.00M,,-68.00M,,,-272.00M,263.00M,,-212.00M,205.00M,-7.00M,,32.00M,-12.00M,13.00M,,,,9.00M,12.00M,-35.00M,-23.00M,,-134.00M,,,-148.00M,,0.00,128.00M,-20.00M,0.00,,12.00M,,,-35.00M,,,
1991-03,418.00M,,,,128.00M,128.00M,,,,,-297.00M,-15.00M,,64.00M,,,-248.00M,298.00M,,-169.00M,5.00M,-164.00M,,-98.00M,-3.00M,-265.00M,,,,-237.00M,20.00M,-61.00M,-41.00M,,-113.00M,,,-391.00M,,826.00M,-358.00M,-28.00M,0.00,,20.00M,,,-61.00M,,,
1990-12,232.00M,,,,124.00M,124.00M,,,,,152.00M,17.00M,,-344.00M,,,151.00M,461.00M,,-314.00M,19.00M,-295.00M,,129.00M,-41.00M,-207.00M,,,,-87.00M,29.00M,6.00M,35.00M,,-113.00M,,,-265.00M,,0.00,-11.00M,-8.00M,0.00,,29.00M,,,6.00M,,,
1990-09,314.00M,,,,121.00M,121.00M,,,,,48.00M,16.00M,,100.00M,,,164.00M,599.00M,,-207.00M,5.00M,-202.00M,,52.00M,0.00,-150.00M,,,,-33.00M,20.00M,-148.00M,-128.00M,,-113.00M,,,-274.00M,,0.00,175.00M,34.00M,0.00,,20.00M,,,-148.00M,,,
1990-06,353.00M,,,,113.00M,113.00M,,,,,-160.00M,-90.00M,,17.00M,,,-233.00M,233.00M,,-163.00M,9.00M,-154.00M,,-83.00M,0.00,-237.00M,,,,222.00M,14.00M,-41.00M,-27.00M,,-113.00M,,,82.00M,,0.00,78.00M,9.00M,0.00,,14.00M,,,-41.00M,,,
1990-03,244.00M,,,,116.00M,116.00M,,,,,-167.00M,-49.00M,,220.00M,,,4.00M,364.00M,,-146.00M,29.00M,-117.00M,,-87.00M,-259.00M,-463.00M,,,,309.00M,8.00M,-26.00M,-18.00M,,-97.00M,,,194.00M,,452.00M,95.00M,2.00M,0.00,,8.00M,,,-26.00M,,,
1989-03,317.00M,,,,110.00M,110.00M,,,,,-211.00M,-48.00M,,,114.00M,,-145.00M,282.00M,,-130.00M,37.00M,-93.00M,,-114.00M,-87.00M,-294.00M,,,,16.00M,11.00M,-29.00M,-18.00M,,-83.00M,,,-85.00M,,529.00M,-97.00M,-22.00M,0.00,,11.00M,,,-29.00M,,,
