,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,9.079B,9.079B,2.611B,6.468B,3.006B,952.00M,-129.00M,,,,3.958B,2.51B,,,,-129.00M,,2.393B,668.00M,1.725B,,1.725B,1.818B,2.952B,442.00M,2.51B,,0.58,0.00,0.6113,0.58,,0.57,0.00,0.6007,0.57,,2.974B,3.027B,0.205,,,
2002-06,9.073B,9.073B,2.582B,6.491B,3.017B,932.00M,-144.00M,,,,3.949B,2.542B,,,,-144.00M,,2.428B,774.00M,1.654B,,1.654B,1.752B,2.962B,420.00M,2.542B,,0.55,0.00,0.5827,0.55,,0.54,0.00,0.5720,0.54,,3.003B,3.069B,0.205,,,
2002-03,8.743B,8.743B,2.457B,6.286B,2.843B,831.00M,-33.00M,,,,3.674B,2.612B,,,,-33.00M,,2.621B,787.00M,1.834B,,1.834B,1.857B,3.024B,412.00M,2.612B,,0.60,0.00,0.6076,0.60,,0.59,0.00,0.5974,0.59,,3.042B,3.115B,0.18,,,
2001-12,8.225B,8.225B,2.502B,5.723B,3.089B,1.104B,-160.00M,,,,4.193B,1.53B,,,,-160.00M,,1.444B,339.00M,1.105B,,1.105B,1.227B,1.894B,364.00M,1.53B,,0.36,0.00,0.4003,0.36,,0.36,0.00,0.4003,0.36,,3.035B,3.035B,0.18,,,
2001-09,8.058B,8.058B,2.396B,5.662B,2.703B,899.00M,-19.00M,,,,3.602B,2.06B,,,,-19.00M,,2.108B,579.00M,1.529B,,1.529B,1.543B,2.497B,437.00M,2.06B,,0.50,0.00,0.5045,0.50,,0.49,0.00,0.4944,0.49,,3.039B,3.111B,0.18,,,
2001-06,8.179B,8.179B,2.372B,5.807B,2.802B,829.00M,-117.00M,,,,3.631B,2.176B,,,,-117.00M,,2.129B,647.00M,1.482B,,1.482B,1.563B,2.568B,392.00M,2.176B,,0.49,0.00,0.5169,0.49,,0.48,0.00,0.5062,0.48,,3.029B,3.110B,0.18,,,
2001-03,7.855B,7.855B,2.311B,5.544B,2.666B,759.00M,6.00M,,,,3.425B,2.119B,,,,6.00M,,2.217B,665.00M,1.552B,,1.552B,1.548B,2.531B,412.00M,2.119B,,0.51,0.00,0.5086,0.51,,0.50,0.00,0.4986,0.50,,3.020B,3.107B,0.16,,,
2000-12,6.624B,6.624B,2.263B,4.361B,2.22B,976.00M,-47.00M,,,,3.196B,1.165B,,,,-47.00M,,1.207B,271.00M,936.00M,,936.00M,972.45M,1.518B,353.00M,1.165B,,0.31,0.00,0.3221,0.31,,0.30,0.00,0.3117,0.30,,3.014B,3.108B,0.16,,,
2000-09,7.438B,7.438B,2.191B,5.247B,2.767B,739.00M,14.00M,,,,3.506B,1.741B,,,,14.00M,,1.834B,511.00M,1.323B,,1.323B,1.313B,2.148B,407.00M,1.741B,,0.44,0.00,0.4366,0.44,,0.43,0.00,0.4268,0.43,,2.998B,3.113B,0.16,,,
2000-06,7.67B,7.67B,2.261B,5.409B,2.829B,713.00M,11.00M,,,,3.542B,1.867B,,,,11.00M,,1.913B,550.00M,1.363B,,1.363B,1.355B,2.268B,401.00M,1.867B,,0.46,0.00,0.4574,0.46,,0.44,0.00,0.4375,0.44,,2.983B,3.095B,0.16,,,
2000-03,7.319B,7.319B,1.81B,5.509B,2.609B,637.00M,29.00M,,,,3.677B,1.832B,,,,29.00M,,1.892B,578.00M,1.314B,,1.314B,1.294B,2.263B,431.00M,1.832B,,0.475,0.00,0.4678,0.475,,0.465,0.00,0.4579,0.465,,2.779B,2.822B,0.14,,,
1999-12,7.413B,7.413B,3.373B,4.04B,3.114B,980.00M,19.00M,,,,2.958B,1.082B,,,,19.00M,,1.095B,235.00M,860.00M,,860.00M,845.08M,1.456B,374.00M,1.082B,,0.20,0.00,0.1959,0.20,,0.185,0.00,0.1811,0.185,,3.612B,3.785B,0.14,,,
1999-09,6.884B,6.884B,1.679B,5.205B,2.617B,635.00M,-50.00M,,,,3.641B,1.564B,,,,-50.00M,,1.531B,420.00M,1.111B,,1.111B,1.147B,1.953B,389.00M,1.564B,,0.40,0.00,0.4131,0.40,,0.39,0.00,0.4028,0.39,,2.780B,2.838B,0.14,,,
1999-06,6.971B,6.971B,1.807B,5.164B,2.588B,596.00M,-35.00M,,,,3.50B,1.664B,,,,-35.00M,,1.629B,465.00M,1.164B,,1.164B,1.189B,1.992B,328.00M,1.664B,,0.42,0.00,0.4290,0.42,,0.41,0.00,0.4188,0.41,,2.780B,2.842B,0.14,,,
1999-03,6.739B,6.739B,1.651B,5.088B,2.437B,557.00M,-53.00M,,,,3.413B,1.675B,,,,-53.00M,,1.622B,484.00M,1.138B,,1.138B,1.175B,2.094B,419.00M,1.675B,,0.41,0.00,0.4234,0.41,,0.40,0.00,0.4131,0.40,,2.780B,2.839B,0.125,,,
1998-12,6.705B,6.705B,1.887B,4.818B,2.662B,799.00M,-1.146B,,,,3.84B,978.00M,,,,-1.146B,,60.00M,33.00M,27.00M,,27.00M,714.60M,1.357B,379.00M,978.00M,,-0.025,0.00,0.2010,-0.025,,-0.025,0.00,0.1966,-0.025,,3.043B,3.104B,0.125,,,
1998-09,5.724B,5.724B,1.465B,4.259B,2.151B,511.00M,39.00M,,,,2.955B,1.304B,,,,39.00M,,1.317B,356.00M,961.00M,,961.00M,932.54M,1.597B,293.00M,1.304B,,0.355,0.00,0.3445,0.355,,0.35,0.00,0.3396,0.35,,2.707B,2.746B,0.125,,,
1998-06,5.783B,5.783B,1.484B,4.299B,2.114B,532.00M,63.00M,,,,2.965B,1.334B,,,,63.00M,,1.371B,366.00M,1.005B,,1.005B,958.82M,1.653B,319.00M,1.334B,,0.375,0.00,0.3578,0.375,,0.37,0.00,0.3530,0.37,,2.68B,2.716B,0.125,,,
1998-03,5.783B,5.783B,1.483B,4.30B,2.10B,494.00M,50.00M,,,,2.888B,1.412B,,,,50.00M,,1.434B,424.00M,1.01B,,1.01B,974.78M,1.706B,294.00M,1.412B,,0.375,0.00,0.3488,0.375,,0.365,0.00,0.3394,0.365,,1.345B,1.375B,0.11,,,
1997-12,5.63B,5.63B,1.682B,3.948B,2.286B,626.00M,-38.00M,,,,3.111B,837.00M,,,,-38.00M,,783.00M,153.00M,630.00M,,630.00M,660.57M,1.036B,199.00M,837.00M,,0.235,0.00,0.2464,0.235,,0.225,0.00,0.2360,0.225,,2.679B,2.782B,0.11,,,
1997-09,5.586B,5.586B,1.43B,4.156B,2.149B,516.00M,62.00M,,,,2.985B,1.171B,,,,62.00M,,1.197B,342.00M,855.00M,,855.00M,810.71M,1.491B,320.00M,1.171B,,0.32,0.00,0.3034,0.32,,0.315,0.00,0.2987,0.315,,2.672B,2.714B,0.11,,,
1997-06,5.698B,5.698B,1.481B,4.217B,2.142B,520.00M,42.00M,,,,2.93B,1.287B,,,,42.00M,,1.294B,385.00M,909.00M,,909.00M,879.50M,1.555B,268.00M,1.287B,,0.34,0.00,0.3290,0.34,,0.335,0.00,0.3241,0.335,,2.674B,2.713B,0.11,,,
1997-03,5.715B,5.715B,1.492B,4.223B,2.138B,478.00M,8.00M,,,,2.896B,1.327B,,,,8.00M,,1.302B,393.00M,909.00M,,909.00M,903.41M,1.607B,280.00M,1.327B,,0.34,0.00,0.3379,0.34,,0.33,0.00,0.3280,0.33,,2.674B,2.755B,0.095,,,
1996-12,5.502B,5.502B,1.601B,3.901B,2.867B,,-24.00M,,,,3.118B,783.00M,,,,-24.00M,,731.00M,175.00M,556.00M,,556.00M,574.25M,1.034B,251.00M,783.00M,,0.21,0.00,0.2169,0.21,,0.21,0.00,0.2167,0.21,,2.651B,2.726B,0.095,,,
1996-09,5.402B,5.402B,1.449B,3.953B,2.533B,,-63.00M,,,,2.799B,1.154B,,,,-63.00M,,1.059B,309.00M,750.00M,,750.00M,794.62M,1.42B,266.00M,1.154B,,0.28,0.00,0.2967,0.28,,0.275,0.00,0.2914,0.275,,2.679B,2.727B,0.095,,,
1996-06,5.382B,5.382B,1.484B,3.898B,2.475B,,-26.00M,,,,2.723B,1.175B,,,,-26.00M,,1.119B,328.00M,791.00M,,791.00M,809.38M,1.423B,248.00M,1.175B,,0.30,0.00,0.3070,0.30,,0.29,0.00,0.2967,0.29,,2.637B,2.728B,0.095,,,
1996-03,5.334B,5.334B,1.475B,3.859B,2.424B,,-32.00M,,,,2.668B,1.191B,,,,-32.00M,,1.124B,334.00M,790.00M,,790.00M,812.49M,1.435B,244.00M,1.191B,,0.295,0.00,0.3034,0.295,,0.29,0.00,0.2983,0.29,,2.678B,2.724B,0.0825,,,
1995-12,4.846B,4.846B,1.43B,3.416B,2.417B,,-125.00M,,,,2.67B,746.00M,,,,-125.00M,,593.00M,128.00M,465.00M,,465.00M,563.02M,999.00M,253.00M,746.00M,,0.18,0.00,0.2179,0.18,,0.18,0.00,0.2179,0.18,,2.583B,2.584B,0.0825,,,
1995-09,4.738B,4.738B,1.343B,3.395B,2.314B,,23.00M,,,,2.514B,881.00M,,,,23.00M,,872.00M,249.00M,623.00M,,623.00M,606.57M,1.081B,200.00M,881.00M,,0.24,0.00,0.2337,0.24,,0.24,0.00,0.2337,0.24,,2.596B,2.596B,0.0825,,,
1995-06,4.762B,4.762B,1.362B,3.40B,2.237B,,6.00M,,,,2.437B,963.00M,,,,6.00M,,931.00M,270.00M,661.00M,,661.00M,656.74M,1.163B,200.00M,963.00M,,0.255,0.00,0.2534,0.255,,0.255,0.00,0.2534,0.255,,2.592B,2.592B,0.0825,,,
1995-03,4.496B,4.496B,1.243B,3.253B,1.72B,353.00M,-28.00M,,,,2.277B,976.00M,,,,-28.00M,,921.00M,267.00M,654.00M,,654.00M,673.88M,1.18B,204.00M,976.00M,,0.255,0.00,0.2627,0.255,,0.25,0.00,0.2576,0.25,,2.572B,2.61B,0.0725,,,
1994-12,4.09B,4.09B,1.275B,2.815B,1.711B,360.00M,-62.00M,,,,2.263B,552.00M,,,,-62.00M,,470.00M,92.00M,378.00M,,378.00M,427.86M,744.00M,192.00M,552.00M,,0.145,0.00,0.1644,0.145,,0.145,0.00,0.1641,0.145,,2.569B,2.606B,0.0725,,,
1994-09,4.038B,4.038B,1.184B,2.854B,1.601B,316.00M,-32.00M,,,,2.097B,757.00M,,,,-32.00M,,713.00M,188.00M,525.00M,,525.00M,548.56M,937.00M,178.00M,757.00M,,0.205,0.00,0.2142,0.205,,0.205,0.00,0.2140,0.205,,2.573B,2.606B,0.0725,,,
1994-06,3.916B,3.916B,1.11B,2.806B,1.558B,313.00M,28.00M,,,,2.048B,758.00M,,,,28.00M,,762.00M,203.00M,559.00M,,559.00M,538.46M,937.00M,179.00M,758.00M,,0.215,0.00,0.2070,0.215,,0.215,0.00,0.2071,0.215,,2.573B,2.60B,0.0725,,,
1994-03,3.69B,3.69B,1.006B,2.684B,1.48B,289.00M,22.00M,,,,1.944B,740.00M,,,,22.00M,,736.00M,192.00M,544.00M,,544.00M,527.74M,915.00M,175.00M,740.00M,,0.215,0.00,0.2087,0.215,,0.21,0.00,0.2037,0.21,,2.572B,2.597B,0.065,,,
1993-12,3.531B,3.531B,1.143B,2.388B,1.796B,,-14.00M,,,,1.945B,443.00M,,,,-14.00M,,380.00M,45.00M,335.00M,,335.00M,347.34M,592.00M,149.00M,443.00M,,0.13,0.00,0.1348,0.13,,0.125,0.00,0.1296,0.125,,2.586B,2.663B,0.065,,,
1993-09,3.506B,3.506B,1.032B,2.474B,1.725B,,18.00M,,,,1.881B,593.00M,,,,18.00M,,582.00M,128.00M,454.00M,,454.00M,439.96M,749.00M,152.00M,593.00M,,0.175,0.00,0.1696,0.175,,0.175,0.00,0.1696,0.175,,2.594B,2.594B,0.065,,,
1993-06,3.541B,3.541B,990.00M,2.551B,1.718B,,28.00M,,,,1.876B,675.00M,,,,28.00M,,670.00M,175.00M,495.00M,,495.00M,474.31M,833.00M,158.00M,675.00M,,0.19,0.00,0.1821,0.19,,0.19,0.00,0.1821,0.19,,2.605B,2.605B,0.065,,,
1993-03,3.56B,3.56B,1.005B,2.555B,1.717B,,51.00M,,,,1.875B,680.00M,,,,51.00M,,700.00M,197.00M,503.00M,,503.00M,466.35M,838.00M,158.00M,680.00M,,0.195,0.00,0.1808,0.195,,0.195,0.00,0.1808,0.195,,2.579B,2.579B,0.0575,,,
1992-12,3.503B,3.503B,1.133B,2.37B,1.841B,,-53.00M,,,,1.974B,396.00M,,,,-53.00M,,302.00M,30.00M,272.00M,,-323.00M,319.74M,529.00M,133.00M,396.00M,,-0.125,-0.225,-0.1068,-0.35,,-0.13,-0.225,-0.1118,-0.355,,2.627B,2.627B,0.0575,,,
1992-09,3.48B,3.48B,1.046B,2.434B,1.701B,,29.00M,,,,1.843B,591.00M,,,,29.00M,,585.00M,160.00M,425.00M,,425.00M,403.93M,738.00M,147.00M,591.00M,,0.165,0.00,0.1568,0.165,,0.165,0.00,0.1568,0.165,,2.576B,2.576B,0.0575,,,
1992-06,3.413B,3.413B,972.00M,2.441B,1.648B,,26.00M,,,,1.784B,657.00M,,,,26.00M,,656.00M,192.00M,464.00M,,464.00M,445.61M,793.00M,136.00M,657.00M,,0.175,0.00,0.1681,0.175,,0.175,0.00,0.1681,0.175,,2.651B,2.651B,0.0575,,,
1992-03,3.357B,3.357B,972.00M,2.385B,1.608B,,52.00M,,,,1.752B,633.00M,,,,52.00M,,664.00M,200.00M,464.00M,,464.00M,427.66M,777.00M,144.00M,633.00M,,0.175,0.00,0.1613,0.175,,0.175,0.00,0.1613,0.175,,2.651B,2.651B,0.05,,,
1991-12,3.148B,3.148B,987.00M,2.161B,1.636B,,-56.00M,,,,1.751B,410.00M,,,,-56.00M,,329.00M,55.00M,274.00M,,274.00M,320.64M,525.00M,115.00M,410.00M,,0.105,0.00,0.1228,0.105,,0.095,0.00,0.1115,0.095,,2.623B,2.820B,0.05,,,
1991-09,3.119B,3.119B,958.00M,2.161B,1.514B,,26.00M,,,,1.635B,526.00M,,,,26.00M,,521.00M,158.00M,363.00M,,363.00M,344.88M,647.00M,121.00M,526.00M,,0.14,0.00,0.1330,0.14,,0.14,0.00,0.1330,0.14,,2.593B,2.593B,0.05,,,
1991-06,3.031B,3.031B,855.00M,2.176B,1.441B,,9.00M,,,,1.57B,606.00M,,,,9.00M,,579.00M,173.00M,406.00M,,406.00M,399.69M,735.00M,129.00M,606.00M,,0.155,0.00,0.1526,0.155,,0.155,0.00,0.1526,0.155,,2.619B,2.619B,0.05,,,
1991-03,3.149B,3.149B,911.00M,2.238B,1.488B,,24.00M,,,,1.616B,622.00M,,,,24.00M,,609.00M,191.00M,418.00M,,418.00M,401.53M,750.00M,128.00M,622.00M,,0.16,0.00,0.1537,0.16,,0.16,0.00,0.1537,0.16,,2.612B,2.612B,0.0425,,,
1990-12,2.70B,2.70B,873.00M,1.827B,1.249B,,-135.00M,,,,1.373B,454.00M,,,,-135.00M,,286.00M,54.00M,232.00M,,232.00M,341.51M,578.00M,124.00M,454.00M,,0.085,0.00,0.1254,0.085,,0.08,0.00,0.1186,0.08,,2.711B,2.836B,0.0425,,,
1990-09,2.869B,2.869B,895.00M,1.974B,1.412B,,30.00M,,,,1.529B,445.00M,,,,30.00M,,435.00M,121.00M,314.00M,,314.00M,292.34M,566.00M,121.00M,445.00M,,0.12,0.00,0.1117,0.12,,0.12,0.00,0.1117,0.12,,2.617B,2.617B,0.0425,,,
1990-06,2.825B,2.825B,875.00M,1.95B,1.258B,,-80.00M,,,,1.371B,579.00M,,,,-80.00M,,499.00M,146.00M,353.00M,,353.00M,409.59M,692.00M,113.00M,579.00M,,0.135,0.00,0.1566,0.135,,0.135,0.00,0.1566,0.135,,2.615B,2.615B,0.0425,,,
1990-03,2.838B,2.838B,796.00M,2.042B,1.353B,,-82.00M,,,,1.469B,573.00M,,,,-82.00M,,403.00M,159.00M,244.00M,,244.00M,293.65M,689.00M,116.00M,573.00M,,0.095,0.00,0.1143,0.095,,0.095,0.00,0.1143,0.095,,2.568B,2.568B,0.0363,,,
1989-12,2.471B,2.471B,835.00M,1.636B,1.209B,,-56.00M,,,,1.315B,321.00M,,,,-56.00M,,246.00M,43.00M,203.00M,,203.00M,249.21M,427.00M,106.00M,321.00M,,0.075,0.00,0.0921,0.075,,0.07,0.00,0.0863,0.07,,2.696B,2.829B,0.0363,,,
1989-09,2.451B,2.451B,769.00M,1.682B,1.154B,,-21.00M,,,,1.255B,427.00M,,,,-21.00M,,362.00M,97.00M,265.00M,,265.00M,280.37M,528.00M,101.00M,427.00M,,0.10,0.00,0.1058,0.10,,0.10,0.00,0.1058,0.10,,2.65B,2.65B,0.0363,,,
1989-06,2.39B,2.39B,,,,,,,,,,2.39B,,,,,,,,297.00M,,297.00M,,2.39B,,2.39B,,0.115,0.00,0.115,0.115,,0.115,0.00,0.115,0.115,,2.642B,2.642B,0.0363,,,
1989-03,2.445B,2.445B,730.00M,1.715B,1.133B,,33.00M,,,,1.243B,472.00M,,,,33.00M,,467.00M,150.00M,317.00M,,317.00M,294.60M,582.00M,110.00M,472.00M,,0.12,0.00,0.1115,0.12,,0.12,0.00,0.1115,0.12,,2.642B,2.642B,0.0313,,,
1988-12,2.20B,2.20B,,,,,,,,,,-5.396B,,,,,,,,184.00M,,184.00M,,-5.396B,,-5.396B,,,,,,,,,,,,2.665B,2.665B,0.0313,,,
1988-09,2.199B,2.199B,,,,,,,,,,2.199B,,,,,,,,240.00M,,240.00M,,2.199B,,2.199B,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,2.737B,2.737B,0.0313,,,
1988-06,2.29B,2.29B,,,,,,,,,,2.29B,,,,,,,,271.00M,,271.00M,,2.29B,,2.29B,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,2.754B,2.754B,0.0313,,,
1988-03,2.311B,2.311B,,,,,,,,,,2.311B,,,,,,,,279.00M,,279.00M,,2.311B,,2.311B,,0.105,0.00,0.105,0.105,,0.105,0.00,0.105,0.105,,2.762B,2.762B,0.0263,,,
1987-12,2.028B,2.028B,,,,,,,,,,-4.775B,,,,,,,,162.70M,,162.70M,,-4.775B,,-4.775B,,,,,,,,,,,,2.754B,2.754B,0.0263,,,
1987-09,1.993B,1.993B,,,,,,,,,,1.993B,,,,,,,,210.40M,,210.40M,,1.993B,,1.993B,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,2.763B,2.763B,0.0263,,,
1987-06,2.01B,2.01B,,,,,,,,,,2.01B,,,,,,,,224.40M,,224.40M,,2.01B,,2.01B,,0.085,0.00,0.085,0.085,,0.085,0.00,0.085,0.085,,2.766B,2.766B,0.0263,,,
1987-03,1.981B,1.981B,,,,,,,,,,1.981B,,,,,,,,235.50M,,235.50M,,1.981B,,1.981B,,0.085,0.00,0.085,0.085,,0.085,0.00,0.085,0.085,,2.766B,2.766B,0.0219,,,
1986-12,1.746B,1.746B,,,,,,,,,,-4.274B,,,,,,,,96.50M,,96.50M,,-4.274B,,-4.274B,,,,,,,,,,,,2.766B,2.766B,0.0219,,,
1986-09,1.782B,1.782B,,,,,,,,,,1.782B,,,,,,,,179.70M,,179.70M,,1.782B,,1.782B,,0.065,0.00,0.065,0.065,,0.065,0.00,0.065,0.065,,2.845B,2.845B,0.0219,,,
1986-06,1.732B,1.732B,,,,,,,,,,1.732B,,,,,,,,189.80M,,189.80M,,1.732B,,1.732B,,0.065,0.00,0.065,0.065,,0.065,0.00,0.065,0.065,,2.904B,2.904B,0.0219,,,
1986-03,1.742B,1.742B,,,,,,,,,,1.742B,,,,,,,,-136.50M,,-136.50M,,1.742B,,1.742B,,-0.05,0.00,-0.05,-0.05,,-0.05,0.00,-0.05,-0.05,,2.926B,2.926B,0.0204,,,
1985-12,1.658B,1.658B,,,,,,,,,,-3.924B,,,,,,,,127.70M,,127.70M,,-3.924B,,-3.924B,,,,,,,,,,,,2.926B,2.926B,0.0203,,,
1985-09,1.603B,1.603B,,,,,,,,,,1.603B,,,,,,,,158.00M,,158.00M,,1.603B,,1.603B,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,2.927B,2.927B,0.0203,,,
1985-06,1.573B,1.573B,,,,,,,,,,1.573B,,,,,,,,156.70M,,156.70M,,1.573B,,1.573B,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,2.926B,2.926B,0.0203,,,
1985-03,1.588B,1.588B,,,,,,,,,,1.588B,,,,,,,,171.30M,,171.30M,,1.588B,,1.588B,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,2.926B,2.926B,0.0188,,,
1984-12,1.552B,1.552B,,,,,,,,,,-3.827B,,,,,,,,107.00M,,107.00M,,-3.827B,,-3.827B,,,,,,,,,,,,2.913B,2.913B,0.0188,,,
1984-09,1.502B,1.502B,,,,,,,,,,1.502B,,,,,,,,137.70M,,137.70M,,1.502B,,1.502B,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,2.986B,2.986B,0.0188,,,
1984-06,1.547B,1.547B,,,,,,,,,,1.547B,,,,,,,,120.80M,,120.80M,,1.547B,,1.547B,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,2.976B,2.976B,0.0188,,,
1984-03,1.522B,1.522B,,,,,,,,,,1.522B,,,,,,,,149.00M,,149.00M,,1.522B,,1.522B,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,3.061B,3.061B,0.0172,,,
