,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-12,184.57M,184.57M,112.08M,72.49M,31.72M,39.74M,,-2.245M,,,,,71.45M,1.036M,,,,-2.245M,,1.972M,0.493M,1.479M,,1.479M,3.163M,12.17M,11.13M,1.036M,,0.01,0.00,,0.0234,0.01,,0.01,0.00,,0.0231,0.01,,125.41M,128.54M,,,,
2002-09,197.52M,197.52M,118.53M,78.99M,33.36M,41.38M,,-19.11M,,,,,74.74M,4.253M,,,,-19.11M,,-12.82M,0.898M,-13.71M,,-13.71M,-2.246M,15.26M,11.01M,4.253M,,-0.11,0.00,,-0.0196,-0.11,,-0.11,0.00,,-0.0196,-0.11,,126.93M,126.93M,,,,
2002-06,180.26M,180.26M,160.29M,19.96M,34.32M,41.70M,,21.62M,,,,,83.62M,-63.66M,,,,21.62M,,-33.23M,-2.183M,-31.04M,,-31.04M,-51.25M,-45.65M,18.01M,-63.66M,,-0.24,0.00,,-0.3983,-0.24,,-0.24,0.00,,-0.3983,-0.24,,127.66M,127.66M,,,,
2002-03,164.10M,164.10M,109.12M,54.99M,36.85M,40.55M,,15.69M,,,,,77.40M,-22.41M,,,,15.69M,,-4.971M,-6.54M,1.569M,,1.569M,-7.846M,-7.791M,14.62M,-22.41M,,0.01,0.00,,-0.0643,0.01,,0.01,0.00,,-0.0600,0.01,,126.75M,134.42M,,,,
2001-12,259.17M,259.17M,193.74M,65.43M,43.52M,49.73M,,-54.78M,,,,,93.26M,-27.83M,,,,-54.78M,,-81.88M,-30.23M,-51.66M,,-51.66M,-17.10M,-12.08M,15.76M,-27.83M,,-0.41,0.00,,-0.1350,-0.41,,-0.41,0.00,,-0.1350,-0.41,,125.67M,125.67M,,,,
2001-09,339.58M,339.58M,213.87M,125.71M,47.16M,47.23M,,-41.06M,,,,-7.60M,86.80M,38.92M,,,,-41.06M,,-7.911M,1.009M,-8.92M,,-8.92M,15.72M,54.87M,15.95M,38.92M,,-0.07,0.00,,0.1266,-0.07,,-0.07,0.00,,0.1266,-0.07,,125.34M,125.34M,,,,
2001-06,365.54M,365.54M,213.79M,151.75M,48.87M,53.20M,,-25.63M,,,,,98.09M,53.66M,,,,-25.63M,,36.01M,10.80M,25.21M,33.07M,58.28M,43.15M,70.58M,16.92M,53.66M,,0.20,0.27,0.00,0.3443,0.47,,0.19,0.27,0.2683,0.3343,0.44,,124.34M,124.34M,,,,
2001-03,465.12M,465.12M,262.10M,203.02M,55.62M,58.79M,,4.429M,,,,,114.41M,88.62M,,,,4.429M,,93.05M,27.92M,65.12M,,65.12M,62.02M,103.68M,15.06M,88.62M,,0.53,0.00,,0.5048,0.53,,0.48,0.00,,0.4582,0.48,,123.18M,141.90M,,,,
2000-12,384.10M,384.10M,214.07M,170.03M,62.00M,58.72M,,-5.074M,,,,,120.72M,49.31M,,,,-5.074M,,44.24M,13.27M,30.97M,,30.97M,34.52M,62.79M,13.48M,49.31M,,0.60,0.00,,0.6288,0.60,,0.54,0.00,,0.5652,0.54,,123.42M,140.98M,,,,
2000-09,305.03M,305.03M,172.36M,132.67M,52.44M,56.53M,,-0.459M,,,,,108.97M,23.70M,,,,-0.459M,,28.34M,8.501M,19.84M,-122.10M,-102.26M,20.16M,36.96M,13.26M,23.70M,,0.16,-0.98,-0.0000,0.1626,-0.82,,0.15,-0.98,-0.9809,0.1524,-0.82,,124.48M,133.73M,,,,
2000-06,374.22M,374.22M,205.23M,168.98M,47.70M,51.47M,,18.12M,,,,1.40M,100.57M,68.41M,,,,18.12M,,88.78M,12.43M,76.35M,,76.35M,60.76M,80.61M,12.19M,68.41M,,0.62,0.00,,0.4949,0.62,,0.56,0.00,,0.4725,0.56,,124.56M,178.05M,,,,
2000-03,326.35M,326.35M,182.21M,144.14M,41.15M,45.88M,,19.09M,,,,0.849M,87.88M,56.26M,,,,19.09M,,77.92M,10.91M,67.02M,,67.02M,50.60M,67.24M,10.98M,56.26M,,0.55,0.00,,0.4161,0.55,,0.48,0.00,,0.3675,0.48,,122.65M,145.93M,,,,
1999-12,288.62M,288.62M,162.94M,125.68M,38.00M,40.28M,,-5.945M,,,,,78.28M,47.39M,,,,-5.945M,,42.68M,5.976M,36.71M,,36.71M,41.82M,58.88M,11.49M,47.39M,,0.3067,0.00,,0.3495,0.3067,,0.2767,0.00,,0.3153,0.2767,,119.34M,132.17M,,,,
1999-09,241.58M,241.58M,140.77M,100.81M,34.50M,39.26M,,-0.252M,,,,,73.76M,27.05M,,,,-0.252M,,27.42M,2.743M,24.68M,,24.68M,24.91M,38.40M,11.35M,27.05M,,0.20,0.00,,0.2019,0.20,,0.19,0.00,,0.1918,0.19,,117.37M,127.88M,,,,
1999-06,210.88M,210.88M,129.07M,81.81M,33.11M,37.64M,,-0.19M,,,,,70.75M,11.07M,,,,-0.19M,,11.35M,,11.35M,,11.35M,11.46M,22.99M,11.93M,11.07M,,0.1033,0.00,,0.1043,0.1033,,0.1033,0.00,,0.1043,0.1033,,115.69M,115.69M,,,,
1999-03,152.98M,152.98M,98.67M,54.30M,33.18M,35.75M,,-0.477M,,,,,68.93M,-14.62M,,,,-0.477M,,-14.72M,,-14.72M,,-14.72M,-14.25M,-4.419M,10.20M,-14.62M,,-0.13,0.00,,-0.1259,-0.13,,-0.13,0.00,,-0.1259,-0.13,,116.14M,116.14M,,,,
1998-12,141.90M,141.90M,94.80M,47.09M,37.58M,33.99M,,-59.02M,,,,,71.57M,-24.48M,,,,-59.02M,,-82.77M,,-82.77M,,-82.77M,-23.75M,-10.70M,13.78M,-24.48M,,-0.72,0.00,,-0.2082,-0.72,,-0.72,0.00,,-0.2082,-0.72,,115.32M,115.32M,,,,
1998-09,142.14M,142.20M,92.04M,50.16M,41.84M,35.11M,,-0.977M,,,,,76.95M,-26.79M,,,,-0.977M,,-26.77M,,-26.77M,,-26.77M,-25.80M,-11.78M,15.01M,-26.79M,,-0.23,0.00,,-0.2215,-0.23,,-0.23,0.00,,-0.2215,-0.23,,115.32M,115.32M,,,,
1998-06,230.36M,230.59M,138.14M,92.45M,47.70M,48.95M,,-63.50M,,,,-12.38M,84.27M,8.178M,,,,-63.50M,,-66.71M,-0.818M,-65.89M,,-65.89M,-3.169M,22.08M,13.90M,8.178M,,-0.5767,0.00,,-0.0312,-0.5767,,-0.5767,0.00,,-0.0312,-0.5767,,114.98M,114.98M,,,,
1998-03,239.49M,240.02M,152.48M,87.54M,47.54M,48.86M,,-96.24M,,,,-19.55M,76.84M,10.70M,,,,-96.24M,,-104.24M,-34.18M,-70.06M,,-70.06M,-5.376M,26.97M,16.26M,10.70M,,-0.61,0.00,,-0.0435,-0.61,,-0.61,0.00,,-0.0435,-0.61,,114.19M,114.19M,,,,
1997-12,292.10M,292.10M,162.00M,130.10M,53.50M,54.50M,,-0.50M,,,,,125.00M,5.10M,,,,-0.50M,,4.70M,1.20M,3.50M,,3.50M,3.872M,22.10M,16.95M,5.10M,,0.03,0.00,,0.0332,0.03,,0.03,0.00,,0.0332,0.03,,116.67M,116.67M,,,,
1997-09,289.39M,289.93M,176.94M,112.99M,53.20M,54.18M,,-18.43M,,,,,107.38M,5.605M,,,,-18.43M,,-12.88M,-0.706M,-12.17M,,-12.17M,5.250M,20.75M,15.15M,5.605M,,-0.11,0.00,,0.0443,-0.11,,-0.11,0.00,,0.0443,-0.11,,112.91M,112.91M,,,,
1997-06,211.14M,223.80M,184.76M,39.04M,45.89M,31.12M,,0.205M,,,,,32.21M,6.832M,,,,0.205M,,-6.578M,-2.144M,-4.434M,,-4.434M,-4.572M,15.14M,8.309M,6.832M,,-0.1067,0.00,,-0.1082,-0.1067,,-0.1067,0.00,,-0.1082,-0.1067,,92.67M,92.67M,,,,
1997-03,232.60M,232.60M,193.10M,39.50M,51.10M,49.40M,,0.70M,,,,,120.10M,-80.60M,,,,0.70M,,-79.80M,-35.60M,-44.20M,,-44.20M,-44.62M,-58.97M,21.63M,-80.60M,,-0.40,0.00,,-0.4038,-0.40,,-0.40,0.00,,-0.4038,-0.40,,110.50M,110.50M,,,,
1996-12,236.65M,241.36M,153.23M,88.12M,45.69M,38.85M,,4.118M,,,,,84.53M,3.592M,,,,4.118M,,3.045M,0.552M,2.493M,,2.493M,-0.8785M,14.74M,11.14M,3.592M,,0.02,0.00,,-0.0163,0.02,,0.02,0.00,,-0.0163,0.02,,92.79M,92.79M,,,,
1996-09,276.20M,282.76M,167.65M,115.11M,48.88M,41.52M,,-2.364M,,,,,90.41M,24.70M,,,,-2.364M,,15.16M,4.553M,10.61M,,10.61M,12.26M,36.72M,12.02M,24.70M,,0.11,0.00,,0.1280,0.11,,0.10,0.00,,0.1180,0.10,,91.89M,91.89M,,,,
1996-06,425.62M,425.62M,192.32M,233.31M,73.88M,65.00M,,14.42M,,,,,190.31M,43.00M,,,,14.42M,,65.54M,22.23M,43.30M,,43.30M,33.78M,55.01M,12.01M,43.00M,,0.23,0.00,,0.1666,0.23,,0.19,0.00,,0.1317,0.19,,150.33M,163.30M,,,,
1996-03,342.34M,342.34M,178.67M,163.67M,63.35M,46.86M,,3.382M,,,,-4.304M,105.91M,57.76M,,,,3.382M,,56.83M,18.18M,38.65M,,38.65M,36.35M,66.24M,8.484M,57.76M,,0.46,0.00,,0.4328,0.46,,0.43,0.00,,0.4052,0.43,,84.68M,92.64M,,,,
1995-12,284.20M,284.20M,148.51M,135.69M,52.58M,39.05M,,5.18M,,,,-6.322M,85.31M,50.38M,,,,5.18M,,49.23M,15.75M,33.48M,,33.48M,29.96M,58.03M,7.65M,50.38M,,0.39,0.00,,0.3486,0.39,,0.37,0.00,,0.3320,0.37,,84.98M,92.72M,,,,
1995-09,257.75M,257.75M,134.71M,123.04M,47.58M,35.98M,,5.325M,,,,-5.497M,78.07M,44.97M,,,,5.325M,,44.80M,14.33M,30.47M,,30.47M,26.85M,52.12M,7.153M,44.97M,,0.36,0.00,,0.3175,0.36,,0.33,0.00,,0.2913,0.33,,85.28M,93.47M,,,,
1995-06,244.91M,244.91M,148.62M,96.29M,46.71M,43.74M,,,,,,,62.70M,33.59M,,,,,,43.44M,13.03M,30.41M,,30.41M,30.41M,41.72M,8.132M,33.59M,,0.36,0.00,,0.36,0.36,,0.34,0.00,,0.34,0.34,,85.96M,104.19M,,,,
1995-03,219.00M,219.00M,106.40M,112.60M,39.60M,31.90M,,,,,,,77.10M,35.50M,,,,,,35.40M,10.60M,24.80M,,24.80M,24.80M,41.10M,5.60M,35.50M,,0.30,0.00,,0.30,0.30,,0.28,0.00,,0.28,0.28,,82.67M,88.57M,,,,
1994-12,172.70M,172.70M,84.00M,88.70M,30.10M,26.80M,,0.10M,,,,,61.80M,26.90M,,,,0.10M,,27.00M,8.10M,18.90M,,18.90M,18.83M,31.80M,4.90M,26.90M,,0.23,0.00,,0.2291,0.23,,0.21,0.00,,0.2092,0.21,,82.17M,90.00M,,,,
1994-09,161.50M,161.50M,79.80M,81.70M,29.10M,25.30M,,,,,,,59.30M,22.40M,,,,,,21.60M,6.50M,15.10M,,15.10M,15.10M,27.30M,4.90M,22.40M,,0.20,0.00,,0.20,0.20,,0.19,0.00,,0.19,0.19,,75.50M,79.47M,,,,
1994-06,146.20M,146.20M,73.70M,72.50M,27.50M,22.20M,,7.20M,,,,,57.10M,15.40M,,,,7.20M,,17.60M,5.90M,11.70M,,11.70M,6.914M,22.80M,7.40M,15.40M,,0.13,0.00,,0.0774,0.13,,0.08,0.00,,0.0421,0.08,,91.07M,126.14M,,,,
1994-03,125.80M,125.80M,65.70M,60.10M,23.50M,19.80M,,1.90M,,,,,47.00M,13.10M,,,,1.90M,,14.50M,4.90M,9.60M,,9.60M,8.342M,16.80M,3.40M,13.10M,,0.13,0.00,,0.1130,0.13,,0.13,0.00,,0.1130,0.13,,73.85M,73.85M,,,,
1993-12,113.90M,113.90M,58.00M,55.90M,40.60M,,,1.80M,,,,,44.40M,11.50M,,,,1.80M,,12.90M,4.40M,8.50M,,8.50M,7.314M,15.30M,3.70M,11.50M,,0.12,0.00,,0.1033,0.12,,0.12,0.00,,0.1033,0.12,,70.83M,70.83M,,,,
1993-09,100.90M,100.90M,49.80M,51.10M,33.80M,,,-1.10M,,,,,37.70M,13.40M,,,,-1.10M,,12.10M,4.10M,8.00M,,8.00M,8.727M,17.30M,3.90M,13.40M,,0.07,0.00,,0.0804,0.07,,0.07,0.00,,0.0804,0.07,,69.96M,69.96M,,,,
1993-06,82.80M,82.80M,40.60M,42.20M,30.40M,,,3.40M,,,,,34.30M,7.90M,,,,3.40M,,9.00M,2.70M,6.30M,,6.30M,3.92M,11.80M,3.90M,7.90M,,0.08,0.00,,0.0505,0.08,,0.08,0.00,,0.0505,0.08,,80.77M,80.77M,,,,
1993-03,69.20M,69.20M,33.00M,36.20M,26.30M,,,1.10M,,,,,29.50M,6.70M,,,,1.10M,,7.80M,2.30M,5.50M,,5.50M,4.724M,9.90M,3.20M,6.70M,,0.08,0.00,,0.0687,0.08,,0.08,0.00,,0.0687,0.08,,68.75M,68.75M,,,,
1992-12,59.40M,59.40M,30.60M,28.80M,21.40M,,,1.00M,,,,,24.20M,4.60M,,,,1.00M,,5.70M,1.70M,4.00M,,4.00M,3.298M,7.50M,2.90M,4.60M,,0.06,0.00,,0.0495,0.06,,0.06,0.00,,0.0495,0.06,,66.67M,66.67M,,,,
1992-09,49.10M,49.10M,23.10M,26.00M,18.90M,,,0.10M,,,,,21.60M,4.40M,,,,0.10M,,4.40M,1.30M,3.10M,,3.10M,3.030M,7.10M,2.70M,4.40M,,0.04,0.00,,0.0391,0.04,,0.04,0.00,,0.0391,0.04,,77.50M,77.50M,,,,
1992-06,44.40M,44.40M,19.30M,25.10M,19.90M,,,2.20M,,,,,22.30M,2.80M,,,,2.20M,,4.30M,1.20M,3.10M,,3.10M,1.514M,5.20M,2.40M,2.80M,,0.04,0.00,,0.0195,0.04,,0.04,0.00,,0.0195,0.04,,77.50M,77.50M,,,,
1992-03,40.10M,40.10M,17.80M,22.30M,17.50M,,,1.20M,,,,,19.60M,2.70M,,,,1.20M,,3.30M,0.90M,2.40M,,2.40M,1.527M,5.10M,2.40M,2.70M,,0.04,0.00,,0.0255,0.04,,0.04,0.00,,0.0255,0.04,,60.00M,60.00M,,,,
1991-12,41.70M,41.70M,20.50M,21.20M,17.30M,,,1.90M,,,,,19.30M,1.90M,,,,1.90M,,3.20M,0.90M,2.30M,,2.30M,0.9344M,4.10M,2.20M,1.90M,,0.04,0.00,,0.0162,0.04,,0.04,0.00,,0.0162,0.04,,57.50M,57.50M,,,,
1991-09,39.40M,39.40M,19.30M,20.10M,16.30M,,,1.30M,,,,,18.10M,2.00M,,,,1.30M,,2.90M,0.80M,2.10M,,2.10M,1.159M,3.80M,1.80M,2.00M,,0.04,0.00,,0.0221,0.04,,0.04,0.00,,0.0221,0.04,,52.50M,52.50M,,,,
1991-06,36.70M,36.70M,17.70M,19.00M,16.80M,,,1.60M,,,,,17.50M,1.50M,,,,1.60M,,2.50M,0.60M,1.90M,,1.90M,0.684M,3.20M,1.70M,1.50M,,0.03,0.00,,0.0111,0.03,,0.03,0.00,,0.0111,0.03,,64.32M,64.32M,,,,
1991-03,34.80M,34.80M,17.20M,17.60M,15.60M,,,1.80M,,,,,16.90M,0.70M,,,,1.80M,,2.00M,0.40M,1.60M,,1.60M,0.16M,2.00M,1.20M,0.70M,,0.03,0.00,,0.003,0.03,,0.03,0.00,,0.003,0.03,,53.33M,53.33M,,,,
1990-12,33.10M,33.10M,17.90M,15.20M,13.80M,,,2.40M,,,,,15.10M,0.10M,,,,2.40M,,1.80M,0.50M,1.30M,,1.30M,-0.4333M,1.40M,1.30M,0.10M,,0.02,0.00,,-0.0067,0.02,,0.02,0.00,,-0.0067,0.02,,65.00M,65.00M,,,,
1990-09,33.40M,33.40M,18.00M,15.40M,13.00M,,,0.70M,,,,,14.30M,1.10M,,,,0.70M,,1.60M,0.40M,1.20M,,1.20M,0.675M,2.40M,1.30M,1.10M,,0.02,0.00,,0.0112,0.02,,0.02,0.00,,0.0112,0.02,,60.00M,60.00M,,,,
1990-06,29.20M,29.20M,14.10M,15.10M,14.20M,,,3.10M,,,,,33.50M,-18.40M,,,,3.10M,,-16.70M,-2.10M,-14.60M,,-14.60M,-17.31M,-17.10M,1.30M,-18.40M,,-0.28,0.00,,-0.3354,-0.28,,-0.28,0.00,,-0.3354,-0.28,,48.88M,48.88M,,,,
1990-03,34.90M,34.90M,18.20M,16.70M,14.40M,,,0.40M,,,,,15.50M,1.20M,,,,0.40M,,1.70M,0.50M,1.20M,,1.20M,0.9176M,2.30M,1.00M,1.20M,,0.02,0.00,,0.0153,0.02,,0.02,0.00,,0.0153,0.02,,60.00M,60.00M,,,,
1989-12,35.70M,35.70M,18.30M,17.40M,13.80M,,,0.80M,,,,,14.90M,2.50M,,,,0.80M,,3.30M,1.00M,2.30M,,2.30M,1.742M,3.70M,1.20M,2.50M,,0.04,0.00,,0.0303,0.04,,0.04,0.00,,0.0303,0.04,,57.50M,57.50M,,,,
1989-09,37.40M,37.40M,19.70M,17.70M,14.00M,,,1.30M,,,,,15.10M,2.60M,,,,1.30M,,3.30M,1.00M,2.30M,,2.30M,1.394M,3.70M,1.10M,2.60M,,0.04,0.00,,0.0242,0.04,,0.04,0.00,,0.0242,0.04,,57.50M,57.50M,,,,
1989-06,34.20M,34.20M,,,,,,,,,,,,-83.10M,,,,,,,,2.60M,,2.60M,,-83.10M,,-83.10M,,,,,,,,,,,,,,48.43M,48.43M,,,,
1989-03,33.60M,33.60M,,,,,,,,,,,,33.60M,,,,,,,,2.50M,,2.50M,,33.60M,,33.60M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,47.65M,47.65M,,,,
1988-12,31.80M,31.80M,,,,,,,,,,,,31.80M,,,,,,,,2.40M,,2.40M,,31.80M,,31.80M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,47.41M,47.41M,,,,
1988-09,26.40M,26.40M,,,,,,,,,,,,26.40M,,,,,,,,1.70M,,1.70M,,26.40M,,26.40M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,46.93M,46.93M,,,,
1988-06,24.40M,24.40M,,,,,,,,,,,,-47.90M,,,,,,,,1.00M,,1.00M,,-47.90M,,-47.90M,,,,,,,,,,,,,,47.32M,47.32M,,,,
1988-03,17.80M,17.80M,,,,,,,,,,,,17.80M,,,,,,,,0.30M,,0.30M,,17.80M,,17.80M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,46.93M,46.93M,,,,
1987-12,11.80M,11.80M,,,,,,,,,,,,11.80M,,,,,,,,0.80M,,0.80M,,11.80M,,11.80M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,34.16M,34.16M,,,,
1987-09,10.50M,10.50M,,,,,,,,,,,,10.50M,,,,,,,,0.60M,,0.60M,,10.50M,,10.50M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,34.16M,34.16M,,,,
1987-06,8.20M,8.20M,,,,,,,,,,,,-22.50M,,,,,,,,0.20M,,0.20M,,-22.50M,,-22.50M,,,,,,,,,,,,,,34.32M,34.32M,,,,
1987-03,7.10M,7.10M,,,,,,,,,,,,7.10M,,,,,,,,,,,,7.10M,,7.10M,,,,,,,,,,,,,,34.13M,34.13M,,,,
1986-12,5.70M,5.70M,,,,,,,,,,,,5.70M,,,,,,,,-1.00M,,-1.00M,,5.70M,,5.70M,,-0.03,0.00,,-0.03,-0.03,,-0.03,0.00,,-0.03,-0.03,,34.09M,34.09M,,,,
1986-09,4.60M,4.60M,,,,,,,,,,,,4.60M,,,,,,,,-1.90M,,-1.90M,,4.60M,,4.60M,,-0.06,0.00,,-0.06,-0.06,,-0.06,0.00,,-0.06,-0.06,,33.98M,33.98M,,,,
1986-06,8.00M,8.00M,,,,,,,,,,,,-27.10M,,,,,,,,-0.20M,,-0.20M,,-27.10M,,-27.10M,,,,,,,,,,,,,,34.04M,34.04M,,,,
1986-03,9.50M,9.50M,,,,,,,,,,,,9.50M,,,,,,,,0.70M,,0.70M,,9.50M,,9.50M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,33.92M,33.92M,,,,
1985-12,8.90M,8.90M,,,,,,,,,,,,8.90M,,,,,,,,0.60M,,0.60M,,8.90M,,8.90M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,33.78M,33.78M,,,,
1985-09,8.00M,8.00M,,,,,,,,,,,,8.00M,,,,,,,,0.60M,,0.60M,,8.00M,,8.00M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,33.63M,33.63M,,,,
1985-06,9.10M,9.10M,,,,,,,,,,,,-21.30M,,,,,,,,1.20M,,1.20M,,-21.30M,,-21.30M,,,,,,,,,,,,,,33.76M,33.76M,,,,
1985-03,8.90M,8.90M,,,,,,,,,,,,8.90M,,,,,,,,1.70M,,1.70M,,8.90M,,8.90M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,33.19M,33.19M,,,,
1984-12,8.70M,8.70M,,,,,,,,,,,,8.70M,,,,,,,,1.30M,,1.30M,,8.70M,,8.70M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,33.14M,33.14M,,,,
1984-09,7.60M,7.60M,,,,,,,,,,,,7.60M,,,,,,,,0.90M,,0.90M,,7.60M,,7.60M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,33.14M,33.14M,,,,
1984-06,6.00M,6.00M,,,,,,,,,,,,-11.00M,,,,,,,,0.50M,,0.50M,,-11.00M,,-11.00M,,,,,,,,,,,,,,33.14M,33.14M,,,,
1984-03,6.10M,6.10M,,,,,,,,,,,,6.10M,,,,,,,,0.60M,,0.60M,,6.10M,,6.10M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,33.14M,33.14M,,,,
