,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2003-09,4.786M,,,1.963M,8.462M,2.769M,11.23M,11.23M,-0.10M,,,,,,-19.07M,-19.07M,-1.189M,,-1.789M,,-1.789M,,-99.18M,-0.065M,-101.03M,,,,-0.011M,21.56M,,21.56M,,,,,21.55M,,167.34M,-80.67M,-0.012M,86.66M,,21.56M,,,,,,
2003-06,3.699M,,,11.43M,8.249M,1.19M,9.439M,9.439M,-3.214M,,,,,,3.676M,10.34M,31.70M,,-2.736M,,-2.736M,,-19.67M,47.74M,25.34M,,,,-0.148M,12.57M,0.00,12.57M,,,,,12.43M,,96.41M,69.46M,1.478M,167.34M,,12.57M,,,0.00,,,
2003-03,0.797M,,,3.979M,9.209M,4.176M,13.38M,13.38M,0.138M,,,,,,5.671M,5.671M,23.97M,,-3.764M,,-3.764M,,19.41M,-56.90M,-41.26M,,,,-51.24M,5.417M,0.00,5.417M,,,,,-45.82M,,159.38M,-63.11M,0.142M,96.41M,,5.417M,,,0.00,,,
2002-12,1.479M,,,1.606M,21.30M,0.848M,11.13M,11.13M,-0.374M,,,,,,-1.816M,-1.816M,12.03M,,-2.241M,,-2.241M,,-21.93M,0.203M,-23.97M,,,,-0.133M,1.644M,0.00,1.644M,,,,,1.511M,,169.43M,-10.43M,0.378M,159.38M,,1.644M,,,0.00,,,
2002-09,-13.71M,,,16.97M,,,11.01M,11.01M,-5.19M,,,,,,-7.531M,-7.531M,1.547M,,-3.523M,,-3.523M,,330.20M,9.577M,336.25M,,,,-309.89M,7.547M,-39.12M,-31.58M,,,,,-341.46M,,172.43M,-3.662M,0.661M,169.43M,,7.547M,,,-39.12M,,,
2002-06,-31.04M,,,24.14M,,,18.01M,18.01M,5.57M,,,,,,55.91M,29.33M,46.00M,,-2.101M,,-2.101M,,-18.43M,8.426M,-12.10M,,,,-1.784M,9.081M,0.00,9.081M,,,,,7.297M,,130.08M,41.20M,1.15M,172.43M,,9.081M,,,0.00,,,
2002-03,1.569M,,,-13.10M,,,14.62M,14.62M,-7.473M,,,,,,-41.94M,-41.94M,-46.32M,,-3.67M,,-3.67M,,78.88M,-11.43M,63.78M,,,,-0.432M,12.81M,0.00,12.81M,,,,,12.37M,,100.88M,29.84M,-0.63M,130.08M,,12.81M,,,0.00,,,
2001-12,-51.66M,,,58.17M,,,15.76M,15.76M,-32.26M,,,,,,34.97M,34.97M,24.97M,,-2.845M,,-2.845M,,-14.74M,1.671M,-15.91M,,,,-5.873M,3.519M,0.00,3.519M,,,,,-2.354M,,95.00M,6.711M,-0.832M,100.88M,,3.519M,,,0.00,,,
2001-09,-8.92M,,,39.04M,,,15.95M,15.95M,,,,,,,-48.94M,-48.94M,-2.861M,,-2.003M,,-2.003M,,-121.62M,-0.272M,-123.90M,,,,-0.604M,10.27M,-10.68M,-0.409M,,,,,-1.013M,,221.66M,-127.77M,1.11M,95.00M,,10.27M,,,-10.68M,,,
2001-06,58.28M,,,-16.75M,,,16.92M,16.92M,22.04M,,,,,,-36.36M,7.762M,88.26M,,-9.83M,,-9.83M,,-388.79M,-0.013M,-398.63M,,,,328.34M,12.91M,0.271M,13.18M,,,,,341.52M,,190.76M,31.15M,-0.248M,221.66M,,12.91M,,,0.271M,,,
2001-03,65.12M,,,0.00,,,15.06M,15.06M,8.821M,,,,,,-24.88M,-24.88M,64.12M,,-18.22M,,-18.22M,,7.487M,-11.84M,-22.57M,,,,1.343M,3.945M,5.182M,9.127M,,,,,10.47M,,141.59M,52.02M,-2.855M,190.76M,,3.945M,,,5.182M,,,
2000-12,-137.38M,,,130.10M,,,13.48M,13.48M,-37.89M,,,,,,127.48M,127.48M,95.78M,,-20.39M,,-20.39M,,37.72M,-8.233M,9.092M,,,,3.282M,7.115M,-47.01M,-39.89M,,,,,-36.61M,,74.45M,68.26M,-1.125M,141.59M,,7.115M,,,-47.01M,,,
2000-09,66.09M,,,,,,13.26M,13.26M,,,,,,,-66.23M,-66.23M,13.12M,,-15.96M,,-15.96M,,2.35M,-1.824M,-15.43M,,,,2.767M,7.225M,-3.515M,3.71M,,,,,6.477M,,70.06M,4.162M,0.235M,74.45M,,7.225M,,,-3.515M,,,
2000-06,76.35M,,,18.93M,,,12.19M,12.19M,,,,,,-30.61M,112.35M,-13.99M,81.44M,,-11.39M,,-11.39M,,-7.484M,-1.677M,-20.55M,,,,-2.218M,7.756M,-26.44M,-18.68M,,,,7.173M,-13.73M,,27.30M,47.16M,,70.06M,,7.756M,,,-26.44M,,,
2000-03,67.02M,,,-11.47M,,,10.98M,10.98M,,,,,,-0.002M,-67.13M,-67.13M,-0.606M,,-18.10M,,-18.10M,,1.287M,-8.841M,-25.66M,,,,-3.558M,25.80M,0.00,25.80M,,,,-0.579M,21.67M,,31.89M,-4.597M,,27.30M,,25.80M,,,0.00,,,
1999-12,36.71M,,,,,,11.49M,11.49M,,,,,,0.002M,-12.89M,-12.89M,35.31M,,-15.33M,,-15.33M,,-38.27M,-4.306M,-57.90M,,,,-14.78M,13.22M,0.00,13.22M,,,,-1.007M,-2.566M,,57.05M,-25.16M,,31.89M,,13.22M,,,0.00,,,
1999-09,24.68M,,,,,,11.35M,11.35M,,,,,,,-32.33M,-32.33M,3.707M,,-5.541M,,-5.541M,,16.63M,1.273M,12.36M,,,,0.164M,13.58M,-5.146M,8.435M,,,,-5.587M,3.012M,,37.96M,19.08M,,57.05M,,13.58M,,,-5.146M,,,
1999-06,11.35M,,,-1.00M,,,11.93M,11.93M,-3.508M,,,,,,10.31M,-0.545M,18.22M,,-7.807M,,-7.807M,3.00M,-44.07M,-9.83M,-58.71M,,,,3.53M,7.623M,-5.68M,1.943M,,,,-0.07M,5.403M,,73.05M,-35.08M,,37.96M,,7.623M,,,-5.68M,,,
1999-03,-14.72M,,,6.00M,,,10.20M,10.20M,,,,,,,11.01M,11.01M,12.49M,,-8.239M,,-8.239M,-3.00M,37.75M,-3.187M,23.32M,,,,-4.209M,6.821M,-9.279M,-2.458M,,,,-0.094M,-6.761M,,44.00M,29.05M,,73.05M,,6.821M,,,-9.279M,,,
1998-12,-82.77M,,,34.14M,,,13.78M,13.78M,0.724M,,,,,,15.59M,15.59M,-18.53M,,-10.87M,,-10.87M,,-57.51M,3.737M,-64.64M,,,,-3.361M,0.25M,0.00,0.25M,,,,0.442M,-2.669M,,129.84M,-85.84M,,44.00M,,0.25M,,,0.00,,,
1998-09,-26.77M,,,,,,15.01M,15.01M,-0.724M,,,,,,-36.92M,-36.92M,-49.40M,,-6.268M,,-6.268M,,173.65M,2.613M,169.99M,,,,-3.03M,3.709M,-3.937M,-0.228M,,,,-1.005M,-4.263M,,13.51M,116.33M,,129.84M,,3.709M,,,-3.937M,,,
1998-06,-65.89M,,,91.54M,,,13.90M,13.90M,-27.66M,,,,,,7.876M,63.50M,75.39M,,-19.76M,,-19.76M,9.00M,-227.51M,-15.53M,-253.80M,,,,-7.252M,5.058M,,5.058M,,,,,-2.194M,,194.12M,-180.61M,,13.51M,,5.058M,,,,,,
1998-03,-70.11M,,,12.10M,,,16.26M,16.26M,-0.024M,,,,,17.60M,-7.876M,-7.876M,-32.05M,,-7.547M,,-7.547M,-9.00M,269.48M,-42.77M,210.17M,,,,-6.129M,1.048M,,1.048M,,,,,-5.081M,,21.10M,173.04M,,194.12M,,1.048M,,,,,,
1997-12,3.572M,,,,,,16.95M,16.95M,2.00M,,,,,-17.60M,-16.07M,-16.07M,-11.15M,,-9.809M,,-9.809M,,31.35M,-0.068M,21.48M,,,,-8.726M,4.867M,,4.867M,,,,,-3.859M,,14.60M,6.47M,,21.10M,,4.867M,,,,,,
1997-09,-12.17M,,,,,,15.15M,15.15M,,,,,,,16.07M,16.07M,19.05M,,-13.09M,,-13.09M,,-402.15M,-1.232M,-416.48M,,,,261.93M,9.233M,,9.233M,,,,,271.16M,,140.87M,-126.27M,,14.60M,,9.233M,,,,,,
1997-06,-4.434M,,,,,,8.309M,8.309M,-21.34M,,,,,-89.70M,,85.13M,-22.03M,,8.852M,,8.852M,,120.48M,-0.195M,129.14M,,,,15.69M,3.046M,,3.046M,,,,-0.10M,18.64M,,24.20M,125.75M,,125.72M,,3.046M,,,,,,
1997-03,-42.30M,,,,,,21.63M,21.63M,-2.015M,,,,,89.70M,-55.83M,-55.83M,11.18M,,-11.09M,,-11.09M,,-15.67M,-4.858M,-31.62M,,,,-0.169M,3.452M,,3.452M,,,,0.10M,3.383M,,17.03M,-17.06M,,24.20M,,3.452M,,,,,,
1996-12,2.493M,,,,,,11.14M,11.14M,-1.085M,,,,,,55.25M,55.25M,67.80M,,-7.108M,,-7.108M,,-35.87M,-5.889M,-48.86M,,,,-30.34M,5.504M,,5.504M,,,,,-24.83M,,22.93M,-5.896M,,17.03M,,5.504M,,,,,,
1996-09,10.61M,,,,,,12.02M,12.02M,,,,,,,0.585M,0.585M,23.22M,,-30.20M,,-30.20M,,-39.86M,-0.753M,-70.82M,,,,6.204M,1.444M,,1.444M,,,,,7.648M,,62.88M,-39.95M,,22.93M,,1.444M,,,,,,
1996-06,43.30M,,,,,,12.01M,12.01M,,,,,,,68.81M,-61.89M,-29.28M,,-20.49M,,-20.49M,,63.23M,-19.03M,23.71M,,,,26.46M,44.87M,,41.37M,,,,1.828M,69.65M,,21.18M,64.09M,,87.10M,,44.87M,,,,,,
1996-03,38.65M,,,,,,8.484M,8.484M,,,,,,,-20.91M,-20.91M,26.22M,,-29.38M,,-29.38M,,-26.50M,17.06M,-38.81M,,,,13.20M,3.734M,,3.734M,,,,-0.947M,15.98M,,17.78M,3.398M,,21.18M,,3.734M,,,,,,
1995-12,33.48M,,,,,,7.65M,7.65M,,,,,,,-35.33M,-35.33M,5.797M,,-4.53M,,-4.53M,,7.163M,-2.263M,0.37M,,,,-0.614M,0.381M,,0.381M,,,,-0.681M,-0.914M,,12.53M,5.253M,,17.78M,,0.381M,,,,,,
1995-09,30.47M,,,,,,7.153M,7.153M,,,,,,,-12.57M,-12.57M,25.05M,,-18.21M,,-18.21M,,-29.60M,-2.47M,-50.27M,,,,-6.541M,0.618M,,0.618M,,,,,-5.923M,,43.68M,-31.14M,,12.53M,,0.618M,,,,,,
1995-06,30.41M,,,,,,8.132M,8.132M,,,,,,73.80M,,,18.70M,,-12.90M,,-12.90M,,,3.374M,-67.77M,,,,-1.238M,2.392M,,2.392M,,,,,1.154M,,91.70M,-47.92M,,43.68M,,2.392M,,,,,,
1995-03,24.80M,,,,,,5.60M,5.60M,,,,,,-21.60M,,,8.80M,,-25.30M,,-25.30M,,,0.50M,-24.80M,,,,8.80M,2.70M,,2.70M,,,,0.10M,11.60M,,96.10M,-4.40M,,91.70M,,2.70M,,,,,,
1994-12,18.90M,,,18.60M,,,4.90M,4.90M,,,,,,-52.10M,,,-9.70M,,-12.60M,,-12.60M,,,-4.20M,-16.80M,,,,-1.60M,11.70M,,11.70M,,,,-0.10M,10.00M,,112.50M,-16.50M,,96.10M,,11.70M,,,,,,
1994-09,15.10M,,,-18.60M,,,4.90M,4.90M,,,,,,-0.10M,,,1.30M,,-12.60M,,-12.60M,,,-2.70M,-15.30M,,,,-2.90M,105.30M,,105.30M,,,,,102.40M,,24.10M,88.40M,,112.50M,,105.30M,,,,,,
1994-06,11.70M,,,37.90M,,,7.40M,7.40M,,,,,,,,,7.10M,,-3.10M,,-3.10M,,,5.20M,-22.00M,,,,-3.90M,2.70M,,2.70M,,,,0.10M,-1.10M,,40.20M,-16.00M,,24.10M,,2.70M,,,,,,
1994-03,9.50M,,,-13.80M,,,3.40M,3.40M,,,,,,0.10M,,,-0.80M,,0.00,,0.00,,,-6.50M,-6.50M,,,,0.20M,-1.20M,,-1.20M,,,,0.00,-1.00M,,0.00,-8.30M,,40.20M,,-1.20M,,,,,,
1993-12,8.60M,,,-11.70M,,,3.70M,3.70M,,,,,,-0.10M,,,0.50M,,-8.80M,,-8.80M,,,1.00M,-7.80M,,,,2.40M,0.40M,,0.40M,,,,-0.10M,2.70M,,0.00,-4.60M,,0.00,,0.40M,,,,,,
1993-09,8.00M,,,-12.40M,,,3.90M,3.90M,,,,,,,,,-0.50M,,-7.10M,,-7.10M,,,-7.60M,-14.70M,,,,0.20M,0.80M,,0.80M,,,,,1.00M,,67.30M,-14.20M,,0.00,,0.80M,,,,,,
1993-06,6.30M,,,23.70M,,,3.90M,3.90M,,,,,,,,,-7.30M,,-4.50M,,-4.50M,,,-2.80M,-7.30M,,,,66.70M,0.80M,,0.80M,,,,,67.60M,,0.00,53.00M,,0.00,,0.80M,,,,,,
1993-03,5.50M,,,-9.10M,,,3.20M,3.20M,,,,,,,,,-0.40M,,-4.50M,,-4.50M,,,0.60M,-3.90M,,,,-1.70M,0.60M,,0.60M,,,,,-1.10M,,0.00,-5.40M,,0.00,,0.60M,,,,,,
1992-12,4.00M,,,-6.90M,,,2.90M,2.90M,,,,,,,,,0.00,,-3.50M,,-3.50M,,,-0.10M,-3.60M,,,,-0.50M,0.80M,,0.80M,,,,,0.30M,,0.00,-3.30M,,0.00,,0.80M,,,,,,
1992-09,3.10M,,,-7.70M,,,2.70M,2.70M,,,,,,,,,-1.90M,,-1.70M,,-1.70M,,,-0.40M,-2.10M,,,,0.90M,0.20M,,0.20M,,,,,1.10M,,25.80M,-2.90M,,0.00,,0.20M,,,,,,
1992-06,3.10M,,,19.40M,,,2.40M,2.40M,,,,,,0.00,,,8.70M,,-4.50M,,-4.50M,,,0.00,-4.50M,,,,-5.20M,0.40M,,0.40M,,,,0.10M,-4.70M,,0.00,-0.50M,,0.00,,0.40M,,,,,,
1992-03,2.40M,,,-11.90M,,,2.40M,2.40M,,,,,,0.10M,,,-7.00M,,-1.00M,,-1.00M,,,-0.20M,-1.20M,,,,-12.00M,33.90M,,33.90M,,,,,21.90M,,0.00,13.70M,,0.00,,33.90M,,,,,,
1991-12,2.30M,,,0.70M,,,2.20M,2.20M,,,,,,0.10M,,,5.30M,,-1.50M,,-1.50M,,,0.10M,-1.40M,,,,-4.10M,1.00M,,1.00M,,,,0.10M,-3.00M,,0.00,0.90M,,0.00,,1.00M,,,,,,
1991-09,2.10M,,,-8.20M,,,1.80M,1.80M,,,,,,-0.10M,,,-4.40M,,-1.90M,,-1.90M,,,-0.10M,-2.00M,,,,6.20M,,,,,,,-0.10M,6.10M,,12.10M,-0.30M,,0.00,,,,,,,,
1991-06,1.90M,,,11.40M,,,1.70M,1.70M,,,,,,-0.10M,,,2.70M,,-2.90M,,-2.90M,,,0.10M,-2.80M,,,,2.00M,0.30M,,0.30M,,,,,2.40M,,0.00,2.30M,,0.00,,0.30M,,,,,,
1991-03,1.60M,,,1.00M,,,1.20M,1.20M,,,,,,0.10M,,,3.90M,,-3.30M,,-3.30M,,,-0.30M,-3.60M,,,,-0.90M,0.20M,,0.20M,,,,,-0.70M,,0.00,-0.40M,,0.00,,0.20M,,,,,,
1990-12,1.40M,,,-2.20M,,,1.30M,1.30M,,,,,,,,,0.50M,,-4.50M,,-4.50M,,,0.10M,-4.40M,,,,3.80M,,,,,,,,3.80M,,0.00,-0.10M,,0.00,,,,,,,,
1990-09,1.20M,,,-10.00M,,,1.30M,1.30M,,,,,,,,,-7.50M,,-2.30M,,-2.30M,,,0.10M,-2.20M,,,,4.40M,,,,,,,,4.40M,,15.60M,-5.30M,,0.00,,,,,,,,
1990-06,-14.60M,,,17.20M,,,1.30M,1.30M,,,,,,,,,-2.40M,,-4.00M,,-4.00M,,,0.20M,-3.80M,,,,3.30M,0.50M,,0.50M,,,,,3.80M,,0.00,-2.40M,,0.00,,0.50M,,,,,,
1990-03,1.10M,,,-1.10M,,,1.00M,1.00M,,,,,,0.10M,,,1.10M,,-2.60M,,-2.60M,,,-0.10M,-2.70M,,,,-0.30M,0.10M,,0.10M,,,,,-0.20M,,0.00,-1.80M,,0.00,,0.10M,,,,,,
1989-12,2.40M,,,-4.10M,,,1.20M,1.20M,,,,,,-0.10M,,,-0.60M,,-1.70M,,-1.70M,,,,-1.70M,,,,0.90M,0.30M,,0.30M,,,,,1.20M,,0.00,-1.10M,,0.00,,0.30M,,,,,,
1989-09,2.30M,,,2.50M,,,1.10M,1.10M,,,,,,,,,5.90M,,-1.60M,,-1.60M,,,,-1.60M,,,,-3.10M,5.20M,,5.20M,,,,,2.10M,,14.60M,6.40M,,0.00,,5.20M,,,,,,
