,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-08,1.33B,36.00M,-124.00M,-88.00M,,383.00M,383.00M,0.00,,8.00M,-32.00M,9.00M,14.00M,,27.00M,,,-633.00M,-583.00M,1.018B,,-167.00M,0.00,-167.00M,,,23.00M,-144.00M,,-426.00M,-532.00M,-958.00M,0.00,-69.00M,-69.00M,-196.00M,-196.00M,,3.00M,-1.22B,,900.00M,-346.00M,14.00M,568.00M,,0.00,0.00,-426.00M,-69.00M,,,AOR,Restated
2012-05,14.00M,,145.00M,145.00M,,376.00M,376.00M,0.00,,8.00M,-7.00M,-13.00M,-3.00M,,31.00M,,,585.00M,600.00M,1.136B,,-1.73B,0.00,-1.73B,,,522.00M,-1.208B,,731.00M,5.00M,736.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-9.00M,533.00M,,471.00M,461.00M,-32.00M,900.00M,,0.00,946.00M,-215.00M,0.00,,,AOR,Restated
2012-02,-139.00M,,-21.00M,-21.00M,,376.00M,376.00M,173.00M,,14.00M,41.00M,-16.00M,-4.00M,,-62.00M,,,-40.00M,-122.00M,322.00M,,-267.00M,46.00M,-221.00M,,,-27.00M,-248.00M,,-112.00M,257.00M,145.00M,0.00,0.00,0.00,-194.00M,-194.00M,,-1.00M,-50.00M,,450.00M,24.00M,-3.00M,471.00M,,0.00,0.00,-112.00M,0.00,,,AOR,Restated
2011-11,,,,,,385.00M,385.00M,0.00,,7.00M,-1.716B,93.00M,-18.00M,-39.00M,118.00M,,-269.00M,,135.00M,750.00M,,-261.00M,,-261.00M,,,25.00M,-236.00M,,485.00M,-615.00M,-130.00M,,-166.00M,-166.00M,,-197.00M,,8.00M,-485.00M,,430.00M,29.00M,-9.00M,450.00M,,,714.00M,-229.00M,-166.00M,,,AOR,Restated
2011-08,,,,,,390.00M,390.00M,0.00,0.00,10.00M,1.369B,3.00M,-1.00M,7.00M,-25.00M,,-538.00M,,-554.00M,1.215B,,-813.00M,,-813.00M,,,28.00M,-785.00M,,-701.00M,636.00M,-65.00M,,-288.00M,-288.00M,,-197.00M,,1.00M,-549.00M,,557.00M,-119.00M,-8.00M,430.00M,,,0.00,-701.00M,-288.00M,,,AOR,Restated
2011-05,,,,,,380.00M,380.00M,0.00,,12.00M,214.00M,-50.00M,-16.00M,36.00M,62.00M,,751.00M,,783.00M,1.389B,,-1.45B,,-1.45B,,,-17.00M,-1.467B,,805.00M,-408.00M,397.00M,,,,,-198.00M,,-28.00M,171.00M,,465.00M,93.00M,-1.00M,557.00M,,,1.053B,-185.00M,,,,AOR,Restated
2011-02,,,,,,367.00M,367.00M,0.00,,17.00M,154.00M,-71.00M,-19.00M,-4.00M,-88.00M,,56.00M,,-126.00M,412.00M,,-172.00M,,-172.00M,,,14.00M,-158.00M,,-135.00M,-63.00M,-198.00M,,,,,-79.00M,,47.00M,-230.00M,,429.00M,24.00M,12.00M,465.00M,,,-63.00M,-135.00M,,,,AOR,Restated
2010-11,1.978B,,,,,367.00M,367.00M,,,10.00M,-1.724B,150.00M,-25.00M,41.00M,-134.00M,,-281.00M,352.00M,103.00M,734.00M,,-741.00M,,-741.00M,,,-24.00M,-765.00M,,515.00M,-480.00M,35.00M,11.00M,-10.00M,1.00M,,-79.00M,,-34.00M,-77.00M,,527.00M,-108.00M,10.00M,429.00M,,11.00M,179.00M,-770.00M,-10.00M,,,AOR,Restated
2010-08,,,,,,355.00M,355.00M,,,10.00M,1.306B,64.00M,11.00M,-44.00M,72.00M,,-484.00M,,-381.00M,1.29B,,-670.00M,,-670.00M,,,28.00M,-642.00M,,-1.109B,404.00M,-705.00M,217.00M,-209.00M,8.00M,,-79.00M,,24.00M,-752.00M,,594.00M,-104.00M,37.00M,527.00M,,217.00M,300.00M,-303.00M,-209.00M,,,AOR,Restated
2010-05,-175.00M,,,,,349.00M,349.00M,,,8.00M,434.00M,-66.00M,14.00M,8.00M,42.00M,,760.00M,24.00M,782.00M,1.398B,,-999.00M,,-999.00M,,,21.00M,-978.00M,,-385.00M,-107.00M,-492.00M,255.00M,-246.00M,9.00M,,-79.00M,,11.00M,-551.00M,,753.00M,-131.00M,-28.00M,594.00M,,255.00M,258.00M,-643.00M,-246.00M,,,AOR,Restated
