,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-08,879.00M,,,315.00M,315.00M,,,-28.55B,,,,,,13.98B,-13.38B,,-77.00M,,-77.00M,-94.00M,,94.00M,-77.00M,,3.858B,9.624B,13.48B,,,-303.00M,,,,-124.00M,,107.00M,13.16B,,8.041B,-291.00M,7.75B,,,5.855B,-1.997B,,,,,,
2004-05,1.187B,,,97.00M,97.00M,,,2.599B,,,,,,-1.275B,2.608B,,-15.00M,,-15.00M,94.00M,,-94.00M,-15.00M,,3.629B,-4.91B,-1.281B,,,-279.00M,,,,-123.00M,,181.00M,-1.502B,,6.95B,1.091B,8.041B,,,6.724B,-3.095B,,,,,,
2004-02,1.293B,,,222.00M,222.00M,,,-1.16B,,,,,,-15.34B,-14.98B,,-213.00M,,-213.00M,-94.00M,,,-307.00M,,12.56B,2.964B,15.52B,,,-306.00M,,,,-125.00M,,57.00M,15.15B,,7.087B,-137.00M,6.95B,,,15.29B,-2.729B,,,,,,
2003-11,971.00M,22.94B,22.94B,601.00M,601.00M,,,-7.237B,,,,,,-17.24B,126.00M,,-484.00M,,-484.00M,-425.00M,1.685B,,776.00M,,2.892B,-3.235B,-343.00M,,,-80.00M,,,,-119.00M,,86.00M,-456.00M,,6.641B,446.00M,7.087B,,,5.605B,-2.713B,,,,,,
2003-08,677.00M,-22.94B,-22.94B,170.00M,170.00M,,,-13.47B,,,,,,31.86B,-3.703B,,-116.00M,,-116.00M,-296.00M,-1.685B,1.311B,-786.00M,,6.838B,-2.739B,4.099B,,,-204.00M,,,,-118.00M,,145.00M,3.922B,,7.208B,-567.00M,6.641B,,,7.61B,-772.00M,,,,,,
2003-05,695.00M,,,185.00M,185.00M,,,26.70B,,,,,,-32.61B,-5.032B,,-143.00M,,-143.00M,,,91.00M,-52.00M,,7.334B,683.00M,8.017B,,,-257.00M,,,,-56.00M,,,7.704B,,4.588B,2.62B,7.208B,,,8.97B,-1.636B,,,,,,
2003-02,662.00M,,,189.00M,189.00M,,,-12.65B,,,,,,3.672B,-8.13B,,-113.00M,,-113.00M,,,-1.402B,-1.515B,,3.703B,6.02B,9.723B,,,-255.00M,,,,-57.00M,,,9.411B,,4.822B,-234.00M,4.588B,,,6.053B,-2.35B,,,,,,
2002-11,505.00M,,,199.00M,199.00M,,,-18.00M,,,,,,8.131B,9.047B,,-178.00M,,-178.00M,0.00,,19.00M,-159.00M,,-4.46B,-2.855B,-7.315B,,,-383.00M,,,,-57.00M,,,-7.755B,,3.689B,1.133B,4.822B,,,2.759B,-7.219B,,,,,,
2002-08,522.00M,,,192.00M,192.00M,,,503.00M,,,,,,-17.45B,-16.24B,,-523.00M,,-523.00M,-68.00M,,7.00M,-584.00M,,2.824B,11.84B,14.67B,,,-400.00M,,,,-58.00M,,,14.21B,,6.302B,-2.613B,3.689B,,,2.915B,-91.00M,,,,,,
2002-05,563.00M,,,185.00M,185.00M,,,631.00M,,,,,,-525.00M,854.00M,,-101.00M,,-101.00M,,,-76.00M,-177.00M,,879.00M,-3.489B,-2.61B,,,-349.00M,,,,-56.00M,,1.663B,-1.352B,,6.977B,-675.00M,6.302B,,,7.066B,-6.187B,,,,,,
2002-02,524.00M,,,168.00M,168.00M,,,-2.037B,,,,,,-2.396B,-3.741B,,-206.00M,,-206.00M,,,23.00M,-183.00M,,5.139B,856.00M,5.995B,,,-283.00M,,,,-57.00M,,-1.663B,3.992B,,6.909B,68.00M,6.977B,,,,5.139B,,,,,,
2001-11,497.00M,,,242.00M,242.00M,,,989.00M,,,,,,6.148B,7.928B,,-234.00M,,-234.00M,-43.00M,,63.00M,-214.00M,,-2.264B,-2.834B,-5.098B,,,-281.00M,,,,-57.00M,,,-5.436B,,4.631B,2.278B,6.909B,,,1.80B,-4.064B,,,,,,
2001-08,468.00M,,,226.00M,226.00M,,,339.00M,,,,,,9.006B,10.04B,,-291.00M,,-291.00M,-187.00M,,-299.00M,-777.00M,,1.117B,-8.778B,-7.661B,,,-518.00M,,,,-58.00M,,,-8.237B,,3.606B,1.025B,4.631B,,,1.261B,-144.00M,,,,,,
2001-05,577.00M,,,209.00M,209.00M,,,345.00M,,,,,,-12.78B,-11.65B,,-347.00M,,-347.00M,-84.00M,,41.00M,-390.00M,,2.136B,9.049B,11.18B,,,-261.00M,,,,-58.00M,,,10.87B,,4.784B,-1.178B,3.606B,,,2.136B,,,,,,,
2001-02,768.00M,,,196.00M,196.00M,,,-2.395B,,,,,,-2.017B,-3.448B,,-498.00M,,-498.00M,,,-30.00M,-528.00M,,1.497B,3.824B,5.321B,,,-373.00M,,,,-58.00M,,,4.89B,,3.87B,914.00M,4.784B,,,1.497B,,,,,,,
2000-11,601.00M,,,164.00M,164.00M,,,1.162B,,,,,,5.057B,6.632B,,-2.55B,,-2.55B,,,2.00M,-2.548B,,-8.376B,5.762B,-2.614B,,,-582.00M,,,,-54.00M,,,-3.25B,,3.036B,834.00M,3.87B,,,2.903B,-11.28B,,,,,,
2000-08,824.00M,,,119.00M,119.00M,,,15.73B,,,,,,-11.94B,4.73B,,-407.00M,,-407.00M,,,-288.00M,-695.00M,,4.967B,-9.883B,-4.916B,,,-10.00M,,,,-55.00M,,,-4.981B,,3.982B,-946.00M,3.036B,,,4.986B,-19.00M,,,,,,
2000-05,755.00M,,,102.00M,102.00M,,,-13.60B,,,,,,7.905B,-4.838B,,-291.00M,,-291.00M,,,119.00M,-172.00M,,2.875B,3.394B,6.269B,,,-55.00M,,,,-54.00M,,,6.16B,,2.832B,1.15B,3.982B,,,3.165B,-290.00M,,,,,,
2000-02,887.00M,,,101.00M,101.00M,,,-1.081B,,,,,,-4.824B,-4.917B,,-292.00M,,-292.00M,,,51.00M,-241.00M,,4.988B,1.00M,4.989B,,,,,,,-54.00M,,,4.935B,,3.055B,-223.00M,2.832B,,,5.006B,-18.00M,,,,,,
1999-11,723.00M,,,108.00M,108.00M,1.00M,,-15.33B,,,,,,7.213B,-7.282B,,-475.00M,,-475.00M,,,70.00M,-405.00M,,1.721B,4.339B,6.06B,,,-6.00M,,,,-54.00M,,2.842B,8.842B,,1.90B,1.155B,3.055B,,,1.902B,-181.00M,,,,,,
1999-08,638.00M,,,71.00M,71.00M,751.00M,,-4.629B,,,,,,-652.00M,-3.821B,,-172.00M,,-172.00M,,,-24.00M,-196.00M,,1.827B,3.443B,5.27B,,,0.00,,,,-53.00M,,-2.842B,2.375B,,0.00,-1.642B,1.90B,,,2.098B,-271.00M,,,,,,
1999-05,340.00M,,,61.00M,61.00M,-2.139B,,12.54B,-260.00M,5.44B,,,-5.966B,-9.884B,917.00M,,-93.00M,,-93.00M,,-58.00M,143.00M,-8.00M,,5.979B,-5.29B,689.00M,,,2.639B,,,,,,-4.04B,-712.00M,,3.345B,197.00M,0.00,,,2.532B,3.447B,,,,,,
1999-02,1.007B,,,97.00M,97.00M,,,-4.293B,260.00M,-5.44B,,,5.966B,786.00M,-2.403B,,-103.00M,,-103.00M,,58.00M,,-45.00M,,720.00M,2.567B,3.287B,,,,,,,0.00,,-330.00M,2.957B,,2.836B,509.00M,3.345B,,,4.468B,-3.748B,,,,,AOR,
