,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-09,44.20B,44.20B,25.56B,5.593B,31.16B,261.21B,,,,9.484B,3.643B,1.816B,5.459B,,,,372.12B,,387.06B,948.91B,,219.32B,,219.32B,,219.32B,54.63B,54.63B,54.63B,579.57B,217.67B,,217.67B,41.80B,,,259.47B,878.82B,,3.108B,58.04B,45.34B,41.37B,3.10B,,,-314.00M,70.09B,,AOR,Restated
2011-06,45.43B,45.43B,100.64B,4.917B,105.55B,313.27B,,,,9.743B,3.323B,1.864B,5.187B,,,,371.74B,,386.68B,936.91B,,209.79B,,209.79B,,209.79B,56.55B,56.55B,56.55B,571.44B,209.73B,,209.73B,39.00B,,,248.73B,864.55B,,3.108B,58.66B,44.96B,39.22B,3.10B,,,-347.00M,72.36B,,AOR,Restated
2011-03,42.68B,42.68B,94.37B,5.021B,99.39B,304.17B,,,,10.18B,3.322B,1.916B,5.238B,,,,375.97B,,391.39B,933.29B,,193.40B,,193.40B,,193.40B,53.75B,53.75B,53.75B,563.62B,210.71B,,210.71B,38.73B,,,249.43B,860.82B,,3.108B,57.80B,44.85B,37.72B,3.10B,,,-330.00M,72.47B,,AOR,Restated
2010-12,39.79B,39.79B,81.89B,6.239B,88.13B,316.27B,,,,11.11B,3.495B,2.027B,5.522B,,,,358.40B,,375.03B,911.33B,,190.50B,2.042B,192.55B,4.65B,197.20B,47.84B,47.84B,47.84B,407.38B,212.78B,,212.78B,38.57B,9.54B,,260.88B,833.98B,,6.965B,57.16B,42.10B,36.30B,6.957B,,,-286.00M,77.36B,,AOR,Restated
2010-09,88.32B,88.32B,61.39B,15.92B,77.32B,343.74B,,,,,,,,,,,351.80B,,380.87B,908.68B,,189.85B,,189.85B,,189.85B,43.95B,43.95B,43.95B,233.80B,185.12B,,185.12B,38.44B,,,378.78B,833.02B,,6.965B,55.14B,41.78B,35.20B,6.957B,,,-284.00M,75.66B,,AOR,Restated
2010-06,89.02B,89.02B,57.26B,13.48B,70.75B,329.04B,,,,,,,,,,,334.87B,,364.07B,883.19B,,190.28B,,190.28B,,190.28B,39.12B,39.12B,39.12B,229.40B,178.58B,,178.58B,37.02B,,,362.78B,809.37B,,6.965B,53.60B,41.60B,34.39B,6.957B,,,-318.00M,73.82B,,AOR,Restated
2010-03,70.12B,70.12B,,,71.44B,307.93B,,,,,,,,,,,339.44B,,369.76B,880.53B,,,,185.75B,29.73B,215.48B,40.78B,40.78B,40.78B,409.78B,180.41B,,180.41B,38.43B,,,358.93B,807.58B,,6.965B,53.34B,41.44B,34.39B,6.957B,,,-356.00M,72.94B,,AOR,Restated
2009-12,38.29B,38.29B,71.65B,7.937B,79.58B,262.15B,,,,11.38B,3.543B,1.377B,4.92B,,,,343.89B,,360.19B,848.94B,,185.63B,,185.63B,,185.63B,37.52B,37.52B,37.52B,480.53B,185.08B,,185.08B,39.42B,,,224.50B,778.23B,,6.965B,50.25B,39.77B,32.16B,6.957B,,,-362.00M,70.71B,,AOR,Restated
2009-09,65.97B,65.97B,,,69.94B,278.50B,,,,,,,,,,,352.19B,,381.87B,882.18B,,,,187.20B,35.95B,223.15B,38.56B,38.56B,38.56B,388.74B,189.72B,,189.72B,42.43B,,,382.54B,816.83B,,6.965B,45.66B,39.52B,32.16B,6.957B,,,-240.00M,65.35B,,AOR,Restated
2009-06,75.99B,75.99B,,,72.32B,286.64B,,,,,,,,,,,355.25B,,384.36B,889.54B,,,,196.38B,,196.38B,35.17B,35.17B,35.17B,231.55B,191.24B,,191.24B,41.46B,,,380.00B,826.73B,,6.964B,42.83B,40.34B,32.16B,6.957B,,,-350.00M,62.81B,,AOR,Restated
2009-03,105.00B,105.00B,,,70.49B,318.64B,,,,,,,,,,,349.59B,,378.40B,925.29B,,,,220.02B,24.75B,244.77B,44.60B,44.60B,44.60B,422.76B,188.53B,,188.53B,44.50B,,,380.26B,861.74B,,16.51B,40.37B,34.43B,32.16B,16.51B,,,-357.00M,63.55B,,AOR,Restated
2008-11,122.40B,122.40B,,,95.34B,339.77B,,,,10.79B,,,5.052B,,,,339.78B,,363.98B,884.55B,,,,253.84B,23.22B,277.06B,52.66B,52.66B,52.66B,392.60B,168.22B,,168.22B,27.64B,,,371.84B,820.18B,,16.48B,39.91B,31.07B,32.18B,16.47B,,,-202.00M,64.37B,,,Restated
2008-08,12.16B,12.16B,,,25.88B,173.46B,,,,10.72B,,,5.233B,,,,304.44B,,725.70B,1.082T,,,,358.19B,,358.19B,64.65B,64.65B,64.65B,801.73B,176.37B,,176.37B,29.05B,,,205.42B,1.036T,,3.106B,42.30B,23.60B,32.18B,3.10B,,,8.771B,45.60B,,,
2008-05,13.78B,13.78B,,,27.37B,172.05B,,,,10.52B,,,5.295B,,,,300.25B,,731.28B,1.088T,,,,346.38B,,346.38B,71.18B,71.18B,71.18B,803.68B,182.05B,,182.05B,29.52B,,28.08B,211.57B,1.015T,,3.106B,41.65B,23.46B,31.91B,3.10B,56.00M,8.461B,8.517B,44.82B,,,
2008-02,12.72B,12.72B,,,35.79B,156.31B,,,,10.06B,,,5.22B,,,,295.90B,,814.29B,1.189T,,,,349.20B,,349.20B,72.79B,72.79B,72.79B,909.80B,179.48B,,179.48B,26.96B,,7.687B,206.44B,1.139T,,3.106B,39.75B,23.31B,31.71B,3.10B,77.00M,8.101B,8.178B,42.63B,,,
2007-11,11.88B,11.88B,,,22.89B,120.49B,,,,8.975B,,,5.092B,,,,279.43B,,750.27B,1.120T,,,,318.45B,,318.45B,71.56B,71.56B,71.56B,858.54B,164.17B,,164.17B,15.37B,,7.265B,179.54B,1.070T,,3.106B,38.64B,22.03B,30.16B,3.10B,68.00M,9.116B,9.184B,42.80B,,,
2007-08,12.66B,12.66B,,,23.30B,116.45B,,,,8.419B,,,5.476B,,,,695.36B,,715.16B,1.046T,,276.41B,1.541B,277.95B,,277.95B,66.28B,66.28B,66.28B,799.14B,151.07B,,151.07B,14.09B,,8.907B,165.16B,997.75B,,3.106B,35.63B,21.36B,27.50B,3.10B,,,6.519B,39.12B,,,
