,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-12,426.00M,77.00M,503.00M,1.551B,231.00M,1.782B,1.021B,860.00M,1.783B,298.00M,347.00M,,4.713B,0.00,799.00M,3.265B,475.00M,4.539B,-2.698B,1.841B,362.00M,223.00M,585.00M,588.00M,491.00M,301.00M,3.806B,8.519B,1.009B,,1.009B,1.561B,2.57B,,,,,69.00M,,69.00M,,,,2.639B,629.00M,,629.00M,,745.00M,745.00M,,1.026B,,250.00M,,,2.40B,5.039B,1.732B,3.288B,,715.00M,,-5.00M,-798.00M,,-272.00M,-1.075B,3.23B
2008-09,572.00M,83.00M,655.00M,2.303B,,2.303B,1.126B,958.00M,1.991B,191.00M,308.00M,,5.448B,,,,,4.484B,-2.744B,1.74B,577.00M,,577.00M,,630.00M,590.00M,3.537B,8.985B,1.446B,,1.446B,1.452B,2.898B,,,,,80.00M,,80.00M,,,,2.978B,587.00M,,587.00M,,,,,,,253.00M,,1.275B,1.862B,4.84B,1.784B,3.281B,,711.00M,,,,,,-462.00M,3.892B
2008-06,522.00M,107.00M,629.00M,2.377B,,2.377B,1.075B,945.00M,1.924B,186.00M,296.00M,,5.412B,,,,,4.443B,-2.743B,1.70B,572.00M,,572.00M,,642.00M,629.00M,3.543B,8.955B,1.46B,,1.46B,1.405B,2.865B,,,,,71.00M,,71.00M,,,,2.936B,586.00M,,586.00M,,,,,,,309.00M,,1.292B,1.878B,4.814B,1.734B,3.087B,,634.00M,,,,,,-355.00M,3.832B
2008-03,446.00M,108.00M,554.00M,2.224B,,2.224B,1.096B,868.00M,1.877B,189.00M,288.00M,,5.132B,,,,,4.377B,-2.705B,1.672B,555.00M,,555.00M,,678.00M,588.00M,3.493B,8.625B,1.454B,,1.454B,1.289B,2.743B,,,,,119.00M,,119.00M,,,,2.862B,578.00M,,578.00M,,,,,,,313.00M,,1.264B,1.842B,4.704B,1.726B,2.82B,,603.00M,,,,,,-335.00M,3.608B
2007-12,577.00M,120.00M,697.00M,1.998B,,1.998B,1.007B,770.00M,1.692B,152.00M,276.00M,,4.815B,0.00,784.00M,3.247B,282.00M,4.313B,-2.668B,1.645B,365.00M,173.00M,538.00M,,271.00M,926.00M,3.38B,8.195B,1.263B,,1.263B,1.219B,2.482B,,,,,119.00M,,119.00M,110.00M,110.00M,,2.711B,555.00M,,555.00M,,,,,,,293.00M,,1.227B,1.782B,4.493B,551.00M,2.66B,1.168B,593.00M,,,,,,-377.00M,3.409B
2007-09,624.00M,120.00M,744.00M,2.025B,,2.025B,1.024B,824.00M,1.77B,143.00M,265.00M,,4.947B,,,,,4.194B,-2.65B,1.544B,371.00M,160.00M,531.00M,,366.00M,644.00M,3.085B,8.032B,1.345B,,1.345B,1.244B,2.589B,,,,,115.00M,,115.00M,,,,2.704B,549.00M,,549.00M,,,,,,,275.00M,,1.309B,1.858B,4.562B,276.00M,2.488B,1.426B,469.00M,,,,,,-526.00M,3.195B
2007-06,626.00M,105.00M,731.00M,2.071B,,2.071B,970.00M,757.00M,1.652B,128.00M,270.00M,,4.852B,,,,,4.144B,-2.608B,1.536B,369.00M,148.00M,517.00M,,391.00M,548.00M,2.992B,7.844B,1.329B,,1.329B,1.092B,2.421B,,,,,122.00M,,122.00M,,,,2.543B,544.00M,,544.00M,,,,,,,270.00M,,1.328B,1.872B,4.415B,276.00M,2.329B,1.377B,245.00M,,,,,,-578.00M,3.159B
2007-03,521.00M,69.00M,590.00M,1.917B,,1.917B,913.00M,724.00M,1.563B,119.00M,274.00M,,4.463B,,,,,4.091B,-2.55B,1.541B,369.00M,141.00M,510.00M,,415.00M,519.00M,2.985B,7.448B,1.23B,,1.23B,973.00M,2.203B,,,,,82.00M,,82.00M,,,,2.285B,613.00M,,613.00M,,,,,,,253.00M,,1.36B,1.973B,4.258B,275.00M,2.134B,1.368B,222.00M,,,,,,-618.00M,2.937B
2006-12,840.00M,95.00M,935.00M,1.767B,,1.767B,761.00M,705.00M,1.393B,116.00M,277.00M,,4.488B,0.00,779.00M,3.156B,160.00M,4.095B,-2.521B,1.574B,356.00M,128.00M,484.00M,,433.00M,486.00M,2.977B,7.465B,1.104B,,1.104B,1.131B,2.235B,,,,,164.00M,,164.00M,,,,2.399B,647.00M,,647.00M,,,,,,,254.00M,,1.363B,2.01B,4.409B,137.00M,2.009B,1.50B,212.00M,,,,-25.00M,-607.00M,-632.00M,2.802B
2006-09,1.027B,82.00M,1.109B,1.689B,,1.689B,764.00M,715.00M,1.405B,146.00M,313.00M,,4.662B,,,,,4.06B,-2.515B,1.545B,359.00M,113.00M,472.00M,,400.00M,500.00M,2.917B,7.579B,1.061B,,1.061B,1.30B,2.361B,,,,,248.00M,,248.00M,,,,2.609B,813.00M,,813.00M,,,,,,,240.00M,,1.246B,2.059B,4.668B,137.00M,1.839B,1.495B,167.00M,,,,-27.00M,-606.00M,-633.00M,2.671B
2006-06,878.00M,66.00M,944.00M,1.691B,,1.691B,724.00M,662.00M,1.314B,139.00M,333.00M,,4.421B,,,,,3.972B,-2.453B,1.519B,358.00M,109.00M,467.00M,,444.00M,486.00M,2.916B,7.337B,1.066B,,1.066B,1.281B,2.347B,,,,,265.00M,,265.00M,,,,2.612B,739.00M,,739.00M,,,,,,,236.00M,,1.247B,1.986B,4.598B,137.00M,1.686B,1.487B,154.00M,,,,-53.00M,-600.00M,-653.00M,2.503B
2006-03,676.00M,58.00M,734.00M,1.482B,138.00M,1.62B,693.00M,629.00M,1.251B,118.00M,365.00M,,4.088B,,,,,3.981B,-2.446B,1.535B,358.00M,105.00M,463.00M,,449.00M,462.00M,2.909B,6.997B,1.014B,,1.014B,1.08B,2.094B,,,,,162.00M,,162.00M,,,,2.256B,1.164B,,1.164B,,,,,,,235.00M,,1.364B,2.528B,4.784B,122.00M,1.48B,1.205B,132.00M,,,,-75.00M,-622.00M,-697.00M,1.978B
2005-12,779.00M,61.00M,840.00M,1.423B,,1.423B,607.00M,636.00M,1.174B,116.00M,363.00M,,3.916B,0.00,733.00M,3.071B,137.00M,3.941B,-2.384B,1.557B,358.00M,100.00M,458.00M,,500.00M,454.00M,2.969B,6.885B,904.00M,,904.00M,1.16B,2.064B,,,,,154.00M,,154.00M,,,,2.218B,1.213B,,1.213B,,,,,,,225.00M,,1.365B,2.578B,4.796B,121.00M,1.36B,1.201B,101.00M,,,,-84.00M,-633.00M,-717.00M,1.864B
2005-09,561.00M,53.00M,614.00M,1.538B,,1.538B,628.00M,640.00M,1.198B,97.00M,239.00M,,3.686B,,,,,3.871B,-2.316B,1.555B,,451.00M,451.00M,,689.00M,481.00M,3.176B,6.862B,982.00M,,982.00M,1.146B,2.128B,,,,,100.00M,,100.00M,,,,2.228B,1.252B,,1.252B,,,,,,,221.00M,,1.40B,2.652B,4.88B,121.00M,1.207B,1.195B,65.00M,,,,,,-697.00M,1.761B
2005-06,404.00M,53.00M,457.00M,1.487B,,1.487B,,,1.095B,103.00M,255.00M,,3.397B,,,,,3.861B,-2.284B,1.577B,,449.00M,449.00M,,689.00M,468.00M,3.183B,6.58B,916.00M,,916.00M,1.046B,1.962B,,,,,121.00M,,121.00M,,,,2.083B,1.247B,,1.247B,,,,,,,218.00M,,1.428B,2.675B,4.758B,121.00M,1.076B,1.183B,79.00M,,,,,,-697.00M,1.604B
2005-03,261.00M,48.00M,309.00M,1.437B,,1.437B,599.00M,534.00M,1.065B,102.00M,289.00M,,3.202B,,,,,3.929B,-2.323B,1.606B,,445.00M,445.00M,,689.00M,483.00M,3.223B,6.425B,942.00M,,942.00M,952.00M,1.894B,,,,,113.00M,,113.00M,,,,2.007B,1.255B,,1.255B,,,,,,,216.00M,,1.453B,2.708B,4.715B,121.00M,948.00M,1.176B,83.00M,,,,,,-668.00M,1.494B
2004-12,611.00M,62.00M,673.00M,1.16B,,1.16B,584.00M,500.00M,1.016B,106.00M,301.00M,,3.256B,0.00,744.00M,3.075B,106.00M,3.925B,-2.277B,1.648B,,448.00M,448.00M,,689.00M,469.00M,3.254B,6.51B,823.00M,,823.00M,1.03B,1.853B,,,,,327.00M,,327.00M,,,,2.18B,1.299B,,1.299B,,,,,,,208.00M,,1.422B,2.721B,4.901B,121.00M,866.00M,1.167B,88.00M,,,,,,-665.00M,1.401B
2004-09,421.00M,86.00M,507.00M,1.111B,93.00M,1.204B,557.00M,499.00M,998.00M,,,284.00M,2.993B,,,,,3.776B,-2.206B,1.57B,,444.00M,444.00M,,711.00M,450.00M,3.175B,6.168B,845.00M,,845.00M,972.00M,1.817B,49.00M,,,275.00M,324.00M,,324.00M,,,,2.141B,1.268B,,1.268B,,,,,,,192.00M,,1.284B,2.552B,4.693B,121.00M,760.00M,1.156B,108.00M,,,,-19.00M,-627.00M,-646.00M,1.283B
2004-06,322.00M,86.00M,408.00M,1.099B,101.00M,1.20B,499.00M,493.00M,936.00M,,,287.00M,2.831B,,,,,3.717B,-2.137B,1.58B,,440.00M,440.00M,,663.00M,447.00M,3.13B,5.961B,890.00M,,890.00M,908.00M,1.798B,,,,,257.00M,,257.00M,,,,2.055B,1.299B,,1.299B,,,,,,,185.00M,,1.296B,2.595B,4.65B,121.00M,658.00M,1.134B,157.00M,,,,,,-630.00M,1.126B
2004-03,131.00M,83.00M,214.00M,1.083B,,1.083B,,,863.00M,,,295.00M,2.455B,,,,,3.638B,-2.094B,1.544B,,448.00M,448.00M,,663.00M,478.00M,3.133B,5.588B,765.00M,,765.00M,825.00M,1.59B,,,,,295.00M,,295.00M,,,,1.885B,1.231B,,1.231B,,,,,,,187.00M,,1.275B,2.506B,4.391B,121.00M,588.00M,1.118B,202.00M,,,,,,-615.00M,1.01B
2003-12,108.00M,87.00M,195.00M,929.00M,,929.00M,359.00M,431.00M,733.00M,,,273.00M,2.13B,0.00,597.00M,2.47B,54.00M,3.121B,-1.774B,1.347B,,436.00M,436.00M,,663.00M,550.00M,2.996B,5.126B,557.00M,,557.00M,785.00M,1.342B,,,,,49.00M,,49.00M,,,,1.391B,1.38B,,1.38B,,,,,,,123.00M,,1.283B,2.663B,4.054B,121.00M,569.00M,1.113B,225.00M,,,,,,-629.00M,949.00M
2003-09,80.00M,88.00M,168.00M,953.00M,,953.00M,368.00M,421.00M,733.00M,,,271.00M,2.125B,,,,,2.933B,-1.684B,1.249B,,436.00M,436.00M,,640.00M,536.00M,2.861B,4.986B,593.00M,,593.00M,,593.00M,,,,,9.00M,,9.00M,,,744.00M,1.346B,1.061B,,1.061B,,,,,,,95.00M,292.00M,1.299B,2.652B,3.998B,121.00M,537.00M,1.108B,241.00M,,,,,,-632.00M,893.00M
2003-06,59.00M,71.00M,130.00M,784.00M,120.00M,904.00M,352.00M,430.00M,726.00M,,,280.00M,2.04B,,,,,2.92B,-1.664B,1.256B,,436.00M,436.00M,,640.00M,513.00M,2.845B,4.885B,543.00M,,543.00M,738.00M,1.281B,,,,,41.00M,,41.00M,,,,1.322B,1.035B,,1.035B,,,,,,,91.00M,291.00M,1.30B,2.626B,3.948B,121.00M,526.00M,1.111B,280.00M,,,,,,-632.00M,846.00M
2003-03,66.00M,73.00M,139.00M,863.00M,,863.00M,,,699.00M,,,261.00M,1.962B,0.00,577.00M,2.257B,58.00M,2.892B,-1.623B,1.269B,,436.00M,436.00M,,640.00M,480.00M,2.825B,4.787B,520.00M,,520.00M,226.00M,746.00M,,,,,28.00M,,28.00M,,,463.00M,1.237B,1.067B,,1.067B,,,,,,,95.00M,291.00M,1.296B,2.654B,3.891B,121.00M,530.00M,1.113B,280.00M,,,,,,-683.00M,801.00M
2002-12,224.00M,74.00M,298.00M,805.00M,,805.00M,316.00M,381.00M,641.00M,,,238.00M,1.982B,0.00,580.00M,2.303B,69.00M,2.952B,-1.647B,1.305B,,439.00M,439.00M,,640.00M,471.00M,2.855B,4.837B,427.00M,,427.00M,764.00M,1.191B,,,,,138.00M,,138.00M,,,,1.329B,999.00M,,999.00M,,,,,,,92.00M,291.00M,1.285B,2.575B,3.904B,121.00M,569.00M,1.115B,280.00M,,,,,,-685.00M,841.00M
2002-09,101.00M,,101.00M,1.006B,,1.006B,353.00M,399.00M,696.00M,,,228.00M,2.031B,,,,,2.942B,-1.63B,1.312B,344.00M,96.00M,440.00M,,422.00M,414.00M,2.588B,4.619B,536.00M,,536.00M,609.00M,1.145B,,,,,206.00M,,206.00M,,,,1.351B,795.00M,,795.00M,,,,,,,88.00M,291.00M,1.042B,2.128B,3.479B,121.00M,553.00M,1.114B,280.00M,,,,,,-456.00M,1.052B
2002-06,101.00M,,101.00M,843.00M,,843.00M,387.00M,390.00M,721.00M,,,221.00M,1.886B,,,,,2.959B,-1.614B,1.345B,,443.00M,443.00M,,422.00M,437.00M,2.647B,4.533B,498.00M,,498.00M,590.00M,1.088B,,,,,202.00M,,202.00M,,,,1.29B,789.00M,,789.00M,,,,,,,87.00M,291.00M,1.05B,2.13B,3.42B,121.00M,526.00M,1.123B,280.00M,,,,,,-464.00M,1.026B
2002-03,93.00M,,93.00M,742.00M,,742.00M,,,708.00M,,,199.00M,1.742B,,,,,2.98B,-1.612B,1.368B,,527.00M,527.00M,,422.00M,332.00M,2.649B,4.391B,433.00M,,433.00M,522.00M,955.00M,101.00M,,,134.00M,235.00M,,235.00M,,,,1.19B,784.00M,,784.00M,,,,,,,85.00M,291.00M,1.053B,2.128B,3.318B,121.00M,525.00M,1.125B,281.00M,,,,,,-502.00M,988.00M
2001-12,50.00M,44.00M,94.00M,636.00M,,636.00M,354.00M,385.00M,682.00M,,,209.00M,1.621B,0.00,594.00M,2.255B,164.00M,3.013B,-1.608B,1.405B,,451.00M,451.00M,,429.00M,405.00M,2.69B,4.311B,390.00M,,390.00M,644.00M,1.034B,,,,,30.00M,,30.00M,,,,1.064B,915.00M,,915.00M,,,,,,,84.00M,291.00M,974.00M,2.18B,3.244B,121.00M,536.00M,1.119B,289.00M,,,,,,-504.00M,983.00M
2001-09,115.00M,,115.00M,778.00M,,778.00M,,,743.00M,,,319.00M,1.955B,,,,,3.065B,-1.649B,1.416B,345.00M,376.00M,721.00M,,,336.00M,2.473B,4.428B,423.00M,,423.00M,,423.00M,54.00M,,,8.00M,62.00M,,62.00M,,,632.00M,1.117B,920.00M,,920.00M,,,,,,,81.00M,291.00M,837.00M,2.048B,3.165B,121.00M,577.00M,1.132B,289.00M,,,,,,-359.00M,1.182B
2001-06,104.00M,,104.00M,849.00M,,849.00M,,,711.00M,,,278.00M,1.942B,,,,,3.056B,-1.622B,1.434B,348.00M,378.00M,726.00M,,,350.00M,2.51B,4.452B,430.00M,,430.00M,,430.00M,22.00M,,,8.00M,30.00M,,30.00M,,,690.00M,1.15B,915.00M,,915.00M,,,,,,,82.00M,292.00M,842.00M,2.049B,3.199B,121.00M,586.00M,1.13B,290.00M,,,,,,-376.00M,1.171B
2001-03,94.00M,,94.00M,773.00M,,773.00M,,,759.00M,,,280.00M,1.906B,,,,,3.234B,-1.634B,1.60B,351.00M,381.00M,732.00M,,,357.00M,2.689B,4.595B,439.00M,,439.00M,,439.00M,25.00M,,,9.00M,34.00M,,34.00M,,,682.00M,1.155B,1.255B,,1.255B,,,,,,,78.00M,,835.00M,2.09B,3.245B,121.00M,680.00M,1.132B,291.00M,,,,,,-370.00M,1.272B
2000-12,62.00M,,62.00M,724.00M,,724.00M,420.00M,404.00M,770.00M,,,274.00M,1.83B,0.00,590.00M,2.417B,189.00M,3.196B,-1.598B,1.598B,354.00M,380.00M,734.00M,,,338.00M,2.67B,4.50B,388.00M,,388.00M,660.00M,1.048B,156.00M,,,8.00M,164.00M,,164.00M,,,11.00M,1.223B,1.032B,,1.032B,,,,,,,72.00M,,837.00M,1.869B,3.092B,122.00M,718.00M,1.137B,290.00M,,,,-161.00M,-190.00M,-351.00M,1.336B
2000-09,94.00M,,94.00M,1.097B,,1.097B,,,797.00M,,,292.00M,2.28B,,,,,3.15B,-1.555B,1.595B,360.00M,264.00M,624.00M,,,375.00M,2.594B,4.874B,417.00M,,417.00M,,417.00M,125.00M,,,9.00M,134.00M,,134.00M,,,681.00M,1.232B,1.313B,,1.313B,,,,,,,68.00M,,802.00M,2.115B,3.347B,122.00M,851.00M,1.139B,290.00M,,,,,,-363.00M,1.459B
2000-06,74.00M,,74.00M,1.138B,,1.138B,,,822.00M,,,294.00M,2.328B,,,,,3.144B,-1.542B,1.602B,359.00M,258.00M,617.00M,,,346.00M,2.565B,4.893B,463.00M,,463.00M,,463.00M,68.00M,,,9.00M,77.00M,,77.00M,,,770.00M,1.31B,1.255B,,1.255B,,,,,,,79.00M,,788.00M,2.043B,3.353B,121.00M,839.00M,1.14B,290.00M,,,,,,-349.00M,1.461B
2000-03,68.00M,,68.00M,1.159B,,1.159B,,,840.00M,,,283.00M,2.35B,,,,,3.15B,-1.533B,1.617B,362.00M,251.00M,613.00M,,,335.00M,2.565B,4.915B,523.00M,,523.00M,,523.00M,66.00M,,,9.00M,75.00M,,75.00M,,,774.00M,1.372B,1.227B,,1.227B,,,,,,,78.00M,,794.00M,2.021B,3.393B,122.00M,790.00M,1.14B,290.00M,,,,,,-318.00M,1.444B
1999-12,74.00M,,74.00M,1.026B,,1.026B,440.00M,402.00M,787.00M,,,293.00M,2.18B,0.00,577.00M,2.375B,168.00M,3.12B,-1.49B,1.63B,364.00M,249.00M,613.00M,,,274.00M,2.517B,4.697B,411.00M,,411.00M,740.00M,1.151B,113.00M,,,10.00M,123.00M,,123.00M,,,40.00M,1.314B,1.092B,,1.092B,,,,,,,74.00M,,788.00M,1.88B,3.194B,121.00M,760.00M,1.129B,274.00M,,,,-107.00M,-200.00M,-307.00M,1.429B
1999-09,60.00M,,60.00M,1.104B,,1.104B,,,799.00M,,,279.00M,2.242B,,,,,3.12B,-1.504B,1.616B,377.00M,354.00M,731.00M,,,289.00M,2.636B,4.878B,453.00M,,453.00M,,453.00M,90.00M,,,24.00M,114.00M,,114.00M,,,728.00M,1.295B,1.166B,,1.166B,,,,,,,72.00M,,1.003B,2.169B,3.464B,120.00M,748.00M,1.118B,270.00M,,,,,,-374.00M,1.342B
1999-06,67.00M,,67.00M,1.015B,,1.015B,,,760.00M,,,274.00M,2.116B,,,,,3.095B,-1.469B,1.626B,380.00M,345.00M,725.00M,,,303.00M,2.654B,4.77B,415.00M,,415.00M,,415.00M,54.00M,,,26.00M,80.00M,,80.00M,,,751.00M,1.246B,1.118B,,1.118B,,,,,,,71.00M,,1.008B,2.126B,3.372B,121.00M,707.00M,1.124B,250.00M,,,,,,-375.00M,1.327B
1999-03,45.00M,,45.00M,962.00M,,962.00M,,,733.00M,,,283.00M,2.023B,,,,,3.119B,-1.464B,1.655B,380.00M,339.00M,719.00M,,,294.00M,2.668B,4.691B,381.00M,,381.00M,,381.00M,21.00M,,,27.00M,48.00M,,48.00M,,,684.00M,1.113B,1.213B,,1.213B,,,,,,,67.00M,,1.003B,2.216B,3.329B,121.00M,660.00M,1.126B,240.00M,,,,,,-372.00M,1.295B
1998-12,38.00M,,38.00M,833.00M,,833.00M,387.00M,400.00M,731.00M,,,274.00M,1.876B,0.00,590.00M,2.32B,185.00M,3.095B,-1.424B,1.671B,384.00M,331.00M,715.00M,,,280.00M,2.666B,4.542B,340.00M,,340.00M,628.00M,968.00M,64.00M,,,26.00M,90.00M,,90.00M,,,13.00M,1.071B,1.137B,,1.137B,,,,,,,62.00M,,1.00B,2.137B,3.208B,120.00M,648.00M,1.121B,240.00M,,,,-111.00M,-266.00M,-377.00M,1.272B
1998-09,63.00M,,63.00M,930.00M,,930.00M,,,781.00M,,,193.00M,1.967B,,,,,3.055B,-1.414B,1.641B,384.00M,248.00M,632.00M,,,288.00M,2.561B,4.528B,408.00M,,408.00M,,408.00M,39.00M,,,37.00M,76.00M,,76.00M,,,698.00M,1.182B,1.202B,,1.202B,,,,,,,59.00M,,787.00M,1.989B,3.171B,120.00M,628.00M,1.117B,237.00M,,,,-117.00M,-213.00M,-330.00M,1.298B
1998-06,40.00M,,40.00M,975.00M,,975.00M,,,767.00M,,,199.00M,1.981B,,,,,3.067B,-1.403B,1.664B,384.00M,191.00M,575.00M,,,308.00M,2.547B,4.528B,399.00M,,399.00M,,399.00M,57.00M,,,36.00M,93.00M,,93.00M,,,634.00M,1.126B,1.168B,,1.168B,,,,,,,59.00M,,749.00M,1.917B,3.043B,120.00M,752.00M,1.114B,226.00M,,,,-120.00M,-214.00M,-334.00M,1.426B
1998-03,48.00M,,48.00M,926.00M,,926.00M,,,781.00M,,,197.00M,1.952B,,,,,3.15B,-1.515B,1.635B,,558.00M,558.00M,,,351.00M,2.544B,4.496B,458.00M,,458.00M,,458.00M,32.00M,,,37.00M,69.00M,,69.00M,,,582.00M,1.109B,1.181B,,1.181B,,,,,,,55.00M,,742.00M,1.923B,3.032B,120.00M,708.00M,1.106B,226.00M,,,,-87.00M,-212.00M,-299.00M,1.409B
