,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,291.10M,,,,,57.20M,-75.80M,-7.60M,84.20M,84.20M,-10.00M,,,,,52.50M,-103.20M,16.70M,,-138.20M,70.00M,0.50M,320.80M,,2007-12,-78.30M,,-78.30M,,-23.50M,1.696B,-283.30M,,2007-12,,,-352.90M,79.60M,-322.70M,-243.10M,,-123.00M,538.90M,-180.10M,,2007-12,-142.60M,34.50M,1.320B,,2007-12,79.60M,,-322.70M,,,,2007-12,,
2007-09,297.40M,,,,,22.50M,75.80M,7.60M,83.40M,83.40M,-23.90M,,,,,28.90M,89.60M,-35.70M,,21.00M,-149.70M,-57.00M,276.50M,,2007-09,-59.10M,,-59.10M,,-56.90M,-1.287B,-326.00M,,2007-09,,,345.80M,50.90M,-558.70M,-507.80M,,-127.30M,,-289.30M,,2007-09,-338.80M,6.60M,1.429B,,2007-09,50.90M,,-558.70M,,,,2007-09,,
2007-06,194.70M,,,,,36.10M,74.40M,9.20M,83.60M,83.60M,31.20M,,,,,26.60M,-48.20M,-36.00M,,,-88.00M,-14.00M,186.00M,,2007-06,-61.80M,,-61.80M,,-31.10M,-52.40M,94.60M,,2007-06,,,0.00,119.70M,-994.10M,-874.40M,,-127.30M,,-1.002B,,2007-06,-720.90M,8.20M,1.746B,,2007-06,119.70M,,-994.10M,,,,2007-06,,
2007-03,388.90M,,,,,24.80M,67.60M,9.60M,77.20M,77.20M,-17.40M,,,,,13.40M,-55.90M,17.10M,,170.10M,88.30M,-192.40M,514.10M,,2007-03,-82.10M,,-82.10M,,-46.60M,-3.361B,545.50M,,2007-03,,,-0.30M,76.60M,-34.30M,42.30M,,-126.10M,,19.30M,,2007-03,1.079B,-0.70M,2.474B,,2007-03,76.60M,,-34.30M,,,,2007-03,,
2006-12,297.60M,,,,,-42.90M,78.70M,10.50M,89.20M,89.20M,-13.50M,,,,,57.90M,-123.70M,-3.80M,,-85.60M,4.50M,250.90M,430.60M,,2006-12,-121.30M,,-121.30M,,-344.40M,4.287B,-178.20M,,2006-12,,,-0.80M,80.50M,-260.40M,-179.90M,,-102.90M,,-265.90M,,2006-12,-13.50M,7.50M,1.295B,,2006-12,80.50M,,-260.40M,,,,2006-12,,
2006-09,257.50M,,,,,-4.70M,68.10M,11.20M,79.30M,79.30M,14.80M,,,,,32.60M,-27.80M,-22.30M,,-84.50M,-92.80M,15.20M,167.30M,,2006-09,-57.60M,,-57.60M,,-24.80M,-89.50M,-31.10M,,2006-09,,,-0.10M,67.40M,-611.60M,-544.20M,,-105.00M,,-636.30M,,2006-09,-500.10M,0.70M,1.401B,,2006-09,67.40M,,-611.60M,,,,2006-09,,
2006-06,703.70M,,,,,-438.80M,64.10M,14.60M,78.70M,78.70M,56.70M,,,,,12.60M,38.20M,-87.10M,,,,-53.80M,338.40M,,2006-06,-106.30M,,-106.30M,,901.20M,-4.932B,958.10M,,2006-06,,,-0.10M,45.90M,-754.70M,-708.80M,,-107.00M,,-747.50M,,2006-06,549.00M,14.50M,1.800B,,2006-06,45.90M,,-754.70M,,,,2006-06,,
2006-03,370.60M,,,,,3.60M,39.40M,16.50M,55.90M,55.90M,-65.50M,,,,,65.20M,58.10M,91.60M,-178.40M,-106.40M,,279.20M,573.90M,,2006-03,-149.00M,,-149.00M,,-47.30M,2.820B,-68.80M,,2006-03,,,0.00,64.70M,-204.20M,-139.50M,,-105.80M,,-232.60M,,2006-03,272.50M,2.10M,1.214B,,2006-03,64.70M,,-204.20M,,,,2006-03,,
2005-12,259.70M,,,,,-67.00M,64.90M,20.00M,84.90M,84.90M,-9.90M,,,,,83.50M,-298.60M,140.60M,178.40M,106.40M,,20.40M,498.40M,,2005-12,-95.80M,,-95.80M,,-287.50M,4.418B,-390.30M,,2005-12,,,0.00,105.60M,-111.80M,-6.20M,,-90.10M,,-96.30M,,2005-12,11.80M,-7.90M,1.062B,,2005-12,105.60M,,-111.80M,,,,2005-12,,
2005-09,220.00M,,,,,116.00M,77.60M,24.30M,101.90M,101.90M,13.70M,,,,,,193.90M,-243.70M,,,,,401.80M,,2005-09,-59.90M,,-59.90M,,-0.70M,-2.469B,-46.80M,,2005-09,,,-0.10M,47.90M,-229.20M,-181.30M,,-91.00M,,-272.40M,,2005-09,82.60M,0.70M,1.059B,,2005-09,47.90M,,-229.20M,,,,2005-09,,
2005-06,258.70M,,,,,-17.10M,100.20M,26.60M,126.80M,126.80M,-0.50M,,,,,,56.30M,94.20M,0.00,-101.50M,,,416.90M,,2005-06,-94.50M,-17.20M,-111.70M,,-41.00M,-9.002B,-284.00M,,2005-06,,,-0.20M,33.60M,-153.80M,-120.20M,,-90.30M,,-209.30M,,2005-06,-76.40M,-17.40M,975.40M,,2005-06,33.60M,,-153.80M,,,,2005-06,,
2005-03,338.44M,,,,,-7.953M,53.62M,28.31M,81.92M,81.92M,-7.336M,,,,,,-164.44M,199.23M,-179.80M,46.80M,17.79M,,324.65M,,2005-03,-110.23M,-0.034M,-110.27M,,-20.48M,9.862B,-169.40M,,2005-03,,,-0.046M,44.23M,-160.57M,-116.34M,,-90.50M,-48.68M,-247.97M,,2005-03,-92.72M,30.80M,936.30M,,2005-03,44.23M,,-160.57M,,,,2005-03,,
2004-12,250.10M,,,,,39.89M,76.16M,31.57M,107.73M,107.73M,-0.086M,,,,,,-72.60M,118.37M,,,-17.79M,,425.63M,,2004-12,-43.48M,17.23M,-26.25M,,-324.95M,-2.277B,-383.85M,,2004-12,,,-0.367M,54.47M,-35.36M,19.11M,,-81.61M,48.68M,-14.19M,,2004-12,27.59M,,1.131B,,2004-12,54.47M,,-35.36M,,,,2004-12,,
2004-09,208.16M,,,,,29.46M,74.42M,33.52M,107.94M,107.94M,26.82M,,,,,,14.84M,-121.00M,,,,,266.22M,,2004-09,-42.49M,,-42.49M,,-0.777M,2.676B,399.34M,,2004-09,,,-0.187M,42.31M,-234.67M,-192.37M,,-82.48M,,-275.04M,,2004-09,390.53M,,1.104B,,2004-09,42.31M,,-234.67M,,,,2004-09,,
2004-06,211.92M,,,,,-7.886M,51.58M,35.98M,87.56M,87.56M,72.13M,,,,,,-45.56M,-93.44M,,,,,253.43M,,2004-06,-208.17M,-5.294M,-213.47M,,77.92M,-3.242B,-177.88M,,2004-06,,,-0.124M,44.58M,-194.79M,-150.20M,,-83.14M,,-224.97M,,2004-06,-149.41M,,713.00M,,2004-06,44.58M,,-194.79M,,,,2004-06,,
2004-03,300.25M,,,,,-190.53M,225.52M,93.92M,319.44M,319.44M,34.07M,,,,,,-179.84M,137.34M,,,154.70M,,575.42M,,2004-03,-47.01M,3.245M,-43.77M,,-226.46M,205.57M,-348.91M,,2004-03,,,-0.108M,40.86M,-164.51M,-123.65M,,-82.45M,,-206.22M,,2004-03,20.30M,,855.93M,,2004-03,40.86M,,-164.51M,,,,2004-03,,
2003-12,228.58M,,,,,108.99M,,,,,,,,,,,,,,,54.65M,,392.22M,,2003-12,-40.29M,2.049M,-38.24M,,18.33M,5.937B,-666.39M,,2003-12,,,-0.436M,36.49M,-206.27M,-169.78M,,-71.70M,,-241.92M,,2003-12,-516.08M,,835.63M,,2003-12,36.49M,,-206.27M,,,,2003-12,,
2003-09,194.85M,,,,,178.82M,,,,,,,,,,,,,,,-209.35M,,164.32M,,2003-09,-37.73M,,-37.73M,,-20.69M,-851.94M,-125.63M,,2003-09,,,-0.332M,38.77M,-64.33M,-25.56M,,-71.31M,,-97.20M,,2003-09,-58.51M,,1.352B,,2003-09,38.77M,,-64.33M,,,,2003-09,,
2003-06,216.67M,,,,,-276.46M,,,,,,,,,,,,,,,-88.45M,,398.70M,,2003-06,-48.59M,,-44.56M,,-551.56M,-1.045B,-5.458M,,2003-06,,,-0.03M,21.17M,-121.44M,-100.27M,,-71.38M,,-171.68M,,2003-06,221.56M,,1.410B,,2003-06,21.17M,,-121.44M,,,,2003-06,,
2003-03,329.39M,,,,,105.98M,,,,,,,,,,,,,,,114.61M,,549.98M,,2003-03,-28.23M,,-28.23M,,-60.83M,-730.28M,-170.65M,,2003-03,,,-0.33M,7.23M,-97.26M,-90.03M,,-71.79M,,-162.16M,,2003-03,217.18M,,1.189B,,2003-03,7.23M,,-97.26M,,,,2003-03,,
2002-12,261.69M,,,,,52.22M,,,,,,,,,,,,,,,65.71M,,379.62M,,2002-12,-29.73M,,-29.73M,,-9.902M,2.987B,166.41M,,2002-12,,,-0.063M,31.33M,-79.52M,-48.20M,,-72.07M,,-120.33M,,2002-12,425.70M,,971.48M,,2002-12,31.33M,,-79.52M,,,,2002-12,,
2002-09,210.40M,,,,,118.26M,,,,,,,,,,,,,,,-91.87M,,236.79M,,2002-09,-27.21M,,-27.21M,,-29.03M,-2.317B,186.76M,,2002-09,,,0.003M,33.09M,-640.32M,-607.22M,,-69.36M,,-676.58M,,2002-09,-253.03M,,545.78M,,2002-09,33.09M,,-640.32M,,,,2002-09,,
2002-06,287.31M,,,,,-247.28M,,,,,,,,,,,,,,,-45.64M,,346.78M,,2002-06,-155.09M,-1.031B,-1.186B,,-71.52M,-116.34M,-452.20M,,2002-06,,,-0.061M,22.08M,-250.74M,-228.67M,,-71.00M,,-299.74M,,2002-06,-405.16M,,798.81M,,2002-06,22.08M,,-250.74M,,,,2002-06,,
2002-03,352.26M,,,,,58.37M,,,,,,,,,,,,,,,62.00M,,472.63M,,2002-03,-34.81M,1.039B,1.004B,,-25.99M,386.50M,-407.12M,,2002-03,,,-50.00M,98.38M,-165.56M,-67.18M,,-71.32M,,-188.51M,,2002-03,-123.00M,,1.204B,,2002-03,98.38M,,-165.56M,,,,2002-03,,
2001-12,264.60M,,,,,93.28M,,,,,,,,,,,,,,,-26.42M,,331.45M,,2001-12,-32.56M,,-32.56M,,-43.34M,751.62M,-434.94M,,2001-12,,,46.98M,60.89M,-21.96M,38.93M,,-70.56M,,15.35M,,2001-12,-88.14M,,1.327B,,2001-12,60.89M,,-21.96M,,,,2001-12,,
2001-09,196.60M,,,,,95.63M,,,,,,,,,,,,,,,88.61M,,380.84M,,2001-09,-32.96M,,-32.96M,,-78.94M,-1.204B,213.77M,,2001-09,,,-0.477M,46.77M,-437.19M,-390.42M,,-63.97M,,-454.86M,,2001-09,139.75M,,1.415B,,2001-09,46.77M,,-437.19M,,,,2001-09,,
2001-06,255.00M,,,,,-10.82M,,,80.87M,80.87M,,,,,,,,,,,-10.80M,,469.70M,,2001-06,-56.05M,,-55.15M,,-21.97M,-2.111B,-160.61M,,2001-06,,,-0.099M,10.94M,-146.30M,-135.36M,,-64.03M,,-199.48M,,2001-06,109.61M,,1.275B,,2001-06,10.94M,,-146.30M,,,,2001-06,,
2001-03,288.88M,,,,,77.47M,,,79.91M,79.91M,,,,,,,,,,,29.95M,,476.21M,,2001-03,-38.44M,,-38.44M,,-6.379M,-891.36M,146.78M,,2001-03,,,-4.969M,106.70M,-788.77M,-682.07M,,-64.42M,,-751.46M,,2001-03,-128.47M,,1.166B,,2001-03,106.70M,,-788.77M,,,,2001-03,,
2000-12,207.44M,,,,,12.23M,,,78.52M,78.52M,,,,,,,,,,,-88.88M,,209.31M,,2000-12,-36.31M,,-36.31M,,-21.69M,4.021B,-214.55M,,2000-12,,,-15.74M,54.66M,,54.66M,,-64.84M,,-25.92M,,2000-12,-31.16M,,1.294B,,2000-12,54.66M,,,,,,2000-12,,
2000-09,173.40M,,,,,11.12M,,,81.54M,81.54M,,,,,,,,,,,69.74M,,335.80M,,2000-09,-54.61M,,-54.61M,,-23.63M,-329.67M,-227.46M,,2000-09,,,-1.321M,45.88M,,45.88M,,-55.16M,,-10.60M,,2000-09,97.74M,,1.325B,,2000-09,45.88M,,,,,,2000-09,,
2000-06,223.79M,,,,,-42.16M,,,78.25M,78.25M,,,,,,22.23M,,,,,,,180.42M,,2000-06,-49.71M,3.691M,-46.02M,,-133.70M,3.395B,-315.12M,,2000-06,,,-66.72M,55.44M,0.00,55.44M,,-55.01M,,-66.28M,,2000-06,-200.98M,,1.228B,,2000-06,55.44M,,0.00,,,,2000-06,,
2000-03,271.31M,,,,,175.36M,,,72.83M,72.83M,,,,,,-101.62M,,,,,8.20M,,426.08M,,2000-03,-56.81M,10.94M,-45.86M,,-41.55M,-31.43M,127.22M,,2000-03,,,-9.632M,41.65M,-201.01M,-159.36M,,-55.17M,-0.10M,-224.26M,,2000-03,329.04M,,1.429B,,2000-03,41.65M,,-201.01M,,,,2000-03,,
1999-12,199.50M,,,,,-133.70M,,,67.60M,67.60M,,,,,,126.10M,,,,,-35.90M,,223.60M,,1999-12,-34.70M,,-34.70M,,,-13.10M,-61.10M,,1999-12,,,-9.90M,47.80M,,47.80M,,-54.80M,0.20M,-16.70M,,1999-12,145.80M,,1.100B,,1999-12,47.80M,,,,,,1999-12,,
1999-09,146.20M,,,,,0.50M,,,65.60M,65.60M,,,,,,,,,,,27.70M,,240.00M,,1999-09,-24.80M,,-24.80M,,,-23.70M,-121.60M,,1999-09,,,-5.90M,27.70M,,27.70M,,-47.60M,-0.10M,-25.90M,,1999-09,92.50M,,953.80M,,1999-09,27.70M,,,,,,1999-09,,
1999-06,191.70M,,,,,,,,68.90M,68.90M,,,,,,59.60M,,,,,,,162.60M,,1999-06,-62.30M,75.50M,13.20M,,,-14.10M,-238.50M,,1999-06,,,-14.30M,26.40M,0.00,26.40M,,-47.20M,-0.30M,-35.40M,,1999-06,-111.30M,,861.30M,,1999-06,26.40M,,0.00,,,,1999-06,,
1999-03,225.70M,,,,,138.50M,,,65.40M,65.40M,,,,,,-176.00M,,,,,58.20M,,311.80M,,1999-03,-139.20M,200.50M,61.30M,,,-28.80M,2.80M,,1999-03,,,-33.40M,25.10M,0.00,25.10M,,-47.20M,0.10M,-55.40M,,1999-03,259.20M,,972.60M,,1999-03,25.10M,,0.00,,,,1999-03,,
1998-12,154.00M,,,,,-137.90M,,,68.80M,68.80M,,,,,,158.30M,,,,,-98.20M,,145.00M,,1998-12,-36.10M,,-36.10M,,,1.30M,-34.50M,,1998-12,,,-199.20M,25.30M,-78.40M,-53.10M,,-46.60M,0.20M,-298.70M,,1998-12,-188.20M,,713.40M,,1998-12,25.30M,,-78.40M,,,,1998-12,,
1998-09,125.40M,,,,,-0.60M,,,69.70M,69.70M,,,,,,,,,,,40.00M,,234.50M,,1998-09,-47.40M,,-47.40M,,,-10.20M,-121.90M,,1998-09,,,49.50M,23.60M,-7.00M,16.60M,,-40.10M,-0.10M,25.90M,,1998-09,138.50M,,901.50M,,1998-09,23.60M,,-7.00M,,,,1998-09,,
1998-06,163.90M,,,,,,,,68.20M,68.20M,,,,,,49.30M,,,,,,,118.50M,,1998-06,-202.20M,32.60M,-169.60M,,,-10.10M,-296.20M,,1998-06,,,45.50M,56.00M,0.00,56.00M,,-40.60M,1.20M,62.10M,,1998-06,-115.60M,,763.10M,,1998-06,56.00M,,0.00,,,,1998-06,,
