,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2007-03,2.474B,207.80M,2.681B,915.00M,,,915.00M,,,460.10M,4.056B,,,,,1.876B,-1.166B,710.10M,2.318B,717.00M,3.034B,,,,,25.12B,28.87B,32.92B,,2007-03,,105.90M,1.414B,1.519B,,,,,,,245.90M,1.765B,43.60M,,43.60M,190.50M,,190.50M,24.93B,25.17B,26.93B,,9.220B,315.70M,3.636B,25.40M,5.989B,,
2006-12,1.295B,249.40M,1.544B,1.281B,,924.00M,2.205B,,,543.30M,4.292B,,,,,1.947B,-1.166B,780.60M,2.753B,738.30M,3.492B,,,,,23.05B,27.32B,31.61B,,2006-12,,171.80M,1.463B,1.635B,,,,,,,916.50M,2.552B,22.01B,,22.01B,183.10M,,183.10M,960.40M,23.15B,25.71B,,9.438B,260.50M,3.873B,16.70M,5.906B,,
2006-09,1.401B,468.70M,1.870B,1.179B,,1.031B,2.210B,,,511.80M,4.591B,,,,,1.940B,-1.166B,773.50M,2.486B,606.30M,3.092B,,,,,17.75B,21.62B,26.21B,,2006-09,,166.60M,1.424B,1.590B,,,,,,,996.60M,2.587B,16.67B,,16.67B,182.40M,,182.40M,917.90M,17.77B,20.36B,,9.267B,210.20M,3.709B,16.40M,5.848B,,
2006-06,1.800B,327.50M,2.128B,752.20M,,,752.20M,,,2.603B,5.483B,0.00,640.90M,993.70M,,1.635B,-934.60M,700.00M,1.976B,526.20M,2.502B,,,,,18.80B,22.01B,27.49B,,2006-06,,125.20M,1.009B,1.134B,,,,,244.40M,244.40M,1.296B,2.674B,74.30M,,74.30M,100.40M,,100.40M,18.63B,18.80B,21.48B,,9.111B,157.40M,3.195B,-126.30M,6.012B,,
2006-03,1.214B,406.70M,1.621B,1.242B,,962.20M,2.204B,,,1.200B,5.025B,,,,,1.883B,-1.141B,742.80M,2.466B,626.60M,3.093B,,,,,23.78B,27.62B,32.64B,,2006-03,,174.50M,1.518B,1.693B,,,,,,,1.187B,2.879B,74.30M,,74.30M,149.60M,,149.60M,23.50B,23.72B,26.60B,,8.513B,128.50M,2.494B,-167.70M,6.044B,,
2005-12,1.062B,508.90M,1.571B,1.221B,,1.050B,2.271B,,,589.50M,4.431B,,,,,1.902B,-1.141B,761.90M,,3.383B,3.383B,,,,,21.07B,25.21B,29.64B,,2005-12,,183.00M,1.553B,1.736B,,,,,,,1.060B,2.796B,74.40M,,74.40M,197.20M,,197.20M,20.72B,20.99B,23.79B,,8.249B,95.20M,2.422B,-130.70M,5.856B,,
2005-09,1.059B,479.70M,1.538B,1.082B,,988.70M,2.070B,,,624.50M,4.233B,,,,,1.869B,-1.141B,728.80M,,3.123B,3.123B,,,,,16.74B,20.59B,24.83B,,2005-09,,198.30M,1.389B,1.587B,,,,,,,944.90M,2.532B,76.10M,,76.10M,238.00M,,238.00M,16.25B,16.57B,19.10B,,8.096B,43.20M,2.419B,-55.80M,5.729B,,
2005-06,853.60M,695.80M,1.549B,1.122B,,965.20M,2.087B,,,1.234B,4.870B,0.00,506.70M,1.196B,,1.703B,-1.065B,637.90M,2.186B,575.70M,2.762B,,,,,19.35B,22.75B,27.62B,,2005-06,,192.70M,1.511B,1.704B,,,,,,,1.154B,2.858B,75.70M,,75.70M,242.90M,,242.90M,18.66B,18.97B,21.83B,,7.966B,,2.247B,0.80M,5.784B,,
2005-03,1.069B,492.82M,1.562B,1.258B,,1.109B,2.368B,,,559.77M,4.489B,,,,,1.907B,-1.249B,658.20M,,3.164B,3.164B,,,,,24.46B,28.28B,32.77B,,2005-03,,177.52M,1.541B,1.719B,,,,,,,1.035B,2.754B,75.94M,,75.94M,252.84M,,252.84M,23.92B,24.25B,27.00B,,7.821B,,2.112B,-2.816M,5.770B,,
2004-12,1.131B,425.35M,1.556B,1.108B,,947.01M,2.055B,,,581.93M,4.194B,,,,,1.899B,-1.249B,650.06M,,3.152B,3.152B,,,,,20.19B,24.00B,28.19B,,2004-12,,146.07M,1.501B,1.647B,,,,,,,954.07M,2.601B,75.93M,,75.93M,313.64M,,313.64M,19.54B,19.93B,22.53B,,7.613B,35.46M,2.167B,111.18M,5.657B,,
2004-09,1.104B,333.34M,1.437B,986.29M,,,986.29M,,,605.38M,3.029B,,,,,1.894B,-1.249B,645.20M,,2.938B,2.938B,,,,,17.18B,20.76B,23.79B,,2004-09,,128.51M,1.354B,1.483B,,,,,,,176.94M,1.660B,76.51M,,76.51M,323.95M,,323.95M,16.31B,16.71B,18.37B,,7.454B,62.71M,2.205B,38.91M,5.414B,,
2004-06,713.00M,416.08M,1.129B,1.058B,,,1.058B,,,574.58M,2.762B,0.00,518.13M,1.373B,,1.891B,-1.249B,642.35M,,2.932B,2.932B,,,,,14.78B,18.36B,21.12B,,2004-06,,175.18M,1.483B,1.658B,,,,,,,110.55M,1.768B,76.20M,,76.20M,283.78M,,283.78M,13.57B,13.93B,15.70B,,7.327B,79.65M,2.033B,-19.51M,5.418B,,
2004-03,855.93M,369.93M,1.226B,1.086B,,,1.086B,,,524.48M,2.837B,,,,,1.862B,-1.246B,615.31M,,2.892B,2.892B,,,,,19.08B,22.59B,25.43B,,2004-03,,165.00M,1.412B,1.577B,,,,,,,250.08M,1.827B,82.05M,,82.05M,295.29M,,295.29M,17.60B,17.97B,19.80B,,7.198B,93.66M,1.888B,157.46M,5.625B,,
2003-12,835.63M,559.16M,1.395B,982.73M,,,982.73M,,,568.74M,2.946B,,,,,1.854B,-1.246B,607.34M,,2.635B,2.635B,,,,,18.51B,21.75B,24.70B,,2003-12,,137.80M,1.310B,1.448B,,,,,,,217.75M,1.665B,84.58M,,84.58M,262.40M,,262.40M,17.31B,17.66B,19.33B,,6.982B,166.87M,1.940B,101.79M,5.374B,,
2003-09,1.352B,507.72M,1.859B,931.79M,,,931.79M,,,534.65M,3.326B,,,,,1.851B,-1.246B,604.50M,,2.591B,2.591B,,,,,12.19B,15.39B,18.71B,,2003-09,,149.35M,1.319B,1.468B,,,,,,,239.10M,1.708B,84.71M,,84.71M,285.78M,,285.78M,11.29B,11.66B,13.36B,,6.834B,180.84M,1.777B,48.12M,5.350B,,
2003-06,1.410B,595.17M,2.005B,1.006B,,,1.006B,,,664.28M,3.676B,0.00,477.68M,1.383B,,1.861B,-1.246B,614.70M,,2.651B,2.651B,,,,,12.89B,16.16B,19.83B,,2003-06,,173.99M,1.610B,1.784B,,,,,,,215.13M,1.999B,84.67M,,84.67M,320.80M,,320.80M,12.06B,12.46B,14.46B,,6.711B,211.34M,1.773B,158.82M,5.371B,,
2003-03,1.189B,933.67M,2.122B,1.022B,,,1.022B,,,348.87M,3.494B,,,,,1.745B,-1.184B,561.64M,,2.040B,2.040B,,,,,14.23B,16.84B,20.33B,,2003-03,,148.66M,1.165B,1.314B,,,,,,,195.92M,1.510B,81.93M,,81.93M,332.80M,,332.80M,13.18B,13.59B,15.10B,,6.566B,220.40M,1.678B,56.24M,5.228B,,
2002-12,971.48M,593.02M,1.565B,988.86M,,,988.86M,,,339.98M,2.893B,0.00,456.51M,1.296B,,1.753B,-1.184B,569.11M,1.445B,509.30M,1.954B,,,,,13.59B,16.11B,19.00B,,2002-12,,126.50M,1.040B,1.166B,,,,,,,170.46M,1.337B,82.45M,,82.45M,337.41M,,337.41M,12.27B,12.69B,14.02B,,6.308B,254.00M,1.664B,17.73M,4.979B,,
2002-09,545.78M,623.99M,1.170B,971.37M,,,971.37M,,,360.64M,2.502B,0.00,459.76M,1.270B,,1.730B,-1.148B,582.33M,,1.921B,1.921B,,,,,10.69B,13.19B,15.70B,,2002-09,,134.73M,1.024B,1.159B,,,,,,,217.42M,1.377B,83.78M,,83.78M,332.65M,,332.65M,9.154B,9.571B,10.95B,,6.118B,310.72M,1.736B,-7.657M,4.749B,,
2002-06,798.81M,677.00M,1.476B,1.045B,,,1.045B,,,296.27M,2.817B,0.00,458.48M,1.237B,,1.696B,-1.099B,596.45M,,1.877B,1.877B,,,,,12.99B,15.46B,18.28B,,2002-06,,148.69M,1.035B,1.184B,,,,,,,227.02M,1.411B,90.65M,,90.65M,237.63M,,237.63M,11.42B,11.75B,13.16B,,5.977B,333.37M,1.142B,-118.31M,5.114B,,
2002-03,1.204B,511.12M,1.715B,1.053B,,,1.053B,,,221.11M,2.989B,0.00,456.90M,1.220B,,1.677B,-1.087B,590.34M,,1.754B,1.754B,,,,,13.89B,16.24B,19.23B,,2002-03,,155.10M,1.018B,1.174B,,,,,,,194.33M,1.368B,91.00M,,91.00M,188.45M,,188.45M,12.58B,12.86B,14.23B,,5.761B,353.68M,946.73M,-234.86M,4.997B,,
2001-12,1.327B,407.80M,1.735B,929.37M,,,929.37M,,,275.03M,2.939B,0.00,468.37M,1.209B,,1.677B,-1.074B,603.09M,,1.742B,1.742B,,,,,12.34B,14.68B,17.62B,,2001-12,,150.12M,984.03M,1.134B,,,,,,,131.39M,1.266B,94.90M,,94.90M,238.30M,,238.30M,11.16B,11.49B,12.75B,,5.480B,420.18M,946.45M,-150.60M,4.867B,,
2001-09,1.415B,333.52M,1.749B,925.95M,,,925.95M,,,271.90M,2.946B,0.00,464.55M,1.218B,,1.683B,-1.074B,609.43M,1.260B,454.85M,1.715B,,,,,11.39B,13.72B,16.66B,,2001-09,,156.26M,983.28M,1.140B,,,,,,,203.98M,1.344B,106.26M,,106.26M,265.99M,,265.99M,10.38B,10.75B,12.09B,,5.286B,518.16M,1.180B,-118.18M,4.570B,,
2001-06,1.275B,515.24M,1.791B,976.64M,,,976.64M,,,316.22M,3.083B,0.00,457.11M,1.188B,,1.645B,-1.030B,614.65M,,1.601B,1.601B,,,,,12.59B,14.81B,17.89B,,2001-06,,156.32M,1.032B,1.189B,,,,,,,147.68M,1.336B,110.23M,,110.23M,207.93M,,207.93M,11.53B,11.85B,13.19B,,5.153B,553.93M,837.24M,-232.96M,4.701B,,
2001-03,1.166B,467.28M,1.633B,962.19M,,,962.19M,,,346.09M,2.941B,,,,,1.614B,-1.009B,604.99M,,1.602B,1.602B,,,,,14.69B,16.90B,19.84B,,2001-03,,134.08M,,134.08M,,,,,,,1.177B,1.311B,113.14M,,113.14M,210.67M,,210.67M,13.57B,13.90B,15.21B,,4.962B,596.06M,795.05M,-192.88M,4.634B,,
2000-12,1.294B,595.14M,1.889B,,,,940.61M,,,361.28M,3.191B,,,,,1.602B,-989.96M,611.93M,,1.622B,1.622B,,,,,15.63B,17.87B,21.06B,,2000-12,,130.93M,,130.93M,,,4.411M,4.411M,,,1.075B,1.211B,124.63M,,124.63M,165.94M,,165.94M,14.48B,14.77B,15.98B,,4.738B,543.08M,52.52M,-218.89M,5.073B,,
2000-09,1.325B,540.64M,1.866B,,,,842.09M,,,288.82M,2.997B,,,,,1.594B,-981.37M,613.05M,,1.580B,1.580B,,,,,11.49B,13.68B,16.68B,,2000-09,,124.83M,,124.83M,,,20.23M,20.23M,,,1.136B,1.281B,133.53M,,133.53M,147.91M,,147.91M,10.40B,10.68B,11.96B,,4.595B,418.66M,75.49M,-281.87M,4.720B,,
2000-06,1.228B,596.79M,1.824B,899.31M,,,899.31M,,,340.71M,3.064B,,,,,1.550B,-952.72M,597.27M,,1.624B,1.624B,,,,,11.57B,13.79B,16.85B,,2000-06,,129.44M,,129.44M,,,21.52M,21.52M,,,1.146B,1.297B,132.02M,,132.02M,151.34M,,151.34M,10.69B,10.97B,12.27B,,4.477B,402.77M,130.80M,-229.43M,4.583B,,
2000-03,1.429B,498.29M,1.927B,,,,900.60M,,,200.40M,3.028B,,,,,1.481B,-902.00M,579.42M,,1.464B,1.464B,,,,,1.132B,3.175B,6.203B,,2000-03,,103.16M,,103.16M,,,41.47M,41.47M,,,1.190B,1.335B,138.48M,,138.48M,132.97M,,132.97M,252.37M,523.82M,1.858B,,4.308B,418.86M,221.85M,-223.94M,4.345B,,
1999-12,1.100B,430.20M,1.530B,,,,877.10M,,,243.90M,2.651B,,,,,1.432B,-871.80M,559.80M,,1.457B,1.457B,,,,,1.465B,3.482B,6.133B,,1999-12,,124.70M,,124.70M,,,50.40M,50.40M,,,1.102B,1.278B,140.80M,,140.80M,134.10M,,134.10M,257.90M,532.80M,1.810B,,4.092B,450.50M,87.00M,-196.40M,4.322B,,
1999-09,953.80M,419.10M,1.373B,,,,825.40M,,,245.60M,2.444B,,,,,1.411B,-846.20M,564.40M,,1.486B,1.486B,,,,,1.452B,3.503B,5.947B,,1999-09,,103.00M,,103.00M,,,60.20M,60.20M,,,1.160B,1.323B,140.90M,,140.90M,136.30M,,136.30M,252.10M,529.30M,1.852B,,3.948B,405.70M,148.90M,-172.80M,4.094B,,
1999-06,861.28M,231.21M,1.092B,860.84M,,,860.84M,,,240.93M,2.194B,,,,,1.401B,-821.51M,579.29M,,1.532B,1.532B,,,,,8.534B,10.65B,12.84B,,1999-06,,66.95M,,66.95M,,,130.46M,130.46M,,,1.089B,1.286B,145.76M,,145.76M,138.24M,,138.24M,7.261B,7.545B,8.832B,,3.848B,421.33M,189.20M,-135.47M,4.008B,,
1999-03,972.60M,,972.60M,,,,889.00M,,,449.50M,2.311B,,,,,1.426B,-850.50M,575.50M,,1.578B,1.578B,,,,,1.301B,3.454B,5.765B,,1999-03,,91.70M,,91.70M,,,80.20M,80.20M,,,1.151B,1.323B,146.30M,,146.30M,155.80M,,155.80M,228.50M,530.60M,1.854B,,3.743B,,,,3.911B,,
1998-12,699.30M,,699.30M,,,,757.60M,,,396.20M,1.853B,,,,,1.400B,-837.90M,562.20M,,1.667B,1.667B,,,,,1.217B,3.446B,5.299B,,1998-12,,71.30M,,71.30M,,,89.40M,89.40M,,,850.60M,1.011B,165.80M,,165.80M,165.20M,,165.20M,234.50M,565.50M,1.577B,,3.580B,,,,3.722B,,
1998-09,893.80M,,893.80M,,,,731.60M,,,357.50M,1.983B,,,,,1.562B,-980.70M,581.30M,,1.694B,1.694B,,,,,1.142B,3.418B,5.401B,,1998-09,,117.10M,,117.10M,,,298.10M,298.10M,,,886.90M,1.302B,176.90M,,176.90M,151.90M,,151.90M,224.30M,553.10M,1.855B,,3.458B,,,,3.545B,,
1998-06,763.10M,144.90M,908.00M,,,,751.60M,,,220.90M,1.880B,,,,,1.527B,-936.30M,590.30M,,1.660B,1.660B,,,,,1.112B,3.362B,5.243B,,1998-06,,126.20M,,126.20M,,,239.80M,239.80M,,,888.50M,1.254B,192.10M,,192.10M,147.40M,,147.40M,209.50M,549.00M,1.804B,,3.372B,476.70M,370.70M,-101.60M,3.439B,,
