,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2008-12,2.056B,2.203B,1.188B,1.016B,573.10M,,,-6.20M,8.10M,190.60M,182.50M,573.10M,442.70M,190.60M,8.10M,182.50M,-4.70M,182.50M,473.20M,172.80M,300.40M,0.10M,,300.50M,303.38M,481.30M,,2008-12,0.60,0.00,0.60,,2008-12,0.59,0.00,0.59,,2008-12,0.33,,2008-12,,Restated
2008-09,2.030B,2.182B,1.237B,944.80M,526.70M,,,-4.70M,19.20M,197.90M,178.70M,526.70M,418.10M,197.90M,19.20M,178.70M,-3.60M,178.70M,441.30M,163.30M,278.00M,-1.10M,,276.90M,280.27M,460.50M,,2008-09,0.55,0.00,0.55,,2008-09,0.54,0.00,0.54,,2008-09,0.29,,2008-09,,Restated
2008-06,2.038B,2.207B,1.196B,1.012B,697.00M,,,-159.90M,12.50M,,-639.50M,697.00M,314.70M,,12.50M,-639.50M,-168.70M,-639.50M,354.50M,128.50M,226.00M,7.50M,,233.50M,327.94M,367.00M,,2008-06,0.44,0.01,0.46,,2008-06,0.43,0.01,0.45,,2008-06,0.29,,2008-06,,Restated
2008-03,2.229B,2.427B,1.224B,1.203B,585.30M,,,-2.50M,7.90M,223.50M,215.60M,585.30M,617.50M,223.50M,7.90M,215.60M,0.90M,215.60M,635.50M,231.90M,403.60M,10.00M,,413.60M,403.03M,643.40M,,2008-03,0.78,0.02,0.80,,2008-03,0.77,0.02,0.79,,2008-03,0.29,,2008-03,,Restated
2007-12,2.150B,2.150B,979.80M,1.170B,554.50M,128.80M,,0.70M,,,,742.90M,427.40M,,,,0.70M,,440.60M,149.00M,291.60M,-0.40M,,291.20M,291.14M,427.40M,,2007-12,0.56,0.00,0.56,,2007-12,0.55,0.00,0.55,,2007-12,0.29,,2007-12,,
2007-09,1.992B,1.992B,908.30M,1.084B,533.60M,124.40M,,0.60M,,,,717.40M,366.30M,,,,0.60M,,381.50M,141.10M,240.40M,57.00M,,297.40M,240.02M,366.30M,,2007-09,0.45,0.11,0.56,,2007-09,0.45,0.11,0.55,,2007-09,0.23,,2007-09,,
2007-06,2.000B,2.000B,875.90M,1.124B,649.20M,130.40M,,-9.00M,,,,834.10M,289.90M,,,,-9.00M,,307.40M,113.40M,194.00M,0.70M,,194.70M,199.68M,289.90M,,2007-06,0.36,0.00,0.36,,2007-06,0.35,0.00,0.35,,2007-06,0.23,,2007-06,,
2007-03,2.171B,2.189B,891.40M,1.298B,549.80M,122.20M,,-0.50M,,,,725.50M,572.40M,,,,-0.50M,,571.40M,211.30M,360.10M,28.80M,,388.90M,360.42M,572.40M,,2007-03,0.65,0.05,0.70,,2007-03,0.65,0.05,0.70,,2007-03,0.23,,2007-03,,
2006-12,1.874B,1.874B,821.50M,1.053B,514.60M,119.60M,,18.10M,,,,684.90M,367.90M,,,,18.10M,,395.50M,147.50M,248.00M,49.70M,,297.70M,236.65M,367.90M,,2006-12,0.45,0.09,0.54,,2006-12,0.45,0.09,0.54,,2006-12,0.23,,2006-12,,
2006-09,1.755B,1.755B,917.40M,837.40M,492.60M,,,90.00M,,,,542.80M,294.60M,,,,90.00M,,349.20M,130.00M,219.20M,38.30M,,257.50M,162.71M,294.60M,,2006-09,0.40,0.07,0.46,,2006-09,0.39,0.07,0.46,,2006-09,0.185,,2006-09,,
2006-06,2.107B,1.714B,1.443B,270.30M,557.30M,,,-83.20M,,,,91.20M,179.10M,,,,-83.20M,,214.80M,89.20M,125.60M,578.10M,,703.70M,175.52M,179.10M,,2006-06,0.22,1.01,1.23,,2006-06,0.22,1.00,1.22,,2006-06,0.185,,2006-06,,
2006-03,1.761B,1.927B,781.80M,1.145B,495.30M,120.50M,,23.00M,,,,658.10M,487.10M,,,,23.00M,,503.10M,188.50M,314.60M,56.00M,,370.60M,300.22M,487.10M,,2006-03,0.54,0.10,0.64,,2006-03,0.54,0.10,0.64,,2006-03,0.185,,2006-03,,
2005-12,2.030B,2.030B,947.70M,1.083B,481.00M,145.90M,,-3.10M,,,,677.90M,404.80M,,,,-3.10M,,413.80M,156.80M,257.00M,2.70M,,259.70M,258.93M,404.80M,,2005-12,0.45,0.00,0.45,,2005-12,0.44,0.00,0.45,,2005-12,0.185,,2005-12,,
2005-09,1.922B,1.922B,925.40M,996.30M,454.50M,142.00M,,-12.80M,,,,666.60M,329.70M,,,,-12.80M,,332.10M,126.00M,206.10M,13.90M,,220.00M,214.04M,329.70M,,2005-09,0.36,0.02,0.38,,2005-09,0.35,0.02,0.38,,2005-09,0.155,,2005-09,,
2005-06,1.038B,-65.93M,463.30M,-529.23M,419.00M,,,-475.80M,,,,-185.00M,-344.23M,,,,-475.80M,,42.60M,10.60M,32.00M,226.70M,,258.70M,389.41M,-344.23M,,2005-06,0.06,0.3912,-0.03,,2005-06,0.05,0.3858,-0.03,,2005-06,0.155,,2005-06,,
2005-03,1.926B,2.215B,1.016B,1.200B,485.50M,136.50M,,165.50M,,,,691.60M,507.90M,,,,165.50M,,509.20M,190.20M,319.00M,19.40M,,338.40M,215.32M,507.90M,,2005-03,0.55,0.03,0.58,,2005-03,0.54,0.03,0.57,,2005-03,0.155,,2005-03,,
2004-12,1.902B,1.994B,915.72M,1.078B,465.36M,150.07M,,11.35M,,,,691.59M,386.27M,,,,11.35M,,397.62M,147.52M,250.10M,,,250.10M,242.96M,386.27M,,2004-12,0.43,0.00,0.43,,2004-12,0.42,0.00,0.42,,2004-12,0.155,,2004-12,,
2004-09,1.770B,1.855B,867.02M,987.66M,446.16M,148.72M,,12.58M,,,,669.30M,318.36M,,,,12.58M,,330.94M,122.78M,208.16M,,,208.16M,200.25M,318.36M,,2004-09,0.36,0.00,0.36,,2004-09,0.35,0.00,0.35,,2004-09,0.14,,2004-09,,
2004-06,1.517B,1.610B,759.79M,850.50M,416.12M,114.00M,,10.04M,,,,581.70M,268.81M,,,,10.04M,,278.85M,104.83M,174.02M,,,211.92M,167.75M,268.81M,,2004-06,-0.03,0.0641,-0.03,,2004-06,-0.03,0.0633,-0.03,,2004-06,0.14,,2004-06,,
2004-03,2.025B,2.121B,944.37M,1.177B,487.41M,144.82M,,12.00M,,,,709.42M,467.64M,,,,12.00M,,479.64M,179.39M,300.25M,,,300.25M,292.74M,467.64M,,2004-03,0.51,0.00,0.51,,2004-03,0.50,0.00,0.50,,2004-03,0.14,,2004-03,,
2003-12,1.745B,1.827B,810.30M,1.017B,459.29M,133.12M,,14.07M,,,,666.03M,351.07M,,,,14.07M,,365.14M,136.56M,228.58M,,,228.58M,219.77M,351.07M,,2003-12,0.39,0.00,0.39,,2003-12,0.38,0.00,0.38,,2003-12,0.14,,2003-12,,
2003-09,1.637B,1.720B,794.24M,926.04M,426.88M,131.75M,,18.59M,,,,633.36M,292.68M,,,,18.59M,,311.27M,116.42M,194.85M,,,194.85M,183.21M,292.68M,,2003-09,0.33,0.00,0.33,,2003-09,0.32,0.00,0.32,,2003-09,0.12,,2003-09,,
2003-06,1.820B,1.912B,888.96M,1.023B,495.60M,134.51M,,104.59M,,,,700.91M,321.69M,,,,104.59M,,348.35M,131.68M,216.67M,,,216.67M,151.62M,321.69M,,2003-06,0.03,0.00,0.03,,2003-06,0.02,0.00,0.02,,2003-06,0.12,,2003-06,,
