,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,508.40M,508.40M,373.29M,135.11M,85.18M,,,,,,,,85.18M,49.93M,,,,,,43.89M,13.48M,30.42M,,,30.42M,21.72M,49.93M,,2002-03,0.78,0.78,,2002-03,0.77,0.00,,2002-03,39.04M,,2002-03,,
2001-12,465.25M,465.25M,337.32M,127.93M,82.89M,,,,,,,,61.54M,66.39M,,,,,,37.93M,8.761M,29.17M,,,29.17M,24.31M,66.39M,,2001-12,0.75,0.75,,2001-12,0.74,0.00,,2001-12,38.81M,,2001-12,,
2001-09,466.01M,466.01M,337.42M,128.59M,89.06M,,,,,,,7.263M,96.33M,32.26M,,,,,,32.26M,10.16M,22.10M,,,22.10M,23.91M,32.26M,,2001-09,0.57,0.57,,2001-09,0.56,0.00,,2001-09,38.85M,,2001-09,,
2001-06,503.00M,503.00M,359.47M,143.54M,90.68M,,,,,,,-404.67M,-313.99M,457.53M,,,,,,45.48M,14.42M,31.06M,,,31.06M,23.10M,457.53M,,2001-06,0.80,0.80,,2001-06,0.79,0.00,,2001-06,38.76M,,2001-06,,
2001-03,470.73M,470.73M,335.50M,135.23M,84.50M,,,,,,,-375.97M,-291.48M,426.71M,,,,,,44.02M,14.04M,29.98M,,,29.98M,21.09M,426.71M,,2001-03,0.78,0.78,,2001-03,0.77,0.00,,2001-03,38.50M,,2001-03,,
2000-12,450.93M,450.93M,309.88M,141.05M,73.20M,,,,,,,,93.44M,47.62M,,,,,,42.50M,11.14M,31.36M,,,31.36M,20.24M,47.62M,,2000-12,0.82,0.82,,2000-12,0.81,0.00,,2000-12,38.24M,,2000-12,,
2000-09,420.40M,420.40M,286.45M,133.96M,76.95M,,,,,,,,96.57M,37.39M,,,,,,32.18M,10.46M,21.72M,,,21.72M,19.62M,37.39M,,2000-09,0.57,0.57,,2000-09,0.56,0.00,,2000-09,38.24M,,2000-09,,
2000-06,465.55M,465.55M,312.37M,153.18M,84.71M,,,,,,,,104.18M,49.00M,,,,,,43.57M,14.25M,29.32M,,,29.32M,19.47M,49.00M,,2000-06,0.77,0.77,,2000-06,0.76,0.00,,2000-06,38.18M,,2000-06,,
2000-03,427.59M,427.59M,288.09M,139.50M,76.42M,,,,,,,,94.51M,45.00M,,,,,,39.96M,13.15M,26.81M,,,26.81M,18.09M,45.00M,,2000-03,0.70,0.70,,2000-03,0.70,0.00,,2000-03,38.10M,,2000-03,,
1999-12,410.37M,410.37M,284.60M,125.77M,63.80M,,,,,,,,81.40M,44.37M,,,,,,40.00M,12.70M,27.30M,,,27.30M,17.60M,44.37M,,1999-12,0.72,0.72,,1999-12,0.71,0.00,,1999-12,37.94M,,1999-12,,
1999-09,377.40M,377.40M,255.60M,121.80M,71.30M,,,,,,,,88.50M,33.30M,,,,,,28.80M,9.80M,19.00M,,,19.00M,17.20M,33.30M,,1999-09,0.50,0.50,,1999-09,0.49,0.00,,1999-09,38.00M,,1999-09,,
1999-06,421.10M,421.10M,283.00M,138.10M,77.60M,,,,,,,,94.30M,43.80M,,,,,,39.30M,13.40M,25.90M,,,25.90M,16.70M,43.80M,,1999-06,0.69,0.69,,1999-06,0.67,0.00,,1999-06,37.54M,,1999-06,,
1999-03,392.20M,392.20M,265.30M,126.90M,72.00M,,,,,,,,87.90M,39.00M,,,,,,34.70M,11.60M,23.10M,,,23.10M,15.90M,39.00M,,1999-03,0.61,0.61,,1999-03,0.60,0.00,,1999-03,37.87M,,1999-03,,
1998-12,385.88M,385.88M,262.10M,123.78M,67.40M,,,,,,,,82.60M,41.18M,,,,,,37.10M,11.80M,25.30M,,,25.30M,15.20M,41.18M,,1998-12,0.68,0.68,,1998-12,0.66,0.00,,1998-12,37.15M,,1998-12,,
1998-09,343.00M,343.00M,231.70M,111.30M,67.40M,,,,,,,,82.50M,28.80M,,,,,,24.60M,8.40M,16.20M,,,16.20M,15.10M,28.80M,,1998-09,0.43,0.43,,1998-09,0.42,0.00,,1998-09,37.67M,,1998-09,,
1998-06,363.00M,363.00M,243.90M,119.10M,66.40M,,,,,,,,82.30M,36.80M,,,,,,32.50M,11.30M,21.20M,,,21.20M,15.90M,36.80M,,1998-06,0.57,0.57,,1998-06,0.55,0.00,,1998-06,37.19M,,1998-06,,
