,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2001-06,,1.764B,,1.764B,,,,,1.764B,,,,,,356.33M,,,,41.11B,644.88M,,40.47B,4.283B,47.50B,49.29B,,,,1.427B,1.427B,1.427B,1.427B,5.307B,5.307B,37.05B,42.35B,44.54B,1.144B,3.211B,340.23M,46.05M,250.00M,101.48M,4.751B
2001-03,,2.009B,,2.009B,,,,,2.009B,,,,,,360.14M,,,,40.93B,644.56M,,40.28B,5.198B,48.23B,50.27B,,,,679.80M,679.80M,679.80M,679.80M,7.289B,7.289B,36.79B,44.08B,45.60B,1.142B,3.087B,326.13M,,250.00M,113.78M,4.669B
2000-12,,1.931B,,1.931B,,,,,1.931B,,,,,,364.25M,,,,40.17B,608.11M,,39.56B,5.621B,47.58B,49.53B,,,,2.093B,2.093B,2.093B,2.093B,8.259B,8.259B,33.85B,42.11B,45.03B,1.139B,3.086B,301.41M,16.41M,250.00M,-9.147M,4.500B
2000-09,,1.519B,,1.519B,,,,,1.519B,,,,,,312.99M,,,,35.04B,523.58M,,34.51B,2.863B,39.34B,40.89B,,,,1.130B,1.130B,1.130B,3.285B,7.651B,7.651B,25.52B,33.17B,37.04B,1.036B,2.821B,39.76M,32.39M,250.00M,-18.93M,3.846B
2000-06,,1.744B,,1.744B,,,,,1.744B,,,,,,317.60M,,,,35.00B,520.58M,,34.48B,2.915B,39.30B,41.07B,,,,1.827B,1.827B,1.827B,3.351B,8.215B,8.215B,25.31B,33.53B,37.37B,1.036B,2.704B,37.10M,43.44M,250.00M,-39.64M,3.694B
2000-03,,1.444B,,1.444B,,,,,1.444B,,,,,,318.10M,,,,33.86B,502.95M,,33.36B,2.871B,38.20B,39.66B,,,,879.56M,879.56M,879.56M,4.345B,7.900B,7.900B,23.31B,31.21B,36.09B,1.036B,2.588B,36.44M,47.14M,250.00M,-47.94M,3.565B
1999-12,,1.202B,,1.202B,,,,,1.202B,,,,,,330.73M,,,,32.69B,476.47M,,32.22B,3.352B,37.41B,38.65B,,,,1.436B,1.436B,1.436B,2.768B,8.580B,8.580B,23.29B,31.87B,35.18B,1.036B,2.485B,35.09M,47.16M,250.00M,-34.66M,3.475B
1999-09,,1.486B,,1.486B,,,,,1.486B,,,,,,336.40M,,,,32.08B,463.50M,,31.61B,2.314B,35.77B,37.28B,,,,2.212B,2.212B,2.212B,3.169B,7.399B,7.399B,22.90B,30.30B,33.92B,1.036B,2.379B,32.50M,59.10M,250.00M,-25.60M,3.363B
1999-06,,1.536B,,1.536B,,,,,1.536B,,,,,,345.30M,,,,31.57B,460.40M,,31.11B,2.430B,35.40B,36.95B,,,,912.30M,912.30M,912.30M,3.746B,7.231B,7.231B,22.35B,29.58B,33.70B,250.00M,2.271B,,,250.00M,-26.10M,3.247B
1999-03,,1.489B,,1.489B,,,,,1.489B,,,,,,347.50M,,,,30.98B,452.90M,,30.53B,2.569B,34.95B,36.45B,,,,389.60M,389.60M,389.60M,3.534B,6.732B,6.732B,22.59B,29.32B,33.29B,250.00M,2.168B,,,250.00M,-3.90M,3.159B
1998-12,,1.773B,,1.773B,,,,,1.773B,,,,,,352.70M,,,,30.60B,452.40M,,30.15B,2.822B,34.82B,36.60B,,,,471.20M,471.20M,471.20M,3.580B,5.282B,5.282B,24.31B,29.60B,33.55B,1.036B,2.087B,24.60M,89.10M,250.00M,-11.70M,3.047B
1998-09,,1.364B,,1.364B,,,,,1.364B,,,,,,361.20M,,,,28.47B,438.90M,,28.03B,3.237B,33.01B,34.38B,,,,1.182B,1.182B,1.182B,3.329B,5.633B,5.633B,22.23B,27.87B,31.44B,250.00M,1.999B,,,250.00M,2.70M,2.94B
1998-06,,2.222B,,2.222B,,,,,2.222B,,,,,,361.00M,,,,28.00B,438.90M,,27.56B,3.662B,32.80B,35.05B,,,,2.542B,2.542B,2.542B,3.592B,5.662B,5.662B,22.62B,28.28B,32.22B,250.00M,1.904B,,,250.00M,-5.20M,2.827B
