,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-12,742.95M,742.95M,2.572B,2.572B,612.19M,174.61M,987.90M,1.775B,375.78M,206.50M,82.07M,5.754B,0.0,227.17M,1.458B,3.714B,,98.88M,164.50M,5.663B,-3.553B,2.109B,4.518B,1.780B,6.297B,465.89M,76.00M,501.03M,9.450B,15.20B,683.99M,154.73M,216.75M,1.055B,1.315B,2.371B,,,,,2.434B,,2.434B,,,,20.55M,4.825B,1.248B,,1.248B,125.09M,125.09M,,11.62M,1.330B,2.703B,7.528B,5.318M,9.196B,105.50M,1.391B,,,-253.21M,7.663B
2008-09,867.62M,867.62M,2.982B,2.982B,594.80M,191.27M,1.049B,1.836B,505.86M,168.49M,619.76M,6.979B,0.0,229.84M,1.418B,3.781B,,136.62M,,5.566B,-3.445B,2.121B,4.783B,1.690B,6.472B,,74.21M,1.373B,10.04B,17.02B,845.63M,,,845.63M,1.395B,2.241B,,,,,2.197B,,2.197B,,,,576.22M,5.014B,1.398B,,1.398B,464.80M,464.80M,,,1.046B,2.909B,7.924B,5.314M,9.117B,81.66M,991.58M,,,883.12M,9.096B
2008-06,640.17M,640.17M,3.302B,3.302B,603.44M,197.16M,1.045B,1.846B,553.06M,209.10M,,6.550B,0.0,242.33M,1.546B,4.188B,,141.23M,,6.118B,-3.833B,2.285B,4.753B,1.526B,6.280B,,68.48M,1.406B,10.04B,16.59B,921.22M,,,921.22M,1.448B,2.369B,,,,,1.466B,,1.466B,,,,339.79M,4.175B,1.462B,,1.462B,376.74M,376.74M,,,1.076B,2.916B,7.091B,5.311M,8.822B,61.21M,585.57M,,,1.196B,9.499B
2008-03,927.44M,927.44M,3.014B,3.014B,558.00M,197.92M,1.010B,1.766B,529.93M,190.94M,,6.429B,0.0,236.83M,1.519B,4.105B,,129.20M,,5.990B,-3.742B,2.248B,4.476B,1.363B,5.840B,,70.11M,1.399B,9.556B,15.98B,873.60M,,,873.60M,1.351B,2.225B,,,,,1.340B,,1.340B,,,,358.51M,3.923B,1.435B,,1.435B,301.13M,301.13M,,,1.077B,2.814B,6.737B,5.307M,8.440B,30.93M,385.57M,,,1.158B,9.248B
2007-12,827.52M,827.52M,2.916B,2.916B,516.91M,182.99M,925.92M,1.626B,607.67M,189.09M,,6.166B,0.0,226.21M,1.477B,4.006B,,109.27M,,5.818B,-3.624B,2.194B,4.387B,1.296B,5.683B,,61.42M,1.421B,9.360B,15.53B,854.15M,,,854.15M,1.121B,1.976B,,,,,410.51M,,410.51M,220.41M,220.41M,,353.81M,2.960B,1.889B,,1.889B,260.66M,260.66M,,,1.065B,3.214B,6.175B,5.625M,9.879B,173.61M,1.758B,446.64M,604.15M,1.051B,9.351B
2007-09,602.10M,602.10M,2.842B,2.842B,512.81M,188.08M,906.87M,1.608B,431.93M,218.20M,,5.702B,0.0,216.72M,1.428B,3.907B,,103.40M,,5.655B,-3.534B,2.121B,4.327B,1.267B,5.594B,,116.90M,1.348B,9.180B,14.88B,779.07M,,,779.07M,1.248B,2.027B,,,,,101.47M,,101.47M,,,,277.34M,2.406B,1.573B,,1.573B,324.33M,324.33M,,,1.192B,3.090B,5.496B,5.62M,9.557B,142.92M,958.91M,,,640.10M,9.386B
2007-06,481.51M,481.51M,2.883B,2.883B,520.90M,169.08M,922.40M,1.612B,463.79M,213.90M,,5.654B,0.0,209.37M,1.414B,3.842B,,115.28M,,5.581B,-3.464B,2.117B,4.184B,1.225B,5.409B,,132.98M,1.323B,8.982B,14.64B,805.98M,,,805.98M,1.193B,1.999B,,,,,528.10M,,528.10M,,,,293.54M,2.820B,956.58M,,956.58M,285.67M,285.67M,,,1.186B,2.428B,5.248B,5.612M,9.218B,106.91M,479.87M,,,537.83M,9.388B
2007-03,574.58M,574.58M,2.682B,2.682B,523.86M,182.70M,895.14M,1.602B,444.16M,202.51M,,5.504B,0.0,202.39M,1.395B,3.742B,,110.90M,,5.450B,-3.379B,2.071B,4.103B,1.180B,5.284B,,173.40M,1.342B,8.869B,14.37B,801.15M,,,801.15M,1.123B,1.924B,,,,,577.14M,,577.14M,,,,255.36M,2.757B,956.29M,,956.29M,292.62M,292.62M,,,1.211B,2.460B,5.217B,5.604M,8.828B,68.54M,179.87M,,,434.25M,9.157B
2006-12,590.21M,590.21M,2.471B,2.471B,470.03M,166.95M,845.53M,1.483B,465.56M,196.86M,,5.206B,0.0,193.33M,1.375B,3.744B,,96.85M,,5.409B,-3.355B,2.053B,4.025B,1.114B,5.139B,,116.24M,1.366B,8.674B,13.88B,707.66M,,,707.66M,1.188B,1.895B,,,,,462.72M,,462.72M,,,,278.68M,2.637B,955.61M,,955.61M,259.16M,259.16M,,,1.012B,2.226B,4.863B,6.309M,10.41B,1.379B,3.221B,,,446.64M,9.018B
2006-09,617.91M,617.91M,2.370B,2.370B,442.55M,152.59M,849.42M,1.445B,462.45M,197.18M,,5.092B,0.0,180.28M,1.331B,3.651B,,102.67M,,5.265B,-3.286B,1.979B,3.407B,904.31M,4.311B,,,1.868B,8.159B,13.25B,649.47M,,,649.47M,1.076B,1.726B,,,,,524.63M,,524.63M,,,,193.54M,2.444B,964.30M,,964.30M,133.10M,133.10M,,,998.21M,2.096B,4.539B,6.304M,10.08B,1.154B,2.822B,,,287.62M,8.711B
2006-06,459.19M,459.19M,2.374B,2.374B,415.60M,147.80M,806.65M,1.370B,427.00M,185.85M,,4.816B,0.0,176.34M,1.287B,3.588B,,105.43M,,5.157B,-3.241B,1.916B,3.224B,773.53M,3.998B,,,1.814B,7.728B,12.54B,669.36M,,,669.36M,1.025B,1.695B,,,,,91.71M,,91.71M,,,,185.58M,1.972B,960.14M,,960.14M,25.44M,25.44M,,,992.35M,1.978B,3.950B,6.303M,9.757B,1.336B,2.773B,,,267.16M,8.594B
2006-03,454.47M,454.47M,2.192B,2.192B,369.99M,146.95M,762.16M,1.279B,245.04M,181.79M,,4.352B,0.0,168.60M,1.236B,3.306B,142.15M,102.65M,,4.955B,-3.112B,1.843B,3.196B,759.55M,3.956B,,7.342M,1.792B,7.598B,11.95B,592.16M,,,592.16M,936.13M,1.528B,,,,,230.76M,,230.76M,,,,186.85M,1.946B,959.98M,,959.98M,,,,,979.47M,1.939B,3.885B,3.147M,9.385B,1.299B,2.773B,,,150.43M,8.065B
2005-12,370.42M,370.42M,2.098B,2.098B,340.75M,136.56M,725.76M,1.203B,271.11M,168.74M,,4.112B,0.0,156.98M,1.210B,3.236B,155.56M,92.93M,,4.851B,-3.044B,1.807B,3.009B,669.93M,3.679B,,45.27M,1.803B,7.334B,11.45B,560.08M,,,560.08M,1.014B,1.574B,,,,,252.90M,,252.90M,,,,173.81M,2.001B,958.32M,,958.32M,,,,,939.70M,1.898B,3.899B,3.12M,9.112B,1.083B,2.773B,,,122.01M,7.547B
2005-09,351.34M,351.34M,2.169B,2.169B,359.60M,132.14M,737.93M,1.230B,144.27M,158.95M,,4.053B,0.0,157.94M,1.226B,3.425B,,95.18M,,4.904B,-3.079B,1.825B,,3.377B,3.377B,,50.05M,1.930B,7.182B,11.24B,543.90M,,,543.90M,975.00M,1.519B,,,,,378.61M,,378.61M,,,,122.89M,2.020B,965.54M,,965.54M,,,,,968.14M,1.934B,3.954B,3.117M,8.804B,1.042B,2.773B,,,204.32M,7.281B
2005-06,858.68M,858.68M,2.134B,2.134B,372.51M,131.73M,770.30M,1.275B,143.02M,156.66M,,4.567B,0.0,157.51M,1.214B,3.232B,153.25M,102.49M,,4.859B,-3.037B,1.822B,,3.312B,3.312B,,121.16M,1.806B,7.062B,11.63B,555.80M,,,555.80M,946.67M,1.502B,,,,,696.79M,,696.79M,,,,81.12M,2.280B,967.21M,,967.21M,,,,,954.32M,1.922B,4.202B,3.117M,8.489B,1.025B,2.304B,,,214.56M,7.427B
2005-03,1.053B,1.053B,2.132B,2.132B,411.16M,138.58M,811.66M,1.361B,174.02M,135.39M,,4.856B,0.0,162.68M,1.239B,3.280B,155.91M,109.77M,,4.947B,-3.072B,1.875B,,3.336B,3.336B,,115.34M,1.823B,7.150B,12.01B,600.27M,,,600.27M,890.26M,1.491B,,,,,785.98M,,785.98M,,,,94.80M,2.371B,967.86M,,967.86M,,,,,958.05M,1.926B,4.297B,3.116M,8.195B,1.007B,1.921B,,,425.16M,7.709B
2004-12,667.39M,667.39M,2.055B,2.055B,385.04M,118.05M,778.07M,1.281B,171.61M,147.42M,,4.322B,0.0,160.65M,1.237B,3.272B,150.41M,117.37M,,4.937B,-3.060B,1.877B,,3.193B,3.193B,,233.17M,1.727B,7.030B,11.35B,603.81M,,,603.81M,959.38M,1.563B,,,,,203.52M,,203.52M,,,,84.26M,1.851B,921.10M,,921.10M,,,,,952.26M,1.873B,3.724B,3.114M,7.964B,978.94M,1.731B,,,413.42M,7.628B
2004-09,930.28M,930.28M,1.984B,1.984B,357.08M,108.47M,676.98M,1.143B,128.98M,231.13M,,4.417B,0.0,156.76M,1.179B,3.309B,,124.18M,,4.770B,-2.962B,1.808B,,3.076B,3.076B,,403.93M,1.694B,6.981B,11.40B,540.07M,,,540.07M,914.10M,1.454B,,,,,97.07M,,97.07M,,,,455.89M,2.007B,924.00M,,924.00M,,,,,923.53M,1.848B,3.855B,3.111M,7.687B,921.20M,1.204B,,,135.62M,7.543B
2004-06,1.537B,1.537B,1.980B,1.980B,334.94M,103.17M,660.11M,1.098B,161.32M,222.21M,,4.999B,0.0,157.36M,1.176B,3.116B,146.80M,113.08M,,4.709B,-2.918B,1.791B,,3.040B,3.040B,,366.45M,1.654B,6.852B,11.85B,550.08M,,,550.08M,881.73M,1.432B,,,,,59.96M,,59.96M,,,,298.05M,1.790B,923.51M,,923.51M,,,,,926.93M,1.850B,3.640B,3.105M,7.440B,894.62M,260.68M,,,133.05M,8.210B
2004-03,1.729B,1.729B,1.910B,1.910B,294.98M,104.76M,670.74M,1.070B,159.34M,226.88M,,5.095B,0.0,140.41M,1.168B,3.141B,148.52M,104.12M,,4.702B,-2.919B,1.783B,,2.894B,2.894B,,389.77M,1.603B,6.671B,11.77B,537.37M,,,537.37M,831.34M,1.369B,,,,,51.35M,,51.35M,,,,278.71M,1.699B,920.85M,,920.85M,,,,,912.38M,1.833B,3.532B,3.097M,7.153B,850.30M,1.592M,,,229.03M,8.234B
2003-12,1.684B,1.684B,1.721B,1.721B,286.55M,102.27M,603.16M,991.98M,167.92M,217.64M,,4.783B,0.0,135.36M,1.140B,3.047B,145.66M,93.69M,,4.561B,-2.833B,1.729B,,2.799B,2.799B,,370.74M,1.512B,6.410B,11.19B,481.41M,,,481.41M,870.95M,1.352B,,,,,56.09M,,56.09M,,,,80.45M,1.489B,920.36M,,920.36M,,,,,909.77M,1.830B,3.319B,3.089M,6.937B,825.92M,1.648M,,,109.81M,7.874B
2003-09,1.373B,1.373B,1.702B,1.702B,288.78M,102.12M,589.09M,979.99M,129.41M,223.54M,,4.408B,0.0,131.16M,1.095B,3.087B,,123.57M,,4.437B,-2.767B,1.670B,,2.734B,2.734B,,550.84M,1.433B,6.388B,10.80B,424.75M,,,424.75M,769.73M,1.194B,,,,,70.16M,,70.16M,,,,257.94M,1.523B,926.28M,,926.28M,,,,,947.10M,1.873B,3.396B,3.084M,6.728B,782.69M,1.648M,,,-112.23M,7.400B
2003-06,1.234B,1.234B,1.710B,1.710B,302.21M,92.38M,617.11M,1.012B,145.86M,221.18M,,4.323B,0.0,125.76M,1.111B,3.118B,,126.15M,,4.481B,-2.778B,1.703B,,2.704B,2.704B,,554.68M,1.979B,6.940B,11.26B,442.17M,,,442.17M,785.98M,1.228B,,,,,116.76M,,116.76M,,,,186.30M,1.531B,1.446B,,1.446B,,,,,990.21M,2.436B,3.967B,3.079M,6.533B,765.12M,1.648M,,,-3.851M,7.295B
2003-03,1.126B,1.126B,1.562B,1.562B,289.97M,94.26M,624.73M,1.009B,134.88M,219.68M,,4.051B,0.0,121.26M,1.075B,3.020B,,113.10M,,4.329B,-2.672B,1.657B,,2.641B,2.641B,,558.62M,1.938B,6.795B,10.85B,425.79M,,,425.79M,709.93M,1.136B,,,,,101.00M,,101.00M,,,,248.11M,1.485B,1.452B,,1.452B,,,,,990.72M,2.443B,3.927B,3.077M,6.327B,754.14M,1.662M,,,-163.58M,6.919B
2002-12,1.058B,1.058B,1.500B,1.500B,275.90M,98.68M,588.17M,962.75M,136.56M,217.74M,4.044M,3.879B,0.0,119.75M,1.042B,2.817B,135.51M,91.71M,,4.206B,-2.574B,1.631B,,2.625B,2.625B,,541.62M,1.947B,6.744B,10.62B,416.96M,,,416.96M,833.69M,1.251B,,,,,121.60M,,121.60M,,,,194.91M,1.567B,1.460B,,1.460B,,,,,946.49M,2.407B,3.974B,3.068M,6.202B,747.78M,1.662M,,,-302.38M,6.649B
2002-09,720.42M,720.42M,1.575B,1.575B,289.54M,105.64M,586.76M,981.95M,133.98M,196.85M,99.25M,3.707B,0.0,118.12M,1.008B,2.879B,130.28M,150.36M,,4.285B,-2.649B,1.637B,,2.595B,2.595B,,500.21M,1.989B,6.720B,10.43B,416.04M,,,416.04M,847.83M,1.264B,,,,,132.80M,,132.80M,,,,122.20M,1.519B,1.475B,,1.475B,,,,,936.02M,2.411B,3.930B,3.067M,6.050B,716.91M,1.662M,-269.86M,,-269.86M,6.498B
2002-06,485.34M,485.34M,1.585B,1.585B,279.80M,101.67M,576.05M,957.52M,134.63M,197.24M,90.70M,3.450B,0.0,116.51M,975.95M,2.973B,,161.95M,,4.227B,-2.594B,1.633B,,2.540B,2.540B,,515.96M,2.031B,6.721B,10.17B,400.41M,,,400.41M,813.69M,1.214B,,,,,171.34M,,171.34M,,,,105.27M,1.491B,1.485B,,1.485B,,,,,935.52M,2.421B,3.911B,3.066M,5.875B,715.45M,1.662M,-331.32M,,-331.32M,6.260B
2002-03,281.03M,281.03M,1.487B,1.487B,285.20M,86.36M,593.40M,964.96M,133.42M,195.27M,95.75M,3.157B,0.0,112.75M,949.99M,2.786B,123.70M,135.93M,,4.109B,-2.503B,1.605B,,2.490B,2.490B,,492.78M,1.937B,6.526B,9.683B,390.86M,,,390.86M,765.00M,1.156B,,,,,276.50M,,276.50M,,,,123.66M,1.556B,1.250B,,1.250B,,,,,931.04M,2.181B,3.737B,3.063M,5.675B,706.93M,1.662M,-437.02M,,-437.02M,5.946B
2001-12,282.22M,282.22M,1.450B,1.450B,287.07M,101.42M,605.67M,994.16M,139.23M,197.43M,100.18M,3.163B,0.0,114.65M,960.23M,2.800B,123.42M,105.32M,,4.104B,-2.470B,1.634B,,2.739B,2.739B,,439.28M,1.847B,6.659B,9.822B,367.25M,,,367.25M,737.46M,1.105B,,,,,313.45M,,313.45M,,,,100.01M,1.518B,1.267B,,1.267B,,,,,996.31M,2.263B,3.782B,3.052M,5.765B,675.86M,1.666M,-401.92M,,-401.92M,6.041B
2001-09,229.31M,229.31M,1.630B,1.630B,330.40M,120.15M,702.67M,1.153B,141.42M,195.70M,,3.349B,0.0,122.12M,1.017B,3.128B,,148.19M,,4.415B,-2.679B,1.736B,2.812B,,2.812B,,503.51M,1.752B,6.804B,10.15B,405.14M,,,405.14M,790.89M,1.196B,,,,,584.13M,,584.13M,,,,176.18M,1.956B,1.380B,,1.380B,,,,,926.00M,2.306B,4.263B,3.048M,5.641B,631.41M,1.666M,-383.39M,,-383.39M,5.891B
2001-06,176.93M,176.93M,1.636B,1.636B,,,,1.155B,136.69M,191.47M,,3.296B,0.0,119.87M,986.68M,3.054B,,152.01M,,4.312B,-2.601B,1.712B,2.625B,,2.625B,,503.59M,1.736B,6.576B,9.871B,409.07M,,,409.07M,762.17M,1.171B,,,,,559.48M,,559.48M,,,,119.08M,1.850B,1.390B,,1.390B,,,,,936.93M,2.327B,4.177B,3.047M,5.509B,629.92M,1.666M,-446.59M,,-446.59M,5.694B
2001-03,149.49M,149.49M,1.645B,1.645B,355.17M,136.45M,701.26M,1.193B,144.18M,184.98M,,3.316B,0.0,116.86M,988.72M,2.899B,123.04M,139.21M,,4.267B,-2.538B,1.729B,,2.507B,2.507B,,481.08M,1.592B,6.310B,9.626B,429.66M,,,429.66M,731.62M,1.161B,,,,,466.66M,,466.66M,,122.01M,122.01M,60.75M,1.811B,1.393B,,1.393B,,,,,837.75M,2.231B,4.042B,3.038M,5.338B,611.82M,1.666M,-366.78M,,-366.78M,5.584B
2000-12,151.30M,151.30M,,1.655B,,,,1.181B,,,341.75M,3.329B,,,,,,,,4.200B,-2.477B,1.723B,,2.484B,2.484B,,,2.068B,6.274B,9.603B,455.42M,,,455.42M,,455.42M,,,,,425.79M,,425.79M,,,,936.40M,1.818B,1.549B,,1.549B,,,,,835.82M,2.385B,4.202B,3.027M,5.214B,584.36M,1.783M,-398.71M,,-398.71M,5.401B
2000-09,267.59M,267.59M,,1.652B,,,,1.152B,,,365.61M,3.437B,,,,,,,,4.034B,-2.408B,1.626B,,2.320B,2.320B,,,2.172B,6.118B,9.556B,430.76M,,,430.76M,,430.76M,,,,,482.35M,,482.35M,,,,922.71M,1.836B,1.582B,,1.582B,,,,,848.21M,2.430B,4.266B,3.022M,5.073B,546.79M,1.783M,-331.41M,,-331.41M,5.290B
2000-06,212.15M,212.15M,,1.654B,,,,1.100B,,,341.92M,3.308B,,,,,,,,4.013B,-2.392B,1.621B,,2.167B,2.167B,,,2.214B,6.002B,9.310B,448.35M,,,448.35M,,448.35M,,,,,616.24M,,616.24M,,,,907.37M,1.972B,1.340B,,1.340B,,,,,870.15M,2.210B,4.182B,3.02M,4.869B,536.49M,1.783M,-279.63M,,-279.63M,5.127B
2000-03,247.90M,247.90M,,1.625B,,,,1.119B,,,349.03M,3.341B,,,,,,,,4.025B,-2.379B,1.646B,,2.143B,2.143B,,,2.013B,5.801B,9.142B,450.11M,,,450.11M,,450.11M,,,,,549.51M,,549.51M,,,,960.58M,1.960B,1.350B,,1.350B,,,,,871.30M,2.221B,4.182B,3.014M,4.650B,530.10M,1.783M,-221.72M,,-221.72M,4.960B
1999-12,233.00M,233.00M,,1.631B,,,,1.084B,,,324.80M,3.273B,,,,,,,,3.912B,-2.278B,1.634B,,2.03B,2.03B,,,2.124B,5.787B,9.060B,470.20M,,,470.20M,,470.20M,,,,,553.70M,,553.70M,,,,1.022B,2.045B,1.361B,,1.361B,,,,,838.80M,2.200B,4.245B,3.00M,4.486B,517.20M,1.80M,-188.50M,,-188.50M,4.815B
1999-09,151.50M,151.50M,,1.097B,,,,625.00M,,,211.10M,2.084B,,,,,,,,2.616B,-1.528B,1.088B,,1.578B,1.578B,,,2.141B,4.806B,6.891B,289.40M,,,289.40M,,289.40M,,,,,424.90M,,424.90M,,,,639.00M,1.353B,1.212B,,1.212B,,,,,583.70M,1.796B,3.149B,2.50M,3.561B,310.40M,1.80M,-130.90M,,-130.90M,3.742B
1999-06,119.50M,119.50M,,1.088B,,,,613.70M,,,211.30M,2.032B,,,,,,,,2.586B,-1.502B,1.084B,,1.543B,1.543B,,,2.079B,4.707B,6.739B,308.00M,,,308.00M,,308.00M,,,,,434.70M,,434.70M,,,,589.20M,1.332B,1.224B,,1.224B,,,,,592.60M,1.816B,3.148B,,3.419B,,,,,,3.590B
1999-03,250.60M,250.60M,,1.031B,,,,598.20M,,,188.30M,2.068B,,,,,,,,2.50B,-1.468B,1.032B,,1.339B,1.339B,,,2.022B,4.393B,6.462B,282.50M,,,282.50M,,282.50M,,,,,305.00M,,305.00M,,,,611.60M,1.199B,1.231B,,1.231B,,,,,597.50M,1.828B,3.027B,,3.257B,,,,,,3.434B
1998-12,109.50M,109.50M,,1.466B,,,,1.037B,,,416.40M,3.029B,,,,,,,,3.592B,-2.100B,1.492B,,1.557B,1.557B,,,2.135B,5.184B,8.212B,421.00M,,,421.00M,,421.00M,,,,,428.00M,,428.00M,,,,1.003B,1.852B,1.208B,,1.208B,,,,,908.70M,2.117B,3.969B,3.10M,3.864B,730.80M,238.50M,-112.60M,-3.40M,-116.00M,4.243B
1998-09,108.10M,108.10M,,997.30M,,,,603.10M,,,239.50M,1.948B,,,,,,,,2.322B,-1.371B,951.00M,,1.118B,1.118B,,,1.949B,4.018B,5.966B,286.30M,,,286.30M,,286.30M,,,,,401.90M,,401.90M,,,,601.20M,1.289B,952.20M,,952.20M,,,,,564.70M,1.517B,2.806B,,2.984B,,,,,,3.160B
1998-06,108.40M,108.40M,,935.10M,,,,532.20M,,,241.20M,1.817B,,,,,,,,2.214B,-1.327B,887.10M,,850.10M,850.10M,,,2.015B,3.752B,5.569B,261.60M,,,261.60M,,261.60M,,,,,307.90M,,307.90M,,,,549.20M,1.119B,841.80M,,841.80M,,,,,560.40M,1.402B,2.521B,,2.857B,,,,,,3.048B
