,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-03,712.20M,712.20M,415.70M,296.50M,163.30M,8.50M,-0.10M,,,,171.80M,124.70M,,,,9.70M,,125.30M,51.40M,73.90M,,,73.90M,73.96M,157.80M,33.10M,124.70M,,0.51,0.00,,0.5104,0.51,,0.51,0.00,,0.5104,0.51,,144.90M,144.90M,0.00,,,
2002-12,650.10M,650.10M,396.20M,253.90M,158.20M,7.40M,-9.30M,,,,165.60M,88.30M,,,,4.10M,,90.60M,37.60M,53.00M,,,53.00M,58.58M,117.70M,29.40M,88.30M,,0.36,0.00,,0.3980,0.36,,0.36,0.00,,0.3980,0.36,,146.90M,146.90M,0.00,,,
2002-09,655.20M,655.20M,381.90M,273.30M,153.40M,6.20M,-10.40M,,,,159.60M,113.70M,,,,-10.40M,,98.00M,40.70M,57.30M,,,57.30M,63.54M,140.30M,26.60M,113.70M,,0.40,0.00,,0.4431,0.40,,0.39,0.00,,0.4329,0.39,,144.63M,145.40M,0.00,,,
2002-06,612.40M,612.40M,336.10M,276.30M,137.00M,5.20M,1.40M,,,,142.20M,134.10M,,,,1.40M,,131.30M,52.80M,78.50M,,,78.50M,77.66M,157.60M,23.50M,134.10M,,0.56,0.00,,0.5540,0.56,,0.55,0.00,,0.5441,0.55,,140.72M,143.41M,0.00,,,
2002-03,590.00M,590.00M,331.60M,258.40M,136.90M,5.10M,0.20M,,,,142.00M,116.40M,,,,0.20M,,112.40M,46.60M,65.80M,,,65.80M,65.68M,138.70M,22.30M,116.40M,,0.47,0.00,,0.4691,0.47,,0.465,0.00,,0.4642,0.465,,140.00M,141.51M,0.00,,,
2001-12,563.80M,563.80M,338.70M,225.10M,136.10M,11.60M,1.00M,,,,147.70M,77.40M,,,,1.00M,,74.20M,33.40M,40.80M,,,40.80M,40.20M,105.90M,28.50M,77.40M,,0.29,0.00,0.0001,0.2857,0.29,,0.29,0.00,0.0001,0.2858,0.29,,140.64M,142.59M,0.00,,,
2001-09,560.90M,560.90M,322.90M,238.00M,128.00M,9.70M,-9.60M,,,,137.70M,100.30M,,,,-9.60M,,84.20M,37.90M,46.30M,,,43.10M,52.06M,126.00M,25.70M,100.30M,,0.33,-0.02,-0.0230,0.3715,0.31,,0.33,-0.02,-0.0230,0.3708,0.31,,138.89M,141.26M,0.00,,,
2001-06,549.70M,549.70M,308.80M,240.90M,127.40M,10.90M,-0.30M,,,,138.30M,102.60M,,,,-0.30M,,94.80M,42.70M,52.10M,,,52.10M,52.28M,128.80M,26.20M,102.60M,,0.38,0.00,,0.3813,0.38,,0.37,0.00,,0.3713,0.37,,138.53M,140.75M,0.00,,,
2001-03,525.40M,525.40M,303.80M,221.60M,125.00M,9.30M,0.60M,,,,134.30M,87.30M,,,,0.60M,,79.10M,35.60M,43.50M,,,43.50M,43.14M,110.90M,23.60M,87.30M,,0.315,0.00,,0.3124,0.315,,0.31,0.00,,0.3074,0.31,,138.46M,140.62M,0.00,,,
2000-12,486.00M,486.00M,288.50M,197.50M,123.70M,,-4.20M,,,,145.40M,52.10M,,,,-4.20M,,38.70M,17.80M,20.90M,,0.20M,20.90M,23.42M,73.80M,21.70M,52.10M,,0.1125,0.00,,0.1605,0.1125,,0.1125,0.00,,0.1574,0.1125,,52.46M,56.14M,0.00,,,
2000-09,488.10M,488.10M,276.20M,211.90M,118.70M,,0.90M,,,,142.60M,69.30M,,,,0.90M,,60.70M,27.90M,32.80M,,,32.80M,32.26M,93.20M,23.50M,69.30M,,0.245,0.00,,0.2410,0.245,,0.235,0.00,,0.2311,0.235,,133.88M,139.57M,0.00,,,
2000-06,482.40M,482.40M,266.10M,216.30M,122.10M,,-1.40M,,,,145.00M,71.30M,,,,-1.40M,,60.60M,27.90M,32.70M,,19.60M,32.70M,33.54M,94.20M,22.90M,71.30M,,0.2425,0.00,,0.2580,0.2425,,0.235,0.00,,0.2501,0.235,,54.02M,55.74M,0.00,,,
2000-03,462.70M,462.70M,265.40M,197.30M,118.40M,,0.10M,,,,139.90M,57.40M,,,,0.10M,,47.60M,21.90M,25.70M,,14.70M,25.70M,25.64M,78.90M,21.50M,57.40M,,0.2125,0.00,,0.2113,0.2125,,0.1875,0.00,,0.1865,0.1875,,51.76M,58.67M,0.00,,,
1999-12,422.70M,422.70M,259.10M,163.60M,109.00M,,0.20M,,,,130.50M,33.10M,,,,0.20M,,22.90M,8.70M,14.20M,,13.20M,14.20M,14.08M,54.60M,21.50M,33.10M,,0.02,0.00,,0.0176,0.02,,0.015,0.00,,0.0128,0.015,,52.78M,56.48M,0.00,,,
1999-09,428.60M,428.60M,252.50M,176.10M,115.60M,,-1.90M,,,,136.00M,40.10M,,,,-1.90M,,27.80M,10.60M,17.20M,,12.90M,17.20M,18.38M,60.50M,20.40M,40.10M,,0.075,0.00,,0.0955,0.075,,0.075,0.00,,0.0955,0.075,,57.33M,57.33M,0.00,,,
1999-06,429.50M,429.50M,251.60M,177.90M,114.40M,,0.20M,,,,135.80M,42.10M,,,,0.20M,,32.00M,12.20M,19.80M,,12.50M,19.80M,19.68M,63.50M,21.40M,42.10M,,0.14,0.00,,0.1376,0.14,,0.14,0.00,,0.1376,0.14,,52.14M,52.14M,0.00,,,
1999-03,417.90M,417.90M,253.20M,164.70M,109.10M,,-1.10M,,,,130.30M,34.40M,,,,-1.10M,,22.80M,8.70M,14.10M,,11.00M,14.10M,14.78M,55.60M,21.20M,34.40M,,0.05,0.00,,0.0610,0.05,,0.05,0.00,,0.0610,0.05,,62.00M,62.00M,0.00,,,
1998-12,407.80M,407.80M,252.00M,155.80M,107.90M,,-0.20M,,,,129.20M,26.60M,,,,-0.20M,,14.90M,-20.40M,35.30M,,10.20M,35.30M,35.42M,47.90M,21.30M,26.60M,,0.5009,,,0.5033,0.5009,,0.5009,,,0.5033,0.5009,,50.11M,50.11M,0.00,,,
1998-09,414.70M,414.70M,257.80M,156.90M,102.40M,,0.40M,,,,122.60M,34.30M,,,,0.40M,,22.30M,10.90M,11.40M,,11.10M,11.40M,11.16M,54.50M,20.20M,34.30M,,0.0060,,,0.0012,0.0060,,0.0060,,,0.0012,0.0060,,50.11M,50.11M,0.00,,,
1998-06,402.40M,402.40M,243.90M,158.50M,99.70M,,0.10M,,,,121.10M,37.40M,,,,0.10M,,25.40M,12.60M,12.80M,,11.50M,12.80M,12.74M,58.80M,21.40M,37.40M,,0.025,0.00,,0.0238,0.025,,0.025,0.00,,0.0238,0.025,,52.00M,52.00M,0.00,,,
1998-03,387.70M,387.70M,242.00M,145.70M,95.00M,,2.10M,,,,116.30M,29.40M,,,,2.10M,,18.80M,9.50M,9.30M,,11.00M,9.30M,8.04M,50.70M,21.30M,29.40M,,-0.025,0.00,,-0.0503,-0.025,,-0.025,0.00,,-0.0503,-0.025,,49.80M,49.80M,0.00,,,
1997-12,422.30M,422.30M,254.60M,167.70M,300.40M,,-22.20M,,,,322.30M,-154.60M,,,,-22.20M,,-190.80M,-72.10M,-118.70M,,10.20M,-118.70M,-104.89M,-132.70M,21.90M,-154.60M,,-2.625,0.00,,-2.346,-2.625,,-2.625,0.00,,-2.346,-2.625,,49.42M,49.42M,0.00,,,
1997-09,376.50M,376.50M,249.30M,127.20M,79.40M,,0.50M,,,,100.50M,26.70M,,,,0.50M,,13.40M,8.00M,5.40M,,12.00M,5.40M,5.10M,47.80M,21.10M,26.70M,,-0.125,0.00,,-0.1307,-0.125,,-0.125,0.00,,-0.1307,-0.125,,52.80M,52.80M,0.00,,,
1997-06,389.60M,389.60M,257.50M,132.10M,79.30M,,0.60M,,,,101.20M,30.90M,,,,0.60M,,10.20M,6.10M,4.10M,,1.20M,4.10M,3.74M,52.80M,21.90M,30.90M,,0.05,0.00,,0.0438,0.05,,0.05,0.00,,0.0438,0.05,,58.00M,58.00M,0.00,,,
1997-03,391.50M,391.50M,262.90M,128.60M,78.90M,,0.80M,,,,100.80M,27.80M,,,,0.80M,,5.90M,3.50M,2.40M,,,2.40M,1.92M,49.70M,21.90M,27.80M,,0.05,0.00,,0.04,0.05,,0.05,0.00,,0.04,0.05,,48.00M,48.00M,0.00,,,
1996-12,459.70M,459.70M,253.30M,206.40M,150.50M,,0.70M,,,,184.70M,21.70M,,,,0.70M,,2.10M,0.90M,1.20M,,,1.20M,0.78M,55.90M,34.20M,21.70M,,0.025,0.00,,0.0165,0.025,,0.025,0.00,,0.0165,0.025,,49.15M,49.15M,0.00,,,
1996-09,402.60M,402.60M,286.50M,116.10M,75.60M,,-184.40M,,,,96.50M,19.60M,,,,-184.40M,,-182.50M,-36.10M,-146.40M,,,-146.40M,1.524M,40.50M,20.90M,19.60M,,-2.975,0.00,,0.0310,-2.975,,-2.975,0.00,,0.0310,-2.975,,49.21M,49.21M,0.00,,,
1996-06,410.00M,410.00M,286.40M,123.60M,81.90M,,-22.80M,,,,103.50M,20.10M,,,,-22.80M,,-19.70M,-5.50M,-14.20M,,,-14.20M,2.235M,41.70M,21.60M,20.10M,,-0.30,0.00,,0.0472,-0.30,,-0.30,0.00,,0.0472,-0.30,,47.33M,47.33M,0.00,,,
1996-03,403.90M,403.90M,289.80M,114.10M,65.50M,,0.70M,,,,86.30M,27.80M,,,,0.70M,,11.80M,5.90M,5.90M,,,5.90M,5.48M,48.60M,20.80M,27.80M,,0.125,0.00,,0.1161,0.125,,0.125,0.00,,0.1161,0.125,,47.20M,47.20M,0.00,,,
1995-12,403.40M,403.40M,289.40M,114.00M,151.20M,,75.30M,,,,171.50M,-57.50M,,,,75.30M,,0.80M,0.40M,0.40M,,,0.40M,-44.78M,-37.20M,20.30M,-57.50M,,0.025,0.00,0.0105,-0.8454,0.025,,0.025,0.00,0.0105,-0.8454,0.025,,51.91M,51.91M,0.00,,,
1995-09,417.50M,417.50M,288.00M,129.50M,66.90M,,0.40M,,,,86.30M,43.20M,,,,0.40M,,26.20M,11.80M,14.40M,,,14.40M,14.16M,62.60M,19.40M,43.20M,,0.30,0.00,,0.295,0.30,,0.30,0.00,,0.295,0.30,,48.00M,48.00M,0.00,,,
1995-06,367.30M,367.30M,246.60M,120.70M,57.40M,,-74.70M,,,,75.90M,44.80M,,,,-74.70M,,-47.30M,-15.70M,-31.60M,,,-39.90M,18.31M,63.30M,18.50M,44.80M,,-0.70,-0.20,-0.1872,0.4257,-0.90,,-0.70,-0.20,-0.1872,0.4257,-0.90,,44.33M,44.33M,0.00,,,
1995-03,243.80M,243.80M,154.90M,88.90M,38.00M,,0.40M,,,,52.20M,36.70M,,,,0.40M,,23.40M,10.60M,12.80M,,,12.80M,12.56M,50.90M,14.20M,36.70M,,0.375,0.00,,0.3680,0.375,,0.375,0.00,,0.3680,0.375,,34.13M,34.13M,0.00,,,
1994-12,234.90M,234.90M,153.20M,81.70M,43.70M,,0.30M,,,,55.40M,26.30M,,,,0.30M,,14.20M,6.50M,7.70M,,,7.70M,7.52M,38.00M,11.70M,26.30M,,0.25,0.00,,0.2441,0.25,,0.25,0.00,,0.2448,0.25,,30.39M,34.46M,0.00,,,
1994-09,248.70M,248.70M,159.80M,88.90M,41.10M,,-20.80M,,,,54.40M,34.50M,,,,-20.80M,,2.10M,1.90M,0.20M,,,0.20M,12.68M,47.80M,13.30M,34.50M,,0.0059,,,0.3713,0.0059,,0.0059,,,0.3713,0.0059,,34.15M,34.15M,0.00,,,
1994-06,203.90M,203.90M,129.90M,74.00M,33.50M,,0.30M,,,,43.50M,30.50M,,,,0.30M,,24.80M,10.70M,14.10M,,,14.10M,13.92M,40.50M,10.00M,30.50M,,0.40,0.00,,0.3949,0.40,,0.40,0.00,,0.3949,0.40,,35.25M,35.25M,0.00,,,
1994-03,185.00M,185.00M,126.00M,59.00M,31.00M,,0.20M,,,,40.40M,18.60M,,,,0.20M,,14.30M,6.20M,8.10M,,,8.10M,7.98M,28.00M,9.40M,18.60M,,0.25,0.00,,0.2463,0.25,,0.25,0.00,,0.2463,0.25,,32.40M,32.40M,0.20,,,
1993-12,168.90M,168.90M,115.30M,53.60M,31.00M,,0.20M,,,,36.40M,17.20M,,,,0.20M,,13.60M,5.90M,7.70M,,,7.70M,7.58M,22.60M,5.40M,17.20M,,0.25,0.00,,0.2465,0.25,,0.25,0.00,,0.2465,0.25,,34.49M,34.49M,0.20,,,
1993-09,194.80M,194.80M,102.60M,92.20M,29.30M,,15.60M,,,,38.50M,53.70M,,,,15.60M,,66.20M,28.00M,38.20M,,,38.20M,28.84M,62.90M,9.10M,53.70M,,1.075,0.00,,0.8116,1.075,,1.075,0.00,,0.8116,1.075,,35.53M,35.53M,0.20,,,
1993-06,197.00M,197.00M,101.10M,95.90M,29.80M,,0.30M,,,,38.60M,57.30M,,,,0.30M,,55.20M,22.00M,33.20M,,,33.20M,33.02M,66.20M,8.90M,57.30M,,0.925,0.00,,0.9200,0.925,,0.925,0.00,,0.9200,0.925,,35.89M,35.89M,0.20,,,
1993-03,199.80M,199.80M,102.40M,97.40M,31.30M,,0.40M,,,,40.10M,57.30M,,,,0.40M,,56.10M,22.50M,33.60M,,,33.60M,33.36M,66.10M,8.80M,57.30M,,0.90,0.00,,0.8936,0.90,,0.90,0.00,,0.8936,0.90,,37.33M,37.33M,0.20,,,
1992-12,180.30M,180.30M,102.90M,77.40M,29.50M,,-127.50M,,,,34.90M,42.50M,,,,-127.50M,,-87.50M,-36.90M,-50.60M,,,-50.60M,25.90M,47.90M,5.40M,42.50M,,-1.325,0.00,,0.7387,-1.325,,-1.325,0.00,,0.7387,-1.325,,37.07M,37.07M,0.20,,,
1992-09,183.60M,183.60M,101.00M,82.60M,30.50M,,-2.10M,,,,30.50M,52.10M,,,,-2.10M,,49.60M,19.50M,30.10M,,,30.10M,31.37M,59.80M,7.70M,52.10M,,0.80,0.00,,0.8339,0.80,,0.80,0.00,,0.8339,0.80,,37.62M,37.62M,0.20,,,
1992-06,181.10M,181.10M,92.80M,88.30M,29.30M,,-0.70M,,,,36.20M,52.10M,,,,-0.70M,,51.40M,20.00M,31.40M,,,31.40M,31.83M,59.00M,6.90M,52.10M,,0.825,0.00,,0.8362,0.825,,0.825,0.00,,0.8362,0.825,,38.06M,38.06M,0.20,,,
1992-03,176.40M,176.40M,89.60M,86.80M,28.60M,,-2.10M,,,,35.50M,51.30M,,,,-2.10M,,48.60M,18.90M,29.70M,,,29.70M,30.98M,58.20M,6.90M,51.30M,,0.775,0.00,,0.8085,0.775,,0.775,0.00,,0.8085,0.775,,38.32M,38.32M,0.175,,,
1991-12,154.30M,154.30M,74.10M,80.20M,24.80M,,-6.70M,,,,30.90M,49.30M,,,,-6.70M,,42.60M,15.80M,26.80M,,,26.80M,31.02M,55.40M,6.10M,49.30M,,0.675,0.00,,0.7811,0.675,,0.675,0.00,,0.7811,0.675,,39.71M,39.71M,0.175,,,
1991-09,153.60M,153.60M,81.60M,72.00M,25.10M,,1.00M,,,,30.50M,41.50M,,,,1.00M,,42.50M,16.90M,25.60M,,,25.60M,25.00M,46.90M,5.40M,41.50M,,0.65,0.00,,0.6347,0.65,,0.65,0.00,,0.6347,0.65,,39.38M,39.38M,0.175,,,
1991-06,154.10M,154.10M,80.50M,73.60M,25.00M,,0.80M,,,,30.20M,43.40M,,,,0.80M,,44.20M,17.20M,27.00M,,,27.00M,26.51M,48.60M,5.20M,43.40M,,0.675,0.00,,0.6628,0.675,,0.675,0.00,,0.6628,0.675,,40.00M,40.00M,0.175,,,
1991-03,141.90M,141.90M,74.30M,67.60M,23.00M,,0.70M,,,,28.30M,39.30M,,,,0.70M,,40.00M,15.50M,24.50M,,,24.50M,24.07M,44.60M,5.30M,39.30M,,0.625,0.00,,0.6141,0.625,,0.625,0.00,,0.6141,0.625,,39.20M,39.20M,0.15,,,
1990-12,126.40M,126.40M,60.60M,65.80M,21.10M,,-6.60M,,,,25.00M,40.80M,,,,-6.60M,,34.20M,13.20M,21.00M,,,21.00M,25.05M,44.70M,3.90M,40.80M,,0.525,0.00,,0.6263,0.525,,0.525,0.00,,0.6263,0.525,,40.00M,40.00M,0.15,,,
1990-09,126.00M,126.00M,68.30M,57.70M,20.80M,,0.80M,,,,25.60M,32.10M,,,,0.80M,,32.90M,12.70M,20.20M,,,20.20M,19.71M,36.90M,4.80M,32.10M,,0.50,0.00,,0.4878,0.50,,0.50,0.00,,0.4878,0.50,,40.40M,40.40M,,,,
1990-06,127.40M,127.40M,67.20M,60.20M,20.60M,,1.60M,,,,25.50M,34.70M,,,,1.60M,,36.30M,14.80M,21.50M,,,21.50M,20.54M,39.60M,4.90M,34.70M,,0.55,0.00,,0.5254,0.55,,0.55,0.00,,0.5254,0.55,,39.09M,39.09M,,,,
1990-03,122.10M,122.10M,64.80M,57.30M,19.70M,,0.90M,,,,24.50M,32.80M,,,,0.90M,,33.70M,13.80M,19.90M,,,19.90M,19.36M,37.60M,4.80M,32.80M,,0.50,0.00,,0.4864,0.50,,0.50,0.00,,0.4864,0.50,,39.80M,39.80M,,,,
1989-12,107.70M,107.70M,52.80M,54.90M,18.10M,,,,,,21.80M,33.10M,,,,,,28.20M,11.30M,16.90M,,,16.90M,16.90M,36.80M,3.70M,33.10M,,0.425,0.00,,0.425,0.425,,0.425,0.00,,0.425,0.425,,39.76M,39.76M,,,,
1989-09,100.90M,100.90M,55.70M,45.20M,16.50M,,,,,,20.40M,24.80M,,,,,,24.80M,9.90M,14.90M,,,14.90M,14.90M,28.70M,3.90M,24.80M,,0.375,0.00,,0.375,0.375,,0.375,0.00,,0.375,0.375,,39.73M,39.73M,,,,
1989-06,99.90M,99.90M,53.10M,46.80M,15.50M,,,,,,18.40M,28.40M,,,,,,28.20M,11.10M,17.10M,,,17.10M,17.10M,31.30M,2.90M,28.40M,,0.425,0.00,,0.425,0.425,,0.425,0.00,,0.425,0.425,,40.24M,40.24M,,,,
1989-03,93.90M,93.90M,49.70M,44.20M,14.90M,,0.10M,,,,17.70M,26.50M,,,,0.10M,,26.60M,10.80M,15.80M,,,15.80M,15.74M,29.30M,2.80M,26.50M,,0.40,0.00,,0.3985,0.40,,0.40,0.00,,0.3985,0.40,,39.50M,39.50M,,,,
1988-12,79.00M,79.00M,,,,,,,,,,79.00M,,,,,,,,11.40M,,,11.40M,,79.00M,,79.00M,,,,,,,,,,,,,,39.60M,39.60M,,,,
1988-09,78.30M,78.30M,,,,,,,,,,78.30M,,,,,,,,12.00M,,,12.00M,,78.30M,,78.30M,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,39.60M,39.60M,,,,
1988-06,78.30M,78.30M,,,,,,,,,,78.30M,,,,,,,,12.90M,,,12.90M,,78.30M,,78.30M,,0.325,0.00,,0.325,0.325,,0.325,0.00,,0.325,0.325,,39.60M,39.60M,,,,
1988-03,78.30M,78.30M,,,,,,,,,,78.30M,,,,,,,,12.80M,,,12.80M,,78.30M,,78.30M,,0.325,0.00,,0.325,0.325,,0.325,0.00,,0.325,0.325,,39.60M,39.60M,,,,
