,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,116.40M,,,-9.70M,,38.70M,38.70M,6.20M,,,25.60M,-14.70M,-16.40M,-3.60M,15.30M,,-29.30M,,-48.70M,128.50M,,-21.80M,0.00,-21.80M,,-2.30M,-139.50M,1.50M,-162.10M,,,,28.40M,16.30M,-22.90M,-6.60M,,,2.60M,24.40M,,25.20M,-9.20M,0.60M,16.60M,,16.30M,,,-22.90M,,,,,
2006-03,101.90M,,,8.70M,,38.40M,38.40M,-0.20M,,,,-28.90M,5.60M,2.50M,-7.70M,,58.30M,,29.80M,178.60M,,-21.10M,0.90M,-20.20M,,-1.80M,-28.50M,-1.50M,-52.00M,,,,-0.70M,50.00M,-200.00M,-150.00M,,,3.70M,-147.00M,,45.40M,-20.40M,0.20M,25.20M,,50.00M,,,-200.00M,,,,,
2005-12,88.90M,,,-3.90M,,39.10M,39.10M,3.10M,,,,26.30M,-11.80M,-3.20M,13.50M,,3.00M,,27.80M,161.20M,,-15.80M,0.10M,-15.70M,,-7.30M,20.10M,-0.60M,-3.50M,,,,248.60M,8.80M,-382.00M,-373.20M,,,,-127.00M,,14.70M,30.70M,0.00,45.40M,,8.80M,,,-382.00M,,,,,
2005-09,94.70M,,,4.50M,,37.60M,37.60M,14.20M,,,,-3.50M,6.10M,-3.40M,20.70M,,1.20M,,21.10M,172.10M,,-25.90M,0.60M,-25.30M,,-9.70M,-24.80M,-4.80M,-64.60M,,,,-57.30M,13.10M,-69.60M,-56.50M,,,,-113.80M,,21.20M,-6.30M,-0.20M,14.70M,,13.10M,,,-69.60M,,,,,
2005-06,106.00M,,,7.10M,,37.50M,37.50M,-0.10M,,,,-5.10M,-1.00M,-2.40M,-17.40M,,-38.20M,,-64.10M,86.40M,,-21.90M,0.20M,-21.70M,,-166.40M,27.80M,1.00M,-159.30M,,,,56.00M,16.90M,-10.00M,6.90M,,,,62.90M,,31.00M,-10.00M,0.20M,21.20M,,16.90M,,,-10.00M,,,,,
2005-03,96.60M,,,2.50M,,35.60M,35.60M,1.30M,,,,-32.70M,6.80M,3.20M,7.30M,,33.90M,,18.50M,154.50M,,-30.00M,0.60M,-29.40M,,-159.20M,118.40M,-1.00M,-71.20M,,,,-0.50M,23.30M,-122.10M,-98.80M,,,,-99.30M,,47.60M,-16.00M,-0.60M,31.00M,,23.30M,,,-122.10M,,,,,
2004-12,84.80M,,,3.70M,,33.90M,33.90M,-3.70M,,,,9.60M,-9.40M,-2.70M,5.20M,,-14.80M,,-12.10M,106.60M,,-35.90M,0.20M,-35.70M,,0.40M,0.00,-5.20M,-40.50M,,,,-0.50M,26.80M,-118.10M,-91.30M,,,,-91.80M,,213.70M,-25.70M,-1.20M,186.80M,,26.80M,,,-118.10M,,,,,
2004-09,92.60M,,,4.60M,,35.30M,35.30M,18.80M,,,,1.40M,-4.20M,-1.30M,1.60M,,-11.60M,,-14.10M,137.20M,,-16.50M,0.30M,-16.20M,,-5.80M,0.00,2.80M,-19.20M,,,,-0.30M,6.50M,-73.80M,-67.30M,,,,-67.60M,,182.20M,50.40M,1.10M,213.70M,,6.50M,,,-73.80M,,,,,
2004-06,98.30M,,,8.00M,,35.10M,35.10M,4.00M,,,,-0.90M,0.50M,0.80M,-6.00M,,6.90M,,1.30M,146.70M,,-22.40M,0.00,-22.40M,,-2.00M,,-1.60M,-26.00M,,,,-0.60M,9.20M,-115.50M,-106.30M,,,,-106.90M,,169.00M,13.80M,-0.60M,182.20M,,9.20M,,,-115.50M,,,,,
2004-03,87.30M,,,7.20M,,34.50M,34.50M,19.80M,,,,-19.00M,-0.60M,10.20M,11.50M,,-3.30M,,-1.20M,147.60M,,-20.20M,1.30M,-18.90M,,-32.60M,,-2.70M,-54.20M,,,,-0.50M,13.80M,-60.70M,-46.90M,,,,-47.40M,,123.00M,46.00M,,169.00M,,13.80M,,,-60.70M,,,,,
2003-12,77.60M,,,5.20M,,34.70M,34.70M,17.60M,,,,14.30M,1.60M,-7.20M,-3.50M,,3.90M,,9.10M,144.20M,,-23.20M,0.30M,-22.90M,,7.50M,0.00,-17.70M,-33.10M,,,,-18.00M,6.70M,0.00,6.70M,,,-7.30M,-18.60M,,30.00M,92.50M,0.50M,123.00M,,6.70M,,,0.00,,,,,
2003-09,83.10M,,,4.10M,,34.20M,34.20M,53.70M,,,,-2.30M,0.70M,-4.90M,-6.40M,,-0.30M,,-13.20M,161.90M,,-23.00M,0.10M,-22.90M,,-12.70M,0.00,-14.70M,-50.30M,,,,-68.40M,8.50M,-63.70M,-55.20M,,,8.00M,-115.60M,,33.90M,-4.00M,0.10M,30.00M,,8.50M,,,-63.70M,,,,,
2003-06,86.40M,,,6.50M,,33.60M,33.60M,11.40M,,,,-0.80M,-0.30M,2.10M,-13.10M,,-3.90M,1.30M,-14.70M,123.20M,,-21.20M,0.10M,-21.10M,,-23.50M,0.00,5.50M,-39.10M,,,,-49.80M,2.10M,-57.20M,-55.10M,,,4.80M,-100.10M,,50.00M,-16.00M,-0.10M,33.90M,,2.10M,,,-57.20M,,,,,
2003-03,73.90M,,,7.10M,,33.10M,33.10M,3.60M,,,,-17.20M,-2.10M,1.50M,7.40M,,29.00M,-1.30M,17.30M,135.00M,,-16.20M,0.50M,-15.70M,,-618.80M,50.40M,-3.90M,-588.00M,,,,484.40M,3.70M,-34.00M,-30.30M,,,-7.50M,446.60M,,56.40M,-6.40M,,50.00M,,3.70M,,,-34.00M,,,,,
2002-12,53.00M,,,13.50M,,29.40M,29.40M,38.00M,,,-1.30M,32.20M,-0.90M,-10.50M,-10.00M,,-21.60M,,-14.10M,118.50M,,-19.40M,0.40M,-19.00M,,-3.40M,,-19.50M,-41.90M,,,,-120.50M,0.40M,,0.40M,,,-0.40M,-120.50M,,98.40M,-43.90M,1.90M,56.40M,,0.40M,,,,,,,,
2002-09,57.30M,,,17.40M,,26.60M,26.60M,-13.90M,,,1.30M,6.30M,4.00M,3.60M,-8.10M,,26.60M,,32.40M,121.10M,,-17.00M,0.80M,-16.20M,,-255.20M,,8.00M,-263.40M,,,,-84.60M,3.20M,,3.20M,,,18.50M,-62.90M,,303.60M,-205.20M,0.00,98.40M,,3.20M,,,,,,,,
2002-06,78.50M,,,5.70M,,23.50M,23.50M,2.70M,,,,-2.60M,-2.80M,-6.70M,6.30M,,-11.70M,0.20M,-17.30M,93.10M,,-19.50M,0.20M,-19.30M,,2.60M,,-23.00M,-39.70M,,,,-0.30M,5.20M,,5.20M,,,-0.10M,4.80M,,245.00M,58.20M,0.40M,303.60M,,5.20M,,,,,,,,
2002-03,65.80M,,,5.90M,,22.30M,22.30M,2.10M,,,,-24.80M,-1.80M,1.10M,4.00M,,37.80M,-0.20M,16.10M,112.20M,,-18.40M,0.40M,-18.00M,,-5.90M,,,-23.90M,,,,-0.30M,9.40M,,9.40M,,,-1.60M,7.50M,,149.20M,95.80M,,245.00M,,9.40M,,,,,,,,
2001-12,40.80M,,,4.20M,,28.50M,28.50M,8.50M,,,-0.10M,23.50M,-1.00M,-0.20M,-3.10M,,-32.00M,,-18.30M,63.60M,,-29.10M,2.10M,-27.00M,,-4.50M,,,-36.70M,,,,62.90M,5.80M,,5.80M,,,-1.90M,66.80M,,55.50M,93.70M,0.00,149.20M,,5.80M,,,,,,,,
2001-09,43.10M,,,15.20M,,25.70M,25.70M,-8.00M,,,-0.20M,1.80M,-1.30M,2.70M,3.30M,,31.40M,,37.90M,113.70M,,-25.40M,1.30M,-24.10M,,-15.50M,,,-39.60M,,,,-26.20M,5.10M,,5.10M,,,-18.20M,-39.30M,,20.50M,34.80M,0.20M,55.50M,,5.10M,,,,,,,,
2001-06,52.10M,,,2.70M,,26.20M,26.20M,1.90M,,,0.30M,11.60M,-0.40M,4.80M,-6.30M,,-18.10M,-0.60M,-9.00M,74.20M,,-20.90M,0.60M,-20.30M,,-117.80M,,,-138.10M,,,,16.70M,0.90M,,0.90M,,,,17.60M,,66.80M,-46.30M,0.00,20.50M,,0.90M,,,,,,,,
2001-03,43.50M,,,2.30M,,23.60M,23.60M,-0.80M,,,,-20.70M,-0.90M,-1.50M,2.70M,,15.70M,0.60M,-4.10M,64.50M,,-12.70M,0.40M,-12.30M,,-3.30M,,,-15.60M,,,,-33.20M,3.10M,,3.10M,,,,-30.10M,,48.80M,18.80M,-0.80M,66.80M,,3.10M,,,,,,,,
2000-12,20.90M,,,6.90M,,21.70M,21.70M,-13.20M,,,3.90M,13.40M,0.60M,,-5.30M,2.10M,18.10M,,28.90M,69.10M,,-15.80M,0.70M,-15.10M,,-6.50M,,,-22.60M,,,,-22.40M,8.30M,,8.30M,0.00,,0.90M,-13.20M,,15.30M,33.30M,0.20M,48.80M,,8.30M,,,,,,,,
2000-09,32.80M,,,-2.70M,,23.50M,23.50M,10.60M,,,-3.90M,-5.40M,-1.80M,,6.10M,0.20M,-14.50M,2.80M,-12.60M,47.70M,,-13.60M,-0.10M,-13.70M,,-59.90M,,,-73.60M,,,,-22.30M,5.50M,,5.50M,0.00,,-0.90M,-17.70M,,59.20M,-43.60M,-0.30M,15.30M,,5.50M,,,,,,,,
2000-06,32.70M,,,0.40M,,22.90M,22.90M,-3.70M,,,,-4.50M,-3.90M,,5.70M,18.70M,15.90M,-2.80M,29.10M,81.40M,,-15.30M,0.80M,-14.50M,,-24.10M,,,-38.60M,,,,-22.30M,2.70M,,2.70M,-4.90M,,,-24.50M,,40.90M,18.30M,0.00,59.20M,,2.70M,,,,,,,,
2000-03,25.70M,,,0.40M,,21.50M,21.50M,3.10M,,,,-19.40M,3.00M,,1.40M,-0.90M,13.70M,,-2.20M,48.50M,,-10.80M,,-10.80M,,-4.40M,,,-15.20M,,,,-29.20M,1.30M,,1.30M,-4.60M,,,-32.50M,,40.30M,0.80M,-0.20M,40.90M,,1.30M,,,,,,,,
1999-12,14.20M,,,2.70M,,21.50M,21.50M,41.00M,,,2.50M,12.80M,-2.80M,,5.50M,-13.40M,-32.40M,,-30.30M,51.60M,,-15.80M,0.40M,-15.40M,,,,,-24.10M,,,,-11.20M,0.00,,0.00,-4.60M,,8.70M,-7.10M,,19.70M,20.40M,0.20M,40.30M,,0.00,,,,,,,,
1999-09,17.20M,,,2.40M,,20.40M,20.40M,-1.10M,,,-2.50M,15.70M,1.90M,,-9.40M,-3.40M,9.90M,1.90M,16.60M,53.00M,,-16.70M,0.00,-16.70M,,,,,-16.70M,,,,-31.30M,2.50M,,2.50M,-4.60M,,0.00,-33.40M,,16.90M,2.90M,-0.10M,19.70M,,2.50M,,,,,,,,
1999-06,19.90M,,,0.00,,21.40M,21.40M,1.10M,,,,7.10M,2.20M,,4.50M,-1.50M,-2.00M,-1.90M,8.40M,50.80M,,-21.40M,0.60M,-20.80M,,,,,-20.80M,,,,-16.60M,0.00,,0.00,-4.70M,,-7.90M,-29.20M,,0.00,0.80M,-0.20M,16.90M,,0.00,,,,,,,,
1999-03,14.10M,,,1.20M,,21.20M,21.20M,-4.00M,,,,-8.20M,0.30M,,-6.80M,-1.30M,8.60M,,-7.40M,25.10M,,-15.50M,0.10M,-15.40M,,,,,-15.40M,,,,-12.00M,1.30M,,1.30M,-4.60M,,-0.80M,-16.10M,,22.70M,-6.40M,,0.00,,1.30M,,,,,,,,
1998-12,35.30M,,,5.30M,,21.30M,21.30M,-24.70M,,,-5.20M,-3.20M,-1.90M,,1.40M,5.60M,1.30M,,3.20M,35.20M,,-18.60M,12.60M,-6.00M,,,,-19.20M,-25.20M,,,,-0.70M,0.00,,0.00,-4.70M,,6.50M,1.10M,,11.60M,11.10M,,22.70M,,0.00,,,,,,,,
1998-09,11.40M,,,-4.70M,,20.20M,20.20M,40.30M,,,-2.30M,-16.00M,1.10M,,-2.40M,-9.20M,-14.00M,,-40.50M,24.40M,,-24.70M,-12.30M,-37.00M,,,,12.40M,-24.60M,,,,0.00,1.40M,,1.40M,-4.60M,,-0.60M,-3.80M,,15.50M,-4.00M,,11.60M,,1.40M,,,,,,,,
1998-06,12.80M,,,2.20M,,21.40M,21.40M,13.50M,,,-0.40M,-20.40M,0.40M,,-8.60M,9.80M,6.40M,,-12.40M,37.10M,,-22.00M,1.30M,-20.70M,,,,0.00,-20.70M,,,,-10.30M,-0.10M,,-0.10M,-4.60M,,-4.50M,-19.50M,,0.00,-3.10M,,15.50M,,-0.10M,,,,,,,,
1998-03,9.30M,,,-4.10M,,21.30M,21.30M,1.50M,,,0.50M,-7.00M,5.60M,,3.90M,-1.50M,-1.10M,,-0.10M,28.40M,,-17.10M,11.00M,-6.10M,,,,8.00M,1.90M,,,,-30.50M,1.60M,,1.60M,-4.60M,,-1.40M,-34.90M,,23.30M,-4.60M,,0.00,,1.60M,,,,,,,,
1997-12,-118.70M,,,24.10M,,21.90M,21.90M,-52.80M,,,6.60M,122.30M,2.60M,,13.00M,4.70M,26.30M,,168.90M,50.00M,,-19.70M,,-18.10M,,,,,-23.30M,,,,-20.00M,0.10M,,0.10M,-4.50M,,-0.10M,-24.50M,,0.00,2.20M,,23.30M,,0.10M,,,,,,,,
1997-09,5.40M,,,-18.50M,,21.10M,21.10M,2.40M,,,-6.60M,64.90M,2.40M,,-64.20M,1.00M,12.10M,,16.20M,20.00M,,-7.00M,,-7.00M,,,,,-7.00M,,,,-14.90M,0.10M,,0.10M,-5.20M,,-2.70M,-22.70M,,0.00,-9.70M,,0.00,,0.10M,,,,,,,,
1997-06,4.00M,,,-4.40M,,21.90M,21.90M,5.40M,,,,4.30M,2.10M,,34.20M,-0.40M,-3.10M,,37.10M,64.00M,,-4.70M,,-4.70M,,,,,-4.70M,,,,-546.10M,488.50M,,488.50M,,,-0.40M,-58.00M,,0.00,1.30M,,0.00,,488.50M,,,,,,,,
1997-03,2.40M,,,4.10M,,21.90M,21.90M,2.00M,,,,-16.50M,1.20M,,7.10M,-0.80M,-11.00M,,-20.00M,10.40M,,-3.10M,,-3.10M,,,,,-3.10M,,,,-5.70M,,,,,,-1.40M,-7.10M,,29.30M,0.20M,,0.00,,,,,,,,,,
1996-12,1.20M,,,-207.40M,,34.20M,34.20M,57.70M,,,-1.40M,-12.10M,1.50M,,-8.40M,-0.70M,-21.50M,,-41.20M,-156.90M,,-28.60M,,-25.10M,,,,5.80M,-19.30M,,,,178.30M,,,,,,-1.00M,177.30M,,0.00,1.10M,,0.00,,,,,,,,,,
1996-09,-146.40M,,,169.10M,,20.90M,20.90M,-21.40M,,,-3.10M,-10.60M,8.00M,,1.70M,-23.40M,8.60M,,-15.70M,3.40M,,-12.40M,,-12.40M,,,,-2.60M,-15.00M,,,,19.20M,,,,,,-4.00M,15.20M,,0.00,3.60M,,0.00,,,,,,,,,,
1996-06,-14.20M,,,35.30M,,21.60M,21.60M,-6.00M,,,,-54.00M,8.20M,,-43.20M,16.90M,-4.80M,,-76.90M,-40.20M,,-19.00M,,-19.00M,,,,0.00,-19.00M,,,,71.40M,,,,,,-3.30M,68.10M,,0.00,8.90M,,0.00,,,,,,,,,,
1996-03,5.90M,,,-0.90M,,20.80M,20.80M,,,,,-2.10M,-9.70M,,9.50M,4.10M,-8.40M,,-6.60M,19.20M,,-14.90M,,-14.90M,,,,-3.20M,-18.10M,,,,0.30M,,,,,,-2.10M,-1.80M,,16.40M,-0.70M,,0.00,,,,,,,,,,
1995-12,0.40M,,,1.10M,,20.30M,20.30M,,,,2.90M,-4.00M,0.70M,,34.90M,10.30M,-2.40M,,39.50M,42.60M,,7.60M,,7.60M,,,,,-32.00M,,,,-6.40M,0.20M,-0.10M,0.10M,0.10M,,-13.00M,-19.20M,,0.00,-8.60M,,0.00,,0.20M,,,-0.10M,,,,,
1995-09,14.40M,,,2.60M,,19.40M,19.40M,,,,0.00,-29.30M,-1.10M,,4.40M,0.60M,-6.80M,,-32.20M,4.20M,,-45.50M,,-45.50M,,,,,-45.50M,,,,20.80M,0.00,0.10M,0.10M,0.00,,-0.20M,20.70M,,0.00,-20.60M,,0.00,,0.00,,,0.10M,,,,,
1995-06,-31.60M,,,84.50M,,18.50M,18.50M,,,,-7.60M,-22.00M,5.20M,,2.60M,-6.60M,-17.00M,,-37.80M,26.00M,,-28.60M,,-28.60M,,,,,-28.60M,,,,315.00M,186.70M,,186.70M,-474.80M,,0.20M,27.10M,,0.00,24.50M,,0.00,,186.70M,,,,,,,,
1995-03,12.80M,,,-0.80M,,14.20M,14.20M,,,,-0.70M,-3.30M,0.30M,,-14.00M,-15.00M,-19.30M,,-51.30M,-25.80M,,-8.90M,,-8.90M,,,,,-8.90M,,,,28.90M,,,,,,0.10M,29.00M,,26.80M,-5.70M,,0.00,,,,,,,,,,
1994-12,7.70M,,,20.80M,,11.70M,11.70M,1.90M,,,-15.50M,3.40M,,,-3.90M,2.30M,-18.90M,,-18.00M,8.60M,,-12.00M,,-1.90M,,,,-2.20M,-4.10M,,,,5.00M,,,,0.00,,-2.40M,2.70M,,0.00,7.20M,,0.00,,,,,,,,,,
1994-09,0.20M,,,-1.40M,,13.30M,13.30M,2.80M,,,21.00M,-14.90M,,,-8.10M,3.80M,-5.70M,,-24.90M,11.00M,,-12.20M,,-12.20M,,,,-7.70M,-19.90M,,,,5.00M,,,,0.00,,-3.60M,1.40M,,0.00,-7.50M,,0.00,,,,,,,,,,
1994-06,14.10M,,,10.00M,,10.00M,10.00M,3.00M,,,,-23.00M,,,-4.90M,3.80M,-20.30M,,-44.40M,-7.30M,,-14.40M,,-14.40M,,,,-231.40M,-245.80M,,,,259.00M,,,,-6.80M,,-1.40M,250.80M,,0.00,-2.30M,,0.00,,,,,,,,,,
1994-03,8.10M,,,-9.80M,,9.40M,9.40M,3.30M,,,,-19.50M,,,3.80M,-4.80M,11.90M,,-8.60M,2.40M,,-10.30M,,-10.30M,,,,-13.50M,-23.80M,,,,46.00M,,,,-6.80M,,-0.70M,38.50M,,12.30M,17.10M,,0.00,,,,,,,,,,
1993-12,7.70M,,,-16.20M,,5.40M,5.40M,4.30M,,,15.30M,-1.50M,,,-0.20M,-1.70M,-13.30M,,-16.70M,-0.20M,,-15.30M,,-15.30M,,,,-32.80M,-48.10M,,,,79.00M,,-28.70M,-28.30M,-6.90M,,-1.90M,41.90M,,0.00,-6.40M,,0.00,,,,,-28.70M,,,,,
1993-09,38.20M,,,5.30M,,9.10M,9.10M,2.10M,,,-15.30M,-20.70M,,,31.40M,-0.90M,-40.70M,,-30.90M,8.50M,,5.80M,,5.80M,,,,-29.30M,-23.50M,,,,34.00M,,-30.80M,-30.80M,-7.10M,,0.00,-3.90M,,0.00,-18.90M,,0.00,,,,,-30.80M,,,,,
1993-06,33.20M,,,-3.50M,,8.90M,8.90M,12.70M,,,,-14.60M,,,-39.70M,-11.80M,30.90M,,-35.20M,16.10M,,-19.80M,,-19.80M,,,,,-19.80M,,,,65.00M,,-68.70M,-68.70M,-7.40M,,-0.20M,-11.30M,,0.00,-15.00M,,0.00,,,,,-68.70M,,,,,
1993-03,33.60M,,,-0.70M,,8.80M,8.80M,,,,,1.00M,,,10.00M,11.00M,-30.90M,,-8.90M,32.80M,,-4.30M,,-4.30M,,,,,-4.30M,,,,25.00M,,-26.00M,-26.00M,-7.60M,,-0.70M,-9.30M,,33.40M,19.20M,,0.00,,,,,-26.00M,,,,,
1992-12,-50.60M,,,,,5.40M,5.40M,,,,,-14.20M,,,-21.10M,-0.30M,-30.50M,,-66.10M,-6.70M,,-12.80M,,-12.80M,,,0.00,2.10M,-10.70M,,,,-10.00M,0.50M,-1.00M,-0.50M,-7.50M,,2.00M,-16.00M,,0.00,-33.40M,,0.00,,0.50M,,,-1.00M,,,,,
1992-09,30.10M,,,,,7.70M,7.70M,,,,,-2.40M,,,5.40M,-1.30M,-1.20M,,0.50M,38.30M,,-10.30M,,-10.30M,,,0.90M,-0.70M,-10.10M,,,,0.00,,0.00,0.00,-7.50M,,-0.90M,-8.40M,,0.00,19.80M,,0.00,,,,,0.00,,,,,
1992-06,31.40M,,,,,6.90M,6.90M,,,,,-5.60M,,,-6.60M,-0.10M,-0.70M,,-13.00M,25.30M,,-8.20M,,-8.20M,,,,-0.10M,-8.30M,,,,-15.00M,-0.50M,-5.20M,-5.70M,-6.60M,,1.50M,-25.80M,,0.00,-8.80M,,0.00,,-0.50M,,,-5.20M,,,,,
1992-03,29.70M,,,,,6.90M,6.90M,,,,,-15.50M,,,22.30M,-0.50M,1.00M,,7.30M,43.90M,,-5.90M,,-5.90M,,,,-1.30M,-7.20M,,,,100.00M,0.50M,-125.70M,-125.20M,-7.00M,,,-32.20M,,51.30M,4.50M,,0.00,,0.50M,,,-125.70M,,,,,
1991-12,26.80M,,,,,6.10M,6.10M,,,,,3.80M,,,-13.80M,0.00,-4.00M,,-14.00M,18.90M,,-8.70M,,-8.70M,,,,-4.00M,-12.70M,,,,,1.10M,,1.10M,-6.90M,,-33.10M,-38.90M,,0.00,-32.70M,,0.00,,1.10M,,,,,,,,
1991-09,25.60M,,,,,5.40M,5.40M,,,,,1.50M,,,13.30M,-1.90M,-1.00M,,11.90M,42.90M,,-7.20M,,-7.20M,,,,-6.20M,-13.40M,,,,,0.60M,,0.60M,-6.90M,,-10.90M,-17.20M,,0.00,12.30M,,0.00,,0.60M,,,,,,,,
1991-06,27.00M,,,,,5.20M,5.20M,,,,,0.70M,,,17.30M,1.60M,-1.10M,,18.50M,50.70M,,-7.80M,,-7.80M,,,,0.00,-7.80M,,,,,,,,-5.90M,,-24.80M,-30.70M,,0.00,12.20M,,0.00,,,,,,,,,,
1991-03,24.50M,,,,,5.30M,5.30M,,,,,-7.50M,,,2.10M,-0.90M,-2.00M,,-8.30M,21.50M,,-2.90M,,-2.90M,,,,-1.00M,-3.90M,,,,,,,,-5.90M,,2.00M,-3.90M,,45.80M,13.70M,,0.00,,,,,,,,,,
1990-12,21.00M,,,,,3.90M,3.90M,,,,,2.50M,,,-1.00M,-4.90M,-0.40M,,-3.80M,21.10M,,-3.90M,,-3.90M,,,,,-3.90M,,,,,-0.50M,150.60M,150.10M,,,-10.90M,-10.80M,,0.00,6.40M,,0.00,,-0.50M,,,150.60M,,,,,
1990-09,20.20M,,,,,4.80M,4.80M,,,,,5.90M,,,7.90M,7.00M,-4.50M,,16.30M,41.30M,,-3.60M,,-3.60M,,,,,-3.60M,,,,,0.00,-150.60M,-150.60M,,,111.80M,-38.80M,,0.00,-1.10M,,0.00,,0.00,,,-150.60M,,,,,
1990-06,21.50M,,,,,4.90M,4.90M,,,,,3.60M,,,4.00M,-1.60M,,,6.00M,32.40M,,-3.40M,,-3.40M,,,,,-3.40M,,,,,0.50M,,0.50M,,,8.40M,8.90M,,0.00,37.90M,,0.00,,0.50M,,,,,,,,
1990-03,19.90M,,,,,4.80M,4.80M,,,,,-7.60M,,,1.60M,-1.10M,,,-7.10M,17.60M,,-4.00M,,-4.00M,,,,,-4.00M,,,,,,,,,,-43.00M,-43.00M,,32.00M,-29.40M,,0.00,,,,,,,,,,
1989-12,16.90M,,,,,3.70M,3.70M,,,,,1.60M,,,,-3.20M,-5.10M,,3.60M,24.20M,,-3.60M,,-3.60M,,,,0.10M,-3.50M,,,,,,,,,,0.10M,0.10M,,0.00,20.80M,,0.00,,,,,,,,,,
1989-09,14.90M,,,,,3.90M,3.90M,,,,,0.50M,,,,2.50M,0.60M,,3.60M,22.40M,,-7.20M,,-7.20M,,,,0.00,-7.20M,,,,,,,,,,-13.10M,-13.10M,,0.00,2.10M,,0.00,,,,,,,,,,
1989-06,17.10M,,,,,2.90M,2.90M,,,,,-1.60M,,,,-0.50M,-3.10M,,-5.20M,14.80M,,-5.20M,,-5.20M,,,,-0.10M,-5.30M,,,,,,,,,,-9.80M,-9.80M,,0.00,-0.30M,,0.00,,,,,,,,,,
1989-03,15.80M,,,,,2.80M,2.80M,,,,,-10.40M,,,,0.70M,1.50M,,-8.20M,10.40M,,-7.70M,,-7.70M,,,,-1.10M,-8.80M,,,,,,,,,,-4.80M,-4.80M,,12.60M,-3.20M,,0.00,,,,,,,,,,
