,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-06,,405.22M,175.85M,581.07M,67.31M,1.744M,76.30M,11.58M,,19.00M,1.505M,689.46M,0.00,272.16M,203.98M,1.021B,,263.30M,520.24M,2.281B,-690.26M,1.591B,382.11M,54.62M,436.73M,22.30M,,,43.33M,57.11M,,2009-06,16.56M,,17.59M,1.57M,35.73M,116.02M,151.74M,,52.11M,52.11M,6.036M,58.15M,28.78M,36.12M,7.342M,6.617M,252.64M,,1.256B,138.53M,54.79M,67.79M,14.87M,,,1.751B,,2009-06,0.039M,-422.51M,1.609B,,,-93.52M,1.093B,,2009-06,AOR,Restated
2009-03,,222.05M,29.72M,251.77M,60.02M,0.51M,62.54M,14.49M,,27.06M,1.22M,357.08M,0.00,266.78M,199.72M,891.43M,,312.24M,481.55M,2.152B,-638.81M,1.513B,335.26M,49.38M,384.64M,32.21M,,,81.52M,44.90M,,2009-03,15.89M,,14.69M,2.382M,32.96M,104.66M,137.61M,,71.08M,71.08M,5.675M,76.75M,28.87M,36.21M,7.342M,5.745M,256.32M,,982.43M,131.86M,49.92M,78.06M,15.39M,,,1.484B,,2009-03,0.038M,-439.95M,1.541B,,,-167.47M,933.20M,,2009-03,AOR,Restated
2008-12,,220.21M,42.11M,262.32M,66.03M,1.657M,71.12M,9.55M,,35.94M,0.586M,379.51M,0.00,266.15M,196.01M,883.70M,,277.21M,472.87M,2.096B,-603.11M,1.493B,342.83M,50.92M,393.75M,45.63M,,,65.23M,53.92M,,2008-12,18.32M,,8.64M,2.072M,29.04M,143.16M,172.20M,,71.20M,71.20M,4.499M,75.70M,27.70M,35.04M,7.342M,7.049M,289.99M,,994.96M,133.03M,46.41M,62.94M,17.92M,,,1.518B,,2008-12,0.038M,-455.41M,1.525B,,,-152.80M,916.66M,,2008-12,AOR,Restated
2008-09,,160.68M,101.89M,262.58M,62.38M,5.299M,67.68M,10.23M,,,2.173M,342.65M,0.00,50.14M,695.59M,994.75M,,170.17M,,1.911B,-563.67M,1.347B,411.11M,62.35M,473.46M,,,,,128.84M,,2008-09,11.80M,,,,11.80M,119.15M,130.94M,,,77.72M,,77.72M,23.92M,23.92M,,6.496M,239.08M,,1.021B,95.10M,,21.78M,,,,1.455B,,2008-09,0.037M,-543.59M,1.445B,,,-64.56M,837.25M,,2008-09,,Restated
2008-06,,151.13M,64.98M,216.11M,63.10M,,63.10M,14.51M,,,,293.73M,0.00,51.24M,670.30M,997.39M,-0.001M,138.26M,,1.857B,-526.18M,1.331B,458.85M,71.53M,530.38M,,,,,175.86M,,2008-06,17.84M,,,,17.84M,113.33M,131.17M,,,73.38M,,73.38M,4.777M,4.777M,,26.25M,235.57M,,1.021B,97.36M,,24.12M,,,,1.452B,,2008-06,0.037M,-550.98M,1.426B,,,3.84M,878.67M,,2008-06,,Restated
2008-03,,260.83M,37.69M,298.53M,59.16M,,59.16M,16.52M,,,,374.21M,0.00,51.21M,740.28M,737.36M,,243.36M,,1.772B,-487.82M,1.284B,461.35M,73.05M,534.40M,,,,,93.79M,,2008-03,17.36M,,,,17.36M,134.39M,151.75M,,,64.20M,,64.20M,22.77M,22.77M,,6.183M,244.90M,,999.57M,98.40M,,29.44M,,,,1.444B,,2008-03,0.037M,-553.21M,1.397B,,,-0.221M,843.13M,,2008-03,,Restated
2007-12,,290.63M,63.30M,353.93M,60.09M,,63.53M,6.979M,,0.00,2.322M,426.76M,0.00,147.02M,153.69M,698.76M,,133.50M,481.41M,1.614B,-451.66M,1.163B,442.93M,67.21M,510.13M,29.97M,,,6.404M,41.79M,,2007-12,14.82M,,6.925M,,21.74M,123.83M,145.57M,,16.58M,16.58M,3.808M,20.39M,20.51M,20.51M,,4.994M,191.46M,,992.15M,93.60M,42.50M,68.45M,8.167M,,,1.367B,,2007-12,0.037M,-558.63M,1.377B,,,-3.888M,814.43M,,2007-12,,Restated
2007-09,,343.45M,64.00M,407.46M,49.18M,11.81M,60.98M,10.95M,,,3.728M,483.12M,0.00,50.58M,599.87M,472.08M,,364.53M,,1.487B,-417.98M,1.069B,430.28M,70.19M,500.47M,,,,,77.90M,,2007-09,18.99M,,,,18.99M,135.82M,154.81M,,,6.927M,,6.927M,,,,36.28M,198.02M,,957.18M,94.50M,,,,,,1.316B,,2007-09,0.036M,-552.56M,1.356B,,,10.77M,814.68M,,2007-09,,
2007-06,,234.60M,67.73M,302.33M,28.14M,,28.14M,9.599M,,,,340.06M,0.00,44.29M,536.62M,365.98M,,207.89M,,1.155B,-394.60M,760.18M,16.91M,,16.91M,,,,,58.30M,,2007-06,4.22M,,,,4.22M,112.84M,117.06M,,,4.485M,,4.485M,,,,15.17M,136.72M,,447.09M,91.56M,,,,,,732.78M,,2007-06,0.032M,-556.68M,995.56M,,,3.77M,442.67M,,2007-06,,
2007-03,,327.66M,53.76M,381.42M,27.77M,,27.77M,9.567M,,,,418.76M,0.00,24.97M,488.51M,364.57M,,85.22M,,963.27M,-369.72M,593.56M,17.11M,,17.11M,,,,,44.26M,,2007-03,3.233M,,,,3.233M,74.87M,78.11M,,,4.328M,,4.328M,9.591M,9.591M,,1.25M,93.28M,,403.01M,92.15M,,,,,,648.56M,,2007-03,0.031M,-557.90M,978.61M,,,4.385M,425.12M,,2007-03,,
2006-12,,82.56M,48.83M,131.39M,26.86M,0.005M,26.87M,4.467M,,,3.531M,166.26M,0.00,24.97M,468.38M,314.09M,,88.43M,,895.87M,-349.48M,546.40M,16.92M,0.522M,17.44M,,,,,41.74M,,2006-12,27.27M,,,,27.27M,23.34M,50.61M,,,4.127M,,4.127M,,,,23.62M,78.35M,,183.00M,92.72M,,,,,,416.80M,,2006-12,0.029M,-553.44M,904.57M,,,3.87M,355.03M,,2006-12,,
2006-09,,84.64M,61.32M,145.96M,24.13M,,24.13M,5.99M,,,,176.08M,0.00,24.97M,467.26M,303.14M,,47.44M,,842.80M,-342.88M,499.92M,22.71M,,22.71M,,,,,31.91M,,2006-09,2.42M,,,,2.42M,53.03M,55.45M,,,43.19M,,43.19M,,,,8.517M,107.16M,,144.08M,93.22M,,,,,,403.04M,,2006-09,0.029M,-562.56M,887.32M,,,2.791M,327.58M,,2006-09,,
2006-06,,77.30M,53.52M,130.82M,23.35M,,23.35M,5.566M,,,,159.74M,0.00,24.97M,461.05M,280.22M,,30.18M,,796.42M,-324.65M,471.76M,22.66M,,22.66M,,,,,29.01M,,2006-06,23.58M,,,,23.58M,35.50M,59.08M,,,3.062M,,3.062M,,,,7.238M,69.38M,,144.42M,93.72M,,,,,,366.05M,,2006-06,0.029M,-557.39M,872.00M,,,2.486M,317.13M,,2006-06,,
2006-03,,81.12M,62.65M,143.78M,18.47M,,18.47M,4.675M,,,,166.92M,0.00,15.20M,449.32M,243.66M,,38.29M,,746.47M,-297.23M,449.24M,22.28M,,22.28M,,,,,30.98M,,2006-03,21.18M,,,,21.18M,,21.18M,,,1.65M,,1.65M,,,,39.75M,62.59M,,144.76M,94.19M,,,,,,362.52M,,2006-03,0.029M,-552.12M,857.04M,,,1.948M,306.90M,,2006-03,,
2005-12,,119.27M,52.10M,171.37M,17.24M,,17.24M,3.103M,,,,191.71M,0.00,15.42M,453.49M,249.91M,0.001M,,,718.82M,-280.03M,438.79M,,21.65M,21.65M,,,,,28.84M,,2005-12,22.56M,,,,22.56M,,22.56M,,,30.00M,,30.00M,,,,38.87M,91.42M,,145.09M,94.65M,,,,,,392.32M,,2005-12,0.027M,-547.05M,839.50M,,,-3.804M,288.67M,,2005-12,,
2005-09,,42.57M,41.25M,83.82M,16.20M,,16.20M,3.289M,,,,103.31M,,,,,,,,591.41M,-220.41M,371.00M,,21.34M,21.34M,,,,,37.72M,,2005-09,22.57M,,,,22.57M,7.272M,29.84M,,,0.955M,,0.955M,,,,8.428M,39.22M,,88.21M,48.75M,,,,,,218.30M,,2005-09,0.026M,-514.44M,836.11M,,0.002M,0.843M,315.08M,,2005-09,,
2005-06,,67.15M,40.97M,108.12M,15.72M,,15.72M,2.458M,,,,126.30M,0.00,,407.91M,186.00M,,,,593.91M,-248.79M,345.12M,,21.38M,21.38M,,,,,34.19M,,2005-06,26.49M,,,,26.49M,2.916M,29.41M,,,0.898M,,0.898M,,,,6.663M,36.97M,,88.20M,49.01M,,,,,,215.88M,,2005-06,0.026M,-513.66M,832.92M,,0.002M,-8.188M,311.10M,,2005-06,,
2005-03,,44.21M,46.37M,90.58M,14.24M,,14.24M,2.428M,,,,107.25M,0.00,,407.00M,179.27M,,,,586.27M,-235.28M,350.99M,,21.84M,21.84M,,,,,37.97M,,2005-03,20.47M,,,,20.47M,2.387M,22.86M,,,1.446M,,1.446M,,,,5.831M,30.14M,,88.05M,49.25M,,,,,,208.70M,,2005-03,0.026M,-510.23M,829.30M,,0.002M,-9.749M,309.35M,,2005-03,,
2004-12,,25.94M,64.50M,90.44M,11.92M,,11.92M,4.726M,,,,107.08M,0.00,,402.62M,161.15M,,,,563.77M,-220.41M,343.36M,,22.02M,22.02M,,,,,29.34M,,2004-12,19.82M,,,,19.82M,4.864M,24.69M,,,0.675M,,0.675M,,,,6.877M,32.24M,,122.07M,34.53M,,,,,,228.09M,,2004-12,0.021M,-504.44M,776.12M,,0.002M,1.997M,273.71M,,2004-12,,
2004-09,,42.58M,54.99M,97.57M,12.88M,,12.88M,3.22M,,,,113.67M,0.00,,392.47M,133.16M,,,,525.63M,-207.40M,318.23M,,21.31M,21.31M,,,,,14.33M,,2004-09,21.57M,,,,21.57M,2.367M,23.94M,,,,,,,,,6.996M,30.94M,,119.31M,,,,,,,176.34M,,2004-09,0.02M,-481.77M,772.12M,,0.002M,0.828M,291.20M,,2004-09,,
2004-06,,51.56M,40.84M,92.40M,12.60M,,12.60M,1.618M,,,,106.61M,0.00,,387.12M,130.98M,,,,518.11M,-193.56M,324.55M,,21.06M,21.06M,,,,,12.46M,,2004-06,4.017M,,,,4.017M,15.55M,19.57M,,,,,,,,,4.797M,24.36M,,119.07M,,,,,,,168.40M,,2004-06,0.02M,-475.15M,771.05M,,0.002M,0.368M,296.28M,,2004-06,,
2004-03,,68.84M,19.80M,88.64M,10.08M,,10.08M,2.168M,,,,100.88M,0.00,,385.80M,128.32M,,,,514.12M,-179.82M,334.30M,,21.41M,21.41M,,,,,10.58M,,2004-03,20.67M,,,,20.67M,,20.67M,,,,,,,,,3.701M,24.37M,,116.47M,,,,,,,164.25M,,2004-03,0.02M,-465.95M,768.06M,,0.002M,0.791M,302.92M,,2004-03,,
2003-12,,26.87M,46.10M,72.97M,10.18M,,10.18M,3.139M,,,,86.29M,0.00,,383.57M,125.43M,,,,509.01M,-165.45M,343.55M,,21.23M,21.23M,,,,,13.46M,,2003-12,18.05M,,,,18.05M,1.942M,19.99M,,,14.69M,,14.69M,,,,3.843M,38.53M,,83.91M,,,,,,,144.46M,,2003-12,0.017M,-435.80M,755.70M,,0.002M,0.166M,320.08M,,2003-12,,
2003-09,,21.72M,3.50M,25.22M,9.393M,,9.393M,6.552M,,,,41.17M,0.00,,381.40M,117.47M,,,,498.86M,-151.02M,347.85M,,23.85M,23.85M,,,,,11.53M,,2003-09,4.371M,,,,4.371M,14.87M,19.24M,,,12.41M,,12.41M,,,,3.243M,34.90M,,140.06M,,,,,,,192.83M,,2003-09,0.011M,-418.11M,650.61M,,0.002M,-0.953M,231.56M,,2003-09,,
2003-06,,24.26M,,24.26M,9.965M,,9.965M,6.232M,,,,40.45M,0.00,,381.28M,116.05M,,,,497.32M,-136.40M,360.92M,,24.01M,24.01M,,,,,12.01M,,2003-06,12.90M,,,,12.90M,3.551M,16.45M,,,9.964M,,9.964M,,,,2.829M,29.24M,,142.08M,,,,,,,188.36M,,2003-06,0.011M,-398.39M,648.31M,,0.002M,-0.893M,249.04M,,2003-06,,
2003-03,,20.98M,,20.98M,10.68M,,10.68M,8.608M,,,,40.26M,,,,114.94M,380.50M,,,495.44M,-121.50M,373.94M,,24.63M,24.63M,,,,,12.66M,,2003-03,13.94M,,,,13.94M,,13.94M,,,6.114M,,6.114M,,,,10.68M,30.73M,,146.79M,,,,,,,192.40M,,2003-03,0.011M,-377.19M,638.13M,,0.002M,-1.874M,259.08M,,2003-03,,
2002-12,,41.22M,,41.22M,9.152M,,9.152M,11.15M,1.981M,,,63.50M,0.00,,384.33M,115.54M,,,,499.87M,-109.83M,390.05M,,24.98M,24.98M,,,,,13.48M,,2002-12,20.35M,,,,20.35M,13.84M,34.19M,,,7.572M,,7.572M,,,,4.413M,46.17M,,147.42M,,,,,,,207.81M,,2002-12,0.01M,-351.63M,638.06M,,0.002M,-2.248M,284.19M,,2002-12,,
2002-09,,9.31M,2.312M,11.62M,6.721M,,6.721M,10.88M,0.047M,,,29.27M,,,,104.19M,377.76M,,,481.95M,-95.25M,386.70M,,,,,,,,12.35M,,2002-09,3.163M,,,,3.163M,13.08M,16.24M,,,105.56M,,105.56M,,,,3.397M,125.20M,,142.50M,,,,,,,280.45M,,2002-09,0.099M,-412.35M,563.82M,,,-3.698M,147.87M,,2002-09,,
2002-06,,16.78M,6.489M,23.26M,6.409M,,6.409M,3.421M,0.047M,,,33.14M,0.00,,377.68M,103.20M,,,,480.88M,-81.17M,399.71M,,,,,,,,37.50M,,2002-06,11.25M,,,,11.25M,1.595M,12.84M,,,112.76M,,112.76M,,,,1.398M,127.00M,,141.50M,,,,,,,280.08M,,2002-06,0.098M,-368.27M,563.85M,,,-5.403M,190.28M,,2002-06,,
2002-03,,33.75M,21.37M,55.12M,8.067M,,8.067M,8.885M,,,2.287M,74.36M,0.00,,385.75M,100.51M,,,,486.27M,-68.66M,417.61M,,,,,,,,39.72M,,2002-03,18.87M,,,,18.87M,,18.87M,,,8.64M,,8.64M,,,,15.34M,42.85M,,273.00M,,,,,,,326.12M,,2002-03,0.09M,-343.71M,557.53M,,,-8.347M,205.57M,,2002-03,,
2001-12,,58.83M,28.89M,87.72M,6.909M,,6.909M,8.541M,0.047M,,,103.22M,0.00,,285.09M,96.74M,,,,381.83M,-56.60M,325.23M,,,,,,,,146.61M,,2001-12,17.50M,,,,17.50M,,17.50M,,,7.206M,,7.206M,,,,38.62M,63.33M,,299.23M,,,,,,,371.53M,,2001-12,0.08M,-330.02M,544.34M,,,-10.89M,203.52M,,2001-12,,
2001-09,,84.65M,81.19M,165.84M,8.25M,,8.25M,8.212M,4.699M,,,187.00M,,,,327.28M,,91.07M,,418.34M,,418.34M,,,,,,,,43.39M,,2001-09,20.81M,,,,20.81M,37.91M,58.72M,,,52.02M,,52.02M,,,,2.179M,112.93M,,113.08M,,,,,,,421.01M,,2001-09,0.08M,-302.57M,543.84M,,,-13.62M,227.72M,,2001-09,,
2001-06,,124.00M,106.67M,230.67M,6.305M,,6.305M,8.913M,0.536M,,,246.43M,0.00,280.47M,,94.14M,,88.36M,,462.97M,-37.72M,425.24M,,,,,,,,37.12M,,2001-06,16.24M,,,,16.24M,25.42M,41.66M,,,7.00M,,7.00M,,,,2.309M,50.96M,,336.89M,9.776M,,,,,,404.41M,,2001-06,0.08M,-220.99M,546.25M,,,-20.95M,304.38M,,2001-06,,
2001-03,,165.87M,80.44M,246.31M,,,6.378M,,,,28.66M,281.35M,,,,,,,,367.94M,-25.94M,342.00M,,,,,,,,124.48M,,2001-03,12.45M,,,,12.45M,,12.45M,,,5.415M,,5.415M,,,,66.54M,84.40M,,318.98M,,,,,,,410.61M,,2001-03,0.079M,-183.14M,549.68M,,,-29.40M,337.22M,,2001-03,,
2000-12,,174.77M,32.44M,207.21M,4.925M,,4.925M,,,,25.84M,237.98M,,,,,,,,330.80M,-15.42M,315.38M,,,,,,,,130.13M,,2000-12,13.72M,,,,13.72M,,13.72M,,,4.426M,,4.426M,,,,93.16M,111.30M,,192.41M,,,,,,,308.37M,,2000-12,0.077M,-141.60M,553.07M,,,-36.43M,375.12M,,2000-12,,
2000-09,,273.87M,36.71M,310.58M,,,5.42M,,,,30.26M,346.26M,,,,,,,,203.33M,-7.366M,195.96M,,,,,,,,158.49M,,2000-09,10.29M,,,,10.29M,,10.29M,,,6.535M,,6.535M,,,,73.45M,90.27M,,194.82M,,,,,,,288.00M,,2000-09,0.077M,-98.72M,561.63M,,,-50.29M,412.70M,,2000-09,,
2000-06,,148.94M,10.37M,159.31M,,,2.327M,,,,28.46M,190.10M,,,,,,,,241.96M,-4.224M,237.74M,,,,,,,,22.63M,,2000-06,8.838M,,,,8.838M,,8.838M,,,4.687M,,4.687M,,,,52.80M,66.32M,,193.01M,,,,,,,261.86M,,2000-06,191.59M,-66.63M,113.96M,,191.58M,-50.32M,188.61M,,2000-06,,
2000-03,,187.68M,5.944M,193.62M,,,0.2851M,,,,28.79M,222.69M,,,,,,,,55.60M,-2.250M,53.35M,,,,,,,,55.94M,,2000-03,5.096M,,,,5.096M,,5.096M,,,4.144M,,4.144M,,,,33.05M,42.29M,,192.30M,,,,,,,235.76M,,2000-03,0.047M,-39.82M,151.14M,,,-15.15M,96.22M,,2000-03,,
