,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-03,100.88M,,,,,,,,117.73M,117.73M,,,,,-35.39M,33.62M,5.604M,33.62M,5.604M,,78.46M,261.67M,-55.25M,,-55.25M,,-26.10M,,66.57M,-14.77M,96.00M,,96.00M,14.01M,,14.01M,,,,,,-158.21M,,-2.261M,-50.46M,53.32M,196.44M,249.76M,14.01M,662.84M,-566.83M,,,
2001-12,141.52M,,,,,,,,120.70M,120.70M,,,,,25.63M,-14.69M,-39.25M,-14.69M,-39.25M,,-107.88M,179.97M,256.13M,,256.13M,,-289.56M,,-92.35M,-125.78M,-343.08M,355.46M,12.38M,10.80M,212.04M,222.83M,11.50M,,11.50M,,,-154.72M,,-205.38M,-113.39M,110.81M,-59.20M,51.60M,22.30M,770.76M,-1.114B,212.04M,,
2001-09,93.96M,,,,,,-230.80M,-1.924M,120.63M,120.63M,-1.803M,,,,29.03M,-31.78M,32.27M,10.91M,31.75M,11.52M,54.68M,296.49M,-66.48M,-345.04M,-411.52M,,-17.34M,42.81M,529.92M,143.87M,-76.41M,-133.00M,-209.41M,28.75M,-210.72M,-181.97M,0.00,210.50M,210.50M,,,-174.92M,,-0.361M,-356.16M,26.61M,84.19M,110.81M,28.75M,-302.30M,448.35M,-0.218M,,
2001-06,102.82M,,,,,,230.80M,1.924M,116.02M,116.02M,1.803M,,,,8.474M,2.284M,1.062M,-40.41M,1.58M,-11.52M,-47.00M,182.12M,-100.53M,345.04M,244.51M,,14.65M,-323.26M,49.96M,-14.14M,303.09M,-222.46M,80.63M,23.38M,-1.317M,22.06M,14.38M,-210.50M,-196.12M,,,-152.34M,,-0.421M,-246.20M,104.83M,-78.22M,26.61M,37.75M,155.87M,-75.24M,-211.82M,,
2001-03,135.28M,,,,,,,,116.71M,116.71M,,,,,-37.24M,-2.989M,11.16M,-2.989M,11.16M,,16.34M,231.09M,-187.83M,,-187.83M,,-5.538M,280.45M,-33.60M,53.48M,-212.41M,,-212.41M,11.48M,,11.48M,34.12M,,34.12M,,,-25.96M,,-10.74M,-203.52M,23.77M,81.06M,104.83M,45.60M,505.05M,-717.46M,,,
2000-12,89.68M,,,,,,-335.84M,-0.767M,116.96M,116.96M,-2.338M,,,,53.61M,-17.95M,-74.00M,-14.33M,-63.74M,61.84M,-108.18M,149.73M,71.19M,-416.60M,-345.41M,,-439.28M,238.22M,260.70M,-285.78M,61.91M,295.87M,357.78M,8.039M,0.212M,8.251M,12.42M,,12.42M,297.06M,,-267.27M,,-7.608M,103.58M,56.24M,-32.47M,23.77M,20.46M,940.26M,-582.48M,0.212M,,
2000-09,205.98M,,,,,,335.84M,0.767M,110.30M,110.30M,2.338M,,,,-87.54M,4.827M,50.39M,1.202M,40.13M,-61.84M,34.71M,265.79M,96.53M,416.60M,513.13M,,-186.52M,-238.22M,-246.89M,-158.50M,79.61M,-295.87M,-216.26M,10.82M,-0.212M,10.60M,48.75M,,48.75M,-297.06M,,-133.93M,,2.715M,-288.12M,237.07M,-180.82M,56.24M,59.57M,58.04M,-274.30M,-0.212M,,
2000-06,152.66M,,,,,,,,113.46M,113.46M,,,,,-44.76M,-0.679M,-4.649M,-0.679M,-4.649M,,-10.66M,210.70M,-155.50M,,-155.50M,,3.472M,-92.24M,174.11M,-70.16M,132.34M,,132.34M,7.148M,,7.148M,20.48M,,20.48M,,,-134.54M,,-1.404M,24.01M,72.51M,164.56M,237.07M,27.62M,344.64M,-212.30M,,,
2000-03,101.14M,,,,,,,,112.85M,112.85M,,,,,-27.70M,-4.104M,16.06M,-4.104M,16.06M,,23.90M,210.19M,-46.54M,,-46.54M,,-3.472M,92.24M,-85.57M,-43.34M,-172.63M,,-172.63M,6.90M,,6.90M,64.35M,,64.35M,,,-28.60M,,6.508M,-123.47M,29.12M,43.39M,72.51M,71.25M,195.68M,-368.31M,,,
1999-12,107.80M,,,,,,,,111.00M,111.00M,,,,,-31.73M,2.10M,-19.30M,2.10M,-19.30M,,-34.40M,152.67M,-205.40M,,-205.40M,,,,-181.05M,-57.15M,129.40M,-16.40M,113.00M,5.30M,,-1.00M,0.00,,0.00,,,-202.50M,,-38.77M,-129.27M,62.80M,-33.75M,29.10M,5.30M,-942.60M,1.072B,,,
1999-09,95.88M,,,,,,,,101.16M,101.16M,,,,,-44.28M,-10.94M,43.81M,-10.94M,43.81M,,65.74M,218.51M,-312.60M,,-312.60M,,,,21.48M,-291.12M,126.03M,,126.03M,4.685M,,4.685M,39.00M,,39.00M,,,-123.46M,,-6.27M,39.98M,95.50M,-32.63M,62.80M,43.68M,395.70M,-269.67M,,,
1999-06,96.62M,,,,,,,,100.74M,100.74M,,,,,-59.42M,46.54M,-3.406M,46.54M,-3.406M,,86.26M,224.19M,-122.00M,,-122.00M,,,,-6.58M,-128.58M,-27.53M,125.00M,97.47M,12.32M,,12.32M,,,,,,-121.64M,,1.07M,-10.78M,10.70M,84.83M,95.50M,12.32M,1.050B,-1.077B,,,
1999-03,93.60M,,,,,,,,97.40M,97.40M,,,,,-32.60M,3.60M,14.00M,3.60M,14.00M,,35.20M,193.60M,-134.40M,,-134.40M,,,,84.40M,-50.00M,-4.20M,-125.00M,-129.20M,17.60M,,17.60M,,,,,,-29.80M,,4.50M,-136.90M,4.00M,6.70M,10.70M,17.60M,,-4.20M,,,
1998-12,76.30M,,,,,,,,91.20M,91.20M,,,,,86.35M,-15.70M,-64.90M,-15.70M,-64.90M,,-161.20M,92.65M,-68.50M,,-68.50M,,,,31.69M,-36.81M,7.70M,-22.00M,-14.30M,11.50M,0.00,11.50M,,,,,,-164.20M,,-38.87M,-205.87M,154.00M,-150.03M,4.00M,11.50M,-221.60M,229.30M,0.00,,
1998-09,56.60M,,,,,,,,76.40M,76.40M,,,,,-39.30M,-4.30M,46.20M,-4.30M,46.20M,,83.80M,177.50M,-478.40M,,-478.40M,,,,10.50M,-467.90M,303.20M,60.00M,363.20M,4.90M,-94.70M,-89.80M,,,,,,-93.70M,,-1.30M,178.40M,265.90M,-112.00M,154.00M,4.90M,689.10M,-385.90M,-94.70M,,
1998-06,67.70M,,,,,,,,67.20M,67.20M,,,,,-12.00M,-1.20M,8.90M,-1.20M,8.90M,,15.40M,138.30M,-377.40M,,-377.40M,,,,-6.50M,-383.90M,287.00M,175.00M,462.00M,65.70M,,65.70M,,,,,,-92.40M,,-1.30M,434.00M,77.60M,188.40M,265.90M,65.70M,306.30M,-19.30M,,,
