,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-12,228.11M,228.11M,101.87M,126.24M,52.38M,49.13M,10.75M,,,,,,112.26M,13.99M,,,,,,18.46M,8.807M,9.657M,,9.657M,9.657M,13.99M,,2001-12,0.03,0.00,0.03,,2001-12,0.03,0.00,0.03,,2001-12,,,2001-12,,
2001-09,224.64M,224.64M,199.75M,24.89M,55.31M,49.14M,10.09M,-197.79M,,,,25.34M,139.87M,-114.98M,,,,-197.79M,,-282.12M,-106.10M,-176.02M,,-176.02M,-52.62M,-114.98M,,2001-09,-0.53,0.00,-0.53,,2001-09,-0.53,0.00,-0.53,,2001-09,,,2001-09,,
2001-06,289.33M,289.33M,140.95M,148.38M,65.40M,54.94M,10.75M,,,,,,131.08M,17.30M,,,,,,25.67M,7.187M,18.48M,,18.48M,18.48M,17.30M,,2001-06,0.06,0.00,0.06,,2001-06,0.05,0.00,0.05,,2001-06,,,2001-06,,
2001-03,407.02M,407.02M,194.95M,212.07M,69.10M,59.42M,11.08M,-362.12M,,,,,139.60M,72.47M,,,,-362.12M,,-279.20M,-117.08M,-162.12M,,-162.12M,55.16M,72.47M,,2001-03,-0.49,0.00,-0.49,,2001-03,-0.49,0.00,-0.49,,2001-03,,,2001-03,,
2000-12,450.10M,450.10M,179.20M,270.90M,71.08M,59.15M,6.834M,-90.70M,,,,,137.06M,133.84M,,,,-90.70M,,51.58M,62.08M,-10.51M,,-10.51M,43.91M,133.84M,,2000-12,-0.03,0.00,-0.03,,2000-12,-0.03,0.00,-0.03,,2000-12,,,2000-12,,
2000-09,437.36M,437.36M,168.32M,269.04M,70.51M,51.43M,,,,,,,121.95M,147.09M,,,,,,158.41M,44.36M,114.06M,,114.06M,114.06M,147.09M,,2000-09,0.35,0.00,0.35,,2000-09,0.32,0.00,0.32,,2000-09,,,2000-09,,
2000-06,364.88M,364.88M,136.93M,227.95M,63.40M,43.19M,,,,,,,106.59M,121.35M,,,,,,130.31M,36.49M,93.83M,,93.83M,93.83M,121.35M,,2000-06,0.29,0.00,0.29,,2000-06,0.27,0.00,0.27,,2000-06,,,2000-06,,
2000-03,306.57M,306.57M,114.50M,192.07M,55.23M,36.64M,,674.73M,,,,,91.87M,100.20M,,,,676.10M,,784.40M,308.05M,476.36M,,476.36M,66.60M,100.20M,,2000-03,1.50,0.00,1.50,,2000-03,1.38,0.00,1.38,,2000-03,,,2000-03,,
1999-12,264.26M,264.26M,99.58M,164.68M,47.95M,31.59M,,,,,,,79.54M,85.14M,,,,2.902M,,95.30M,26.80M,68.50M,,68.50M,68.50M,85.14M,,1999-12,0.21,0.00,0.21,,1999-12,0.20,0.00,0.20,,1999-12,,,1999-12,,
1999-09,238.76M,238.76M,90.20M,148.56M,43.90M,29.34M,,-4.56M,,,,,73.25M,75.31M,,,,-3.306M,,78.32M,22.35M,55.97M,,55.97M,59.23M,75.31M,,1999-09,0.18,0.00,0.18,,1999-09,0.1634,0.00,0.1634,,1999-09,,,1999-09,,
1999-06,211.40M,211.40M,79.76M,131.64M,39.54M,26.01M,,,,,,,65.55M,66.10M,,,,0.654M,,72.43M,20.82M,51.62M,,51.62M,51.62M,66.10M,,1999-06,0.17,0.00,0.17,,1999-06,0.16,0.00,0.16,,1999-06,,,1999-06,,
1999-03,184.31M,184.31M,69.09M,115.22M,36.51M,24.49M,,,,,,,61.00M,54.21M,,,,-3.115M,,55.09M,15.83M,39.25M,0.00,39.25M,39.25M,54.21M,,1999-03,0.13,0.00,0.13,,1999-03,0.12,0.00,0.12,,1999-03,,,1999-03,,
1998-12,171.63M,171.63M,67.12M,104.52M,33.86M,23.04M,,,,,,,56.89M,47.62M,,,,-0.727M,,48.75M,12.64M,36.11M,,36.11M,36.11M,47.62M,,1998-12,0.12,0.00,0.12,,1998-12,0.12,0.00,0.12,,1998-12,,,1998-12,,
1998-09,156.52M,156.52M,58.84M,97.68M,32.45M,22.56M,,,,,,,55.01M,42.67M,,,,-2.381M,,41.46M,13.59M,27.87M,,27.87M,27.87M,42.67M,,1998-09,0.10,0.00,0.10,,1998-09,0.10,0.00,0.10,,1998-09,,,1998-09,,
1998-06,149.52M,149.52M,56.22M,93.30M,31.43M,20.80M,,,,,,,52.24M,41.07M,,,,-2.613M,,38.87M,12.86M,26.01M,-26.65M,-0.635M,26.01M,41.07M,,1998-06,0.09,-0.09,0.00,,1998-06,0.09,-0.09,0.00,,1998-06,,,1998-06,,
