,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2005-06,155.24M,,,,,-52.49M,199.74M,99.98M,99.98M,,,,65.67M,-0.694M,-7.959M,-21.16M,-4.592M,-39.20M,273.94M,-79.21M,121.14M,389.54M,-77.52M,,-77.52M,,0.00,-6.691M,-84.21M,-300.40M,,-300.40M,10.17M,0.00,10.17M,,-26.76M,,-1.647M,-318.63M,311.34M,-13.31M,,298.03M,10.17M,0.00,-300.40M,0.00,125.29M
2005-03,189.61M,,,,,,,99.76M,99.76M,,,,-39.06M,-0.716M,0.675M,-18.04M,15.89M,,,133.59M,131.40M,381.71M,-74.93M,,-74.93M,,0.00,-1.159M,-76.09M,-600.10M,,-600.10M,5.152M,,5.152M,,-28.05M,,0.136M,-622.86M,628.58M,-317.24M,,311.34M,5.152M,0.00,-600.10M,,
2004-12,-25.78M,,,,,13.33M,100.61M,100.61M,100.61M,,,,,1.802M,-0.191M,5.856M,-69.68M,5.856M,28.85M,55.56M,28.06M,116.21M,-117.04M,,-117.04M,,267.54M,7.207M,157.70M,-118.66M,,-118.66M,37.57M,0.00,37.57M,,-24.32M,,-13.26M,-118.67M,473.33M,155.25M,,628.58M,37.57M,0.00,-118.66M,0.00,71.57M
2004-09,282.47M,,,,,39.24M,293.53M,99.29M,99.29M,,,,-25.40M,0.628M,4.896M,20.14M,18.02M,-23.05M,170.27M,-336.11M,-145.20M,250.40M,-37.62M,,-37.62M,,-40.80M,-5.096M,-83.52M,-149.00M,,-149.00M,5.413M,0.00,5.413M,,-25.88M,,-3.671M,-173.14M,479.59M,-6.261M,,473.33M,5.413M,0.00,-149.00M,0.00,194.46M
2004-06,122.16M,,,,,,,97.66M,97.66M,,,,12.79M,-4.984M,-8.337M,-8.018M,29.41M,,,155.89M,163.96M,396.57M,-396.82M,,-396.82M,,-52.87M,-16.28M,-465.97M,156.24M,,156.24M,13.17M,,13.17M,,-25.86M,,26.32M,169.87M,379.12M,100.47M,,479.59M,13.17M,225.00M,-68.76M,,
2004-03,95.85M,,,,,,,96.58M,96.58M,,,,12.61M,-0.702M,-3.181M,-35.17M,-3.745M,,,151.58M,108.78M,313.82M,-79.18M,,-79.18M,,-173.87M,12.33M,-240.73M,-24.96M,,-24.96M,42.16M,,42.16M,,-28.46M,,-12.79M,-24.05M,330.09M,49.04M,,379.12M,42.16M,,-24.96M,,
2003-12,-20.05M,,,,,12.48M,630.75M,630.75M,630.75M,,,,-626.45M,19.12M,-6.01M,,9.964M,4.017M,57.99M,77.54M,169.29M,166.02M,-494.15M,,-494.15M,,,-35.55M,-529.70M,540.21M,,540.21M,,,,,-48.11M,,-224.34M,313.72M,380.04M,-49.95M,,330.09M,,585.63M,-45.42M,,50.84M
2003-09,191.87M,,,,,12.25M,-90.67M,-90.67M,-90.67M,,,,183.62M,8.301M,1.008M,,10.21M,21.64M,-38.87M,1.551M,3.84M,300.91M,-437.27M,,-437.27M,,,-14.88M,-452.15M,-24.91M,,-24.91M,,,,,0.00,,27.20M,2.291M,528.98M,-148.94M,,380.04M,,0.00,-24.91M,,56.87M
2003-06,55.67M,,,,,12.20M,-88.72M,-88.72M,-88.72M,,,,264.31M,-3.274M,-3.602M,,2.402M,-2.207M,123.30M,-95.61M,21.00M,264.47M,-55.84M,,-55.84M,,,-12.56M,-68.40M,208.50M,,208.50M,,,,,-25.12M,,-1.288M,182.10M,150.81M,378.17M,,528.98M,,244.91M,-36.41M,,48.04M
2003-03,53.17M,,,,,11.94M,-88.67M,-88.67M,-88.67M,,,,178.51M,-14.13M,-7.374M,,-6.16M,-16.78M,15.89M,,-28.56M,126.40M,-42.27M,,-42.27M,,,-10.13M,-52.40M,-133.27M,,-133.27M,,,,,-25.10M,,-7.411M,-165.77M,242.58M,-91.77M,,150.81M,,,-133.27M,,63.85M
2002-12,38.28M,,,,,11.91M,592.61M,592.61M,592.61M,,,,-481.97M,2.823M,-2.45M,,-6.078M,9.927M,18.59M,-21.13M,-6.782M,154.05M,-537.87M,,-537.87M,,,15.48M,-522.39M,-26.37M,,-26.37M,,,,,-25.09M,,20.57M,-30.89M,641.81M,-399.22M,,242.58M,,,-26.37M,,48.93M
2002-09,193.49M,,,,,11.81M,-85.54M,-85.54M,-85.54M,,,,92.45M,5.156M,-1.426M,,14.78M,5.907M,-103.04M,83.98M,5.346M,217.56M,48.54M,,48.54M,,,-16.49M,32.05M,-178.07M,,-178.07M,,,,,-25.02M,,1.429M,-201.67M,593.86M,47.94M,,641.81M,,,-178.07M,,69.62M
2002-06,66.70M,,,,,11.71M,-85.15M,-85.15M,-85.15M,,,,350.65M,-12.99M,0.857M,,5.893M,-2.89M,160.08M,-173.05M,-22.10M,321.81M,-116.34M,,-116.34M,,,-2.368M,-118.71M,-220.81M,,-220.81M,,,,,-25.01M,,6.774M,-239.05M,629.82M,-35.95M,,593.86M,,,-220.81M,,46.13M
2002-03,52.81M,,,,,11.36M,-82.83M,-82.83M,-82.83M,,,,165.98M,-2.324M,-0.787M,,10.25M,-21.41M,44.00M,,29.73M,177.05M,-84.32M,,-84.32M,,,-2.897M,-87.22M,-178.01M,,-178.01M,,,,,-25.00M,,15.82M,-187.19M,727.18M,-97.36M,,629.82M,,,-178.01M,,71.85M
2001-12,-38.96M,,,,,,219.41M,520.58M,520.58M,,,,-417.32M,12.90M,0.698M,,-13.60M,6.462M,-70.31M,56.14M,-4.395M,59.91M,-574.74M,,-574.74M,,,-16.24M,-590.97M,512.27M,,512.27M,,,,,-24.99M,,6.366M,493.65M,764.59M,-37.41M,,727.18M,,259.70M,252.58M,,-118.60M
2001-09,159.21M,,,,,-13.62M,-76.82M,-76.82M,-76.82M,,,,180.17M,11.75M,-1.278M,,-9.263M,2.311M,-133.95M,,-130.43M,118.51M,-140.90M,,-140.90M,,,-5.00M,-145.90M,-5.524M,,-5.524M,,,,,-25.00M,,3.407M,-27.11M,819.09M,-54.50M,,764.59M,,0.00,-5.524M,,16.56M
2001-06,81.71M,,,,,9.134M,-74.93M,-74.93M,-74.93M,,,,70.86M,-15.72M,-1.072M,,7.633M,10.62M,108.34M,77.95M,187.76M,274.54M,-199.38M,,-199.38M,,,-19.54M,-218.92M,501.94M,,501.94M,,,,,-24.99M,,0.784M,477.73M,285.72M,533.36M,,819.09M,,519.26M,-17.32M,,54.09M
2001-03,52.50M,,,,,4.491M,-67.66M,-67.66M,-67.66M,,,,202.34M,-8.937M,-1.726M,,1.152M,-19.40M,95.92M,-77.95M,-10.94M,180.72M,-822.46M,,-822.46M,,,-5.722M,-828.19M,780.10M,,780.10M,,,,,-24.99M,,0.261M,755.38M,177.81M,107.91M,,285.72M,,1.055B,-275.28M,,47.94M
2000-12,30.08M,,,,,,168.72M,399.77M,399.77M,,,,-423.82M,-13.21M,-3.225M,,-6.466M,-6.493M,12.40M,69.16M,52.16M,58.19M,-128.01M,,-128.01M,,,-7.692M,-135.70M,84.67M,,84.67M,,,,,-24.99M,,0.064M,59.75M,195.58M,-17.77M,,177.81M,,135.00M,-50.33M,,-89.04M
2000-09,201.50M,,,,,,-57.51M,-57.51M,-57.51M,,,,174.63M,-3.517M,0.271M,,31.96M,2.941M,-80.52M,-59.24M,-108.10M,210.52M,-580.54M,,-580.54M,,,-265.04M,-845.57M,760.68M,,760.68M,,,,,-24.97M,,0.915M,736.62M,94.01M,101.57M,,195.58M,,775.00M,-14.32M,,25.28M
2000-06,108.26M,,,,,,-54.66M,-54.66M,-54.66M,,,,108.80M,10.80M,-3.232M,,27.47M,7.158M,66.66M,,108.85M,271.24M,-491.82M,,-491.82M,,,-3.783M,-495.60M,236.04M,,236.04M,,,,,-21.12M,,0.543M,215.46M,102.90M,-8.89M,,94.01M,,285.00M,-48.96M,,39.16M
2000-03,105.53M,,,,,,-56.56M,-56.56M,-56.56M,,,,114.20M,5.932M,2.469M,,-6.064M,-3.606M,1.456M,,0.187M,163.36M,-85.28M,,-85.28M,,,-2.269M,-87.55M,-14.47M,,-14.47M,,,,,-23.34M,,1.436M,-36.38M,63.47M,39.43M,,102.90M,,,-14.47M,,24.60M
1999-12,38.35M,,,,,,343.81M,343.81M,343.81M,,,,-295.00M,-1.10M,3.936M,,-49.76M,-5.80M,-41.10M,,-55.30M,31.86M,-592.58M,,-592.58M,,,-11.16M,-603.74M,-54.42M,,-54.42M,37.20M,,37.20M,,-23.07M,,10.82M,-29.46M,664.80M,-601.35M,,63.47M,37.20M,,-54.42M,,38.90M
1999-09,170.00M,,,,,,-50.20M,-50.20M,-50.20M,,,,101.40M,39.10M,0.50M,,19.70M,-4.40M,-54.20M,,0.70M,221.90M,-130.20M,,-130.20M,,,-1.50M,-131.70M,-12.90M,,-12.90M,450.20M,,450.20M,,-21.80M,,2.30M,417.80M,156.80M,508.00M,,664.80M,450.20M,,-12.90M,,22.00M
1999-06,85.30M,,,,,,-48.50M,-48.50M,-48.50M,,,,98.10M,-12.60M,0.00,,-23.00M,5.50M,91.10M,,61.00M,195.90M,-82.20M,,-82.20M,,,-1.40M,-83.60M,-47.80M,,-47.80M,,,,,-18.40M,,2.50M,-63.70M,108.30M,48.60M,,156.80M,,,-47.80M,,45.30M
1999-03,90.20M,,,,,,-47.20M,-47.20M,-47.20M,,,,95.50M,-42.30M,1.00M,,5.90M,-1.30M,31.90M,,-4.80M,133.70M,-167.50M,,-167.50M,,,-0.90M,-168.40M,-12.80M,,-12.80M,,,,,-18.30M,,1.10M,-30.00M,172.90M,-64.70M,,108.30M,,,-12.80M,,27.70M
1998-12,-7.561M,,,,,0.00,341.61M,341.61M,341.61M,,,,-265.76M,3.50M,-3.06M,,31.62M,-17.30M,-42.00M,,-43.63M,24.66M,-169.75M,0.00,-169.75M,,,94.35M,-75.41M,-115.74M,,-115.74M,0.032M,,0.032M,,-18.33M,,7.015M,-127.02M,350.70M,-177.77M,,172.92M,0.032M,0.041M,-115.78M,,53.20M
1998-09,150.00M,,,,,0.00,-52.00M,-52.00M,-52.00M,,,,105.10M,-11.10M,9.50M,,-4.00M,4.20M,-70.50M,,-71.90M,131.20M,-57.20M,0.00,-57.20M,,,-0.40M,-57.60M,-72.90M,,-72.90M,0.00,,0.00,,-18.30M,,-1.70M,-92.90M,370.00M,-19.30M,,350.70M,0.00,0.00,-72.90M,,33.70M
1998-06,79.80M,,,,,1.00M,-47.40M,-47.40M,-47.40M,,,,96.40M,-2.90M,-2.40M,,1.90M,15.70M,79.10M,,91.40M,221.20M,-332.10M,94.50M,-237.60M,,,0.90M,-236.70M,-145.80M,,-145.80M,0.00,,0.00,,-15.80M,,-1.10M,-162.70M,548.10M,-178.20M,,370.00M,0.00,0.00,-145.80M,,83.40M
