,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.028B,2.028B,1.176B,851.74M,,,337.36M,,,,67.88M,7.733M,-60.14M,,577.59M,274.15M,7.733M,67.88M,-60.14M,4.652M,-60.14M,218.65M,218.65M,,0.00,218.65M,218.65M,526.76M,240.23M,286.53M,1.03,,,1.03,1.03,1.02,,,1.02,1.02,212.61M,213.60M,0.6
2017-12,2.004B,2.004B,1.146B,858.77M,,,311.06M,,,,69.80M,13.34M,-56.46M,,551.42M,307.35M,13.34M,69.80M,-56.46M,37.14M,-56.46M,288.04M,288.04M,,,288.04M,288.04M,598.20M,240.36M,357.84M,1.35,,,1.35,1.35,1.34,,,1.34,1.34,213.82M,215.06M,0.6
2017-09,2.570B,2.570B,1.318B,1.251B,,,273.64M,,,,73.23M,4.693M,-68.54M,,513.79M,737.49M,4.693M,73.23M,-68.54M,83.89M,-68.54M,752.84M,752.84M,,,752.84M,752.84M,1.066B,240.15M,826.08M,3.51,,,3.51,3.51,3.49,,,3.49,3.49,214.69M,215.82M,0.6
2017-06,2.195B,2.195B,1.257B,938.49M,,,283.86M,,,,76.63M,5.811M,-70.82M,,518.79M,419.70M,5.811M,76.63M,-70.82M,20.65M,-70.82M,369.53M,369.53M,,,369.53M,369.53M,681.10M,234.94M,446.16M,1.72,,,1.72,1.72,1.71,,,1.71,1.71,215.08M,216.06M,0.48
2017-03,2.009B,2.009B,1.176B,832.74M,,,317.46M,,0.00,0.00,80.32M,6.252M,-74.06M,,553.21M,279.52M,6.252M,80.32M,-74.06M,9.269M,-74.06M,214.73M,214.73M,,,214.73M,214.73M,530.79M,235.75M,295.04M,1.0,,,1.0,1.0,0.99,,,0.99,0.99,214.87M,215.81M,0.48
2016-12,1.910B,1.910B,1.123B,786.35M,,,256.31M,,,,80.57M,5.981M,-74.59M,,489.51M,296.84M,5.981M,80.57M,-74.59M,38.83M,-74.59M,261.09M,261.09M,,,261.09M,261.09M,574.86M,233.20M,341.65M,1.22,,,1.22,1.22,1.21,,,1.21,1.21,214.58M,215.54M,0.48
2016-09,2.564B,2.564B,1.340B,1.224B,,,259.33M,,,,82.61M,6.472M,-76.14M,,488.66M,734.96M,6.472M,82.61M,-76.14M,34.43M,-76.14M,693.26M,693.26M,,,693.26M,693.26M,1.005B,229.33M,775.87M,3.23,,,3.23,3.23,3.21,,,3.21,3.21,214.82M,215.67M,0.48
2016-06,2.105B,2.105B,1.311B,794.68M,,,290.78M,,,,78.75M,5.683M,-73.06M,,512.40M,282.27M,5.683M,78.75M,-73.06M,20.70M,-73.06M,229.90M,229.90M,,,229.90M,229.90M,530.27M,221.62M,308.65M,1.07,,,1.07,1.07,1.06,,,1.06,1.06,215.26M,216.13M,0.375
2016-03,1.918B,1.918B,1.242B,676.22M,,,302.33M,,,,65.45M,2.72M,-62.73M,,513.09M,163.13M,2.72M,65.45M,-62.73M,-1.261M,-62.73M,99.14M,99.14M,,,99.14M,99.14M,375.35M,210.76M,164.59M,0.46,,,0.46,0.46,0.46,,,0.46,0.46,216.91M,217.87M,0.375
2015-12,1.902B,1.902B,1.173B,728.71M,,,269.46M,,,0.00,64.13M,3.781M,-60.35M,,478.79M,249.92M,3.781M,64.13M,-60.35M,17.23M,-60.35M,206.80M,206.80M,,,206.80M,206.80M,480.26M,209.33M,270.93M,0.95,,,0.95,0.95,0.94,,,0.94,0.94,218.64M,219.82M,0.375
2015-09,2.523B,2.523B,1.387B,1.136B,,,256.06M,,,-411.27M,66.82M,1.735M,-65.08M,,466.80M,669.27M,1.735M,66.82M,-65.08M,-375.40M,-65.08M,228.79M,228.79M,,,228.79M,475.55M,506.35M,210.74M,295.61M,1.04,,,2.162,1.04,1.03,,,2.146,1.03,219.96M,221.14M,0.375
2015-06,2.058B,2.058B,1.316B,741.91M,,,274.15M,,,0.00,76.62M,2.772M,-73.85M,,480.62M,261.30M,2.772M,76.62M,-73.85M,-2.482M,-73.85M,184.97M,184.97M,,,184.97M,184.97M,468.06M,206.47M,261.59M,0.84,,,0.84,0.84,0.84,,,0.84,0.84,219.91M,220.90M,0.3
2015-03,1.816B,1.816B,1.223B,592.98M,,,286.83M,,,0.00,70.16M,3.737M,-66.42M,,487.30M,105.68M,3.737M,70.16M,-66.42M,5.97M,-66.42M,45.23M,45.23M,,,45.23M,45.23M,315.86M,200.47M,115.39M,0.21,,,0.21,0.21,0.2,,,0.2,0.2,219.63M,220.84M,0.3
2014-12,1.818B,1.818B,1.245B,573.08M,,,258.00M,,,-2.36M,64.37M,2.321M,-62.05M,,451.38M,121.70M,2.321M,64.37M,-62.05M,50.11M,-62.05M,109.77M,109.77M,,,109.77M,111.30M,367.52M,193.38M,174.14M,0.5,,,0.507,0.5,0.49,,,0.4969,0.49,220.61M,222.12M,0.3
2014-09,2.389B,2.389B,1.427B,961.88M,,,239.66M,,,-0.308M,60.10M,2.117M,-57.98M,,432.11M,529.77M,2.117M,60.10M,-57.98M,18.46M,-57.98M,490.25M,490.25M,,,490.25M,490.45M,742.80M,192.45M,550.35M,2.2,,,2.201,2.2,2.19,,,2.191,2.19,222.52M,223.86M,0.3
2014-06,1.980B,1.980B,1.331B,649.37M,,,260.99M,,,0.086M,65.26M,2.63M,-62.63M,,453.87M,195.50M,2.63M,65.26M,-62.63M,4.802M,-62.63M,137.67M,137.67M,,,137.67M,137.62M,395.81M,192.88M,202.93M,0.62,,,0.6197,0.62,0.62,,,0.6198,0.62,222.19M,223.38M,0.25
2014-03,1.887B,1.887B,1.304B,583.24M,,,290.31M,,,-1.736M,68.57M,3.276M,-65.30M,,484.04M,99.20M,3.276M,68.57M,-65.30M,-7.45M,-65.30M,26.46M,26.46M,,,26.46M,27.59M,288.76M,193.74M,95.03M,0.12,,,0.1251,0.12,0.12,,,0.1251,0.12,221.30M,222.67M,0.25
