,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2004-06,706.34M,,706.34M,,94.96M,64.96M,,94.86M,961.12M,,,,,,12.10B,-1.860B,10.24B,,278.56M,278.56M,535.79M,11.05B,12.01B,195.52M,195.52M,,195.52M,,,1.081B,,1.081B,,,1.321B,2.597B,4.896B,,4.896B,,31.87M,4.928B,7.526B,1.99M,2.329B,2.159B,7.997M,,,4.488B
2004-03,553.00M,,553.00M,,88.21M,56.63M,,109.08M,806.92M,,,,,,11.80B,-1.860B,9.939B,,278.56M,278.56M,534.04M,10.75B,11.56B,194.78M,194.78M,,194.78M,,,314.26M,,314.26M,,,1.136B,1.645B,5.510B,,5.510B,,38.03M,5.548B,7.193B,1.983M,2.232B,2.143B,7.857M,,,4.366B
2003-12,330.09M,,330.09M,,89.49M,53.28M,101.70M,,574.55M,,,,,,11.80B,-1.860B,9.943B,278.56M,,278.56M,526.14M,10.75B,11.32B,187.76M,187.76M,271.94M,459.70M,,,315.23M,,315.23M,,,729.60M,1.505B,5.521B,,5.521B,,34.75M,5.555B,7.060B,1.961M,2.162B,2.101B,7.717M,,5.846M,4.263B
2003-09,380.04M,,380.04M,,98.59M,47.27M,,152.39M,678.29M,,,,,,11.10B,-1.552B,9.544B,,278.56M,278.56M,567.21M,10.39B,11.07B,177.60M,177.60M,,177.60M,,,324.22M,,324.22M,,,1.059B,1.561B,5.197B,,5.197B,,24.28M,5.221B,6.782B,1.952M,2.208B,2.087B,7.577M,,,4.286B
2003-06,528.98M,,528.98M,,106.91M,48.28M,,160.15M,844.32M,,,,,,10.75B,-1.552B,9.197B,,278.56M,278.56M,562.47M,10.04B,10.88B,167.40M,167.40M,,167.40M,,,190.93M,,190.93M,,,1.059B,1.417B,5.356B,,5.356B,,18.27M,5.374B,6.791B,1.934M,2.041B,2.058B,7.438M,,,4.091B
2003-03,150.81M,,150.81M,,103.06M,44.67M,,128.96M,427.51M,,,,,,10.78B,-1.552B,9.230B,,278.56M,278.56M,540.16M,10.05B,10.48B,164.99M,164.99M,,164.99M,,,122.74M,,122.74M,,,915.98M,1.204B,5.197B,,5.197B,,13.68M,5.211B,6.414B,1.931M,2.011B,2.055B,7.298M,,,4.062B
2002-12,242.58M,,242.58M,,79.54M,37.30M,88.32M,,447.74M,,,,,,10.83B,-1.552B,9.276B,278.56M,,278.56M,535.74M,10.09B,10.54B,171.15M,171.15M,308.28M,479.43M,,,122.54M,,122.54M,,,567.96M,1.170B,5.322B,,5.322B,,11.61M,5.334B,6.504B,1.93M,1.983B,2.054B,7.158M,,3.693M,4.035B
2002-09,641.81M,,641.81M,,82.36M,34.85M,,82.42M,841.43M,,,,,,10.05B,-1.225B,8.824B,,278.56M,278.56M,568.99M,9.672B,10.51B,174.99M,174.99M,,174.99M,,,122.41M,,122.41M,,,841.81M,1.139B,5.352B,,5.352B,,2.818M,5.355B,6.494B,1.925M,1.969B,2.049B,7.018M,,,4.019B
2002-06,593.86M,,593.86M,,87.51M,33.42M,,89.23M,804.03M,,,,,,10.18B,-1.225B,8.958B,,278.56M,278.56M,540.55M,9.777B,10.58B,160.21M,160.21M,,160.21M,,,273.60M,,273.60M,,,945.76M,1.380B,5.337B,,5.337B,,15.31M,5.352B,6.732B,1.924M,1.801B,2.048B,6.878M,,,3.850B
2002-03,629.82M,,629.82M,,74.52M,34.28M,,113.81M,852.42M,,,,,,9.832B,-1.225B,8.607B,,278.56M,278.56M,571.56M,9.457B,10.31B,154.32M,154.32M,,154.32M,,,237.27M,,237.27M,,,813.17M,1.205B,5.235B,,5.235B,,69.87M,5.305B,6.509B,1.924M,1.759B,2.047B,6.738M,,,3.800B
2001-12,727.18M,,727.18M,,72.20M,33.49M,53.25M,,886.11M,,,,,,8.605B,,8.605B,278.56M,,278.56M,598.66M,9.483B,10.37B,144.07M,144.07M,283.91M,427.98M,,,238.58M,,238.58M,,,446.08M,1.113B,5.408B,,5.408B,,92.02M,5.500B,6.612B,1.923M,1.731B,2.046B,6.598M,,-16.07M,3.757B
2001-09,764.59M,,764.59M,,66.51M,34.19M,,61.73M,927.02M,,,,,,9.044B,-934.75M,8.110B,,281.16M,281.16M,583.57M,8.974B,9.901B,157.66M,157.66M,,157.66M,,,45.84M,,45.84M,,,720.89M,924.39M,5.095B,,5.095B,,48.63M,5.144B,6.068B,1.923M,1.795B,2.046B,6.458M,,,3.833B
2001-06,819.09M,,819.09M,,78.26M,32.91M,,75.51M,1.006B,,,,,,8.651B,-934.75M,7.716B,,283.77M,283.77M,582.67M,8.583B,9.589B,166.93M,166.93M,,166.93M,,,45.75M,,45.75M,,,867.65M,1.080B,4.714B,,4.714B,,91.59M,4.806B,5.886B,1.923M,1.661B,2.045B,6.318M,,,3.702B
2001-03,285.72M,,285.72M,,62.55M,31.84M,,85.43M,465.54M,,,,,,8.524B,-934.75M,7.589B,,286.37M,286.37M,545.02M,8.421B,8.886B,159.30M,159.30M,,159.30M,,,110.05M,,110.05M,,,755.05M,1.024B,4.146B,,4.146B,,69.08M,4.215B,5.240B,1.922M,1.604B,2.044B,6.178M,,,3.647B
2000-12,177.81M,,177.81M,,53.61M,30.12M,49.18M,,310.72M,,,,,,6.832B,,6.832B,288.97M,,288.97M,396.96M,7.518B,7.828B,158.14M,158.14M,200.90M,359.04M,,,109.93M,,109.93M,,,443.41M,912.38M,3.300B,,3.300B,,,3.300B,4.213B,1.921M,1.577B,2.043B,6.038M,,0.00,3.616B
2000-09,195.58M,,195.58M,,40.25M,26.89M,,44.56M,307.27M,,,,,,7.557B,-793.90M,6.763B,,291.58M,291.58M,390.15M,7.445B,7.752B,156.40M,156.40M,,156.40M,,,109.88M,,109.88M,,,661.74M,928.03M,3.215B,,3.215B,,,3.215B,4.143B,1.92M,1.572B,2.042B,5.898M,,,3.610B
2000-06,94.01M,,94.01M,,36.73M,27.16M,,47.50M,205.40M,,,,,,7.123B,-793.90M,6.329B,,294.18M,294.18M,33.96M,6.658B,6.863B,124.44M,124.44M,,124.44M,,,118.97M,,118.97M,,,742.25M,985.66M,2.445B,,2.445B,,,2.445B,3.430B,1.92M,1.395B,2.041B,5.758M,,,3.432B
2000-03,102.90M,,102.90M,,47.53M,23.93M,,54.66M,229.01M,,,,,,6.683B,-793.90M,5.890B,,296.78M,296.78M,29.78M,6.216B,6.445B,96.98M,96.98M,,96.98M,,,118.89M,,118.89M,,,675.59M,891.46M,2.209B,,2.209B,,,2.209B,3.100B,1.854M,1.308B,1.934B,5.618M,,,3.345B
1999-12,63.47M,,63.47M,,53.46M,26.40M,51.05M,,194.38M,,,,,,6.652B,-793.90M,5.858B,299.39M,,299.39M,28.55M,6.186B,6.381B,103.04M,103.04M,209.10M,312.14M,,,128.09M,,128.09M,,,465.03M,905.26M,2.214B,,2.214B,,,2.214B,3.119B,174.01M,1.226B,1.867B,5.479M,172.20M,,3.261B
1999-09,664.80M,,664.80M,,52.30M,30.40M,,45.20M,792.70M,,,,,,5.315B,,5.315B,,302.00M,302.00M,18.20M,5.635B,6.428B,118.40M,118.40M,,118.40M,,,128.10M,,128.10M,,,715.20M,961.70M,2.263B,,2.263B,,,2.263B,3.225B,1.80M,1.211B,1.823B,5.30M,,,3.203B
1999-06,156.80M,,156.80M,,91.40M,30.80M,,40.80M,319.80M,,,,,,5.232B,,5.232B,,304.60M,304.60M,17.70M,5.555B,5.874B,98.80M,98.80M,,98.80M,,,128.10M,,128.10M,,,769.40M,996.30M,2.278B,,2.278B,,,2.278B,3.274B,1.70M,1.062B,1.369B,5.20M,,,2.600B
1999-03,108.30M,,108.30M,,78.80M,30.80M,,46.30M,264.20M,,,,,,5.196B,,5.196B,,307.20M,307.20M,17.00M,5.520B,5.784B,121.70M,121.70M,,121.70M,,,128.10M,,128.10M,,,678.30M,928.10M,2.327B,,2.327B,,-0.10M,2.327B,3.255B,1.70M,995.50M,1.365B,5.10M,,,2.529B
1998-12,172.92M,,172.92M,,36.53M,31.83M,45.04M,,286.33M,,,,,,5.681B,-608.30M,5.073B,309.80M,,309.80M,16.94M,5.400B,5.686B,115.83M,115.83M,243.48M,359.31M,,,127.92M,,127.92M,,,402.93M,890.16M,2.341B,,2.341B,,,2.341B,3.231B,174.19M,923.69M,1.362B,4.919M,172.50M,,2.455B
1998-09,350.70M,,350.70M,,40.00M,28.80M,,27.80M,447.30M,,,,,,5.043B,,5.043B,,312.40M,312.40M,17.70M,5.373B,5.820B,104.60M,104.60M,,104.60M,,,132.00M,,132.00M,,,688.30M,924.90M,2.447B,,2.447B,,,2.447B,3.372B,1.70M,918.60M,1.360B,4.80M,,,2.448B
1998-06,370.00M,,370.00M,,29.00M,28.70M,,31.90M,459.60M,,,,,,5.034B,,5.034B,,315.00M,315.00M,19.10M,5.368B,5.828B,108.50M,108.50M,,108.50M,,,129.30M,,129.30M,,,749.30M,987.10M,2.524B,,2.524B,,,2.524B,3.511B,1.70M,786.90M,1.360B,4.60M,,,2.316B
1998-03,548.10M,,548.10M,,26.00M,35.90M,,47.60M,657.60M,,,,,,4.836B,,4.836B,,317.60M,317.60M,21.80M,5.176B,5.833B,106.70M,106.70M,,106.70M,,,141.00M,,141.00M,,,675.00M,922.70M,2.66B,,2.66B,,-0.10M,2.660B,3.583B,0.80M,722.90M,1.359B,4.50M,,,2.250B
