,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,546.22M,546.22M,403.94M,142.28M,97.25M,,,3.068M,,,,,97.25M,45.03M,,,,3.068M,,41.54M,12.29M,29.24M,,,29.24M,27.08M,70.44M,25.41M,45.03M,0.74,0.0,0.6852,0.74,0.74,0.0,0.6856,0.74,39.45M,39.70M,0.18
2002-12,399.92M,399.92M,274.55M,125.37M,64.04M,,,,,,,,53.96M,71.41M,,,,,,64.94M,12.81M,35.94M,,,35.03M,35.94M,93.86M,22.45M,71.41M,0.82,-0.0227,0.82,0.82,0.81,-0.0227,0.81,0.81,42.98M,43.26M,0.18
2002-09,508.24M,508.24M,375.75M,132.49M,93.07M,,,,,,,,93.07M,39.42M,,,,,,33.14M,6.86M,26.28M,,,26.28M,26.28M,64.24M,24.82M,39.42M,0.67,0.0,0.67,0.67,0.66,0.0,0.66,0.66,39.34M,39.82M,0.18
2002-06,546.31M,546.31M,397.39M,148.92M,94.56M,,,,,,,,94.56M,54.35M,,,,,,48.11M,14.58M,33.54M,,,33.54M,33.54M,77.52M,23.17M,54.35M,0.85,0.0,0.85,0.85,0.84,0.0,0.84,0.84,39.24M,39.97M,0.18
2002-03,508.40M,508.40M,373.29M,135.11M,85.18M,,,,,,,,85.18M,49.93M,,,,,,43.89M,13.48M,30.42M,,,30.42M,30.42M,71.64M,21.72M,49.93M,0.78,0.0,0.78,0.78,0.77,0.0,0.77,0.77,39.04M,39.64M,0.17
2001-12,465.25M,465.25M,337.32M,127.93M,82.89M,,,,,,,,61.54M,66.39M,,,,,,37.93M,8.761M,29.17M,,,29.17M,29.17M,90.70M,24.31M,66.39M,0.75,0.0,0.75,0.75,0.74,0.0,0.74,0.74,38.81M,39.30M,0.17
2001-09,466.01M,466.01M,337.42M,128.59M,89.06M,,,,,,,7.263M,96.33M,32.26M,,,,,,32.26M,10.16M,22.10M,,,22.10M,22.10M,56.17M,23.91M,32.26M,0.57,0.0,0.57,0.57,0.56,0.0,0.56,0.56,38.85M,39.38M,0.17
2001-06,503.00M,503.00M,359.47M,143.54M,90.68M,,,,,,,-404.67M,-313.99M,457.53M,,,,,,45.48M,14.42M,31.06M,,,31.06M,31.06M,480.63M,23.10M,457.53M,0.8,0.0,0.8,0.8,0.79,0.0,0.79,0.79,38.76M,39.36M,0.17
2001-03,470.73M,470.73M,335.50M,135.23M,84.50M,,,,,,,-375.97M,-291.48M,426.71M,,,,,,44.02M,14.04M,29.98M,,,29.98M,29.98M,447.80M,21.09M,426.71M,0.78,0.0,0.78,0.78,0.77,0.0,0.77,0.77,38.50M,39.04M,0.15
2000-12,450.93M,450.93M,309.88M,141.05M,73.20M,,,,,,,,93.44M,47.62M,,,,,,42.50M,11.14M,31.36M,,,31.36M,31.36M,67.85M,20.24M,47.62M,0.82,0.0,0.82,0.82,0.81,0.0,0.81,0.81,38.24M,38.63M,0.15
2000-09,420.40M,420.40M,286.45M,133.96M,76.95M,,,,,,,,96.57M,37.39M,,,,,,32.18M,10.46M,21.72M,,,21.72M,21.72M,57.01M,19.62M,37.39M,0.57,0.0,0.57,0.57,0.56,0.0,0.56,0.56,38.24M,38.71M,0.15
2000-06,465.55M,465.55M,312.37M,153.18M,84.71M,,,,,,,,104.18M,49.00M,,,,,,43.57M,14.25M,29.32M,,,29.32M,29.32M,68.47M,19.47M,49.00M,0.77,0.0,0.77,0.77,0.76,0.0,0.76,0.76,38.18M,38.62M,0.15
2000-03,427.59M,427.59M,288.09M,139.50M,76.42M,,,,,,,,94.51M,45.00M,,,,,,39.96M,13.15M,26.81M,,,26.81M,26.81M,63.09M,18.09M,45.00M,0.7,0.0,0.7,0.7,0.7,0.0,0.7,0.7,38.10M,38.42M,0.13
1999-12,410.37M,410.37M,284.60M,125.77M,63.80M,,,,,,,,81.40M,44.37M,,,,,,40.00M,12.70M,27.30M,,,27.30M,27.30M,61.97M,17.60M,44.37M,0.72,0.0,0.72,0.72,0.71,0.0,0.71,0.71,37.94M,38.43M,0.13
1999-09,377.40M,377.40M,255.60M,121.80M,71.30M,,,,,,,,88.50M,33.30M,,,,,,28.80M,9.80M,19.00M,,,19.00M,19.00M,50.50M,17.20M,33.30M,0.5,0.0,0.5,0.5,0.49,0.0,0.49,0.49,38.00M,38.78M,0.13
1999-06,421.10M,421.10M,283.00M,138.10M,77.60M,,,,,,,,94.30M,43.80M,,,,,,39.30M,13.40M,25.90M,,,25.90M,25.90M,60.50M,16.70M,43.80M,0.69,0.0,0.69,0.69,0.67,0.0,0.67,0.67,37.54M,38.66M,0.13
1999-03,392.20M,392.20M,265.30M,126.90M,72.00M,,,,,,,,87.90M,39.00M,,,,,,34.70M,11.60M,23.10M,,,23.10M,23.10M,54.90M,15.90M,39.00M,0.61,0.0,0.61,0.61,0.6,0.0,0.6,0.6,37.87M,38.50M,0.115
1998-12,385.88M,385.88M,262.10M,123.78M,67.40M,,,,,,,,82.60M,41.18M,,,,,,37.10M,11.80M,25.30M,,,25.30M,25.30M,56.38M,15.20M,41.18M,0.68,0.0,0.68,0.68,0.66,0.0,0.66,0.66,37.15M,38.31M,0.115
1998-09,343.00M,343.00M,231.70M,111.30M,67.40M,,,,,,,,82.50M,28.80M,,,,,,24.60M,8.40M,16.20M,,,16.20M,16.20M,43.90M,15.10M,28.80M,0.43,0.0,0.43,0.43,0.42,0.0,0.42,0.42,37.67M,38.57M,0.115
1998-06,363.00M,363.00M,243.90M,119.10M,66.40M,,,,,,,,82.30M,36.80M,,,,,,32.50M,11.30M,21.20M,,,21.20M,21.20M,52.70M,15.90M,36.80M,0.57,0.0,0.57,0.57,0.55,0.0,0.55,0.55,37.19M,38.55M,0.115
