,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-06,28.97M,,,-1.903M,22.10M,3.83M,25.92M,25.92M,,,,,2.664M,34.99M,-0.802M,5.818M,-3.003M,,2.252M,,39.26M,20.39M,115.31M,-12.92M,,-12.92M,-4.673M,-0.107M,6.064M,-12.82M,,,-39.31M,6.375M,,6.375M,,-10.18M,,-5.155M,-49.72M,165.41M,52.77M,-5.718M,212.46M,6.375M,,,
2005-03,38.73M,,,7.086M,21.29M,4.019M,25.31M,25.31M,,,,,,4.419M,-2.357M,-5.68M,6.311M,,2.482M,,5.175M,-20.78M,55.51M,-13.47M,,-13.47M,86.92M,0.096M,-1.336M,71.37M,,,-67.99M,5.08M,,5.08M,,-8.918M,,-3.92M,-75.82M,115.96M,51.06M,-1.612M,165.41M,5.08M,,,
2004-12,-71.61M,,,-7.244M,26.12M,4.355M,30.48M,30.48M,,,,,,-29.38M,22.45M,-0.042M,65.40M,,-33.41M,,25.02M,68.22M,85.58M,-15.81M,-43.83M,-59.64M,49.19M,,-3.503M,-19.95M,,,-31.93M,3.493M,,3.493M,,-9.08M,,,-55.58M,102.58M,10.05M,3.324M,115.96M,3.493M,,,
2004-09,17.49M,,,11.23M,24.46M,4.315M,28.78M,28.78M,,,,,,36.33M,0.208M,-4.168M,-24.84M,,2.432M,,9.964M,1.074M,68.54M,-12.52M,20.04M,7.522M,-458.27M,,3.923M,-446.83M,,,407.84M,0.509M,,0.509M,,-8.86M,,,399.49M,81.52M,21.20M,0.39M,102.58M,0.509M,,,
2004-06,34.16M,,,1.341M,19.33M,2.886M,22.22M,22.22M,,,,,,-2.158M,13.04M,0.534M,16.58M,,6.879M,,34.87M,0.716M,93.32M,-10.06M,23.79M,13.74M,,,-0.179M,13.56M,,,-82.21M,2.057M,,2.057M,,-8.635M,,,-88.78M,62.90M,18.09M,,81.52M,2.057M,,,
2004-03,29.47M,,,6.235M,22.58M,2.485M,25.07M,25.07M,,,,,,-41.92M,-9.175M,3.046M,-0.249M,,4.364M,,-43.93M,-0.181M,16.66M,-14.56M,,-14.56M,,,-0.141M,-14.70M,,,2.186M,10.17M,,10.17M,,-8.00M,,,4.354M,56.58M,6.318M,,62.90M,10.17M,,,
2003-12,29.80M,,,,16.96M,2.538M,19.50M,19.50M,,,,,,-1.183M,6.793M,-2.044M,-6.515M,,-11.78M,,-14.73M,,46.54M,-12.91M,0.00,-12.91M,-10.81M,,2.063M,-21.66M,,,-9.622M,2.709M,,2.709M,,-7.944M,,,-14.86M,46.55M,10.03M,,56.58M,2.709M,,,
2003-09,18.22M,,,,24.61M,2.477M,27.08M,27.08M,,,,,,10.13M,-4.004M,1.982M,-4.417M,,4.194M,,7.885M,,53.19M,-23.01M,0.00,-23.01M,-51.52M,,-2.833M,-77.37M,,,16.34M,2.735M,,2.735M,,-7.93M,,,11.14M,59.59M,-13.03M,,46.55M,2.735M,,,
2003-06,31.84M,,,,24.84M,1.779M,26.62M,26.62M,,,,,,7.152M,10.12M,3.434M,-1.162M,,-3.00M,,16.54M,,75.00M,-22.63M,0.00,-22.63M,0.00,,-0.477M,-23.11M,,,-28.07M,0.575M,,0.575M,,-7.907M,,,-35.41M,43.10M,16.48M,,59.59M,0.575M,,,
2003-03,29.24M,,,,23.71M,1.698M,25.41M,25.41M,,,,,,-35.60M,-18.14M,0.367M,15.32M,,10.58M,,-27.47M,,27.18M,-21.83M,4.728M,-17.10M,-22.92M,,-0.84M,-40.86M,,,18.91M,0.476M,,0.476M,,-7.10M,,,12.29M,44.49M,-1.392M,,43.10M,0.476M,,,
2002-12,35.03M,,,,20.97M,1.485M,22.45M,22.45M,,,,,,6.103M,4.413M,0.009M,-18.68M,,-12.00M,,-20.15M,,45.37M,-14.01M,,-2.59M,-7.366M,,-0.041M,-9.997M,,,-38.37M,0.15M,,0.15M,,-7.09M,,,-45.31M,54.43M,-9.935M,,44.49M,0.15M,,,
2002-09,26.28M,,,,23.22M,1.601M,24.82M,24.82M,,,,,,17.83M,-8.042M,3.175M,-1.038M,,2.34M,,14.27M,,65.37M,-23.88M,,-23.88M,-22.06M,,-0.204M,-46.14M,,,-5.062M,1.576M,,1.576M,,-7.081M,,,-10.57M,45.76M,8.667M,,54.43M,1.576M,,,
2002-06,33.54M,,,,21.83M,1.336M,23.17M,23.17M,,,,,,-5.49M,-10.62M,2.708M,3.958M,,9.655M,,0.215M,,56.92M,-20.16M,,-20.16M,-18.06M,0.042M,4.076M,-34.11M,,,-23.97M,2.169M,,2.169M,,-7.063M,,,-28.86M,51.82M,-6.055M,,45.76M,2.169M,,,
2002-03,30.42M,,,,20.46M,1.26M,21.72M,21.72M,,,,,,-21.14M,-10.62M,-2.28M,10.20M,,,,-23.83M,,28.30M,-22.52M,,-22.52M,-9.742M,-0.042M,-1.948M,-34.26M,,,11.55M,5.951M,,5.951M,,-6.627M,,,10.87M,46.90M,4.917M,,51.82M,5.951M,,,
2001-12,29.17M,,,,,,24.31M,24.31M,,,,,,19.16M,2.404M,3.358M,-2.376M,,-6.957M,,15.59M,,78.74M,-24.44M,,-24.44M,-2.928M,,-3.969M,-31.34M,,,-39.04M,0.573M,,0.573M,,-6.614M,,,-45.08M,44.58M,2.319M,,46.90M,0.573M,,,
2001-09,22.10M,,,,,,23.91M,23.91M,,,,,,5.466M,-1.426M,-2.608M,3.44M,,3.948M,,8.82M,,54.83M,-23.73M,,-23.73M,-18.71M,,1.634M,-40.81M,,,-10.81M,0.705M,,0.705M,,-6.604M,,,-16.71M,47.27M,-2.688M,,44.58M,0.705M,,,
2001-06,31.06M,,,,,,23.10M,23.10M,,,,,,9.935M,-2.295M,-3.159M,-13.81M,,-1.324M,,-10.65M,,43.51M,-27.14M,,-27.14M,-6.469M,,0.136M,-33.47M,,,-1.359M,2.803M,,2.803M,,-6.593M,,,-5.149M,42.38M,4.885M,,47.27M,2.803M,,,
2001-03,29.98M,,,,,,21.09M,21.09M,,,,,,-31.27M,-13.30M,-2.154M,3.249M,,3.59M,,-39.89M,,11.18M,-22.43M,,-22.43M,-142.59M,,-1.722M,-166.74M,,,154.44M,4.147M,,4.147M,,-5.775M,,,152.81M,45.14M,-2.755M,,42.38M,4.147M,,,
2000-12,31.36M,,,,,,20.24M,20.24M,,,,,,-0.113M,-5.001M,,0.458M,3.63M,-5.662M,,-6.688M,,53.88M,-20.28M,,-20.28M,-12.04M,-9.564M,17.23M,-24.64M,,,-21.70M,1.682M,,1.682M,,-5.741M,,,-25.76M,41.66M,3.48M,,45.14M,1.682M,,,
2000-09,21.72M,,,,,,19.62M,19.62M,,,,,,6.797M,-6.204M,,2.056M,-1.367M,3.098M,,4.38M,,45.72M,-20.99M,,-20.99M,-8.132M,9.564M,2.844M,-16.71M,,,-2.657M,0.044M,,0.044M,,-5.738M,,,-8.351M,21.00M,20.66M,,41.66M,0.044M,,,
2000-06,29.32M,,,,,,19.47M,19.47M,,,,,,11.79M,-2.395M,,-2.135M,-2.994M,0.093M,,4.355M,,53.15M,-19.59M,,-19.59M,-19.13M,,-5.923M,-44.65M,,,-19.46M,2.274M,,2.274M,,-5.849M,,,-23.04M,35.53M,-14.53M,,21.00M,2.274M,,,
2000-03,26.81M,,,,,,18.09M,18.09M,,,,,,-25.09M,-4.55M,,14.92M,1.761M,4.716M,,-8.245M,,36.66M,-19.79M,,-19.79M,-48.55M,,2.346M,-66.00M,,,39.41M,1.258M,,1.258M,,-4.835M,,,35.83M,29.04M,6.494M,,35.53M,1.258M,,,
1999-12,27.30M,,,,,,17.60M,17.60M,,,,,-0.10M,-2.20M,10.10M,,-10.20M,-2.60M,7.10M,,2.20M,,51.70M,-33.40M,,-33.40M,,,-9.90M,-43.30M,,,-23.50M,3.00M,,3.00M,,-4.90M,,-0.10M,-25.50M,46.20M,-17.10M,,29.00M,3.00M,,,
1999-09,19.00M,,,,,,17.20M,17.20M,,,,,0.20M,9.80M,-0.70M,,-4.70M,0.50M,-3.70M,,1.20M,,37.60M,-26.90M,,-26.90M,,8.90M,-13.00M,-31.00M,,,11.80M,0.50M,,0.50M,,-4.90M,,-0.10M,7.30M,0.00,13.90M,,46.20M,0.50M,,,
1999-06,25.80M,,,,,,16.70M,16.70M,,,,,0.00,-3.60M,-2.80M,,0.80M,-0.80M,-6.30M,,-12.70M,,29.80M,-51.20M,,-51.20M,,-8.90M,9.40M,-50.70M,,,7.80M,1.90M,,1.90M,,-5.00M,,0.10M,4.80M,0.00,-16.10M,,0.00,1.90M,,,
1999-03,23.10M,,,,,,15.90M,15.90M,,,,,-0.10M,-36.30M,-1.10M,,9.20M,-1.80M,6.10M,,-23.90M,,15.00M,-28.90M,,-28.90M,,,-10.30M,-39.20M,,,9.70M,0.50M,,0.50M,,-4.30M,,,5.90M,66.70M,-18.30M,,0.00,0.50M,,,
1998-12,25.30M,,,,,,15.20M,15.20M,,,,,-0.10M,1.20M,-5.40M,,-1.90M,-4.00M,-3.90M,,-14.00M,,29.10M,-26.30M,0.00,-26.30M,,,-15.10M,-41.40M,,,4.40M,2.90M,,2.90M,,-4.30M,,,3.00M,0.00,-9.30M,,66.70M,2.90M,,,
1998-09,16.20M,,,,,,15.10M,15.10M,,,,,-0.20M,0.00,-7.60M,,3.00M,3.90M,7.10M,,6.40M,,37.50M,-24.50M,0.00,-24.50M,,0.80M,-1.20M,-24.90M,,,1.50M,0.30M,,0.30M,,-4.30M,,,-2.50M,0.00,10.10M,,0.00,0.30M,,,
1998-06,21.20M,,,,,,15.90M,15.90M,,,,,0.30M,1.20M,1.70M,,1.90M,1.70M,-6.80M,,-0.30M,,37.10M,-20.40M,0.00,-20.40M,,-0.20M,0.40M,-20.20M,,,5.10M,1.10M,,1.10M,,-4.30M,,,1.90M,0.00,18.80M,,0.00,1.10M,,,
