,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-03,149.96M,,,,,,20.62M,20.62M,1.436M,,,,-9.106M,1.149M,0.615M,-20.16M,,-40.14M,-7.197M,-65.74M,97.18M,2007-03,-24.67M,0.033M,-24.63M,,,-159.33M,,-183.96M,2007-03,,,-14.58M,35.51M,0.00,35.51M,,,,22.93M,43.86M,2007-03,265.34M,-42.92M,-0.095M,,2007-03,35.51M,,,0.00,,,2007-03,,
2006-12,227.47M,,,,,,20.10M,20.10M,-0.598M,,,,3.994M,-11.32M,47.91M,-3.203M,,51.27M,9.197M,93.85M,344.82M,2006-12,-37.46M,-0.123M,-37.58M,,,-193.96M,,-231.54M,2006-12,,,7.20M,35.04M,0.00,35.04M,,,,14.42M,56.66M,2006-12,95.55M,169.93M,-0.149M,,2006-12,35.04M,,,0.00,,,2006-12,,
2006-09,125.62M,,,,,,18.83M,18.83M,-6.671M,,,,3.972M,-33.72M,-67.36M,6.354M,,46.55M,-12.83M,-61.00M,80.74M,2006-09,-36.27M,0.123M,-36.14M,,,33.09M,,-3.059M,2006-09,,,7.21M,26.38M,-150.00M,-123.62M,,,,-9.112M,-125.52M,2006-09,143.39M,-47.84M,,,2006-09,26.38M,,,-150.00M,,,2006-09,,
2006-06,117.64M,,,,,,17.08M,17.08M,-19.36M,,,,-5.648M,27.79M,-23.03M,24.98M,,29.74M,26.05M,85.53M,195.25M,2006-06,-34.31M,,-34.08M,,,259.26M,,225.19M,2006-06,,,-1.836M,7.904M,-486.47M,-478.57M,,,,18.94M,-461.46M,2006-06,184.41M,-41.02M,,,2006-06,7.904M,,,-486.47M,,,2006-06,,
2006-03,108.85M,,,34.47M,,,16.41M,16.41M,3.757M,,,,-39.22M,10.89M,-5.423M,-32.89M,11.62M,2.127M,-12.88M,-26.55M,97.71M,2006-03,-48.74M,,-48.74M,,,-68.42M,,-117.16M,2006-03,,,-11.40M,25.33M,-18.30M,7.031M,,,,80.39M,18.74M,2006-03,185.12M,-0.713M,,,2006-03,25.33M,,,-18.30M,,,2006-03,,
2005-12,174.17M,,,-23.14M,,,17.64M,17.64M,-4.781M,,,,,-18.14M,10.21M,17.48M,3.592M,71.99M,,85.13M,249.01M,2005-12,-28.94M,,-28.94M,,,-158.48M,,-187.42M,2005-12,,,8.37M,15.11M,-65.52M,-50.41M,,,,,15.24M,2005-12,108.29M,76.84M,,,2005-12,15.11M,,,-65.52M,,,2005-12,,
2005-09,93.62M,,,-11.33M,,,13.99M,13.99M,-2.56M,,,,,-39.51M,-30.83M,5.265M,-15.21M,41.20M,,-39.08M,54.63M,2005-09,-21.88M,,-21.88M,,,-79.68M,,-101.56M,2005-09,,,-7.575M,38.20M,-29.97M,8.229M,,,,,0.654M,2005-09,154.57M,-46.28M,,,2005-09,38.20M,,,-29.97M,,,2005-09,,
2005-06,89.86M,,,-0.848M,,,11.90M,11.90M,-49.03M,,,,-8.836M,18.23M,-3.605M,15.02M,25.05M,30.30M,3.744M,88.74M,131.79M,2005-06,-30.85M,0.00,-30.85M,,,126.83M,,-132.46M,2005-06,,,-9.023M,6.167M,0.00,6.167M,,,,,-61.68M,2005-06,216.90M,-62.34M,,,2005-06,6.167M,,,0.00,,,2005-06,,
2005-03,80.87M,,,21.14M,,,12.69M,12.69M,-6.003M,,,,-0.07M,38.12M,10.04M,-18.52M,-6.24M,-36.17M,5.191M,-7.582M,101.05M,2005-03,-17.28M,0.00,-17.28M,,,27.56M,,10.28M,2005-03,,,-29.15M,3.241M,-170.04M,-166.80M,,,,,-191.16M,2005-03,296.73M,-79.82M,,,2005-03,3.241M,,,-170.04M,,,2005-03,,
2004-12,126.90M,,,-6.457M,,,13.20M,13.20M,-2.008M,,,,,-36.14M,13.62M,8.02M,-10.72M,92.84M,,67.62M,199.27M,2004-12,-29.67M,0.00,-29.67M,,,-180.32M,,-209.99M,2004-12,,,27.36M,5.508M,0.00,5.508M,,,,,82.64M,2004-12,224.81M,71.91M,,,2004-12,5.508M,,,0.00,,,2004-12,,
2004-09,60.98M,,,-0.197M,,,12.60M,12.60M,-6.381M,,,,,-29.88M,-42.57M,15.70M,-8.087M,41.32M,,-23.52M,43.48M,2004-09,-16.79M,0.018M,-16.77M,,,-22.90M,,-39.67M,2004-09,,,21.28M,31.92M,-94.93M,-63.01M,,,,,-41.72M,2004-09,262.72M,-37.91M,,,2004-09,31.92M,,,-94.93M,,,2004-09,,
2004-06,41.87M,,,-72.43M,,,8.319M,8.319M,7.725M,,,,-48.30M,22.93M,-8.079M,5.101M,8.939M,81.88M,,113.97M,51.16M,2004-06,-26.10M,0.001M,-26.10M,,,,,-327.82M,2004-06,,,-11.56M,10.37M,0.00,10.37M,,,,,94.04M,2004-06,445.34M,-182.62M,,,2004-06,10.37M,,,0.00,,,2004-06,,
2004-03,58.31M,,,35.62M,,,13.26M,13.26M,-0.016M,,,,-12.46M,15.80M,3.392M,-15.51M,2.84M,4.306M,,10.83M,105.53M,2004-03,-17.51M,0.001M,-17.51M,,,,,-17.51M,2004-03,,,-21.17M,5.714M,0.00,5.714M,,,,,-15.45M,2004-03,372.78M,72.57M,,,2004-03,5.714M,,,0.00,,,2004-03,,
2003-12,95.44M,,,40.00M,,,9.678M,9.678M,-0.065M,,,,12.46M,-34.59M,19.57M,13.64M,-16.79M,34.82M,,16.64M,174.16M,2003-12,-15.85M,0.055M,-15.79M,,,,0.001M,-15.79M,2003-12,,,6.199M,7.801M,-54.95M,-47.15M,,,,,-40.95M,2003-12,255.36M,117.42M,,,2003-12,7.801M,,,-54.95M,,,2003-12,,
2003-09,42.33M,,,14.85M,,,8.845M,8.845M,-0.09M,,,,,-24.39M,-32.99M,14.90M,5.013M,-0.033M,,-37.50M,28.44M,2003-09,-14.20M,0.001M,-14.20M,,,,-0.001M,-14.20M,2003-09,,,1.682M,10.26M,,10.26M,,,,,11.94M,2003-09,229.18M,26.18M,,,2003-09,10.26M,,,,,,2003-09,,
2003-06,29.86M,,,15.74M,,,9.308M,9.308M,8.867M,,,,1.279M,11.23M,-7.811M,-3.023M,5.568M,-4.072M,,-8.038M,57.02M,2003-06,-18.04M,0.007M,-18.04M,,,,,-18.04M,2003-06,,,-6.475M,4.411M,0.00,4.411M,,,,,-2.064M,2003-06,192.26M,36.91M,,,2003-06,4.411M,,,0.00,,,2003-06,,
2003-03,31.85M,,,4.228M,,,7.416M,7.416M,0.00,,,,2.144M,20.58M,-0.088M,-4.545M,-7.115M,-16.40M,,-7.562M,38.08M,2003-03,-12.12M,0.00,-12.12M,,,,,-12.12M,2003-03,,,-9.558M,4.717M,0.00,4.717M,,,,,-4.841M,2003-03,171.14M,21.12M,,,2003-03,4.717M,,,0.00,,,2003-03,,
2002-12,62.43M,,,18.65M,,,7.027M,7.027M,-0.019M,,,,3.216M,-22.28M,16.82M,1.658M,-0.599M,31.99M,,27.59M,118.90M,2002-12,-13.92M,0.02M,-13.90M,,,,,-13.90M,2002-12,,,7.462M,14.65M,0.00,14.65M,,,,,22.11M,2002-12,44.03M,127.11M,,,2002-12,14.65M,,,0.00,,,2002-12,,
2002-09,22.48M,,,2.888M,,,6.48M,6.48M,-0.07M,,,,,-14.08M,-16.32M,6.728M,2.146M,-2.614M,,-24.14M,7.634M,2002-09,-13.03M,,-13.03M,,,,,-13.03M,2002-09,,,0.798M,4.62M,-49.95M,-45.33M,,,,,-44.53M,2002-09,93.96M,-49.93M,,,2002-09,4.62M,,,-49.95M,,,2002-09,,
2002-06,17.31M,,,5.087M,-18.05M,-0.624M,6.822M,6.822M,-5.042M,,,,1.666M,-5.362M,-4.621M,-0.343M,9.439M,14.47M,,0.744M,26.58M,2002-06,-13.62M,1.117M,-12.51M,,-0.001M,,,-12.51M,2002-06,,,-1.217M,4.827M,0.00,4.827M,,,,0.00,3.61M,2002-06,76.28M,17.68M,,,2002-06,4.827M,,,0.00,,,2002-06,,
2002-03,11.82M,,,7.012M,6.412M,-0.037M,6.375M,6.375M,0.076M,,,,,3.576M,-12.69M,4.182M,-4.613M,-15.94M,,-25.48M,-0.201M,2002-03,-7.901M,0.122M,-7.779M,,-5.791M,,,-13.57M,2002-03,,,19.47M,4.057M,0.00,4.057M,,,,0.00,23.53M,2002-03,66.52M,9.755M,,,2002-03,4.057M,,,0.00,,,2002-03,,
2001-12,44.17M,,,4.497M,5.892M,0.47M,6.362M,6.362M,-0.333M,,,,-0.309M,4.554M,17.04M,5.092M,-3.099M,12.73M,,36.33M,90.71M,2001-12,-11.55M,0.00,-11.55M,,0.00,,,-11.55M,2001-12,,,-24.58M,9.408M,-2.191M,7.217M,,,,0.00,-17.37M,2001-12,4.733M,61.79M,,,2001-12,9.408M,,,-2.191M,,,2001-12,,
2001-09,12.54M,,,0.57M,5.744M,0.191M,5.935M,5.935M,0.33M,,,,0.309M,-8.623M,-16.38M,-0.26M,-1.727M,-1.85M,,-28.84M,-9.154M,2001-09,-9.685M,0.353M,-9.332M,,-9.013M,,,-18.34M,2001-09,,,19.32M,2.51M,-7.657M,-5.147M,,,,14.36M,28.54M,2001-09,3.691M,1.042M,,,2001-09,2.51M,,,-7.657M,,,2001-09,,
2001-06,9.242M,,,1.005M,6.91M,0.229M,7.139M,7.139M,-6.291M,,,,,31.47M,-0.979M,4.809M,-1.453M,-27.36M,,6.132M,17.23M,2001-06,-8.621M,-0.068M,-8.689M,,,,,-8.689M,2001-06,,,-14.13M,2.046M,,2.046M,,,,,-12.09M,2001-06,7.241M,-3.55M,,,2001-06,2.046M,,,,,,2001-06,,
2001-03,7.993M,,,-0.225M,16.32M,0.671M,5.545M,5.545M,0.00,,,,,-3.248M,-2.81M,3.808M,-0.116M,17.03M,,14.66M,27.98M,2001-03,-6.244M,0.06M,-6.184M,,,,,-6.184M,2001-03,,,-19.88M,0.00,,0.00,,,,,-19.88M,2001-03,5.331M,1.91M,,,2001-03,0.00,,,,,,2001-03,,
2000-12,39.20M,,,0.052M,,,5.829M,5.829M,2.226M,,,,-1.626M,3.317M,18.02M,-4.243M,1.022M,14.08M,,32.20M,77.88M,2000-12,-9.43M,0.758M,-8.672M,,,,,-8.672M,2000-12,,,-186.04M,122.00M,,122.00M,,,,,-64.04M,2000-12,0.164M,5.167M,,,2000-12,122.00M,,,,,,2000-12,,
2000-09,7.591M,,,4.95M,,,5.618M,5.618M,-1.732M,,,,1.626M,-5.144M,-17.30M,2.073M,0.547M,3.016M,,-16.81M,1.245M,2000-09,-7.573M,0.049M,-7.524M,,,,,-7.524M,2000-09,,,6.281M,,,,,,,,6.281M,2000-09,0.162M,0.002M,,,2000-09,,,,,,,2000-09,,
