,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2006-06,143.39M,394.18M,537.56M,84.36M,84.36M,,,,233.49M,41.04M,78.02M,,974.48M,0.00,27.95M,270.23M,150.92M,,66.24M,,515.34M,-216.81M,298.53M,227.81M,12.01M,239.82M,,84.08M,29.61M,652.04M,2006-06,79.82M,,,79.82M,261.84M,341.65M,,,,0.17M,,0.17M,,341.82M,3.10M,,3.10M,31.66M,,31.66M,,437.79M,,2006-06,3.698M,417.09M,-4.754M,-7.26M,1.189B,,2006-06,,
2006-03,184.41M,653.94M,838.36M,110.42M,110.42M,,,,210.46M,,,118.65M,1.278B,,,,,,,,486.78M,-217.22M,269.56M,223.67M,9.788M,233.46M,,,93.52M,596.54M,2006-03,54.84M,,,54.84M,239.30M,294.14M,,,,2.006M,,2.006M,,296.15M,3.10M,,3.10M,,,,,359.58M,,2006-03,3.849M,754.74M,,-6.391M,1.515B,,2006-03,,
2005-12,185.12M,560.89M,746.01M,123.04M,123.04M,,,,205.04M,,,106.88M,1.181B,,,,,,,,446.83M,-217.22M,229.61M,,233.00M,233.00M,,,115.57M,578.18M,2005-12,87.73M,,,87.73M,246.51M,334.25M,,,,13.41M,,13.41M,,347.65M,3.10M,,3.10M,,,,,399.19M,,2005-12,3.827M,663.19M,,-24.85M,1.360B,,2005-12,,
2005-09,108.29M,339.34M,447.63M,104.91M,104.91M,,,,215.25M,,,95.76M,863.55M,,,,,,,,431.39M,-217.22M,214.17M,,244.75M,244.75M,,,179.30M,638.22M,2005-09,70.25M,,,70.25M,210.27M,280.52M,,,,5.037M,,5.037M,,285.56M,3.10M,,3.10M,,,,,335.02M,,2005-09,3.805M,550.46M,,-17.14M,1.167B,,2005-09,,
2005-06,154.57M,228.48M,383.05M,65.40M,65.40M,,,,184.42M,25.67M,50.82M,,709.36M,0.00,,243.78M,155.87M,,21.43M,,421.08M,-217.22M,203.86M,,248.50M,248.50M,,,208.44M,660.80M,2005-06,64.98M,,,64.98M,188.23M,253.22M,,,,12.44M,,12.44M,,265.66M,3.27M,,3.27M,,,,,314.24M,,2005-06,3.784M,484.97M,,-12.16M,1.056B,,2005-06,,
2005-03,216.90M,278.79M,495.69M,83.63M,83.63M,,,,180.81M,,,78.32M,838.45M,,,,,,,,397.36M,-207.58M,189.78M,,23.52M,23.52M,,,225.03M,438.32M,2005-03,49.96M,,,49.96M,169.76M,219.72M,,,,21.46M,,21.46M,,241.19M,3.27M,,3.27M,,,,53.73M,309.54M,,2005-03,3.766M,478.58M,,-10.25M,913.50M,,2005-03,,
2004-12,296.73M,229.90M,526.63M,121.75M,121.75M,,,,190.86M,,,71.64M,910.88M,,,,,,,,379.54M,-207.58M,171.96M,,23.72M,23.72M,,,300.58M,496.26M,2004-12,68.49M,,,68.49M,218.88M,287.37M,,,,50.61M,,50.61M,,337.98M,3.27M,,3.27M,,,,49.49M,370.18M,,2004-12,1.91M,547.10M,,-8.02M,987.46M,,2004-12,,
2004-09,224.81M,217.07M,441.89M,85.61M,85.61M,,,,204.48M,,,63.89M,795.86M,,,,,,,,360.41M,-207.58M,152.83M,,23.29M,23.29M,,,130.71M,306.83M,2004-09,60.47M,,,60.47M,161.27M,221.74M,,,,23.25M,,23.25M,,244.99M,3.27M,,3.27M,,,,43.12M,269.50M,,2004-09,1.886M,412.98M,,-9.386M,790.07M,,2004-09,,
2004-06,262.72M,171.72M,434.44M,55.72M,55.72M,,,,161.91M,19.02M,34.52M,,705.62M,,,,,,,,371.87M,-207.58M,164.29M,,23.39M,23.39M,,,151.12M,338.81M,2004-06,44.77M,,,44.77M,123.65M,168.42M,,,,1.814M,,1.814M,,170.23M,3.42M,,3.42M,,,,40.20M,221.94M,,2004-06,3.792M,430.46M,,-7.097M,782.29M,,2004-06,,
2004-03,445.34M,,445.34M,78.66M,78.66M,,,,153.83M,,,46.98M,724.81M,,,,,,,,307.80M,-173.29M,134.51M,,23.12M,23.12M,,,29.22M,186.85M,2004-03,39.67M,,,39.67M,141.13M,180.80M,,,,13.38M,,13.38M,,194.18M,3.42M,,3.42M,,,,35.35M,202.68M,,2004-03,1.878M,364.79M,,-5.776M,673.63M,,2004-03,,
2003-12,372.78M,,372.78M,94.45M,94.45M,,,,157.23M,,,51.55M,676.00M,,,,,,,,305.64M,-173.29M,132.35M,,23.05M,23.05M,,,29.88M,185.28M,2003-12,55.18M,,,55.18M,143.06M,198.24M,,,,34.55M,,34.55M,,232.78M,3.42M,,3.42M,,,,30.14M,241.48M,,2003-12,1.864M,306.48M,,-6.896M,589.67M,,2003-12,,
2003-09,255.36M,,255.36M,59.86M,59.86M,,,,176.79M,,,37.43M,529.44M,,,,,,,,298.41M,-173.29M,125.12M,,22.78M,22.78M,,,27.15M,175.05M,2003-09,41.54M,,,41.54M,108.24M,149.78M,,,,28.35M,,28.35M,,178.12M,3.42M,,3.42M,,,,24.85M,186.57M,,2003-09,1.843M,259.95M,,-10.31M,493.07M,,2003-09,,
2003-06,229.18M,,229.18M,35.47M,35.47M,,,,143.81M,18.82M,21.26M,,448.54M,0.00,,153.44M,111.93M,,26.47M,,291.84M,-173.29M,118.55M,,22.40M,22.40M,,9.112M,19.06M,169.11M,2003-06,26.64M,,,26.64M,108.27M,134.91M,,,,26.55M,,26.55M,,161.46M,3.535M,,3.535M,,,,22.16M,168.57M,,2003-06,0.915M,217.62M,,-7.007M,426.93M,,2003-06,,
2003-03,192.26M,,192.26M,46.70M,46.70M,0.77M,0.027M,135.20M,136.00M,,,29.67M,404.63M,,,,,,,,256.34M,-146.97M,109.37M,,22.37M,22.37M,,,43.00M,174.74M,2003-03,29.66M,,,29.66M,112.34M,142.00M,,,,33.02M,,33.02M,,175.03M,3.535M,,3.535M,,,,19.73M,182.01M,,2003-03,0.905M,187.76M,,-5.774M,377.63M,,2003-03,,
2002-12,171.14M,,171.14M,67.28M,67.28M,,,,135.91M,,,25.86M,400.19M,,,,,,,,251.38M,-146.97M,104.40M,22.37M,,22.37M,,,40.33M,167.10M,2002-12,34.20M,,,34.20M,128.74M,162.94M,,,,42.58M,,42.58M,,205.53M,3.535M,,3.535M,,,,18.14M,213.10M,,2002-12,0.90M,155.90M,,-3.683M,336.05M,,2002-12,,
2002-09,44.03M,,44.03M,45.01M,45.01M,,,,152.72M,,,26.15M,267.92M,,,,,,,,244.07M,-146.97M,97.10M,22.25M,,22.25M,,,39.08M,158.43M,2002-09,32.55M,,,32.55M,96.75M,129.30M,,,,35.12M,,35.12M,,164.42M,3.535M,,3.535M,,,,15.86M,171.60M,,2002-09,0.879M,93.47M,,-4.192M,238.89M,,2002-09,,
2002-06,93.96M,,93.96M,30.92M,30.92M,0.208M,0.009M,136.19M,136.40M,12.17M,14.12M,,287.59M,0.00,,123.28M,91.35M,,22.93M,,237.56M,-146.97M,90.59M,,22.40M,22.40M,,25.03M,14.97M,152.98M,2002-06,25.82M,,,25.82M,99.36M,125.18M,,,,34.24M,,34.24M,,159.43M,3.615M,,3.615M,,,,14.55M,165.67M,,2002-06,0.895M,105.51M,,-1.451M,260.36M,,2002-06,,
2002-03,76.28M,,76.28M,25.56M,25.56M,0.611M,0.04M,131.13M,131.78M,,,27.24M,260.87M,,,,,,,,214.35M,-130.06M,84.30M,,14.00M,14.00M,,19.06M,20.39M,137.75M,2002-03,26.16M,,,26.16M,86.18M,112.35M,,,,35.46M,,35.46M,,147.81M,3.615M,,3.615M,,,,15.59M,153.68M,,2002-03,0.443M,88.55M,,-1.75M,229.35M,,2002-03,,
2001-12,66.52M,,66.52M,29.14M,29.14M,0.36M,0.28M,114.78M,115.42M,,,31.36M,242.45M,,,,,,,,211.84M,-130.06M,81.78M,,25.50M,25.50M,,19.06M,,126.34M,2001-12,21.98M,,,21.98M,97.66M,119.64M,,,,15.99M,,15.99M,,135.63M,3.615M,,3.615M,,,,14.90M,142.26M,,2001-12,0.44M,76.74M,,-0.767M,211.63M,,2001-12,,
2001-09,4.733M,,4.733M,33.69M,33.69M,0.578M,0.331M,131.56M,132.47M,11.17M,13.92M,,195.99M,,,,,,,,206.66M,-130.06M,76.60M,,28.78M,28.78M,,19.06M,,124.44M,2001-09,16.89M,,,16.89M,85.41M,102.30M,,,,40.58M,,40.58M,,142.87M,3.615M,,3.615M,,,,14.10M,149.48M,,2001-09,0.435M,33.16M,,0.09M,156.85M,,2001-09,,
2001-06,3.691M,,3.691M,20.61M,20.61M,0.579M,0.257M,104.33M,105.16M,8.185M,13.92M,,151.57M,0.00,108.08M,,84.30M,,10.07M,,202.45M,-130.06M,72.39M,,15.70M,15.70M,,19.06M,,107.14M,2001-06,14.31M,,,14.31M,82.39M,96.70M,,,,7.745M,,7.745M,,104.45M,3.69M,,3.69M,,,,,110.40M,,2001-06,0.437M,23.00M,,-0.487M,148.31M,,2001-06,,
2001-03,7.241M,,7.241M,20.64M,20.64M,0.80M,0.58M,102.80M,104.18M,,,20.70M,152.77M,,,,,,,,187.37M,-116.76M,70.61M,,28.33M,28.33M,,,,98.94M,2001-03,4.564M,,,4.564M,78.33M,82.89M,0.045M,,26.77M,26.82M,,26.82M,,109.71M,3.69M,,3.69M,2.303M,,2.303M,,115.71M,,2001-03,136.11M,,,-0.105M,136.00M,,2001-03,,
2000-12,5.331M,31.90M,37.23M,28.70M,28.70M,,,,101.37M,,,18.79M,186.09M,,,,,,,,186.14M,-116.76M,69.38M,,28.56M,28.56M,,,,97.94M,2000-12,0.756M,,,0.756M,,0.756M,,,,58.42M,,58.42M,90.97M,150.15M,3.73M,,3.73M,,,,,156.16M,,2000-12,128.12M,,,-0.241M,127.87M,,2000-12,,
2000-09,0.164M,,0.164M,24.86M,24.86M,,,,119.40M,,,17.05M,161.46M,,,,,,,,181.44M,-115.13M,66.31M,,33.72M,33.72M,,,,100.03M,2000-09,4.999M,,,4.999M,,4.999M,,,,15.40M,,15.40M,78.66M,99.07M,3.735M,,3.735M,,,,,104.96M,,2000-09,,,156.91M,156.54M,156.54M,,2000-09,,
