,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-09,1.391B,1.391B,819.00M,572.00M,-12.00M,667.00M,655.00M,92.00M,-133.00M,46.00M,,,,251.00M,998.00M,-426.00M,,,,46.00M,,124.00M,49.00M,75.00M,,-334.00M,-92.00M,-426.00M,,2002-09,,0.0640,0.10,,2002-09,,0.0554,0.09,773.35M,804.60M,0.0045,,2002-09,AOR,
2002-06,1.473B,1.473B,817.00M,656.00M,-15.00M,666.00M,651.00M,86.00M,-135.00M,-7.00M,,,,257.00M,994.00M,-338.00M,,,,-7.00M,,169.00M,67.00M,102.00M,,-252.00M,-86.00M,-338.00M,,2002-06,,0.1355,0.13,,2002-06,,0.1352,0.13,772.01M,809.40M,0.0045,,2002-06,AOR,
2002-03,1.257B,1.257B,779.00M,478.00M,-14.00M,621.00M,607.00M,85.00M,-131.00M,-2.00M,,,,250.00M,942.00M,-464.00M,,,,-2.00M,,35.00M,14.00M,21.00M,,-379.00M,-85.00M,-464.00M,,2002-03,,0.0316,0.03,,2002-03,,0.0315,0.03,769.37M,810.76M,0.0045,,2002-03,AOR,
2001-12,1.238B,1.238B,,,,,17.59M,80.20M,,,,,,2.017B,2.115B,1.511B,,,,,,97.84M,34.33M,63.50M,,2.067B,555.46M,1.511B,,2001-12,,0.08,0.08,,2001-12,,0.08,0.08,765.41M,824.21M,0.0045,,2001-12,AOR,Restated
2001-09,1.335B,1.335B,800.99M,534.13M,-23.24M,637.79M,614.55M,81.72M,-127.56M,150.83M,,,,250.44M,946.70M,-412.57M,,,,150.83M,,245.87M,94.91M,150.96M,,-330.85M,81.72M,-412.57M,,2001-09,,0.0788,0.20,,2001-09,,0.0752,0.19,763.81M,806.86M,0.0045,,2001-09,AOR,
2001-06,1.554B,1.554B,806.62M,747.17M,-30.08M,628.16M,598.08M,78.21M,-125.04M,2.813M,,,,711.67M,1.388B,-640.79M,,,,2.813M,,287.45M,111.82M,175.63M,0.00,-562.58M,78.21M,-640.79M,,2001-06,0.00,0.2277,0.23,,2001-06,0.00,0.2179,0.22,762.14M,806.52M,0.0045,,2001-06,AOR,
2001-03,1.429B,1.429B,780.91M,647.71M,-30.49M,595.99M,565.49M,77.69M,-118.06M,-5.525M,,,,693.34M,1.337B,-688.81M,,,,-5.525M,,196.50M,75.46M,121.04M,0.00,-611.12M,77.69M,-688.81M,,2001-03,0.00,0.1645,0.16,,2001-03,0.00,0.1542,0.15,760.22M,807.74M,0.0045,,2001-03,AOR,
2000-12,1.468B,1.468B,,,,,,,,,,,,,868.52M,2.792B,,,,,,250.09M,,155.44M,,2.866B,74.54M,2.792B,,2000-12,,0.2133,0.24,,2000-12,,0.1967,0.2233,740.60M,790.45M,0.0037,,2000-12,AOR,Restated
2000-09,1.479B,1.479B,747.94M,730.89M,-41.52M,597.33M,555.81M,71.51M,-119.03M,6.819M,,,,670.44M,1.298B,-566.86M,,,,6.819M,,301.07M,116.78M,184.30M,0.00,-495.35M,71.51M,-566.86M,,2000-09,0.00,0.2411,0.2467,,2000-09,0.00,0.2281,0.2333,748.65M,796.55M,0.0037,,2000-09,AOR,
2000-06,1.461B,1.461B,728.04M,732.63M,-41.31M,618.87M,577.56M,68.52M,-114.00M,10.62M,,,,614.04M,1.260B,-527.49M,,,,10.62M,,310.86M,120.24M,190.62M,0.00,-458.97M,68.52M,-527.49M,,2000-06,0.00,0.2446,0.2533,,2000-06,0.00,0.2318,0.24,745.94M,793.07M,0.0037,,2000-06,AOR,
2000-03,1.243B,1.243B,716.20M,526.44M,-37.22M,533.07M,495.86M,66.70M,-114.37M,11.14M,,,,639.05M,1.202B,-675.16M,,,,11.14M,,155.97M,60.33M,95.64M,-22.13M,-608.46M,66.70M,-675.16M,,2000-03,0.00,0.1175,0.10,,2000-03,-0.0297,0.1113,0.0933,745.74M,789.53M,0.0037,,2000-03,AOR,
1999-12,1.204B,1.205B,673.90M,530.90M,-37.90M,553.90M,516.00M,82.30M,-111.00M,-0.20M,,,,1.500B,2.098B,-1.567B,,,,-0.20M,,153.30M,59.10M,93.80M,,-1.485B,-82.30M,-1.567B,,1999-12,,0.1202,0.12,,1999-12,,0.1202,0.12,777.05M,790.98M,0.0037,,1999-12,AOR,Restated
1999-09,1.235B,1.235B,662.30M,572.90M,-39.20M,566.20M,527.00M,63.80M,-112.30M,-0.10M,,,,195.10M,785.90M,-213.00M,,,,-0.10M,,208.00M,81.00M,127.00M,,-149.20M,-63.80M,-213.00M,,1999-09,,0.1701,0.17,,1999-09,,0.1601,0.16,747.06M,793.75M,0.0037,,1999-09,,
1999-06,1.220B,1.220B,608.40M,612.03M,-40.20M,559.60M,519.40M,59.50M,-110.60M,-0.40M,,,,199.10M,778.00M,-165.97M,,,,-0.40M,,256.60M,98.80M,157.80M,,-106.47M,-59.50M,-165.97M,,1999-06,,0.2103,0.21,,1999-06,,0.1903,0.19,751.43M,830.53M,0.0037,,1999-06,,
1999-03,1.076B,1.076B,576.90M,498.67M,-39.10M,530.00M,490.90M,56.80M,-107.80M,-9.60M,,,,186.10M,733.80M,-235.13M,,,,-9.60M,,156.10M,60.30M,95.80M,,-178.33M,-56.80M,-235.13M,,1999-03,,0.1380,0.13,,1999-03,,0.1274,0.12,736.92M,798.33M,0.0033,,1999-03,,
1998-12,1.048B,1.048B,556.80M,490.88M,-37.70M,354.14M,316.44M,59.61M,-105.00M,4.50M,,,,1.447B,1.823B,-1.333B,,,,4.50M,,163.51M,63.08M,100.40M,,-941.78M,390.81M,-1.333B,,1998-12,,0.1264,0.13,,1998-12,,0.1232,0.1267,769.18M,792.87M,0.0033,,1998-12,AOR,Restated
1998-09,1.095B,1.095B,561.90M,533.00M,-40.10M,522.20M,482.10M,59.60M,-106.30M,6.00M,,,,175.30M,717.00M,-184.00M,,,,6.00M,,211.00M,81.40M,129.60M,,-124.40M,-59.60M,-184.00M,,1998-09,,0.1652,0.17,,1998-09,,0.1652,0.17,762.35M,762.35M,0.0033,,1998-09,,
1998-06,1.079B,1.079B,558.80M,520.00M,-41.50M,508.20M,466.70M,54.00M,-104.70M,6.60M,,,,178.20M,698.90M,-178.90M,,,,6.60M,,216.60M,83.20M,133.40M,,-124.90M,-54.00M,-178.90M,,1998-06,,0.1745,0.18,,1998-06,,0.1648,0.17,741.11M,784.71M,0.0030,,1998-06,,
