,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,2.982B,140.00M,3.122B,,,350.00M,265.00M,65.00M,,1.248B,5.05B,,,,,,15.50B,-4.413B,11.09B,,,,,,,1.89B,12.98B,18.03B,,2008-03,,,787.00M,3.756B,4.543B,,40.00M,,40.00M,,,,1.198B,5.781B,2.079B,,2.079B,2.611B,103.00M,2.986B,,,10.85B,,2008-03,808.00M,4.811B,1.492B,7.185B,,2008-03,AOR,Restated
2007-12,2.213B,566.00M,2.779B,279.00M,,279.00M,259.00M,57.00M,0.00,1.069B,4.443B,,,,,,15.16B,-4.286B,10.87B,,,,,,,1.455B,12.33B,16.77B,,2007-12,,,759.00M,3.107B,3.866B,,41.00M,,41.00M,,,,931.00M,4.838B,2.05B,,2.05B,2.535B,106.00M,2.641B,,,9.831B,,2007-12,808.00M,4.788B,1.241B,6.941B,,2007-12,AOR,Restated
2007-09,1.05B,507.00M,1.557B,,,326.00M,204.00M,86.00M,,697.00M,2.87B,,,,,,14.81B,-4.144B,10.67B,,,,,,,987.00M,11.65B,14.52B,,2007-09,,,735.00M,1.972B,2.707B,,24.00M,,24.00M,,,,1.095B,3.826B,1.555B,,1.555B,2.404B,110.00M,2.874B,,,8.255B,,2007-09,808.00M,4.685B,723.00M,6.269B,,2007-09,AOR,Restated
2007-06,1.605B,509.00M,2.114B,,,321.00M,182.00M,56.00M,,633.00M,3.306B,,,,,,14.49B,-4.007B,10.49B,,,,,,,1.06B,11.55B,14.85B,,2007-06,,,746.00M,2.094B,2.84B,,123.00M,,123.00M,,,,1.122B,4.085B,1.518B,,1.518B,2.328B,113.00M,2.823B,,,8.426B,,2007-06,808.00M,4.534B,752.00M,6.427B,,2007-06,AOR,Restated
2007-03,1.618B,315.00M,1.933B,,,278.00M,174.00M,56.00M,,558.00M,2.999B,,,,,,14.18B,-3.897B,10.28B,,,,,,,954.00M,11.24B,14.24B,,2007-03,,,643.00M,1.748B,2.391B,,123.00M,,123.00M,,,,1.01B,3.524B,1.556B,,1.556B,2.183B,117.00M,2.604B,,,7.684B,,2007-03,808.00M,4.264B,716.00M,6.554B,,2007-03,AOR,Restated
2006-12,1.39B,369.00M,1.759B,,,241.00M,181.00M,51.00M,,369.00M,2.601B,,,,,,13.86B,-3.765B,10.09B,,,,,,,765.00M,10.86B,13.46B,,2006-12,,,643.00M,1.323B,1.966B,,122.00M,,122.00M,,,,799.00M,2.887B,1.567B,,1.567B,2.104B,120.00M,2.557B,,,7.011B,,2006-12,808.00M,4.307B,582.00M,6.449B,,2006-12,AOR,Restated
2006-09,1.947B,354.00M,2.301B,,,266.00M,181.00M,53.00M,,500.00M,3.301B,,,,,,13.52B,-3.64B,9.875B,,,,,,,911.00M,10.79B,14.09B,,2006-09,,,568.00M,1.823B,2.391B,,585.00M,,585.00M,,,,968.00M,3.944B,1.275B,,1.275B,1.834B,124.00M,2.244B,,,7.463B,,2006-09,808.00M,4.369B,719.00M,6.624B,,2006-09,AOR,Restated
2006-06,2.592B,396.00M,2.988B,,,269.00M,189.00M,59.00M,,853.00M,4.358B,,,,,,13.14B,-3.517B,9.624B,,,,,,,1.362B,10.99B,15.34B,,2006-06,,,609.00M,2.635B,3.244B,,483.00M,,483.00M,,,,958.00M,4.685B,1.35B,,1.35B,1.942B,128.00M,2.356B,,,8.391B,,2006-06,808.00M,4.325B,1.104B,6.953B,,2006-06,AOR,Restated
2006-03,2.60B,320.00M,2.92B,,,250.00M,158.00M,59.00M,,705.00M,4.092B,,,,,,12.75B,-3.403B,9.351B,,,,,,,1.28B,10.63B,14.72B,,2006-03,,,585.00M,2.361B,2.946B,,574.00M,,574.00M,,,,929.00M,4.449B,1.368B,,1.368B,1.752B,132.00M,2.141B,,,7.958B,,2006-03,808.00M,4.016B,1.009B,6.765B,,2006-03,AOR,Restated
2005-12,2.28B,251.00M,2.531B,,,258.00M,150.00M,40.00M,,641.00M,3.62B,,,,,,12.51B,-3.296B,9.212B,,,,,,,1.171B,10.38B,14.00B,,2005-12,,,524.00M,2.074B,2.598B,,601.00M,,601.00M,,,,649.00M,3.848B,1.394B,,1.394B,1.681B,136.00M,2.086B,,,7.328B,,2005-12,802.00M,4.018B,892.00M,6.675B,,2005-12,AOR,Restated
2005-09,2.428B,185.00M,2.613B,,,334.00M,153.00M,65.00M,,944.00M,4.109B,,,,,,12.71B,-3.364B,9.345B,,,,,,,1.292B,10.64B,14.75B,,2005-09,,,495.00M,2.038B,2.533B,,149.00M,,149.00M,,,,776.00M,3.458B,1.861B,,1.861B,2.311B,140.00M,2.672B,,,7.991B,,2005-09,790.00M,4.474B,1.194B,6.755B,,2005-09,AOR,Restated
2005-06,2.269B,0.00,2.269B,,,292.00M,140.00M,64.00M,,717.00M,3.482B,,,,,,12.44B,-3.262B,9.178B,,,,,,,1.119B,10.30B,13.78B,,2005-06,,,462.00M,1.787B,2.249B,,145.00M,,145.00M,,,,748.00M,3.142B,1.863B,,1.863B,2.118B,144.00M,2.457B,,,7.462B,,2005-06,790.00M,4.274B,1.00B,6.317B,,2005-06,AOR,Restated
2005-03,1.908B,0.00,1.908B,,,334.00M,128.00M,75.00M,,790.00M,3.235B,,,,,,12.22B,-3.21B,9.01B,,,,,,,1.009B,10.02B,13.25B,,2005-03,,,471.00M,1.611B,2.082B,,74.00M,,74.00M,,,,724.00M,2.88B,1.926B,,1.926B,1.975B,148.00M,2.333B,,,7.139B,,2005-03,790.00M,4.138B,972.00M,6.115B,,2005-03,AOR,Restated
2004-12,1.305B,,1.305B,,,248.00M,137.00M,54.00M,,428.00M,2.172B,,,,,,11.92B,-3.198B,8.723B,,,,,,,442.00M,9.165B,11.34B,,2004-12,,,420.00M,1.047B,1.467B,,146.00M,,146.00M,,,,529.00M,2.142B,1.70B,,1.70B,1.61B,152.00M,1.971B,,,5.813B,,2004-12,790.00M,4.089B,417.00M,5.524B,,2004-12,AOR,
2004-09,1.876B,,1.876B,,,252.00M,112.00M,74.00M,,558.00M,2.872B,,,,,,11.69B,-3.242B,8.444B,,,,,,,415.00M,8.859B,11.73B,,2004-09,,,418.00M,1.026B,1.444B,,317.00M,,317.00M,,,,644.00M,2.405B,1.606B,,1.606B,1.86B,156.00M,2.216B,,,6.227B,,2004-09,790.00M,4.084B,520.00M,5.504B,,2004-09,AOR,Restated
2004-06,1.768B,,1.768B,,,222.00M,108.00M,58.00M,,315.00M,2.471B,,,,,,11.27B,-3.198B,8.072B,,,,,,,270.00M,8.342B,10.81B,,2004-06,,,464.00M,870.00M,1.334B,,317.00M,,317.00M,,,,658.00M,2.309B,1.239B,,1.239B,1.649B,160.00M,2.011B,,,5.559B,,2004-06,790.00M,3.979B,287.00M,5.254B,,2004-06,AOR,Restated
2004-03,1.824B,,1.824B,,,178.00M,105.00M,62.00M,,231.00M,2.40B,,,,,,10.83B,-3.15B,7.683B,,,,,,,188.00M,7.871B,10.27B,,2004-03,,,443.00M,731.00M,1.174B,,307.00M,,307.00M,,,,700.00M,2.181B,1.27B,,1.27B,1.476B,164.00M,1.795B,,,5.246B,,2004-03,790.00M,3.896B,184.00M,5.025B,,2004-03,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.693B,,2003-12,,,,,,,,,,,,,,,1.332B,,1.332B,,,,,,4.664B,,2003-12,,,,5.029B,,2003-12,AOR,Restated
2003-09,2.034B,,2.034B,,,143.00M,96.00M,50.00M,,102.00M,2.425B,,,,,,10.24B,-3.066B,7.175B,,,,,,,99.00M,7.274B,9.699B,,2003-09,5.00M,,328.00M,545.00M,873.00M,,131.00M,,131.00M,,,,568.00M,1.572B,1.525B,,1.525B,1.416B,172.00M,1.734B,,,4.831B,,2003-09,786.00M,3.821B,73.00M,4.868B,,2003-09,AOR,Restated
2003-06,2.204B,,2.204B,,,128.00M,87.00M,51.00M,,111.00M,2.581B,,,,,,9.951B,-3.001B,6.95B,,,,,,,107.00M,7.057B,9.638B,,2003-06,11.00M,,352.00M,599.00M,951.00M,,132.00M,,132.00M,,,,575.00M,1.658B,1.539B,,1.539B,1.388B,176.00M,1.704B,,,4.901B,,2003-06,782.00M,3.718B,74.00M,4.737B,,2003-06,AOR,Restated
2003-03,1.889B,,1.889B,,,159.00M,95.00M,36.00M,,97.00M,2.276B,,,,,,9.64B,-2.906B,6.734B,,,,,,,94.00M,6.828B,9.104B,,2003-03,,,367.00M,514.00M,881.00M,,132.00M,,132.00M,,,,535.00M,1.548B,1.547B,,1.547B,1.243B,180.00M,1.55B,,,4.645B,,2003-03,778.00M,3.476B,59.00M,4.459B,,2003-03,AOR,Restated
2002-12,1.815B,,1.815B,,,175.00M,86.00M,,,156.00M,2.232B,,,,,,9.456B,-2.81B,6.646B,,,,,,,76.00M,6.722B,8.954B,,2002-12,,,362.00M,,362.00M,,131.00M,,131.00M,,,,941.00M,1.434B,1.553B,,1.553B,1.227B,,1.227B,,,4.532B,,2002-12,777.00M,3.455B,,4.374B,,2002-12,AOR,Restated
2002-09,1.944B,,1.944B,,,125.16M,79.23M,,46.44M,165.77M,2.361B,,,,,,9.240B,-2.720B,6.520B,,,,,,,73.87M,6.594B,8.954B,,2002-09,,,371.25M,521.15M,892.41M,,30.02M,,30.02M,,,,517.45M,1.440B,1.661B,,1.661B,1.233B,180.96M,1.531B,,,4.631B,,2002-09,774.03M,3.417B,,4.323B,,2002-09,AOR,
2002-06,2.118B,,2.118B,,,129.84M,69.88M,109.02M,46.44M,,2.473B,,,,,,9.124B,-2.618B,6.506B,,,,,,,69.50M,6.575B,9.048B,,2002-06,,,383.75M,637.24M,1.021B,,29.92M,,29.92M,,,,636.23M,1.687B,1.661B,,1.661B,1.174B,184.75M,1.476B,,,4.824B,,2002-06,772.56M,3.345B,30.49M,4.224B,,2002-06,AOR,
2002-03,2.114B,,2.114B,,,133.14M,73.18M,79.06M,46.40M,,2.445B,,,,,,8.988B,-2.529B,6.459B,,,,,,,64.61M,6.523B,8.969B,,2002-03,,,410.46M,532.84M,943.30M,,39.98M,,39.98M,,,,759.90M,1.743B,1.702B,,1.702B,1.110B,188.55M,1.412B,,,4.858B,,2002-03,771.25M,3.246B,26.98M,4.111B,,2002-03,AOR,
2001-12,2.280B,,2.280B,,,71.28M,70.56M,52.11M,46.40M,,2.520B,,,,,,8.902B,-2.456B,6.445B,,,,,,,31.44M,6.477B,8.997B,,2001-12,,,504.83M,547.54M,1.052B,,514.57M,,514.57M,,,,672.25M,2.239B,1.327B,,1.327B,1.058B,192.34M,1.417B,,,4.983B,,2001-12,766.77M,3.228B,-31.54M,4.014B,,2001-12,AOR,Restated
2001-09,1.489B,,1.489B,,,95.28M,78.47M,35.49M,28.19M,25.64M,1.752B,,,,,,8.605B,-2.397B,6.208B,,,,,,,34.60M,6.242B,7.995B,,2001-09,35.22M,,432.53M,482.95M,915.48M,,490.15M,,490.15M,,,,522.08M,1.928B,751.62M,,751.62M,1.064B,196.14M,1.366B,,,4.045B,,2001-09,764.61M,3.168B,1.361M,3.950B,,2001-09,AOR,
2001-06,968.35M,,968.35M,,,153.51M,79.57M,40.24M,28.19M,59.51M,1.329B,,,,,,8.424B,-2.319B,6.105B,,,,,,,34.58M,6.139B,7.469B,,2001-06,40.20M,,376.23M,632.48M,1.009B,,110.50M,,110.50M,,,,510.10M,1.629B,752.60M,,752.60M,971.45M,199.93M,1.265B,,,3.647B,,2001-06,762.83M,3.021B,31.92M,3.822B,,2001-06,AOR,
2001-03,684.68M,,684.68M,,,144.47M,78.82M,44.55M,28.13M,63.77M,1.044B,,,,,,8.219B,-2.232B,5.987B,,,,,,,34.94M,6.021B,7.066B,,2001-03,19.57M,,335.68M,537.76M,873.44M,,110.14M,,110.14M,,,,504.85M,1.488B,754.69M,,754.69M,891.19M,203.73M,1.181B,,,3.424B,,2001-03,761.83M,2.859B,35.80M,3.642B,,2001-03,AOR,
2000-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67B,,2000-12,,,,,,,,,,,,,,,761.00M,,761.00M,,,,,,3.219B,,2000-12,,,,3.451B,,2000-12,AOR,Restated
2000-09,580.61M,,580.61M,121.05M,,121.05M,82.05M,,21.83M,54.33M,859.87M,,,,,,7.636B,-2.067B,5.568B,,,,,,,19.29M,5.588B,6.448B,,2000-09,40.53M,,253.59M,543.09M,796.68M,,108.66M,,108.66M,,,,478.57M,1.384B,762.61M,,762.61M,802.21M,211.32M,1.091B,,,3.237B,,2000-09,507.90M,2.782B,,3.211B,,2000-09,AOR,
2000-06,636.65M,,636.65M,117.55M,,117.55M,70.13M,53.36M,21.50M,,899.19M,,,,,,7.340B,-1.993B,5.347B,,,,,,,12.92M,5.360B,6.259B,,2000-06,54.76M,,254.20M,642.01M,896.21M,,3.875M,,3.875M,,,,427.08M,1.327B,868.12M,,868.12M,763.34M,215.11M,1.055B,,,3.250B,,2000-06,507.90M,2.624B,,3.010B,,2000-06,AOR,
2000-03,542.56M,,542.56M,122.12M,,122.12M,66.53M,52.89M,21.36M,,805.46M,,,,,,7.036B,-1.914B,5.122B,,,,,,,13.04M,5.135B,5.940B,,2000-03,45.77M,,254.85M,559.95M,814.80M,,7.254M,,7.254M,,,,484.28M,1.306B,868.02M,,868.02M,672.66M,218.91M,952.46M,,,3.127B,,2000-03,507.80M,2.457B,,2.813B,,2000-03,AOR,
1999-12,418.82M,,418.82M,,,75.04M,65.15M,,20.93M,52.66M,632.60M,,,,,,6.849B,-1.841B,5.008B,,,,,,,13.24M,5.021B,5.654B,,1999-12,,,266.74M,,266.74M,,7.873M,,7.873M,,,,687.45M,962.06M,872.00M,,872.00M,692.34M,,692.34M,,,2.818B,,1999-12,505.00M,2.386B,,2.836B,,1999-12,AOR,Restated
1999-09,266.70M,,266.70M,,,113.00M,53.60M,,21.50M,33.70M,488.50M,,,,,,6.602B,-1.782B,4.821B,,,,,,,8.20M,4.829B,5.318B,,1999-09,51.10M,,221.20M,,221.20M,,6.90M,,6.90M,,,,773.10M,1.001B,617.40M,,617.40M,620.00M,,620.00M,,,2.516B,,1999-09,504.20M,2.295B,,2.801B,,1999-09,,
1999-06,487.60M,,487.60M,,,116.80M,60.80M,,21.30M,32.50M,719.00M,,,,,,6.271B,-1.712B,4.559B,,,,,,,4.40M,4.563B,5.282B,,1999-06,68.80M,,245.50M,,245.50M,,7.70M,,7.70M,,,,854.60M,1.108B,617.20M,,617.20M,595.60M,,595.60M,,,2.609B,,1999-06,335.90M,2.250B,,2.673B,,1999-06,,
1999-03,405.60M,,405.60M,,,116.10M,52.10M,,21.00M,24.60M,619.40M,,,,,,5.994B,-1.650B,4.345B,,,,,,,4.50M,4.350B,4.969B,,1999-03,32.30M,,193.30M,,193.30M,,8.90M,,8.90M,,,,796.90M,999.10M,619.10M,,619.10M,560.70M,,560.70M,,,2.459B,,1999-03,335.90M,2.100B,,2.51B,,1999-03,,
1998-12,378.51M,,378.51M,88.80M,,88.80M,50.04M,36.08M,20.73M,,574.16M,,,,,,5.739B,-1.601B,4.138B,,,,,,,4.231M,4.142B,4.716B,,1998-12,,,157.42M,477.45M,634.86M,,12.00M,,12.00M,,,,203.79M,850.65M,623.31M,,623.31M,549.21M,238.41M,844.12M,,,2.318B,,1998-12,335.90M,2.045B,,2.398B,,1998-12,AOR,Restated
1998-09,452.20M,,452.20M,,,109.80M,48.80M,,20.00M,28.40M,659.20M,,,,,,5.468B,-1.545B,3.923B,,,,,,,4.00M,3.927B,4.586B,,1998-09,33.70M,,231.10M,,231.10M,,10.70M,,10.70M,,,,654.40M,896.20M,622.00M,,622.00M,516.30M,,516.30M,,,2.316B,,1998-09,335.90M,1.958B,,2.271B,,1998-09,,
1998-06,567.20M,,567.20M,,,112.10M,47.20M,,19.60M,31.00M,777.10M,,,,,,5.271B,-1.484B,3.787B,,,,,,,4.10M,3.792B,4.569B,,1998-06,42.40M,,207.90M,,207.90M,,15.20M,,15.20M,,,,708.30M,931.40M,622.60M,,622.60M,485.60M,,485.60M,,,2.335B,,1998-06,223.40M,1.831B,,2.234B,,1998-06,,
