,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-03,26.36M,,,,6.863M,10.66M,0.157M,10.82M,10.82M,,,,,,,-10.96M,-0.561M,-0.985M,1.294M,,,-11.21M,32.83M,-15.98M,,-15.98M,,-1.271M,-0.441M,-1.234M,-18.92M,,-27.80M,7.018M,,7.018M,,,,34.98M,14.19M,140.28M,28.10M,-2.223M,166.16M,7.018M,,,,,
2005-12,22.31M,,,,6.667M,9.669M,0.202M,9.871M,9.871M,,,,,,,-10.01M,-6.63M,-5.642M,-1.626M,,,-23.90M,14.95M,-23.59M,,-23.59M,,-6.614M,0.413M,-0.372M,-30.16M,,18.27M,9.33M,,9.33M,,,,,27.60M,129.73M,12.39M,-1.837M,140.28M,9.33M,,,,,
2005-09,16.44M,,,,4.197M,9.567M,0.27M,9.837M,9.837M,,,,,,,0.769M,-10.55M,-4.549M,-0.204M,,,-14.54M,15.94M,-39.57M,,-39.57M,,-2.483M,-4.499M,-1.446M,-48.00M,,9.531M,10.38M,,10.38M,,,,,19.91M,142.18M,-12.15M,-0.307M,129.73M,10.38M,,,,,
2005-06,15.58M,,,,13.70M,8.766M,0.218M,8.984M,8.984M,,,,,,,-11.51M,-8.195M,-5.252M,15.97M,,,-8.986M,21.28M,-13.54M,,-13.54M,,-39.92M,37.48M,-0.747M,-16.73M,,7.701M,7.526M,-10.97M,-3.44M,,,,,4.261M,136.70M,8.817M,-3.332M,142.18M,7.526M,,,-10.97M,,
2005-03,17.88M,,,,-0.661M,7.281M,0.205M,7.486M,7.486M,,,,,,,-12.54M,-7.927M,5.995M,0.636M,,,-13.84M,10.87M,-10.20M,,-10.20M,,-8.676M,-17.38M,-0.405M,-36.65M,,-10.96M,21.72M,10.96M,32.69M,,,,,21.72M,143.07M,-4.063M,-2.305M,136.70M,21.72M,,,10.96M,,
2004-12,17.40M,,,,-0.772M,6.624M,0.206M,6.83M,6.83M,,,,,,,-3.999M,-2.433M,-0.556M,5.838M,,,-1.15M,22.31M,-8.504M,,-8.504M,,-5.828M,-19.05M,-0.959M,-34.34M,,,6.41M,0.00,6.41M,,,,,6.41M,141.62M,-5.618M,7.066M,143.07M,6.41M,,,0.00,,
2004-09,13.93M,,,,-0.87M,5.621M,0.205M,5.826M,5.826M,,,,,,,0.051M,-4.007M,0.371M,1.321M,,,-2.264M,16.62M,-7.454M,,-7.454M,,,9.103M,-0.708M,0.941M,,,3.767M,-10.96M,-7.198M,,,,,-7.198M,128.91M,10.36M,2.352M,141.62M,3.767M,,,-10.96M,,
2004-06,15.86M,,,,8.208M,-12.77M,-0.599M,4.495M,4.495M,,,,,,,-3.89M,-0.783M,0.015M,15.30M,,-17.13M,-6.484M,23.33M,-11.25M,,-11.25M,,0.00,0.75M,-0.654M,-11.15M,,,5.409M,-0.002M,5.407M,,,,,5.407M,114.57M,17.59M,-3.25M,128.91M,5.409M,,,-0.002M,,
2004-03,15.03M,,,,-0.568M,4.552M,0.193M,4.745M,4.745M,,,,,,,-6.435M,-0.755M,-0.073M,-1.861M,,17.13M,8.005M,27.21M,-18.96M,,-18.96M,,0.00,-4.617M,0.537M,-23.04M,,,3.293M,0.00,3.293M,,,,,3.293M,107.46M,7.46M,-0.354M,114.57M,3.293M,,,0.00,,
2003-12,14.15M,,,,-2.575M,4.301M,0.204M,4.505M,4.505M,,,,,,,-2.593M,0.759M,0.847M,-1.665M,,,-2.652M,13.43M,-16.01M,,-16.01M,,0.00,17.20M,-1.961M,-0.771M,,,2.578M,-18.56M,-15.98M,,,,,-15.98M,104.68M,-3.327M,6.112M,107.46M,2.578M,,,-18.56M,,
2003-09,12.25M,,,,-0.401M,3.92M,0.202M,4.122M,4.122M,,,,,,,-0.211M,-5.943M,-0.774M,3.526M,,,-3.402M,12.57M,-11.03M,,-11.03M,,-0.184M,-20.38M,-0.28M,-31.87M,,,9.061M,-0.462M,8.599M,,,,,8.599M,114.49M,-10.70M,0.89M,104.68M,9.061M,,,-0.462M,,
2003-06,13.52M,,,,2.427M,-8.949M,-0.641M,2.993M,2.993M,,,,,,,-2.086M,3.003M,-0.708M,0.992M,,,1.201M,22.15M,-9.107M,,-9.107M,,0.00,4.503M,-0.534M,-5.138M,,5.87M,4.468M,0.00,4.468M,,,,,-2.271M,93.72M,14.74M,6.038M,114.49M,4.468M,,,0.00,,
2003-03,12.25M,,,,-1.955M,3.197M,0.191M,3.388M,3.388M,,,,,,,-2.303M,-3.254M,-0.059M,8.902M,,,3.286M,16.97M,-5.911M,,-5.911M,,0.00,-4.091M,-0.253M,-10.26M,,0.00,1.209M,0.00,1.209M,,,,,1.209M,82.47M,7.923M,3.324M,93.72M,1.209M,,,0.00,,
2002-12,10.38M,,,,-0.616M,3.027M,0.202M,3.229M,3.229M,,,,,,,-1.342M,1.498M,-1.488M,0.453M,,,-0.879M,12.12M,-5.821M,,-5.821M,,0.00,11.23M,-0.468M,4.944M,,-10.56M,1.763M,-1.621M,0.142M,,,,,-10.42M,73.57M,6.647M,2.251M,82.47M,1.763M,,,-1.621M,,
2002-09,9.571M,,,,0.902M,2.725M,0.248M,2.973M,2.973M,,,,,,,-0.371M,-4.235M,-0.078M,-0.712M,,,-5.396M,8.05M,-4.796M,,-4.796M,,-0.30M,3.967M,-0.305M,-1.434M,,-4.53M,1.591M,-1.921M,-0.33M,,,,,-4.86M,72.86M,1.756M,-1.046M,73.57M,1.591M,,,-1.921M,,
2002-06,9.81M,,,,4.12M,-7.007M,-0.954M,2.011M,2.011M,,,,,,,0.771M,-2.351M,11.22M,-10.97M,,,-1.333M,8.455M,-12.37M,,-12.37M,,-7.327M,39.70M,13.77M,33.77M,,-21.54M,0.476M,,-7.397M,,,,,-28.94M,56.23M,13.29M,3.344M,72.86M,0.476M,,,,,
2002-03,10.38M,,,,-2.65M,2.546M,0.325M,2.871M,2.871M,,,,,,,-6.811M,-0.406M,-2.169M,10.35M,,,0.966M,11.57M,-6.366M,,-6.366M,,0.00,12.71M,1.991M,8.337M,,-29.94M,1.091M,,1.091M,,,,,-28.84M,64.05M,-8.941M,1.122M,56.23M,1.091M,,,,,
2001-12,8.779M,,,,0.34M,2.233M,0.326M,2.559M,2.559M,,,,,,,-3.151M,-1.901M,-1.24M,-0.995M,,,-7.287M,4.391M,-6.799M,,-6.799M,,-6.544M,10.29M,-1.512M,-4.564M,,0.00,2.895M,,2.895M,,,,,2.895M,60.44M,2.722M,0.881M,64.05M,2.895M,,,,,
2001-09,8.538M,,,,0.684M,2.228M,0.303M,2.531M,2.531M,,,,,,,-0.574M,-2.405M,-3.027M,5.481M,,,-0.525M,11.23M,-2.654M,,-2.654M,,,-19.90M,-1.454M,-24.01M,,28.40M,5.319M,,5.319M,,,,,33.72M,40.14M,20.94M,-0.633M,60.44M,5.319M,,,,,
2001-06,8.346M,,,,0.253M,,,2.737M,2.737M,,,,,,,0.97M,-1.561M,2.674M,-2.838M,-3.47M,,0.857M,9.887M,-3.024M,,-3.024M,,-40.17M,-63.00M,-0.13M,-106.33M,,109.80M,1.972M,,1.972M,,,,,111.77M,24.57M,15.33M,0.238M,40.14M,1.972M,,,,,
2001-03,-10.19M,,,,20.40M,,,1.965M,1.965M,,,,,,,-1.951M,-2.217M,-2.674M,0.539M,1.729M,,-4.574M,7.598M,-2.10M,,-2.10M,,-14.90M,-0.894M,1.585M,-16.31M,,16.79M,1.434M,,1.434M,,,,,18.22M,16.86M,9.511M,-1.798M,24.57M,1.434M,,,,,
2000-12,6.898M,,,,-0.365M,,,1.779M,1.779M,,,,,,,-2.126M,-2.30M,,2.793M,-0.934M,,-2.567M,5.745M,-3.107M,,-3.107M,,,1.978M,-1.333M,-2.462M,,-2.50M,1.983M,,1.983M,,,,,-0.517M,13.62M,2.766M,0.471M,16.86M,1.983M,,,,,
2000-09,6.58M,,,,0.878M,,,1.964M,1.964M,,,,,,,-2.424M,-2.052M,,2.139M,-0.795M,,-3.132M,6.29M,-19.23M,,-19.23M,,,0.413M,-0.638M,-19.45M,,7.00M,2.554M,,2.554M,,,,,9.554M,18.25M,-3.609M,-1.021M,13.62M,2.554M,,,,,
2000-06,6.191M,,,,0.947M,,,1.388M,1.388M,,,,,,0.126M,-1.373M,1.454M,,-3.166M,-0.653M,,-1.591M,7.138M,-7.974M,,-7.974M,,0.00,2.97M,-0.338M,-5.342M,,,0.299M,,0.299M,,,,,0.299M,16.36M,2.095M,-0.201M,18.25M,0.299M,,,,,
2000-03,5.835M,,,,1.385M,,,1.96M,1.96M,,,,,,-0.10M,-3.521M,-2.081M,,2.678M,-0.019M,,-2.943M,6.137M,-2.594M,,-2.594M,,-0.576M,-1.689M,0.777M,-4.082M,,,3.481M,,3.481M,,,,,3.481M,11.50M,5.536M,-0.688M,16.36M,3.481M,,,,,
1999-12,5.40M,,,,0.30M,,,1.50M,1.50M,,,,,,0.10M,-0.50M,-2.20M,,0.40M,-1.80M,,-4.10M,3.20M,-3.10M,,-3.10M,,,-1.10M,-0.30M,-4.50M,,,2.00M,,2.00M,,,,,2.00M,10.80M,0.70M,-0.10M,11.50M,2.00M,,,,,
1999-09,4.80M,,,,0.40M,,,1.40M,1.40M,,,,,,,-2.00M,-3.20M,,1.50M,0.90M,,-2.80M,3.80M,-2.50M,,-2.50M,,,-1.00M,-1.10M,-4.60M,,,0.60M,,0.60M,,,,,0.60M,11.10M,-0.20M,,10.80M,0.60M,,,,,
1999-06,4.60M,,,,0.00,,,1.30M,1.30M,,,,,,0.00,-2.40M,-0.50M,,-2.00M,0.10M,,-2.50M,3.90M,-4.60M,,-4.60M,,,-1.80M,2.20M,-4.20M,,-0.10M,0.40M,,0.40M,,,,,0.30M,0.00,0.00,0.20M,11.10M,0.40M,,,,,
1999-03,4.40M,,,,-0.50M,,,1.20M,1.20M,,,,,,0.00,-2.80M,0.20M,,3.30M,-0.70M,,0.00,5.10M,-6.10M,,-6.10M,,,0.20M,-2.40M,-8.30M,,0.00,0.30M,,0.30M,,,,,0.30M,0.00,-2.90M,0.20M,0.00,0.30M,,,,,
1998-12,3.90M,,,,0.30M,,,1.10M,1.10M,,,,,,0.10M,-2.00M,-1.00M,,3.10M,-0.70M,,-0.60M,4.80M,-6.80M,,-6.80M,,,-1.40M,-0.20M,-8.40M,,-0.10M,0.50M,,0.50M,,,,,0.40M,0.00,-3.20M,0.40M,0.00,0.50M,,,,,
1998-09,3.20M,,,,0.50M,,,1.00M,1.00M,,,,,,,1.70M,-1.60M,,-1.50M,1.10M,,-0.30M,4.40M,-5.00M,,-5.00M,,,1.10M,-0.10M,-4.00M,,,0.90M,,0.90M,,,,,0.90M,15.50M,1.30M,-0.40M,0.00,0.90M,,,,,
1998-06,3.00M,,,,-0.60M,,,0.90M,0.90M,0.40M,,,,,0.10M,-1.80M,-0.70M,,4.60M,-0.90M,,0.00,3.80M,-3.50M,,-3.50M,,,2.20M,1.50M,0.20M,,-0.10M,0.20M,,0.20M,,,,,0.10M,0.00,4.10M,-0.50M,0.00,0.20M,,,,,
