,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-09,395.42M,,,-19.89M,44.81M,16.11M,16.11M,-11.00M,,,23.56M,,-697.86M,224.74M,,59.72M,-149.14M,-562.55M,,-158.34M,,-23.41M,-11.09M,-34.50M,,-162.07M,135.16M,-61.41M,,,13.15M,2.66M,-19.95M,-17.29M,,-10.46M,,,-14.60M,,443.80M,-234.35M,-0.016M,209.44M,,2.66M,,,-19.95M,,,,,
2005-06,303.71M,,,-11.28M,-13.73M,14.96M,14.96M,-16.72M,,,29.69M,,-599.00M,248.11M,,-21.58M,-26.57M,-399.04M,,-78.67M,,-16.98M,9.017M,-7.961M,,-8.366M,65.66M,49.34M,,,134.51M,7.931M,-9.555M,-1.624M,,-6.545M,,,126.34M,,346.65M,97.01M,0.143M,443.80M,,7.931M,,,-9.555M,,,,,
2005-03,218.24M,,,9.169M,13.73M,13.73M,13.73M,47.56M,,,,,-709.69M,-46.94M,,,205.67M,-550.96M,,-262.26M,,-20.69M,5.60M,-15.09M,,8.366M,-65.70M,-72.42M,,,375.89M,15.24M,-11.56M,3.676M,,-6.418M,,,373.15M,,308.12M,38.47M,0.067M,346.65M,,15.24M,,,-11.56M,,,,,
2004-12,397.37M,,,50.10M,46.30M,12.26M,12.26M,-28.57M,,,,,320.24M,4.712M,-345.65M,85.22M,,64.52M,,495.67M,,-20.44M,2.148M,-18.29M,,,-24.98M,-43.27M,,,-232.14M,6.947M,,-7.74M,,-6.369M,,,-246.24M,,114.50M,206.16M,0.088M,308.12M,,6.947M,,,,,,,,
2004-09,269.94M,,,-6.584M,,12.02M,12.02M,-12.80M,,,,,-1.069B,159.93M,-71.20M,18.02M,,-962.10M,,-699.54M,,-16.20M,-0.213M,-16.41M,,,6.491M,-9.92M,,,730.92M,11.07M,,11.07M,,-6.379M,,,735.61M,,89.45M,26.15M,-1.102M,114.50M,,11.07M,,,,,,,,
2004-06,187.60M,,,-5.294M,-10.16M,11.87M,11.87M,-13.88M,,,,,-821.40M,245.27M,-52.78M,78.06M,,-550.85M,,-370.56M,,-25.15M,0.356M,-24.80M,,,-86.74M,-111.54M,,,110.79M,3.032M,,3.032M,,-6.405M,,,107.41M,,463.42M,-374.68M,0.719M,89.45M,,3.032M,,,,,,,,
2004-03,131.63M,,,-0.067M,10.16M,10.16M,10.16M,32.29M,,,,,-486.55M,-127.65M,343.63M,-21.18M,,-291.75M,,-117.75M,,-13.43M,4.803M,-8.629M,,,-25.20M,-33.82M,,,196.22M,22.91M,,22.91M,,-6.274M,,,212.86M,,401.88M,61.28M,0.249M,463.42M,,22.91M,,,,,,,,
2003-12,247.89M,,,0.905M,39.42M,10.05M,10.05M,37.19M,,,,,-38.92M,-61.33M,-40.14M,-31.67M,,-172.05M,,123.99M,,-8.755M,5.023M,-3.732M,,,3.467M,-0.265M,,,-50.82M,21.52M,0.00,21.52M,,-6.254M,,,-35.55M,,312.15M,88.17M,-1.011M,389.25M,,21.52M,,,0.00,,,,,
2003-09,168.89M,,,-14.96M,,10.71M,10.71M,-31.22M,,,3.701M,,-548.26M,252.25M,-57.45M,74.99M,,-278.48M,,-141.36M,,-30.36M,,-30.36M,,,42.98M,12.62M,,,52.38M,1.642M,0.00,1.642M,,-2.473M,,,51.55M,,391.09M,-77.19M,-1.747M,312.15M,,1.642M,,,0.00,,,,,
2003-06,121.72M,,,10.68M,-8.331M,10.33M,10.33M,-8.289M,,,-3.701M,,-443.76M,215.56M,-89.13M,22.52M,,-294.80M,,-164.07M,,7.819M,-0.535M,7.284M,,,-23.48M,-16.20M,,,80.05M,13.33M,-0.10M,13.23M,,-2.444M,,,90.84M,,479.58M,-89.42M,0.935M,391.09M,,13.33M,,,-0.10M,,,,,
2003-03,86.14M,,,-1.521M,8.331M,8.331M,8.331M,21.31M,,,,,-340.23M,-112.74M,231.47M,-47.72M,,-269.22M,,-154.97M,,-7.819M,0.535M,-7.284M,,,6.808M,-0.476M,,,39.66M,3.004M,-18.20M,-15.20M,,-2.441M,,,22.02M,,613.17M,-133.42M,-0.171M,479.58M,,3.004M,,,-18.20M,,,,,
2002-12,171.88M,,,-1.13M,15.70M,15.70M,15.70M,23.57M,,,,,110.74M,20.01M,-285.42M,9.051M,,-145.61M,,64.41M,,,,,,,-13.78M,7.717M,,,337.49M,-2.505M,,-6.849M,,-2.459M,,4.585M,332.77M,,212.08M,404.89M,-3.233M,610.63M,,-2.505M,,,,,,,,
2002-09,123.45M,,,-2.498M,23.22M,6.472M,6.472M,5.178M,,,2.954M,,-200.40M,92.89M,-24.51M,-5.856M,,-137.87M,,-2.322M,,,,,,,13.79M,13.79M,,,-13.49M,5.639M,,5.639M,,-2.448M,,-4.628M,-14.92M,,212.77M,-3.453M,2.763M,212.08M,,5.639M,,,,,,,,
2002-06,90.20M,,,2.498M,,5.764M,5.764M,-16.04M,,,-2.954M,,-338.34M,211.08M,-18.44M,68.42M,,-77.28M,,2.184M,,,,,,,-12.20M,-12.20M,,,152.90M,7.098M,,7.098M,,-2.444M,,8.217M,165.78M,,59.77M,155.76M,-2.763M,212.77M,,7.098M,,,,,,,,
2002-03,68.11M,,,,,10.99M,10.99M,26.53M,,,,,-88.17M,-132.85M,206.23M,3.635M,,-11.15M,,94.48M,,,,,,,2.801M,2.801M,,,-123.42M,24.36M,,24.36M,,-2.422M,,-8.174M,-109.66M,,72.14M,-12.37M,,59.77M,,24.36M,,,,,,,,
2001-12,119.44M,,,,,11.76M,11.76M,-23.95M,,,,,117.39M,-110.03M,-97.21M,-5.474M,,-95.32M,,12.23M,,,,,-10.31M,,16.32M,-6.067M,,,8.735M,3.717M,,3.717M,,-2.372M,,-1.221M,8.859M,,59.75M,15.02M,,72.14M,,3.717M,,,,,,,,
2001-09,82.79M,,,,,10.69M,10.69M,3.942M,,,,,-264.12M,88.98M,-100.92M,20.81M,,-255.26M,,-157.84M,,,,,10.31M,,-2.158M,8.152M,,,110.03M,0.157M,,0.157M,,-2.356M,,-0.192M,107.64M,,101.80M,-42.05M,,59.75M,,0.157M,,,,,,,,
2001-06,59.79M,,,,,4.892M,4.892M,-1.974M,,,,,-301.17M,82.21M,22.11M,36.00M,,-160.85M,,-98.14M,,,,,,,0.649M,0.649M,,,-2.37M,1.988M,,1.988M,,-1.687M,,2.022M,-0.047M,,199.34M,-97.54M,,101.80M,,1.988M,,,,,,,,
2001-03,39.37M,,,,,5.045M,5.045M,13.81M,,,,,-198.69M,-59.78M,43.98M,-6.659M,,-221.16M,,-162.93M,,,,,,,-1.886M,-1.886M,,,174.80M,7.675M,,7.675M,,-1.695M,,-0.609M,180.18M,,183.98M,15.36M,,199.34M,,7.675M,,,,,,,,
2000-12,85.59M,,,,,4.528M,4.528M,9.529M,,,,,156.11M,4.003M,-123.40M,-2.579M,,34.14M,-30.04M,103.74M,,,,,,,-4.17M,-4.17M,,,36.74M,16.13M,0.00,16.13M,,-1.65M,,0.81M,52.02M,,32.38M,151.60M,,183.98M,,16.13M,,,0.00,,,,,
2000-09,30.89M,,,0.099M,,2.171M,2.171M,-2.398M,,,,,-64.84M,53.54M,16.68M,8.279M,,13.66M,29.84M,74.26M,,,,,,,-0.15M,-0.15M,,,-72.61M,12.66M,-4.929M,7.728M,,-1.597M,,-6.251M,-72.73M,,31.00M,1.382M,,32.38M,,12.66M,,,-4.929M,,,,,
2000-06,47.69M,,,-0.099M,,3.905M,3.905M,-13.50M,,,,,-101.42M,52.13M,-31.75M,16.69M,,-64.36M,0.209M,-26.15M,,,,,,,0.712M,0.712M,,,54.60M,,-38.78M,-38.78M,,-1.647M,,3.338M,17.51M,,38.93M,-7.924M,,31.00M,,,,,-38.78M,,,,,
2000-03,24.34M,,,,,3.626M,3.626M,7.016M,,,,,-199.87M,-32.64M,83.15M,-14.15M,,-163.51M,,-128.54M,,,,,,,-1.577M,-1.577M,,,139.07M,,-22.67M,-22.67M,,-1.689M,,2.536M,117.24M,,51.80M,-12.87M,,38.93M,,,,,-22.67M,,,,,
1999-12,69.70M,,,0.00,,4.90M,4.90M,25.10M,,,,,86.30M,-24.40M,-38.80M,-17.80M,,5.30M,,105.00M,,0.00,,0.00,,0.00,-4.10M,-4.10M,,,-79.10M,,,,,0.00,,-2.30M,-79.80M,,30.70M,21.10M,,51.80M,,,,,,,,,,
1999-09,47.10M,,,0.40M,,2.50M,2.50M,-0.50M,,,-0.10M,,-75.90M,63.10M,-14.10M,14.70M,,-12.20M,-0.10M,37.10M,,-24.70M,,-24.70M,,0.00,-1.00M,-25.70M,,,-2.90M,,,,,-3.40M,,0.20M,-6.10M,,25.40M,5.30M,,30.70M,,,,,,,,,,
1999-06,37.00M,,,0.00,,3.00M,3.00M,-0.70M,,,0.20M,,-140.90M,59.60M,-59.20M,2.70M,,-137.80M,-0.30M,-98.60M,,,,,,0.00,-1.10M,-1.10M,,,82.20M,,,,,-1.80M,,0.20M,80.60M,,44.50M,-19.10M,,25.40M,,,,,,,,,,
1999-03,24.40M,,,-2.10M,,3.10M,3.10M,-0.70M,,,-0.10M,,-127.70M,2.90M,68.40M,3.00M,,-53.40M,0.40M,-28.40M,,,,,,29.40M,0.50M,29.90M,,,-82.00M,,,,,-1.70M,,1.40M,-82.30M,,125.30M,-80.80M,,44.50M,,,,,,,,,,
1998-12,38.40M,,,0.70M,,0.80M,0.80M,29.30M,,,,,-115.20M,13.60M,-140.20M,-19.86M,,-261.66M,-15.70M,-208.20M,,0.00,,90.60M,,14.80M,48.30M,153.70M,,,53.00M,,,,,-1.80M,,-50.50M,7.70M,,0.00,-46.80M,,125.30M,,,,,,,,,,
1998-09,28.60M,,,-0.10M,,2.40M,2.40M,1.10M,,,,,-113.70M,45.60M,28.00M,11.10M,,-29.00M,-6.70M,-3.70M,,-114.80M,,-114.80M,,2.70M,-0.20M,-112.30M,,,-17.30M,,,,,-1.70M,,2.70M,-16.30M,,0.00,-132.30M,,0.00,,,,,,,,,,
1998-06,23.80M,,,-0.20M,,0.10M,0.10M,-1.90M,,,,,-37.80M,59.30M,-75.30M,5.70M,,-48.10M,-1.70M,-28.00M,,-44.00M,,-44.00M,,2.50M,-0.10M,-41.60M,,,42.30M,,,,,-1.70M,,4.20M,44.80M,,0.00,-24.80M,,0.00,,,,,,,,,,
1998-03,11.30M,,,-0.40M,,1.70M,1.70M,-4.00M,,,,,41.90M,-71.60M,123.80M,7.60M,,101.70M,24.10M,134.40M,,,,,,2.00M,-0.20M,1.80M,,,-54.30M,,,,,-1.30M,,1.30M,-54.30M,,247.30M,81.90M,,0.00,,,,,,,,,,
1997-12,17.00M,,,3.90M,,2.60M,2.60M,-26.60M,,,-3.10M,,80.30M,14.90M,-59.10M,36.60M,,72.70M,-0.90M,65.60M,,,,,,1.90M,-41.60M,-39.70M,,,119.40M,,-0.10M,-0.10M,,-1.30M,,44.70M,162.70M,,0.00,188.60M,,247.30M,,,,,-0.10M,,,,,
1997-09,19.70M,,,-1.10M,,1.60M,1.60M,7.30M,,,,,-77.50M,55.40M,-2.70M,2.60M,,-22.20M,0.60M,5.90M,,,,,,1.90M,41.70M,43.60M,,,-34.70M,,0.00,0.00,,-1.20M,,-39.10M,-75.00M,,0.00,-25.50M,,0.00,,,,,0.00,,,,,
1997-06,13.90M,,,-1.10M,,3.30M,3.30M,6.90M,,,-0.20M,,-31.70M,44.70M,-67.90M,-1.40M,,-56.30M,0.20M,-33.30M,,,,,,2.10M,-0.10M,2.00M,,,127.40M,,-74.60M,-74.60M,,-2.70M,,0.90M,51.00M,,0.00,19.70M,,0.00,,,,,-74.60M,,,,,
1997-03,2.20M,,,-1.10M,,0.30M,0.30M,-1.80M,,,0.20M,,-95.80M,-54.40M,76.60M,0.30M,,-73.30M,-0.30M,-73.80M,,,,,,2.00M,0.10M,2.10M,,,-57.00M,,,,,,,1.00M,-56.00M,,192.20M,-127.70M,,0.00,,,,,,,,,,
1996-12,26.70M,,,114.20M,,1.20M,1.20M,-47.80M,,,-14.20M,,47.50M,0.20M,-58.20M,-51.00M,,-61.50M,1.70M,20.30M,,,,,,17.20M,13.80M,31.00M,,,27.90M,,-7.00M,-7.00M,,0.00,,-1.50M,19.40M,,0.00,70.70M,,0.00,,,,,-7.00M,,,,,
1996-09,127.60M,,,-111.50M,,2.20M,2.20M,-2.40M,,,-0.10M,,-91.80M,22.20M,-9.70M,11.60M,,-67.70M,-3.30M,-55.20M,,,,,,14.10M,28.50M,42.60M,,,-14.30M,,-31.80M,-31.80M,,-2.90M,,5.30M,-43.70M,,0.00,-56.30M,,0.00,,,,,-31.80M,,,,,
1996-06,18.20M,,,-7.30M,,1.70M,1.70M,7.00M,,,0.10M,,-52.10M,44.00M,-38.90M,1.10M,,-45.90M,-1.00M,-27.20M,,,,,,113.10M,46.90M,160.00M,,,-82.70M,,-51.50M,-51.50M,,-1.50M,,0.20M,-135.50M,,0.00,-2.70M,,0.00,,,,,-51.50M,,,,,
1996-03,7.10M,,,-6.50M,,1.60M,1.60M,-4.60M,,,,,-61.10M,-7.20M,50.10M,7.00M,,-11.20M,2.60M,-11.00M,,,,,,69.50M,-52.50M,17.00M,,,-110.00M,,-9.30M,-9.30M,,-1.60M,,0.10M,-120.80M,,292.20M,-114.80M,,0.00,,,,,-9.30M,,,,,
1995-12,25.40M,,,5.00M,,0.50M,0.50M,,,,7.60M,,50.30M,0.50M,-75.00M,25.00M,,0.80M,-20.60M,7.00M,,,,,,49.90M,27.40M,77.30M,,,144.10M,,0.00,0.00,,0.00,,-18.10M,126.00M,,0.00,210.30M,,0.00,,,,,0.00,,,,,
1995-09,18.70M,,,-1.10M,,2.30M,2.30M,,,,-2.80M,,-47.40M,38.80M,9.20M,10.30M,,10.90M,6.10M,34.10M,,,,,,36.70M,-22.80M,13.90M,,,-33.00M,,0.00,0.00,,-3.20M,,-34.40M,-70.60M,,0.00,-22.60M,,0.00,,,,,0.00,,,,,
1995-06,10.70M,,,3.90M,,2.30M,2.30M,,,,-9.70M,,-31.30M,33.30M,-47.10M,4.80M,,-40.30M,14.50M,-18.60M,,,,,,-24.70M,26.00M,1.30M,,,-19.90M,,-7.40M,-7.40M,,-1.70M,,-43.20M,-72.20M,,0.00,-89.50M,,0.00,,,,,-7.40M,,,,,
1995-03,3.50M,,,-3.90M,,1.20M,1.20M,,,,4.90M,,-79.00M,-22.70M,36.40M,-1.30M,,-66.60M,,-60.90M,,,,,,10.10M,8.20M,18.30M,,,-4.60M,,-4.30M,-4.30M,,-1.60M,,-31.50M,-42.00M,,281.50M,-84.60M,,0.00,,,,,-4.30M,,,,,
1994-12,43.60M,,,-27.60M,,9.10M,9.10M,,,,-9.40M,,-9.40M,37.80M,-2.10M,11.90M,,38.20M,,53.90M,,,,,,22.30M,-1.099B,-1.077B,,,-40.10M,,,,,0.00,,-8.80M,-48.90M,,0.00,-1.072B,,0.00,,,,,,,,,,
1994-09,17.90M,,,-1.80M,,0.20M,0.20M,,,,-1.80M,,-53.30M,16.40M,35.30M,10.80M,,9.20M,,23.70M,,,,,,27.40M,1.147B,1.174B,,,18.80M,,,,,-3.30M,,66.70M,82.20M,,0.00,1.280B,,0.00,,,,,,,,,,
1994-06,87.90M,,,-74.60M,,2.00M,2.00M,,,,5.00M,,-54.50M,21.40M,-6.30M,7.40M,,-32.00M,,-11.70M,,,,,,53.10M,801.10M,854.20M,,,5.70M,,,,,-1.60M,,-798.20M,-794.10M,,0.00,48.40M,,0.00,,,,,,,,,,
1994-03,16.00M,,,-8.40M,,1.90M,1.90M,,,,-170.50M,,-69.70M,10.70M,70.80M,5.90M,,17.70M,,-143.30M,,,,,,79.60M,-19.20M,60.40M,,,-187.60M,,,,,-1.70M,,187.40M,-1.90M,,109.00M,-84.80M,,0.00,,,,,,,,,,
1993-12,24.60M,,,,,,,,,,-298.90M,,,,296.00M,-6.40M,,289.60M,,15.30M,,,,,,84.90M,-14.50M,70.40M,,,49.90M,,,,,-1.60M,,-48.60M,-0.30M,,0.00,85.40M,,0.00,,,,,,,,,,
1993-09,19.80M,,,,,,,,,,-12.00M,,,,-116.60M,45.30M,,-71.30M,,-63.50M,,,,,,-56.30M,-26.70M,-83.00M,,,141.20M,,,,,-1.70M,,-26.10M,113.40M,,0.00,-33.10M,,0.00,,,,,,,,,,
1993-06,22.50M,,,,,,,,,,-34.60M,,,,-192.40M,25.60M,,-166.80M,,-178.90M,,,,,,421.00M,-36.40M,384.60M,,,-169.10M,,,,,-1.60M,,-19.60M,-190.30M,,0.00,15.40M,,0.00,,,,,,,,,,
1993-03,10.90M,,,,,,,,,,35.60M,,,,,-0.10M,,-0.10M,,46.40M,,,,,,10.00M,117.00M,127.00M,,,-187.00M,,,,,-1.70M,,-10.30M,-199.00M,,67.00M,-25.60M,,0.00,,,,,,,,,,
1992-12,23.80M,,,,,,,,,,30.40M,,,,,-1.40M,,-1.40M,,52.80M,,,,,,139.20M,34.80M,174.00M,,,-170.30M,,,,,-1.60M,,-2.80M,-174.70M,,0.00,52.10M,,0.00,,,,,,,,,,
1992-09,22.90M,,,,,,,,,,-13.00M,,,,,28.90M,,28.90M,,38.80M,,,,,,-66.10M,55.00M,-11.10M,,,-11.00M,,,,,-1.70M,,-23.20M,-35.90M,,0.00,-8.20M,,0.00,,,,,,,,,,
1992-06,16.00M,,,,,,,,,,111.80M,,,,,10.80M,,10.80M,,138.60M,,,,,,-56.70M,39.20M,-17.50M,,,-90.90M,,,,,-1.60M,,-20.70M,-113.20M,,0.00,7.90M,,0.00,,,,,,,,,,
1992-03,9.50M,,,,,,,,,,-70.00M,,,,,5.40M,,5.40M,,-55.10M,,,,,,-114.30M,-161.70M,-276.00M,,,282.30M,,,,,-1.60M,,2.20M,282.90M,,63.40M,-48.20M,,0.00,,,,,,,,,,
1991-12,20.90M,,,,,,,,,,5.20M,,,,,-3.30M,,-3.30M,,22.80M,,,,,,8.90M,38.00M,46.90M,,,-83.50M,,,,,-0.80M,,9.70M,-74.60M,,0.00,-4.90M,,0.00,,,,,,,,,,
1991-09,13.50M,,,,,,,,,,88.50M,,,,,18.70M,,18.70M,,120.70M,,,,,,-103.70M,48.30M,-55.40M,,,-110.90M,,,,,-0.70M,,44.10M,-67.50M,,0.00,-2.20M,,0.00,,,,,,,,,,
1991-06,7.90M,,,,,,,,,,-120.20M,,,,,26.20M,,26.20M,,-86.10M,,,,,,125.00M,96.60M,221.60M,,,-129.80M,,,,,-0.70M,,12.30M,-118.20M,,0.00,17.30M,,0.00,,,,,,,,,,
1991-03,0.30M,,,,,,,,,,180.50M,,,,,-11.00M,,-11.00M,,169.80M,,,,,,-92.00M,-16.80M,-108.80M,,,-75.30M,,,,,-0.70M,,14.70M,-61.30M,,53.50M,-0.30M,,0.00,,,,,,,,,,
1990-12,3.70M,,,,,,,,,,123.80M,,,,,-20.80M,,-20.80M,,106.70M,,,,,,23.30M,31.50M,54.80M,,,-161.40M,,0.00,0.00,,-0.70M,,3.80M,-158.30M,,0.00,3.20M,,0.00,,,,,0.00,,,,,
1990-09,5.20M,,,,,,,,,,47.20M,,,,,32.00M,,32.00M,,84.40M,,,,,,-62.50M,-19.60M,-82.10M,,,-2.30M,,-16.50M,-16.50M,,-0.70M,,8.90M,-10.60M,,0.00,-8.30M,,0.00,,,,,-16.50M,,,,,
1990-06,8.60M,,,,,,,,,,-39.60M,,,,,10.30M,,10.30M,,-20.70M,,,,,,-15.10M,91.20M,76.10M,,,-101.80M,,,,,-0.70M,,16.40M,-86.10M,,0.00,-30.70M,,0.00,,,,,,,,,,
1990-03,12.20M,,,,,,,,,,-8.70M,,,,,-4.10M,,-4.10M,,-0.60M,,,,,,46.00M,39.00M,85.00M,,,-67.30M,,,,,-0.80M,,-8.90M,-77.00M,,81.80M,7.40M,,0.00,,,,,,,,,,
