,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,1.213B,237.60M,1.450B,,,,,721.35M,3.462B,,4.183B,,66.44M,,,5.790B,0.00,33.75M,,33.75M,,33.75M,,,142.70M,44.38M,,,,441.90M,662.73M,6.452B,,207.75M,,200.65M,408.40M,1.407B,1.815B,,,,167.08M,167.08M,,,1.982B,,2.142B,,2.142B,,,,,,2.142B,4.124B,,3.884M,-729.82M,3.055B,,,-0.796M,2.328B,,AOR,Restated
2013-03,1.593B,238.20M,1.831B,,,,,663.31M,3.449B,,4.113B,,66.58M,,,6.103B,0.00,38.99M,,38.99M,,38.99M,,,145.97M,44.74M,,,,408.78M,638.49M,6.741B,,176.70M,,196.86M,373.56M,1.398B,1.771B,,,,126.07M,126.07M,,,1.897B,,2.568B,,2.568B,,,,,,2.568B,4.466B,,3.875M,-766.22M,3.039B,,,-0.944M,2.276B,,AOR,Restated
2012-12,1.405B,318.93M,1.724B,123.27M,,,155.19M,662.48M,3.552B,,4.214B,144.85M,71.95M,,,6.401B,0.00,31.07M,234.28M,265.35M,-190.10M,75.25M,,149.25M,149.25M,45.63M,,,0.00,63.45M,333.57M,6.734B,,178.27M,,198.86M,377.14M,1.039B,1.416B,164.28M,164.28M,164.28M,101.18M,101.18M,,,1.682B,64.10M,2.648B,,2.648B,,,119.29M,,31.07M,2.863B,4.545B,,3.866M,-844.15M,3.031B,,,-0.992M,2.190B,,AOR,Restated
2012-09,1.564B,,1.564B,,,,,667.79M,3.803B,,4.471B,,76.73M,,,6.111B,0.00,129.52M,,129.52M,,129.52M,,,152.52M,30.79M,263.38M,28.28M,,425.13M,1.030B,7.141B,,210.33M,,202.28M,412.61M,1.381B,1.794B,,,,122.14M,122.14M,,,1.916B,,3.103B,,3.103B,,,,,,3.103B,5.019B,,3.862M,-902.89M,3.022B,,,-1.133M,2.122B,,AOR,Restated
2012-06,1.310B,,1.310B,,,,,723.14M,3.829B,,4.552B,,86.80M,,,5.949B,0.00,149.83M,,149.83M,,149.83M,,155.80M,155.80M,31.58M,234.33M,,28.90M,403.23M,1.004B,6.953B,,214.25M,,212.48M,426.73M,1.340B,1.767B,,,,117.32M,117.32M,,,1.884B,,3.094B,,3.094B,,,,,,3.094B,4.978B,,3.837M,-1.019B,2.992B,,,-1.191M,1.975B,,AOR,Restated
2012-03,1.212B,,1.212B,,,,,727.89M,3.857B,,4.584B,,89.87M,,,5.886B,0.00,162.35M,,162.35M,,162.35M,,159.07M,159.07M,34.15M,184.16M,,29.67M,404.01M,973.42M,6.859B,,170.61M,,215.15M,385.76M,1.382B,1.768B,,,,71.58M,71.58M,,,1.840B,,3.091B,,3.091B,,,,,,3.091B,4.931B,,3.836M,-1.062B,2.988B,,,-1.249M,1.929B,,AOR,Restated
2011-12,1.083B,258.08M,1.341B,144.92M,,,172.08M,815.25M,3.821B,,4.636B,147.83M,101.86M,,,6.535B,0.00,24.90M,256.58M,281.49M,-203.40M,78.09M,,162.35M,162.35M,35.99M,,,,74.50M,350.93M,6.886B,,196.45M,,203.31M,399.76M,1.073B,1.473B,128.33M,128.33M,128.33M,46.96M,46.96M,,,1.648B,68.02M,3.088B,,3.088B,,,87.58M,,54.65M,3.299B,4.947B,,3.826M,-1.050B,2.986B,,,-1.306M,1.939B,,AOR,Restated
2011-09,1.143B,,1.143B,,,,,861.50M,4.028B,,4.890B,,113.30M,,16.53M,6.162B,0.00,134.56M,,134.56M,,134.56M,0.00,165.62M,165.62M,37.18M,173.96M,,79.38M,475.94M,1.067B,7.229B,,224.96M,,221.13M,446.08M,1.445B,1.891B,,,,,,,78.44M,1.970B,,3.335B,,3.335B,,,,,,3.335B,5.305B,,3.828M,-1.064B,2.985B,,,-1.433M,1.923B,,AOR,Restated
2011-06,1.075B,,1.075B,,,,,,,,4.905B,,128.23M,,13.63M,6.122B,0.00,128.16M,,128.16M,,128.16M,240.54M,168.90M,409.44M,41.01M,148.55M,,78.86M,497.37M,1.303B,7.426B,,218.85M,,292.00M,510.86M,1.448B,1.959B,,,,,,,84.57M,2.044B,,3.332B,,3.332B,,,,,,3.332B,5.376B,,3.828M,-934.96M,2.982B,,,-1.497M,2.050B,,AOR,Restated
2011-03,1.293B,,1.293B,,,,,,,,4.767B,,133.40M,,12.47M,6.206B,0.00,96.69M,,96.69M,,96.69M,240.54M,172.17M,412.71M,45.47M,143.85M,,79.45M,532.42M,1.311B,7.517B,,206.07M,,289.60M,495.67M,1.473B,1.969B,,,,,,,66.42M,2.036B,,3.381B,,3.381B,,,,,,3.381B,5.416B,,3.828M,-879.54M,2.977B,,,-1.561M,2.100B,,AOR,Restated
2010-12,1.483B,,1.483B,,,,,,,,4.782B,,24.60M,,,6.290B,,,,,,59.26M,240.54M,175.45M,415.99M,46.31M,380.19M,81.31M,,317.54M,1.410B,7.699B,,226.47M,,294.41M,520.87M,1.600B,2.121B,,,,51.73M,51.73M,,,2.173B,,3.392B,,3.392B,,,,,,3.392B,5.564B,,3.82M,-840.05M,2.973B,,,-1.519M,2.135B,,AOR,Restated
2010-09,2.623B,,2.623B,,,,,,,,4.921B,,32.96M,,9.843M,7.587B,0.00,55.16M,,55.16M,,55.16M,240.54M,178.72M,419.26M,85.22M,153.76M,,136.84M,655.55M,1.506B,9.093B,,280.14M,,318.31M,598.45M,1.833B,2.431B,,,,,,,78.50M,2.510B,,4.286B,,4.286B,,,,,,4.286B,6.796B,,3.824M,-674.77M,2.969B,,,-1.998M,2.296B,,AOR,Restated
2010-06,2.747B,,2.747B,,,,,,,,4.883B,,29.00M,,23.54M,7.682B,0.00,54.17M,,54.17M,,54.17M,895.46M,182.00M,1.077B,87.14M,243.56M,,86.63M,684.33M,2.233B,9.915B,,275.97M,,298.43M,574.41M,1.610B,2.184B,,75.40M,75.40M,,,,89.61M,2.349B,,4.285B,,4.285B,,,,,,4.285B,6.634B,,3.827M,320.44M,2.960B,,,-2.071M,3.282B,,AOR,Restated
2010-03,2.582B,,2.582B,,,,,,,,5.023B,,30.68M,,14.95M,7.650B,0.00,60.98M,,60.98M,,60.98M,895.92M,185.27M,1.081B,70.88M,169.72M,,191.18M,685.12M,2.259B,9.909B,,262.72M,,381.12M,643.84M,1.645B,2.289B,,58.64M,58.64M,,,,81.34M,2.429B,,4.283B,,4.283B,,,,,,4.283B,6.712B,,3.825M,244.16M,2.951B,,,-2.147M,3.197B,,AOR,Restated
2009-12,1.858B,,1.858B,,,,,,,,4.940B,,32.38M,,2.153M,6.833B,,,,,,82.42M,895.92M,188.55M,1.084B,73.82M,166.82M,1.152B,,533.99M,3.218B,10.05B,,278.33M,,360.92M,639.25M,1.844B,2.483B,,18.39M,18.39M,74.06M,74.06M,,,2.575B,,4.282B,,4.282B,,,,,,4.282B,6.857B,,3.807M,257.14M,2.936B,,,-2.249M,3.194B,,AOR,Restated
2009-09,1.517B,,1.517B,,,,,,,,5.631B,,34.50M,,15.12M,7.197B,0.00,93.19M,,93.19M,,93.19M,1.395B,193.82M,1.589B,70.61M,225.80M,,76.67M,1.030B,3.085B,10.28B,,333.47M,,285.60M,619.06M,1.913B,2.532B,,63.59M,63.59M,,,,93.60M,2.689B,,4.280B,,4.280B,,,,4.021M,,4.280B,6.969B,,3.804M,374.19M,2.932B,,,-0.474M,3.309B,,AOR,Restated
2009-06,1.636B,,1.636B,,,,,,,,3.677B,,,,2.755M,5.316B,0.00,77.20M,,77.20M,,77.20M,,,,94.64M,90.60M,,7.04M,817.56M,1.087B,6.403B,,175.09M,,133.20M,308.29M,885.24M,1.194B,,28.35M,28.35M,,,,57.15M,1.279B,,2.974B,,2.974B,,,,,,2.974B,4.253B,,2.586M,737.40M,1.411B,,,-1.892M,2.150B,,AOR,Restated
