,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2006-03,5.526B,5.526B,4.168B,1.358B,285.00M,472.00M,757.00M,,-1.308B,53.00M,149.00M,,-149.00M,,1.124B,234.00M,,149.00M,-149.00M,-1.308B,-149.00M,-1.223B,-16.00M,-1.207B,-24.00M,,-5.00M,-1.236B,78.89M,-760.00M,314.00M,-1.074B,,-2.49,-0.05,,,0.1645,-2.54,,-2.49,-0.05,,,0.1645,-2.54,,486.30M,486.30M,0.25,,AOR,Restated
2005-12,4.05B,4.05B,3.172B,878.00M,249.00M,376.00M,625.00M,,-225.00M,39.00M,151.00M,,-151.00M,,933.00M,-55.00M,,151.00M,-151.00M,-225.00M,-151.00M,-431.00M,-197.00M,-234.00M,158.00M,,-1.00M,-77.00M,-100.00M,-11.00M,269.00M,-280.00M,,-0.48,0.32,,,-0.2022,-0.16,,-0.48,0.30,,,-0.2185,-0.16,,486.00M,516.30M,0.25,,AOR,Restated
2005-09,5.925B,5.925B,4.444B,1.481B,261.00M,459.00M,720.00M,,116.00M,58.00M,121.00M,,-121.00M,,1.117B,364.00M,,121.00M,-121.00M,116.00M,-121.00M,359.00M,-377.00M,736.00M,290.00M,,-3.00M,1.023B,663.40M,819.00M,332.00M,480.00M,,1.51,0.59,,,1.367,2.10,,1.46,0.57,,,1.323,2.03,,486.00M,507.10M,0.25,,AOR,Restated
2005-06,5.86B,5.86B,4.359B,1.501B,259.00M,462.00M,721.00M,,23.00M,55.00M,155.00M,,-155.00M,,1.109B,392.00M,,155.00M,-155.00M,23.00M,-155.00M,260.00M,166.00M,94.00M,-14.00M,,-3.00M,77.00M,77.20M,772.00M,357.00M,415.00M,,0.19,-0.03,,,0.1616,0.16,,0.19,-0.03,,,0.1617,0.16,,485.90M,487.40M,0.25,,AOR,Restated
2005-03,5.593B,5.593B,4.107B,1.486B,245.00M,494.00M,739.00M,,-103.00M,58.00M,168.00M,,-168.00M,,1.113B,373.00M,,168.00M,-168.00M,-103.00M,-168.00M,102.00M,2.00M,100.00M,-21.00M,,-2.00M,77.00M,198.98M,586.00M,316.00M,270.00M,,0.20,-0.04,,,0.4077,0.16,,0.20,-0.04,,,0.4065,0.16,,486.10M,488.90M,0.25,,AOR,Restated
2004-12,3.379B,3.379B,2.393B,986.00M,221.00M,394.00M,615.00M,,-54.00M,41.00M,171.00M,,-171.00M,,915.00M,71.00M,,171.00M,-171.00M,-54.00M,-171.00M,-154.00M,-95.00M,-59.00M,231.00M,,-3.00M,169.00M,-29.60M,276.00M,259.00M,17.00M,,-0.13,0.48,,,-0.0634,0.35,,-0.13,0.48,,,-0.0637,0.35,,486.70M,489.00M,0.25,,AOR,Restated
2004-09,6.016B,6.016B,4.412B,1.604B,260.00M,471.00M,731.00M,,45.00M,59.00M,180.00M,,-180.00M,,1.136B,468.00M,,180.00M,-180.00M,45.00M,-180.00M,333.00M,113.00M,220.00M,-685.00M,,-5.00M,-470.00M,185.27M,859.00M,250.00M,513.00M,,0.44,-1.41,,,0.3789,-0.97,,0.44,-1.41,,,0.3816,-0.97,,486.40M,509.00M,0.25,,AOR,Restated
2004-06,6.229B,6.229B,4.63B,1.599B,260.00M,472.00M,732.00M,,-138.00M,60.00M,184.00M,,-184.00M,,1.167B,432.00M,,184.00M,-184.00M,-138.00M,-184.00M,110.00M,15.00M,95.00M,131.00M,,-33.00M,193.00M,181.18M,669.00M,375.00M,294.00M,,0.13,0.27,,,0.3754,0.40,,0.13,0.27,,,0.3741,0.40,,485.60M,488.20M,0.25,,AOR,Restated
2004-03,6.138B,6.138B,4.62B,1.518B,258.00M,514.00M,772.00M,,-14.00M,62.00M,196.00M,,-196.00M,,1.212B,306.00M,,196.00M,-196.00M,-14.00M,-196.00M,96.00M,31.00M,65.00M,,,-14.00M,51.00M,60.48M,670.00M,378.00M,292.00M,,0.10,0.05,,,0.1196,0.15,,0.10,0.05,,,0.1194,0.15,,484.40M,487.40M,0.25,,AOR,Restated
2003-12,4.317B,4.317B,3.206B,1.111B,218.00M,436.00M,654.00M,,-90.00M,48.00M,120.00M,,-120.00M,,901.00M,210.00M,,120.00M,-120.00M,-90.00M,-120.00M,0.00,8.00M,-8.00M,52.00M,,7.00M,61.00M,89.00M,319.00M,199.00M,120.00M,,0.00,0.10,,,0.1873,0.10,,-0.01,0.10,,,0.1766,0.10,,480.50M,482.30M,0.25,,AOR,Restated
2003-09,6.053B,6.053B,4.517B,1.536B,242.00M,491.00M,733.00M,,-86.00M,60.00M,204.00M,,-204.00M,,1.181B,355.00M,,204.00M,-204.00M,-86.00M,-204.00M,65.00M,-66.00M,131.00M,9.00M,0.00,-18.00M,122.00M,164.60M,657.00M,348.00M,269.00M,,0.23,0.02,0.00,,0.3375,0.25,,0.23,0.02,0.00,,0.3371,0.25,,479.80M,481.80M,0.25,,AOR,Restated
2003-06,6.158B,6.158B,4.585B,1.573B,275.00M,470.00M,745.00M,,-82.00M,65.00M,194.00M,,-194.00M,,1.217B,356.00M,,194.00M,-194.00M,-82.00M,-194.00M,80.00M,-40.00M,120.00M,3.00M,0.00,-35.00M,88.00M,134.20M,681.00M,407.00M,274.00M,,0.18,0.01,0.00,,0.2827,0.19,,0.18,0.01,0.00,,0.2827,0.19,,479.00M,479.00M,0.25,,AOR,Restated
2003-03,5.979B,5.979B,4.433B,1.546B,266.00M,491.00M,757.00M,,-23.00M,64.00M,184.00M,,-184.00M,,1.214B,332.00M,,184.00M,-184.00M,-23.00M,-184.00M,125.00M,37.00M,88.00M,3.00M,-10.00M,-37.00M,44.00M,67.19M,702.00M,393.00M,309.00M,,0.10,-0.01,0.00,,0.1338,0.09,,0.10,-0.01,-0.0209,,0.1337,0.09,,479.00M,480.10M,0.25,,AOR,Restated
2002-12,5.213B,5.213B,3.804B,1.409B,172.00M,506.00M,678.00M,,-529.00M,41.00M,195.00M,,-195.00M,,1.022B,387.00M,,195.00M,-195.00M,-529.00M,-195.00M,-337.00M,-190.00M,-147.00M,,,-18.00M,-130.00M,152.40M,161.00M,303.00M,-142.00M,,-0.34,0.07,,,0.3218,-0.27,,-0.34,0.07,,,0.3131,-0.27,,479.60M,486.00M,0.25,,AOR,Restated
2002-09,6.343B,6.343B,4.611B,1.732B,281.00M,509.00M,790.00M,,-16.00M,65.00M,186.00M,,-186.00M,,1.262B,470.00M,,186.00M,-186.00M,-16.00M,-186.00M,268.00M,85.00M,183.00M,,,-38.00M,145.00M,155.93M,861.00M,407.00M,454.00M,,0.30,0.00,,,0.3227,0.30,,0.30,0.00,,,0.3227,0.30,,481.10M,481.10M,0.25,,AOR,Restated
2002-06,6.305B,6.305B,4.588B,1.717B,269.00M,492.00M,761.00M,,-51.00M,65.00M,199.00M,,-199.00M,,1.231B,486.00M,,199.00M,-199.00M,-51.00M,-199.00M,236.00M,-10.00M,246.00M,,,-31.00M,215.00M,245.60M,840.00M,405.00M,435.00M,,0.45,0.00,,,0.5134,0.45,,0.4436,0.00,,,0.5067,0.4436,,482.70M,484.70M,0.25,,AOR,Restated
2002-03,6.038B,6.038B,4.465B,1.573B,271.00M,515.00M,786.00M,,10.00M,71.00M,205.00M,,-205.00M,,1.239B,334.00M,,205.00M,-205.00M,10.00M,-205.00M,139.00M,43.00M,96.00M,,,-31.00M,65.00M,58.09M,726.00M,382.00M,344.00M,,0.13,-2.44,,,0.1157,-2.31,,-2.292,-2.44,,,-2.306,-2.31,,482.30M,484.30M,0.25,,AOR,Restated
2001-12,6.254B,6.254B,4.568B,1.686B,265.00M,583.00M,848.00M,,-745.00M,52.00M,211.00M,,-211.00M,,1.363B,323.00M,,211.00M,-211.00M,-745.00M,-211.00M,-633.00M,-96.00M,-537.00M,,,-35.00M,-618.00M,60.01M,41.00M,463.00M,-422.00M,,-1.19,0.00,,,0.1220,-1.19,,-1.19,0.00,,,0.1220,-1.19,,481.70M,481.70M,0.25,,AOR,Restated
2001-09,6.529B,6.529B,4.789B,1.74B,287.00M,530.00M,817.00M,,-434.00M,67.00M,235.00M,,-235.00M,,1.358B,382.00M,,235.00M,-235.00M,-434.00M,-235.00M,-287.00M,-45.00M,-242.00M,,,-33.00M,-275.00M,90.95M,422.00M,474.00M,-52.00M,,-0.57,0.00,,,0.1878,-0.57,,-0.57,0.00,,,0.1878,-0.57,,482.90M,482.90M,0.25,,AOR,Restated
2001-06,6.686B,6.686B,4.914B,1.772B,277.00M,582.00M,859.00M,,-582.00M,71.00M,235.00M,,-235.00M,,1.387B,385.00M,,235.00M,-235.00M,-582.00M,-235.00M,-432.00M,-156.00M,-276.00M,,,-37.00M,-313.00M,58.83M,260.00M,457.00M,-197.00M,,-0.65,0.00,,,0.1197,-0.65,,-0.65,0.00,,,0.1197,-0.65,,483.10M,483.10M,0.25,,AOR,Restated
2001-03,6.894B,6.894B,5.138B,1.756B,276.00M,584.00M,860.00M,,-10.00M,75.00M,248.00M,,-248.00M,,1.411B,345.00M,,248.00M,-248.00M,-10.00M,-248.00M,87.00M,27.00M,60.00M,,,-42.00M,18.00M,24.90M,811.00M,476.00M,335.00M,,0.04,-0.13,,,0.0543,-0.09,,-0.0910,-0.13,,,-0.0767,-0.0910,,482.70M,483.70M,0.25,,AOR,Restated
2000-12,7.228B,7.228B,5.277B,1.951B,232.00M,646.00M,878.00M,,-752.00M,100.00M,251.00M,,-251.00M,,1.451B,500.00M,,251.00M,-251.00M,-752.00M,-251.00M,-503.00M,-232.00M,-271.00M,,,-50.00M,-547.00M,130.20M,221.00M,473.00M,-252.00M,,-0.75,-0.10,,,0.1867,-0.85,,-0.75,-0.10,,,0.1867,-0.85,,481.70M,481.70M,0.25,,AOR,Restated
2000-09,7.801B,7.801B,5.549B,2.252B,335.00M,553.00M,888.00M,,-134.00M,63.00M,278.00M,,-278.00M,,1.529B,723.00M,,278.00M,-278.00M,-134.00M,-278.00M,311.00M,71.00M,240.00M,,,-65.00M,175.00M,278.41M,1.167B,578.00M,589.00M,,0.36,-0.64,,,0.5747,-0.28,,-0.2803,-0.64,,,-0.0656,-0.2803,,481.60M,481.70M,0.25,,AOR,Restated
2000-06,6.78B,6.78B,4.735B,2.045B,271.00M,563.00M,834.00M,,-75.00M,61.00M,156.00M,,-156.00M,,1.334B,711.00M,,156.00M,-156.00M,-75.00M,-156.00M,480.00M,142.00M,338.00M,,,-68.00M,270.00M,322.81M,1.075B,439.00M,636.00M,,0.64,0.00,,,0.7654,0.64,,0.6285,0.00,,,0.7514,0.6285,,421.00M,429.60M,0.25,,AOR,Restated
2000-03,6.371B,6.371B,4.521B,1.85B,266.00M,521.00M,787.00M,,-8.00M,63.00M,131.00M,,-131.00M,,1.276B,574.00M,,131.00M,-131.00M,-8.00M,-131.00M,435.00M,136.00M,299.00M,,,-55.00M,244.00M,249.50M,992.00M,426.00M,566.00M,,0.59,0.32,,,0.6033,0.91,,0.59,0.32,,,0.603,0.8936,,413.50M,423.00M,0.25,,AOR,Restated
1999-12,6.294B,6.294B,4.371B,1.923B,277.00M,535.00M,812.00M,,-245.00M,54.00M,141.00M,,-141.00M,,1.391B,532.00M,,141.00M,-141.00M,-243.00M,-141.00M,148.00M,22.00M,126.00M,,0.00,-46.00M,80.00M,288.58M,814.00M,525.00M,289.00M,,0.19,0.00,0.00,,0.6947,0.19,,0.19,0.00,0.0000,,0.6916,0.1898,,413.30M,415.80M,0.25,,AOR,Restated
1999-09,6.251B,6.251B,4.593B,1.658B,268.00M,495.00M,763.00M,,-78.00M,58.00M,134.00M,,-134.00M,,1.204B,454.00M,,134.00M,-134.00M,-78.00M,-134.00M,242.00M,54.00M,188.00M,,-3.00M,-43.00M,142.00M,205.60M,759.00M,383.00M,376.00M,,0.35,-0.01,0.00,,0.4965,0.34,,0.3479,-0.01,-0.0073,,0.4933,0.34,,413.50M,416.80M,0.25,,,Restated
1999-06,5.996B,5.996B,4.42B,1.576B,277.00M,549.00M,826.00M,,-234.00M,57.00M,123.00M,,-123.00M,,1.257B,319.00M,,123.00M,-123.00M,-232.00M,-123.00M,-36.00M,-18.00M,-18.00M,,-13.00M,-40.00M,-71.00M,82.40M,461.00M,374.00M,87.00M,,-0.14,-0.03,0.00,,0.2000,-0.17,,-0.1404,-0.03,-0.0315,,0.1995,-0.17,,413.00M,413.00M,0.25,,,Restated
1999-03,6.032B,6.032B,4.576B,1.456B,276.00M,504.00M,780.00M,,0.00,57.00M,143.00M,,-143.00M,,1.22B,236.00M,,143.00M,-143.00M,1.00M,-143.00M,94.00M,28.00M,66.00M,,0.00,-34.00M,32.00M,32.00M,620.00M,383.00M,237.00M,,0.08,0.00,0.00,,0.08,0.08,,0.0772,0.00,0.00,,0.0772,0.08,,412.10M,414.40M,0.25,,,Restated
1998-12,6.108B,6.108B,4.418B,1.69B,,,835.00M,,-4.00M,,,,,,1.428B,262.00M,,,,-19.00M,,139.00M,6.00M,133.00M,,,-38.00M,46.00M,49.83M,636.00M,542.00M,94.00M,,0.11,0.00,,,0.1193,0.11,,0.1063,0.00,,,0.1155,0.11,,412.50M,419.60M,0.25,,AOR,Restated
1998-09,6.032B,6.032B,4.568B,1.464B,,,755.00M,,-144.00M,,,,,57.00M,1.19B,274.00M,,,,-144.00M,,-25.00M,-23.00M,-2.00M,,,-8.00M,-2.00M,84.40M,652.00M,378.00M,274.00M,,-0.01,0.00,,,0.1996,-0.01,,-0.01,0.00,,,0.1996,-0.01,,412.20M,412.30M,0.25,,,
1998-06,5.833B,5.833B,4.324B,1.509B,,,749.00M,,-6.00M,,,,,60.00M,1.176B,333.00M,,,,-6.00M,,152.00M,49.00M,103.00M,,,-19.00M,103.00M,107.07M,775.00M,442.00M,333.00M,,0.25,0.00,,,0.2599,0.25,,0.25,0.00,,,0.2598,0.25,,411.80M,414.20M,0.25,,,
1998-03,4.868B,4.868B,3.655B,1.213B,,,598.00M,,1.00M,,,,,50.00M,946.00M,267.00M,,,,1.00M,,121.00M,46.00M,75.00M,,,-20.00M,75.00M,74.38M,565.00M,298.00M,267.00M,,0.25,0.00,,,0.2480,0.25,,0.25,0.00,,,0.2480,0.25,,302.30M,303.20M,0.25,,,
1997-12,9.541B,9.541B,6.874B,2.667B,,,1.378B,,195.00M,,,,,-7.00M,2.247B,420.00M,,,,196.00M,,482.00M,139.00M,343.00M,,,-42.00M,203.00M,64.23M,552.00M,621.00M,-69.00M,,0.6718,,,,0.2126,0.6718,,0.6718,,,,0.2126,0.6718,,302.18M,302.18M,0.25,,AOR,Restated
1997-09,5.119B,5.119B,3.791B,1.328B,,,637.00M,,,,,,,52.00M,1.00B,328.00M,,,,,,173.00M,71.00M,102.00M,,,-35.00M,102.00M,102.00M,639.00M,311.00M,328.00M,,0.34,0.00,,,0.34,0.34,,0.34,0.00,,,0.34,0.34,,302.30M,304.60M,0.25,,,
1997-06,5.034B,5.034B,3.786B,1.248B,,,624.00M,,-685.00M,,,,,53.00M,995.00M,253.00M,,,,-685.00M,,-586.00M,-167.00M,-419.00M,,,-29.00M,-419.00M,70.79M,571.00M,318.00M,253.00M,,-1.39,0.00,,,0.2367,-1.39,,-1.39,0.00,,,0.2367,-1.39,,301.10M,301.10M,0.25,,,
1997-03,4.862B,4.862B,3.636B,1.226B,,,616.00M,,,,,,,52.00M,988.00M,238.00M,,,,,,74.00M,40.00M,34.00M,,,-34.00M,34.00M,34.00M,558.00M,320.00M,238.00M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,300.60M,300.90M,0.25,,,
1996-12,5.144B,5.144B,3.796B,1.348B,,,643.00M,,-155.00M,,,,,,1.011B,337.00M,,,,-183.00M,,165.00M,1.00M,164.00M,,,-26.00M,-5.00M,149.06M,553.00M,322.00M,231.00M,,-0.02,,,,0.4932,-0.02,,-0.02,,,,0.4898,-0.02,,300.20M,302.20M,0.25,,AOR,Restated
1996-09,5.108B,5.108B,3.76B,1.348B,,,627.00M,,,,,,,51.00M,985.00M,363.00M,,,,,,197.00M,86.00M,111.00M,,,-30.00M,111.00M,111.00M,670.00M,307.00M,363.00M,,0.37,0.00,,,0.37,0.37,,0.37,0.00,,,0.37,0.37,,300.00M,300.00M,0.25,,,
1996-06,5.093B,5.093B,3.771B,1.322B,,,616.00M,,,,,,,50.00M,968.00M,354.00M,,,,,,179.00M,80.00M,99.00M,,,-38.00M,99.00M,99.00M,656.00M,302.00M,354.00M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,299.10M,299.10M,0.25,,,
1996-03,4.798B,4.798B,3.556B,1.242B,,,548.00M,,77.00M,,,,,47.00M,858.00M,384.00M,,,,77.00M,,261.00M,163.00M,98.00M,,,-75.00M,98.00M,51.80M,647.00M,263.00M,384.00M,,0.36,0.00,,,0.1882,0.36,,0.36,0.00,,,0.1882,0.36,,268.90M,268.90M,0.25,,,
1995-12,5.076B,5.076B,3.574B,1.502B,,,594.00M,,,,,,,,903.00M,599.00M,,,,,,587.00M,168.00M,419.00M,,,-46.00M,263.00M,263.00M,866.00M,267.00M,599.00M,,1.01,,,,1.01,1.01,,0.92,,,,0.92,0.92,,260.70M,290.30M,0.25,,AOR,Restated
1995-09,5.145B,5.145B,3.566B,1.579B,,,547.00M,,,,,,,46.00M,859.00M,720.00M,,,,,,538.00M,210.00M,328.00M,,,-53.00M,328.00M,328.00M,986.00M,266.00M,720.00M,,1.27,0.00,,,1.27,1.27,,1.27,0.00,,,1.27,1.27,,258.70M,258.70M,0.25,,,
1995-06,5.084B,5.084B,3.532B,1.552B,,,551.00M,,,,,,,45.00M,860.00M,692.00M,,,,,,511.00M,195.00M,316.00M,,,-43.00M,316.00M,316.00M,956.00M,264.00M,692.00M,,1.25,0.00,,,1.25,1.25,,1.25,0.00,,,1.25,1.25,,253.60M,253.60M,0.21,,,
1995-03,4.492B,4.492B,3.239B,1.253B,,,483.00M,,,,,,,41.00M,758.00M,495.00M,,,,,,391.00M,145.00M,246.00M,,,,246.00M,246.00M,729.00M,234.00M,495.00M,,0.98,0.00,,,0.98,0.98,,0.98,0.00,,,0.98,0.98,,252.80M,252.80M,0.21,,,
1994-12,4.127B,4.127B,3.00B,1.127B,,,495.00M,,,,,,,,730.00M,397.00M,,,,,,303.00M,92.00M,211.00M,,,,164.00M,164.00M,598.00M,201.00M,397.00M,,0.65,-0.30,,,0.65,0.35,,0.65,-0.30,,,0.65,0.35,,251.20M,251.20M,0.21,,AOR,Restated
1994-09,3.792B,3.792B,2.815B,977.00M,,,448.00M,,,,,,,39.00M,718.00M,259.00M,,,,,,167.00M,58.00M,109.00M,,,,109.00M,109.00M,490.00M,231.00M,259.00M,,0.44,0.00,,,0.44,0.44,,0.44,0.00,,,0.44,0.44,,249.60M,249.60M,0.21,,,
1994-06,3.633B,3.633B,2.712B,921.00M,,,433.00M,,,,,,,40.00M,701.00M,220.00M,,,,,,134.00M,47.00M,87.00M,,,,87.00M,87.00M,448.00M,228.00M,220.00M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,249.20M,249.20M,0.21,,,
1994-03,3.414B,3.414B,2.565B,849.00M,,,398.00M,,,,,,,38.00M,661.00M,188.00M,,,,,,111.00M,39.00M,72.00M,,,,72.00M,72.00M,413.00M,225.00M,188.00M,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,248.40M,248.40M,0.21,,,
1993-12,3.412B,3.412B,2.448B,964.00M,,,426.00M,,,,,,,,689.00M,275.00M,,,,,,196.00M,60.00M,136.00M,,,,100.00M,100.00M,502.00M,227.00M,275.00M,,0.40,0.00,,,0.40,0.40,,0.40,0.00,,,0.40,0.40,,249.64M,249.64M,0.21,,,Restated
1993-09,3.405B,3.405B,2.543B,862.00M,,,404.00M,,,,,,,37.00M,664.00M,198.00M,,,,,,119.00M,71.00M,48.00M,,,,48.00M,48.00M,421.00M,223.00M,198.00M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,240.00M,240.00M,0.21,,,
1993-06,3.506B,3.506B,2.619B,887.00M,,,417.00M,,,,,,,41.00M,686.00M,201.00M,,,,,,122.00M,45.00M,77.00M,,,,77.00M,77.00M,429.00M,228.00M,201.00M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,248.39M,248.39M,0.21,,,
1993-03,3.362B,3.362B,2.543B,819.00M,,,386.00M,,,,,,,39.00M,645.00M,174.00M,,,,,,101.00M,37.00M,64.00M,,,,64.00M,64.00M,394.00M,220.00M,174.00M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,246.15M,246.15M,0.21,,,
1992-12,3.378B,3.378B,2.516B,862.00M,,,417.00M,,,,,,,,704.00M,158.00M,,,,,,-307.00M,-131.00M,-176.00M,,,,-176.00M,-176.00M,10.00M,250.00M,-240.00M,,-0.735,-0.20,,,-0.735,-0.935,,-0.735,-0.20,,,-0.735,-0.935,,245.62M,245.62M,0.21,,,Restated
1992-09,3.478B,3.478B,2.612B,866.00M,,,407.00M,,,,,,,36.00M,645.00M,221.00M,,,,,,162.00M,62.00M,100.00M,,,,98.00M,100.00M,423.00M,202.00M,221.00M,,0.41,-0.01,,-0.0082,0.41,0.40,,0.41,-0.01,,-0.0082,0.41,0.40,,245.00M,245.00M,0.21,,,
1992-06,3.386B,3.386B,2.513B,873.00M,,,398.00M,,,,,,,40.00M,639.00M,234.00M,,,,,,184.00M,70.00M,114.00M,,,,112.00M,114.00M,435.00M,201.00M,234.00M,,0.47,-0.01,,-0.0082,0.47,0.46,,0.47,-0.01,,-0.0082,0.47,0.46,,243.48M,243.48M,0.21,,,
1992-03,3.356B,3.356B,2.496B,860.00M,,,388.00M,,,,,,,37.00M,622.00M,238.00M,,,,,,167.00M,63.00M,104.00M,,,,102.00M,104.00M,435.00M,197.00M,238.00M,,0.44,-0.01,,-0.0084,0.44,0.43,,0.44,-0.01,,-0.0084,0.44,0.43,,237.21M,237.21M,0.21,,,
1991-12,3.215B,3.215B,2.365B,850.00M,,,475.00M,,,,,,,36.00M,689.00M,161.00M,,,,,,85.00M,31.00M,54.00M,,,,54.00M,54.00M,339.00M,178.00M,161.00M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,222.53M,222.53M,0.21,,,
1991-09,3.277B,3.277B,2.441B,836.00M,,,375.00M,,,,,,,32.00M,584.00M,252.00M,,,,,,173.00M,64.00M,109.00M,,,,109.00M,109.00M,429.00M,177.00M,252.00M,,0.49,0.00,,,0.49,0.49,,0.49,0.00,,,0.49,0.49,,222.45M,222.45M,0.21,,,
1991-06,3.114B,3.114B,2.292B,822.00M,,,369.00M,,,,,,,34.00M,576.00M,246.00M,,,,,,165.00M,61.00M,104.00M,,,,104.00M,104.00M,419.00M,173.00M,246.00M,,0.48,0.00,,,0.48,0.48,,0.48,0.00,,,0.48,0.48,,216.67M,216.67M,0.21,,,
1991-03,3.097B,3.097B,2.243B,854.00M,,,355.00M,,,,,,,33.00M,560.00M,294.00M,,,,,,215.00M,83.00M,132.00M,,,,132.00M,132.00M,466.00M,172.00M,294.00M,,0.60,0.00,,,0.60,0.60,,0.60,0.00,,,0.60,0.60,,220.00M,220.00M,0.21,,,
1990-12,3.287B,3.287B,2.316B,971.00M,,,635.00M,,,,,,,50.00M,860.00M,111.00M,,,,,,39.00M,16.00M,23.00M,,,,23.00M,23.00M,286.00M,175.00M,111.00M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,219.44M,219.44M,0.21,,,
1990-09,3.267B,3.267B,2.34B,927.00M,,,358.00M,,,,,,,27.00M,557.00M,370.00M,,,,,,300.00M,119.00M,181.00M,,,,181.00M,181.00M,542.00M,172.00M,370.00M,,0.83,0.00,,,0.83,0.83,,0.83,0.00,,,0.83,0.83,,218.07M,218.07M,0.21,,,
1990-06,3.241B,3.241B,2.327B,914.00M,,,348.00M,,,,,,,28.00M,538.00M,376.00M,,,,,,307.00M,122.00M,185.00M,,,,185.00M,185.00M,538.00M,162.00M,376.00M,,0.85,0.00,,,0.85,0.85,,0.85,0.00,,,0.85,0.85,,217.65M,217.65M,0.21,,,
1990-03,3.165B,3.165B,2.28B,885.00M,,,333.00M,,,,,,,28.00M,519.00M,366.00M,,,,,,300.00M,120.00M,180.00M,,,,180.00M,180.00M,524.00M,158.00M,366.00M,,0.83,0.00,,,0.83,0.83,,0.83,0.00,,,0.83,0.83,,216.87M,216.87M,0.21,,,
1989-12,2.978B,2.978B,,,,,,,,,,,,,,-6.79B,,,,,,,,197.00M,,,,197.00M,,-6.79B,,-6.79B,,,,,,,,,,,,,,,,217.40M,217.40M,0.21,,,
1989-09,2.90B,2.90B,,,,,,,,,,,,,,2.90B,,,,,,,,214.00M,,,,214.00M,,2.90B,,2.90B,,0.96,0.00,,,0.96,0.96,,0.96,0.00,,,0.96,0.96,,219.20M,219.20M,0.185,,,
1989-06,3.00B,3.00B,,,,,,,,,,,,,,3.00B,,,,,,,,229.00M,,,,229.00M,,3.00B,,3.00B,,1.02,0.00,,,1.02,1.02,,1.02,0.00,,,1.02,1.02,,221.40M,221.40M,0.185,,,
1989-03,2.60B,2.60B,,,,,,,,,,,,,,2.60B,,,,,,,,223.00M,,,,223.00M,,2.60B,,2.60B,,0.98,0.00,,,0.98,0.98,,0.98,0.00,,,0.98,0.98,,222.11M,222.11M,0.185,,,
1988-12,2.533B,2.533B,,,,,,,,,,,,,,-5.661B,,,,,,,,206.00M,,,,206.00M,,-5.661B,,-5.661B,,,,,,,,,,,,,,,,221.40M,221.40M,0.1625,,,
1988-09,2.40B,2.40B,,,,,,,,,,,,,,2.40B,,,,,,,,201.00M,,,,201.00M,,2.40B,,2.40B,,0.87,0.00,,,0.87,0.87,,0.87,0.00,,,0.87,0.87,,223.60M,223.60M,0.1625,,,
1988-06,2.40B,2.40B,,,,,,,,,,,,,,2.40B,,,,,,,,188.00M,,,,188.00M,,2.40B,,2.40B,,0.82,0.00,,,0.82,0.82,,0.82,0.00,,,0.82,0.82,,222.93M,222.93M,0.1625,,,
1988-03,2.30B,2.30B,,,,,,,,,,,,,,2.30B,,,,,,,,159.00M,,,,159.00M,,2.30B,,2.30B,,0.69,0.00,,,0.69,0.69,,0.69,0.00,,,0.69,0.69,,210.77M,210.77M,0.15,,,
1987-12,1.963B,1.963B,,,,,,,,,,,,,,-5.01B,,,,,,,,125.00M,,,,125.00M,,-5.01B,,-5.01B,,,,,,,,,,,,,,,,222.93M,222.93M,0.15,,,
