,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-03,18.60M,,,,,,-3.494M,14.61M,3.08M,17.69M,17.69M,-1.796M,,,,,3.882M,-3.824M,-13.25M,-4.086M,-11.97M,,-52.48M,5.045M,-80.57M,-45.68M,-12.48M,,-12.48M,,,0.708M,-11.77M,,,9.216M,,,,,,,,9.216M,92.86M,-48.24M,1.159M,45.78M,,,,
2005-12,13.09M,,,,,,-21.46M,14.15M,2.98M,17.13M,17.13M,,,,,,28.92M,-50.04M,18.21M,17.23M,25.86M,,43.99M,38.35M,93.60M,107.52M,-23.75M,,-23.75M,,,-1.469M,-11.63M,,,-17.51M,0.00,,0.00,,,,-16.52M,-34.03M,35.23M,61.86M,-4.235M,92.86M,0.00,,,
2005-09,-9.95M,,,,,,16.97M,14.30M,2.988M,17.29M,17.29M,,,,,,29.00M,11.20M,-3.703M,-1.047M,7.365M,,0.633M,-45.24M,-30.79M,22.52M,-7.637M,,-7.637M,,,-0.423M,-8.06M,,,-12.10M,0.00,,0.00,,,,-9.322M,-21.42M,41.19M,-6.962M,1.005M,35.23M,0.00,,,
2005-06,17.95M,,,,,,6.945M,14.91M,3.87M,18.78M,18.78M,,,,,,0.001M,-15.89M,-5.171M,-3.13M,11.55M,,28.22M,-15.12M,0.467M,44.14M,-8.92M,,-8.92M,,,-1.736M,-10.66M,,,-19.30M,0.597M,,0.597M,,,,,-18.70M,27.72M,14.78M,-1.313M,41.19M,0.597M,,,
2005-03,-4.014M,,,,,,-0.417M,16.49M,3.799M,20.29M,20.29M,,,,,,5.905M,17.54M,-29.94M,-9.401M,-15.94M,,-25.20M,-5.551M,-68.50M,-46.74M,-8.965M,,-8.965M,,,,-8.965M,,,20.37M,0.514M,,0.514M,,,,,20.88M,63.76M,-34.82M,-1.215M,27.72M,0.514M,,,
2004-12,7.286M,,,,,,-12.68M,15.82M,3.922M,19.74M,19.74M,,,,,,5.463M,35.33M,41.86M,14.52M,39.00M,,13.37M,26.04M,170.11M,180.66M,-16.71M,8.50M,-8.214M,0.00,,,19.79M,,,-188.89M,4.30M,,4.30M,,,,0.00,-184.59M,40.48M,15.85M,7.425M,63.76M,4.30M,,,
2004-09,6.369M,,,,,,0.866M,15.71M,3.783M,19.50M,19.50M,,,,,,0.962M,0.604M,0.076M,-1.338M,1.609M,,20.37M,1.736M,23.06M,50.75M,-7.717M,0.467M,-7.25M,0.00,,,-7.25M,,,-29.64M,1.371M,,1.371M,,,,-0.665M,-28.93M,24.45M,14.57M,1.459M,40.48M,1.371M,,,
2004-06,6.27M,,,,,,1.693M,15.59M,4.029M,19.62M,19.62M,,,,,,0.086M,2.678M,-19.57M,-3.995M,5.895M,,-7.641M,23.12M,0.491M,28.16M,-13.89M,0.00,-13.89M,0.00,,,-13.89M,,,-29.48M,1.116M,,1.116M,,,,,-28.36M,39.67M,-14.09M,-1.13M,24.45M,1.116M,,,
2004-03,7.144M,,,,,,3.184M,15.35M,4.006M,19.36M,19.36M,,,,,,,0.781M,-1.408M,-0.292M,0.086M,,5.952M,-26.87M,-21.75M,7.933M,-6.918M,3.626M,-3.292M,-9.429M,,,-12.72M,,,-8.724M,,,,,,,,-8.724M,53.52M,-13.51M,-0.336M,39.67M,,,,
2003-12,14.66M,,,,,,-2.844M,16.48M,3.881M,20.36M,20.36M,1.016M,,,,,-1.703M,-43.44M,15.32M,2.149M,43.31M,,13.34M,3.591M,34.28M,65.77M,-9.671M,0.00,-9.671M,,,,-9.671M,,,-41.37M,,,,,,,0.00,-41.37M,33.17M,14.73M,5.615M,53.52M,,,,
2003-09,9.873M,,,,,,0.496M,15.04M,3.897M,18.94M,18.94M,,,,,,1.064M,31.90M,1.083M,3.087M,-9.534M,,-27.32M,-8.481M,-9.273M,21.10M,-6.368M,2.207M,-4.161M,,,,-4.161M,,,-35.97M,,,,,,,-1.767M,-37.73M,53.98M,-20.80M,-0.005M,33.17M,,,,
2003-06,12.45M,,,,,,0.808M,14.64M,3.92M,18.56M,18.56M,-5.358M,,,,,0.639M,28.58M,12.76M,9.195M,2.016M,1.214M,5.068M,-5.072M,53.77M,80.86M,-7.213M,,-7.213M,,,,-7.213M,,,-63.70M,,,,,,,,-63.70M,38.47M,9.951M,5.813M,53.98M,,,,
2003-03,7.479M,,,,,,0.112M,15.48M,3.801M,19.28M,19.28M,5.358M,,,,,,6.782M,0.237M,-9.279M,-18.81M,-1.214M,3.625M,,-18.66M,13.58M,-5.536M,,-5.536M,,,,-5.536M,,,-20.00M,,,,,,,,-20.00M,49.24M,-11.96M,1.183M,38.47M,,,,
2002-12,9.067M,,,,,,0.584M,15.27M,3.147M,18.42M,18.42M,7.342M,,,,,,30.44M,44.48M,9.182M,17.18M,-12.67M,-2.301M,,86.31M,121.72M,-8.954M,4.358M,-4.596M,-4.654M,,,-9.25M,,,-94.23M,0.001M,,0.001M,,,,-5.842M,-100.07M,32.83M,12.40M,4.047M,49.24M,0.001M,,,
2002-09,9.347M,,,,,,-0.595M,15.30M,4.225M,19.53M,19.53M,,,,,,,41.36M,-7.395M,-0.457M,-13.44M,2.635M,-3.924M,,18.78M,47.06M,-7.154M,2.69M,-4.464M,-0.697M,,,-5.161M,,,-88.42M,292.77M,,292.77M,,,,-292.90M,-88.55M,81.52M,-46.65M,-2.036M,32.83M,292.77M,,,
2002-06,14.35M,,,,,,9.83M,14.54M,3.581M,18.12M,18.12M,0.39M,,,,,,-7.949M,2.37M,4.375M,-20.99M,0.314M,29.78M,,7.896M,50.58M,-8.658M,0.547M,-8.111M,-529.72M,,,-537.83M,,,260.45M,-10.25M,0.163M,-10.09M,,,,292.66M,543.02M,18.64M,55.77M,7.104M,81.52M,-10.25M,,,0.163M
2002-03,12.74M,,,,,,,11.64M,2.762M,14.40M,14.40M,-0.39M,,,,,,12.88M,-9.932M,4.214M,11.88M,-2.949M,-13.35M,,2.744M,29.49M,-6.109M,1.125M,-4.984M,,,,-4.984M,,,-36.41M,10.25M,-0.163M,10.09M,,,,,-26.32M,21.53M,-1.817M,-1.078M,18.64M,10.25M,,,-0.163M
2001-12,-10.38M,,,,,,25.31M,12.14M,12.74M,24.88M,24.88M,-17.06M,,,,,,6.833M,3.432M,-14.96M,15.27M,-6.144M,-2.292M,,2.147M,24.89M,-6.88M,0.27M,-6.61M,,,,-8.295M,,,-171.51M,152.92M,,152.92M,,,,,-18.59M,24.86M,-1.997M,-1.359M,21.50M,152.92M,,,
2001-09,5.833M,,,,,,-0.114M,11.60M,6.775M,18.37M,18.37M,1.864M,,,,,,-8.053M,6.913M,1.848M,-17.14M,0.256M,-9.407M,,-25.58M,0.371M,-5.928M,1.092M,-4.836M,,,,-4.836M,,,9.81M,9.097M,,9.097M,,,,-7.65M,11.26M,17.15M,6.792M,0.914M,24.86M,9.097M,,,
2001-06,2.602M,,,,,,-0.322M,12.31M,6.136M,18.44M,18.44M,-2.324M,,,,,,-8.663M,-38.90M,-6.887M,11.98M,3.071M,10.48M,,-28.92M,-10.52M,-14.96M,3.415M,-11.54M,,,,-11.54M,,,14.48M,-0.389M,,-0.389M,,,,7.65M,21.74M,18.62M,-0.318M,-1.153M,17.15M,-0.389M,,,
2001-03,-8.54M,,,,,,,12.85M,6.051M,18.90M,18.90M,-0.224M,,,,,,25.66M,-16.04M,2.972M,-12.30M,-6.74M,-66.18M,,-72.62M,-62.49M,-7.46M,3.946M,-3.514M,,,,-3.514M,,,44.74M,0.389M,,0.389M,,,,,45.13M,42.34M,-20.88M,-2.845M,18.62M,0.389M,,,
2000-12,1.743M,,,,,,3.837M,,,22.63M,22.63M,-6.61M,,,,,,-58.73M,18.82M,,33.19M,24.34M,-7.541M,,10.07M,31.67M,-11.39M,,-11.39M,20.96M,,,9.566M,,,1.262B,-1.272B,,-1.272B,,,,,-56.57M,56.82M,-15.34M,0.855M,42.34M,-1.272B,,,
2000-09,-10.93M,,,,,,-1.933M,,,14.03M,14.03M,9.006M,,,,,,-3.596M,-1.13M,,-1.508M,-38.28M,26.64M,,-17.87M,-7.696M,-3.905M,,-3.905M,-764.65M,,,-768.56M,,,-452.36M,1.272B,,1.272B,,,,,819.80M,14.50M,43.54M,-1.211M,56.82M,1.272B,,,
2000-06,12.62M,,,,,,-0.149M,,,9.761M,9.761M,-1.709M,,,,,,-15.73M,-3.79M,,-4.002M,3.60M,7.022M,,-12.90M,7.622M,-8.04M,,-8.04M,0.469M,,,-7.571M,,,-9.255M,0.071M,,0.071M,,,,,-9.184M,23.94M,-9.133M,-0.307M,14.50M,0.071M,,,
2000-03,11.88M,,,,,,0.001M,,,10.62M,10.62M,1.235M,,,,,,7.955M,-15.86M,,-2.535M,-1.344M,-26.12M,,-37.91M,-14.18M,-4.394M,,-4.394M,-22.17M,,,-26.57M,,,34.90M,0.168M,,0.168M,,,,,35.07M,30.46M,-5.669M,-0.859M,23.94M,0.168M,,,
1999-12,-11.50M,,,,,,0.20M,,,12.70M,12.70M,-5.10M,,,,,-0.10M,7.20M,8.20M,,3.90M,-23.10M,49.20M,,45.40M,41.60M,-11.40M,,-11.40M,,,,-11.40M,,,-11.60M,,0.60M,0.60M,,-5.30M,,-0.70M,-17.00M,17.90M,13.20M,-0.60M,30.50M,,,,0.60M
1999-09,4.80M,,,,,,0.10M,,,5.70M,5.70M,3.30M,,,,,0.30M,4.70M,7.60M,,1.70M,13.60M,-23.60M,,4.00M,18.20M,-14.60M,,-14.60M,,,,-14.60M,,,7.10M,,-2.40M,-2.40M,,-5.30M,,-0.20M,-0.80M,14.70M,2.80M,0.50M,17.90M,,,,-2.40M
1999-06,8.50M,,,,,,-0.40M,,,10.80M,10.80M,1.50M,,,,,-0.20M,9.90M,8.80M,,-1.90M,2.90M,-16.10M,,3.60M,23.80M,-8.70M,,-8.70M,,,,-8.70M,,,-5.60M,-0.20M,-0.70M,-0.90M,,-5.30M,,0.10M,-11.70M,11.30M,3.40M,-0.10M,14.70M,-0.20M,,,-0.70M
1999-03,10.40M,,,,,,0.50M,,,10.40M,10.40M,-1.50M,,,,,,-9.10M,3.80M,,-5.60M,-3.10M,-7.50M,,-21.50M,-1.70M,-11.50M,,-11.50M,,,,-11.50M,,,8.90M,0.20M,-3.30M,-3.10M,,-5.30M,,,0.50M,24.90M,-12.70M,-0.90M,11.30M,0.20M,,,-3.30M
1998-12,7.20M,,,,,,,,,13.10M,13.10M,,,,,,-0.40M,-2.20M,9.50M,,29.80M,-0.90M,-18.50M,,17.70M,38.70M,-21.80M,,-21.80M,,,-0.90M,-22.70M,,,-2.60M,3.20M,-6.20M,-3.00M,,-5.40M,,0.00,-11.00M,0.00,5.00M,-0.90M,24.90M,3.20M,,,-6.20M
1998-09,14.90M,,,,,,,,,5.60M,5.60M,,,,,,0.10M,-6.00M,-6.50M,,11.40M,5.40M,-6.20M,,-1.90M,18.70M,-18.90M,,-18.90M,,,0.50M,-18.40M,,,30.10M,-3.10M,-21.70M,-24.80M,,-5.50M,,-0.20M,-0.40M,0.00,-0.10M,0.20M,0.00,-3.10M,,,-21.70M
1998-06,12.50M,,,,,,,,,10.80M,10.80M,,,,,,-0.10M,2.80M,-3.80M,,-7.40M,-4.90M,-4.30M,,-17.60M,5.60M,-7.60M,,-7.60M,,,,-7.60M,,,23.70M,1.50M,-36.60M,-35.10M,,-5.70M,,0.10M,-17.00M,0.00,-19.00M,-0.30M,0.00,1.50M,,,-36.60M
