,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-03,902.00M,,902.00M,4.85B,,4.85B,380.00M,,1.524B,379.00M,1.177B,,,365.00M,7.294B,,,,25.85B,-10.72B,15.13B,1.225B,,1.225B,,,1.965B,1.397B,19.72B,27.01B,,5.387B,,5.387B,1.664B,7.051B,,,64.00M,,64.00M,,,831.00M,7.946B,,3.896B,,3.896B,2.423B,2.423B,,1.993B,8.312B,16.26B,,323.00M,10.14B,1.945B,,,-1.652B,10.76B,,,Restated
2007-12,607.00M,,607.00M,4.708B,,4.708B,338.00M,,1.577B,364.00M,1.25B,,,361.00M,6.926B,22.90B,,1.928B,24.83B,-10.20B,14.63B,1.225B,,1.225B,,,1.873B,1.473B,19.20B,26.13B,,5.741B,,5.741B,1.638B,7.379B,,,62.00M,,62.00M,,,583.00M,8.024B,,3.918B,,3.918B,2.362B,2.362B,,2.053B,8.333B,16.36B,,321.00M,9.412B,1.882B,,,-1.841B,9.774B,,AOR,
2007-09,565.00M,,565.00M,3.076B,,3.076B,346.00M,,1.484B,358.00M,1.341B,,,287.00M,5.269B,,,,25.12B,-10.85B,14.27B,1.225B,,1.225B,,,1.634B,1.535B,18.67B,23.94B,,4.44B,,4.44B,1.458B,5.898B,,,46.00M,,46.00M,,,458.00M,6.402B,,3.939B,,3.939B,2.31B,2.31B,,1.776B,8.025B,14.43B,,319.00M,8.933B,1.831B,,,-1.574B,9.509B,,,
2007-06,482.00M,,482.00M,3.266B,,3.266B,268.00M,,1.182B,337.00M,980.00M,,,285.00M,5.013B,,,,24.16B,-10.40B,13.75B,1.225B,,1.225B,,,1.646B,1.599B,18.22B,23.24B,,4.255B,,4.255B,1.332B,5.587B,,,30.00M,,30.00M,,,601.00M,6.218B,,3.961B,,3.961B,2.169B,2.169B,,1.802B,7.932B,14.15B,,318.00M,8.57B,1.814B,,,-1.615B,9.087B,,,
2007-03,249.00M,,249.00M,3.457B,,3.457B,300.00M,,1.089B,326.00M,1.039B,,,482.00M,5.227B,,,,23.16B,-10.02B,13.14B,1.225B,,1.225B,,,1.532B,1.60B,17.50B,22.73B,,4.27B,,4.27B,1.332B,5.602B,,,30.00M,,30.00M,,,553.00M,6.185B,,4.111B,,4.111B,2.083B,2.083B,,1.735B,7.929B,14.11B,,317.00M,8.046B,1.755B,,,-1.505B,8.613B,,,
2006-12,383.00M,,383.00M,3.659B,214.00M,3.873B,496.00M,,1.185B,,1.005B,,,587.00M,5.848B,,17.45B,,21.98B,-9.672B,12.31B,1.253B,,1.253B,1.243B,,1.43B,360.00M,16.59B,22.44B,,4.803B,432.00M,5.235B,1.477B,6.712B,,,27.00M,,27.00M,,,,6.739B,824.00M,3.745B,,3.745B,2.116B,2.116B,,871.00M,7.556B,14.30B,,315.00M,7.707B,1.689B,,,-1.564B,8.147B,,AOR,Restated
2006-09,546.00M,,546.00M,3.229B,,3.229B,261.00M,,1.411B,287.00M,1.234B,,,246.00M,5.255B,,,,22.17B,-10.23B,11.94B,1.249B,,1.249B,,,1.501B,1.68B,16.37B,21.63B,,4.626B,,4.626B,1.224B,5.85B,,,29.00M,,29.00M,,,508.00M,6.387B,,3.746B,,3.746B,2.103B,2.103B,,1.661B,7.51B,13.90B,,295.00M,7.351B,1.686B,14.00M,,-1.602B,7.73B,,,
2006-06,486.00M,,486.00M,3.046B,,3.046B,483.00M,,1.518B,,1.148B,,,313.00M,4.993B,,,,21.90B,-10.22B,11.68B,1.249B,,1.249B,1.301B,121.00M,1.591B,307.00M,16.25B,21.24B,,4.864B,706.00M,5.57B,1.146B,6.716B,,,95.00M,,95.00M,,,,6.811B,866.00M,3.679B,,3.679B,2.011B,2.011B,,719.00M,7.275B,14.09B,,295.00M,7.094B,1.649B,14.00M,,-1.88B,7.158B,,AOR,
2006-03,504.00M,,504.00M,3.102B,,3.102B,447.00M,,912.00M,,668.00M,,,305.00M,4.579B,,,,21.11B,-10.14B,10.97B,1.246B,,1.246B,1.189B,121.00M,1.553B,227.00M,15.31B,19.88B,,4.497B,505.00M,5.002B,1.059B,6.061B,,,107.00M,,107.00M,,,,6.168B,632.00M,3.668B,,3.668B,1.925B,1.925B,,733.00M,6.958B,13.13B,,107.00M,6.57B,1.81B,14.00M,,-1.728B,6.759B,,AOR,
2005-12,315.00M,,315.00M,3.517B,138.00M,3.655B,362.00M,,1.149B,,855.00M,,,465.00M,5.29B,,15.34B,,19.46B,-9.952B,9.512B,977.00M,,977.00M,1.389B,,1.544B,403.00M,13.82B,19.12B,,4.995B,397.00M,5.392B,1.029B,6.421B,,,26.00M,,26.00M,,,,6.447B,564.00M,3.759B,,3.759B,1.401B,1.401B,,658.00M,6.382B,12.83B,,293.00M,5.914B,1.656B,293.00M,,-1.526B,6.286B,,AOR,Restated
2005-09,759.00M,,759.00M,3.082B,,3.082B,466.00M,,1.271B,,918.00M,,,704.00M,5.463B,,,,18.89B,-9.747B,9.143B,977.00M,,977.00M,1.303B,152.00M,1.568B,249.00M,13.39B,18.86B,,5.76B,483.00M,6.243B,849.00M,7.092B,,,78.00M,,78.00M,,,,7.17B,564.00M,3.709B,,3.709B,1.338B,1.338B,,550.00M,6.161B,13.33B,,107.00M,5.502B,1.83B,14.00M,,-1.861B,5.524B,,AOR,
2005-06,916.00M,,916.00M,2.417B,,2.417B,399.00M,,862.00M,,687.00M,,,470.00M,4.49B,,,,18.28B,-9.497B,8.78B,977.00M,,977.00M,1.305B,182.00M,1.498B,227.00M,12.97B,17.46B,,4.784B,466.00M,5.25B,828.00M,6.078B,,,25.00M,,25.00M,,,,6.103B,561.00M,3.761B,,3.761B,1.233B,1.233B,,534.00M,6.089B,12.19B,,107.00M,5.27B,1.817B,14.00M,,-1.867B,5.267B,,AOR,Restated
2005-03,834.00M,10.00M,844.00M,2.548B,,2.548B,190.00M,,623.00M,183.00M,578.00M,,,442.00M,4.412B,,,,17.84B,-9.257B,8.578B,,977.00M,977.00M,,,1.354B,1.595B,12.50B,16.92B,,4.362B,,4.362B,863.00M,5.225B,,,50.00M,,50.00M,,,535.00M,5.81B,,3.776B,,3.776B,1.227B,1.227B,,1.077B,6.08B,11.89B,,106.00M,5.01B,1.775B,14.00M,,-1.865B,5.026B,,,Restated
2004-12,877.00M,,877.00M,2.372B,182.00M,2.554B,342.00M,,700.00M,,596.00M,,,308.00M,4.335B,,13.92B,,17.63B,-9.127B,8.505B,977.00M,,977.00M,1.254B,212.00M,834.00M,195.00M,11.98B,16.31B,,3.28B,447.00M,3.727B,920.00M,4.647B,,,50.00M,,50.00M,,,,4.697B,511.00M,3.785B,,3.785B,1.184B,1.184B,,538.00M,6.018B,10.72B,,106.00M,4.831B,1.727B,14.00M,,-1.024B,5.597B,,AOR,Restated
2004-09,937.00M,119.00M,1.056B,2.065B,,2.065B,194.00M,,564.00M,170.00M,529.00M,,,428.00M,4.078B,,,,17.09B,-8.818B,8.274B,,977.00M,977.00M,,,817.00M,1.589B,11.66B,15.74B,,3.168B,,3.168B,895.00M,4.063B,,,50.00M,,50.00M,,,455.00M,4.568B,,3.786B,,3.786B,1.146B,1.146B,,974.00M,5.906B,10.47B,,106.00M,4.642B,1.721B,14.00M,,-1.208B,5.261B,,,Restated
2004-06,601.00M,10.00M,611.00M,1.948B,,1.948B,179.00M,,486.00M,144.00M,463.00M,,,274.00M,3.296B,,,,16.70B,-8.561B,8.144B,,977.00M,977.00M,,,643.00M,1.486B,11.25B,14.55B,,1.951B,,1.951B,699.00M,2.65B,,,104.00M,,104.00M,,,416.00M,3.17B,,3.785B,,3.785B,1.089B,1.089B,,935.00M,5.809B,8.979B,,105.00M,4.503B,1.686B,14.00M,,-727.00M,5.567B,,,Restated
2004-03,492.00M,65.00M,557.00M,2.099B,,2.099B,167.00M,,392.00M,117.00M,393.00M,,,147.00M,3.196B,,,,16.35B,-8.316B,8.036B,,977.00M,977.00M,,,503.00M,1.404B,10.92B,14.12B,,1.666B,,1.666B,754.00M,2.42B,,,73.00M,,73.00M,,,241.00M,2.734B,,3.855B,,3.855B,1.10B,1.10B,,938.00M,5.893B,8.627B,,104.00M,4.253B,1.612B,14.00M,,-480.00M,5.489B,,,
2003-12,518.00M,,518.00M,1.717B,185.00M,1.902B,305.00M,,567.00M,,579.00M,,,187.00M,3.186B,,12.42B,,16.10B,-8.122B,7.978B,977.00M,,977.00M,1.095B,302.00M,306.00M,139.00M,10.80B,13.98B,,1.542B,199.00M,1.741B,855.00M,2.596B,,,73.00M,,73.00M,,,,2.669B,462.00M,3.868B,,3.868B,1.144B,1.144B,,500.00M,5.974B,8.643B,,104.00M,4.011B,1.603B,14.00M,,-350.00M,5.34B,,AOR,Restated
2003-09,339.00M,,339.00M,1.502B,,1.502B,132.00M,,512.00M,173.00M,560.00M,,,137.00M,2.538B,,,,16.38B,-8.442B,7.942B,,977.00M,977.00M,,,404.00M,1.35B,10.67B,13.21B,,1.098B,,1.098B,679.00M,1.777B,,,189.00M,,189.00M,,,209.00M,2.175B,,4.301B,,4.301B,1.083B,1.083B,,938.00M,6.322B,8.497B,,90.00M,3.975B,963.00M,,,-314.00M,4.714B,,,
2003-06,677.00M,,677.00M,1.72B,,1.72B,130.00M,412.00M,,156.00M,449.00M,,,101.00M,2.947B,,,,15.83B,-8.172B,7.655B,,977.00M,977.00M,,,554.00M,1.467B,10.65B,13.60B,,1.385B,,1.385B,735.00M,2.12B,,,15.00M,,15.00M,,,408.00M,2.543B,,4.627B,,4.627B,957.00M,957.00M,,900.00M,6.484B,9.027B,,90.00M,3.856B,966.00M,,,-339.00M,4.573B,,,
2003-03,196.00M,,196.00M,2.316B,,2.316B,287.00M,,382.00M,,351.00M,,,105.00M,2.968B,,,,16.92B,-8.991B,7.933B,,977.00M,977.00M,,,568.00M,1.517B,11.00B,13.96B,,1.719B,,1.719B,708.00M,2.427B,,,15.00M,,15.00M,,,344.00M,2.786B,,4.834B,,4.834B,965.00M,965.00M,,992.00M,6.791B,9.577B,,90.00M,3.631B,965.00M,,,-300.00M,4.386B,,,
2002-12,197.00M,,197.00M,1.785B,187.00M,1.972B,256.00M,,497.00M,,492.00M,,,95.00M,2.756B,,12.29B,,16.15B,-9.117B,7.032B,977.00M,,977.00M,1.622B,363.00M,512.00M,,10.51B,13.26B,,1.401B,306.00M,1.707B,830.00M,2.537B,2.00M,14.00M,16.00M,,16.00M,,,,2.553B,,4.976B,,4.976B,1.044B,1.044B,,440.00M,6.46B,9.013B,,89.00M,3.482B,932.00M,,,-254.00M,4.249B,,AOR,Restated
2002-09,48.00M,,48.00M,1.773B,,1.773B,173.00M,,477.00M,94.00M,522.00M,,,131.00M,2.474B,,,,16.59B,-8.852B,7.741B,,977.00M,977.00M,,,451.00M,1.984B,11.15B,13.63B,,1.267B,,1.267B,791.00M,2.058B,3.00M,15.00M,18.00M,,18.00M,,,304.00M,2.38B,,5.065B,,5.065B,1.196B,1.196B,,303.00M,6.564B,8.944B,,89.00M,3.88B,932.00M,,,-218.00M,4.683B,,,
2002-06,35.00M,,35.00M,1.535B,,1.535B,153.00M,,431.00M,121.00M,531.00M,,,272.00M,2.373B,,,,17.51B,-9.197B,8.315B,982.00M,,982.00M,,,239.00M,1.953B,11.49B,13.86B,,1.046B,,1.046B,785.00M,1.831B,3.00M,14.00M,17.00M,,17.00M,,,370.00M,2.218B,,5.285B,,5.285B,1.137B,1.137B,,273.00M,6.695B,8.913B,,89.00M,4.042B,934.00M,,,-116.00M,4.949B,,,
2002-03,61.00M,,61.00M,1.827B,,1.827B,121.00M,,417.00M,93.00M,474.00M,,,273.00M,2.635B,,,,17.04B,-8.748B,8.292B,,982.00M,982.00M,,,275.00M,1.978B,11.53B,14.16B,,1.175B,,1.175B,800.00M,1.975B,9.00M,90.00M,99.00M,,99.00M,,,376.00M,2.45B,,5.456B,,5.456B,1.109B,1.109B,,345.00M,6.91B,9.36B,,89.00M,3.921B,917.00M,,,-125.00M,4.802B,,,
2001-12,37.00M,,37.00M,2.841B,121.00M,2.962B,221.00M,,440.00M,,550.00M,,,397.00M,3.946B,,11.72B,,16.63B,-8.462B,8.165B,982.00M,,982.00M,1.636B,395.00M,245.00M,,11.42B,15.37B,,1.807B,414.00M,2.221B,1.115B,3.336B,106.00M,276.00M,382.00M,,382.00M,,,,3.718B,,5.283B,,5.283B,1.111B,1.111B,,350.00M,6.744B,10.46B,,89.00M,3.807B,903.00M,,,108.00M,4.907B,,AOR,Restated
2001-09,65.00M,,65.00M,2.914B,,2.914B,117.00M,,478.00M,143.00M,553.00M,,,395.00M,3.927B,,,,16.23B,-8.174B,8.052B,,978.00M,978.00M,,,291.00M,2.043B,11.36B,15.29B,,2.013B,,2.013B,927.00M,2.94B,59.00M,275.00M,334.00M,,334.00M,,,497.00M,3.771B,,5.162B,,5.162B,1.117B,1.117B,,421.00M,6.70B,10.47B,,89.00M,3.78B,902.00M,,,49.00M,4.82B,,,
2001-06,58.00M,,58.00M,2.827B,,2.827B,90.00M,,478.00M,133.00M,479.00M,,,361.00M,3.725B,,,,13.15B,-7.92B,5.226B,,,,,,298.00M,1.615B,7.139B,10.86B,,1.784B,,1.784B,866.00M,2.65B,8.00M,274.00M,282.00M,,282.00M,,,477.00M,3.409B,,1.998B,,1.998B,485.00M,485.00M,,351.00M,2.834B,6.243B,,90.00M,3.691B,908.00M,,,-68.00M,4.621B,,,
2001-03,700.00M,,700.00M,2.80B,,2.80B,83.00M,,385.00M,110.00M,342.00M,,,179.00M,4.021B,,,,12.15B,-7.732B,4.421B,,,,,,324.00M,1.48B,6.225B,10.25B,,1.768B,,1.768B,760.00M,2.528B,2.00M,276.00M,278.00M,,278.00M,,,534.00M,3.34B,,1.764B,,1.764B,490.00M,490.00M,,366.00M,2.62B,5.96B,,89.00M,3.374B,893.00M,,,-70.00M,4.286B,,,
2000-12,312.00M,,312.00M,2.949B,47.00M,2.996B,180.00M,,502.00M,,401.00M,,,406.00M,4.115B,,1.399B,,11.90B,-7.575B,4.323B,0.00,,0.00,1.05B,443.00M,343.00M,,6.159B,10.27B,,1.875B,440.00M,2.315B,1.158B,3.473B,7.00M,58.00M,65.00M,,65.00M,,,,3.538B,,1.985B,,1.985B,510.00M,510.00M,,358.00M,2.853B,6.391B,,89.00M,3.069B,864.00M,,,-139.00M,3.883B,,,Restated
2000-09,259.00M,,259.00M,1.848B,,1.848B,,,,,367.00M,,,585.00M,3.059B,,,,11.62B,-7.423B,4.198B,,,,,,252.00M,1.56B,6.01B,9.069B,,1.389B,,1.389B,923.00M,2.312B,2.00M,57.00M,59.00M,,59.00M,,,329.00M,2.70B,,1.94B,,1.94B,516.00M,516.00M,,370.00M,2.826B,5.526B,,89.00M,2.769B,825.00M,,,-140.00M,3.543B,,,
2000-06,178.00M,,178.00M,1.896B,,1.896B,,,,,242.00M,,,556.00M,2.872B,,,,11.48B,-7.273B,4.209B,,,,,,278.00M,1.521B,6.008B,8.88B,,1.174B,,1.174B,1.002B,2.176B,20.00M,55.00M,75.00M,,75.00M,,,327.00M,2.578B,,2.039B,,2.039B,468.00M,468.00M,,387.00M,2.894B,5.472B,,90.00M,2.633B,815.00M,,,-130.00M,3.408B,,,
2000-03,26.00M,,26.00M,1.602B,,1.602B,,,,,272.00M,,,318.00M,2.218B,,,,11.13B,-7.149B,3.977B,,,,,,,1.839B,5.816B,8.034B,,804.00M,,804.00M,839.00M,1.643B,28.00M,5.00M,33.00M,,33.00M,,,291.00M,1.967B,,2.008B,,2.008B,433.00M,433.00M,,376.00M,2.817B,4.784B,,91.00M,2.489B,793.00M,,,-123.00M,3.25B,,,
1999-12,40.90M,,40.90M,1.175B,,1.175B,,,,,372.70M,,67.40M,171.60M,1.828B,,,,11.06B,-7.013B,4.052B,,,,,,317.80M,1.531B,5.900B,7.728B,,771.80M,,771.80M,621.30M,1.393B,17.90M,5.10M,23.00M,,23.00M,3.80M,3.80M,159.00M,1.579B,,2.287B,,2.287B,442.20M,442.20M,,381.70M,3.111B,4.690B,,90.70M,2.287B,782.30M,,,-122.10M,3.038B,,,Restated
1999-09,25.60M,,25.60M,1.342B,,1.342B,,,,,467.00M,,,219.20M,2.054B,,,,11.24B,-7.012B,4.228B,,,,,,220.90M,1.436B,5.885B,7.939B,,896.10M,,896.10M,645.00M,1.541B,33.80M,31.60M,65.40M,,65.40M,86.80M,86.80M,173.60M,1.867B,,2.336B,,2.336B,406.10M,406.10M,,403.40M,3.145B,5.012B,,90.70M,2.170B,782.00M,,,-115.80M,2.927B,,,
1999-06,82.30M,,82.30M,1.480B,,1.480B,,,,,428.00M,,,250.10M,2.240B,,,,11.19B,-6.933B,4.255B,,,,,,252.20M,1.458B,5.966B,8.206B,,1.102B,,1.102B,557.40M,1.659B,17.30M,32.30M,49.60M,,49.60M,174.70M,174.70M,151.10M,2.035B,,2.647B,,2.647B,366.90M,366.90M,,389.00M,3.403B,5.437B,,90.60M,2.025B,775.10M,,,-122.10M,2.768B,,,
1999-03,54.60M,,54.60M,1.274B,,1.274B,,,,,406.00M,,,228.60M,1.963B,,,,11.07B,-6.863B,4.204B,,,,,,317.40M,1.490B,6.012B,7.974B,,829.20M,,829.20M,532.60M,1.362B,32.50M,44.40M,76.90M,,76.90M,209.00M,209.00M,152.20M,1.800B,,2.609B,,2.609B,412.20M,412.20M,,459.60M,3.481B,5.281B,,90.40M,1.961B,764.90M,,-122.80M,-122.80M,2.694B,,,
1998-12,74.00M,,74.00M,1.013B,,1.013B,,,,,482.00M,,,318.00M,1.887B,,,,11.03B,-6.835B,4.192B,,,,,,,1.804B,5.996B,7.883B,,714.00M,,714.00M,,714.00M,,,176.00M,,176.00M,,,907.00M,1.797B,,2.476B,,2.476B,484.00M,484.00M,,483.00M,3.443B,5.24B,,,1.904B,,,,,2.643B,,,
1998-09,67.20M,,67.20M,1.084B,,1.084B,,,,,925.30M,,,277.30M,2.354B,,,,13.62B,-7.914B,5.707B,,,,,,318.20M,266.10M,6.292B,8.645B,,965.40M,,965.40M,414.40M,1.380B,37.00M,139.70M,176.70M,,176.70M,177.00M,177.00M,254.00M,1.988B,,2.488B,24.50M,2.513B,581.90M,581.90M,,456.40M,3.551B,5.539B,,90.40M,2.336B,764.80M,,-84.50M,-84.50M,3.107B,,,
1998-06,40.90M,,40.90M,656.10M,,656.10M,,,,,826.00M,,,199.50M,1.722B,,,,13.13B,-7.689B,5.436B,,,,,,356.50M,262.90M,6.055B,7.778B,,588.10M,,588.10M,445.40M,1.034B,76.30M,139.70M,216.00M,,216.00M,71.20M,71.20M,150.50M,1.471B,,2.132B,15.70M,2.148B,567.90M,567.90M,,459.10M,3.175B,4.646B,,91.00M,2.380B,770.00M,,-109.20M,-109.20M,3.132B,,,
1998-03,79.50M,,79.50M,726.70M,,726.70M,,,,,826.90M,,,189.30M,1.822B,,,,12.81B,-7.540B,5.271B,,,,,,324.20M,259.20M,5.854B,7.676B,,602.80M,,602.80M,373.00M,975.80M,3.60M,214.70M,218.30M,,218.30M,123.20M,123.20M,185.70M,1.503B,,1.935B,27.90M,1.963B,551.90M,551.90M,,459.10M,2.974B,4.477B,,91.40M,2.434B,773.70M,,-100.20M,-100.20M,3.199B,,,
1997-12,91.20M,,91.20M,993.00M,,993.00M,,,,,937.90M,,,181.50M,2.204B,,,,12.62B,-7.431B,5.191B,,,,,,,540.20M,5.731B,7.935B,,752.60M,,752.60M,,752.60M,,,102.50M,,102.50M,,,884.80M,1.740B,,2.003B,,2.003B,562.40M,562.40M,,413.60M,2.979B,4.719B,,,2.463B,,,,,3.216B,,,
1997-09,130.60M,,130.60M,636.80M,,636.80M,,,,,1.108B,,,198.00M,2.074B,,,,12.22B,-7.215B,5.010B,,,,,,,554.60M,5.564B,7.638B,,597.60M,,597.60M,448.20M,1.046B,54.50M,159.70M,214.20M,,214.20M,2.00M,2.00M,308.80M,1.571B,,1.780B,37.90M,1.818B,577.50M,577.50M,,381.30M,2.777B,4.348B,,91.70M,2.571B,755.00M,,-127.40M,-127.40M,3.290B,,,
1997-06,187.00M,,187.00M,520.30M,,520.30M,,,,,993.30M,,,141.40M,1.842B,,,,12.09B,-7.115B,4.976B,,,,,,,529.60M,5.506B,7.348B,,481.10M,,481.10M,429.90M,911.00M,155.00M,189.70M,344.70M,,344.70M,2.00M,2.00M,314.70M,1.572B,,1.533B,,1.533B,586.30M,586.30M,,350.30M,2.469B,4.042B,,91.70M,2.565B,755.20M,,-106.20M,-106.20M,3.306B,,,
1997-03,299.70M,,299.70M,673.60M,,673.60M,,,,,966.30M,,,141.70M,2.081B,,,,11.85B,-7.024B,4.824B,,,,,,,473.60M,5.298B,7.379B,,531.70M,,531.70M,459.30M,991.00M,,,189.70M,,189.70M,50.40M,50.40M,340.40M,1.572B,,1.505B,48.70M,1.553B,593.10M,593.10M,,341.90M,2.488B,4.060B,,92.80M,2.592B,752.50M,,-118.40M,-118.40M,3.319B,,,
1996-12,112.50M,,112.50M,848.10M,,848.10M,,,,,1.272B,,,193.90M,2.427B,,,,11.90B,-6.995B,4.907B,,,,,,,450.40M,5.358B,7.784B,,666.20M,,666.20M,501.40M,1.168B,18.00M,189.70M,207.70M,,207.70M,103.00M,103.00M,258.70M,1.737B,,1.661B,50.80M,1.712B,616.90M,616.90M,,335.20M,2.664B,4.401B,,93.10M,2.614B,754.60M,,-77.90M,-77.90M,3.384B,,,
1996-09,84.80M,,84.80M,601.90M,,601.90M,,,,,1.132B,,,168.60M,1.988B,,,,11.44B,-6.600B,4.844B,,,,,,,473.40M,5.317B,7.305B,,536.60M,,536.60M,579.20M,1.116B,,,114.70M,,114.70M,14.60M,14.60M,277.60M,1.523B,,1.692B,,1.692B,560.70M,560.70M,,326.50M,2.580B,4.102B,,93.10M,2.515B,750.90M,,-156.80M,-156.80M,3.203B,,,
1996-06,34.20M,,34.20M,690.50M,,690.50M,,,,,910.40M,,,184.60M,1.820B,,,,11.82B,-7.055B,4.764B,,,,,,,452.60M,5.217B,7.037B,,470.60M,,470.60M,561.50M,1.032B,12.80M,84.70M,97.50M,,97.50M,60.80M,60.80M,292.10M,1.482B,,1.524B,55.50M,1.579B,,,,863.80M,2.443B,3.925B,,93.10M,2.432B,750.60M,,-163.90M,-163.90M,3.111B,,,
1996-03,71.70M,,71.70M,769.10M,,769.10M,,,,,898.60M,,,268.60M,2.008B,,,,13.08B,-7.818B,5.262B,,,,,,,460.80M,5.723B,7.731B,,469.00M,,469.00M,569.40M,1.038B,21.40M,84.70M,106.10M,,106.10M,105.40M,105.40M,228.20M,1.478B,,2.640B,,2.640B,596.90M,596.90M,,316.60M,3.553B,5.031B,,93.00M,2.069B,743.20M,,-205.20M,-205.20M,2.700B,,,
1995-12,56.10M,,56.10M,798.30M,,798.30M,,,,,838.80M,,,269.30M,1.962B,,,,13.06B,-7.694B,5.370B,,,,,,,424.20M,5.794B,7.756B,,443.50M,,443.50M,,443.50M,,,194.70M,,194.70M,,,966.40M,1.605B,,2.587B,,2.587B,602.80M,602.80M,,301.20M,3.491B,5.096B,,,2.017B,,,,,2.660B,,,
1995-09,88.70M,,88.70M,675.90M,,675.90M,,,,,930.10M,172.10M,,,1.867B,,,,14.62B,-8.510B,6.109B,,,,,,,277.00M,6.386B,8.253B,,484.40M,,484.40M,607.30M,1.092B,130.00M,104.00M,234.00M,,234.00M,,,202.90M,1.529B,,2.793B,74.00M,2.867B,627.90M,627.90M,,260.70M,3.756B,5.285B,,93.00M,2.306B,744.10M,,-174.60M,-174.60M,2.968B,,,
1995-06,48.30M,,48.30M,564.90M,,564.90M,,,,,926.70M,112.60M,,,1.652B,,,,14.60B,-8.375B,6.228B,,,,,,,266.20M,6.494B,8.147B,,338.90M,,338.90M,586.50M,925.40M,11.80M,136.70M,148.50M,,148.50M,,,193.50M,1.267B,,2.874B,74.50M,2.948B,594.60M,594.60M,,249.80M,3.793B,5.06B,,93.00M,2.424B,743.80M,,-174.40M,-174.40M,3.087B,,,
1995-03,37.80M,,37.80M,575.20M,,575.20M,,,,,841.20M,151.30M,,-0.10M,1.605B,,,,14.55B,-8.221B,6.332B,,,,,,,259.00M,6.591B,8.197B,,288.90M,,288.90M,537.10M,826.00M,5.90M,129.80M,135.70M,,135.70M,,,163.10M,1.125B,,3.009B,83.60M,3.093B,578.00M,578.00M,,254.20M,3.925B,5.050B,,93.00M,2.478B,743.40M,,-168.00M,-168.00M,3.147B,,,
1994-12,53.10M,,53.10M,570.50M,,570.50M,,,,,945.60M,,,152.50M,1.722B,,,,14.30B,-7.939B,6.366B,,,,,,,250.20M,6.616B,8.338B,,291.60M,,291.60M,533.60M,825.20M,63.70M,121.80M,185.50M,,185.50M,21.70M,21.70M,169.00M,1.201B,,3.154B,80.90M,3.235B,547.50M,547.50M,,254.30M,4.037B,5.238B,,93.00M,2.467B,743.50M,,-204.20M,-204.20M,3.100B,,,
1994-09,36.40M,,36.40M,477.50M,,477.50M,,,,,1.009B,180.90M,,,1.704B,,,,14.24B,-7.750B,6.494B,,,,,,,235.30M,6.730B,8.434B,,284.80M,,284.80M,563.40M,848.20M,16.00M,179.20M,195.20M,,195.20M,20.60M,20.60M,154.10M,1.218B,,3.228B,90.20M,3.318B,544.30M,544.30M,,228.90M,4.091B,5.309B,,93.00M,2.472B,742.40M,,-183.60M,-183.60M,3.124B,,,
1994-06,34.80M,,34.80M,518.80M,,518.80M,122.00M,,444.80M,390.60M,957.40M,193.40M,,,1.704B,,,,14.02B,-7.484B,6.538B,,,,,,,222.10M,6.761B,8.465B,,477.60M,,477.60M,530.40M,1.008B,3.00M,151.60M,154.60M,,154.60M,49.80M,49.80M,135.00M,1.347B,,3.172B,87.70M,3.260B,519.00M,519.00M,,231.90M,4.011B,5.358B,,93.00M,2.488B,743.60M,,-218.50M,-218.50M,3.106B,,,
1994-03,84.30M,,84.30M,492.70M,,492.70M,,,,,807.50M,183.10M,,,1.568B,,,,13.86B,-7.24B,6.616B,,,,,,,218.10M,6.835B,8.402B,,321.40M,,321.40M,549.50M,870.90M,28.00M,96.00M,124.00M,,124.00M,76.50M,76.50M,142.20M,1.214B,,3.277B,91.20M,3.368B,481.50M,481.50M,,229.80M,4.080B,5.293B,,93.00M,2.519B,744.20M,,-247.30M,-247.30M,3.109B,,,
