,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2012-09,3.072B,3.072B,1.799B,1.273B,,134.00M,134.00M,168.00M,104.00M,-104.00M,259.00M,393.00M,880.00M,104.00M,-104.00M,214.00M,-104.00M,990.00M,480.00M,510.00M,82.00M,,-35.00M,,557.00M,365.80M,1.822B,728.00M,1.094B,,1.49,0.16,,1.167,1.65,,1.48,0.16,,1.159,1.64,,338.60M,340.00M,0.10,,AOR,Restated
2012-06,3.324B,3.324B,1.755B,1.569B,,144.00M,144.00M,-59.00M,105.00M,-105.00M,196.00M,340.00M,1.229B,105.00M,-105.00M,-62.00M,-105.00M,1.062B,522.00M,540.00M,-5.00M,,14.00M,,549.00M,592.35M,1.913B,746.00M,1.167B,,1.58,0.04,,1.693,1.62,,1.58,0.03,,1.693,1.61,,338.50M,340.40M,0.10,,AOR,Restated
2012-03,2.896B,2.896B,1.605B,1.291B,,132.00M,132.00M,36.00M,104.00M,-104.00M,253.00M,385.00M,906.00M,104.00M,-104.00M,65.00M,-104.00M,867.00M,328.00M,539.00M,21.00M,,-15.00M,,545.00M,501.62M,1.633B,662.00M,971.00M,,1.58,0.03,,1.514,1.61,,1.57,0.03,,1.504,1.60,,338.00M,340.30M,0.10,,AOR,Restated
2011-12,-7.282B,-7.282B,-6.548B,-734.00M,18.00M,98.00M,116.00M,132.00M,93.00M,-93.00M,299.00M,-1.317B,583.00M,93.00M,-93.00M,-909.00M,-93.00M,-419.00M,-140.00M,-279.00M,,,3.00M,,-131.00M,-363.89M,315.00M,641.00M,-326.00M,,-0.83,0.43,,-1.090,-0.40,,-0.83,0.43,,-1.088,-0.40,,337.50M,340.20M,0.10,,AOR,Restated
2011-09,8.665B,8.665B,6.79B,1.875B,266.00M,177.00M,443.00M,-297.00M,94.00M,-94.00M,242.00M,1.271B,604.00M,94.00M,-94.00M,-297.00M,-94.00M,213.00M,-54.00M,267.00M,,,31.00M,,298.00M,491.05M,893.00M,586.00M,307.00M,,0.89,0.00,,1.462,0.89,,0.88,0.00,,1.447,0.88,,337.40M,340.20M,0.10,,AOR,Restated
2011-06,9.853B,9.853B,7.44B,2.413B,247.00M,174.00M,421.00M,2.00M,97.00M,-97.00M,299.00M,1.308B,1.105B,97.00M,-97.00M,-47.00M,-97.00M,961.00M,392.00M,569.00M,,,38.00M,,607.00M,605.70M,1.646B,588.00M,1.058B,,1.80,0.00,,1.796,1.80,,1.78,0.00,,1.776,1.78,,337.20M,340.40M,0.10,,AOR,Restated
2011-03,10.22B,10.22B,7.571B,2.644B,283.00M,164.00M,447.00M,348.00M,99.00M,-99.00M,355.00M,1.36B,1.284B,99.00M,-99.00M,300.00M,-99.00M,1.485B,511.00M,974.00M,,,-45.00M,,929.00M,700.75M,2.142B,558.00M,1.584B,,2.77,0.00,,2.090,2.77,,2.74,0.00,,2.067,2.74,,335.80M,339.20M,0.10,,AOR,Restated
2010-12,9.007B,9.007B,9.07B,-63.00M,291.00M,197.00M,488.00M,-34.00M,100.00M,-100.00M,359.00M,-837.00M,774.00M,100.00M,-100.00M,-317.00M,-100.00M,357.00M,274.00M,83.00M,,,-25.00M,,58.00M,80.10M,1.09B,633.00M,457.00M,,0.16,,,0.2275,0.16,,0.16,,,0.2267,0.16,,327.50M,331.30M,0.10,,AOR,Restated
2010-09,7.864B,7.864B,5.805B,2.059B,232.00M,151.00M,383.00M,640.00M,94.00M,-94.00M,264.00M,1.231B,828.00M,94.00M,-94.00M,557.00M,-94.00M,1.291B,200.00M,1.091B,,,63.00M,,1.154B,613.15M,1.969B,584.00M,1.385B,,3.54,0.00,,1.877,3.54,,3.52,0.00,,1.869,3.52,,325.20M,327.60M,0.10,,AOR,Restated
2010-06,7.732B,7.732B,5.756B,1.976B,245.00M,159.00M,404.00M,24.00M,83.00M,-83.00M,252.00M,1.214B,762.00M,83.00M,-83.00M,18.00M,-83.00M,697.00M,301.00M,396.00M,,,-21.00M,,375.00M,359.40M,1.338B,558.00M,780.00M,,1.15,0.00,,1.102,1.15,,1.15,0.00,,1.102,1.15,,325.30M,327.50M,0.10,,AOR,Restated
