,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-12,699.40M,699.40M,414.40M,155.20M,569.60M,60.50M,28.30M,254.30M,274.70M,62.90M,69.50M,,1.676B,22.90M,250.10M,621.70M,,894.70M,-546.90M,347.80M,814.30M,206.20M,1.020B,,248.60M,88.20M,66.20M,1.771B,3.447B,,201.30M,12.00M,213.30M,302.10M,515.40M,164.70M,,,,164.70M,,164.70M,19.30M,19.30M,40.50M,739.90M,902.10M,,902.10M,97.80M,97.80M,316.60M,15.60M,85.40M,1.402B,2.142B,,67.30M,1.529B,154.40M,392.20M,-68.40M,1.29B,,AOR,Restated
2009-09,709.00M,709.00M,397.90M,110.50M,508.40M,64.80M,28.70M,267.40M,286.20M,94.10M,61.00M,,1.659B,21.70M,248.50M,627.80M,,898.00M,-551.40M,346.60M,820.20M,210.50M,1.031B,109.40M,49.60M,71.30M,71.00M,1.679B,3.337B,,112.00M,6.50M,118.50M,295.00M,413.50M,167.00M,,,41.20M,208.20M,,208.20M,20.90M,20.90M,,642.60M,902.40M,,902.40M,101.40M,101.40M,275.40M,15.50M,85.00M,1.364B,2.007B,,67.30M,1.510B,157.70M,392.40M,-27.10M,1.315B,,AOR,Restated
2009-06,524.40M,524.40M,472.60M,,472.60M,67.60M,29.60M,287.60M,302.80M,84.80M,59.70M,,1.444B,21.00M,233.70M,582.10M,,836.80M,-499.00M,337.80M,806.40M,213.40M,1.020B,,,63.10M,142.00M,1.563B,3.007B,,108.10M,5.20M,113.30M,221.20M,334.50M,166.70M,,,,166.70M,,166.70M,23.80M,23.80M,42.90M,621.10M,652.60M,,652.60M,94.80M,94.80M,214.60M,23.80M,137.70M,1.100B,1.721B,,67.20M,1.502B,155.00M,392.60M,-68.70M,1.262B,,AOR,Restated
2009-03,400.70M,400.70M,478.30M,,478.30M,70.30M,32.60M,319.90M,340.70M,80.20M,56.50M,,1.356B,19.70M,220.70M,560.30M,,800.70M,-479.20M,321.50M,781.30M,213.20M,994.50M,,,70.50M,133.90M,1.520B,2.877B,,119.00M,7.80M,126.80M,202.10M,328.90M,164.10M,,,,164.10M,,164.10M,23.80M,23.80M,43.10M,603.90M,652.90M,,652.90M,94.10M,94.10M,264.90M,20.10M,87.30M,1.099B,1.703B,,67.20M,1.481B,156.60M,393.30M,-158.00M,1.154B,,AOR,Restated
2008-12,115.80M,115.80M,462.20M,59.90M,522.10M,69.80M,30.50M,342.20M,359.20M,79.50M,64.10M,,1.141B,20.70M,227.60M,556.20M,,804.50M,-476.70M,327.80M,801.80M,218.30M,1.020B,29.30M,38.00M,77.20M,77.20M,1.570B,2.710B,,126.00M,,126.00M,284.30M,410.30M,12.00M,,,,12.00M,,12.00M,,,46.90M,547.50M,503.40M,,503.40M,95.00M,95.00M,209.10M,18.00M,150.80M,958.30M,1.506B,,67.20M,1.464B,155.50M,393.40M,-106.50M,1.186B,,AOR,Restated
2008-09,118.30M,118.30M,606.20M,,606.20M,81.00M,33.40M,355.60M,388.00M,90.10M,78.90M,,1.282B,22.90M,231.30M,569.30M,,823.50M,-497.40M,326.10M,828.50M,231.90M,1.060B,,,10.80M,200.70M,1.598B,2.880B,,171.70M,,171.70M,364.50M,536.20M,15.30M,,,,15.30M,,15.30M,23.60M,23.60M,80.70M,655.80M,500.60M,,500.60M,93.80M,93.80M,,,249.10M,843.50M,1.499B,,67.20M,1.422B,152.30M,393.50M,131.70M,1.380B,,,Restated
2008-06,140.60M,140.60M,617.50M,,617.50M,73.70M,35.20M,347.00M,378.10M,87.30M,84.30M,,1.308B,23.90M,236.00M,573.00M,,832.90M,-501.60M,331.30M,854.30M,239.80M,1.094B,,,12.80M,199.60M,1.638B,2.946B,,184.30M,,184.30M,357.20M,541.50M,22.70M,,,,22.70M,,22.70M,26.10M,26.10M,81.90M,672.20M,500.50M,,500.50M,96.80M,96.80M,,,260.80M,858.10M,1.530B,,67.20M,1.385B,148.90M,392.10M,206.00M,1.415B,,,Restated
2008-03,114.30M,114.30M,620.30M,,620.30M,69.40M,35.00M,324.00M,351.70M,98.00M,80.60M,,1.265B,24.00M,243.40M,566.30M,,833.70M,-505.20M,328.50M,855.30M,241.60M,1.097B,,,19.50M,200.50M,1.645B,2.910B,,197.10M,,197.10M,334.80M,531.90M,20.50M,,,,20.50M,,20.50M,25.50M,25.50M,77.20M,655.10M,502.70M,,502.70M,98.40M,98.40M,,,267.20M,868.30M,1.523B,,67.20M,1.336B,139.40M,370.40M,214.90M,1.387B,,,Restated
2007-12,93.00M,93.00M,586.90M,,586.90M,64.00M,33.60M,299.80M,322.40M,98.10M,87.00M,,1.187B,22.90M,224.20M,544.80M,,791.90M,-487.10M,304.80M,818.80M,234.80M,1.054B,,,22.00M,140.30M,1.578B,2.765B,,171.60M,25.50M,197.10M,253.70M,450.80M,15.90M,,,,15.90M,,15.90M,25.90M,25.90M,51.00M,639.20M,502.00M,,502.00M,91.20M,91.20M,85.30M,,167.30M,845.80M,1.485B,,67.10M,1.297B,137.90M,364.40M,142.80M,1.280B,,,Restated
2007-09,92.60M,92.60M,566.90M,,566.90M,64.30M,37.10M,312.20M,330.60M,87.60M,72.90M,,1.151B,24.00M,226.40M,551.40M,,801.80M,-500.90M,300.90M,824.60M,215.80M,1.040B,,,59.60M,174.40M,1.575B,2.726B,,169.10M,,169.10M,334.80M,503.90M,26.50M,,,,26.50M,,26.50M,25.90M,25.90M,76.10M,632.40M,501.60M,,501.60M,83.00M,83.00M,,,316.30M,900.90M,1.533B,,67.10M,1.257B,134.40M,356.90M,91.20M,1.193B,,,
2007-06,72.00M,72.00M,561.20M,,561.20M,62.80M,35.40M,310.30M,323.90M,78.80M,67.50M,,1.103B,23.90M,231.60M,539.80M,,795.30M,-501.70M,293.60M,786.00M,242.80M,1.029B,,,58.80M,175.70M,1.557B,2.660B,,185.30M,,185.30M,323.60M,508.90M,19.70M,,,,19.70M,,19.70M,25.10M,25.10M,70.00M,623.70M,501.40M,,501.40M,83.70M,83.70M,,,314.50M,899.60M,1.523B,,67.10M,1.231B,129.70M,338.10M,46.90M,1.137B,,,
2007-03,61.30M,61.30M,567.90M,,567.90M,67.70M,37.50M,308.40M,326.90M,100.80M,71.50M,,1.128B,24.60M,238.10M,546.10M,,808.80M,-512.00M,296.80M,781.10M,245.70M,1.027B,,,61.90M,166.50M,1.552B,2.680B,,193.30M,,193.30M,331.70M,525.00M,60.30M,,,,60.30M,,60.30M,32.10M,32.10M,69.40M,686.80M,503.90M,,503.90M,82.20M,82.20M,,,314.30M,900.40M,1.587B,,67.10M,1.203B,122.00M,325.90M,26.70M,1.093B,,,
2006-12,63.40M,63.40M,559.20M,,559.20M,64.10M,35.20M,310.40M,323.00M,91.60M,76.00M,,1.113B,24.30M,236.70M,540.90M,,801.90M,-504.80M,297.10M,776.10M,257.80M,1.034B,,,55.30M,155.00M,1.541B,2.654B,,178.80M,,178.80M,131.80M,310.60M,43.60M,,,,43.60M,,43.60M,25.30M,25.30M,302.50M,682.00M,505.60M,,505.60M,88.90M,88.90M,,,301.70M,896.20M,1.578B,,67.10M,1.180B,121.90M,294.80M,1.80M,1.076B,,,
2006-09,246.00M,246.00M,502.40M,,502.40M,60.40M,35.30M,294.40M,312.60M,69.40M,81.40M,,1.212B,23.70M,231.80M,531.10M,,786.60M,-506.70M,279.90M,419.60M,65.20M,484.80M,,,66.80M,126.20M,957.70M,2.170B,,168.00M,,168.00M,315.50M,483.50M,17.70M,,,,17.70M,,17.70M,19.00M,19.00M,79.80M,600.00M,198.10M,,198.10M,73.10M,73.10M,,,266.90M,538.10M,1.138B,,67.10M,1.158B,120.80M,268.50M,-46.20M,1.031B,,,
2006-06,190.10M,190.10M,509.20M,,509.20M,65.90M,36.10M,287.50M,310.50M,75.60M,69.90M,,1.155B,23.60M,230.30M,524.00M,,777.90M,-499.20M,278.70M,416.30M,65.50M,481.80M,,,63.20M,128.20M,951.90M,2.107B,,151.90M,,151.90M,305.10M,457.00M,17.30M,,,,17.30M,,17.30M,24.10M,24.10M,69.10M,567.50M,196.70M,,196.70M,73.30M,73.30M,,,268.80M,538.80M,1.106B,,67.10M,1.146B,116.30M,243.30M,-85.10M,1.001B,,,
2006-03,182.90M,182.90M,513.70M,,513.70M,65.60M,34.00M,274.40M,293.40M,71.80M,73.00M,,1.135B,23.10M,227.40M,544.70M,,795.20M,-503.60M,291.60M,402.40M,64.60M,467.00M,,,60.90M,117.70M,937.20M,2.072B,,162.20M,,162.20M,251.80M,414.00M,31.00M,,,,31.00M,,31.00M,28.90M,28.90M,82.90M,556.80M,197.20M,,197.20M,72.50M,72.50M,,,268.60M,538.30M,1.095B,,67.10M,1.150B,115.60M,211.00M,-144.90M,976.90M,,,
2005-12,170.40M,170.40M,485.90M,,485.90M,62.70M,33.60M,269.00M,283.20M,57.10M,76.30M,,1.073B,23.40M,229.20M,556.10M,,808.70M,-513.20M,295.50M,,462.30M,462.30M,,,57.80M,119.90M,935.50M,2.008B,,135.40M,,135.40M,241.80M,377.20M,24.80M,,,,24.80M,,24.80M,26.60M,26.60M,77.50M,506.10M,201.70M,,201.70M,75.30M,75.30M,,,263.10M,540.10M,1.046B,,67.00M,1.144B,113.30M,185.00M,-176.90M,962.20M,,,
2005-09,178.30M,178.30M,511.00M,,511.00M,59.50M,42.20M,306.10M,327.60M,62.00M,84.00M,,1.163B,23.50M,208.70M,551.30M,,783.50M,-504.10M,279.40M,,466.60M,466.60M,,,4.20M,247.50M,997.70M,2.161B,,137.10M,,137.10M,265.70M,402.80M,108.50M,,,,108.50M,,108.50M,27.40M,27.40M,75.10M,613.80M,202.20M,,202.20M,85.20M,85.20M,,,224.60M,512.00M,1.126B,,67.00M,1.116B,109.20M,301.60M,43.80M,1.035B,,,
2005-06,130.60M,130.60M,514.70M,,514.70M,67.10M,42.00M,335.90M,366.60M,72.60M,83.70M,,1.168B,23.40M,208.80M,556.80M,,789.00M,-505.10M,283.90M,,467.00M,467.00M,,,8.00M,250.60M,1.010B,2.178B,,173.90M,,173.90M,252.40M,426.30M,108.50M,,,,108.50M,,108.50M,27.90M,27.90M,70.90M,633.60M,203.20M,,203.20M,81.60M,81.60M,,,221.40M,506.20M,1.140B,,67.00M,1.124B,103.60M,165.50M,-91.50M,1.038B,,,
2005-03,145.40M,145.40M,550.30M,,550.30M,70.20M,44.40M,310.40M,348.60M,71.70M,82.90M,,1.199B,24.30M,215.50M,564.70M,,804.50M,-506.20M,298.30M,,492.20M,492.20M,,,8.70M,254.30M,1.054B,2.252B,,201.00M,,201.00M,240.60M,441.60M,129.00M,,,,129.00M,,129.00M,31.00M,31.00M,71.90M,673.50M,202.10M,,202.10M,79.00M,79.00M,,,221.60M,502.70M,1.176B,,67.00M,1.112B,92.40M,160.60M,-34.70M,1.076B,,,
2004-12,150.00M,150.00M,542.00M,,542.00M,69.60M,40.00M,308.60M,341.90M,81.60M,77.10M,,1.193B,25.70M,223.00M,578.90M,,827.60M,-514.00M,313.60M,,511.10M,511.10M,,,9.40M,263.40M,1.098B,2.290B,,194.90M,,194.90M,256.50M,451.40M,127.80M,,,,127.80M,,127.80M,26.20M,26.20M,68.80M,674.20M,203.20M,,203.20M,76.50M,76.50M,,,225.50M,505.20M,1.179B,,67.00M,1.109B,105.80M,299.90M,129.10M,1.111B,,,
2004-09,153.30M,153.30M,527.50M,,527.50M,69.60M,39.90M,316.50M,345.30M,80.40M,75.20M,,1.182B,24.90M,214.40M,569.80M,,809.10M,-507.00M,302.10M,,478.80M,478.80M,,,10.70M,177.20M,968.80M,2.150B,,200.80M,,200.80M,237.00M,437.80M,28.30M,,,,28.30M,,28.30M,23.00M,23.00M,68.60M,557.70M,303.50M,,303.50M,46.70M,46.70M,,,240.50M,590.70M,1.148B,,67.00M,1.099B,79.90M,144.10M,-99.70M,1.002B,,,
2004-06,126.60M,126.60M,556.90M,,556.90M,78.60M,44.50M,301.90M,344.30M,79.30M,72.60M,,1.180B,26.20M,217.80M,574.00M,,818.00M,-508.20M,309.80M,,475.70M,475.70M,,,8.50M,172.40M,966.40M,2.146B,,205.20M,,205.20M,257.40M,462.60M,27.90M,,,,27.90M,,27.90M,23.10M,23.10M,79.20M,592.80M,302.70M,,302.70M,33.50M,33.50M,,,236.80M,573.00M,1.166B,,67.00M,1.091B,102.40M,139.30M,-140.50M,980.30M,,,
2004-03,107.60M,107.60M,574.70M,,574.70M,78.50M,44.50M,311.00M,353.00M,86.10M,73.30M,,1.195B,26.40M,218.00M,579.80M,,824.20M,-506.90M,317.30M,,478.40M,478.40M,,,11.90M,169.50M,977.10M,2.172B,,215.80M,,215.80M,256.40M,472.20M,28.80M,,,,28.80M,,28.80M,21.80M,21.80M,81.60M,604.40M,303.80M,,303.80M,33.30M,33.30M,,,234.90M,572.00M,1.176B,,67.00M,1.083B,100.70M,119.40M,-135.70M,995.40M,,,
2003-12,96.10M,96.10M,546.80M,,546.80M,80.70M,46.50M,305.70M,351.10M,66.30M,71.40M,,1.132B,26.90M,217.80M,580.40M,,825.10M,-496.50M,328.60M,,487.10M,487.10M,,,16.10M,175.00M,1.007B,2.138B,,189.70M,,189.70M,,189.70M,30.20M,,,,30.20M,,30.20M,20.60M,20.60M,326.70M,567.20M,303.00M,,303.00M,34.30M,34.30M,,,223.10M,560.40M,1.128B,,67.00M,1.085B,94.50M,114.70M,-120.60M,1.011B,,,
2003-09,85.40M,85.40M,561.20M,,561.20M,90.90M,47.00M,316.80M,365.20M,119.10M,,,1.131B,25.60M,216.30M,570.80M,,812.70M,-487.20M,325.50M,,466.10M,466.10M,,,61.50M,123.90M,977.00M,2.108B,,175.40M,,175.40M,235.20M,410.60M,31.80M,,,,31.80M,,31.80M,31.80M,31.80M,84.30M,558.50M,303.90M,,303.90M,35.40M,35.40M,,,282.00M,621.30M,1.180B,,66.90M,1.082B,72.00M,110.30M,-182.40M,928.10M,,,
2003-06,22.80M,22.80M,580.10M,,580.10M,92.60M,47.00M,340.10M,385.10M,127.90M,,,1.116B,25.60M,212.40M,572.30M,,810.30M,-475.30M,335.00M,,465.90M,465.90M,,,65.00M,124.00M,989.90M,2.106B,,176.60M,,176.60M,249.60M,426.20M,31.90M,,,,31.90M,,31.90M,29.60M,29.60M,83.10M,570.80M,305.00M,,305.00M,35.70M,35.70M,,,267.40M,608.10M,1.179B,,66.90M,1.079B,80.30M,106.00M,-193.10M,926.90M,,,
2003-03,15.40M,15.40M,561.00M,,561.00M,91.20M,43.70M,328.00M,368.20M,120.50M,,,1.065B,24.40M,208.00M,556.00M,,788.40M,-455.30M,333.10M,,441.80M,441.80M,,,61.70M,121.80M,958.40M,2.024B,,180.30M,,180.30M,218.10M,398.40M,54.70M,,,,54.70M,,54.70M,29.30M,29.30M,87.10M,569.50M,304.20M,,304.20M,32.80M,32.80M,,,259.50M,596.50M,1.166B,,66.90M,1.071B,59.30M,106.00M,-234.00M,857.50M,,,
2002-12,18.40M,18.40M,556.20M,,556.20M,86.20M,42.00M,337.50M,369.90M,106.50M,,,1.051B,23.80M,202.90M,541.80M,,768.50M,-438.30M,330.20M,,432.10M,432.10M,,,60.90M,119.90M,943.10M,1.994B,,170.90M,,170.90M,206.70M,377.60M,56.40M,,,,56.40M,,56.40M,42.50M,42.50M,75.90M,552.40M,304.30M,,304.30M,33.60M,33.60M,,,273.40M,611.30M,1.164B,,66.90M,1.064B,72.90M,249.80M,-123.80M,830.40M,,,
2002-09,6.90M,6.90M,591.80M,,591.80M,92.40M,46.20M,362.70M,405.90M,128.10M,,,1.133B,23.40M,196.10M,534.40M,,753.90M,-426.10M,327.80M,,416.60M,416.60M,,,28.90M,91.20M,864.50M,1.997B,,186.20M,,186.20M,264.30M,450.50M,103.00M,,,,103.00M,,103.00M,43.90M,43.90M,41.20M,638.60M,304.80M,,304.80M,32.90M,32.90M,,,173.40M,511.10M,1.150B,,66.90M,1.046B,48.20M,222.50M,-90.80M,847.50M,,,
2002-06,6.20M,6.20M,636.40M,,636.40M,88.90M,51.20M,369.80M,414.50M,139.20M,,,1.196B,24.10M,198.10M,528.40M,,750.60M,-418.50M,332.10M,,418.80M,418.80M,,,29.00M,98.40M,878.30M,2.075B,,203.10M,,203.10M,270.40M,473.50M,19.70M,,,,19.70M,,19.70M,46.30M,46.30M,47.20M,586.70M,430.40M,,430.40M,27.80M,27.80M,,,179.20M,637.40M,1.224B,,66.90M,1.040B,81.50M,256.50M,-81.90M,850.50M,,,
2002-03,5.40M,5.40M,633.10M,,633.10M,80.40M,46.30M,355.20M,386.80M,135.80M,,,1.161B,22.80M,191.00M,507.50M,,721.30M,-401.10M,320.20M,,393.90M,393.90M,,,26.90M,81.80M,822.80M,1.984B,,177.40M,,177.40M,237.40M,414.80M,29.10M,,,,29.10M,,29.10M,45.40M,45.40M,50.60M,539.90M,459.10M,,459.10M,25.90M,25.90M,,,173.30M,658.30M,1.198B,,66.90M,1.025B,107.60M,93.30M,-320.70M,785.70M,,,
2001-12,6.70M,6.70M,572.80M,,572.80M,77.20M,41.50M,351.40M,375.20M,142.30M,,,1.097B,23.40M,195.50M,501.30M,,720.20M,-392.50M,327.70M,,391.90M,391.90M,,,27.70M,130.00M,877.30M,1.974B,,141.20M,,141.20M,272.20M,413.40M,29.10M,,,,29.10M,,29.10M,45.00M,45.00M,61.90M,549.40M,445.50M,,445.50M,24.70M,24.70M,,,178.90M,649.10M,1.198B,,66.80M,1.015B,108.00M,293.10M,-120.60M,775.80M,,,
2001-09,5.50M,5.50M,622.40M,,622.40M,88.40M,47.40M,388.00M,429.60M,133.70M,,,1.191B,23.70M,197.20M,492.60M,,713.50M,-388.50M,325.00M,,401.20M,401.20M,,,33.60M,64.90M,824.70M,2.016B,,147.60M,,147.60M,,147.60M,42.40M,,,,42.40M,,42.40M,,,334.80M,524.80M,490.20M,,490.20M,22.70M,22.70M,,,161.50M,674.40M,1.199B,,66.90M,1.046B,37.30M,223.30M,-110.20M,816.70M,,,
2001-06,6.50M,6.50M,621.50M,,621.50M,84.90M,46.10M,402.80M,440.20M,129.20M,,,1.197B,23.20M,198.10M,485.10M,,706.40M,-381.00M,325.40M,,393.00M,393.00M,,,36.20M,64.60M,819.20M,2.017B,,154.70M,,154.70M,,154.70M,38.00M,,,,38.00M,,38.00M,,,307.00M,499.70M,508.50M,,508.50M,22.40M,22.40M,,,160.30M,691.20M,1.191B,,66.80M,1.059B,51.80M,231.90M,-120.30M,825.70M,,,
2001-03,4.80M,4.80M,631.00M,,631.00M,84.50M,45.30M,393.60M,430.30M,123.50M,,,1.190B,23.50M,201.00M,477.50M,,702.00M,-369.80M,332.20M,,405.80M,405.80M,,,33.20M,68.00M,839.20M,2.029B,,169.80M,,169.80M,,169.80M,70.90M,,,,70.90M,,70.90M,,,288.20M,528.90M,475.90M,,475.90M,23.30M,23.30M,,,167.00M,666.20M,1.195B,,66.80M,1.064B,79.60M,268.10M,-108.90M,833.70M,,,
2000-12,6.10M,6.10M,644.50M,,644.50M,79.70M,45.10M,386.00M,418.90M,116.90M,,,1.186B,24.30M,204.80M,477.20M,,706.30M,-361.20M,345.10M,,424.60M,424.60M,,,33.00M,80.00M,882.70M,2.069B,,161.00M,,161.00M,,161.00M,70.30M,,,,70.30M,,70.30M,,,306.70M,538.00M,473.00M,,473.00M,24.70M,24.70M,,,189.40M,687.10M,1.225B,,66.80M,1.051B,71.60M,258.50M,-87.20M,844.00M,,,
2000-09,8.968M,8.968M,,,618.07M,,,,450.74M,,,107.32M,1.185B,,,,,704.11M,-352.36M,351.75M,,414.54M,414.54M,,,,124.03M,890.32M,2.075B,,142.77M,,142.77M,,142.77M,,,,,29.81M,,29.81M,,,273.56M,446.14M,563.38M,,563.38M,26.20M,26.20M,,,219.90M,809.49M,1.256B,,66.77M,1.021B,43.27M,220.29M,-90.54M,819.80M,,,
2000-06,8.055M,8.055M,,,642.40M,,,,476.66M,,,113.45M,1.241B,,,,,709.79M,-355.20M,354.59M,,454.58M,454.58M,,,,128.56M,937.73M,2.178B,,155.99M,,155.99M,,155.99M,,,,,28.38M,,28.38M,,,301.74M,486.11M,579.91M,,579.91M,28.03M,28.03M,,,222.37M,830.31M,1.316B,,66.76M,994.76M,63.24M,221.58M,-41.31M,861.87M,,,
2000-03,14.90M,14.90M,,,641.35M,,,,457.74M,,,111.98M,1.226B,,,,,689.03M,-335.09M,353.95M,,453.60M,453.60M,,,,135.45M,943.00M,2.169B,,127.24M,,127.24M,,127.24M,,,,,29.01M,,29.01M,,,290.59M,446.85M,622.19M,,622.19M,28.71M,28.71M,,,228.00M,878.90M,1.326B,,66.75M,978.14M,60.18M,223.15M,-38.70M,843.22M,,,
1999-12,17.60M,17.60M,,,617.60M,,,,454.80M,,,116.30M,1.206B,,,,,688.80M,-326.20M,362.60M,,526.20M,526.20M,,,,54.70M,943.50M,2.150B,,146.40M,,146.40M,,146.40M,,,,,22.30M,,22.30M,,,284.00M,452.70M,607.50M,,607.50M,27.00M,27.00M,,,237.30M,871.80M,1.324B,,66.70M,957.80M,62.30M,225.70M,-35.80M,825.30M,,,
1999-09,42.70M,42.70M,,,568.70M,,,,498.10M,,,189.50M,1.299B,,,,,754.30M,-403.30M,351.00M,,454.30M,454.30M,,,,102.60M,907.90M,2.207B,,152.00M,,152.00M,,152.00M,,,,,37.00M,,37.00M,,,315.30M,504.30M,669.70M,,669.70M,18.10M,18.10M,,,204.00M,891.80M,1.396B,,66.70M,943.80M,96.90M,261.40M,-35.20M,810.80M,,,
1999-06,15.70M,15.70M,,,500.50M,,,,392.80M,,,131.00M,1.04B,,,,,583.80M,-313.80M,270.00M,,308.60M,308.60M,,,,51.60M,630.20M,1.670B,,80.20M,,80.20M,,80.20M,,,,,61.80M,,61.80M,,,314.70M,456.70M,252.90M,,252.90M,10.00M,10.00M,,,187.60M,450.50M,907.20M,,,901.30M,,,,763.00M,,,
1999-03,19.20M,19.20M,,,500.30M,,,,381.70M,,,135.80M,1.037B,,,,,585.00M,-317.70M,267.30M,,280.30M,280.30M,,,,57.50M,605.10M,1.642B,,100.00M,,100.00M,,100.00M,,,,,50.40M,,50.40M,,,290.80M,441.20M,246.30M,,246.30M,9.60M,9.60M,,,183.30M,439.20M,880.40M,,,902.50M,,,,761.70M,,,
1998-12,15.00M,15.00M,,,554.70M,,,,375.40M,,,134.70M,1.080B,,,,,583.80M,-311.80M,272.00M,,262.90M,262.90M,,,,60.20M,595.10M,1.675B,,89.40M,,89.40M,,89.40M,,,,,93.10M,,93.10M,,,275.60M,458.10M,246.60M,,246.60M,9.60M,9.60M,,,198.30M,454.50M,912.60M,,66.70M,883.20M,117.40M,274.80M,-30.20M,762.30M,,,
1998-09,13.50M,13.50M,,,507.80M,,,,420.50M,,,127.10M,1.069B,,,,,577.40M,-305.00M,272.40M,,262.90M,262.90M,,,,67.10M,602.40M,1.671B,,85.20M,,85.20M,,85.20M,,,,,62.00M,,62.00M,,,292.80M,440.00M,246.10M,,246.10M,12.20M,12.20M,,,200.40M,458.70M,898.70M,,,883.50M,,,,772.60M,,,
1998-06,12.00M,12.00M,,,521.70M,,,,446.60M,,,101.10M,1.081B,,,,,568.00M,-297.10M,270.90M,,285.00M,285.00M,,,,58.00M,613.90M,1.695B,,86.90M,,86.90M,,86.90M,,,,,60.10M,,60.10M,,,239.20M,386.20M,245.10M,,245.10M,12.10M,12.10M,,,196.90M,454.10M,840.30M,,,957.50M,,,,855.00M,,,
1998-03,9.00M,9.00M,,,548.40M,,,,420.70M,,,92.50M,1.071B,,,,,537.60M,-271.10M,266.50M,,267.70M,267.70M,,,,57.10M,591.30M,1.662B,,95.90M,,95.90M,,95.90M,,,,,58.20M,,58.20M,,,236.60M,390.70M,204.20M,,204.20M,12.20M,12.20M,,,188.40M,404.80M,795.50M,,,960.20M,,,,866.40M,,,
1997-12,25.70M,25.70M,,,539.60M,,,,373.20M,,,83.20M,1.022B,,,,,529.50M,-263.70M,265.80M,,298.20M,298.20M,,,,55.70M,619.70M,1.641B,,91.60M,,91.60M,,91.60M,,,,,24.00M,,24.00M,,,236.90M,352.50M,151.00M,,151.00M,11.80M,11.80M,,,234.00M,396.80M,749.30M,,,939.00M,,,,892.10M,,,
1997-09,15.40M,15.40M,,,600.30M,,,,367.30M,,,87.80M,1.071B,,,,,532.10M,-276.60M,255.50M,,271.20M,271.20M,,,,60.70M,587.40M,1.658B,,101.50M,,101.50M,,101.50M,,,,,29.90M,,29.90M,,,232.30M,363.70M,200.10M,,200.10M,7.70M,7.70M,,,201.20M,409.00M,772.70M,,,909.70M,,,,885.50M,,,
1997-06,9.80M,9.80M,,,637.40M,,,,316.30M,,,87.30M,1.051B,,,,,502.30M,-253.80M,248.50M,,254.00M,254.00M,,,,64.70M,567.20M,1.618B,,93.40M,,93.40M,,93.40M,,,,,27.60M,,27.60M,,,246.90M,367.90M,182.60M,,182.60M,7.40M,7.40M,,,201.40M,391.40M,759.30M,,,874.20M,,,,858.70M,,,
1997-03,9.10M,9.10M,,,657.70M,,,,299.20M,,,86.00M,1.052B,,,,,517.50M,-270.10M,247.40M,,255.00M,255.00M,,,,63.30M,565.70M,1.618B,,96.20M,,96.20M,,96.20M,,,,,12.10M,,12.10M,,,262.40M,370.70M,200.10M,,200.10M,7.30M,7.30M,,,195.50M,402.90M,773.60M,,,860.20M,,,,844.10M,,,
1996-12,15.40M,15.40M,,,651.70M,,,,269.80M,,,80.40M,1.017B,,,,,510.20M,-264.90M,245.30M,,202.80M,202.80M,,,,55.40M,503.50M,1.521B,,89.30M,,89.30M,,89.30M,,,,,23.30M,,23.30M,,,228.80M,341.40M,149.80M,,149.80M,7.00M,7.00M,,,194.40M,351.20M,692.60M,,,838.50M,,,,828.20M,,,
1996-09,19.50M,19.50M,,,619.40M,,,,279.20M,,,80.40M,998.50M,,,,,504.90M,-265.70M,239.20M,,216.60M,216.60M,,,,69.80M,525.60M,1.524B,,75.60M,,75.60M,,75.60M,,,,,19.70M,,19.70M,,,260.40M,355.70M,150.60M,,150.60M,5.60M,5.60M,,,206.10M,362.30M,718.00M,,,814.10M,,,,806.10M,,,
