,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-12,108.87M,108.87M,18.03M,90.84M,,6.761M,,-20.21M,,,,12.31M,112.52M,-21.68M,,,,-20.21M,,-69.13M,-27.34M,-66.71M,-6.41M,,-1.433M,,-73.12M,-54.49M,71.77M,93.45M,-21.68M,-0.31,0.27,,,-0.2544,-0.04,-0.31,-0.0291,,,-0.2544,-0.3325,219.79M,219.90M,
2003-09,186.87M,186.87M,83.03M,103.84M,,6.493M,,-5.84M,,,,7.646M,91.83M,12.02M,,,,-5.84M,,-51.29M,-13.59M,-37.70M,-15.16M,,-0.907M,,-52.86M,-33.41M,89.70M,77.69M,12.02M,-0.18,-0.07,,,-0.1599,-0.25,-0.18,-0.07,,,-0.1599,-0.25,213.79M,213.79M,
2003-06,178.22M,178.22M,78.63M,99.60M,,5.962M,1.003M,-44.27M,,,,8.036M,95.77M,3.825M,,,,-44.27M,,-98.94M,-17.98M,-80.96M,-26.76M,,-0.793M,,-107.72M,-44.74M,84.60M,80.77M,3.825M,-0.4,-0.13,,,-0.2215,-0.53,-0.4,-0.13,,,-0.2215,-0.53,202.91M,202.91M,
2003-03,161.47M,161.47M,69.41M,92.06M,,6.648M,,-37.39M,,,,3.696M,90.00M,2.061M,,,,-37.39M,,-99.51M,-19.28M,-80.24M,-11.38M,,-0.57M,,-91.62M,-50.09M,81.72M,79.65M,2.061M,-0.41,-0.06,,,-0.256,-0.47,-0.41,-0.06,,,-0.256,-0.47,195.70M,195.70M,
2002-12,80.14M,80.14M,11.08M,69.05M,,6.637M,,-10.78M,,,,16.86M,118.82M,-49.77M,,,,-10.78M,,-81.62M,-28.25M,-74.04M,-0.066M,0.0,-0.745M,,-74.10M,-66.99M,45.56M,95.32M,-49.77M,-0.36,1.31,0.0,,-0.324,3.83,-0.3792,0.0047,0.0007,,-0.3432,-0.373,195.60M,195.60M,
2002-09,174.95M,174.95M,91.66M,83.28M,,6.822M,,-89.69M,,,,83.20M,168.72M,-85.44M,,,,-89.69M,,-355.77M,-3.168M,-147.85M,-206.02M,,-0.639M,,-353.88M,-58.96M,-6.743M,78.70M,-85.44M,-0.76,-1.05,,,-0.3054,-1.81,-0.76,-1.05,,,-0.3054,-1.81,195.56M,195.56M,
2002-06,165.84M,165.84M,85.98M,79.85M,,6.474M,1.027M,-25.78M,,,,26.04M,113.34M,-33.49M,,,,-25.78M,,-95.01M,-27.31M,-67.70M,-33.47M,,-0.491M,,-101.17M,-49.33M,46.31M,79.80M,-33.49M,-0.35,-0.17,,,-0.256,-0.52,-0.35,-0.17,,,-0.256,-0.52,195.36M,195.36M,
2002-03,186.62M,186.62M,111.52M,75.10M,,6.829M,2.449M,-9.532M,,,,-3.706M,80.66M,-5.558M,,,,-9.532M,,-78.34M,-22.21M,-56.13M,-15.64M,,-0.243M,,-71.77M,-49.30M,69.52M,75.08M,-5.558M,-0.36,-0.01,,,-0.325,-0.37,-0.36,-0.01,,,-0.325,-0.37,195.29M,195.29M,
2001-12,-114.72M,-114.72M,-158.85M,44.13M,,15.42M,,-82.03M,,,,,117.18M,-73.05M,,,,-82.03M,,-128.43M,-28.77M,-99.66M,-50.05M,,-0.302M,,-149.71M,-36.00M,-43.75M,29.30M,-73.05M,-0.5114,-0.2579,,,-0.1853,-0.7693,-0.5114,-0.2579,,,-0.1854,-0.7693,195.20M,195.29M,
2001-09,273.73M,273.73M,200.50M,73.23M,,7.353M,1.736M,-31.42M,,,,,122.97M,-49.74M,,,,-31.42M,,-146.44M,-23.54M,-122.90M,-2.038M,,-0.019M,,-124.94M,-96.53M,64.14M,113.88M,-49.74M,-0.64,-0.01,,,-0.5035,-0.65,-0.64,-0.01,,,-0.5035,-0.65,193.14M,193.14M,
2001-06,246.71M,246.71M,182.60M,64.12M,,6.407M,2.557M,-27.95M,,,,,108.76M,-44.65M,,,,-27.95M,,-128.68M,-27.63M,-101.05M,-2.894M,,0.061M,,-103.94M,-79.10M,55.15M,99.80M,-44.65M,-0.53,-0.01,,,-0.4149,-0.54,-0.53,-0.01,,,-0.4149,-0.54,190.76M,190.76M,
2001-03,262.47M,262.47M,198.40M,64.07M,,5.127M,2.745M,,,,,,102.87M,-38.80M,,,,,,-93.60M,-22.09M,-71.51M,,,-0.058M,,-71.51M,-71.51M,56.20M,95.00M,-38.80M,-0.38,0.0,,,-0.38,-0.38,-0.38,0.0,,,-0.38,-0.38,187.18M,187.18M,
2000-12,18.39M,18.39M,2.11M,16.28M,,5.001M,3.938M,-2.434M,,,,,51.89M,-35.60M,,,,-2.434M,,-71.12M,-22.86M,-48.26M,,,-0.284M,,-54.47M,-46.61M,7.343M,42.95M,-35.60M,-0.2711,-0.0068,,0.0005,-0.2618,-0.3036,-0.3017,,,0.0,-0.2925,-0.3036,179.13M,180.55M,
2000-09,208.96M,208.96M,145.14M,63.82M,,3.442M,5.311M,,,,,,84.73M,-20.90M,,,,,,-52.35M,-12.82M,-39.53M,,,0.14M,,-39.53M,-39.53M,55.07M,75.97M,-20.90M,-0.22,0.0,,,-0.22,-0.22,-0.22,0.0,,,-0.22,-0.22,178.06M,178.06M,
2000-06,167.05M,167.05M,119.66M,47.39M,,3.084M,4.196M,-16.97M,,,,,74.37M,-26.98M,,,,-16.97M,,-75.41M,-16.77M,-58.63M,,,-0.022M,,-58.63M,-45.44M,40.11M,67.09M,-26.98M,-0.36,0.0,,,-0.2781,-0.36,-0.36,0.0,,,-0.2781,-0.36,161.02M,161.02M,
2000-03,115.52M,115.52M,79.71M,35.81M,,3.431M,0.988M,,,,,,59.62M,-23.81M,,,,,,-51.10M,-13.44M,-37.66M,,,-0.036M,,-42.00M,-37.66M,31.39M,55.20M,-23.81M,-0.24,-0.03,,-0.0277,-0.24,-0.27,-0.24,-0.03,,-0.0277,-0.24,-0.27,156.52M,156.52M,
1999-12,88.98M,88.98M,56.33M,32.65M,,2.741M,,,,,,,43.97M,-11.32M,,,,,,-15.72M,1.156M,-16.88M,,,-0.063M,,-18.25M,-16.88M,28.30M,39.62M,-11.32M,-0.11,-0.01,,,-0.11,-0.12,-0.11,-0.01,,,-0.11,-0.12,156.23M,156.23M,
1999-09,67.54M,67.54M,40.50M,27.03M,,2.255M,,,,,,,37.37M,-10.33M,,,,,,-13.29M,-0.195M,-13.09M,,,-0.158M,,-13.09M,-13.09M,24.78M,35.11M,-10.33M,-0.08,0.0,,,-0.08,-0.08,-0.08,0.0,,,-0.08,-0.08,155.62M,155.62M,
1999-06,59.15M,59.15M,33.57M,25.58M,,2.291M,0.29M,,,,,,35.72M,-10.14M,,,,,,-9.804M,0.079M,-9.883M,,,0.082M,,-9.883M,-9.883M,23.00M,33.14M,-10.14M,-0.06,0.0,,,-0.06,-0.06,-0.06,0.0,,,-0.06,-0.06,155.60M,155.60M,
1999-03,42.41M,42.41M,24.96M,17.45M,,1.782M,0.267M,,,,,,26.72M,-9.271M,,,,,,-10.33M,-0.826M,-9.50M,,,-0.003M,,-9.50M,-9.50M,15.40M,24.67M,-9.271M,-0.07,0.0,,,-0.07,-0.07,-0.07,0.0,,,-0.07,-0.07,131.27M,131.27M,
1998-12,32.06M,32.06M,19.22M,12.83M,,-10.70M,,,,,,,21.14M,-8.301M,,,,,,-11.60M,0.443M,-12.05M,,,-0.032M,,-12.05M,-12.05M,10.76M,19.07M,-8.301M,-0.11,0.02,,0.0154,-0.11,-0.09,-0.1113,,,0.0,-0.1113,-0.1113,108.84M,108.84M,
1998-09,30.48M,30.48M,16.69M,13.79M,,1.72M,,,,,,,18.96M,-5.177M,,,,,,-7.913M,-1.955M,-5.958M,,,-0.066M,,-13.47M,-5.958M,12.07M,17.24M,-5.177M,-0.06,-0.07,,-0.0718,-0.06,-0.13,-0.06,-0.07,,-0.0718,-0.06,-0.13,104.62M,104.62M,
1998-06,23.08M,23.08M,14.34M,8.744M,,13.54M,,,,,,,23.49M,-14.75M,,,,,,-21.37M,-2.949M,-18.42M,,,-0.11M,,-19.80M,-18.42M,-4.797M,9.953M,-14.75M,-0.33,-0.02,,-0.0247,-0.33,-0.35,-0.33,-0.02,,-0.0247,-0.33,-0.35,56.03M,56.03M,
