,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-12,143.08M,2.028M,145.10M,51.31M,,51.31M,,,,,61.42M,51.87M,163.98M,,473.68M,0.00,312.71M,213.81M,4.623B,,63.54M,5.213B,-2.190B,3.023B,2.186B,1.566B,3.752B,581.53M,381.43M,,7.738B,8.212B,151.98M,,,,151.98M,28.64M,180.62M,,,,1.837M,1.837M,120.19M,120.19M,,302.64M,,4.331B,,4.331B,,,,3.157M,,583.23M,4.915B,5.217B,4.685M,-2.356B,8.109B,2.746B,,-20.03M,2.991B
2008-09,66.24M,8.013M,74.25M,46.15M,,46.15M,,,,,62.41M,50.83M,40.06M,,273.68M,,,,,,,4.961B,-1.947B,3.014B,2.189B,1.599B,3.787B,,487.92M,567.12M,7.856B,8.130B,149.03M,,,,149.03M,49.05M,198.08M,,,1.789M,,1.789M,109.63M,109.63M,,309.50M,,4.429B,,4.429B,,,,3.187M,,548.63M,4.977B,5.287B,4.607M,-2.442B,7.945B,2.667B,,-1.027M,2.840B
2008-06,152.13M,11.79M,163.92M,40.77M,,40.77M,,,,,63.18M,51.16M,40.12M,,359.15M,,,,,,,4.958B,-1.947B,3.011B,2.188B,1.637B,3.826B,,519.40M,550.42M,7.906B,8.266B,138.02M,,,,138.02M,30.59M,168.61M,,,1.699M,,1.699M,108.86M,108.86M,,279.17M,,4.419B,,4.419B,,,,3.231M,,539.62M,4.959B,5.238B,4.566M,-2.502B,7.857B,2.335B,,0.806M,3.025B
2008-03,121.63M,6.802M,128.44M,37.12M,,37.12M,,,,,76.08M,50.13M,40.08M,,331.84M,,,,,,,4.977B,-1.947B,3.030B,2.188B,1.670B,3.859B,,455.58M,515.72M,7.860B,8.192B,149.53M,,,,149.53M,50.82M,200.35M,,,1.688M,,1.688M,104.48M,104.48M,,306.52M,,4.433B,,4.433B,,,,3.277M,,536.00M,4.969B,5.276B,4.537M,-2.661B,7.801B,2.220B,,-11.14M,2.913B
2007-12,33.12M,7.224M,40.35M,40.32M,,40.32M,,,,,71.26M,53.68M,40.06M,,245.67M,0.00,268.26M,204.34M,4.475B,,44.03M,4.992B,-1.947B,3.045B,2.188B,1.686B,3.875B,,479.85M,485.00M,7.885B,8.130B,175.46M,,,,175.46M,33.70M,209.17M,,,1.817M,,1.817M,106.40M,106.40M,,317.38M,,4.283B,,4.283B,,,,3.342M,,504.18M,4.788B,5.105B,4.527M,-2.703B,7.772B,2.048B,,-3.626M,3.022B
2007-09,82.74M,5.219M,87.95M,46.43M,,46.43M,,,,,86.63M,41.15M,23.49M,,285.66M,,,,,,,4.681B,-1.610B,3.071B,2.181B,1.722B,3.903B,,497.19M,446.74M,7.918B,8.203B,203.86M,,,,203.86M,36.94M,240.80M,,,1.77M,,1.77M,95.99M,95.99M,,338.56M,,4.025B,,4.025B,,,,3.405M,,460.62M,4.486B,4.824B,4.504M,-2.698B,7.735B,1.663B,,-2.853M,3.376B
2007-06,213.02M,15.63M,228.66M,45.42M,,45.42M,,,,,79.40M,35.93M,23.49M,,412.90M,,,,,,,4.726B,-1.610B,3.116B,2.186B,1.764B,3.950B,,473.65M,431.77M,7.971B,8.384B,205.88M,,,,205.88M,23.89M,229.77M,,,1.666M,,1.666M,83.63M,83.63M,,315.06M,,3.975B,,3.975B,,,,3.462M,,453.51M,4.429B,4.744B,4.497M,-2.757B,7.710B,1.323B,,3.189M,3.637B
2007-03,47.15M,14.33M,61.48M,33.73M,,33.73M,,,,,75.93M,,88.48M,,259.62M,,,,,,,4.775B,-1.610B,3.165B,2.188B,1.782B,3.970B,,488.38M,436.29M,8.060B,8.320B,173.59M,,,,173.59M,53.08M,226.67M,,,1.643M,,1.643M,78.01M,78.01M,,306.32M,,3.570B,,3.570B,,,,3.502M,,446.28M,4.017B,4.323B,4.457M,-2.737B,7.628B,909.22M,,7.855M,3.994B
2006-12,281.26M,22.99M,304.25M,29.37M,,29.37M,,,,,63.92M,,88.48M,,486.02M,0.00,225.08M,200.36M,4.371B,,32.18M,4.828B,-1.610B,3.218B,2.190B,1.821B,4.011B,,482.71M,415.72M,8.127B,8.613B,187.63M,,,,187.63M,41.32M,228.95M,,,253.91M,,253.91M,86.77M,86.77M,,569.63M,,,,,,,,3.591M,,3.655B,3.655B,4.225B,4.378M,-2.734B,7.502B,404.09M,,16.08M,4.385B
2006-09,207.20M,,207.20M,33.50M,,33.50M,,,,,65.85M,,94.24M,,400.79M,,,,,,,4.547B,-1.279B,3.268B,2.197B,1.866B,4.063B,,468.07M,405.81M,8.205B,8.606B,169.58M,,,,169.58M,54.50M,224.09M,,,253.88M,,253.88M,76.47M,76.47M,,554.43M,,3.310B,,3.310B,,,,3.529M,,354.09M,3.664B,4.218B,4.375M,-2.752B,7.492B,362.75M,,3.074M,4.384B
2006-06,90.45M,,90.45M,30.78M,,30.78M,,,,,73.24M,,94.24M,,288.72M,,,,,,,4.600B,-1.279B,3.321B,2.197B,1.916B,4.113B,,475.66M,409.11M,8.319B,8.608B,166.66M,,,,166.66M,40.16M,206.82M,,,277.43M,,277.43M,75.16M,75.16M,,559.40M,,344.72M,,344.72M,,,,3.592M,,3.325B,3.670B,4.229B,4.37M,-2.756B,7.478B,362.75M,,10.47M,4.375B
2006-03,85.57M,,85.57M,33.22M,,33.22M,,,,,77.27M,,31.36M,,227.41M,,,,,,,4.665B,-1.279B,3.386B,2.143B,2.026B,4.169B,,500.03M,384.99M,8.440B,8.667B,175.01M,,,,175.01M,52.65M,227.66M,,,277.47M,,277.47M,71.09M,71.09M,,576.22M,,3.332B,,3.332B,,,,9.922M,,337.58M,3.670B,4.246B,4.288M,-2.714B,7.362B,246.47M,,5.624M,4.412B
2005-12,112.70M,,112.70M,37.00M,,37.00M,,,,,44.82M,,31.36M,,225.88M,0.00,215.97M,184.95M,4.302B,,36.99M,4.740B,-1.279B,3.461B,2.143B,2.077B,4.220B,,523.29M,357.29M,8.561B,8.787B,178.95M,,,,178.95M,37.85M,216.80M,,,162.15M,,162.15M,77.66M,77.66M,,456.61M,,327.35M,,327.35M,,,,9.794M,,3.451B,3.779B,4.235B,4.156M,-2.761B,7.383B,80.95M,,-3.30M,4.542B
2005-09,109.16M,,109.16M,37.55M,,37.55M,,,,,53.87M,,39.61M,3.389M,243.58M,,,,,,,4.401B,-996.97M,3.404B,,4.290B,4.290B,,476.66M,370.77M,8.542B,8.786B,194.16M,,,,194.16M,41.99M,236.15M,,,2.241M,,2.241M,74.85M,74.85M,,313.24M,,3.638B,,3.638B,,,,5.916M,,190.17M,3.828B,4.141B,4.11M,-2.624B,7.266B,4.366M,,-3.661M,4.638B
2005-06,85.62M,,85.62M,23.12M,,23.12M,,,,,38.28M,,6.09M,3.389M,156.50M,,,,,,,3.188B,-995.97M,2.192B,,1.531B,1.531B,,649.26M,296.65M,4.669B,4.826B,119.62M,,,,119.62M,32.34M,151.96M,,,87.96M,,87.96M,32.28M,32.28M,,272.20M,,2.992B,,2.992B,,,,5.905M,,129.45M,3.121B,3.394B,2.312M,-2.603B,4.031B,4.366M,,,1.426B
2005-03,122.80M,,122.80M,30.42M,,30.42M,,,,,35.82M,,6.09M,3.389M,198.52M,,,,,,,3.228B,-996.97M,2.231B,,1.560B,1.560B,,642.14M,293.04M,4.726B,4.925B,120.67M,,,,120.67M,43.59M,164.25M,,,5.35M,,5.35M,28.42M,28.42M,,198.02M,,3.142B,,3.142B,,,,5.97M,,126.74M,3.269B,3.467B,2.308M,-2.571B,4.025B,4.366M,,,1.452B
2004-12,215.56M,,215.56M,38.63M,,38.63M,,,,,45.37M,,6.09M,3.389M,309.04M,0.00,176.94M,162.12M,2.903B,,27.87M,3.270B,-996.97M,2.273B,,1.578B,1.578B,,633.81M,291.78M,4.777B,5.086B,121.67M,,,,121.67M,39.47M,161.14M,,,138.39M,,138.39M,32.68M,32.68M,,332.20M,,3.155B,,3.155B,,,,6.081M,,121.50M,3.277B,3.609B,2.297M,-2.539B,4.012B,4.366M,,,1.471B
2004-09,126.83M,,126.83M,41.70M,,41.70M,,,,,42.53M,,14.12M,19.94M,245.13M,,,,,,,3.129B,-738.19M,2.391B,,1.628B,1.628B,,516.06M,288.54M,4.823B,5.068B,104.83M,,,,104.83M,31.16M,136.00M,,,6.722M,,6.722M,,,33.15M,175.87M,,3.212B,,3.212B,,,,11.86M,,47.04M,3.259B,3.435B,2.267M,-2.350B,3.974B,4.366M,,,1.622B
2004-06,197.86M,,197.86M,44.19M,16.06M,60.26M,,,,,38.04M,,14.12M,3.389M,313.67M,,,,,,,3.189B,-738.19M,2.451B,,1.636B,1.636B,,479.47M,285.82M,4.853B,5.166B,104.28M,,,,104.28M,52.64M,156.92M,,,6.495M,,6.495M,,,34.44M,197.86M,,3.260B,,3.260B,,,,11.70M,,46.23M,3.307B,3.504B,2.243M,-2.294B,3.946B,4.366M,,,1.650B
2004-03,98.70M,,98.70M,46.31M,15.38M,61.69M,,,,,37.29M,119.14M,14.12M,3.439M,334.37M,,,,,,,3.222B,-738.19M,2.484B,,1.637B,1.637B,,460.83M,282.55M,4.864B,5.198B,100.88M,,,,100.88M,33.52M,134.40M,,,82.62M,,82.62M,,,37.37M,254.39M,,3.217B,,3.217B,,,,25.81M,,29.03M,3.246B,3.500B,2.212M,-2.233B,3.914B,4.366M,,-6.72M,1.672B
2003-12,105.46M,,105.46M,57.74M,,57.74M,,,,,51.64M,170.04M,14.12M,17.65M,416.65M,0.00,173.62M,165.88M,2.893B,,38.68M,3.271B,-787.72M,2.483B,,1.612B,1.612B,,502.74M,275.51M,4.874B,5.291B,107.56M,,,,107.56M,59.73M,167.29M,,,76.63M,,76.63M,41.45M,41.45M,9.91M,295.28M,,3.283B,,3.283B,,,,18.60M,,83.50M,3.367B,3.662B,2.201M,-2.292B,3.911B,4.366M,,-6.72M,1.610B
2003-09,66.13M,,66.13M,52.62M,19.81M,72.44M,,,,,34.55M,283.72M,13.05M,138.26M,608.15M,,,,,,,3.167B,-549.18M,2.617B,,1.663B,1.663B,,428.15M,274.00M,4.982B,5.590B,92.03M,,,,92.03M,34.17M,126.20M,84.09M,101.64M,185.73M,,185.73M,,,170.34M,482.27M,,3.305B,,3.305B,,,,17.53M,,28.47M,3.333B,3.816B,2.195M,-2.139B,3.906B,4.366M,,-7.092M,1.757B
2003-06,107.60M,,107.60M,57.90M,18.04M,75.94M,,,,,42.15M,192.88M,13.05M,153.52M,585.14M,,,,,,,3.184B,-549.18M,2.635B,,1.689B,1.689B,,411.92M,255.70M,4.991B,5.576B,92.42M,,,,92.42M,59.48M,151.90M,140.12M,94.12M,234.25M,,234.25M,,,175.17M,561.32M,,3.283B,,3.283B,,,,16.72M,,29.82M,3.312B,3.874B,2.047M,-2.086B,3.782B,4.366M,,-7.70M,1.686B
2003-03,101.41M,,101.41M,78.78M,14.84M,93.62M,3.829M,0.213M,5.225M,9.267M,40.68M,217.19M,13.05M,185.16M,660.37M,,,,3.245B,,,3.245B,-549.18M,2.695B,602.99M,1.122B,1.725B,,393.88M,248.70M,5.063B,5.723B,112.87M,,,,112.87M,36.05M,148.91M,209.50M,75.77M,285.28M,,285.28M,,,228.43M,662.62M,,3.301B,,3.301B,,,,16.02M,,33.48M,3.334B,3.997B,1.965M,-1.979B,3.700B,4.366M,,-9.097M,1.710B
2002-12,127.29M,,127.29M,64.89M,21.96M,86.84M,,,,,49.32M,,13.11M,314.20M,590.78M,0.00,176.99M,168.44M,2.827B,,63.76M,3.236B,-541.43M,2.695B,,1.731B,1.731B,,383.43M,262.00M,5.071B,5.662B,113.38M,,,,113.38M,63.61M,176.99M,210.90M,58.96M,269.86M,,269.86M,,,239.43M,686.28M,,3.179B,,3.179B,,,,15.57M,,41.38M,3.220B,3.906B,1.958M,-1.887B,3.642B,4.34M,,-12.28M,1.740B
2002-09,64.86M,,64.86M,124.69M,28.01M,152.70M,8.876M,1.294M,9.975M,20.14M,91.82M,,24.02M,,353.54M,,,,,,,3.400B,-410.45M,2.990B,,1.787B,1.787B,,333.59M,266.26M,5.377B,5.731B,150.88M,,,,150.88M,59.75M,210.64M,,,53.68M,,53.68M,,,50.22M,314.54M,,3.569B,,3.569B,,,,15.00M,,40.54M,3.610B,3.925B,1.957M,-1.835B,3.642B,4.34M,,-13.58M,1.791B
2002-06,29.47M,,29.47M,138.60M,28.67M,167.27M,15.06M,0.638M,8.574M,24.27M,80.59M,47.47M,24.04M,30.21M,403.32M,,,,,,,3.648B,-410.45M,3.238B,,1.877B,1.877B,,332.86M,259.19M,5.707B,6.110B,172.82M,,,,172.82M,62.57M,235.39M,,,40.38M,,40.38M,,,47.90M,323.66M,,3.585B,,3.585B,,,,14.49M,,44.73M,3.629B,3.953B,1.957M,-1.481B,3.642B,4.34M,,-15.64M,2.143B
2002-03,29.56M,,29.56M,154.52M,,154.52M,32.44M,1.193M,15.17M,48.80M,83.47M,47.50M,24.14M,36.60M,424.59M,,,,,,,3.691B,-410.45M,3.281B,,2.479B,2.479B,,273.76M,276.10M,6.309B,6.733B,170.23M,,,,170.23M,,170.23M,,,26.46M,,26.46M,,,97.25M,293.94M,,3.583B,,3.583B,,,,14.09M,,41.14M,3.624B,3.918B,1.954M,-816.92M,3.640B,4.34M,,-19.12M,2.801B
2001-12,35.96M,,35.96M,182.61M,46.45M,229.06M,37.39M,0.645M,11.30M,49.33M,89.64M,94.07M,24.14M,,522.21M,0.00,182.26M,287.73M,3.048B,,180.04M,3.698B,-410.45M,3.288B,,2.508B,2.508B,,245.22M,266.82M,6.308B,6.830B,214.54M,,,,214.54M,59.49M,274.03M,,,12.58M,,12.58M,,,56.10M,342.71M,,3.549B,,3.549B,,,,13.94M,,54.50M,3.604B,3.947B,1.954M,-745.15M,3.640B,4.34M,,-22.78M,2.869B
2001-09,276.09M,,276.09M,204.27M,67.94M,272.22M,28.71M,1.796M,19.91M,50.41M,64.07M,62.22M,15.18M,,740.19M,,,,,,,3.373B,-195.34M,3.178B,,2.514B,2.514B,,226.64M,260.10M,6.178B,6.919B,171.33M,,,,171.33M,69.46M,240.80M,,,12.17M,,12.17M,,,50.95M,303.91M,,3.536B,,3.536B,,,,5.411M,,57.14M,3.593B,3.897B,1.953M,-595.44M,3.636B,4.34M,,-22.29M,3.016B
2001-06,440.84M,114.72M,555.56M,197.84M,56.06M,253.90M,23.38M,2.631M,35.39M,61.40M,64.44M,119.76M,15.18M,,1.070B,,,,,,,3.108B,-195.34M,2.912B,,2.566B,2.566B,,198.71M,255.66M,5.932B,7.002B,154.43M,,,,154.43M,93.13M,247.56M,,,10.92M,,10.92M,,,54.34M,312.82M,,3.580B,,3.580B,,,,6.015M,,41.75M,3.621B,3.934B,1.913M,-470.50M,3.551B,4.34M,,-15.89M,3.062B
2001-03,991.94M,122.34M,1.114B,206.45M,61.50M,267.96M,19.08M,31.41M,2.031M,52.52M,64.32M,128.97M,15.17M,,1.643B,,,,,,,2.626B,-195.34M,2.431B,,2.562B,2.562B,,171.10M,269.10M,5.434B,7.077B,160.90M,,,,160.90M,85.71M,246.61M,,,8.358M,,8.358M,,,53.69M,308.66M,,3.554B,,3.554B,,,,16.68M,,39.27M,3.594B,3.902B,1.909M,-366.56M,3.543B,4.34M,,-16.00M,3.158B
2000-12,82.04M,,82.04M,194.01M,43.65M,237.66M,25.95M,20.89M,1.038M,47.87M,42.38M,46.04M,15.17M,,471.15M,0.00,115.15M,224.84M,1.946B,,206.07M,2.492B,-195.34M,2.297B,,2.506B,2.506B,,140.40M,246.78M,5.190B,5.661B,161.34M,,,,161.34M,77.02M,238.36M,,,11.18M,,11.18M,,,48.25M,297.79M,,2.457B,,2.457B,,,,16.35M,,12.47M,2.470B,2.767B,1.805M,-295.06M,3.175B,4.34M,,,2.877B
2000-09,206.47M,,206.47M,154.99M,37.73M,192.73M,15.56M,0.933M,16.63M,33.13M,40.83M,,1.829M,7.937M,482.92M,,,,,,,2.163B,-159.69M,2.003B,,2.272B,2.272B,,154.35M,236.17M,4.666B,5.149B,46.66M,,,,46.66M,130.75M,177.41M,,,7.834M,,7.834M,,,42.45M,227.69M,,1.951B,,1.951B,,,,32.16M,,100.59M,2.052B,2.280B,1.783M,-240.59M,3.080B,4.28M,,,2.837B
2000-06,518.76M,,518.76M,129.31M,23.81M,153.12M,10.27M,0.525M,16.37M,27.16M,31.29M,,1.829M,7.943M,740.10M,,,,,,,1.897B,-122.88M,1.774B,,2.208B,2.208B,,140.36M,225.52M,4.348B,5.088B,38.81M,,,,38.81M,127.85M,166.66M,,,5.708M,,5.708M,,,32.90M,205.28M,,1.949B,,1.949B,,,,17.26M,,68.30M,2.018B,2.223B,1.781M,-201.06M,3.052B,4.28M,,,2.848B
2000-03,140.73M,,140.73M,87.85M,15.06M,102.91M,9.093M,0.347M,15.87M,25.31M,17.30M,,1.829M,15.43M,303.51M,,,,,,,1.767B,-98.39M,1.669B,,1.945B,1.945B,,123.58M,213.88M,3.952B,4.255B,32.69M,,,,32.69M,,32.69M,,,4.862M,,4.862M,,,141.01M,178.56M,,1.879B,,1.879B,,,,15.20M,,6.215M,1.885B,2.064B,1.576M,-142.43M,2.319B,1.528M,,,2.176B
1999-12,25.21M,,25.21M,58.48M,13.36M,71.84M,0.859M,0.303M,10.10M,11.26M,19.57M,,1.718M,,129.61M,0.00,61.01M,156.00M,820.65M,,127.17M,1.165B,-72.49M,1.092B,,1.404B,1.404B,,114.25M,278.76M,2.889B,3.019B,25.56M,,,,25.56M,77.17M,102.74M,,,4.736M,,4.736M,,,17.52M,124.99M,,736.09M,,736.09M,,,,8.653M,,4.057M,740.14M,865.13M,1.558M,-100.43M,2.245B,1.528M,,,2.145B
1999-09,41.71M,,41.71M,38.82M,9.402M,48.22M,,,,7.123M,9.397M,,,13.09M,119.54M,,,,,,,948.82M,-56.58M,892.24M,,1.276B,1.276B,,113.00M,219.96M,2.501B,2.621B,15.50M,,,,15.50M,48.16M,63.66M,,,2.653M,,2.653M,,,11.25M,77.56M,,375.99M,,375.99M,,,,5.909M,,3.369M,379.36M,456.92M,1.557M,-82.18M,2.240B,1.528M,,,2.158B
1999-06,353.22M,,353.22M,38.45M,9.14M,47.59M,,,,3.634M,8.573M,,0.495M,3.659M,417.18M,,,,,,,769.08M,-43.23M,725.85M,,1.213B,1.213B,,116.08M,46.10M,2.101B,2.519B,8.075M,,,,8.075M,43.52M,51.59M,,,2.316M,,2.316M,,,12.74M,66.64M,,281.80M,,281.80M,,,,5.649M,,2.545M,284.35M,350.99M,1.557M,-69.08M,2.231B,1.528M,,,2.162B
1999-03,483.26M,,483.26M,32.05M,8.394M,40.45M,,,,3.95M,8.018M,,0.495M,3.665M,539.84M,,,,,,,674.03M,-31.39M,642.64M,,1.204B,1.204B,,116.22M,25.43M,1.989B,2.529B,8.955M,,,,8.955M,46.82M,55.77M,,,2.47M,,2.47M,,,8.045M,66.29M,,285.40M,,285.40M,,,,4.053M,8.238M,1.981M,295.62M,361.91M,1.552M,-59.20M,2.222B,1.528M,,,2.163B
1998-12,186.18M,,186.18M,15.51M,1.344M,16.85M,,,,,4.065M,,0.495M,,207.58M,0.00,38.24M,59.45M,342.87M,,31.93M,472.48M,-23.01M,449.48M,,718.58M,718.58M,,109.42M,17.29M,1.295B,1.502B,6.696M,,,,6.696M,55.55M,62.25M,,,1.652M,,1.652M,,,51.74M,115.64M,,279.48M,,279.48M,,,,4.116M,9.94M,1.429M,290.85M,406.48M,1.083M,-49.70M,1.140B,,,,1.092B
1998-09,313.45M,,313.45M,14.46M,2.872M,17.33M,,,,,4.638M,,0.063M,,335.48M,,,,,,,404.38M,-16.06M,388.32M,,14.65M,14.65M,,24.44M,672.88M,1.100B,1.436B,6.587M,,,,6.587M,26.12M,32.70M,,,1.125M,,1.125M,,,50.34M,84.16M,,280.48M,,280.48M,,,,0.567M,8.574M,1.195M,290.25M,374.41M,1.068M,-37.65M,1.097B,,,,1.061B
1998-06,63.72M,,63.72M,13.21M,2.281M,15.49M,,,,,2.865M,,0.063M,,82.14M,,,,,,,356.88M,-10.14M,346.74M,,24.22M,24.22M,,17.47M,667.13M,1.056B,1.138B,4.824M,,,,4.824M,22.55M,27.37M,,,1.125M,,1.125M,,,353.06M,381.55M,,299.40M,,299.40M,,,,0.605M,17.96M,0.896M,318.25M,699.80M,0.785M,-24.19M,460.69M,,,,437.29M
