,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-06,-107.72M,265.10M,,,,,,-112.28M,-7.316M,5.738M,,-1.578M,43.53M,-13.87M,5.163M,-8.707M,-10.58M,0.635M,-1.205M,-19.85M,,,-41.20M,,,,,,,,,,23.71M,-17.49M,101.41M,6.186M,,107.60M,,,,,,
2003-03,-91.62M,,,,,,,112.28M,14.87M,-28.48M,,-13.60M,7.059M,-18.82M,72.15M,53.33M,-30.52M,,1.205M,24.02M,,,179.29M,,,,,,,,,,-236.25M,-56.96M,127.29M,-25.88M,,101.41M,,,,,,
2002-12,-74.10M,404.48M,,345.83M,345.83M,,,-551.30M,-54.59M,57.50M,,29.40M,70.01M,-24.64M,69.63M,44.99M,-34.71M,,21.34M,39.29M,,,-41.60M,0.395M,,0.395M,,,,,,,-5.664M,-46.87M,64.86M,62.43M,,127.29M,0.395M,,,,,
2002-09,-353.88M,0.00,,-187.77M,-187.77M,,,551.30M,27.12M,-34.11M,,-6.986M,2.667M,-24.59M,19.70M,-4.894M,0.00,,-6.03M,-10.92M,,,-3.824M,0.00,,0.00,,,,,,,47.47M,43.65M,29.47M,35.39M,,64.86M,0.00,,,,,
2002-06,-663.79M,562.62M,,187.77M,187.77M,,,-85.66M,4.285M,35.24M,,39.53M,40.48M,-48.01M,2.461M,-45.55M,-6.137M,,-1.083M,-52.77M,,,11.27M,0.91M,,0.91M,,,,,,,0.029M,12.20M,29.56M,-0.093M,,29.47M,0.91M,,,,,
2002-03,-71.77M,,,,,,,85.66M,23.18M,-45.07M,,-21.89M,-8.003M,-83.25M,17.57M,-65.68M,-15.51M,,-9.652M,-90.85M,,,45.89M,,,,,,,,,,46.57M,92.46M,35.96M,-6.394M,,29.56M,,,,,,
2001-12,-149.71M,,,459.62M,459.62M,,,-343.29M,70.09M,37.40M,,48.03M,49.13M,-110.62M,,-108.94M,-124.22M,,43.71M,-244.81M,,,-3.442M,0.987M,,0.987M,,,,,,,-42.01M,-44.46M,276.09M,-240.14M,,35.96M,0.987M,,,,,
2001-09,-124.94M,,,-193.40M,-193.40M,,,343.29M,-19.52M,-14.24M,,-33.76M,-8.803M,-138.04M,,-138.04M,-182.73M,,93.82M,-226.96M,,,13.99M,0.00,,0.00,,,,,,,57.02M,71.01M,440.84M,-164.75M,,276.09M,0.00,,,,,
2001-06,-103.94M,,,193.40M,193.40M,,,-81.61M,-5.09M,7.156M,,2.066M,9.913M,-170.80M,,-170.80M,-405.82M,,5.75M,-570.86M,,,-0.342M,2.375M,,2.375M,,,,,,,7.825M,9.858M,991.94M,-551.09M,,440.84M,2.375M,,,,,
2001-03,-71.51M,,,,,,,81.61M,-45.48M,11.20M,,-34.28M,-24.17M,-148.70M,,-148.70M,-100.00M,,-153.97M,-402.68M,,,1.090B,363.31M,,363.31M,,,,,,,-116.72M,1.337B,82.04M,909.90M,,991.94M,363.31M,,,,,
2000-12,-54.47M,,,299.02M,299.02M,,,,114.84M,12.83M,-190.86M,-223.85M,0.607M,-195.19M,,-195.19M,-204.74M,,23.40M,-392.34M,,,312.07M,2.887M,,2.887M,,,,,,,-47.66M,267.30M,206.47M,-124.43M,,82.04M,2.887M,,,,,
2000-09,-39.53M,,,-108.62M,-108.62M,,,,-0.208M,-37.58M,190.86M,153.08M,4.927M,-150.01M,,-150.01M,-158.08M,,-9.504M,-317.59M,,,-0.90M,1.494M,,1.494M,,,,,,,-0.22M,0.374M,518.76M,-312.29M,,206.47M,1.494M,,,,,
2000-06,-58.63M,,,108.62M,108.62M,,,-49.70M,-97.12M,66.55M,,-30.57M,-30.28M,-93.39M,,-93.39M,-267.30M,,-28.36M,-389.05M,,,267.20M,524.16M,,524.16M,,,,,,,5.994M,797.35M,140.73M,378.02M,,518.76M,524.16M,,,,,
2000-03,-42.00M,,,,,,,49.70M,-17.51M,-2.62M,,-20.13M,-12.43M,-102.76M,,-102.76M,-737.91M,,-59.58M,-900.24M,,,1.064B,6.895M,,6.895M,,,,,,,-43.18M,1.028B,25.21M,115.52M,,140.73M,6.895M,,,,,
1999-12,-18.25M,,,,,,,,10.32M,6.326M,-94.12M,-80.96M,40.45M,-120.38M,,-120.38M,-227.13M,,-53.43M,-400.94M,,,359.86M,0.434M,,0.434M,,,,,-0.396M,,-15.91M,343.99M,41.71M,-16.50M,,25.21M,0.434M,,,,,
1999-09,-32.47M,,,,,,,,-10.32M,5.236M,68.28M,63.19M,30.72M,-61.92M,,-61.92M,-199.10M,,-174.95M,-435.98M,,,94.31M,-0.043M,,-0.043M,,,,,0.162M,,-0.679M,93.75M,353.22M,-311.51M,,41.71M,-0.043M,,,,,
1999-06,,,,,,,,,,,17.28M,17.28M,17.28M,-66.56M,-2.735M,-69.30M,-53.82M,,-21.51M,-144.63M,,,-4.46M,1.872M,,1.872M,,,,,-0.096M,,0.00,-2.684M,483.26M,-130.04M,,353.22M,1.872M,,,,,
1999-03,,,,,,,,,,,8.568M,8.568M,8.568M,-45.38M,2.735M,-42.64M,-108.33M,,-5.181M,-156.15M,,,-137.72M,632.46M,,632.46M,,,,,-0.066M,,-50.00M,444.67M,186.18M,297.09M,,483.26M,632.46M,,,,,
1998-12,,,,,,,,,,,-2.878M,-0.502M,15.55M,-50.16M,,-50.16M,-68.33M,,-3.965M,-122.46M,,,-19.71M,-0.34M,0.00,-0.34M,,,,,,,-0.012M,-20.46M,313.45M,-127.37M,,186.18M,-0.34M,,,0.00,,
1998-09,,,,,,,,,,,11.61M,11.61M,11.61M,-41.38M,,-41.38M,-18.76M,,-3.243M,-63.38M,,,-19.03M,627.06M,-303.12M,323.94M,,,,,,,-3.327M,301.58M,63.72M,249.82M,,313.45M,627.06M,,,-303.12M,,
1998-06,,,,,,,,,,,-6.997M,-6.997M,-6.997M,-22.22M,,-22.22M,-50.56M,,0.079M,-72.70M,,,20.60M,350.32M,,350.32M,,,,,,,-234.30M,136.62M,6.799M,56.93M,,63.72M,350.32M,,,,,
