,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-01,230.15M,607.03M,837.18M,372.38M,4.178M,376.56M,,75.72M,,86.65M,533.18M,1.909B,,,,,,,,995.04M,-610.34M,384.70M,1.629B,272.96M,1.901B,,98.00M,78.40M,2.463B,4.372B,144.17M,,,,144.17M,148.60M,292.76M,,,,,,,,336.63M,336.63M,,797.57M,1.427B,997.91M,,997.91M,100.53M,,100.53M,3.938M,,1.098B,2.525B,2.339B,2.068B,,2.574B,6.796M,2.373M,9.169M,1.843B
2007-10,146.07M,857.38M,1.003B,144.42M,67.28M,211.69M,,72.81M,,88.66M,275.25M,1.652B,,,,,,,,956.71M,-610.34M,346.37M,1.519B,271.06M,1.790B,,88.25M,74.96M,2.300B,3.952B,159.94M,,,,159.94M,104.79M,264.73M,,,,,,,,299.78M,299.78M,,433.14M,997.65M,997.86M,,997.86M,,,,1.954M,95.42M,1.093B,2.091B,2.292B,1.959B,,2.401B,7.92M,0.791M,8.711M,1.859B
2007-07,255.20M,1.048B,1.304B,131.69M,54.18M,185.87M,,54.85M,,84.68M,322.86M,1.952B,0.0,3.76M,166.67M,399.62M,275.95M,62.74M,,908.74M,-610.34M,298.40M,1.517B,292.88M,1.810B,,72.07M,119.71M,2.300B,4.252B,119.80M,,,,119.80M,192.29M,312.08M,,,,,,,,313.75M,313.75M,,534.27M,1.160B,997.82M,,997.82M,,,,1.329M,57.76M,1.056B,2.216B,3.391M,1.985B,2.248B,2.207B,5.768M,0.328M,6.096M,2.035B
2007-04,264.57M,1.101B,1.365B,190.78M,0.471M,191.25M,,58.90M,,58.88M,259.09M,1.933B,,,,,,,,778.06M,-523.94M,254.13M,1.569B,326.50M,1.896B,,63.61M,66.90M,2.280B,4.213B,129.34M,,,,129.34M,153.23M,282.57M,,,,,,,,244.36M,244.36M,,702.68M,1.230B,997.78M,,997.78M,,,,0.967M,41.68M,1.039B,2.269B,3.349M,2.020B,2.204B,2.288B,3.597M,0.261M,3.858M,1.943B
2007-01,286.33M,849.23M,1.136B,310.51M,9.318M,319.82M,,100.82M,,56.02M,411.77M,2.024B,,,,,,,,729.31M,-523.94M,205.38M,555.02M,57.35M,612.37M,,135.36M,56.90M,1.010B,3.034B,120.30M,,,,120.30M,138.14M,258.44M,,,,,,,,295.46M,295.46M,,637.09M,1.191B,18.38M,,18.38M,,,,0.978M,,18.38M,1.209B,3.44M,1.654B,2.167B,2.015B,0.569M,13.22M,13.79M,1.824B
2006-10,166.07M,893.09M,1.059B,95.50M,103.88M,199.38M,,72.01M,,51.11M,436.21M,1.818B,,,,,,,,725.64M,-523.94M,201.70M,555.51M,63.01M,618.52M,,142.19M,54.87M,1.017B,2.835B,97.85M,,,,97.85M,90.79M,188.65M,,,,,,,,276.65M,276.65M,,555.68M,1.021B,14.95M,,14.95M,,,,0.814M,,14.95M,1.036B,3.484M,1.523B,2.137B,1.866B,,,1.799M,1.798B
2006-07,179.60M,1.018B,1.197B,97.80M,64.18M,161.98M,,53.36M,,47.20M,357.30M,1.817B,0.0,2.175M,125.96M,330.65M,243.73M,15.85M,,718.37M,-523.94M,194.43M,504.99M,59.52M,564.51M,,144.70M,49.35M,953.00M,2.770B,70.81M,,,,70.81M,171.90M,242.71M,,,,,,,,293.11M,293.11M,,480.15M,1.016B,15.40M,,15.40M,,,,0.568M,,15.40M,1.031B,3.442M,1.588B,2.089B,1.944B,,,1.084M,1.738B
2006-04,252.97M,1.029B,1.282B,144.94M,,144.94M,,79.55M,,61.65M,408.79M,1.977B,,,,,,,,628.84M,-431.35M,197.50M,530.10M,62.10M,592.19M,,147.88M,44.12M,981.68M,2.959B,92.98M,,,,92.98M,139.10M,232.08M,,,,,,,,220.27M,220.27M,,817.79M,1.270B,15.71M,,15.71M,,,,,,15.71M,1.286B,1.705M,1.641B,2.062B,2.033B,,,2.482M,1.673B
2006-01,122.71M,711.17M,833.88M,319.49M,,319.49M,,87.85M,,50.94M,424.01M,1.716B,,,,,,,,642.93M,-431.35M,211.58M,,597.07M,597.07M,,124.95M,44.52M,978.11M,2.694B,126.04M,,,,126.04M,124.53M,250.57M,,,,,,,,256.70M,256.70M,,616.59M,1.124B,16.52M,,16.52M,,,,,,16.52M,1.140B,0.00,1.372B,2.029B,1.849B,,,1.312M,1.554B
2005-10,74.97M,622.33M,697.30M,73.23M,71.52M,144.75M,,72.08M,,61.46M,366.15M,1.342B,,,,,,,,642.32M,-431.35M,210.97M,,581.50M,581.50M,,109.35M,198.81M,1.101B,2.442B,96.93M,,,,96.93M,80.54M,177.46M,,,,,,,,274.32M,274.32M,,473.05M,924.83M,16.91M,,16.91M,,,,,,16.91M,941.74M,1.756M,1.239B,1.983B,1.724B,,,1.291M,1.501B
2005-07,83.84M,910.42M,994.26M,86.12M,38.66M,124.79M,,60.61M,,54.85M,379.83M,1.614B,0.0,2.418M,120.86M,298.10M,204.65M,13.86M,,639.90M,-431.35M,208.55M,509.50M,69.68M,579.18M,,118.48M,195.91M,1.102B,2.716B,65.81M,,,,65.81M,144.82M,210.64M,,,,,,,,279.38M,279.38M,,513.39M,1.003B,17.55M,,17.55M,,,,,,17.55M,1.021B,1.793M,1.291B,1.976B,1.558B,,,-16.11M,1.695B
2005-04,122.35M,1.138B,1.260B,141.73M,,141.73M,,59.81M,,67.87M,361.23M,1.891B,,,,,,,,554.46M,-336.66M,217.80M,,739.93M,739.93M,,141.90M,38.11M,1.138B,3.029B,96.17M,,,,96.17M,119.78M,215.96M,,,,,,,,210.10M,210.10M,,743.86M,1.170B,17.70M,,17.70M,,,,,,17.70M,1.188B,1.963B,1.333B,,1.438B,,,-16.66M,1.841B
2005-01,36.57M,848.06M,884.63M,307.76M,,307.76M,,72.37M,,29.73M,330.89M,1.625B,,,,,,,,563.20M,-336.66M,226.54M,,749.52M,749.52M,,136.22M,38.15M,1.150B,2.776B,102.28M,,,,102.28M,109.30M,211.58M,,,,,,,,252.81M,252.81M,,580.46M,1.045B,16.17M,,16.17M,,,,,,16.17M,1.061B,0.00,1.044B,1.958B,1.271B,,,-16.77M,1.715B
2004-10,52.01M,707.64M,759.65M,69.12M,17.54M,86.66M,,71.60M,,20.13M,334.08M,1.272B,,,,,,,,573.66M,-336.66M,237.00M,,755.22M,755.22M,,138.97M,52.21M,1.183B,2.456B,83.53M,,,,83.53M,72.80M,156.33M,,,,,,,,217.99M,217.99M,,418.58M,792.89M,17.00M,,17.00M,,,,,,17.00M,809.89M,0.00,914.20M,1.954B,1.204B,,,-19.02M,1.646B
2004-07,25.99M,991.97M,1.018B,81.62M,,81.62M,,62.79M,,31.09M,335.32M,1.529B,0.0,2.348M,98.10M,279.60M,130.91M,55.92M,,566.88M,-334.69M,232.19M,,602.76M,602.76M,,161.50M,205.50M,1.202B,2.731B,68.30M,,,,68.30M,132.00M,200.31M,,,,,,,,207.20M,207.20M,,484.42M,891.93M,10.62M,5.771M,16.39M,,,,,,16.39M,908.32M,1.901M,984.39M,1.947B,1.088B,,,-22.81M,1.822B
2004-04,18.52M,1.160B,1.178B,138.45M,,138.45M,,51.90M,,35.57M,323.02M,1.727B,,,,,,,,491.08M,-275.26M,215.82M,,803.49M,803.49M,,183.06M,34.05M,1.236B,2.964B,77.90M,,,,77.90M,113.59M,191.50M,,,,,,,,152.72M,152.72M,,656.53M,1.001B,17.77M,,17.77M,,,,,,17.77M,1.019B,0.00,1.039B,1.947B,1.017B,,,-24.35M,1.945B
2004-01,87.83M,891.08M,978.91M,283.96M,,283.96M,,61.55M,,34.82M,281.45M,1.641B,,,,,,,,472.17M,-275.26M,196.91M,,815.63M,815.63M,,183.06M,36.84M,1.232B,2.873B,104.45M,,,,104.45M,,104.45M,,,,,,,,203.69M,203.69M,,636.02M,944.16M,18.86M,,18.86M,,,,,,18.86M,963.02M,0.00,785.95M,1.944B,795.50M,,,-24.60M,1.910B
2003-10,147.61M,1.054B,1.202B,76.83M,,76.83M,,52.83M,,34.74M,,1.366B,,,,,,,,464.26M,-275.26M,189.00M,,823.79M,823.79M,,183.06M,37.64M,1.233B,2.600B,84.63M,,,,84.63M,,84.63M,,,,,,,,183.19M,183.19M,,452.46M,720.28M,31.06M,,31.06M,,,,,,31.06M,751.34M,0.00,669.80M,1.929B,724.99M,,,-25.32M,1.848B
2003-07,170.04M,1.038B,1.208B,88.16M,,88.16M,,32.22M,,34.82M,306.01M,1.669B,0.0,2.287M,25.88M,244.54M,168.55M,22.27M,,463.51M,-275.26M,188.25M,,716.54M,716.54M,,183.06M,33.55M,1.121B,2.790B,56.79M,,,,56.79M,,56.79M,,,,,,,,178.84M,178.84M,,560.54M,796.16M,29.26M,,29.26M,,,,,,29.26M,825.43M,1.995M,742.25M,1.920B,672.33M,,,-26.64M,1.965B
2003-04,450.28M,1.072B,1.522B,119.48M,,119.48M,,35.87M,,63.94M,325.17M,2.067B,,,,,,,,400.08M,-207.45M,192.63M,,719.69M,719.69M,,172.84M,30.23M,1.115B,3.182B,73.41M,,,,73.41M,115.75M,189.16M,,,,,,,,129.18M,129.18M,,592.59M,910.94M,11.81M,,11.81M,,,,,,11.81M,922.74M,0.00,782.31M,1.888B,402.74M,,,-8.103M,2.260B
2003-01,379.92M,736.98M,1.117B,244.44M,,244.44M,,39.52M,,61.27M,265.94M,1.728B,,,,,,,,403.44M,-207.45M,195.99M,,708.20M,708.20M,,172.84M,35.55M,1.113B,2.841B,107.19M,,,,107.19M,91.60M,198.79M,,2.717M,,,2.717M,,2.717M,170.50M,170.50M,,458.20M,830.21M,12.77M,,12.77M,,,,,,12.77M,842.97M,0.00,519.03M,1.877B,393.01M,,,-5.66M,1.998B
2002-10,308.18M,550.44M,858.62M,65.35M,56.92M,122.27M,,36.77M,,66.96M,492.69M,1.577B,,,,,,,,397.00M,-207.45M,189.55M,,707.40M,707.40M,,171.43M,34.07M,1.102B,2.680B,80.85M,,,,80.85M,77.60M,158.44M,,18.03M,,,18.03M,,18.03M,166.08M,166.08M,,395.21M,737.75M,14.38M,,14.38M,,,,,,14.38M,752.14M,1.864B,424.19M,,351.78M,,,-8.97M,1.928B
2002-07,414.75M,832.13M,1.247B,52.00M,2.187M,54.19M,,49.58M,,67.80M,542.02M,1.960B,,,,,,,,386.57M,-207.45M,179.12M,,554.42M,554.42M,,176.55M,57.44M,967.53M,2.928B,71.07M,,,,71.07M,87.43M,158.50M,,2.277M,,,2.277M,,2.277M,147.12M,147.12M,,389.86M,697.76M,14.61M,,14.61M,,,,,,14.61M,712.37M,2.112M,511.34M,1.845B,126.11M,,,-16.30M,2.216B
2002-04,454.79M,1.346B,1.800B,69.22M,,69.22M,,35.09M,,87.82M,563.25M,2.556B,,,,,,,,338.01M,-156.57M,181.44M,,310.95M,310.95M,,146.02M,29.32M,667.73M,3.223B,77.31M,,,,77.31M,,77.31M,,17.45M,,,17.45M,,17.45M,97.51M,97.51M,,710.00M,902.27M,11.21M,,11.21M,,,,,,11.21M,913.48M,0.00,609.80M,1.754B,46.49M,,,-7.059M,2.310B
2002-01,488.56M,1.048B,1.536B,262.51M,,262.51M,,32.65M,,90.25M,524.34M,2.446B,,,,,,,,339.96M,-156.57M,183.39M,,348.60M,348.60M,,146.20M,26.82M,705.02M,3.151B,100.44M,,,,100.44M,,100.44M,,36.75M,,,36.75M,,36.75M,156.34M,156.34M,,631.97M,925.50M,12.25M,,12.25M,,,,0.035M,,12.25M,937.75M,0.00,465.31M,1.765B,4.755M,,,-12.58M,2.213B
2001-10,415.04M,1.091B,1.506B,43.02M,,43.02M,,37.35M,,92.30M,441.85M,2.120B,,,,,,,,341.54M,-156.57M,184.97M,,374.77M,374.77M,,145.82M,28.11M,733.67M,2.854B,83.54M,,,,83.54M,,83.54M,,39.53M,,,39.53M,,39.53M,139.51M,139.51M,,524.26M,786.84M,12.15M,,12.15M,,,,0.035M,,12.15M,798.99M,0.00,345.45M,1.749B,21.13M,,,-18.51M,2.055B
2001-07,94.30M,1.205B,1.299B,26.78M,,26.78M,,31.64M,,73.74M,617.68M,2.049B,0.0,21.28M,65.70M,225.93M,,8.54M,,321.45M,-146.79M,174.66M,326.82M,88.32M,415.14M,,145.90M,77.82M,813.52M,2.862B,62.99M,,,,62.99M,64.32M,127.32M,,38.67M,,,38.67M,,38.67M,137.04M,137.04M,,385.76M,688.80M,12.15M,,12.15M,,,,,,12.15M,700.95M,2.105M,437.87M,1.723B,8.497M,,,6.46M,2.161B
2001-04,437.60M,1.247B,1.685B,103.31M,,103.31M,,134.70M,,,367.91M,2.291B,,,,,,,,344.94M,-163.31M,181.64M,,487.67M,487.67M,,,131.66M,800.97M,3.092B,74.71M,,,,74.71M,,74.71M,,,,,,,,82.37M,118.69M,36.32M,692.69M,886.09M,15.79M,,15.79M,,,,0.836M,,15.79M,901.88M,1.682B,499.16M,,,,,7.905M,2.189B
2001-01,377.41M,1.269B,1.646B,253.66M,,253.66M,,,,,414.78M,2.315B,,,,,,,,347.77M,-163.31M,184.46M,,542.74M,542.74M,,,137.41M,864.62M,3.179B,118.23M,,,,118.23M,,118.23M,,,,,,,,,,,826.88M,945.11M,18.79M,,18.79M,,,,0.385M,,18.79M,963.90M,1.670B,513.46M,,,,,31.80M,2.215B
2000-10,278.72M,1.247B,1.526B,67.94M,,67.94M,,,,,396.36M,1.990B,,,,,,,,346.55M,-163.31M,183.24M,,529.32M,529.32M,,,155.53M,868.09M,2.858B,81.88M,,,,81.88M,,81.88M,,,,,,,,,,,686.19M,768.06M,18.50M,,18.50M,,,,0.288M,,18.50M,786.57M,1.587B,486.90M,,,,,-2.801M,2.072B
2000-07,416.95M,1.276B,1.693B,,,67.42M,,,,,368.32M,2.129B,,,,,,,,310.21M,-142.50M,167.71M,,438.88M,438.88M,,,143.52M,750.11M,2.879B,79.14M,,,,79.14M,,79.14M,,,,,2.58M,,2.58M,,,,725.11M,806.84M,0.538M,,0.538M,,,,0.238M,,0.538M,807.38M,2.043M,520.67M,1.520B,,,,29.06M,2.071B
2000-04,962.11M,946.66M,1.909B,,,128.17M,1.89M,,,,338.26M,2.377B,,,,,,,,249.57M,-92.35M,157.22M,,475.56M,475.56M,,,143.36M,776.14M,3.153B,93.52M,,,,93.52M,,93.52M,,,,,53.45M,,53.45M,,,,912.49M,1.059B,0.513M,,0.513M,11.88M,,11.88M,0.17M,,12.40M,1.072B,2.032M,505.15M,1.492B,,,,81.80M,2.081B
2000-01,377.70M,1.595B,1.972B,,,249.10M,9.40M,,,,139.30M,2.370B,,,,,,,,270.20M,-120.90M,149.30M,,514.20M,514.20M,,,167.20M,830.70M,3.201B,121.10M,,,,121.10M,,121.10M,,,,,3.30M,,3.30M,,,,964.90M,1.089B,37.90M,,37.90M,11.90M,,11.90M,0.20M,,49.80M,1.139B,2.00M,208.10M,1.433B,,,,418.10M,2.062B
1999-10,286.40M,955.40M,1.242B,,,86.80M,7.20M,,,,228.40M,1.564B,,,,,,,,233.50M,-105.00M,128.50M,,536.00M,536.00M,,,146.20M,810.70M,2.375B,87.60M,,,,87.60M,,87.60M,,,,,,,,,,,666.50M,754.10M,38.60M,,38.60M,,,,,,38.60M,792.70M,1.90M,139.40M,1.288B,,,,153.00M,1.582B
1999-07,554.20M,882.20M,1.436B,,,63.70M,4.90M,,,,217.90M,1.723B,,,,,,,,214.70M,-95.50M,119.20M,,481.10M,481.10M,,,165.90M,766.20M,2.489B,66.40M,,,,66.40M,,66.40M,,,,,29.90M,,29.90M,,,,782.90M,879.20M,36.60M,,36.60M,11.60M,,11.60M,0.20M,0.10M,48.30M,927.50M,1.10M,216.60M,1.266B,,,,77.70M,1.561B
1999-04,330.20M,,330.20M,,,114.20M,2.30M,,,,1.508B,1.955B,,,,,,,,177.60M,-86.40M,91.20M,,317.10M,317.10M,,,106.80M,515.10M,2.470B,95.40M,,,,95.40M,,95.40M,,,,,,,,,,,664.20M,759.60M,36.00M,,36.00M,0.80M,,0.80M,,0.10M,36.90M,796.50M,,-62.20M,,,,,,1.673B
1999-01,163.00M,,163.00M,,,241.30M,5.90M,,,,1.444B,1.854B,,,,,,,,156.50M,-79.00M,77.50M,,329.20M,329.20M,,,84.00M,490.70M,2.345B,69.80M,,,,69.80M,,69.80M,,,,,,,,,,,671.00M,740.80M,39.30M,,39.30M,0.90M,,0.90M,,,40.20M,781.00M,,-134.70M,,,,,,1.564B
1998-10,96.30M,,96.30M,,,79.90M,,,,,692.70M,868.90M,,,,,,,,145.00M,-71.20M,73.80M,,352.20M,352.20M,,,88.20M,514.20M,1.383B,48.50M,,,,48.50M,,48.50M,,,,,,,,,,,312.60M,361.10M,39.30M,,39.30M,0.90M,,0.90M,,,40.20M,401.30M,,-224.60M,,,,,,981.80M
1998-07,138.10M,,138.10M,,,59.40M,3.70M,,,,778.90M,980.10M,,,,,,,,135.50M,-66.10M,69.40M,,371.60M,371.60M,,,77.50M,518.50M,1.499B,44.00M,,,,44.00M,,44.00M,,,,,,,,,,,330.70M,374.70M,35.60M,,35.60M,,,,,-0.10M,35.50M,410.20M,,-175.40M,,,,,,1.088B
