,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-04,291.18M,,13.02M,32.46M,2.454M,34.91M,34.91M,-42.57M,,,,,167.49M,,22.45M,-6.341M,,78.76M,,262.36M,17.99M,576.89M,-18.75M,3.151M,-15.60M,,0.00,-285.51M,-7.839M,-308.95M,,-2.649M,37.04M,-216.46M,-179.42M,,,,,-182.07M,36.57M,85.87M,-0.371M,120.76M,37.04M,,,-216.46M
2005-01,151.87M,,6.409M,23.38M,11.67M,35.04M,35.04M,11.19M,,,,,-238.58M,,76.98M,18.33M,,163.44M,,20.17M,-5.724M,218.96M,-13.17M,,-13.17M,,-4.156M,-151.19M,8.28M,-150.62M,,0.38M,29.41M,-113.65M,-84.24M,,,,,-83.86M,50.79M,-15.52M,-0.013M,36.57M,29.41M,,,-113.65M
2004-10,-45.50M,,11.90M,21.41M,7.89M,29.30M,29.30M,-10.92M,,,,,21.51M,,-96.39M,13.66M,,-15.81M,,-77.02M,4.846M,-87.39M,-24.40M,,-24.40M,,,280.82M,-4.886M,251.54M,,-0.624M,30.96M,-170.56M,-139.60M,,,,,-140.23M,25.99M,23.92M,0.877M,50.79M,30.96M,,,-170.56M
2004-07,-36.98M,,6.703M,19.98M,6.803M,26.79M,26.79M,,,,,,46.97M,,-7.987M,-7.032M,,-150.53M,,-118.58M,27.32M,-28.05M,33.87M,,33.87M,,-0.622M,86.59M,12.45M,130.09M,,-7.827M,14.25M,-98.68M,-84.43M,,,,,-92.26M,18.60M,9.779M,0.115M,25.99M,14.25M,,,-98.68M
2004-04,264.29M,,9.906M,18.72M,9.768M,28.49M,28.49M,,,,,,144.69M,,9.393M,-26.24M,,42.69M,,170.54M,-0.192M,473.02M,-38.51M,,-38.51M,,0.073M,-315.58M,44.46M,-309.55M,,-0.587M,18.33M,-250.37M,-232.04M,,,,,-232.63M,87.96M,-69.16M,-0.198M,18.60M,18.33M,,,-250.37M
2004-01,149.52M,,21.58M,18.83M,9.457M,28.29M,28.29M,,,,,,-206.60M,,-7.532M,19.98M,,204.88M,,10.72M,-0.021M,210.09M,-26.49M,,-26.49M,,-2.785M,-99.71M,-23.67M,-152.65M,,-12.35M,54.62M,-158.06M,-103.43M,,,,,-115.78M,147.51M,-58.34M,-1.212M,87.96M,54.62M,,,-158.06M
2003-10,-53.50M,,11.02M,19.73M,8.821M,28.55M,28.55M,,,,,,12.91M,,-17.39M,25.58M,,-82.59M,,-61.50M,-0.76M,-76.20M,-20.71M,,-20.71M,,-118.02M,264.37M,-3.892M,121.74M,,1.793M,31.94M,-103.07M,-71.14M,,,,,-69.34M,169.84M,-23.80M,1.467M,147.51M,31.94M,,,-103.07M
2003-07,55.14M,,-87.74M,18.30M,11.45M,29.75M,29.75M,19.75M,,,,,32.68M,,63.05M,-18.68M,24.76M,-148.02M,,-46.22M,-331.03M,-360.34M,29.38M,,29.38M,,172.77M,28.14M,-40.18M,364.40M,,-0.469M,30.22M,-315.78M,-285.56M,,,,,-286.03M,450.28M,-281.98M,4.937M,167.34M,30.22M,,,-315.78M
2003-04,222.97M,,14.82M,18.96M,5.512M,24.47M,24.47M,-0.006M,,,,,124.96M,,9.491M,-33.78M,-65.21M,118.57M,,154.03M,76.83M,493.11M,-15.62M,,-15.62M,,-30.74M,-333.06M,-0.481M,-379.90M,,-0.859M,35.05M,-75.34M,-40.29M,,,,,-41.14M,379.92M,72.07M,-1.702M,450.28M,35.05M,,,-75.34M
2003-01,125.16M,,19.82M,17.61M,4.151M,21.76M,21.76M,-3.334M,,,,,-124.45M,,-3.897M,31.94M,48.19M,105.13M,,56.91M,167.35M,387.68M,-27.22M,,-27.22M,,-13.48M,-178.56M,-0.032M,-219.30M,,-1.818M,47.26M,-122.86M,-75.60M,,,,,-77.41M,308.18M,90.96M,1.114M,379.92M,47.26M,,,-122.86M
2002-10,-60.24M,,35.21M,18.51M,3.611M,22.12M,22.12M,5.967M,,,,,-61.34M,,14.64M,3.616M,-7.74M,-7.466M,,-58.29M,97.19M,41.95M,-27.75M,,-27.75M,,-171.74M,290.39M,-2.292M,88.61M,,-0.126M,43.33M,-300.35M,-257.02M,,,,,-257.15M,435.09M,-126.59M,-0.318M,308.18M,43.33M,,,-300.35M
2002-07,-75.68M,,76.86M,12.27M,6.451M,18.72M,18.72M,-21.70M,,,,,24.69M,,-15.09M,-0.816M,51.10M,-145.86M,,-85.98M,313.51M,225.73M,-1.887M,,-1.887M,,-276.53M,490.67M,-27.53M,184.72M,,1.061M,60.98M,-169.08M,-108.11M,,,,,-107.04M,106.35M,303.41M,-0.81M,408.95M,60.98M,,,-169.08M
2002-04,132.70M,,48.04M,16.98M,2.314M,19.29M,19.29M,-0.071M,,,,,191.49M,,0.709M,-21.17M,-38.63M,29.96M,,162.36M,7.627M,369.95M,-15.24M,,-15.24M,,0.00,-292.93M,-3.445M,-311.62M,,-12.06M,14.97M,-75.00M,-60.02M,,,,,-72.09M,121.10M,-13.75M,-1.00M,106.35M,14.97M,,,-75.00M
2002-01,98.75M,,75.59M,14.32M,7.917M,22.24M,22.24M,0.002M,,,,,-216.86M,,8.28M,15.93M,-18.01M,131.01M,,-79.64M,-77.42M,39.51M,-12.09M,,-12.09M,,-7.532M,49.46M,0.163M,30.00M,,-0.702M,35.59M,-53.13M,-17.54M,,,,,-18.24M,95.05M,51.26M,2.179M,121.10M,35.59M,,,-53.13M
2001-10,-102.16M,,90.40M,15.27M,2.339M,17.61M,17.61M,0.198M,,,,,-13.04M,,-5.045M,14.58M,5.542M,-47.96M,,-45.92M,-18.50M,-58.36M,-14.28M,,-14.28M,,,71.34M,1.453M,58.51M,,0.372M,22.02M,-21.14M,0.882M,,,,,1.254M,94.30M,1.407M,-0.66M,95.05M,22.02M,,,-21.14M
2001-07,-61.29M,,-115.56M,59.94M,265.68M,280.42M,280.42M,-126.48M,,,,,75.32M,,-53.34M,-8.309M,63.70M,-56.04M,,21.32M,,-1.591M,-19.09M,,-19.09M,,-4.31M,20.32M,,-3.079M,,-6.289M,31.71M,,23.35M,,,,,17.06M,437.60M,12.39M,0.11M,450.10M,31.71M,,,
2001-04,-14.30M,,224.89M,-29.61M,-79.44M,-63.84M,-63.84M,4.33M,,,,,150.35M,,-10.07M,-43.52M,-74.62M,-7.086M,,15.05M,,166.12M,-12.05M,,-12.05M,,-69.93M,-31.99M,1.254M,-112.71M,,-3.732M,8.036M,,8.036M,,,,,4.304M,377.41M,57.72M,2.481M,437.60M,8.036M,,,
2001-01,26.56M,,38.29M,15.00M,36.33M,51.33M,51.33M,43.29M,,,,,-185.70M,,,35.43M,-40.83M,115.50M,,-75.60M,,83.88M,-16.58M,,-16.58M,,11.73M,-7.866M,-0.254M,-12.97M,,4.633M,23.15M,,23.15M,,,,,27.78M,278.72M,98.69M,,377.41M,23.15M,,,
2000-10,-33.76M,,12.02M,14.61M,43.11M,57.72M,57.72M,2.17M,,,,,-0.095M,,,-6.62M,-2.717M,-43.91M,,-53.34M,,-15.20M,-29.38M,,-29.38M,,-105.86M,-18.31M,-1.00M,-154.55M,,-2.386M,33.90M,,33.90M,,,,,31.52M,416.95M,-138.23M,,278.72M,33.90M,,,
2000-07,17.14M,,11.46M,,,53.66M,53.66M,-137.25M,,,,,60.75M,-3.041M,,-14.38M,-17.67M,-183.09M,,-157.44M,,-212.42M,-23.26M,,-23.26M,,-2.020B,1.710B,1.128M,-332.30M,,70.61M,-70.89M,,-70.89M,,,,,-0.443M,962.11M,-545.15M,,416.95M,-70.89M,,,
2000-04,297.12M,,-421.00M,,,51.25M,51.25M,-3.121M,,,,,121.01M,7.441M,,-27.57M,-31.48M,180.53M,,249.94M,,174.18M,34.82M,,34.82M,,-54.58M,397.68M,-5.698M,372.22M,,15.50M,22.49M,,22.49M,,,,,37.98M,377.70M,584.38M,,962.11M,22.49M,,,
2000-01,57.26M,,-47.00M,,,68.37M,68.37M,3.691M,,,,,-162.02M,-4.40M,,29.94M,0.129M,121.60M,,-14.75M,,67.57M,-79.24M,,-79.24M,,95.56M,-39.72M,-10.40M,-33.80M,,-20.36M,37.84M,,37.84M,,,,,17.48M,326.48M,51.26M,,377.70M,37.84M,,,
1999-10,-65.86M,,70.10M,,,39.93M,39.93M,-3.691M,,,,,-23.38M,,,24.66M,81.47M,-146.50M,,-63.75M,,-23.27M,-27.26M,,-27.26M,,-95.56M,-81.68M,-4.30M,-208.80M,,-6.241M,10.56M,,10.56M,,,,,4.315M,554.23M,-227.76M,,326.48M,10.56M,,,
1999-07,252.90M,,-510.60M,,,45.90M,45.90M,-24.00M,,,,0.102M,51.70M,-2.60M,,-32.60M,-0.60M,26.10M,,42.00M,,-193.70M,-494.23M,,-494.23M,,,775.09M,8.234M,289.10M,,-6.40M,64.10M,,64.10M,,1.24M,,-0.04M,58.90M,366.90M,154.30M,,518.30M,64.10M,,,
1999-04,75.40M,,-58.60M,,,31.80M,31.80M,-1.10M,,,,-0.002M,127.10M,3.60M,,24.90M,61.60M,4.302M,,221.50M,,269.00M,-22.57M,,-22.57M,,,-15.79M,-7.834M,-46.20M,,-73.60M,22.90M,1.30M,24.20M,,-1.04M,,-0.06M,-50.50M,194.60M,172.30M,,366.90M,22.90M,,,1.30M
1999-01,97.40M,,-10.10M,,,26.60M,26.60M,-0.90M,,,,-0.20M,-161.30M,-2.20M,,21.40M,-97.00M,125.10M,,-114.00M,,-1.20M,-13.80M,,-13.80M,,,-8.20M,4.90M,-17.10M,,80.00M,35.20M,-1.30M,33.90M,,-0.20M,,0.10M,113.80M,0.00,95.50M,,194.60M,35.20M,,,-1.30M
1998-10,-49.20M,,,,,37.00M,37.00M,0.90M,,,,0.10M,-20.50M,,,4.40M,4.20M,22.20M,,10.30M,,-0.90M,-13.60M,,-13.60M,,,-19.60M,-12.20M,-45.40M,,,4.40M,,4.40M,,,,,4.40M,138.10M,-41.90M,,0.00,4.40M,,,
1998-07,-39.10M,,53.80M,,,18.40M,18.40M,-38.70M,,,,-0.10M,59.40M,-1.50M,,-4.30M,-8.10M,-45.50M,,0.00,,-5.70M,-354.30M,-26.40M,-380.70M,,,-64.00M,5.40M,-439.30M,,-0.20M,470.10M,,470.10M,,,,50.10M,520.00M,0.00,75.00M,,138.10M,470.10M,,,
