,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,13.69B,13.69B,12.95B,739.30M,,519.30M,4.10M,,,,519.30M,220.00M,,,4.10M,,192.80M,64.40M,128.40M,-3.60M,,124.80M,125.67M,270.10M,50.10M,220.00M,,0.44,-0.01,0.4306,0.43,,0.43,-0.01,0.4209,0.42,,289.20M,299.00M,0.06,,,
2002-06,13.63B,13.63B,12.88B,752.50M,,548.70M,10.00M,,,,548.70M,203.80M,,,10.00M,,181.40M,64.10M,117.30M,,,117.30M,110.83M,254.50M,50.70M,203.80M,,0.41,0.00,0.3876,0.41,,0.39,0.00,0.3685,0.39,,288.40M,301.00M,0.06,,,
2002-03,12.99B,12.99B,12.20B,783.20M,,423.80M,-0.70M,,,3.60M,562.50M,220.70M,,,-0.70M,,190.30M,63.40M,126.90M,-1.50M,,125.40M,127.37M,274.40M,53.70M,220.70M,,0.44,0.00,0.4416,0.44,,0.43,0.00,0.4316,0.43,,286.10M,295.40M,0.06,,,
2001-12,13.19B,13.19B,12.51B,686.50M,,497.00M,9.40M,,,,497.00M,189.50M,,,9.40M,,170.20M,60.10M,110.10M,-1.30M,,108.80M,104.02M,239.00M,49.50M,189.50M,,0.38,0.00,0.3587,0.38,,0.37,0.00,0.3497,0.37,,285.60M,299.20M,0.06,,,
2001-09,12.16B,12.16B,11.49B,664.90M,,513.30M,6.70M,,,,513.30M,151.60M,,,6.70M,,126.70M,46.90M,79.80M,-0.80M,,79.00M,75.58M,203.70M,52.10M,151.60M,,0.28,0.00,0.2652,0.28,,0.27,0.00,0.2559,0.27,,285.00M,299.00M,0.06,,,
2001-06,11.66B,11.66B,11.00B,660.70M,,501.90M,-10.70M,,,18.40M,520.30M,140.40M,,,-10.70M,,119.60M,14.20M,105.40M,,,105.40M,114.83M,191.60M,51.20M,140.40M,,0.37,0.00,0.4032,0.37,,0.36,0.00,0.3919,0.36,,283.90M,295.50M,0.06,,,
2001-03,11.37B,11.37B,10.72B,645.50M,,695.10M,12.20M,,,,842.70M,-197.20M,,,12.20M,,-213.40M,-37.30M,-176.10M,0.60M,-1.60M,-175.50M,-186.17M,-129.60M,67.60M,-197.20M,,-0.62,0.00,-0.6555,-0.62,,-0.62,0.00,-0.6555,-0.62,,283.40M,283.40M,0.06,,,
2000-12,11.03B,11.03B,10.42B,612.80M,,471.20M,-98.90M,,,,471.20M,141.60M,,,-98.90M,,12.90M,5.60M,7.30M,-5.60M,-1.50M,1.70M,66.64M,202.90M,61.30M,141.60M,,0.03,-0.02,0.2394,0.01,,0.03,-0.02,0.2311,0.01,,283.40M,295.10M,0.06,,,
2000-09,9.866B,9.866B,9.294B,571.40M,,454.40M,17.10M,,,,454.40M,117.00M,,,17.10M,,103.80M,41.90M,61.90M,,,61.90M,51.64M,175.80M,58.80M,117.00M,,0.22,0.00,0.1839,0.22,,0.22,0.00,0.1839,0.22,,283.95M,283.95M,0.06,,,
2000-06,9.728B,9.728B,9.088B,640.50M,,448.60M,,,,,506.30M,134.20M,,,,,105.30M,41.70M,63.60M,,-1.50M,63.60M,63.60M,191.90M,57.70M,134.20M,,0.23,0.00,0.23,0.23,,0.22,0.00,0.22,0.22,,282.60M,289.70M,0.06,,,
2000-03,9.279B,9.279B,8.927B,352.10M,,551.80M,45.20M,,,,513.40M,-161.30M,,,45.20M,,-135.40M,-47.20M,-88.20M,-0.20M,-1.60M,427.50M,-117.64M,-99.10M,62.20M,-161.30M,,-0.31,0.00,-0.4156,1.52,,-0.31,0.00,-0.4143,1.51,,278.91M,282.38M,0.06,,,
1999-12,9.891B,9.891B,9.268B,622.80M,,538.80M,263.20M,,,,596.50M,26.30M,,,263.20M,,259.10M,98.50M,160.60M,6.20M,-1.50M,166.80M,-2.541M,84.00M,57.70M,26.30M,,0.57,0.02,0.0071,0.59,,0.56,0.02,-0.0029,0.58,,289.80M,289.80M,0.06,,,
1999-09,8.939B,8.939B,8.309B,630.30M,,460.50M,,,,,521.30M,109.00M,,,,,80.40M,31.10M,49.30M,10.00M,-1.60M,59.30M,49.30M,169.80M,53.50M,109.00M,,0.18,0.03,0.18,0.21,,0.18,0.03,0.18,0.21,,282.38M,282.38M,0.06,,,
1999-06,8.599B,8.599B,7.973B,625.50M,,440.80M,,,,,490.00M,135.50M,,,,,102.80M,39.90M,62.90M,7.20M,-1.50M,70.10M,62.90M,184.70M,49.20M,135.50M,,0.22,0.03,0.22,0.25,,0.22,0.03,0.22,0.25,,290.20M,290.20M,0.06,,,
1999-03,8.251B,8.251B,7.673B,577.90M,,566.70M,,,,,771.70M,-193.80M,,,,,-48.40M,13.70M,-62.10M,0.90M,-1.60M,-61.20M,-62.10M,-144.80M,49.00M,-193.80M,,-0.2209,0.0032,-0.2209,-0.2177,,-0.2209,0.0032,-0.2209,-0.2177,,281.12M,281.12M,0.06,,,
1998-12,8.288B,8.288B,7.652B,635.70M,,499.50M,,,,,524.70M,111.00M,,,,,78.10M,33.00M,45.10M,5.60M,-1.50M,50.70M,45.10M,142.80M,31.80M,111.00M,,0.16,0.02,0.16,0.18,,0.16,0.02,0.16,0.18,,95.37M,100.98M,0.125,,,
1998-09,7.337B,7.337B,6.680B,657.20M,,555.70M,,,,,580.00M,77.20M,,,,,45.80M,19.50M,26.30M,,-1.50M,26.30M,26.30M,129.10M,51.90M,77.20M,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,93.56M,97.91M,0.125,,,
1998-06,6.283B,6.283B,5.622B,660.80M,,465.20M,,,,,513.10M,147.70M,,,,,115.20M,46.10M,69.10M,,-1.60M,69.10M,69.10M,195.60M,47.90M,147.70M,,0.45,0.00,0.45,0.45,,0.43,0.00,0.43,0.43,,95.20M,95.20M,0.125,,,
1998-03,6.610B,6.610B,5.479B,1.131B,,647.10M,,,,,841.40M,289.50M,,,,,259.60M,103.60M,156.00M,,-1.50M,185.40M,156.00M,371.30M,81.80M,289.50M,,2.003,,2.003,2.003,,2.003,,2.003,2.003,,94.93M,94.93M,0.125,,,
1997-12,5.374B,5.374B,4.974B,399.30M,,281.60M,,,,,303.90M,95.40M,,,,,67.10M,25.10M,42.00M,,-1.60M,42.00M,42.00M,117.70M,22.30M,95.40M,,0.45,0.00,0.45,0.45,,0.43,0.00,0.43,0.43,,93.33M,97.67M,0.125,,,
1997-09,5.147B,5.147B,4.759B,388.20M,,276.40M,,,,,296.90M,91.30M,,,,,64.80M,25.20M,39.60M,,-1.50M,39.60M,39.60M,111.80M,20.50M,91.30M,,0.44,0.00,0.44,0.44,,0.41,0.00,0.41,0.41,,90.00M,96.59M,0.125,,,
1997-06,4.343B,4.343B,3.957B,386.10M,,278.50M,,,,,299.80M,86.30M,,,,,61.60M,24.00M,37.60M,,-1.60M,37.60M,37.60M,107.60M,21.30M,86.30M,,0.41,0.00,0.41,0.41,,0.39,0.00,0.39,0.39,,91.71M,96.41M,0.125,,,
1997-03,8.026B,8.026B,6.934B,1.093B,,679.70M,,,,,871.00M,221.60M,,,,,193.70M,78.70M,115.00M,0.90M,,115.90M,115.00M,309.90M,88.30M,221.60M,,0.71,-1.03,0.71,-0.32,,0.71,-1.05,0.71,-0.34,,83.65M,84.39M,0.125,,,
1996-12,3.487B,3.487B,3.230B,257.00M,,339.60M,,,,,352.80M,-95.80M,,,,,-108.50M,-24.20M,-84.30M,122.30M,,38.00M,-84.30M,-82.60M,13.20M,-95.80M,,-0.43,1.46,-0.43,1.03,,-0.43,1.46,-0.43,1.03,,45.50M,45.50M,0.125,,,
1996-09,3.566B,3.566B,3.266B,300.50M,,221.00M,,,,,241.50M,59.00M,,,,,47.00M,18.90M,28.10M,,-1.50M,28.10M,28.10M,81.20M,22.20M,59.00M,,0.30,0.03,0.30,0.33,,0.29,0.03,0.29,0.32,,85.15M,87.81M,0.125,,,
1996-06,2.671B,2.671B,2.421B,249.50M,,225.70M,,,,,243.30M,6.20M,,,,,-4.70M,16.70M,-21.40M,3.30M,,-18.10M,-21.40M,23.80M,17.60M,6.20M,,-0.25,0.04,-0.25,-0.21,,-0.25,0.04,-0.25,-0.21,,86.19M,86.19M,0.125,,,
1996-03,2.731B,2.731B,2.648B,82.40M,,32.30M,,,,,44.40M,38.00M,,,,,33.50M,10.20M,23.30M,,,38.00M,23.30M,50.10M,12.10M,38.00M,,0.32,0.17,0.32,0.49,,0.25,0.16,0.25,0.41,,73.03M,92.56M,0.125,,,
1995-12,3.550B,3.550B,3.254B,295.40M,,211.10M,,,,,228.80M,66.60M,,,,,54.00M,21.10M,32.90M,,-0.80M,32.90M,32.90M,84.30M,17.70M,66.60M,,0.35,0.00,0.35,0.35,,0.35,0.00,0.35,0.35,,94.00M,94.00M,0.125,,,
1995-09,3.348B,3.348B,3.046B,302.90M,,218.70M,,,,,236.40M,66.50M,,,,,53.20M,21.50M,31.70M,,-1.30M,31.70M,31.70M,84.20M,17.70M,66.50M,,0.34,0.00,0.34,0.34,,0.34,0.00,0.34,0.34,,93.24M,93.24M,0.125,,,
1995-06,3.336B,3.336B,3.037B,299.00M,,212.10M,,,,,228.80M,70.20M,,,,,56.20M,23.40M,32.80M,,-1.60M,32.80M,32.80M,86.90M,16.70M,70.20M,,0.35,0.00,0.35,0.35,,0.35,0.00,0.35,0.35,,93.71M,93.71M,0.125,,,
1995-03,-402.30M,-402.30M,-435.90M,33.60M,,-79.90M,,,,,-73.90M,107.50M,,,,,97.80M,15.10M,82.70M,-43.10M,,39.60M,82.70M,113.50M,6.00M,107.50M,,1.02,-0.66,1.02,0.36,,1.02,-0.66,1.02,0.36,,93.56M,93.60M,0.125,,,
1994-12,3.35B,3.35B,3.114B,236.30M,,452.50M,3.10M,,,,452.50M,-216.20M,,,3.10M,,-226.30M,50.00M,-276.30M,579.70M,-1.90M,303.40M,-278.16M,-216.20M,,-216.20M,,-3.12,6.55,-3.141,3.43,,-3.12,6.36,-3.140,3.33,,88.45M,91.11M,0.125,,,
1994-09,3.246B,3.246B,,,,,,,,,,3.246B,,,,,,,21.80M,9.00M,,30.80M,21.80M,3.246B,,3.246B,,0.18,0.24,0.18,0.42,,0.18,0.14,0.18,0.36,,73.33M,85.56M,0.21,,,
1994-06,3.246B,3.246B,,,,,,,,,,3.246B,,,,,,,21.80M,9.00M,,30.80M,21.80M,3.246B,,3.246B,,0.18,0.24,0.18,0.42,,0.18,0.14,0.18,0.36,,73.33M,85.56M,0.21,,,
