,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,2.254B,,2.254B,5.983B,,5.983B,7.791B,293.00M,981.00M,,17.30B,,,,,1.494B,-860.00M,634.00M,1.696B,132.00M,1.828B,,1.715B,4.177B,21.48B,,10.43B,10.43B,,10.43B,,,,25.00M,,25.00M,813.00M,813.00M,,2.666B,13.93B,959.00M,,959.00M,,,,,669.00M,1.628B,15.56B,,3.00M,4.248B,3.444B,1.818B,,,44.00M,5.921B,,,
2006-06,2.00B,,2.00B,6.249B,,6.249B,7.714B,168.00M,981.00M,,17.11B,,,,,1.504B,-860.00M,644.00M,1.786B,133.00M,1.919B,,1.664B,4.227B,21.34B,,10.39B,10.39B,,10.39B,,,,26.00M,,26.00M,828.00M,828.00M,,2.582B,13.82B,962.00M,,962.00M,,,,,643.00M,1.605B,15.43B,,3.00M,4.037B,3.272B,1.446B,,,43.00M,5.909B,,,
2006-03,2.139B,,2.139B,6.247B,,6.247B,7.127B,522.00M,962.00M,,17.00B,,,,,1.523B,-860.00M,663.00M,1.637B,116.00M,1.753B,,1.548B,3.964B,20.96B,,10.06B,10.06B,,10.06B,,,,26.00M,,26.00M,827.00M,827.00M,,2.582B,13.49B,965.00M,,965.00M,,,,,599.00M,1.564B,15.05B,,3.00M,3.871B,3.238B,1.16B,,,-45.00M,5.907B,,,
2005-12,2.183B,,2.183B,6.38B,,6.38B,8.208B,160.00M,,,16.93B,,,,,1.471B,-804.00M,667.00M,,1.82B,1.82B,,1.342B,3.829B,20.76B,,10.18B,10.18B,,10.18B,,,,6.00M,,6.00M,770.00M,770.00M,,2.33B,13.28B,985.00M,,985.00M,,,,,582.00M,1.567B,14.85B,,3.00M,3.67B,3.06B,781.00M,,,-44.00M,5.908B,,,
2005-09,2.996B,,2.996B,5.855B,,5.855B,7.588B,246.00M,,,16.68B,,,,,1.453B,-804.00M,649.00M,,1.826B,1.826B,,1.296B,3.771B,20.46B,,10.06B,10.06B,,10.06B,,,,6.00M,,6.00M,539.00M,539.00M,,2.41B,13.01B,988.00M,,988.00M,,,,,605.00M,1.593B,14.60B,,3.00M,3.494B,2.877B,491.00M,,,-30.00M,5.853B,,,
2005-06,2.409B,9.00M,2.418B,5.782B,,5.782B,7.228B,317.00M,,,15.74B,,,,,1.432B,-804.00M,628.00M,,1.534B,1.534B,,1.222B,3.384B,19.13B,,8.762B,8.762B,,8.762B,,,,8.00M,,8.00M,573.00M,573.00M,,2.466B,11.81B,992.00M,,992.00M,,,,,593.00M,1.585B,13.39B,,3.00M,3.346B,2.713B,262.00M,,,-65.00M,5.735B,,,
2005-03,1.80B,,1.80B,5.721B,,5.721B,7.495B,346.00M,,,15.36B,,,,,1.42B,-804.00M,616.00M,,1.529B,1.529B,,1.268B,3.413B,18.78B,,8.733B,8.733B,,8.733B,,,,9.00M,,9.00M,593.00M,593.00M,,2.457B,11.79B,1.202B,,1.202B,,,,,506.00M,1.708B,13.50B,,3.00M,3.194B,2.32B,196.00M,,,-46.00M,5.275B,,,
2004-12,1.033B,8.90M,1.042B,5.616B,,5.616B,8.317B,335.30M,,,15.31B,,,,,1.335B,-723.00M,612.00M,,1.514B,1.514B,,1.249B,3.375B,18.68B,,8.822B,8.822B,,8.822B,,,,259.90M,,259.90M,610.70M,610.70M,,2.356B,12.05B,1.202B,,1.202B,,,,,509.60M,1.711B,13.76B,,3.00M,2.952B,2.203B,195.50M,,,-38.50M,4.925B,,,
2004-09,996.20M,9.20M,1.005B,5.562B,,5.562B,7.935B,134.10M,,,14.64B,,,,,1.323B,-723.40M,599.30M,,1.512B,1.512B,,1.218B,3.329B,17.97B,,8.743B,8.743B,,8.743B,,,,261.20M,,261.20M,429.00M,429.00M,,1.298B,10.73B,1.205B,,1.205B,,,,,496.80M,1.702B,12.43B,,3.00M,3.635B,2.162B,195.70M,,,-72.80M,5.532B,,,
2004-06,836.70M,10.10M,846.80M,5.448B,,5.448B,7.379B,141.90M,,,13.82B,,,,,1.318B,-723.40M,594.40M,,1.503B,1.503B,,1.230B,3.327B,17.14B,,8.254B,8.254B,,8.254B,,,,286.40M,,286.40M,469.80M,469.80M,,1.003B,10.01B,1.205B,,1.205B,,,,,502.80M,1.708B,11.72B,,3.00M,3.567B,2.155B,194.30M,,,-107.40M,5.423B,,,
2004-03,708.00M,9.80M,717.80M,5.419B,,5.419B,6.735B,132.50M,,,13.00B,0.00,34.20M,1.289B,,1.323B,-723.40M,599.90M,,1.490B,1.490B,,1.146B,3.236B,16.24B,,7.362B,7.362B,,7.362B,,,,274.80M,,274.80M,503.20M,503.20M,,1.276B,9.416B,1.210B,,1.210B,,,,,448.80M,1.659B,11.07B,,3.00M,3.421B,2.047B,194.10M,,,-111.30M,5.165B,,,
2003-12,200.50M,13.70M,214.20M,5.346B,,5.346B,7.106B,112.70M,,,12.78B,,,,,1.233B,-637.40M,596.00M,,1.492B,1.492B,,1.088B,3.176B,15.95B,,7.304B,7.304B,,7.304B,,,,234.10M,,234.10M,543.90M,543.90M,,989.50M,9.072B,1.470B,,1.470B,,,,,443.70M,1.913B,10.98B,,2.90M,3.224B,2.027B,148.90M,,,-134.40M,4.970B,,,
2003-09,261.60M,15.10M,276.70M,4.945B,,4.945B,6.944B,97.30M,,,12.26B,,,,,1.229B,-637.40M,591.80M,,1.455B,1.455B,,1.065B,3.112B,15.38B,,7.222B,7.222B,,7.222B,,,,151.40M,,151.40M,379.20M,379.20M,,863.90M,8.616B,1.276B,,1.276B,,,,196.50M,439.90M,1.912B,10.53B,,2.90M,3.121B,2.000B,108.80M,,,-168.20M,4.847B,,,
2003-06,445.20M,11.70M,456.90M,5.090B,,5.090B,5.968B,110.30M,,,11.63B,,,,,1.234B,-637.40M,596.50M,,1.456B,1.456B,,1.086B,3.139B,14.76B,,6.981B,6.981B,,6.981B,,,,16.40M,,16.40M,423.00M,423.00M,,792.00M,8.213B,1.279B,,1.279B,,,196.50M,,401.90M,1.681B,9.894B,,2.90M,2.982B,1.962B,104.00M,,,-168.50M,4.674B,,,
2003-03,522.00M,11.50M,533.50M,4.595B,,4.595B,6.022B,102.90M,,,11.25B,0.00,34.30M,1.197B,,1.231B,-637.40M,593.70M,,1.450B,1.450B,,1.064B,3.108B,14.36B,,6.631B,6.631B,,6.631B,,,,10.20M,,10.20M,459.70M,459.70M,,874.60M,7.975B,1.497B,,1.497B,,,,,363.50M,1.860B,9.836B,,2.90M,2.843B,1.921B,28.60M,,,-213.30M,4.526B,,,
2002-12,316.10M,11.30M,327.40M,3.801B,,3.801B,6.541B,105.10M,,,10.77B,,,,,1.167B,-584.90M,582.40M,,1.444B,1.444B,,1.003B,3.029B,13.80B,,6.315B,6.315B,,6.315B,,,,39.30M,,39.30M,474.00M,474.00M,,804.80M,7.634B,1.292B,,1.292B,,,196.30M,,350.10M,1.642B,9.276B,,2.90M,2.682B,1.908B,26.50M,,,-234.10M,4.332B,,,
2002-09,300.30M,11.30M,311.60M,4.406B,,4.406B,5.994B,100.30M,,,10.81B,,,,,1.169B,-584.90M,584.10M,,1.446B,1.446B,,1.028B,3.058B,13.87B,,6.347B,6.347B,,6.347B,,,,141.60M,,141.60M,371.60M,371.60M,,973.10M,7.833B,1.295B,,1.295B,,,196.20M,,345.40M,1.641B,9.474B,,2.90M,2.565B,1.882B,0.80M,,,-249.30M,4.199B,,,
2002-06,289.80M,11.60M,301.40M,4.197B,,4.197B,6.178B,118.20M,,,10.80B,,,,,1.168B,-584.90M,583.30M,,1.112B,1.112B,,975.20M,2.671B,13.47B,,6.345B,6.345B,,6.345B,,,,141.50M,,141.50M,379.60M,379.60M,,688.20M,7.554B,1.287B,,1.287B,,,196.20M,,331.40M,1.618B,9.172B,,2.90M,2.457B,1.873B,,,,-235.60M,4.097B,,,
2002-03,557.80M,5.10M,562.90M,3.998B,,3.998B,6.012B,128.60M,,,10.70B,0.00,34.20M,1.145B,,1.179B,-585.30M,593.50M,,1.116B,1.116B,,915.60M,2.625B,13.33B,,6.318B,6.318B,,6.318B,,,,141.30M,,141.30M,404.10M,404.10M,,724.60M,7.588B,1.289B,,1.289B,,,196.10M,,312.70M,1.601B,9.190B,,2.90M,2.357B,1.831B,,,,-251.00M,3.940B,,,
2001-12,284.90M,5.30M,290.20M,3.604B,,3.604B,6.259B,160.70M,,,10.31B,,,,,1.244B,-663.70M,579.80M,,969.60M,969.60M,,925.10M,2.474B,12.79B,,6.249B,6.249B,,6.249B,,,,333.40M,,333.40M,427.60M,427.60M,,633.70M,7.644B,893.40M,,893.40M,,,,196.10M,272.50M,1.362B,9.006B,,2.90M,2.249B,1.831B,38.70M,,,-260.90M,3.783B,,,
2001-09,286.40M,6.70M,293.10M,3.657B,,3.657B,5.655B,146.40M,,,9.751B,,,,,1.243B,-663.70M,579.20M,968.80M,94.70M,1.064B,,804.10M,2.447B,12.20B,,5.962B,5.962B,,5.962B,192.80M,,,192.80M,,192.80M,297.00M,297.00M,,574.10M,7.026B,1.024B,,1.024B,,,,196.00M,268.30M,1.488B,8.514B,,2.90M,2.157B,1.825B,35.40M,,,-265.80M,3.684B,,,
2001-06,230.30M,8.60M,238.90M,3.404B,,3.404B,5.900B,157.20M,,,9.70B,,,,,1.251B,-663.70M,587.60M,,1.067B,1.067B,,718.40M,2.373B,12.07B,,5.628B,5.628B,,5.628B,,,,437.50M,,437.50M,330.60M,330.60M,,567.20M,6.964B,1.024B,,1.024B,,,,196.00M,266.40M,1.486B,8.45B,,2.90M,2.095B,1.832B,48.10M,,,-258.20M,3.623B,,,
2001-03,433.70M,11.90M,445.60M,3.443B,,3.443B,5.116B,158.60M,,,9.164B,0.00,33.80M,1.225B,,1.259B,-663.70M,595.30M,,1.064B,1.064B,,706.20M,2.366B,11.53B,,5.362B,5.362B,,5.362B,,,,194.10M,,194.10M,378.50M,378.50M,,615.20M,6.550B,1.036B,,1.036B,,,195.90M,,255.80M,1.291B,7.841B,,2.90M,2.007B,1.829B,72.90M,,,-272.40M,3.493B,,,
2000-12,333.20M,19.00M,352.20M,3.542B,,3.542B,4.923B,,,120.80M,8.938B,,,,,1.211B,-651.60M,559.70M,,1.200B,1.200B,,739.70M,2.499B,11.44B,,4.414B,4.414B,,4.414B,,,,18.00M,,18.00M,,,,1.630B,6.062B,1.208B,,1.208B,,,195.90M,,255.20M,1.463B,7.524B,,2.90M,2.199B,1.835B,45.20M,,,-275.40M,3.716B,,,
2000-09,176.40M,34.80M,211.20M,3.221B,,3.221B,4.468B,,,169.00M,8.069B,,,,,620.10M,-63.50M,556.60M,,1.207B,1.207B,,715.00M,2.479B,10.55B,,3.977B,3.977B,,3.977B,,,,384.50M,,384.50M,,,,848.60M,5.210B,1.224B,,1.224B,,,195.90M,,250.10M,1.474B,6.684B,,2.90M,2.214B,18.27B,52.00M,,,-324.50M,3.668B,,,
2000-06,452.30M,38.10M,490.40M,3.101B,,3.101B,4.303B,,,186.40M,8.081B,,,,,6.700B,-6.147B,552.30M,,1.170B,1.170B,,685.50M,2.408B,10.49B,,3.923B,3.923B,,3.923B,,,,16.00M,,16.00M,,,,1.253B,5.192B,1.236B,,1.236B,,,195.80M,,247.70M,1.484B,6.676B,,2.80M,2.169B,1.806B,32.60M,,,-329.10M,3.616B,,,
2000-03,548.90M,57.00M,605.90M,3.034B,,3.034B,4.149B,,,175.80M,7.966B,,,,,1.150B,-594.20M,555.40M,,1.186B,1.186B,,666.40M,2.407B,10.37B,,3.678B,3.678B,,3.678B,,,,16.20M,,16.20M,,,,1.427B,5.122B,1.244B,,1.244B,,,195.80M,,245.70M,1.490B,6.611B,,2.80M,2.122B,1.791B,27.30M,,,-323.10M,3.566B,,,
1999-12,204.80M,195.40M,400.20M,,,2.730B,4.06B,,,136.20M,7.326B,,,,,1.137B,-587.50M,549.20M,,1.284B,1.284B,,1.046B,2.879B,10.21B,,3.922B,3.922B,,3.922B,,,,441.00M,,441.00M,,,,1.283B,5.646B,914.80M,,914.80M,,,195.70M,,277.50M,1.192B,6.838B,,2.80M,1.711B,1.755B,26.80M,,,-270.30M,3.172B,,,
1999-09,179.00M,28.10M,207.10M,,,2.744B,3.680B,,,167.00M,6.798B,,,,,1.445B,-715.20M,729.90M,,1.224B,1.224B,,745.60M,2.700B,9.497B,,2.965B,2.965B,,2.965B,,,,854.90M,,854.90M,,,,1.285B,5.105B,929.80M,,929.80M,,,195.70M,,254.90M,1.185B,6.290B,,2.80M,1.561B,1.748B,31.90M,,,-267.90M,3.012B,,,
1999-06,178.80M,,178.80M,,,2.532B,3.666B,,,319.40M,6.696B,,,,,1.420B,-701.30M,718.30M,,1.223B,1.223B,,686.90M,2.628B,9.325B,,3.009B,3.009B,,3.009B,,,,1.052B,,1.052B,,,,919.60M,4.980B,937.60M,,937.60M,,,195.60M,,253.10M,1.191B,6.171B,,,1.518B,,,,,,2.958B,,,
1999-03,233.70M,28.20M,261.90M,,,2.552B,3.522B,,,116.40M,6.453B,,,,,1.066B,-536.50M,529.60M,,1.201B,1.201B,,837.00M,2.567B,9.02B,,3.132B,3.132B,,3.132B,,,,212.00M,,212.00M,,,,1.401B,4.745B,939.20M,,939.20M,,,195.60M,,258.60M,1.198B,5.943B,,2.80M,1.465B,1.726B,30.80M,,,-280.90M,2.882B,,,
1998-12,124.00M,,124.00M,,,2.047B,3.285B,,,74.50M,5.53B,,,,,1.036B,-522.20M,513.90M,,996.90M,996.90M,,398.90M,1.910B,7.440B,,2.282B,2.282B,,2.282B,,,,1.396B,,1.396B,,,,509.60M,4.188B,1.142B,,1.142B,,,195.40M,,233.40M,1.376B,5.564B,,,1.243B,,,,,,1.681B,,,
1998-09,103.50M,,103.50M,,,1.949B,3.207B,,,70.30M,5.330B,,,,,971.00M,-491.20M,479.80M,,828.20M,828.20M,,379.20M,1.687B,7.017B,,2.587B,2.587B,,2.587B,,,,746.20M,,746.20M,,,,475.40M,3.809B,1.142B,,1.142B,,,195.50M,,240.40M,1.382B,5.191B,,,1.211B,,,,,,1.631B,,,
1998-06,169.80M,,169.80M,,,1.732B,2.775B,,,78.20M,4.755B,,,,,892.40M,-448.40M,444.00M,,751.70M,751.70M,,350.20M,1.546B,6.301B,,2.397B,2.397B,,2.397B,,,,68.70M,,68.70M,,,,692.90M,3.159B,1.148B,,1.148B,,,195.40M,,238.40M,1.386B,4.545B,,,1.204B,,,,,,1.561B,,,
1998-03,566.30M,,566.30M,,,1.96B,2.609B,,,222.10M,5.357B,,,,,1.203B,-609.90M,593.10M,,973.80M,973.80M,,425.70M,1.993B,7.350B,,1.920B,1.920B,,1.920B,,,,399.30M,,399.30M,,,,808.00M,3.127B,1.224B,,1.224B,,,195.40M,,242.00M,1.466B,4.593B,,,1.462B,,,,,,2.562B,,,
1997-12,71.00M,,71.00M,,,1.520B,2.358B,,,158.70M,4.108B,,,,,828.70M,-432.20M,396.50M,,756.50M,756.50M,,322.90M,1.476B,5.584B,,1.816B,1.816B,,1.816B,,,,409.70M,,409.70M,,,,636.40M,2.863B,918.10M,,918.10M,,,195.10M,,243.20M,1.161B,4.024B,,,1.148B,,,,,,1.365B,,,
1997-09,79.30M,,79.30M,,,1.333B,2.215B,,,150.40M,3.777B,,,,,810.80M,-425.10M,385.70M,,750.20M,750.20M,,322.20M,1.458B,5.236B,,1.615B,1.615B,,1.615B,,,,399.40M,,399.40M,,,,642.20M,2.656B,806.10M,,806.10M,,,195.10M,,246.60M,1.053B,3.709B,,,1.118B,,,,,,1.332B,,,
1997-06,76.80M,,76.80M,,,1.248B,2.117B,,,146.50M,3.588B,,,,,796.10M,-418.40M,377.70M,,740.00M,740.00M,,312.20M,1.430B,5.018B,,1.632B,1.632B,,1.632B,,,,195.30M,,195.30M,,,,636.10M,2.463B,807.70M,,807.70M,,,195.10M,,256.70M,1.064B,3.528B,,,1.089B,,,,,,1.295B,,,
1997-03,124.80M,,124.80M,,,1.224B,2.260B,,,152.30M,3.761B,,,,,779.30M,-405.70M,373.60M,,736.20M,736.20M,,301.90M,1.412B,5.173B,,1.855B,1.855B,,1.855B,,,,371.00M,,371.00M,,,,411.50M,2.637B,824.90M,,824.90M,,,194.80M,,255.10M,1.08B,3.717B,,,1.063B,,,,,,1.261B,,,
1996-12,266.80M,,266.80M,,,1.184B,2.235B,,,54.10M,3.740B,,,,,750.90M,-391.20M,359.70M,,142.50M,142.50M,,290.50M,792.70M,4.532B,,1.554B,1.554B,,1.554B,,,,676.80M,,676.80M,,,,638.20M,2.869B,442.10M,,442.10M,,,,,214.10M,656.20M,3.525B,,,1.036B,,,,,,1.007B,,,
1996-09,188.30M,,188.30M,,,989.20M,1.343B,,,98.10M,2.618B,,,,,833.20M,-444.30M,388.90M,,279.20M,279.20M,,277.20M,945.30M,3.564B,,1.208B,1.208B,,1.208B,,,,119.20M,,119.20M,,,,541.10M,1.869B,445.70M,,445.70M,,,58.20M,,213.20M,658.90M,2.528B,,,1.007B,,,,,,977.90M,,,
1996-06,163.10M,,163.10M,866.80M,,866.80M,1.328B,,,175.70M,2.533B,,,,,815.40M,-432.30M,383.10M,,282.50M,282.50M,,249.00M,914.60M,3.448B,,1.158B,1.158B,,1.158B,,,,113.70M,,113.70M,,,,465.30M,1.737B,444.80M,,444.80M,,,57.80M,,216.20M,661.00M,2.398B,,,989.10M,,,,,,992.40M,,,
1996-03,260.80M,,260.80M,672.80M,,672.80M,1.317B,,,212.40M,2.463B,,,,,713.70M,-357.70M,356.00M,,183.70M,183.70M,,357.50M,897.20M,3.360B,,1.149B,1.149B,,1.149B,,,,221.70M,,221.70M,,,,271.60M,1.642B,370.60M,,370.60M,,,,,282.50M,653.10M,2.296B,,,968.90M,,,,,,1.065B,,,
1995-12,181.60M,,181.60M,,,875.70M,1.347B,,,435.60M,2.840B,,,,,787.20M,-413.10M,374.10M,,226.40M,226.40M,,234.30M,834.80M,3.674B,,1.280B,1.280B,,1.280B,,,,122.80M,,122.80M,,,,482.30M,1.885B,455.80M,,455.80M,,,58.90M,,201.90M,657.70M,2.543B,,,941.50M,,,,,,1.073B,,,
1995-09,370.80M,,370.80M,,,809.50M,1.108B,,,480.80M,2.769B,,,,,774.80M,-402.20M,372.60M,,211.30M,211.30M,,223.70M,807.60M,3.577B,,1.414B,1.414B,,1.414B,,,,108.90M,,108.90M,,,,276.50M,1.800B,456.00M,,456.00M,,,59.50M,,209.70M,665.70M,2.466B,,,919.40M,,,,,,1.052B,,,
1995-06,288.90M,,288.90M,,,793.50M,1.083B,,,496.70M,2.662B,,,,,762.90M,-395.40M,367.50M,,213.50M,213.50M,,212.00M,793.00M,3.455B,,1.036B,1.036B,,1.036B,,,,308.80M,,308.80M,,,,338.80M,1.683B,461.90M,,461.90M,,,59.90M,,206.90M,668.80M,2.352B,,,898.10M,,,,,,1.043B,,,
1995-03,363.10M,,363.10M,,,651.70M,1.082B,,,367.50M,2.464B,,,,,673.30M,-331.70M,341.60M,,172.40M,172.40M,,282.00M,796.00M,3.260B,,1.070B,1.070B,,1.070B,,,,199.20M,,199.20M,,,,316.30M,1.585B,453.00M,,453.00M,,,,,208.50M,661.50M,2.247B,,,875.90M,,,,,,1.014B,,,
1994-12,144.20M,,144.20M,,,1.323B,1.219B,,,73.50M,2.760B,,,,,749.90M,-398.90M,351.00M,,216.30M,216.30M,,178.10M,745.40M,3.505B,,1.086B,1.086B,,1.086B,,,,329.10M,,329.10M,,,,371.60M,1.787B,459.40M,,459.40M,,,56.50M,,213.00M,672.40M,2.459B,,,862.10M,,,,,,989.60M,,,
