,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-03,3.738B,608.00M,4.346B,4.68B,408.00M,,5.088B,,,503.00M,1.431B,11.37B,1.066B,5.556B,7.352B,18.96B,933.00M,132.00M,34.00B,-16.00B,18.00B,1.964B,509.00M,2.473B,,,429.00M,,,1.503B,22.40B,33.77B,1.677B,,,1.677B,1.588B,3.265B,,,,3.346B,,3.346B,2.183B,8.794B,,8.737B,,8.737B,583.00M,583.00M,,6.449B,,2.43B,18.20B,26.99B,10.00M,12.36B,46.00M,106.00M,,,-5.639B,6.78B
2008-12,507.00M,542.00M,1.049B,5.547B,480.00M,,6.194B,,,494.00M,1.108B,8.845B,1.068B,5.538B,7.34B,20.07B,944.00M,136.00M,35.10B,-16.83B,18.26B,1.986B,511.00M,2.497B,,,476.00M,,,1.786B,23.03B,31.88B,1.855B,0.00,,1.855B,1.436B,3.291B,,,,2.074B,,2.074B,2.452B,7.817B,,7.797B,,7.797B,588.00M,588.00M,,6.323B,,2.574B,17.28B,25.10B,10.00M,12.41B,0.00,121.00M,,,-5.642B,6.78B
2008-09,1.239B,523.00M,1.762B,5.894B,589.00M,,6.711B,,,520.00M,1.079B,10.07B,1.08B,2.877B,7.454B,22.66B,927.00M,143.00M,35.14B,-16.78B,18.36B,2.576B,575.00M,3.151B,,490.00M,,,,1.568B,28.09B,38.16B,2.01B,0.00,,2.01B,1.771B,3.781B,,,,2.895B,,2.895B,2.296B,8.972B,,8.064B,,8.064B,2.768B,2.768B,,4.848B,,2.411B,18.09B,27.06B,10.00M,12.71B,0.00,120.00M,,,-1.619B,11.10B
2008-06,1.178B,511.00M,1.689B,5.946B,524.00M,,6.722B,,,524.00M,989.00M,9.924B,1.086B,2.903B,7.521B,22.17B,1.014B,144.00M,34.84B,-16.62B,18.21B,2.616B,604.00M,3.22B,,465.00M,,,,1.737B,28.13B,38.06B,2.284B,0.00,,2.284B,1.67B,3.954B,,,,3.621B,,3.621B,2.392B,9.967B,,7.233B,,7.233B,2.512B,2.512B,,4.73B,,2.594B,17.07B,27.04B,10.00M,12.84B,0.00,119.00M,,,-1.831B,11.02B
2008-03,1.009B,475.00M,1.484B,5.956B,513.00M,127.00M,6.596B,,,641.00M,881.00M,9.602B,1.072B,5.514B,26.79B,,892.00M,,34.27B,-16.35B,17.92B,2.607B,612.00M,3.219B,,450.00M,,,,6.278B,27.87B,37.47B,1.946B,0.00,359.00M,2.305B,1.656B,3.961B,,,,2.508B,,2.508B,2.508B,8.977B,,7.294B,,7.294B,2.472B,2.472B,4.622B,,,2.512B,16.90B,25.88B,10.00M,13.52B,0.00,118.00M,,,-1.934B,11.59B
2007-12,2.027B,577.00M,2.604B,6.084B,468.00M,,7.808B,,,606.00M,742.00M,11.76B,1.056B,5.441B,7.236B,18.84B,889.00M,153.00M,33.61B,-15.95B,17.66B,2.577B,628.00M,3.205B,,,431.00M,,,1.562B,27.28B,39.04B,1.819B,440.00M,,2.259B,1.414B,3.673B,,,,3.512B,,3.512B,2.655B,9.84B,,7.506B,,7.506B,2.62B,2.62B,,4.438B,,2.455B,17.02B,26.86B,10.00M,14.19B,0.00,137.00M,,,-2.013B,12.18B
2007-09,1.245B,754.00M,1.999B,5.674B,472.00M,,6.146B,,,601.00M,796.00M,9.542B,1.049B,5.325B,25.99B,,1.098B,,33.46B,-16.13B,17.33B,2.58B,650.00M,3.23B,,474.00M,,,,3.923B,24.95B,34.50B,1.62B,0.00,563.00M,2.183B,1.728B,3.911B,,,,1.374B,,1.374B,2.564B,7.849B,,3.287B,,3.287B,2.617B,2.617B,2.81B,,,2.364B,11.08B,18.93B,10.00M,17.73B,0.00,137.00M,19.00M,-2.193B,-2.174B,15.57B
2007-06,856.00M,1.265B,2.121B,5.544B,423.00M,,5.967B,,,533.00M,841.00M,9.462B,1.031B,5.238B,25.62B,,1.00B,,32.88B,-15.90B,16.99B,2.553B,672.00M,3.225B,,431.00M,,,,3.408B,24.05B,33.51B,1.664B,0.00,108.00M,1.772B,1.614B,3.386B,,,,1.487B,,1.487B,2.337B,7.21B,,3.101B,,3.101B,2.568B,2.568B,2.84B,,,2.55B,11.06B,18.27B,11.00M,17.43B,0.00,136.00M,,,-2.198B,15.24B
2007-03,871.00M,1.527B,2.398B,5.49B,409.00M,,5.899B,,,489.00M,736.00M,9.522B,1.059B,5.201B,25.27B,,827.00M,,32.35B,-15.62B,16.74B,2.543B,703.00M,3.246B,,394.00M,,,,3.475B,23.85B,33.38B,1.797B,0.00,539.00M,2.336B,1.473B,3.809B,,,,976.00M,,976.00M,2.232B,7.017B,,3.139B,,3.139B,2.535B,2.535B,2.788B,,,2.588B,11.05B,18.07B,11.00M,17.48B,0.00,135.00M,-78.00M,-2.101B,-2.179B,15.31B
2006-12,794.00M,1.189B,1.983B,5.794B,426.00M,,6.285B,,,414.00M,695.00M,9.377B,1.026B,2.667B,6.903B,20.63B,715.00M,142.00M,32.08B,-15.30B,16.78B,2.533B,688.00M,3.221B,,374.00M,,,,1.415B,23.83B,33.21B,1.841B,400.00M,,2.241B,1.303B,3.544B,,,,983.00M,,983.00M,2.192B,6.719B,,3.133B,,3.133B,2.529B,2.529B,,2.748B,,2.599B,11.01B,17.73B,11.00M,17.68B,0.00,147.00M,,,-2.205B,15.48B
2006-09,1.139B,1.102B,2.241B,5.892B,468.00M,,6.36B,,4.721B,635.00M,-3.816B,10.14B,1.007B,5.088B,24.80B,,547.00M,,31.44B,-15.09B,16.35B,2.484B,712.00M,3.196B,,,,,,6.482B,26.03B,36.17B,2.371B,0.00,,2.371B,1.65B,4.021B,,,,1.65B,,1.65B,2.148B,7.819B,,3.113B,,3.113B,6.312B,6.312B,1.751B,,,,11.18B,19.00B,11.00M,17.28B,0.00,147.00M,,,-112.00M,17.18B
2006-06,945.00M,1.905B,2.85B,5.711B,476.00M,,6.187B,,3.398B,534.00M,-2.444B,10.52B,984.00M,4.995B,24.20B,,497.00M,,30.68B,-14.77B,15.90B,2.539B,737.00M,3.276B,,,,,,5.17B,24.35B,34.87B,2.36B,0.00,,2.36B,1.625B,3.985B,,,,545.00M,,545.00M,2.083B,6.613B,,3.077B,,3.077B,3.505B,3.505B,1.774B,,,2.89B,11.25B,17.86B,11.00M,17.12B,0.00,146.00M,,,-118.00M,17.02B
2006-03,1.124B,2.007B,3.131B,5.738B,440.00M,,6.178B,,3.441B,500.00M,-2.407B,10.84B,991.00M,4.956B,23.68B,,359.00M,,29.98B,-14.54B,15.45B,2.501B,756.00M,3.257B,,,,,,5.241B,23.95B,34.79B,2.227B,0.00,476.00M,2.703B,1.574B,4.277B,,,,693.00M,,693.00M,2.036B,7.006B,,3.046B,,3.046B,6.297B,6.297B,1.726B,,,,11.07B,18.08B,11.00M,16.86B,0.00,145.00M,,,-156.00M,16.72B
2005-12,1.369B,1.672B,3.041B,5.743B,,411.00M,6.154B,,,475.00M,1.058B,10.73B,,,,,,,15.29B,,15.29B,2.549B,684.00M,3.233B,,471.00M,,,,5.226B,24.22B,34.95B,1.806B,364.00M,180.00M,2.35B,1.283B,3.633B,,,,821.00M,,821.00M,2.064B,6.518B,,3.159B,,3.159B,3.425B,3.425B,2.454B,,,2.507B,11.54B,18.06B,11.00M,17.04B,0.00,161.00M,,,-164.00M,16.88B
2005-09,1.708B,2.198B,3.906B,5.446B,,500.00M,5.946B,,3.884B,571.00M,-2.874B,11.43B,895.00M,4.701B,22.83B,,568.00M,,29.00B,-14.11B,14.89B,,3.129B,3.129B,,,,,,5.628B,23.65B,35.08B,2.374B,0.00,0.00,2.374B,1.681B,4.055B,,,,1.85B,,1.85B,1.964B,7.869B,,3.182B,,3.182B,5.805B,5.805B,1.606B,,,,10.59B,18.46B,11.00M,16.73B,0.00,161.00M,,,-128.00M,16.62B
2005-06,1.26B,4.244B,5.504B,4.887B,,472.00M,5.359B,,3.086B,529.00M,-2.004B,12.47B,775.00M,4.593B,22.10B,,591.00M,,28.06B,-13.90B,14.15B,,1.965B,1.965B,,,,,,4.573B,20.69B,33.17B,2.131B,0.00,70.00M,2.201B,1.631B,3.832B,,,,865.00M,,865.00M,1.546B,6.243B,,3.258B,,3.258B,5.667B,5.667B,,,,1.549B,10.47B,16.72B,11.00M,16.60B,0.00,160.00M,,,-166.00M,16.45B
2005-03,679.00M,4.55B,5.229B,5.042B,,864.00M,5.906B,,3.123B,526.00M,-2.185B,12.60B,759.00M,4.582B,21.96B,,501.00M,,27.80B,-13.74B,14.06B,,1.942B,1.942B,,,,,,4.53B,20.53B,33.13B,2.192B,0.00,354.00M,2.546B,1.478B,4.024B,,,,840.00M,,840.00M,1.581B,6.445B,,3.211B,,3.211B,5.612B,5.612B,1.507B,,,,10.33B,16.78B,11.00M,16.52B,0.00,159.00M,,,-177.00M,16.35B
2004-12,739.00M,4.458B,5.197B,5.156B,,524.00M,5.68B,,3.16B,392.00M,-1.824B,12.60B,760.00M,4.511B,21.67B,,539.00M,,27.48B,-13.50B,13.97B,,1.924B,1.924B,,,,,,4.524B,20.42B,33.03B,2.266B,315.00M,,2.581B,1.197B,3.778B,,,,1.187B,,1.187B,1.518B,6.483B,,3.261B,,3.261B,5.382B,5.382B,1.516B,,,,10.16B,16.64B,11.00M,16.19B,417.00M,169.00M,,,-236.00M,16.38B
2004-09,2.823B,1.748B,4.571B,4.192B,,1.33B,5.522B,,3.259B,292.00M,-2.573B,11.07B,726.00M,4.364B,22.24B,,750.00M,,28.08B,-13.86B,14.22B,,1.309B,1.309B,,,,,,4.369B,19.90B,30.97B,1.905B,0.00,,1.905B,1.887B,3.792B,,,,616.00M,,616.00M,1.347B,5.755B,,3.145B,,3.145B,5.159B,5.159B,,,,1.423B,9.727B,15.48B,11.00M,15.71B,0.00,169.00M,,,-237.00M,15.49B
2004-06,3.312B,1.625B,4.937B,3.964B,,783.00M,4.747B,,2.848B,297.00M,-2.217B,10.61B,,,,,,,27.66B,-13.59B,14.07B,,1.314B,1.314B,,,,,,3.859B,19.24B,29.86B,2.022B,0.00,,2.022B,1.678B,3.70B,,,,805.00M,,805.00M,1.288B,5.793B,,3.182B,,3.182B,4.267B,4.267B,,,,1.436B,8.885B,14.68B,11.00M,15.30B,105.00M,168.00M,,,-238.00M,15.18B
2004-03,2.823B,1.789B,4.612B,3.954B,,832.00M,4.786B,,2.885B,320.00M,-2.185B,10.42B,,,,,,,27.34B,-13.33B,14.01B,,1.317B,1.317B,,,,,,3.816B,19.14B,29.56B,2.108B,0.00,,2.108B,1.452B,3.56B,,,,683.00M,,683.00M,1.497B,5.74B,,3.273B,,3.273B,4.202B,4.202B,,,,1.398B,8.873B,14.61B,11.00M,14.80B,360.00M,129.00M,,,-224.00M,14.95B
2003-12,1.064B,2.888B,3.952B,4.004B,,840.00M,4.844B,,2.922B,316.00M,-2.075B,9.959B,721.00M,4.302B,21.21B,-610.00M,680.00M,,26.30B,-13.01B,13.30B,,1.883B,1.883B,,,,,,4.594B,19.78B,29.73B,2.003B,282.00M,,2.285B,1.166B,3.451B,,,,674.00M,,674.00M,1.499B,5.624B,,3.149B,,3.149B,4.055B,4.055B,1.335B,,,719.00M,9.258B,14.88B,11.00M,14.36B,662.00M,136.00M,,,-177.00M,14.85B
2003-09,3.108B,1.028B,4.136B,3.741B,,855.00M,4.596B,,2.207B,383.00M,-1.344B,9.978B,,,,,,,26.58B,-12.65B,13.93B,,,,,,,,,4.464B,18.40B,28.37B,2.118B,0.00,357.00M,2.475B,1.714B,4.189B,,,,645.00M,,645.00M,1.229B,6.063B,,3.425B,,3.425B,3.843B,3.843B,,,,1.311B,8.579B,14.64B,11.00M,13.78B,242.00M,135.00M,,,-305.00M,13.73B
2003-06,2.185B,1.188B,3.373B,3.675B,,865.00M,4.54B,,1.859B,356.00M,-811.00M,9.317B,,,,,,,26.23B,-12.36B,13.87B,,,,,,,,,4.049B,17.92B,27.24B,1.943B,0.00,,1.943B,1.513B,3.456B,,,,549.00M,,549.00M,1.397B,5.402B,,3.52B,,3.52B,3.662B,3.662B,,,,1.337B,8.519B,13.92B,11.00M,13.33B,330.00M,135.00M,,,-353.00M,13.31B
2003-03,2.135B,880.00M,3.015B,3.659B,,930.00M,4.589B,,1.896B,406.00M,-952.00M,8.954B,,,,,,,25.83B,-12.02B,13.81B,,,,,,,,,3.988B,17.80B,26.75B,1.944B,0.00,381.00M,2.325B,1.34B,3.665B,,,,598.00M,,598.00M,1.297B,5.56B,,3.467B,,3.467B,3.606B,3.606B,,,,1.304B,8.377B,13.94B,11.00M,12.87B,289.00M,85.00M,,,-356.00M,12.81B
2002-12,2.211B,803.00M,3.014B,3.756B,,868.00M,4.624B,,,,1.10B,8.738B,704.00M,2.049B,22.07B,,535.00M,,25.36B,-11.75B,13.61B,,1.18B,1.18B,,,,,,2.827B,17.62B,26.36B,1.908B,,,1.908B,,1.908B,,,,1.107B,,1.107B,2.54B,5.555B,,3.495B,,3.495B,3.601B,3.601B,,,,1.251B,8.347B,13.90B,11.00M,12.50B,387.00M,84.00M,,,,12.46B
2002-09,1.452B,1.199B,2.651B,3.745B,,1.011B,4.756B,,1.936B,,-1.027B,8.316B,,,,,,,25.13B,-11.52B,13.61B,,,,,,,,,4.022B,17.63B,25.95B,1.997B,,,1.997B,1.816B,3.813B,,,,1.292B,,1.292B,1.058B,6.163B,,3.558B,,3.558B,4.038B,4.038B,,,,1.234B,8.83B,14.99B,11.00M,11.28B,3.00M,84.00M,,,-333.00M,10.96B
2002-06,1.404B,1.025B,2.429B,3.722B,,857.00M,4.579B,,1.838B,,-908.00M,7.938B,,,,,,,24.98B,-11.28B,13.70B,,,,,,,,,3.805B,17.50B,25.44B,1.982B,,139.00M,2.121B,1.672B,3.793B,,,,123.00M,,123.00M,946.00M,4.862B,,4.729B,,4.729B,3.959B,3.959B,,,,1.214B,9.902B,14.76B,11.00M,10.91B,17.00M,86.00M,,,-261.00M,10.68B
2002-03,1.142B,885.00M,2.027B,3.896B,,640.00M,4.536B,,261.00M,,614.00M,7.438B,,,,,,,24.54B,-10.88B,13.65B,,,,,,,,,3.637B,17.29B,24.73B,1.756B,,300.00M,2.056B,1.474B,3.53B,,,,276.00M,,276.00M,920.00M,4.726B,,4.717B,,4.717B,3.826B,3.826B,,,,1.172B,9.715B,14.44B,11.00M,10.51B,100.00M,47.00M,,,-335.00M,10.29B
2001-12,858.00M,758.00M,1.616B,4.786B,,,4.786B,,,,1.195B,7.597B,2.739B,1.772B,18.79B,,761.00M,,24.06B,-10.62B,13.44B,,,,,,,,,3.601B,17.04B,24.64B,1.899B,,,1.899B,,1.899B,,,,518.00M,,518.00M,2.369B,4.786B,,4.648B,,4.648B,3.824B,3.824B,,,,1.13B,9.602B,14.39B,11.00M,10.16B,414.00M,47.00M,,,,10.25B
2001-09,1.303B,1.191B,2.494B,4.549B,,,4.549B,,1.835B,,-1.194B,7.684B,,,,,,,23.85B,-10.45B,13.40B,,,,,,,,,3.534B,16.94B,24.62B,1.97B,,698.00M,2.668B,1.793B,4.461B,,612.00M,70.00M,682.00M,,682.00M,901.00M,6.044B,,4.233B,,4.233B,3.504B,3.504B,,,,1.133B,8.87B,14.91B,11.00M,9.982B,0.00,47.00M,,,-288.00M,9.705B
2001-06,2.062B,1.081B,3.143B,3.932B,,,3.932B,,1.609B,,-925.00M,7.759B,,,,,,,23.23B,-10.17B,13.06B,,,,,,,,,2.971B,16.03B,23.79B,1.829B,,497.00M,2.326B,1.629B,3.955B,,321.00M,71.00M,392.00M,,392.00M,798.00M,5.145B,,4.138B,,4.138B,3.465B,3.465B,,,,1.116B,8.719B,13.86B,11.00M,10.12B,100.00M,47.00M,,,-303.00M,9.928B
2001-03,1.318B,1.307B,2.625B,3.716B,,,3.716B,,201.00M,,730.00M,7.272B,,,,,,,22.38B,-9.911B,12.46B,,,,,,,,,2.267B,14.73B,22.00B,1.559B,,329.00M,1.888B,1.398B,3.286B,,0.00,249.00M,249.00M,,249.00M,770.00M,4.305B,,3.803B,,3.803B,3.419B,3.419B,,,,1.082B,8.304B,12.61B,11.00M,9.705B,0.00,,,,-322.00M,9.394B
2000-12,879.00M,1.073B,1.952B,4.14B,,,4.14B,,408.00M,,624.00M,7.124B,649.00M,3.618B,4.902B,11.91B,918.00M,,21.99B,-9.665B,12.33B,,,,,,,,,2.209B,14.54B,21.66B,1.674B,,,1.674B,,1.674B,,,,623.00M,,623.00M,2.204B,4.501B,,2.981B,,2.981B,3.396B,3.396B,,,,1.049B,7.426B,11.93B,11.00M,9.684B,267.00M,,,,,9.735B
2000-09,1.67B,1.922B,3.592B,3.383B,,,3.383B,506.00M,1.626B,,,9.107B,,,,,,,21.16B,-9.442B,11.72B,,,,,,,,,584.00M,12.30B,21.41B,1.433B,0.00,396.00M,1.829B,1.74B,3.569B,,955.00M,263.00M,1.218B,,1.218B,832.00M,5.619B,,2.052B,,2.052B,3.426B,3.426B,,,,1.049B,6.527B,12.15B,11.00M,9.152B,345.00M,,,,-242.00M,9.266B
2000-06,2.381B,2.277B,4.658B,3.216B,,,3.216B,406.00M,976.00M,,,9.256B,,,,,,,20.70B,-9.245B,11.45B,,,,,,,,,379.00M,11.83B,21.08B,1.267B,0.00,367.00M,1.634B,1.586B,3.22B,,904.00M,545.00M,1.449B,,1.449B,874.00M,5.543B,,1.748B,,1.748B,3.481B,3.481B,,,,1.052B,6.281B,11.82B,11.00M,8.644B,811.00M,,,,-205.00M,9.261B
2000-03,2.471B,1.707B,4.178B,3.306B,,,3.306B,460.00M,1.136B,,,9.08B,,,,,,,20.48B,-9.016B,11.46B,,,,,,,,,376.00M,11.84B,20.92B,1.568B,0.00,430.00M,1.998B,1.337B,3.335B,,898.00M,346.00M,1.244B,,1.244B,881.00M,5.46B,,1.952B,,1.952B,3.501B,3.501B,,,,1.021B,6.474B,11.93B,11.00M,8.143B,1.012B,,,,-182.00M,8.984B
1999-12,4.204B,0.00,4.204B,3.167B,,,3.167B,,381.00M,,2.44B,10.19B,,,,,,,20.47B,-8.891B,11.58B,,,,,,,,,1.257B,12.84B,23.03B,1.295B,361.00M,,1.656B,998.00M,2.654B,,0.00,512.00M,512.00M,,512.00M,1.032B,4.198B,,1.912B,,1.912B,3.454B,3.454B,990.00M,,,,6.356B,10.55B,12.00M,7.536B,5.096B,,,,-170.00M,12.47B
