,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-12,1.049B,,-269.00M,-1.213B,431.00M,431.00M,523.00M,,,544.00M,-579.00M,,724.00M,126.00M,-159.00M,-120.00M,-1.028B,-1.036B,1.242B,-577.00M,-1.601B,9.00M,-25.00M,531.00M,1.595B,-77.00M,-5.00M,-1.008B,-1.013B,39.00M,-525.00M,-486.00M,,1.00M,-6.00M,-1.504B,1.708B,-339.00M,0.00,1.369B,39.00M,34.00M,-39.00M,-525.00M
2005-09,953.00M,,-58.00M,412.00M,412.00M,412.00M,-22.00M,,,-693.00M,-345.00M,,-724.00M,146.00M,-46.00M,137.00M,715.00M,-117.00M,475.00M,-567.00M,575.00M,8.00M,-1.371B,2.017B,-663.00M,-9.00M,-349.00M,1.198B,849.00M,40.00M,-549.00M,-509.00M,,-359.00M,-4.00M,-23.00M,1.26B,443.00M,5.00M,1.708B,40.00M,-122.00M,-227.00M,-549.00M
2005-06,986.00M,,327.00M,801.00M,403.00M,403.00M,-51.00M,,,-146.00M,79.00M,,,-320.00M,388.00M,-34.00M,118.00M,231.00M,1.75B,-528.00M,1.033B,-10.00M,-52.00M,310.00M,-1.037B,-274.00M,196.00M,-133.00M,63.00M,39.00M,-620.00M,-581.00M,,-362.00M,1.00M,-879.00M,679.00M,597.00M,-16.00M,1.26B,39.00M,199.00M,-3.00M,-620.00M
2005-03,882.00M,,,,398.00M,398.00M,,,,146.00M,56.00M,,,262.00M,30.00M,178.00M,374.00M,900.00M,2.326B,-515.00M,20.00M,20.00M,-40.00M,-106.00M,26.00M,-615.00M,-16.00M,-344.00M,-360.00M,46.00M,-785.00M,-739.00M,,-671.00M,1.00M,-1.769B,739.00M,-58.00M,-2.00M,679.00M,46.00M,17.00M,-33.00M,-785.00M
2004-12,866.00M,,325.00M,389.00M,389.00M,389.00M,76.00M,,,,-498.00M,,99.00M,-99.00M,202.00M,-577.00M,154.00M,-719.00M,937.00M,-614.00M,614.00M,0.00,-160.00M,-567.00M,-554.00M,-1.281B,497.00M,,497.00M,54.00M,-218.00M,-164.00M,,1.00M,-3.00M,331.00M,660.00M,-13.00M,92.00M,739.00M,54.00M,729.00M,-232.00M,-218.00M
2004-09,890.00M,,140.00M,383.00M,383.00M,383.00M,22.00M,,,,-228.00M,,-411.00M,368.00M,16.00M,26.00M,-234.00M,-463.00M,972.00M,-524.00M,521.00M,-3.00M,9.00M,-7.00M,-438.00M,-439.00M,-254.00M,,-254.00M,35.00M,-347.00M,-312.00M,,-306.00M,0.00,-872.00M,1.031B,-339.00M,-32.00M,660.00M,35.00M,-96.00M,-158.00M,-347.00M
2004-06,818.00M,,201.00M,385.00M,385.00M,385.00M,-3.00M,,,,-10.00M,,37.00M,-283.00M,79.00M,-24.00M,117.00M,-84.00M,1.317B,-470.00M,498.00M,28.00M,-22.00M,-288.00M,-407.00M,-689.00M,82.00M,,82.00M,69.00M,-331.00M,-262.00M,,-313.00M,-65.00M,-558.00M,988.00M,70.00M,-27.00M,1.031B,69.00M,102.00M,-20.00M,-331.00M
2004-03,759.00M,,223.00M,386.00M,386.00M,386.00M,194.00M,,,,50.00M,,37.00M,259.00M,93.00M,68.00M,36.00M,543.00M,2.105B,-519.00M,569.00M,50.00M,-65.00M,-736.00M,-478.00M,-1.229B,18.00M,,18.00M,35.00M,-414.00M,-379.00M,,-590.00M,36.00M,-915.00M,1.064B,-39.00M,-37.00M,988.00M,35.00M,76.00M,-58.00M,-414.00M
2003-12,856.00M,,732.00M,1.549B,387.00M,387.00M,236.00M,,,-527.00M,-276.00M,,-715.00M,176.00M,61.00M,250.00M,-764.00M,-1.268B,416.00M,-432.00M,1.964B,17.00M,0.00,-756.00M,-1.779B,-1.003B,-285.00M,,-285.00M,34.00M,-42.00M,-8.00M,,-213.00M,0.00,-506.00M,3.108B,-1.093B,136.00M,1.064B,34.00M,76.00M,-361.00M,-42.00M
2003-09,739.00M,,,,384.00M,384.00M,159.00M,,,82.00M,-69.00M,,-348.00M,164.00M,183.00M,-35.00M,322.00M,217.00M,1.581B,-464.00M,32.00M,32.00M,10.00M,165.00M,-19.00M,-276.00M,-20.00M,,-20.00M,38.00M,-158.00M,-120.00M,,-271.00M,0.00,-411.00M,2.185B,894.00M,29.00M,3.108B,38.00M,78.00M,-98.00M,-158.00M
2003-06,692.00M,,-240.00M,-387.00M,391.00M,391.00M,70.00M,,,445.00M,-16.00M,,37.00M,20.00M,-104.00M,-32.00M,-159.00M,-254.00M,1.104B,-451.00M,-574.00M,26.00M,-2.00M,-289.00M,534.00M,-782.00M,-64.00M,,-64.00M,61.00M,-44.00M,17.00M,,-240.00M,-27.00M,-314.00M,2.135B,8.00M,42.00M,2.185B,61.00M,60.00M,-124.00M,-44.00M
2003-03,611.00M,,240.00M,387.00M,387.00M,387.00M,-148.00M,,,,97.00M,,36.00M,-211.00M,-127.00M,72.00M,518.00M,385.00M,1.475B,-600.00M,643.00M,43.00M,,-85.00M,-639.00M,-681.00M,-515.00M,,-515.00M,21.00M,-154.00M,-133.00M,,-232.00M,1.00M,-879.00M,2.211B,-85.00M,9.00M,2.135B,21.00M,147.00M,-662.00M,-154.00M
2002-12,1.502B,,-686.00M,-378.00M,-378.00M,-378.00M,82.00M,,,756.00M,-16.00M,,4.00M,-154.00M,-89.00M,156.00M,,-99.00M,1.177B,-412.00M,67.00M,-345.00M,-14.00M,394.00M,94.00M,129.00M,-273.00M,,-273.00M,20.00M,-32.00M,-12.00M,,-202.00M,0.00,-487.00M,1.452B,819.00M,-60.00M,2.211B,20.00M,72.00M,-345.00M,-32.00M
2002-09,506.00M,,234.00M,-1.799B,-1.799B,-1.799B,11.00M,,,2.172B,328.00M,,-98.00M,227.00M,108.00M,12.00M,-212.00M,365.00M,1.489B,-292.00M,-959.00M,-1.251B,14.00M,-198.00M,345.00M,-1.09B,-69.00M,,-69.00M,23.00M,-56.00M,-33.00M,,-213.00M,0.00,-315.00M,1.404B,84.00M,-36.00M,1.452B,23.00M,122.00M,-191.00M,-56.00M
2002-06,683.00M,,87.00M,1.064B,1.064B,1.064B,93.00M,,,-702.00M,-182.00M,,4.00M,14.00M,-13.00M,44.00M,212.00M,79.00M,1.304B,-330.00M,909.00M,579.00M,-14.00M,-161.00M,-937.00M,-533.00M,-162.00M,,-162.00M,46.00M,-153.00M,-107.00M,,-212.00M,-82.00M,-563.00M,1.142B,208.00M,54.00M,1.404B,46.00M,89.00M,-251.00M,-153.00M
2002-03,491.00M,,254.00M,-351.00M,-351.00M,-351.00M,-24.00M,,,702.00M,182.00M,,3.00M,-143.00M,397.00M,207.00M,,646.00M,1.718B,-624.00M,72.00M,-552.00M,,-127.00M,-21.00M,-700.00M,-176.00M,,-176.00M,27.00M,-363.00M,-336.00M,,-213.00M,,-725.00M,858.00M,293.00M,-9.00M,1.142B,27.00M,136.00M,-312.00M,-363.00M
2001-12,645.00M,,106.00M,-379.00M,-379.00M,-379.00M,303.00M,,,758.00M,308.00M,,-49.00M,-64.00M,-456.00M,-751.00M,,-1.012B,421.00M,-441.00M,85.00M,-356.00M,-33.00M,438.00M,-596.00M,-547.00M,232.00M,,232.00M,20.00M,-303.00M,-283.00M,,-212.00M,0.00,-263.00M,1.303B,-389.00M,-56.00M,858.00M,20.00M,467.00M,-235.00M,-303.00M
2001-09,568.00M,,121.00M,-361.00M,-361.00M,-361.00M,67.00M,,,722.00M,-464.00M,,-225.00M,117.00M,29.00M,240.00M,,-303.00M,814.00M,-690.00M,34.00M,-656.00M,-94.00M,-74.00M,-15.00M,-839.00M,65.00M,,65.00M,32.00M,-681.00M,-649.00M,,-214.00M,0.00,-798.00M,2.062B,-823.00M,64.00M,1.303B,32.00M,480.00M,-415.00M,-681.00M
2001-06,630.00M,,173.00M,-338.00M,-338.00M,-338.00M,73.00M,,,676.00M,145.00M,,-216.00M,-249.00M,412.00M,283.00M,,375.00M,1.589B,-726.00M,35.00M,-691.00M,-267.00M,229.00M,-79.00M,-808.00M,472.00M,,472.00M,158.00M,-413.00M,-255.00M,,-215.00M,-69.00M,-67.00M,1.318B,714.00M,30.00M,2.062B,158.00M,195.00M,277.00M,-413.00M
2001-03,556.00M,,176.00M,-318.00M,-318.00M,-318.00M,38.00M,,,636.00M,426.00M,,200.00M,-117.00M,-89.00M,198.00M,,618.00M,1.706B,-515.00M,11.00M,-504.00M,-72.00M,-264.00M,21.00M,-819.00M,454.00M,,454.00M,18.00M,-622.00M,-604.00M,,-215.00M,,-365.00M,879.00M,522.00M,-83.00M,1.318B,18.00M,1.17B,-716.00M,-622.00M
2000-12,724.00M,,122.00M,-2.037B,-2.037B,-2.037B,-72.00M,,,,-635.00M,140.00M,-390.00M,540.00M,,-358.00M,-361.00M,-1.316B,-233.00M,-900.00M,-1.20B,-2.10B,,835.00M,1.446B,-64.00M,279.00M,,279.00M,18.00M,-582.00M,-564.00M,,-192.00M,-9.00M,-486.00M,1.67B,-783.00M,-8.00M,879.00M,18.00M,654.00M,-375.00M,-582.00M
2000-09,702.00M,,151.00M,294.00M,294.00M,294.00M,-69.00M,,,,-167.00M,-100.00M,-650.00M,166.00M,,32.00M,0.00,-719.00M,359.00M,-584.00M,586.00M,2.00M,,314.00M,-779.00M,-463.00M,74.00M,,74.00M,-7.00M,-478.00M,-485.00M,,-194.00M,4.00M,-601.00M,2.381B,-705.00M,-6.00M,1.67B,-7.00M,520.00M,-446.00M,-478.00M
2000-06,695.00M,,175.00M,287.00M,287.00M,287.00M,-19.00M,,,,90.00M,54.00M,160.00M,-301.00M,,177.00M,0.00,180.00M,1.318B,-348.00M,357.00M,9.00M,,-550.00M,-309.00M,-850.00M,2.00M,,2.00M,53.00M,-281.00M,-228.00M,,-194.00M,-122.00M,-542.00M,2.471B,-74.00M,-16.00M,2.381B,53.00M,153.00M,-151.00M,-281.00M
2000-03,813.00M,,-115.00M,283.00M,283.00M,283.00M,79.00M,,,,-139.00M,-94.00M,191.00M,-88.00M,,69.00M,361.00M,300.00M,1.36B,-315.00M,508.00M,193.00M,,619.00M,-372.00M,440.00M,774.00M,,774.00M,24.00M,-4.124B,-4.10B,,-206.00M,,-3.532B,4.204B,-1.732B,-1.00M,2.471B,24.00M,970.00M,-196.00M,-4.124B
