,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-06,-117.00M,,,,3.00M,,,77.00M,77.00M,8.00M,,,,240.00M,21.00M,7.00M,,-11.00M,,,-134.00M,-117.00M,-27.00M,67.00M,,-67.00M,,-67.00M,80.00M,-29.00M,-14.00M,-30.00M,,,,-181.00M,2.00M,-258.00M,-256.00M,,,,,-10.00M,,-242.00M,-689.00M,,1.115B,-652.00M,7.00M,470.00M,,2.00M,,,-258.00M,,,
2007-03,201.00M,,,,-30.00M,,,81.00M,81.00M,-34.00M,,,,16.00M,34.00M,17.00M,,-95.00M,,,-104.00M,-148.00M,-74.00M,12.00M,,-49.00M,,-49.00M,309.00M,31.00M,34.00M,325.00M,,,,-30.00M,19.00M,,19.00M,,,,,-8.00M,,2.00M,-17.00M,,791.00M,320.00M,4.00M,1.115B,,19.00M,,,,,,
2006-12,77.00M,,,,10.00M,202.00M,94.00M,52.00M,52.00M,34.00M,,,,,-25.00M,8.00M,,73.00M,,45.00M,-32.00M,81.00M,-7.00M,307.00M,,-124.00M,,-98.00M,12.00M,8.00M,21.00M,-46.00M,,,,9.00M,1.00M,,1.00M,,,,,-9.00M,,,1.00M,,513.00M,262.00M,16.00M,791.00M,,1.00M,,,,,,
2006-09,109.00M,,,,-1.00M,,,82.00M,82.00M,66.00M,,,,,37.00M,-1.00M,,-63.00M,,,13.00M,-14.00M,35.00M,277.00M,,-58.00M,,-58.00M,11.00M,16.00M,-18.00M,-58.00M,,,,-50.00M,1.00M,,1.00M,,,,,-9.00M,,,-58.00M,,354.00M,161.00M,-2.00M,513.00M,,1.00M,,,,,,
2006-06,103.00M,,,,13.00M,-51.00M,-22.00M,89.00M,89.00M,26.00M,,,,,85.00M,21.00M,-14.00M,38.00M,,-18.00M,-127.00M,-15.00M,-28.00M,188.00M,,-69.00M,,-69.00M,,6.00M,-13.00M,-78.00M,,,,-67.00M,,,,,,,,-9.00M,,,-76.00M,,312.00M,34.00M,8.00M,354.00M,,,,,,,,
2006-03,117.00M,,,,-28.00M,51.00M,22.00M,73.00M,73.00M,-1.00M,,,,,-131.00M,-12.00M,14.00M,-69.00M,,18.00M,-2.00M,-182.00M,,-21.00M,,-44.00M,,-44.00M,,0.00,-42.00M,-86.00M,,,,34.00M,,,,,,,,-9.00M,,,25.00M,,390.00M,-82.00M,4.00M,312.00M,,,,,,,,
2005-12,175.00M,,,,13.00M,65.00M,24.00M,89.00M,89.00M,-70.00M,,,,10.00M,29.00M,-23.00M,15.00M,80.00M,,-8.00M,-33.00M,3.00M,-32.00M,188.00M,,-80.00M,-40.00M,-120.00M,-49.00M,-2.00M,42.00M,-129.00M,,,,-55.00M,0.00,,0.00,,,,,-10.00M,,-1.00M,-66.00M,,401.00M,-7.00M,-4.00M,390.00M,,0.00,,,,,,
2005-09,45.00M,,,,5.00M,53.00M,20.00M,73.00M,73.00M,3.00M,,,,7.00M,94.00M,27.00M,6.00M,-36.00M,,-17.00M,111.00M,185.00M,5.00M,323.00M,,-46.00M,26.00M,-20.00M,-597.00M,-8.00M,-15.00M,-640.00M,,,,-237.00M,0.00,804.00M,804.00M,,,,,-812.00M,,-1.00M,-246.00M,,959.00M,-563.00M,5.00M,401.00M,,0.00,,,804.00M,,,
2005-06,67.00M,,,,7.00M,53.00M,18.00M,71.00M,71.00M,5.00M,,,,23.00M,22.00M,25.00M,6.00M,-71.00M,,6.00M,-40.00M,-52.00M,27.00M,148.00M,,-46.00M,-61.00M,-107.00M,-14.00M,5.00M,8.00M,-33.00M,,,,-3.00M,0.00,-804.00M,-804.00M,,,,,-3.00M,,-7.00M,-817.00M,,1.738B,-702.00M,-77.00M,959.00M,,0.00,,,-804.00M,,,
2005-03,-10.00M,,,,126.00M,47.00M,47.00M,94.00M,94.00M,-23.00M,,,,,-102.00M,-12.00M,-27.00M,44.00M,,36.00M,-84.00M,-145.00M,,42.00M,,-40.00M,75.00M,35.00M,-210.00M,77.00M,-7.00M,-105.00M,,,,-12.00M,997.00M,,997.00M,,,,,,,,985.00M,,838.00M,922.00M,-22.00M,1.738B,,997.00M,,,,,,
2004-12,-57.00M,,,,-9.00M,37.00M,0.00,37.00M,37.00M,-65.00M,,,,7.00M,112.00M,-20.00M,-23.00M,91.00M,,-260.00M,15.00M,-85.00M,,-172.00M,,-60.00M,26.00M,-34.00M,36.00M,-19.00M,-69.00M,-86.00M,,,,-622.00M,227.00M,0.00,227.00M,,,,,0.00,,633.00M,238.00M,,819.00M,-20.00M,39.00M,838.00M,,227.00M,,,0.00,,,
2004-09,-149.00M,,,,57.00M,10.00M,92.00M,102.00M,102.00M,115.00M,-73.00M,,,25.00M,133.00M,-36.00M,-19.00M,28.00M,,-86.00M,226.00M,246.00M,,323.00M,,-12.00M,5.00M,-7.00M,-1.60B,-21.00M,1.457B,-171.00M,,136.00M,9.00M,3.495B,17.00M,-221.00M,-204.00M,-215.00M,-215.00M,,,-500.00M,,-2.583B,-7.00M,,809.00M,145.00M,13.00M,819.00M,,-198.00M,-1.633B,1.769B,-221.00M,,,
2004-06,-125.00M,,,,,68.00M,3.00M,71.00M,71.00M,-19.00M,73.00M,,,-1.00M,-24.00M,49.00M,20.00M,-18.00M,,,-133.00M,-106.00M,,-107.00M,,-50.00M,,-50.00M,,-1.00M,-1.598B,-1.649B,,-109.00M,7.00M,-102.00M,0.00,,0.00,215.00M,215.00M,,,-1.00M,,2.386B,2.498B,,93.00M,742.00M,-26.00M,809.00M,,215.00M,1.633B,-1.742B,,,AOR,
2004-03,78.00M,,,,,69.00M,3.00M,72.00M,72.00M,-12.00M,0.00,,,-24.00M,-131.00M,-11.00M,14.00M,-6.00M,,,-87.00M,-221.00M,,-107.00M,,-44.00M,,-44.00M,,0.00,140.00M,96.00M,,-27.00M,-16.00M,-43.00M,0.00,,0.00,0.00,0.00,,,,,,-43.00M,,148.00M,-54.00M,-1.00M,93.00M,,0.00,0.00,-27.00M,,,AOR,
